context: I haven't seen you before. response:	What is a woman doing here so early in the morning?
context: Disperse!\Disperse!\For fourteen years,\I have dreamed of nothing but this day.\Fall here, and leave your corpse behind.\You are naught but a monster!\How wonderfully cooperative of you,\coming here to be slain! response:	Oh, crap!
context: Disperse!\For fourteen years,\I have dreamed of nothing but this day.\Fall here, and leave your corpse behind.\You are naught but a monster!\How wonderfully cooperative of you,\coming here to be slain!\Oh, crap! response:	Don't you look away from us, moron!
context: For fourteen years,\I have dreamed of nothing but this day.\Fall here, and leave your corpse behind.\You are naught but a monster!\How wonderfully cooperative of you,\coming here to be slain!\Oh, crap!\Don't you look away from us, moron! response:	Here, we go!
context: I have dreamed of nothing but this day.\Fall here, and leave your corpse behind.\You are naught but a monster!\How wonderfully cooperative of you,\coming here to be slain!\Oh, crap!\Don't you look away from us, moron!\Here, we go! response:	Everyone, now!
context: Fall here, and leave your corpse behind.\You are naught but a monster!\How wonderfully cooperative of you,\coming here to be slain!\Oh, crap!\Don't you look away from us, moron!\Here, we go!\Everyone, now! response:	Troops, get back!
context: You are naught but a monster!\How wonderfully cooperative of you,\coming here to be slain!\Oh, crap!\Don't you look away from us, moron!\Here, we go!\Everyone, now!\Troops, get back! response:	Fire at its flank!
context: How wonderfully cooperative of you,\coming here to be slain!\Oh, crap!\Don't you look away from us, moron!\Here, we go!\Everyone, now!\Troops, get back!\Fire at its flank! response:	Algoa!
context: coming here to be slain!\Oh, crap!\Don't you look away from us, moron!\Here, we go!\Everyone, now!\Troops, get back!\Fire at its flank!\Algoa! response:	Looks like that was pretty effective!
context: Oh, crap!\Don't you look away from us, moron!\Here, we go!\Everyone, now!\Troops, get back!\Fire at its flank!\Algoa!\Looks like that was pretty effective! response:	I think we can pull this off!
context: Don't you look away from us, moron!\Here, we go!\Everyone, now!\Troops, get back!\Fire at its flank!\Algoa!\Looks like that was pretty effective!\I think we can pull this off! response:	No, truthfully,
context: Here, we go!\Everyone, now!\Troops, get back!\Fire at its flank!\Algoa!\Looks like that was pretty effective!\I think we can pull this off!\No, truthfully, response:	we had hoped that attack would ground it.
context: Everyone, now!\Troops, get back!\Fire at its flank!\Algoa!\Looks like that was pretty effective!\I think we can pull this off!\No, truthfully,\we had hoped that attack would ground it. response:	It's not losing altitude at all...
context: Troops, get back!\Fire at its flank!\Algoa!\Looks like that was pretty effective!\I think we can pull this off!\No, truthfully,\we had hoped that attack would ground it.\It's not losing altitude at all... response:	We used all of our best attacks right from the get-go.
context: Fire at its flank!\Algoa!\Looks like that was pretty effective!\I think we can pull this off!\No, truthfully,\we had hoped that attack would ground it.\It's not losing altitude at all...\We used all of our best attacks right from the get-go. response:	If that didn't make it fall,
context: Algoa!\Looks like that was pretty effective!\I think we can pull this off!\No, truthfully,\we had hoped that attack would ground it.\It's not losing altitude at all...\We used all of our best attacks right from the get-go.\If that didn't make it fall, response:	it's a lot tougher than we thought.
context: Looks like that was pretty effective!\I think we can pull this off!\No, truthfully,\we had hoped that attack would ground it.\It's not losing altitude at all...\We used all of our best attacks right from the get-go.\If that didn't make it fall,\it's a lot tougher than we thought. response:	The magic attacks didn't work?
context: I think we can pull this off!\No, truthfully,\we had hoped that attack would ground it.\It's not losing altitude at all...\We used all of our best attacks right from the get-go.\If that didn't make it fall,\it's a lot tougher than we thought.\The magic attacks didn't work? response:	Its white hair scatters mana and disperses force.
context: No, truthfully,\we had hoped that attack would ground it.\It's not losing altitude at all...\We used all of our best attacks right from the get-go.\If that didn't make it fall,\it's a lot tougher than we thought.\The magic attacks didn't work?\Its white hair scatters mana and disperses force. response:	My magic was not as effective as it appeared, either.
context: we had hoped that attack would ground it.\It's not losing altitude at all...\We used all of our best attacks right from the get-go.\If that didn't make it fall,\it's a lot tougher than we thought.\The magic attacks didn't work?\Its white hair scatters mana and disperses force.\My magic was not as effective as it appeared, either. response:	Fire!
context: It's not losing altitude at all...\We used all of our best attacks right from the get-go.\If that didn't make it fall,\it's a lot tougher than we thought.\The magic attacks didn't work?\Its white hair scatters mana and disperses force.\My magic was not as effective as it appeared, either.\Fire! response:	Time for the second campaign.
context: We used all of our best attacks right from the get-go.\If that didn't make it fall,\it's a lot tougher than we thought.\The magic attacks didn't work?\Its white hair scatters mana and disperses force.\My magic was not as effective as it appeared, either.\Fire!\Time for the second campaign. response:	Hack away at its reserve power!
context: If that didn't make it fall,\it's a lot tougher than we thought.\The magic attacks didn't work?\Its white hair scatters mana and disperses force.\My magic was not as effective as it appeared, either.\Fire!\Time for the second campaign.\Hack away at its reserve power! response:	Acting as a decoy now would be a hindrance...
context: it's a lot tougher than we thought.\The magic attacks didn't work?\Its white hair scatters mana and disperses force.\My magic was not as effective as it appeared, either.\Fire!\Time for the second campaign.\Hack away at its reserve power!\Acting as a decoy now would be a hindrance... response:	So all we can do is watch until it makes a move?
context: The magic attacks didn't work?\Its white hair scatters mana and disperses force.\My magic was not as effective as it appeared, either.\Fire!\Time for the second campaign.\Hack away at its reserve power!\Acting as a decoy now would be a hindrance...\So all we can do is watch until it makes a move? response:	I feel just as irritated as you do.
context: Its white hair scatters mana and disperses force.\My magic was not as effective as it appeared, either.\Fire!\Time for the second campaign.\Hack away at its reserve power!\Acting as a decoy now would be a hindrance...\So all we can do is watch until it makes a move?\I feel just as irritated as you do. response:	I don't even have any attacks,
context: My magic was not as effective as it appeared, either.\Fire!\Time for the second campaign.\Hack away at its reserve power!\Acting as a decoy now would be a hindrance...\So all we can do is watch until it makes a move?\I feel just as irritated as you do.\I don't even have any attacks, response:	so all I can do is watch, anyway...
context: Fire!\Time for the second campaign.\Hack away at its reserve power!\Acting as a decoy now would be a hindrance...\So all we can do is watch until it makes a move?\I feel just as irritated as you do.\I don't even have any attacks,\so all I can do is watch, anyway... response:	But with your healing specialty, you're our lifeline.
context: Time for the second campaign.\Hack away at its reserve power!\Acting as a decoy now would be a hindrance...\So all we can do is watch until it makes a move?\I feel just as irritated as you do.\I don't even have any attacks,\so all I can do is watch, anyway...\But with your healing specialty, you're our lifeline. response:	Just fulfill that role for us!
context: Hack away at its reserve power!\Acting as a decoy now would be a hindrance...\So all we can do is watch until it makes a move?\I feel just as irritated as you do.\I don't even have any attacks,\so all I can do is watch, anyway...\But with your healing specialty, you're our lifeline.\Just fulfill that role for us! response:	We're counting on you.
context: Acting as a decoy now would be a hindrance...\So all we can do is watch until it makes a move?\I feel just as irritated as you do.\I don't even have any attacks,\so all I can do is watch, anyway...\But with your healing specialty, you're our lifeline.\Just fulfill that role for us!\We're counting on you. response:	You've really changed in just one day, huh?
context: So all we can do is watch until it makes a move?\I feel just as irritated as you do.\I don't even have any attacks,\so all I can do is watch, anyway...\But with your healing specialty, you're our lifeline.\Just fulfill that role for us!\We're counting on you.\You've really changed in just one day, huh? response:	What happened?
context: I feel just as irritated as you do.\I don't even have any attacks,\so all I can do is watch, anyway...\But with your healing specialty, you're our lifeline.\Just fulfill that role for us!\We're counting on you.\You've really changed in just one day, huh?\What happened? response:	If I had to say,
context: I don't even have any attacks,\so all I can do is watch, anyway...\But with your healing specialty, you're our lifeline.\Just fulfill that role for us!\We're counting on you.\You've really changed in just one day, huh?\What happened?\If I had to say, response:	I've just become a slightly better man.
context: so all I can do is watch, anyway...\But with your healing specialty, you're our lifeline.\Just fulfill that role for us!\We're counting on you.\You've really changed in just one day, huh?\What happened?\If I had to say,\I've just become a slightly better man. response:	Wilhelm-sama is...
context: But with your healing specialty, you're our lifeline.\Just fulfill that role for us!\We're counting on you.\You've really changed in just one day, huh?\What happened?\If I had to say,\I've just become a slightly better man.\Wilhelm-sama is... response:	Upsy-daisy!
context: Just fulfill that role for us!\We're counting on you.\You've really changed in just one day, huh?\What happened?\If I had to say,\I've just become a slightly better man.\Wilhelm-sama is...\Upsy-daisy! response:	Miserable...
context: We're counting on you.\You've really changed in just one day, huh?\What happened?\If I had to say,\I've just become a slightly better man.\Wilhelm-sama is...\Upsy-daisy!\Miserable... response:	What is that?
context: You've really changed in just one day, huh?\What happened?\If I had to say,\I've just become a slightly better man.\Wilhelm-sama is...\Upsy-daisy!\Miserable...\What is that? response:	Something's odd...
context: What happened?\If I had to say,\I've just become a slightly better man.\Wilhelm-sama is...\Upsy-daisy!\Miserable...\What is that?\Something's odd... response:	What's going on?
context: If I had to say,\I've just become a slightly better man.\Wilhelm-sama is...\Upsy-daisy!\Miserable...\What is that?\Something's odd...\What's going on? response:	The color of its eye...
context: I've just become a slightly better man.\Wilhelm-sama is...\Upsy-daisy!\Miserable...\What is that?\Something's odd...\What's going on?\The color of its eye... response:	Have you grown to like flowers?
context: Wilhelm-sama is...\Upsy-daisy!\Miserable...\What is that?\Something's odd...\What's going on?\The color of its eye...\Have you grown to like flowers? response:	No, I hate them.
context: Upsy-daisy!\Miserable...\What is that?\Something's odd...\What's going on?\The color of its eye...\Have you grown to like flowers?\No, I hate them. response:	Why do you wield that sword?
context: Miserable...\What is that?\Something's odd...\What's going on?\The color of its eye...\Have you grown to like flowers?\No, I hate them.\Why do you wield that sword? response:	Because this is all I have.
context: What is that?\Something's odd...\What's going on?\The color of its eye...\Have you grown to like flowers?\No, I hate them.\Why do you wield that sword?\Because this is all I have. response:	It disappeared?
context: Something's odd...\What's going on?\The color of its eye...\Have you grown to like flowers?\No, I hate them.\Why do you wield that sword?\Because this is all I have.\It disappeared? response:	We're going to move! Hang on!
context: What's going on?\The color of its eye...\Have you grown to like flowers?\No, I hate them.\Why do you wield that sword?\Because this is all I have.\It disappeared?\We're going to move! Hang on! response:	Troops, retreat!
context: The color of its eye...\Have you grown to like flowers?\No, I hate them.\Why do you wield that sword?\Because this is all I have.\It disappeared?\We're going to move! Hang on!\Troops, retreat! response:	Retreat!
context: Have you grown to like flowers?\No, I hate them.\Why do you wield that sword?\Because this is all I have.\It disappeared?\We're going to move! Hang on!\Troops, retreat!\Retreat! response:	Retreat! Re
context: No, I hate them.\Why do you wield that sword?\Because this is all I have.\It disappeared?\We're going to move! Hang on!\Troops, retreat!\Retreat!\Retreat! Re response:	Whoa, whoa, whoa, whoa!
context: Why do you wield that sword?\Because this is all I have.\It disappeared?\We're going to move! Hang on!\Troops, retreat!\Retreat!\Retreat! Re\Whoa, whoa, whoa, whoa! response:	That's what the magic fog looks like?
context: Because this is all I have.\It disappeared?\We're going to move! Hang on!\Troops, retreat!\Retreat!\Retreat! Re\Whoa, whoa, whoa, whoa!\That's what the magic fog looks like? response:	If that hits us...
context: It disappeared?\We're going to move! Hang on!\Troops, retreat!\Retreat!\Retreat! Re\Whoa, whoa, whoa, whoa!\That's what the magic fog looks like?\If that hits us... response:	How many men did we lose?
context: We're going to move! Hang on!\Troops, retreat!\Retreat!\Retreat! Re\Whoa, whoa, whoa, whoa!\That's what the magic fog looks like?\If that hits us...\How many men did we lose? response:	Twelve from my unit.
context: Troops, retreat!\Retreat!\Retreat! Re\Whoa, whoa, whoa, whoa!\That's what the magic fog looks like?\If that hits us...\How many men did we lose?\Twelve from my unit. response:	We're three short now.
context: Retreat!\Retreat! Re\Whoa, whoa, whoa, whoa!\That's what the magic fog looks like?\If that hits us...\How many men did we lose?\Twelve from my unit.\We're three short now. response:	Who was lost?
context: Retreat! Re\Whoa, whoa, whoa, whoa!\That's what the magic fog looks like?\If that hits us...\How many men did we lose?\Twelve from my unit.\We're three short now.\Who was lost? response:	I don't know.
context: Whoa, whoa, whoa, whoa!\That's what the magic fog looks like?\If that hits us...\How many men did we lose?\Twelve from my unit.\We're three short now.\Who was lost?\I don't know. response:	Fourteen from mine.
context: That's what the magic fog looks like?\If that hits us...\How many men did we lose?\Twelve from my unit.\We're three short now.\Who was lost?\I don't know.\Fourteen from mine. response:	One deserted.
context: If that hits us...\How many men did we lose?\Twelve from my unit.\We're three short now.\Who was lost?\I don't know.\Fourteen from mine.\One deserted. response:	I'm missing six. I'm sorry.
context: How many men did we lose?\Twelve from my unit.\We're three short now.\Who was lost?\I don't know.\Fourteen from mine.\One deserted.\I'm missing six. I'm sorry. response:	No one was riding on the opposite side from me.
context: Twelve from my unit.\We're three short now.\Who was lost?\I don't know.\Fourteen from mine.\One deserted.\I'm missing six. I'm sorry.\No one was riding on the opposite side from me. response:	Who is Rem?
context: We're three short now.\Who was lost?\I don't know.\Fourteen from mine.\One deserted.\I'm missing six. I'm sorry.\No one was riding on the opposite side from me.\Who is Rem? response:	Rem... Who is that?
context: Who was lost?\I don't know.\Fourteen from mine.\One deserted.\I'm missing six. I'm sorry.\No one was riding on the opposite side from me.\Who is Rem?\Rem... Who is that? response:	You've forgotten Rem, too?
context: I don't know.\Fourteen from mine.\One deserted.\I'm missing six. I'm sorry.\No one was riding on the opposite side from me.\Who is Rem?\Rem... Who is that?\You've forgotten Rem, too? response:	That's it...
context: Fourteen from mine.\One deserted.\I'm missing six. I'm sorry.\No one was riding on the opposite side from me.\Who is Rem?\Rem... Who is that?\You've forgotten Rem, too?\That's it... response:	People hit by the White Whale's fog
context: One deserted.\I'm missing six. I'm sorry.\No one was riding on the opposite side from me.\Who is Rem?\Rem... Who is that?\You've forgotten Rem, too?\That's it...\People hit by the White Whale's fog response:	vanish from existence, along with any memories of them.
context: I'm missing six. I'm sorry.\No one was riding on the opposite side from me.\Who is Rem?\Rem... Who is that?\You've forgotten Rem, too?\That's it...\People hit by the White Whale's fog\vanish from existence, along with any memories of them. response:	A Fog of Elimination.
context: No one was riding on the opposite side from me.\Who is Rem?\Rem... Who is that?\You've forgotten Rem, too?\That's it...\People hit by the White Whale's fog\vanish from existence, along with any memories of them.\A Fog of Elimination. response:	You're back?
context: Who is Rem?\Rem... Who is that?\You've forgotten Rem, too?\That's it...\People hit by the White Whale's fog\vanish from existence, along with any memories of them.\A Fog of Elimination.\You're back? response:	Forgive my haste.
context: Rem... Who is that?\You've forgotten Rem, too?\That's it...\People hit by the White Whale's fog\vanish from existence, along with any memories of them.\A Fog of Elimination.\You're back?\Forgive my haste. response:	Damages?
context: You've forgotten Rem, too?\That's it...\People hit by the White Whale's fog\vanish from existence, along with any memories of them.\A Fog of Elimination.\You're back?\Forgive my haste.\Damages? response:	A total of twenty-one lost.
context: That's it...\People hit by the White Whale's fog\vanish from existence, along with any memories of them.\A Fog of Elimination.\You're back?\Forgive my haste.\Damages?\A total of twenty-one lost. response:	It appears one whole platoon was wiped out.
context: People hit by the White Whale's fog\vanish from existence, along with any memories of them.\A Fog of Elimination.\You're back?\Forgive my haste.\Damages?\A total of twenty-one lost.\It appears one whole platoon was wiped out. response:	It won't even be possible
context: vanish from existence, along with any memories of them.\A Fog of Elimination.\You're back?\Forgive my haste.\Damages?\A total of twenty-one lost.\It appears one whole platoon was wiped out.\It won't even be possible response:	to properly protect the honor of the lost.
context: A Fog of Elimination.\You're back?\Forgive my haste.\Damages?\A total of twenty-one lost.\It appears one whole platoon was wiped out.\It won't even be possible\to properly protect the honor of the lost. response:	My apologies.
context: You're back?\Forgive my haste.\Damages?\A total of twenty-one lost.\It appears one whole platoon was wiped out.\It won't even be possible\to properly protect the honor of the lost.\My apologies. response:	Why do you wield that sword?
context: Forgive my haste.\Damages?\A total of twenty-one lost.\It appears one whole platoon was wiped out.\It won't even be possible\to properly protect the honor of the lost.\My apologies.\Why do you wield that sword? response:	Because I could not think
context: Damages?\A total of twenty-one lost.\It appears one whole platoon was wiped out.\It won't even be possible\to properly protect the honor of the lost.\My apologies.\Why do you wield that sword?\Because I could not think response:	of any other way to protect.
context: A total of twenty-one lost.\It appears one whole platoon was wiped out.\It won't even be possible\to properly protect the honor of the lost.\My apologies.\Why do you wield that sword?\Because I could not think\of any other way to protect. response:	Now that it's in the fog,
context: It appears one whole platoon was wiped out.\It won't even be possible\to properly protect the honor of the lost.\My apologies.\Why do you wield that sword?\Because I could not think\of any other way to protect.\Now that it's in the fog, response:	we won't know whence it will attack.
context: It won't even be possible\to properly protect the honor of the lost.\My apologies.\Why do you wield that sword?\Because I could not think\of any other way to protect.\Now that it's in the fog,\we won't know whence it will attack. response:	Staying close is the worst thing we could do.
context: to properly protect the honor of the lost.\My apologies.\Why do you wield that sword?\Because I could not think\of any other way to protect.\Now that it's in the fog,\we won't know whence it will attack.\Staying close is the worst thing we could do. response:	Disperse immediately.
context: My apologies.\Why do you wield that sword?\Because I could not think\of any other way to protect.\Now that it's in the fog,\we won't know whence it will attack.\Staying close is the worst thing we could do.\Disperse immediately. response:	What is that?
context: Why do you wield that sword?\Because I could not think\of any other way to protect.\Now that it's in the fog,\we won't know whence it will attack.\Staying close is the worst thing we could do.\Disperse immediately.\What is that? response:	Is that the White Whale?
context: Because I could not think\of any other way to protect.\Now that it's in the fog,\we won't know whence it will attack.\Staying close is the worst thing we could do.\Disperse immediately.\What is that?\Is that the White Whale? response:	Hey! What's wrong?
context: of any other way to protect.\Now that it's in the fog,\we won't know whence it will attack.\Staying close is the worst thing we could do.\Disperse immediately.\What is that?\Is that the White Whale?\Hey! What's wrong? response:	Hey!
context: Now that it's in the fog,\we won't know whence it will attack.\Staying close is the worst thing we could do.\Disperse immediately.\What is that?\Is that the White Whale?\Hey! What's wrong?\Hey! response:	Hey! Rem!
context: we won't know whence it will attack.\Staying close is the worst thing we could do.\Disperse immediately.\What is that?\Is that the White Whale?\Hey! What's wrong?\Hey!\Hey! Rem! response:	That voice is the fog, which is directly attacking our minds...
context: Staying close is the worst thing we could do.\Disperse immediately.\What is that?\Is that the White Whale?\Hey! What's wrong?\Hey!\Hey! Rem!\That voice is the fog, which is directly attacking our minds... response:	Similar to mana sickness,
context: Disperse immediately.\What is that?\Is that the White Whale?\Hey! What's wrong?\Hey!\Hey! Rem!\That voice is the fog, which is directly attacking our minds...\Similar to mana sickness, response:	but much worse...
context: What is that?\Is that the White Whale?\Hey! What's wrong?\Hey!\Hey! Rem!\That voice is the fog, which is directly attacking our minds...\Similar to mana sickness,\but much worse... response:	Some people can resist it, and some can't?
context: Is that the White Whale?\Hey! What's wrong?\Hey!\Hey! Rem!\That voice is the fog, which is directly attacking our minds...\Similar to mana sickness,\but much worse...\Some people can resist it, and some can't? response:	I don't feel anything...
context: Hey! What's wrong?\Hey!\Hey! Rem!\That voice is the fog, which is directly attacking our minds...\Similar to mana sickness,\but much worse...\Some people can resist it, and some can't?\I don't feel anything... response:	It's all right.
context: Hey!\Hey! Rem!\That voice is the fog, which is directly attacking our minds...\Similar to mana sickness,\but much worse...\Some people can resist it, and some can't?\I don't feel anything...\It's all right. response:	It will calm down now.
context: Hey! Rem!\That voice is the fog, which is directly attacking our minds...\Similar to mana sickness,\but much worse...\Some people can resist it, and some can't?\I don't feel anything...\It's all right.\It will calm down now. response:	Hey!
context: That voice is the fog, which is directly attacking our minds...\Similar to mana sickness,\but much worse...\Some people can resist it, and some can't?\I don't feel anything...\It's all right.\It will calm down now.\Hey! response:	Enough... Stop it!
context: Similar to mana sickness,\but much worse...\Some people can resist it, and some can't?\I don't feel anything...\It's all right.\It will calm down now.\Hey!\Enough... Stop it! response:	Felis!
context: but much worse...\Some people can resist it, and some can't?\I don't feel anything...\It's all right.\It will calm down now.\Hey!\Enough... Stop it!\Felis! response:	Have the unaffected help them!
context: Some people can resist it, and some can't?\I don't feel anything...\It's all right.\It will calm down now.\Hey!\Enough... Stop it!\Felis!\Have the unaffected help them! response:	They say hurting people is harder on an army than killing them,
context: I don't feel anything...\It's all right.\It will calm down now.\Hey!\Enough... Stop it!\Felis!\Have the unaffected help them!\They say hurting people is harder on an army than killing them, response:	but what monster does that?
context: It's all right.\It will calm down now.\Hey!\Enough... Stop it!\Felis!\Have the unaffected help them!\They say hurting people is harder on an army than killing them,\but what monster does that? response:	Move!
context: It will calm down now.\Hey!\Enough... Stop it!\Felis!\Have the unaffected help them!\They say hurting people is harder on an army than killing them,\but what monster does that?\Move! response:	I guess Felis can remove the effects of the fog's contamination.
context: Hey!\Enough... Stop it!\Felis!\Have the unaffected help them!\They say hurting people is harder on an army than killing them,\but what monster does that?\Move!\I guess Felis can remove the effects of the fog's contamination. response:	But there isn't enough time...
context: Enough... Stop it!\Felis!\Have the unaffected help them!\They say hurting people is harder on an army than killing them,\but what monster does that?\Move!\I guess Felis can remove the effects of the fog's contamination.\But there isn't enough time... response:	If it comes for us now, we're finished.
context: Felis!\Have the unaffected help them!\They say hurting people is harder on an army than killing them,\but what monster does that?\Move!\I guess Felis can remove the effects of the fog's contamination.\But there isn't enough time...\If it comes for us now, we're finished. response:	Crusch-san!
context: Have the unaffected help them!\They say hurting people is harder on an army than killing them,\but what monster does that?\Move!\I guess Felis can remove the effects of the fog's contamination.\But there isn't enough time...\If it comes for us now, we're finished.\Crusch-san! response:	I'll buy us time.
context: They say hurting people is harder on an army than killing them,\but what monster does that?\Move!\I guess Felis can remove the effects of the fog's contamination.\But there isn't enough time...\If it comes for us now, we're finished.\Crusch-san!\I'll buy us time. response:	Have everyone regroup!
context: but what monster does that?\Move!\I guess Felis can remove the effects of the fog's contamination.\But there isn't enough time...\If it comes for us now, we're finished.\Crusch-san!\I'll buy us time.\Have everyone regroup! response:	What?
context: Move!\I guess Felis can remove the effects of the fog's contamination.\But there isn't enough time...\If it comes for us now, we're finished.\Crusch-san!\I'll buy us time.\Have everyone regroup!\What? response:	Rem, sorry, but I need you to accompany me to the most dangerous place here!
context: I guess Felis can remove the effects of the fog's contamination.\But there isn't enough time...\If it comes for us now, we're finished.\Crusch-san!\I'll buy us time.\Have everyone regroup!\What?\Rem, sorry, but I need you to accompany me to the most dangerous place here! response:	Of course. Anywhere.
context: But there isn't enough time...\If it comes for us now, we're finished.\Crusch-san!\I'll buy us time.\Have everyone regroup!\What?\Rem, sorry, but I need you to accompany me to the most dangerous place here!\Of course. Anywhere. response:	Wait, Natsuki Subaru!
