context: Did you wait long? response:	No, I just came too.
context: A retreat?!\Yup! This year, the newspaper club will have its summer retreat in the human world!\Are you sure?! With the amount of people we have...\It's fine, if I'm with you guys...\Maybe?!\Going with Moka-san and the others to the human world...\This is so sudden, is it all right to be happy about this? I don't really know.\I'm very nervous. response:	I said it before, right?
context: Yup! This year, the newspaper club will have its summer retreat in the human world!\Are you sure?! With the amount of people we have...\It's fine, if I'm with you guys...\Maybe?!\Going with Moka-san and the others to the human world...\This is so sudden, is it all right to be happy about this? I don't really know.\I'm very nervous.\I said it before, right? response:	That I was living in the human world until junior high, and I've always hated humans.
context: Are you sure?! With the amount of people we have...\It's fine, if I'm with you guys...\Maybe?!\Going with Moka-san and the others to the human world...\This is so sudden, is it all right to be happy about this? I don't really know.\I'm very nervous.\I said it before, right?\That I was living in the human world until junior high, and I've always hated humans. response:	Don't tell me... Going back to the human world makes you feel...
context: It's fine, if I'm with you guys...\Maybe?!\Going with Moka-san and the others to the human world...\This is so sudden, is it all right to be happy about this? I don't really know.\I'm very nervous.\I said it before, right?\That I was living in the human world until junior high, and I've always hated humans.\Don't tell me... Going back to the human world makes you feel... response:	To tell you the truth, I'm still a bit anxious after recalling some memories.
context: Maybe?!\Going with Moka-san and the others to the human world...\This is so sudden, is it all right to be happy about this? I don't really know.\I'm very nervous.\I said it before, right?\That I was living in the human world until junior high, and I've always hated humans.\Don't tell me... Going back to the human world makes you feel...\To tell you the truth, I'm still a bit anxious after recalling some memories. response:	But I'll be fine!
context: Going with Moka-san and the others to the human world...\This is so sudden, is it all right to be happy about this? I don't really know.\I'm very nervous.\I said it before, right?\That I was living in the human world until junior high, and I've always hated humans.\Don't tell me... Going back to the human world makes you feel...\To tell you the truth, I'm still a bit anxious after recalling some memories.\But I'll be fine! response:	If I'm with you, my anticipation will overcome the anxiety!
context: This is so sudden, is it all right to be happy about this? I don't really know.\I'm very nervous.\I said it before, right?\That I was living in the human world until junior high, and I've always hated humans.\Don't tell me... Going back to the human world makes you feel...\To tell you the truth, I'm still a bit anxious after recalling some memories.\But I'll be fine!\If I'm with you, my anticipation will overcome the anxiety! response:	Moka-san...
context: I'm very nervous.\I said it before, right?\That I was living in the human world until junior high, and I've always hated humans.\Don't tell me... Going back to the human world makes you feel...\To tell you the truth, I'm still a bit anxious after recalling some memories.\But I'll be fine!\If I'm with you, my anticipation will overcome the anxiety!\Moka-san... response:	I'll be counting on you, Tsukune.
context: I said it before, right?\That I was living in the human world until junior high, and I've always hated humans.\Don't tell me... Going back to the human world makes you feel...\To tell you the truth, I'm still a bit anxious after recalling some memories.\But I'll be fine!\If I'm with you, my anticipation will overcome the anxiety!\Moka-san...\I'll be counting on you, Tsukune. response:	Moka-san.
context: That I was living in the human world until junior high, and I've always hated humans.\Don't tell me... Going back to the human world makes you feel...\To tell you the truth, I'm still a bit anxious after recalling some memories.\But I'll be fine!\If I'm with you, my anticipation will overcome the anxiety!\Moka-san...\I'll be counting on you, Tsukune.\Moka-san. response:	Tsukune.
context: Don't tell me... Going back to the human world makes you feel...\To tell you the truth, I'm still a bit anxious after recalling some memories.\But I'll be fine!\If I'm with you, my anticipation will overcome the anxiety!\Moka-san...\I'll be counting on you, Tsukune.\Moka-san.\Tsukune. response:	Gosh... hurry up!
context: To tell you the truth, I'm still a bit anxious after recalling some memories.\But I'll be fine!\If I'm with you, my anticipation will overcome the anxiety!\Moka-san...\I'll be counting on you, Tsukune.\Moka-san.\Tsukune.\Gosh... hurry up! response:	Wait for me!
context: But I'll be fine!\If I'm with you, my anticipation will overcome the anxiety!\Moka-san...\I'll be counting on you, Tsukune.\Moka-san.\Tsukune.\Gosh... hurry up!\Wait for me! response:	What were you guys doing just now?
context: If I'm with you, my anticipation will overcome the anxiety!\Moka-san...\I'll be counting on you, Tsukune.\Moka-san.\Tsukune.\Gosh... hurry up!\Wait for me!\What were you guys doing just now? response:	They're only early in such situations.
context: Moka-san...\I'll be counting on you, Tsukune.\Moka-san.\Tsukune.\Gosh... hurry up!\Wait for me!\What were you guys doing just now?\They're only early in such situations. response:	Unprepared rivals indeed.
context: I'll be counting on you, Tsukune.\Moka-san.\Tsukune.\Gosh... hurry up!\Wait for me!\What were you guys doing just now?\They're only early in such situations.\Unprepared rivals indeed. response:	Everyone!
context: Moka-san.\Tsukune.\Gosh... hurry up!\Wait for me!\What were you guys doing just now?\They're only early in such situations.\Unprepared rivals indeed.\Everyone! response:	This is the first time that the newspaper club is going to the human world for a retreat!
context: Tsukune.\Gosh... hurry up!\Wait for me!\What were you guys doing just now?\They're only early in such situations.\Unprepared rivals indeed.\Everyone!\This is the first time that the newspaper club is going to the human world for a retreat! response:	Let's get excited and have fun!
context: Gosh... hurry up!\Wait for me!\What were you guys doing just now?\They're only early in such situations.\Unprepared rivals indeed.\Everyone!\This is the first time that the newspaper club is going to the human world for a retreat!\Let's get excited and have fun! response:	Yes!
context: Wait for me!\What were you guys doing just now?\They're only early in such situations.\Unprepared rivals indeed.\Everyone!\This is the first time that the newspaper club is going to the human world for a retreat!\Let's get excited and have fun!\Yes! response:	Where's Gin-senpai?
context: What were you guys doing just now?\They're only early in such situations.\Unprepared rivals indeed.\Everyone!\This is the first time that the newspaper club is going to the human world for a retreat!\Let's get excited and have fun!\Yes!\Where's Gin-senpai? response:	His remedial lessons aren't over yet. I wonder how many red marks he got.
context: They're only early in such situations.\Unprepared rivals indeed.\Everyone!\This is the first time that the newspaper club is going to the human world for a retreat!\Let's get excited and have fun!\Yes!\Where's Gin-senpai?\His remedial lessons aren't over yet. I wonder how many red marks he got. response:	Damn it, wait for me everyone! I'll be there in a jiffy!
context: Unprepared rivals indeed.\Everyone!\This is the first time that the newspaper club is going to the human world for a retreat!\Let's get excited and have fun!\Yes!\Where's Gin-senpai?\His remedial lessons aren't over yet. I wonder how many red marks he got.\Damn it, wait for me everyone! I'll be there in a jiffy! response:	But I don't think Kurumu-san should be talking about others.
context: Everyone!\This is the first time that the newspaper club is going to the human world for a retreat!\Let's get excited and have fun!\Yes!\Where's Gin-senpai?\His remedial lessons aren't over yet. I wonder how many red marks he got.\Damn it, wait for me everyone! I'll be there in a jiffy!\But I don't think Kurumu-san should be talking about others. response:	Don't worry about me, I finished all my lessons on time!
context: This is the first time that the newspaper club is going to the human world for a retreat!\Let's get excited and have fun!\Yes!\Where's Gin-senpai?\His remedial lessons aren't over yet. I wonder how many red marks he got.\Damn it, wait for me everyone! I'll be there in a jiffy!\But I don't think Kurumu-san should be talking about others.\Don't worry about me, I finished all my lessons on time! response:	Or rather you skipped class on time, right?
context: Let's get excited and have fun!\Yes!\Where's Gin-senpai?\His remedial lessons aren't over yet. I wonder how many red marks he got.\Damn it, wait for me everyone! I'll be there in a jiffy!\But I don't think Kurumu-san should be talking about others.\Don't worry about me, I finished all my lessons on time!\Or rather you skipped class on time, right? response:	Uh oh...
context: Yes!\Where's Gin-senpai?\His remedial lessons aren't over yet. I wonder how many red marks he got.\Damn it, wait for me everyone! I'll be there in a jiffy!\But I don't think Kurumu-san should be talking about others.\Don't worry about me, I finished all my lessons on time!\Or rather you skipped class on time, right?\Uh oh... response:	Yahoohoo.
context: Where's Gin-senpai?\His remedial lessons aren't over yet. I wonder how many red marks he got.\Damn it, wait for me everyone! I'll be there in a jiffy!\But I don't think Kurumu-san should be talking about others.\Don't worry about me, I finished all my lessons on time!\Or rather you skipped class on time, right?\Uh oh...\Yahoohoo. response:	The human world... once we pass this...
context: His remedial lessons aren't over yet. I wonder how many red marks he got.\Damn it, wait for me everyone! I'll be there in a jiffy!\But I don't think Kurumu-san should be talking about others.\Don't worry about me, I finished all my lessons on time!\Or rather you skipped class on time, right?\Uh oh...\Yahoohoo.\The human world... once we pass this... response:	I'm back!
context: Damn it, wait for me everyone! I'll be there in a jiffy!\But I don't think Kurumu-san should be talking about others.\Don't worry about me, I finished all my lessons on time!\Or rather you skipped class on time, right?\Uh oh...\Yahoohoo.\The human world... once we pass this...\I'm back! response:	You look happy, Tsukune.
context: But I don't think Kurumu-san should be talking about others.\Don't worry about me, I finished all my lessons on time!\Or rather you skipped class on time, right?\Uh oh...\Yahoohoo.\The human world... once we pass this...\I'm back!\You look happy, Tsukune. response:	Even saying I'm Back!, like you were a human.
context: Don't worry about me, I finished all my lessons on time!\Or rather you skipped class on time, right?\Uh oh...\Yahoohoo.\The human world... once we pass this...\I'm back!\You look happy, Tsukune.\Even saying I'm Back!, like you were a human. response:	It's because Tsukune stayed in the human world for a while...
context: Or rather you skipped class on time, right?\Uh oh...\Yahoohoo.\The human world... once we pass this...\I'm back!\You look happy, Tsukune.\Even saying I'm Back!, like you were a human.\It's because Tsukune stayed in the human world for a while... response:	Right, right, Tsukune?
context: Uh oh...\Yahoohoo.\The human world... once we pass this...\I'm back!\You look happy, Tsukune.\Even saying I'm Back!, like you were a human.\It's because Tsukune stayed in the human world for a while...\Right, right, Tsukune? response:	I guess it was nostalgia...
context: Yahoohoo.\The human world... once we pass this...\I'm back!\You look happy, Tsukune.\Even saying I'm Back!, like you were a human.\It's because Tsukune stayed in the human world for a while...\Right, right, Tsukune?\I guess it was nostalgia... response:	Is that what it is?
context: The human world... once we pass this...\I'm back!\You look happy, Tsukune.\Even saying I'm Back!, like you were a human.\It's because Tsukune stayed in the human world for a while...\Right, right, Tsukune?\I guess it was nostalgia...\Is that what it is? response:	Hey Tsukune-san,
context: I'm back!\You look happy, Tsukune.\Even saying I'm Back!, like you were a human.\It's because Tsukune stayed in the human world for a while...\Right, right, Tsukune?\I guess it was nostalgia...\Is that what it is?\Hey Tsukune-san, response:	Aren't you afraid of the human world?
context: You look happy, Tsukune.\Even saying I'm Back!, like you were a human.\It's because Tsukune stayed in the human world for a while...\Right, right, Tsukune?\I guess it was nostalgia...\Is that what it is?\Hey Tsukune-san,\Aren't you afraid of the human world? response:	Not at all.
context: Even saying I'm Back!, like you were a human.\It's because Tsukune stayed in the human world for a while...\Right, right, Tsukune?\I guess it was nostalgia...\Is that what it is?\Hey Tsukune-san,\Aren't you afraid of the human world?\Not at all. response:	Youkai Academy is much more frightening.
context: It's because Tsukune stayed in the human world for a while...\Right, right, Tsukune?\I guess it was nostalgia...\Is that what it is?\Hey Tsukune-san,\Aren't you afraid of the human world?\Not at all.\Youkai Academy is much more frightening. response:	Tsukune-san is so amazing!
context: Right, right, Tsukune?\I guess it was nostalgia...\Is that what it is?\Hey Tsukune-san,\Aren't you afraid of the human world?\Not at all.\Youkai Academy is much more frightening.\Tsukune-san is so amazing! response:	R-Really?
context: I guess it was nostalgia...\Is that what it is?\Hey Tsukune-san,\Aren't you afraid of the human world?\Not at all.\Youkai Academy is much more frightening.\Tsukune-san is so amazing!\R-Really? response:	Yeah!
context: Is that what it is?\Hey Tsukune-san,\Aren't you afraid of the human world?\Not at all.\Youkai Academy is much more frightening.\Tsukune-san is so amazing!\R-Really?\Yeah! response:	Are you all right?
context: Hey Tsukune-san,\Aren't you afraid of the human world?\Not at all.\Youkai Academy is much more frightening.\Tsukune-san is so amazing!\R-Really?\Yeah!\Are you all right? response:	A lot of sand got into my swimsuit...
context: Aren't you afraid of the human world?\Not at all.\Youkai Academy is much more frightening.\Tsukune-san is so amazing!\R-Really?\Yeah!\Are you all right?\A lot of sand got into my swimsuit... response:	Sorry.
context: Not at all.\Youkai Academy is much more frightening.\Tsukune-san is so amazing!\R-Really?\Yeah!\Are you all right?\A lot of sand got into my swimsuit...\Sorry. response:	Oh, so that's what it was.
context: Youkai Academy is much more frightening.\Tsukune-san is so amazing!\R-Really?\Yeah!\Are you all right?\A lot of sand got into my swimsuit...\Sorry.\Oh, so that's what it was. response:	For a moment there, I thought Tsukune might be a human.
context: Tsukune-san is so amazing!\R-Really?\Yeah!\Are you all right?\A lot of sand got into my swimsuit...\Sorry.\Oh, so that's what it was.\For a moment there, I thought Tsukune might be a human. response:	What are you saying, Kurumu-san?
context: R-Really?\Yeah!\Are you all right?\A lot of sand got into my swimsuit...\Sorry.\Oh, so that's what it was.\For a moment there, I thought Tsukune might be a human.\What are you saying, Kurumu-san? response:	That's impossible, right?
context: Yeah!\Are you all right?\A lot of sand got into my swimsuit...\Sorry.\Oh, so that's what it was.\For a moment there, I thought Tsukune might be a human.\What are you saying, Kurumu-san?\That's impossible, right? response:	Geez.
context: Are you all right?\A lot of sand got into my swimsuit...\Sorry.\Oh, so that's what it was.\For a moment there, I thought Tsukune might be a human.\What are you saying, Kurumu-san?\That's impossible, right?\Geez. response:	Hey,
context: A lot of sand got into my swimsuit...\Sorry.\Oh, so that's what it was.\For a moment there, I thought Tsukune might be a human.\What are you saying, Kurumu-san?\That's impossible, right?\Geez.\Hey, response:	Let's drop this topic and have fun since it's summer vacation now.
context: Sorry.\Oh, so that's what it was.\For a moment there, I thought Tsukune might be a human.\What are you saying, Kurumu-san?\That's impossible, right?\Geez.\Hey,\Let's drop this topic and have fun since it's summer vacation now. response:	Here, Yukari-chan!
context: Oh, so that's what it was.\For a moment there, I thought Tsukune might be a human.\What are you saying, Kurumu-san?\That's impossible, right?\Geez.\Hey,\Let's drop this topic and have fun since it's summer vacation now.\Here, Yukari-chan! response:	Just as Moka-san said!
context: For a moment there, I thought Tsukune might be a human.\What are you saying, Kurumu-san?\That's impossible, right?\Geez.\Hey,\Let's drop this topic and have fun since it's summer vacation now.\Here, Yukari-chan!\Just as Moka-san said! response:	Yeah!
context: What are you saying, Kurumu-san?\That's impossible, right?\Geez.\Hey,\Let's drop this topic and have fun since it's summer vacation now.\Here, Yukari-chan!\Just as Moka-san said!\Yeah! response:	Kurumu-san!
context: That's impossible, right?\Geez.\Hey,\Let's drop this topic and have fun since it's summer vacation now.\Here, Yukari-chan!\Just as Moka-san said!\Yeah!\Kurumu-san! response:	Sorry, you're so small that I didn't notice.
context: Geez.\Hey,\Let's drop this topic and have fun since it's summer vacation now.\Here, Yukari-chan!\Just as Moka-san said!\Yeah!\Kurumu-san!\Sorry, you're so small that I didn't notice. response:	Let's have a showdown then!
context: Hey,\Let's drop this topic and have fun since it's summer vacation now.\Here, Yukari-chan!\Just as Moka-san said!\Yeah!\Kurumu-san!\Sorry, you're so small that I didn't notice.\Let's have a showdown then! response:	A lady accepts all challenges.
context: Let's drop this topic and have fun since it's summer vacation now.\Here, Yukari-chan!\Just as Moka-san said!\Yeah!\Kurumu-san!\Sorry, you're so small that I didn't notice.\Let's have a showdown then!\A lady accepts all challenges. response:	That's just what I wanted!
context: Here, Yukari-chan!\Just as Moka-san said!\Yeah!\Kurumu-san!\Sorry, you're so small that I didn't notice.\Let's have a showdown then!\A lady accepts all challenges.\That's just what I wanted! response:	Nice toss, Tsukune!
context: Just as Moka-san said!\Yeah!\Kurumu-san!\Sorry, you're so small that I didn't notice.\Let's have a showdown then!\A lady accepts all challenges.\That's just what I wanted!\Nice toss, Tsukune! response:	Everyone... Get along!
context: Yeah!\Kurumu-san!\Sorry, you're so small that I didn't notice.\Let's have a showdown then!\A lady accepts all challenges.\That's just what I wanted!\Nice toss, Tsukune!\Everyone... Get along! response:	Yukari-chan!
context: Kurumu-san!\Sorry, you're so small that I didn't notice.\Let's have a showdown then!\A lady accepts all challenges.\That's just what I wanted!\Nice toss, Tsukune!\Everyone... Get along!\Yukari-chan! response:	Yes!
context: Sorry, you're so small that I didn't notice.\Let's have a showdown then!\A lady accepts all challenges.\That's just what I wanted!\Nice toss, Tsukune!\Everyone... Get along!\Yukari-chan!\Yes! response:	Take this!
context: Let's have a showdown then!\A lady accepts all challenges.\That's just what I wanted!\Nice toss, Tsukune!\Everyone... Get along!\Yukari-chan!\Yes!\Take this! response:	Yukari-chan...!
context: A lady accepts all challenges.\That's just what I wanted!\Nice toss, Tsukune!\Everyone... Get along!\Yukari-chan!\Yes!\Take this!\Yukari-chan...! response:	Don't do that...
context: That's just what I wanted!\Nice toss, Tsukune!\Everyone... Get along!\Yukari-chan!\Yes!\Take this!\Yukari-chan...!\Don't do that... response:	You can't use magic in the human world.
context: Nice toss, Tsukune!\Everyone... Get along!\Yukari-chan!\Yes!\Take this!\Yukari-chan...!\Don't do that...\You can't use magic in the human world. response:	I overdid it.
context: Everyone... Get along!\Yukari-chan!\Yes!\Take this!\Yukari-chan...!\Don't do that...\You can't use magic in the human world.\I overdid it. response:	Miss...?
context: Yukari-chan!\Yes!\Take this!\Yukari-chan...!\Don't do that...\You can't use magic in the human world.\I overdid it.\Miss...? response:	Those are raw.
context: Yes!\Take this!\Yukari-chan...!\Don't do that...\You can't use magic in the human world.\I overdid it.\Miss...?\Those are raw. response:	I like them raw.
context: Take this!\Yukari-chan...!\Don't do that...\You can't use magic in the human world.\I overdid it.\Miss...?\Those are raw.\I like them raw. response:	The sea... is really beautiful.
context: Yukari-chan...!\Don't do that...\You can't use magic in the human world.\I overdid it.\Miss...?\Those are raw.\I like them raw.\The sea... is really beautiful. response:	Tsukune!
context: Don't do that...\You can't use magic in the human world.\I overdid it.\Miss...?\Those are raw.\I like them raw.\The sea... is really beautiful.\Tsukune! response:	Tsukune-san!
context: You can't use magic in the human world.\I overdid it.\Miss...?\Those are raw.\I like them raw.\The sea... is really beautiful.\Tsukune!\Tsukune-san! response:	What are you doing over there? Come over!
context: I overdid it.\Miss...?\Those are raw.\I like them raw.\The sea... is really beautiful.\Tsukune!\Tsukune-san!\What are you doing over there? Come over! response:	Moka-san, let's go.
context: Miss...?\Those are raw.\I like them raw.\The sea... is really beautiful.\Tsukune!\Tsukune-san!\What are you doing over there? Come over!\Moka-san, let's go. response:	Sorry, I...
context: Those are raw.\I like them raw.\The sea... is really beautiful.\Tsukune!\Tsukune-san!\What are you doing over there? Come over!\Moka-san, let's go.\Sorry, I... response:	I should be apologizing instead, Moka-san.
context: I like them raw.\The sea... is really beautiful.\Tsukune!\Tsukune-san!\What are you doing over there? Come over!\Moka-san, let's go.\Sorry, I...\I should be apologizing instead, Moka-san. response:	Even though I knew that vampires can't go into water.
context: The sea... is really beautiful.\Tsukune!\Tsukune-san!\What are you doing over there? Come over!\Moka-san, let's go.\Sorry, I...\I should be apologizing instead, Moka-san.\Even though I knew that vampires can't go into water. response:	For more details, refer to Episode 5.
context: Tsukune!\Tsukune-san!\What are you doing over there? Come over!\Moka-san, let's go.\Sorry, I...\I should be apologizing instead, Moka-san.\Even though I knew that vampires can't go into water.\For more details, refer to Episode 5. response:	Go and swim, Tsukune.
context: Tsukune-san!\What are you doing over there? Come over!\Moka-san, let's go.\Sorry, I...\I should be apologizing instead, Moka-san.\Even though I knew that vampires can't go into water.\For more details, refer to Episode 5.\Go and swim, Tsukune. response:	But...
context: What are you doing over there? Come over!\Moka-san, let's go.\Sorry, I...\I should be apologizing instead, Moka-san.\Even though I knew that vampires can't go into water.\For more details, refer to Episode 5.\Go and swim, Tsukune.\But... response:	Go on, hurry! Kurumu-chan and the others are waiting for you.
context: Moka-san, let's go.\Sorry, I...\I should be apologizing instead, Moka-san.\Even though I knew that vampires can't go into water.\For more details, refer to Episode 5.\Go and swim, Tsukune.\But...\Go on, hurry! Kurumu-chan and the others are waiting for you. response:	No! If you're staying here, then I will too!
context: Sorry, I...\I should be apologizing instead, Moka-san.\Even though I knew that vampires can't go into water.\For more details, refer to Episode 5.\Go and swim, Tsukune.\But...\Go on, hurry! Kurumu-chan and the others are waiting for you.\No! If you're staying here, then I will too! response:	Don't mind me.
context: I should be apologizing instead, Moka-san.\Even though I knew that vampires can't go into water.\For more details, refer to Episode 5.\Go and swim, Tsukune.\But...\Go on, hurry! Kurumu-chan and the others are waiting for you.\No! If you're staying here, then I will too!\Don't mind me. response:	Since we're at the beach, you should have a lot of fun.
context: Even though I knew that vampires can't go into water.\For more details, refer to Episode 5.\Go and swim, Tsukune.\But...\Go on, hurry! Kurumu-chan and the others are waiting for you.\No! If you're staying here, then I will too!\Don't mind me.\Since we're at the beach, you should have a lot of fun. response:	If you're not around, I can't enjoy myself!
context: For more details, refer to Episode 5.\Go and swim, Tsukune.\But...\Go on, hurry! Kurumu-chan and the others are waiting for you.\No! If you're staying here, then I will too!\Don't mind me.\Since we're at the beach, you should have a lot of fun.\If you're not around, I can't enjoy myself! response:	Tsukune...
context: Go and swim, Tsukune.\But...\Go on, hurry! Kurumu-chan and the others are waiting for you.\No! If you're staying here, then I will too!\Don't mind me.\Since we're at the beach, you should have a lot of fun.\If you're not around, I can't enjoy myself!\Tsukune... response:	Are you really all right with that?
context: But...\Go on, hurry! Kurumu-chan and the others are waiting for you.\No! If you're staying here, then I will too!\Don't mind me.\Since we're at the beach, you should have a lot of fun.\If you're not around, I can't enjoy myself!\Tsukune...\Are you really all right with that? response:	Wait a minute!
context: Go on, hurry! Kurumu-chan and the others are waiting for you.\No! If you're staying here, then I will too!\Don't mind me.\Since we're at the beach, you should have a lot of fun.\If you're not around, I can't enjoy myself!\Tsukune...\Are you really all right with that?\Wait a minute! response:	Moka!
context: No! If you're staying here, then I will too!\Don't mind me.\Since we're at the beach, you should have a lot of fun.\If you're not around, I can't enjoy myself!\Tsukune...\Are you really all right with that?\Wait a minute!\Moka! response:	You were about to suck Tsukune's blood just now, weren't you?!
context: Don't mind me.\Since we're at the beach, you should have a lot of fun.\If you're not around, I can't enjoy myself!\Tsukune...\Are you really all right with that?\Wait a minute!\Moka!\You were about to suck Tsukune's blood just now, weren't you?! response:	You were, right?
context: Since we're at the beach, you should have a lot of fun.\If you're not around, I can't enjoy myself!\Tsukune...\Are you really all right with that?\Wait a minute!\Moka!\You were about to suck Tsukune's blood just now, weren't you?!\You were, right? response:	Mo-Moka-san...
context: If you're not around, I can't enjoy myself!\Tsukune...\Are you really all right with that?\Wait a minute!\Moka!\You were about to suck Tsukune's blood just now, weren't you?!\You were, right?\Mo-Moka-san... response:	But it's because Tsukune smells so good. Teehee!
context: Tsukune...\Are you really all right with that?\Wait a minute!\Moka!\You were about to suck Tsukune's blood just now, weren't you?!\You were, right?\Mo-Moka-san...\But it's because Tsukune smells so good. Teehee! response:	Don't teehee me!
context: Are you really all right with that?\Wait a minute!\Moka!\You were about to suck Tsukune's blood just now, weren't you?!\You were, right?\Mo-Moka-san...\But it's because Tsukune smells so good. Teehee!\Don't teehee me! response:	What'll happen if Tsukune faints in the human world?
context: Wait a minute!\Moka!\You were about to suck Tsukune's blood just now, weren't you?!\You were, right?\Mo-Moka-san...\But it's because Tsukune smells so good. Teehee!\Don't teehee me!\What'll happen if Tsukune faints in the human world? response:	If that's the case, then I'll take care of him!
context: Moka!\You were about to suck Tsukune's blood just now, weren't you?!\You were, right?\Mo-Moka-san...\But it's because Tsukune smells so good. Teehee!\Don't teehee me!\What'll happen if Tsukune faints in the human world?\If that's the case, then I'll take care of him! response:	No, I will.
context: You were about to suck Tsukune's blood just now, weren't you?!\You were, right?\Mo-Moka-san...\But it's because Tsukune smells so good. Teehee!\Don't teehee me!\What'll happen if Tsukune faints in the human world?\If that's the case, then I'll take care of him!\No, I will. response:	Of course, me too!
context: You were, right?\Mo-Moka-san...\But it's because Tsukune smells so good. Teehee!\Don't teehee me!\What'll happen if Tsukune faints in the human world?\If that's the case, then I'll take care of him!\No, I will.\Of course, me too! response:	W-Wait a minute there, everyone.
context: Mo-Moka-san...\But it's because Tsukune smells so good. Teehee!\Don't teehee me!\What'll happen if Tsukune faints in the human world?\If that's the case, then I'll take care of him!\No, I will.\Of course, me too!\W-Wait a minute there, everyone. response:	Umm... me too...
