context: Ladies and gentlemen, good evening. response:	The girl sleeping in the house of the poisoner...
context: All right?\What's the meaning of this? What brought this on?\I've been hearing some unsavory rumors about the Morcerf family.\But that doesn't mean you have to... I can't believe this!\I don't understand you.\As I recall, you were never very enthusiastic over the engagement from the very beginning.\You don't understand anything, do you, Father?\Don't treat my life like it was one of your stocks or bonds! response:	Here's a quick lesson for you.
context: What's the meaning of this? What brought this on?\I've been hearing some unsavory rumors about the Morcerf family.\But that doesn't mean you have to... I can't believe this!\I don't understand you.\As I recall, you were never very enthusiastic over the engagement from the very beginning.\You don't understand anything, do you, Father?\Don't treat my life like it was one of your stocks or bonds!\Here's a quick lesson for you. response:	There are only two kinds of people in this world, winners and losers.
context: I've been hearing some unsavory rumors about the Morcerf family.\But that doesn't mean you have to... I can't believe this!\I don't understand you.\As I recall, you were never very enthusiastic over the engagement from the very beginning.\You don't understand anything, do you, Father?\Don't treat my life like it was one of your stocks or bonds!\Here's a quick lesson for you.\There are only two kinds of people in this world, winners and losers. response:	Eugenie, I'm only thinking of what's best for you.
context: But that doesn't mean you have to... I can't believe this!\I don't understand you.\As I recall, you were never very enthusiastic over the engagement from the very beginning.\You don't understand anything, do you, Father?\Don't treat my life like it was one of your stocks or bonds!\Here's a quick lesson for you.\There are only two kinds of people in this world, winners and losers.\Eugenie, I'm only thinking of what's best for you. response:	Liar. You're thinking of what's best for you!
context: I don't understand you.\As I recall, you were never very enthusiastic over the engagement from the very beginning.\You don't understand anything, do you, Father?\Don't treat my life like it was one of your stocks or bonds!\Here's a quick lesson for you.\There are only two kinds of people in this world, winners and losers.\Eugenie, I'm only thinking of what's best for you.\Liar. You're thinking of what's best for you! response:	Damn it, Mondego, you really blew it.
context: As I recall, you were never very enthusiastic over the engagement from the very beginning.\You don't understand anything, do you, Father?\Don't treat my life like it was one of your stocks or bonds!\Here's a quick lesson for you.\There are only two kinds of people in this world, winners and losers.\Eugenie, I'm only thinking of what's best for you.\Liar. You're thinking of what's best for you!\Damn it, Mondego, you really blew it. response:	Sorry, but I plan to make it through this in one piece.
context: You don't understand anything, do you, Father?\Don't treat my life like it was one of your stocks or bonds!\Here's a quick lesson for you.\There are only two kinds of people in this world, winners and losers.\Eugenie, I'm only thinking of what's best for you.\Liar. You're thinking of what's best for you!\Damn it, Mondego, you really blew it.\Sorry, but I plan to make it through this in one piece. response:	I must say, it's hard to believe you're the Mondego I used to know.
context: Don't treat my life like it was one of your stocks or bonds!\Here's a quick lesson for you.\There are only two kinds of people in this world, winners and losers.\Eugenie, I'm only thinking of what's best for you.\Liar. You're thinking of what's best for you!\Damn it, Mondego, you really blew it.\Sorry, but I plan to make it through this in one piece.\I must say, it's hard to believe you're the Mondego I used to know. response:	You've done well for yourself.
context: Here's a quick lesson for you.\There are only two kinds of people in this world, winners and losers.\Eugenie, I'm only thinking of what's best for you.\Liar. You're thinking of what's best for you!\Damn it, Mondego, you really blew it.\Sorry, but I plan to make it through this in one piece.\I must say, it's hard to believe you're the Mondego I used to know.\You've done well for yourself. response:	How do you know about that?
context: There are only two kinds of people in this world, winners and losers.\Eugenie, I'm only thinking of what's best for you.\Liar. You're thinking of what's best for you!\Damn it, Mondego, you really blew it.\Sorry, but I plan to make it through this in one piece.\I must say, it's hard to believe you're the Mondego I used to know.\You've done well for yourself.\How do you know about that? response:	A certain gentleman filled me in.
context: Eugenie, I'm only thinking of what's best for you.\Liar. You're thinking of what's best for you!\Damn it, Mondego, you really blew it.\Sorry, but I plan to make it through this in one piece.\I must say, it's hard to believe you're the Mondego I used to know.\You've done well for yourself.\How do you know about that?\A certain gentleman filled me in. response:	Who?! Who was it?!
context: Liar. You're thinking of what's best for you!\Damn it, Mondego, you really blew it.\Sorry, but I plan to make it through this in one piece.\I must say, it's hard to believe you're the Mondego I used to know.\You've done well for yourself.\How do you know about that?\A certain gentleman filled me in.\Who?! Who was it?! response:	Oh, I can't tell you that... But that's not important.
context: Damn it, Mondego, you really blew it.\Sorry, but I plan to make it through this in one piece.\I must say, it's hard to believe you're the Mondego I used to know.\You've done well for yourself.\How do you know about that?\A certain gentleman filled me in.\Who?! Who was it?!\Oh, I can't tell you that... But that's not important. response:	How much do you want?
context: Sorry, but I plan to make it through this in one piece.\I must say, it's hard to believe you're the Mondego I used to know.\You've done well for yourself.\How do you know about that?\A certain gentleman filled me in.\Who?! Who was it?!\Oh, I can't tell you that... But that's not important.\How much do you want? response:	Gimme everything you've got!
context: I must say, it's hard to believe you're the Mondego I used to know.\You've done well for yourself.\How do you know about that?\A certain gentleman filled me in.\Who?! Who was it?!\Oh, I can't tell you that... But that's not important.\How much do you want?\Gimme everything you've got! response:	If you wanna keep me from talking, stuff my mouth with gold!
context: You've done well for yourself.\How do you know about that?\A certain gentleman filled me in.\Who?! Who was it?!\Oh, I can't tell you that... But that's not important.\How much do you want?\Gimme everything you've got!\If you wanna keep me from talking, stuff my mouth with gold! response:	It's an honor to see you again, Mademoiselle.
context: How do you know about that?\A certain gentleman filled me in.\Who?! Who was it?!\Oh, I can't tell you that... But that's not important.\How much do you want?\Gimme everything you've got!\If you wanna keep me from talking, stuff my mouth with gold!\It's an honor to see you again, Mademoiselle. response:	Marquis Cavalcanti? Do you have some business here?
context: A certain gentleman filled me in.\Who?! Who was it?!\Oh, I can't tell you that... But that's not important.\How much do you want?\Gimme everything you've got!\If you wanna keep me from talking, stuff my mouth with gold!\It's an honor to see you again, Mademoiselle.\Marquis Cavalcanti? Do you have some business here? response:	Yes, I have a meeting with your father.
context: Who?! Who was it?!\Oh, I can't tell you that... But that's not important.\How much do you want?\Gimme everything you've got!\If you wanna keep me from talking, stuff my mouth with gold!\It's an honor to see you again, Mademoiselle.\Marquis Cavalcanti? Do you have some business here?\Yes, I have a meeting with your father. response:	More financial dealings?
context: Oh, I can't tell you that... But that's not important.\How much do you want?\Gimme everything you've got!\If you wanna keep me from talking, stuff my mouth with gold!\It's an honor to see you again, Mademoiselle.\Marquis Cavalcanti? Do you have some business here?\Yes, I have a meeting with your father.\More financial dealings? response:	I was hoping that I might be of some assistance to you.
context: How much do you want?\Gimme everything you've got!\If you wanna keep me from talking, stuff my mouth with gold!\It's an honor to see you again, Mademoiselle.\Marquis Cavalcanti? Do you have some business here?\Yes, I have a meeting with your father.\More financial dealings?\I was hoping that I might be of some assistance to you. response:	I want to take everything that causes you sorrow and make them go away.
context: Gimme everything you've got!\If you wanna keep me from talking, stuff my mouth with gold!\It's an honor to see you again, Mademoiselle.\Marquis Cavalcanti? Do you have some business here?\Yes, I have a meeting with your father.\More financial dealings?\I was hoping that I might be of some assistance to you.\I want to take everything that causes you sorrow and make them go away. response:	There's no reason for you to do that for me.
context: If you wanna keep me from talking, stuff my mouth with gold!\It's an honor to see you again, Mademoiselle.\Marquis Cavalcanti? Do you have some business here?\Yes, I have a meeting with your father.\More financial dealings?\I was hoping that I might be of some assistance to you.\I want to take everything that causes you sorrow and make them go away.\There's no reason for you to do that for me. response:	Does a man need a reason to be in love?
context: It's an honor to see you again, Mademoiselle.\Marquis Cavalcanti? Do you have some business here?\Yes, I have a meeting with your father.\More financial dealings?\I was hoping that I might be of some assistance to you.\I want to take everything that causes you sorrow and make them go away.\There's no reason for you to do that for me.\Does a man need a reason to be in love? response:	No! Let go of me!
context: Marquis Cavalcanti? Do you have some business here?\Yes, I have a meeting with your father.\More financial dealings?\I was hoping that I might be of some assistance to you.\I want to take everything that causes you sorrow and make them go away.\There's no reason for you to do that for me.\Does a man need a reason to be in love?\No! Let go of me! response:	I'll scream!
context: Yes, I have a meeting with your father.\More financial dealings?\I was hoping that I might be of some assistance to you.\I want to take everything that causes you sorrow and make them go away.\There's no reason for you to do that for me.\Does a man need a reason to be in love?\No! Let go of me!\I'll scream! response:	You're acquainted with the Count of Monte Cristo, I take it?
context: More financial dealings?\I was hoping that I might be of some assistance to you.\I want to take everything that causes you sorrow and make them go away.\There's no reason for you to do that for me.\Does a man need a reason to be in love?\No! Let go of me!\I'll scream!\You're acquainted with the Count of Monte Cristo, I take it? response:	The gossip dealing with the Morcerf family was apparently leaked by him.
context: I was hoping that I might be of some assistance to you.\I want to take everything that causes you sorrow and make them go away.\There's no reason for you to do that for me.\Does a man need a reason to be in love?\No! Let go of me!\I'll scream!\You're acquainted with the Count of Monte Cristo, I take it?\The gossip dealing with the Morcerf family was apparently leaked by him. response:	What are you talking about?
context: I want to take everything that causes you sorrow and make them go away.\There's no reason for you to do that for me.\Does a man need a reason to be in love?\No! Let go of me!\I'll scream!\You're acquainted with the Count of Monte Cristo, I take it?\The gossip dealing with the Morcerf family was apparently leaked by him.\What are you talking about? response:	I must say, though, I find it unlikely that the Count's information would be incorrect.
context: There's no reason for you to do that for me.\Does a man need a reason to be in love?\No! Let go of me!\I'll scream!\You're acquainted with the Count of Monte Cristo, I take it?\The gossip dealing with the Morcerf family was apparently leaked by him.\What are you talking about?\I must say, though, I find it unlikely that the Count's information would be incorrect. response:	Why are you telling me this?
context: Does a man need a reason to be in love?\No! Let go of me!\I'll scream!\You're acquainted with the Count of Monte Cristo, I take it?\The gossip dealing with the Morcerf family was apparently leaked by him.\What are you talking about?\I must say, though, I find it unlikely that the Count's information would be incorrect.\Why are you telling me this? response:	The thought of seeing sadness on the face of the woman I love is unbearable.
context: No! Let go of me!\I'll scream!\You're acquainted with the Count of Monte Cristo, I take it?\The gossip dealing with the Morcerf family was apparently leaked by him.\What are you talking about?\I must say, though, I find it unlikely that the Count's information would be incorrect.\Why are you telling me this?\The thought of seeing sadness on the face of the woman I love is unbearable. response:	Cut it out. There's no reason for you to be in love with me.
context: I'll scream!\You're acquainted with the Count of Monte Cristo, I take it?\The gossip dealing with the Morcerf family was apparently leaked by him.\What are you talking about?\I must say, though, I find it unlikely that the Count's information would be incorrect.\Why are you telling me this?\The thought of seeing sadness on the face of the woman I love is unbearable.\Cut it out. There's no reason for you to be in love with me. response:	Why would the Count of Monte Cristo do such a thing?
context: You're acquainted with the Count of Monte Cristo, I take it?\The gossip dealing with the Morcerf family was apparently leaked by him.\What are you talking about?\I must say, though, I find it unlikely that the Count's information would be incorrect.\Why are you telling me this?\The thought of seeing sadness on the face of the woman I love is unbearable.\Cut it out. There's no reason for you to be in love with me.\Why would the Count of Monte Cristo do such a thing? response:	I wonder what she thinks about the engagement being called off?
context: The gossip dealing with the Morcerf family was apparently leaked by him.\What are you talking about?\I must say, though, I find it unlikely that the Count's information would be incorrect.\Why are you telling me this?\The thought of seeing sadness on the face of the woman I love is unbearable.\Cut it out. There's no reason for you to be in love with me.\Why would the Count of Monte Cristo do such a thing?\I wonder what she thinks about the engagement being called off? response:	Why don't you just ask the girl?
context: What are you talking about?\I must say, though, I find it unlikely that the Count's information would be incorrect.\Why are you telling me this?\The thought of seeing sadness on the face of the woman I love is unbearable.\Cut it out. There's no reason for you to be in love with me.\Why would the Count of Monte Cristo do such a thing?\I wonder what she thinks about the engagement being called off?\Why don't you just ask the girl? response:	No, this problem might be bigger than just the two of us.
context: I must say, though, I find it unlikely that the Count's information would be incorrect.\Why are you telling me this?\The thought of seeing sadness on the face of the woman I love is unbearable.\Cut it out. There's no reason for you to be in love with me.\Why would the Count of Monte Cristo do such a thing?\I wonder what she thinks about the engagement being called off?\Why don't you just ask the girl?\No, this problem might be bigger than just the two of us. response:	Albert...
context: Why are you telling me this?\The thought of seeing sadness on the face of the woman I love is unbearable.\Cut it out. There's no reason for you to be in love with me.\Why would the Count of Monte Cristo do such a thing?\I wonder what she thinks about the engagement being called off?\Why don't you just ask the girl?\No, this problem might be bigger than just the two of us.\Albert... response:	You're serious about her, aren't you?
context: The thought of seeing sadness on the face of the woman I love is unbearable.\Cut it out. There's no reason for you to be in love with me.\Why would the Count of Monte Cristo do such a thing?\I wonder what she thinks about the engagement being called off?\Why don't you just ask the girl?\No, this problem might be bigger than just the two of us.\Albert...\You're serious about her, aren't you? response:	I guess it's true that you don't realize how important something is until you lose it.
context: Cut it out. There's no reason for you to be in love with me.\Why would the Count of Monte Cristo do such a thing?\I wonder what she thinks about the engagement being called off?\Why don't you just ask the girl?\No, this problem might be bigger than just the two of us.\Albert...\You're serious about her, aren't you?\I guess it's true that you don't realize how important something is until you lose it. response:	Goodness, this is amazing...
context: Why would the Count of Monte Cristo do such a thing?\I wonder what she thinks about the engagement being called off?\Why don't you just ask the girl?\No, this problem might be bigger than just the two of us.\Albert...\You're serious about her, aren't you?\I guess it's true that you don't realize how important something is until you lose it.\Goodness, this is amazing... response:	This is your daughter's big night, after all. Money is no object.
context: I wonder what she thinks about the engagement being called off?\Why don't you just ask the girl?\No, this problem might be bigger than just the two of us.\Albert...\You're serious about her, aren't you?\I guess it's true that you don't realize how important something is until you lose it.\Goodness, this is amazing...\This is your daughter's big night, after all. Money is no object. response:	My daughter is a lucky girl.
context: Why don't you just ask the girl?\No, this problem might be bigger than just the two of us.\Albert...\You're serious about her, aren't you?\I guess it's true that you don't realize how important something is until you lose it.\Goodness, this is amazing...\This is your daughter's big night, after all. Money is no object.\My daughter is a lucky girl. response:	She never would have been able to sell out the opera house on her own merits.
context: No, this problem might be bigger than just the two of us.\Albert...\You're serious about her, aren't you?\I guess it's true that you don't realize how important something is until you lose it.\Goodness, this is amazing...\This is your daughter's big night, after all. Money is no object.\My daughter is a lucky girl.\She never would have been able to sell out the opera house on her own merits. response:	This wouldn't have happened without your gracious support.
context: Albert...\You're serious about her, aren't you?\I guess it's true that you don't realize how important something is until you lose it.\Goodness, this is amazing...\This is your daughter's big night, after all. Money is no object.\My daughter is a lucky girl.\She never would have been able to sell out the opera house on her own merits.\This wouldn't have happened without your gracious support. response:	So, are you willing to go along with this? Breaking it off with Albert?
context: You're serious about her, aren't you?\I guess it's true that you don't realize how important something is until you lose it.\Goodness, this is amazing...\This is your daughter's big night, after all. Money is no object.\My daughter is a lucky girl.\She never would have been able to sell out the opera house on her own merits.\This wouldn't have happened without your gracious support.\So, are you willing to go along with this? Breaking it off with Albert? response:	You can hardly call it breaking it off. Nothing had even started.
context: I guess it's true that you don't realize how important something is until you lose it.\Goodness, this is amazing...\This is your daughter's big night, after all. Money is no object.\My daughter is a lucky girl.\She never would have been able to sell out the opera house on her own merits.\This wouldn't have happened without your gracious support.\So, are you willing to go along with this? Breaking it off with Albert?\You can hardly call it breaking it off. Nothing had even started. response:	Maybe, but you were engaged.
context: Goodness, this is amazing...\This is your daughter's big night, after all. Money is no object.\My daughter is a lucky girl.\She never would have been able to sell out the opera house on her own merits.\This wouldn't have happened without your gracious support.\So, are you willing to go along with this? Breaking it off with Albert?\You can hardly call it breaking it off. Nothing had even started.\Maybe, but you were engaged. response:	This is something that both our families decided.
context: This is your daughter's big night, after all. Money is no object.\My daughter is a lucky girl.\She never would have been able to sell out the opera house on her own merits.\This wouldn't have happened without your gracious support.\So, are you willing to go along with this? Breaking it off with Albert?\You can hardly call it breaking it off. Nothing had even started.\Maybe, but you were engaged.\This is something that both our families decided. response:	Why do you seem so hurt, then?
context: My daughter is a lucky girl.\She never would have been able to sell out the opera house on her own merits.\This wouldn't have happened without your gracious support.\So, are you willing to go along with this? Breaking it off with Albert?\You can hardly call it breaking it off. Nothing had even started.\Maybe, but you were engaged.\This is something that both our families decided.\Why do you seem so hurt, then? response:	Who is he? Who's this Count of Monte Cristo person?
context: She never would have been able to sell out the opera house on her own merits.\This wouldn't have happened without your gracious support.\So, are you willing to go along with this? Breaking it off with Albert?\You can hardly call it breaking it off. Nothing had even started.\Maybe, but you were engaged.\This is something that both our families decided.\Why do you seem so hurt, then?\Who is he? Who's this Count of Monte Cristo person? response:	Did the Count have something to do with this?
context: This wouldn't have happened without your gracious support.\So, are you willing to go along with this? Breaking it off with Albert?\You can hardly call it breaking it off. Nothing had even started.\Maybe, but you were engaged.\This is something that both our families decided.\Why do you seem so hurt, then?\Who is he? Who's this Count of Monte Cristo person?\Did the Count have something to do with this? response:	He's manipulating things behind the scenes.
context: So, are you willing to go along with this? Breaking it off with Albert?\You can hardly call it breaking it off. Nothing had even started.\Maybe, but you were engaged.\This is something that both our families decided.\Why do you seem so hurt, then?\Who is he? Who's this Count of Monte Cristo person?\Did the Count have something to do with this?\He's manipulating things behind the scenes. response:	It sounds like he was the source of all those bad rumors...
context: You can hardly call it breaking it off. Nothing had even started.\Maybe, but you were engaged.\This is something that both our families decided.\Why do you seem so hurt, then?\Who is he? Who's this Count of Monte Cristo person?\Did the Count have something to do with this?\He's manipulating things behind the scenes.\It sounds like he was the source of all those bad rumors... response:	Bad rumors?
context: Maybe, but you were engaged.\This is something that both our families decided.\Why do you seem so hurt, then?\Who is he? Who's this Count of Monte Cristo person?\Did the Count have something to do with this?\He's manipulating things behind the scenes.\It sounds like he was the source of all those bad rumors...\Bad rumors? response:	Personally, I don't care about all that political gossip,
context: This is something that both our families decided.\Why do you seem so hurt, then?\Who is he? Who's this Count of Monte Cristo person?\Did the Count have something to do with this?\He's manipulating things behind the scenes.\It sounds like he was the source of all those bad rumors...\Bad rumors?\Personally, I don't care about all that political gossip, response:	I really miss the old days, you know?
context: Why do you seem so hurt, then?\Who is he? Who's this Count of Monte Cristo person?\Did the Count have something to do with this?\He's manipulating things behind the scenes.\It sounds like he was the source of all those bad rumors...\Bad rumors?\Personally, I don't care about all that political gossip,\I really miss the old days, you know? response:	The three of us would run around the meadow, not even noticing when the sun went down.
context: Who is he? Who's this Count of Monte Cristo person?\Did the Count have something to do with this?\He's manipulating things behind the scenes.\It sounds like he was the source of all those bad rumors...\Bad rumors?\Personally, I don't care about all that political gossip,\I really miss the old days, you know?\The three of us would run around the meadow, not even noticing when the sun went down. response:	When did it start?
context: Did the Count have something to do with this?\He's manipulating things behind the scenes.\It sounds like he was the source of all those bad rumors...\Bad rumors?\Personally, I don't care about all that political gossip,\I really miss the old days, you know?\The three of us would run around the meadow, not even noticing when the sun went down.\When did it start? response:	When did we start being so awkward around each other,
context: He's manipulating things behind the scenes.\It sounds like he was the source of all those bad rumors...\Bad rumors?\Personally, I don't care about all that political gossip,\I really miss the old days, you know?\The three of us would run around the meadow, not even noticing when the sun went down.\When did it start?\When did we start being so awkward around each other, response:	When you were on your trip to Luna, what happened to you?
context: It sounds like he was the source of all those bad rumors...\Bad rumors?\Personally, I don't care about all that political gossip,\I really miss the old days, you know?\The three of us would run around the meadow, not even noticing when the sun went down.\When did it start?\When did we start being so awkward around each other,\When you were on your trip to Luna, what happened to you? response:	You two haven't been the same since that trip.
context: Bad rumors?\Personally, I don't care about all that political gossip,\I really miss the old days, you know?\The three of us would run around the meadow, not even noticing when the sun went down.\When did it start?\When did we start being so awkward around each other,\When you were on your trip to Luna, what happened to you?\You two haven't been the same since that trip. response:	You're right, we haven't.
context: Personally, I don't care about all that political gossip,\I really miss the old days, you know?\The three of us would run around the meadow, not even noticing when the sun went down.\When did it start?\When did we start being so awkward around each other,\When you were on your trip to Luna, what happened to you?\You two haven't been the same since that trip.\You're right, we haven't. response:	What does Albert think about all this?
context: I really miss the old days, you know?\The three of us would run around the meadow, not even noticing when the sun went down.\When did it start?\When did we start being so awkward around each other,\When you were on your trip to Luna, what happened to you?\You two haven't been the same since that trip.\You're right, we haven't.\What does Albert think about all this? response:	I haven't heard from him.
context: The three of us would run around the meadow, not even noticing when the sun went down.\When did it start?\When did we start being so awkward around each other,\When you were on your trip to Luna, what happened to you?\You two haven't been the same since that trip.\You're right, we haven't.\What does Albert think about all this?\I haven't heard from him. response:	Has he said anything to you?
context: When did it start?\When did we start being so awkward around each other,\When you were on your trip to Luna, what happened to you?\You two haven't been the same since that trip.\You're right, we haven't.\What does Albert think about all this?\I haven't heard from him.\Has he said anything to you? response:	You two are best friends, right?
context: When did we start being so awkward around each other,\When you were on your trip to Luna, what happened to you?\You two haven't been the same since that trip.\You're right, we haven't.\What does Albert think about all this?\I haven't heard from him.\Has he said anything to you?\You two are best friends, right? response:	Best friends, huh?
context: When you were on your trip to Luna, what happened to you?\You two haven't been the same since that trip.\You're right, we haven't.\What does Albert think about all this?\I haven't heard from him.\Has he said anything to you?\You two are best friends, right?\Best friends, huh? response:	Franz, is something wrong?
context: You two haven't been the same since that trip.\You're right, we haven't.\What does Albert think about all this?\I haven't heard from him.\Has he said anything to you?\You two are best friends, right?\Best friends, huh?\Franz, is something wrong? response:	I'm sorry. I don't really understand him these days, either.
context: You're right, we haven't.\What does Albert think about all this?\I haven't heard from him.\Has he said anything to you?\You two are best friends, right?\Best friends, huh?\Franz, is something wrong?\I'm sorry. I don't really understand him these days, either. response:	Did something happen between you and Albert?
context: What does Albert think about all this?\I haven't heard from him.\Has he said anything to you?\You two are best friends, right?\Best friends, huh?\Franz, is something wrong?\I'm sorry. I don't really understand him these days, either.\Did something happen between you and Albert? response:	We got into a fight.
context: I haven't heard from him.\Has he said anything to you?\You two are best friends, right?\Best friends, huh?\Franz, is something wrong?\I'm sorry. I don't really understand him these days, either.\Did something happen between you and Albert?\We got into a fight. response:	Albert shouldn't associate with the Count anymore...
context: Has he said anything to you?\You two are best friends, right?\Best friends, huh?\Franz, is something wrong?\I'm sorry. I don't really understand him these days, either.\Did something happen between you and Albert?\We got into a fight.\Albert shouldn't associate with the Count anymore... response:	Thanks for lending an ear.
context: You two are best friends, right?\Best friends, huh?\Franz, is something wrong?\I'm sorry. I don't really understand him these days, either.\Did something happen between you and Albert?\We got into a fight.\Albert shouldn't associate with the Count anymore...\Thanks for lending an ear. response:	I'm sorry I couldn't be more helpful. Still...
context: Best friends, huh?\Franz, is something wrong?\I'm sorry. I don't really understand him these days, either.\Did something happen between you and Albert?\We got into a fight.\Albert shouldn't associate with the Count anymore...\Thanks for lending an ear.\I'm sorry I couldn't be more helpful. Still... response:	What?
context: Franz, is something wrong?\I'm sorry. I don't really understand him these days, either.\Did something happen between you and Albert?\We got into a fight.\Albert shouldn't associate with the Count anymore...\Thanks for lending an ear.\I'm sorry I couldn't be more helpful. Still...\What? response:	I'm relieved.
context: I'm sorry. I don't really understand him these days, either.\Did something happen between you and Albert?\We got into a fight.\Albert shouldn't associate with the Count anymore...\Thanks for lending an ear.\I'm sorry I couldn't be more helpful. Still...\What?\I'm relieved. response:	Well, whatever you might say about it, it looks like you really do care about Albert.
context: Did something happen between you and Albert?\We got into a fight.\Albert shouldn't associate with the Count anymore...\Thanks for lending an ear.\I'm sorry I couldn't be more helpful. Still...\What?\I'm relieved.\Well, whatever you might say about it, it looks like you really do care about Albert. response:	Oh, geez... Is it that obvious?
context: We got into a fight.\Albert shouldn't associate with the Count anymore...\Thanks for lending an ear.\I'm sorry I couldn't be more helpful. Still...\What?\I'm relieved.\Well, whatever you might say about it, it looks like you really do care about Albert.\Oh, geez... Is it that obvious? response:	No one can hide it when they're pining away for someone.
context: Albert shouldn't associate with the Count anymore...\Thanks for lending an ear.\I'm sorry I couldn't be more helpful. Still...\What?\I'm relieved.\Well, whatever you might say about it, it looks like you really do care about Albert.\Oh, geez... Is it that obvious?\No one can hide it when they're pining away for someone. response:	Maybe the reason your piano performance that night at Auteuil was so great...
context: Thanks for lending an ear.\I'm sorry I couldn't be more helpful. Still...\What?\I'm relieved.\Well, whatever you might say about it, it looks like you really do care about Albert.\Oh, geez... Is it that obvious?\No one can hide it when they're pining away for someone.\Maybe the reason your piano performance that night at Auteuil was so great... response:	No way...
context: I'm sorry I couldn't be more helpful. Still...\What?\I'm relieved.\Well, whatever you might say about it, it looks like you really do care about Albert.\Oh, geez... Is it that obvious?\No one can hide it when they're pining away for someone.\Maybe the reason your piano performance that night at Auteuil was so great...\No way... response:	The feelings you have for someone manifest themselves in your art.
context: What?\I'm relieved.\Well, whatever you might say about it, it looks like you really do care about Albert.\Oh, geez... Is it that obvious?\No one can hide it when they're pining away for someone.\Maybe the reason your piano performance that night at Auteuil was so great...\No way...\The feelings you have for someone manifest themselves in your art. response:	Isn't that right?
context: I'm relieved.\Well, whatever you might say about it, it looks like you really do care about Albert.\Oh, geez... Is it that obvious?\No one can hide it when they're pining away for someone.\Maybe the reason your piano performance that night at Auteuil was so great...\No way...\The feelings you have for someone manifest themselves in your art.\Isn't that right? response:	Yeah, he wouldn't be here...
