context: It's something very precious to me. response:	Serinuma-san, I like you.
context: S-Straight to the point!\Blush\So I have to tell her how I feel\as soon as I possibly can.\G-Get real! We won't let you!\Huh? Why not?\No one gets a head start!\He means we all feel the same as you. response:	I like her too, and so does everyone here.
context: Blush\So I have to tell her how I feel\as soon as I possibly can.\G-Get real! We won't let you!\Huh? Why not?\No one gets a head start!\He means we all feel the same as you.\I like her too, and so does everyone here. response:	Is that right?
context: So I have to tell her how I feel\as soon as I possibly can.\G-Get real! We won't let you!\Huh? Why not?\No one gets a head start!\He means we all feel the same as you.\I like her too, and so does everyone here.\Is that right? response:	Then you should all tell her how you feel, too.
context: as soon as I possibly can.\G-Get real! We won't let you!\Huh? Why not?\No one gets a head start!\He means we all feel the same as you.\I like her too, and so does everyone here.\Is that right?\Then you should all tell her how you feel, too. response:	Totally Logical
context: G-Get real! We won't let you!\Huh? Why not?\No one gets a head start!\He means we all feel the same as you.\I like her too, and so does everyone here.\Is that right?\Then you should all tell her how you feel, too.\Totally Logical response:	S-Straight to the point!
context: Huh? Why not?\No one gets a head start!\He means we all feel the same as you.\I like her too, and so does everyone here.\Is that right?\Then you should all tell her how you feel, too.\Totally Logical\S-Straight to the point! response:	You don't need to tell us! We've already
context: No one gets a head start!\He means we all feel the same as you.\I like her too, and so does everyone here.\Is that right?\Then you should all tell her how you feel, too.\Totally Logical\S-Straight to the point!\You don't need to tell us! We've already response:	Wait.
context: He means we all feel the same as you.\I like her too, and so does everyone here.\Is that right?\Then you should all tell her how you feel, too.\Totally Logical\S-Straight to the point!\You don't need to tell us! We've already\Wait. response:	As far as I know, I don't think any of us have actually told her how we feel.
context: I like her too, and so does everyone here.\Is that right?\Then you should all tell her how you feel, too.\Totally Logical\S-Straight to the point!\You don't need to tell us! We've already\Wait.\As far as I know, I don't think any of us have actually told her how we feel. response:	Huh? That's not true.
context: Is that right?\Then you should all tell her how you feel, too.\Totally Logical\S-Straight to the point!\You don't need to tell us! We've already\Wait.\As far as I know, I don't think any of us have actually told her how we feel.\Huh? That's not true. response:	Yeah. That's not right at all!
context: Then you should all tell her how you feel, too.\Totally Logical\S-Straight to the point!\You don't need to tell us! We've already\Wait.\As far as I know, I don't think any of us have actually told her how we feel.\Huh? That's not true.\Yeah. That's not right at all! response:	Nope.
context: Totally Logical\S-Straight to the point!\You don't need to tell us! We've already\Wait.\As far as I know, I don't think any of us have actually told her how we feel.\Huh? That's not true.\Yeah. That's not right at all!\Nope. response:	No
context: S-Straight to the point!\You don't need to tell us! We've already\Wait.\As far as I know, I don't think any of us have actually told her how we feel.\Huh? That's not true.\Yeah. That's not right at all!\Nope.\No response:	Ni
context: You don't need to tell us! We've already\Wait.\As far as I know, I don't think any of us have actually told her how we feel.\Huh? That's not true.\Yeah. That's not right at all!\Nope.\No\Ni response:	Iga
context: Wait.\As far as I know, I don't think any of us have actually told her how we feel.\Huh? That's not true.\Yeah. That's not right at all!\Nope.\No\Ni\Iga response:	Shi
context: As far as I know, I don't think any of us have actually told her how we feel.\Huh? That's not true.\Yeah. That's not right at all!\Nope.\No\Ni\Iga\Shi response:	Nana
context: Huh? That's not true.\Yeah. That's not right at all!\Nope.\No\Ni\Iga\Shi\Nana response:	It's not?
context: Yeah. That's not right at all!\Nope.\No\Ni\Iga\Shi\Nana\It's not? response:	It's Not?
context: Nope.\No\Ni\Iga\Shi\Nana\It's not?\It's Not? response:	Well, you're all free to do as you like,
context: No\Ni\Iga\Shi\Nana\It's not?\It's Not?\Well, you're all free to do as you like, response:	but I'm going to tell her how I feel.
context: Ni\Iga\Shi\Nana\It's not?\It's Not?\Well, you're all free to do as you like,\but I'm going to tell her how I feel. response:	W-We were so preoccupied by Mutsumi's older brother that we...
context: Iga\Shi\Nana\It's not?\It's Not?\Well, you're all free to do as you like,\but I'm going to tell her how I feel.\W-We were so preoccupied by Mutsumi's older brother that we... response:	Yeah. We pushed the person into action that should never be pushed into action.
context: Shi\Nana\It's not?\It's Not?\Well, you're all free to do as you like,\but I'm going to tell her how I feel.\W-We were so preoccupied by Mutsumi's older brother that we...\Yeah. We pushed the person into action that should never be pushed into action. response:	We have to stop him somehow!
context: Nana\It's not?\It's Not?\Well, you're all free to do as you like,\but I'm going to tell her how I feel.\W-We were so preoccupied by Mutsumi's older brother that we...\Yeah. We pushed the person into action that should never be pushed into action.\We have to stop him somehow! response:	Kiss Him, Not Me
context: It's not?\It's Not?\Well, you're all free to do as you like,\but I'm going to tell her how I feel.\W-We were so preoccupied by Mutsumi's older brother that we...\Yeah. We pushed the person into action that should never be pushed into action.\We have to stop him somehow!\Kiss Him, Not Me response:	Senpai!
context: It's Not?\Well, you're all free to do as you like,\but I'm going to tell her how I feel.\W-We were so preoccupied by Mutsumi's older brother that we...\Yeah. We pushed the person into action that should never be pushed into action.\We have to stop him somehow!\Kiss Him, Not Me\Senpai! response:	I have a favor to ask.
context: Well, you're all free to do as you like,\but I'm going to tell her how I feel.\W-We were so preoccupied by Mutsumi's older brother that we...\Yeah. We pushed the person into action that should never be pushed into action.\We have to stop him somehow!\Kiss Him, Not Me\Senpai!\I have a favor to ask. response:	What's the matter?
context: but I'm going to tell her how I feel.\W-We were so preoccupied by Mutsumi's older brother that we...\Yeah. We pushed the person into action that should never be pushed into action.\We have to stop him somehow!\Kiss Him, Not Me\Senpai!\I have a favor to ask.\What's the matter? response:	There's an event at the end of the month and my draft is a bit behind schedule.
context: W-We were so preoccupied by Mutsumi's older brother that we...\Yeah. We pushed the person into action that should never be pushed into action.\We have to stop him somehow!\Kiss Him, Not Me\Senpai!\I have a favor to ask.\What's the matter?\There's an event at the end of the month and my draft is a bit behind schedule. response:	Can you please come over and be my assistant for a while, starting today?
context: Yeah. We pushed the person into action that should never be pushed into action.\We have to stop him somehow!\Kiss Him, Not Me\Senpai!\I have a favor to ask.\What's the matter?\There's an event at the end of the month and my draft is a bit behind schedule.\Can you please come over and be my assistant for a while, starting today? response:	The end of the month? You mean Comic Village, right?
context: We have to stop him somehow!\Kiss Him, Not Me\Senpai!\I have a favor to ask.\What's the matter?\There's an event at the end of the month and my draft is a bit behind schedule.\Can you please come over and be my assistant for a while, starting today?\The end of the month? You mean Comic Village, right? response:	Okay, I'll help in whatever way I can!
context: Kiss Him, Not Me\Senpai!\I have a favor to ask.\What's the matter?\There's an event at the end of the month and my draft is a bit behind schedule.\Can you please come over and be my assistant for a while, starting today?\The end of the month? You mean Comic Village, right?\Okay, I'll help in whatever way I can! response:	Really? Thank you so much!
context: Senpai!\I have a favor to ask.\What's the matter?\There's an event at the end of the month and my draft is a bit behind schedule.\Can you please come over and be my assistant for a while, starting today?\The end of the month? You mean Comic Village, right?\Okay, I'll help in whatever way I can!\Really? Thank you so much! response:	Then I'd better tell Mutsumi-senpai I'm not coming to club
context: I have a favor to ask.\What's the matter?\There's an event at the end of the month and my draft is a bit behind schedule.\Can you please come over and be my assistant for a while, starting today?\The end of the month? You mean Comic Village, right?\Okay, I'll help in whatever way I can!\Really? Thank you so much!\Then I'd better tell Mutsumi-senpai I'm not coming to club response:	Leave it to me!
context: What's the matter?\There's an event at the end of the month and my draft is a bit behind schedule.\Can you please come over and be my assistant for a while, starting today?\The end of the month? You mean Comic Village, right?\Okay, I'll help in whatever way I can!\Really? Thank you so much!\Then I'd better tell Mutsumi-senpai I'm not coming to club\Leave it to me! response:	I have to talk to him anyway, so I'll tell him while I'm at it!
context: There's an event at the end of the month and my draft is a bit behind schedule.\Can you please come over and be my assistant for a while, starting today?\The end of the month? You mean Comic Village, right?\Okay, I'll help in whatever way I can!\Really? Thank you so much!\Then I'd better tell Mutsumi-senpai I'm not coming to club\Leave it to me!\I have to talk to him anyway, so I'll tell him while I'm at it! response:	Shinomiya-kun?
context: Can you please come over and be my assistant for a while, starting today?\The end of the month? You mean Comic Village, right?\Okay, I'll help in whatever way I can!\Really? Thank you so much!\Then I'd better tell Mutsumi-senpai I'm not coming to club\Leave it to me!\I have to talk to him anyway, so I'll tell him while I'm at it!\Shinomiya-kun? response:	I wasn't called carrier pigeon in elementary school for nothing.
context: The end of the month? You mean Comic Village, right?\Okay, I'll help in whatever way I can!\Really? Thank you so much!\Then I'd better tell Mutsumi-senpai I'm not coming to club\Leave it to me!\I have to talk to him anyway, so I'll tell him while I'm at it!\Shinomiya-kun?\I wasn't called carrier pigeon in elementary school for nothing. response:	Blunt
context: Okay, I'll help in whatever way I can!\Really? Thank you so much!\Then I'd better tell Mutsumi-senpai I'm not coming to club\Leave it to me!\I have to talk to him anyway, so I'll tell him while I'm at it!\Shinomiya-kun?\I wasn't called carrier pigeon in elementary school for nothing.\Blunt response:	I'll be sure to let him know!
context: Really? Thank you so much!\Then I'd better tell Mutsumi-senpai I'm not coming to club\Leave it to me!\I have to talk to him anyway, so I'll tell him while I'm at it!\Shinomiya-kun?\I wasn't called carrier pigeon in elementary school for nothing.\Blunt\I'll be sure to let him know! response:	I-Is that right? Thanks, then.
context: Then I'd better tell Mutsumi-senpai I'm not coming to club\Leave it to me!\I have to talk to him anyway, so I'll tell him while I'm at it!\Shinomiya-kun?\I wasn't called carrier pigeon in elementary school for nothing.\Blunt\I'll be sure to let him know!\I-Is that right? Thanks, then. response:	Appreciate it, Coocoo-kun!
context: Leave it to me!\I have to talk to him anyway, so I'll tell him while I'm at it!\Shinomiya-kun?\I wasn't called carrier pigeon in elementary school for nothing.\Blunt\I'll be sure to let him know!\I-Is that right? Thanks, then.\Appreciate it, Coocoo-kun! response:	Don't call me weird names!
context: I have to talk to him anyway, so I'll tell him while I'm at it!\Shinomiya-kun?\I wasn't called carrier pigeon in elementary school for nothing.\Blunt\I'll be sure to let him know!\I-Is that right? Thanks, then.\Appreciate it, Coocoo-kun!\Don't call me weird names! response:	Coo, coo
context: Shinomiya-kun?\I wasn't called carrier pigeon in elementary school for nothing.\Blunt\I'll be sure to let him know!\I-Is that right? Thanks, then.\Appreciate it, Coocoo-kun!\Don't call me weird names!\Coo, coo response:	Well, let's go!
context: I wasn't called carrier pigeon in elementary school for nothing.\Blunt\I'll be sure to let him know!\I-Is that right? Thanks, then.\Appreciate it, Coocoo-kun!\Don't call me weird names!\Coo, coo\Well, let's go! response:	Let's!
context: Blunt\I'll be sure to let him know!\I-Is that right? Thanks, then.\Appreciate it, Coocoo-kun!\Don't call me weird names!\Coo, coo\Well, let's go!\Let's! response:	Huh? You too, Igarashi-kun?
context: I'll be sure to let him know!\I-Is that right? Thanks, then.\Appreciate it, Coocoo-kun!\Don't call me weird names!\Coo, coo\Well, let's go!\Let's!\Huh? You too, Igarashi-kun? response:	What do you want? No one invited you.
context: I-Is that right? Thanks, then.\Appreciate it, Coocoo-kun!\Don't call me weird names!\Coo, coo\Well, let's go!\Let's!\Huh? You too, Igarashi-kun?\What do you want? No one invited you. response:	As if I'd leave the two of you alone.
context: Appreciate it, Coocoo-kun!\Don't call me weird names!\Coo, coo\Well, let's go!\Let's!\Huh? You too, Igarashi-kun?\What do you want? No one invited you.\As if I'd leave the two of you alone. response:	Just when I thought I had my chance.
context: Don't call me weird names!\Coo, coo\Well, let's go!\Let's!\Huh? You too, Igarashi-kun?\What do you want? No one invited you.\As if I'd leave the two of you alone.\Just when I thought I had my chance. response:	Are you serious?
context: Coo, coo\Well, let's go!\Let's!\Huh? You too, Igarashi-kun?\What do you want? No one invited you.\As if I'd leave the two of you alone.\Just when I thought I had my chance.\Are you serious? response:	All right.
context: Well, let's go!\Let's!\Huh? You too, Igarashi-kun?\What do you want? No one invited you.\As if I'd leave the two of you alone.\Just when I thought I had my chance.\Are you serious?\All right. response:	Igarashi-senpai, can you please scan and clean this?
context: Let's!\Huh? You too, Igarashi-kun?\What do you want? No one invited you.\As if I'd leave the two of you alone.\Just when I thought I had my chance.\Are you serious?\All right.\Igarashi-senpai, can you please scan and clean this? response:	Yeah.
context: Huh? You too, Igarashi-kun?\What do you want? No one invited you.\As if I'd leave the two of you alone.\Just when I thought I had my chance.\Are you serious?\All right.\Igarashi-senpai, can you please scan and clean this?\Yeah. response:	Sorry, I'm going to borrow the restroom.
context: What do you want? No one invited you.\As if I'd leave the two of you alone.\Just when I thought I had my chance.\Are you serious?\All right.\Igarashi-senpai, can you please scan and clean this?\Yeah.\Sorry, I'm going to borrow the restroom. response:	Sure.
context: As if I'd leave the two of you alone.\Just when I thought I had my chance.\Are you serious?\All right.\Igarashi-senpai, can you please scan and clean this?\Yeah.\Sorry, I'm going to borrow the restroom.\Sure. response:	Hello.
context: Just when I thought I had my chance.\Are you serious?\All right.\Igarashi-senpai, can you please scan and clean this?\Yeah.\Sorry, I'm going to borrow the restroom.\Sure.\Hello. response:	Nana, situation update.
context: Are you serious?\All right.\Igarashi-senpai, can you please scan and clean this?\Yeah.\Sorry, I'm going to borrow the restroom.\Sure.\Hello.\Nana, situation update. response:	I've just arranged things with Serinuma's older brother.
context: All right.\Igarashi-senpai, can you please scan and clean this?\Yeah.\Sorry, I'm going to borrow the restroom.\Sure.\Hello.\Nana, situation update.\I've just arranged things with Serinuma's older brother. response:	He said he'll stop Senpai from making any contact with her.
context: Igarashi-senpai, can you please scan and clean this?\Yeah.\Sorry, I'm going to borrow the restroom.\Sure.\Hello.\Nana, situation update.\I've just arranged things with Serinuma's older brother.\He said he'll stop Senpai from making any contact with her. response:	Really? I'm surprised you were able to persuade him.
context: Yeah.\Sorry, I'm going to borrow the restroom.\Sure.\Hello.\Nana, situation update.\I've just arranged things with Serinuma's older brother.\He said he'll stop Senpai from making any contact with her.\Really? I'm surprised you were able to persuade him. response:	I told him Mutsumi-senpai was going a bit wild
context: Sorry, I'm going to borrow the restroom.\Sure.\Hello.\Nana, situation update.\I've just arranged things with Serinuma's older brother.\He said he'll stop Senpai from making any contact with her.\Really? I'm surprised you were able to persuade him.\I told him Mutsumi-senpai was going a bit wild response:	and Serinuma might be in danger.
context: Sure.\Hello.\Nana, situation update.\I've just arranged things with Serinuma's older brother.\He said he'll stop Senpai from making any contact with her.\Really? I'm surprised you were able to persuade him.\I told him Mutsumi-senpai was going a bit wild\and Serinuma might be in danger. response:	You never know what a guy like him could do!
context: Hello.\Nana, situation update.\I've just arranged things with Serinuma's older brother.\He said he'll stop Senpai from making any contact with her.\Really? I'm surprised you were able to persuade him.\I told him Mutsumi-senpai was going a bit wild\and Serinuma might be in danger.\You never know what a guy like him could do! response:	A Bit Traumatized
context: Nana, situation update.\I've just arranged things with Serinuma's older brother.\He said he'll stop Senpai from making any contact with her.\Really? I'm surprised you were able to persuade him.\I told him Mutsumi-senpai was going a bit wild\and Serinuma might be in danger.\You never know what a guy like him could do!\A Bit Traumatized response:	And there you have it. Mission complete!
context: I've just arranged things with Serinuma's older brother.\He said he'll stop Senpai from making any contact with her.\Really? I'm surprised you were able to persuade him.\I told him Mutsumi-senpai was going a bit wild\and Serinuma might be in danger.\You never know what a guy like him could do!\A Bit Traumatized\And there you have it. Mission complete! response:	Roger that.
context: He said he'll stop Senpai from making any contact with her.\Really? I'm surprised you were able to persuade him.\I told him Mutsumi-senpai was going a bit wild\and Serinuma might be in danger.\You never know what a guy like him could do!\A Bit Traumatized\And there you have it. Mission complete!\Roger that. response:	Good. That's one thing down.
context: Really? I'm surprised you were able to persuade him.\I told him Mutsumi-senpai was going a bit wild\and Serinuma might be in danger.\You never know what a guy like him could do!\A Bit Traumatized\And there you have it. Mission complete!\Roger that.\Good. That's one thing down. response:	Nishina, what about you?
context: I told him Mutsumi-senpai was going a bit wild\and Serinuma might be in danger.\You never know what a guy like him could do!\A Bit Traumatized\And there you have it. Mission complete!\Roger that.\Good. That's one thing down.\Nishina, what about you? response:	Everything's going well here, too!
context: and Serinuma might be in danger.\You never know what a guy like him could do!\A Bit Traumatized\And there you have it. Mission complete!\Roger that.\Good. That's one thing down.\Nishina, what about you?\Everything's going well here, too! response:	I've blocked Mutsumi-senpai's number on her phone!
context: You never know what a guy like him could do!\A Bit Traumatized\And there you have it. Mission complete!\Roger that.\Good. That's one thing down.\Nishina, what about you?\Everything's going well here, too!\I've blocked Mutsumi-senpai's number on her phone! response:	All right, let's get cracking!
context: A Bit Traumatized\And there you have it. Mission complete!\Roger that.\Good. That's one thing down.\Nishina, what about you?\Everything's going well here, too!\I've blocked Mutsumi-senpai's number on her phone!\All right, let's get cracking! response:	We won't let Mutsumi-senpai tell her anything!
context: And there you have it. Mission complete!\Roger that.\Good. That's one thing down.\Nishina, what about you?\Everything's going well here, too!\I've blocked Mutsumi-senpai's number on her phone!\All right, let's get cracking!\We won't let Mutsumi-senpai tell her anything! response:	No matter how dirty we have to play!
context: Roger that.\Good. That's one thing down.\Nishina, what about you?\Everything's going well here, too!\I've blocked Mutsumi-senpai's number on her phone!\All right, let's get cracking!\We won't let Mutsumi-senpai tell her anything!\No matter how dirty we have to play! response:	This is the History Club. We're Always Looking For New Members!
context: Good. That's one thing down.\Nishina, what about you?\Everything's going well here, too!\I've blocked Mutsumi-senpai's number on her phone!\All right, let's get cracking!\We won't let Mutsumi-senpai tell her anything!\No matter how dirty we have to play!\This is the History Club. We're Always Looking For New Members! response:	The number you are trying to reach is currently unavailable.
context: Nishina, what about you?\Everything's going well here, too!\I've blocked Mutsumi-senpai's number on her phone!\All right, let's get cracking!\We won't let Mutsumi-senpai tell her anything!\No matter how dirty we have to play!\This is the History Club. We're Always Looking For New Members!\The number you are trying to reach is currently unavailable. response:	No way! Ono no Imoko was a guy?!
context: Everything's going well here, too!\I've blocked Mutsumi-senpai's number on her phone!\All right, let's get cracking!\We won't let Mutsumi-senpai tell her anything!\No matter how dirty we have to play!\This is the History Club. We're Always Looking For New Members!\The number you are trying to reach is currently unavailable.\No way! Ono no Imoko was a guy?! response:	Huh? Are you for real?
context: I've blocked Mutsumi-senpai's number on her phone!\All right, let's get cracking!\We won't let Mutsumi-senpai tell her anything!\No matter how dirty we have to play!\This is the History Club. We're Always Looking For New Members!\The number you are trying to reach is currently unavailable.\No way! Ono no Imoko was a guy?!\Huh? Are you for real? response:	Shinomiya-kun, why are you here?
context: All right, let's get cracking!\We won't let Mutsumi-senpai tell her anything!\No matter how dirty we have to play!\This is the History Club. We're Always Looking For New Members!\The number you are trying to reach is currently unavailable.\No way! Ono no Imoko was a guy?!\Huh? Are you for real?\Shinomiya-kun, why are you here? response:	I'm interested in Japanese history! Really!
context: We won't let Mutsumi-senpai tell her anything!\No matter how dirty we have to play!\This is the History Club. We're Always Looking For New Members!\The number you are trying to reach is currently unavailable.\No way! Ono no Imoko was a guy?!\Huh? Are you for real?\Shinomiya-kun, why are you here?\I'm interested in Japanese history! Really! response:	H-Huh?
context: No matter how dirty we have to play!\This is the History Club. We're Always Looking For New Members!\The number you are trying to reach is currently unavailable.\No way! Ono no Imoko was a guy?!\Huh? Are you for real?\Shinomiya-kun, why are you here?\I'm interested in Japanese history! Really!\H-Huh? response:	Soga no Umako was a guy, too?!
context: This is the History Club. We're Always Looking For New Members!\The number you are trying to reach is currently unavailable.\No way! Ono no Imoko was a guy?!\Huh? Are you for real?\Shinomiya-kun, why are you here?\I'm interested in Japanese history! Really!\H-Huh?\Soga no Umako was a guy, too?! response:	Huh?!
context: The number you are trying to reach is currently unavailable.\No way! Ono no Imoko was a guy?!\Huh? Are you for real?\Shinomiya-kun, why are you here?\I'm interested in Japanese history! Really!\H-Huh?\Soga no Umako was a guy, too?!\Huh?! response:	Serinuma-san
context: No way! Ono no Imoko was a guy?!\Huh? Are you for real?\Shinomiya-kun, why are you here?\I'm interested in Japanese history! Really!\H-Huh?\Soga no Umako was a guy, too?!\Huh?!\Serinuma-san response:	The number you are trying to reach is currently unavailable.
context: Huh? Are you for real?\Shinomiya-kun, why are you here?\I'm interested in Japanese history! Really!\H-Huh?\Soga no Umako was a guy, too?!\Huh?!\Serinuma-san\The number you are trying to reach is currently unavailable. response:	A Few Days Later
context: Shinomiya-kun, why are you here?\I'm interested in Japanese history! Really!\H-Huh?\Soga no Umako was a guy, too?!\Huh?!\Serinuma-san\The number you are trying to reach is currently unavailable.\A Few Days Later response:	So? How are things going?
context: I'm interested in Japanese history! Really!\H-Huh?\Soga no Umako was a guy, too?!\Huh?!\Serinuma-san\The number you are trying to reach is currently unavailable.\A Few Days Later\So? How are things going? response:	I've been having her over every day for the past few days.
context: H-Huh?\Soga no Umako was a guy, too?!\Huh?!\Serinuma-san\The number you are trying to reach is currently unavailable.\A Few Days Later\So? How are things going?\I've been having her over every day for the past few days. response:	For now, she doesn't appear to suspect anything.
context: Soga no Umako was a guy, too?!\Huh?!\Serinuma-san\The number you are trying to reach is currently unavailable.\A Few Days Later\So? How are things going?\I've been having her over every day for the past few days.\For now, she doesn't appear to suspect anything. response:	I see.
context: Huh?!\Serinuma-san\The number you are trying to reach is currently unavailable.\A Few Days Later\So? How are things going?\I've been having her over every day for the past few days.\For now, she doesn't appear to suspect anything.\I see. response:	Yesterday, I got word from Takuro-san.
context: Serinuma-san\The number you are trying to reach is currently unavailable.\A Few Days Later\So? How are things going?\I've been having her over every day for the past few days.\For now, she doesn't appear to suspect anything.\I see.\Yesterday, I got word from Takuro-san. response:	Apparently, a telegram was delivered!
context: The number you are trying to reach is currently unavailable.\A Few Days Later\So? How are things going?\I've been having her over every day for the past few days.\For now, she doesn't appear to suspect anything.\I see.\Yesterday, I got word from Takuro-san.\Apparently, a telegram was delivered! response:	This isn't good!
context: A Few Days Later\So? How are things going?\I've been having her over every day for the past few days.\For now, she doesn't appear to suspect anything.\I see.\Yesterday, I got word from Takuro-san.\Apparently, a telegram was delivered!\This isn't good! response:	This isn't good!
context: So? How are things going?\I've been having her over every day for the past few days.\For now, she doesn't appear to suspect anything.\I see.\Yesterday, I got word from Takuro-san.\Apparently, a telegram was delivered!\This isn't good!\This isn't good! response:	Eep!
context: I've been having her over every day for the past few days.\For now, she doesn't appear to suspect anything.\I see.\Yesterday, I got word from Takuro-san.\Apparently, a telegram was delivered!\This isn't good!\This isn't good!\Eep! response:	A telegram?!
context: For now, she doesn't appear to suspect anything.\I see.\Yesterday, I got word from Takuro-san.\Apparently, a telegram was delivered!\This isn't good!\This isn't good!\Eep!\A telegram?! response:	And all it said was, I like you.
context: I see.\Yesterday, I got word from Takuro-san.\Apparently, a telegram was delivered!\This isn't good!\This isn't good!\Eep!\A telegram?!\And all it said was, I like you. response:	W-Well, we've gotten this far!
context: Yesterday, I got word from Takuro-san.\Apparently, a telegram was delivered!\This isn't good!\This isn't good!\Eep!\A telegram?!\And all it said was, I like you.\W-Well, we've gotten this far! response:	It's going well.
context: Apparently, a telegram was delivered!\This isn't good!\This isn't good!\Eep!\A telegram?!\And all it said was, I like you.\W-Well, we've gotten this far!\It's going well. response:	Hopefully he'll eventually give up.
context: This isn't good!\This isn't good!\Eep!\A telegram?!\And all it said was, I like you.\W-Well, we've gotten this far!\It's going well.\Hopefully he'll eventually give up. response:	Where the heck is he going?
