context: Is that what the king has been up to? response:	Malty-sama must've talked him into it.
context: News of Melromarc's summoning of the Four Cardinal Heroes\is making waves here as well.\We must prevent our neighbors from meddling, no matter what.\We'll continue to keep an eye on things in the capital.\I'm counting on you.\As a reward for your efforts during the Wave and for fulfilling my request,\Motoyasu-dono will receive 4,000 silvers,\and Itsuki-dono and Ren-dono will receive 3,800. response:	And as agreed upon, I have set aside 500 silvers for the Shield.
context: is making waves here as well.\We must prevent our neighbors from meddling, no matter what.\We'll continue to keep an eye on things in the capital.\I'm counting on you.\As a reward for your efforts during the Wave and for fulfilling my request,\Motoyasu-dono will receive 4,000 silvers,\and Itsuki-dono and Ren-dono will receive 3,800.\And as agreed upon, I have set aside 500 silvers for the Shield. response:	However...
context: We must prevent our neighbors from meddling, no matter what.\We'll continue to keep an eye on things in the capital.\I'm counting on you.\As a reward for your efforts during the Wave and for fulfilling my request,\Motoyasu-dono will receive 4,000 silvers,\and Itsuki-dono and Ren-dono will receive 3,800.\And as agreed upon, I have set aside 500 silvers for the Shield.\However... response:	Since it's offset by the cost of freeing his slave from her curse,
context: We'll continue to keep an eye on things in the capital.\I'm counting on you.\As a reward for your efforts during the Wave and for fulfilling my request,\Motoyasu-dono will receive 4,000 silvers,\and Itsuki-dono and Ren-dono will receive 3,800.\And as agreed upon, I have set aside 500 silvers for the Shield.\However...\Since it's offset by the cost of freeing his slave from her curse, response:	he will receive no funds this time.
context: I'm counting on you.\As a reward for your efforts during the Wave and for fulfilling my request,\Motoyasu-dono will receive 4,000 silvers,\and Itsuki-dono and Ren-dono will receive 3,800.\And as agreed upon, I have set aside 500 silvers for the Shield.\However...\Since it's offset by the cost of freeing his slave from her curse,\he will receive no funds this time. response:	I don't think that's going to fly.
context: As a reward for your efforts during the Wave and for fulfilling my request,\Motoyasu-dono will receive 4,000 silvers,\and Itsuki-dono and Ren-dono will receive 3,800.\And as agreed upon, I have set aside 500 silvers for the Shield.\However...\Since it's offset by the cost of freeing his slave from her curse,\he will receive no funds this time.\I don't think that's going to fly. response:	You interfered in his duel, dispelled the...
context: Motoyasu-dono will receive 4,000 silvers,\and Itsuki-dono and Ren-dono will receive 3,800.\And as agreed upon, I have set aside 500 silvers for the Shield.\However...\Since it's offset by the cost of freeing his slave from her curse,\he will receive no funds this time.\I don't think that's going to fly.\You interfered in his duel, dispelled the... response:	slave crest, was it?
context: and Itsuki-dono and Ren-dono will receive 3,800.\And as agreed upon, I have set aside 500 silvers for the Shield.\However...\Since it's offset by the cost of freeing his slave from her curse,\he will receive no funds this time.\I don't think that's going to fly.\You interfered in his duel, dispelled the...\slave crest, was it? response:	And now you refuse to pay him what he deserves?
context: And as agreed upon, I have set aside 500 silvers for the Shield.\However...\Since it's offset by the cost of freeing his slave from her curse,\he will receive no funds this time.\I don't think that's going to fly.\You interfered in his duel, dispelled the...\slave crest, was it?\And now you refuse to pay him what he deserves? response:	Right?
context: However...\Since it's offset by the cost of freeing his slave from her curse,\he will receive no funds this time.\I don't think that's going to fly.\You interfered in his duel, dispelled the...\slave crest, was it?\And now you refuse to pay him what he deserves?\Right? response:	If you'd followed the rules, Naofumi clearly would've won that duel.
context: Since it's offset by the cost of freeing his slave from her curse,\he will receive no funds this time.\I don't think that's going to fly.\You interfered in his duel, dispelled the...\slave crest, was it?\And now you refuse to pay him what he deserves?\Right?\If you'd followed the rules, Naofumi clearly would've won that duel. response:	Wha... I didn't lose!
context: he will receive no funds this time.\I don't think that's going to fly.\You interfered in his duel, dispelled the...\slave crest, was it?\And now you refuse to pay him what he deserves?\Right?\If you'd followed the rules, Naofumi clearly would've won that duel.\Wha... I didn't lose! response:	You're mistaken, Itsuki-sama, Ren-sama.
context: I don't think that's going to fly.\You interfered in his duel, dispelled the...\slave crest, was it?\And now you refuse to pay him what he deserves?\Right?\If you'd followed the rules, Naofumi clearly would've won that duel.\Wha... I didn't lose!\You're mistaken, Itsuki-sama, Ren-sama. response:	It was a one-on-one duel,
context: You interfered in his duel, dispelled the...\slave crest, was it?\And now you refuse to pay him what he deserves?\Right?\If you'd followed the rules, Naofumi clearly would've won that duel.\Wha... I didn't lose!\You're mistaken, Itsuki-sama, Ren-sama.\It was a one-on-one duel, response:	and the Shield Hero was the one with monsters hidden in his cape.
context: slave crest, was it?\And now you refuse to pay him what he deserves?\Right?\If you'd followed the rules, Naofumi clearly would've won that duel.\Wha... I didn't lose!\You're mistaken, Itsuki-sama, Ren-sama.\It was a one-on-one duel,\and the Shield Hero was the one with monsters hidden in his cape. response:	That is why Father didn't declare him the victor.
context: And now you refuse to pay him what he deserves?\Right?\If you'd followed the rules, Naofumi clearly would've won that duel.\Wha... I didn't lose!\You're mistaken, Itsuki-sama, Ren-sama.\It was a one-on-one duel,\and the Shield Hero was the one with monsters hidden in his cape.\That is why Father didn't declare him the victor. response:	Even then, you cheated by firing a magic spell at him.
context: Right?\If you'd followed the rules, Naofumi clearly would've won that duel.\Wha... I didn't lose!\You're mistaken, Itsuki-sama, Ren-sama.\It was a one-on-one duel,\and the Shield Hero was the one with monsters hidden in his cape.\That is why Father didn't declare him the victor.\Even then, you cheated by firing a magic spell at him. response:	Get off me!
context: If you'd followed the rules, Naofumi clearly would've won that duel.\Wha... I didn't lose!\You're mistaken, Itsuki-sama, Ren-sama.\It was a one-on-one duel,\and the Shield Hero was the one with monsters hidden in his cape.\That is why Father didn't declare him the victor.\Even then, you cheated by firing a magic spell at him.\Get off me! response:	I'm a cowardly cheat, after all!
context: Wha... I didn't lose!\You're mistaken, Itsuki-sama, Ren-sama.\It was a one-on-one duel,\and the Shield Hero was the one with monsters hidden in his cape.\That is why Father didn't declare him the victor.\Even then, you cheated by firing a magic spell at him.\Get off me!\I'm a cowardly cheat, after all! response:	Besides, when the Wave hit,
context: You're mistaken, Itsuki-sama, Ren-sama.\It was a one-on-one duel,\and the Shield Hero was the one with monsters hidden in his cape.\That is why Father didn't declare him the victor.\Even then, you cheated by firing a magic spell at him.\Get off me!\I'm a cowardly cheat, after all!\Besides, when the Wave hit, response:	it was Naofumi who defended that village in the knights' stead.
context: It was a one-on-one duel,\and the Shield Hero was the one with monsters hidden in his cape.\That is why Father didn't declare him the victor.\Even then, you cheated by firing a magic spell at him.\Get off me!\I'm a cowardly cheat, after all!\Besides, when the Wave hit,\it was Naofumi who defended that village in the knights' stead. response:	I believe he must be compensated in some way.
context: and the Shield Hero was the one with monsters hidden in his cape.\That is why Father didn't declare him the victor.\Even then, you cheated by firing a magic spell at him.\Get off me!\I'm a cowardly cheat, after all!\Besides, when the Wave hit,\it was Naofumi who defended that village in the knights' stead.\I believe he must be compensated in some way. response:	Very well. I shall afford him the minimum agreed amount.
context: That is why Father didn't declare him the victor.\Even then, you cheated by firing a magic spell at him.\Get off me!\I'm a cowardly cheat, after all!\Besides, when the Wave hit,\it was Naofumi who defended that village in the knights' stead.\I believe he must be compensated in some way.\Very well. I shall afford him the minimum agreed amount. response:	You have it, so begone already!
context: Even then, you cheated by firing a magic spell at him.\Get off me!\I'm a cowardly cheat, after all!\Besides, when the Wave hit,\it was Naofumi who defended that village in the knights' stead.\I believe he must be compensated in some way.\Very well. I shall afford him the minimum agreed amount.\You have it, so begone already! response:	Isn't it great, Naofumi-sama?
context: Get off me!\I'm a cowardly cheat, after all!\Besides, when the Wave hit,\it was Naofumi who defended that village in the knights' stead.\I believe he must be compensated in some way.\Very well. I shall afford him the minimum agreed amount.\You have it, so begone already!\Isn't it great, Naofumi-sama? response:	We don't have to waste our time in this place anymore.
context: I'm a cowardly cheat, after all!\Besides, when the Wave hit,\it was Naofumi who defended that village in the knights' stead.\I believe he must be compensated in some way.\Very well. I shall afford him the minimum agreed amount.\You have it, so begone already!\Isn't it great, Naofumi-sama?\We don't have to waste our time in this place anymore. response:	We're leaving, Raphtalia.
context: Besides, when the Wave hit,\it was Naofumi who defended that village in the knights' stead.\I believe he must be compensated in some way.\Very well. I shall afford him the minimum agreed amount.\You have it, so begone already!\Isn't it great, Naofumi-sama?\We don't have to waste our time in this place anymore.\We're leaving, Raphtalia. response:	The Rising of the Shield Hero
context: it was Naofumi who defended that village in the knights' stead.\I believe he must be compensated in some way.\Very well. I shall afford him the minimum agreed amount.\You have it, so begone already!\Isn't it great, Naofumi-sama?\We don't have to waste our time in this place anymore.\We're leaving, Raphtalia.\The Rising of the Shield Hero response:	Filo
context: I believe he must be compensated in some way.\Very well. I shall afford him the minimum agreed amount.\You have it, so begone already!\Isn't it great, Naofumi-sama?\We don't have to waste our time in this place anymore.\We're leaving, Raphtalia.\The Rising of the Shield Hero\Filo response:	There we go.
context: Very well. I shall afford him the minimum agreed amount.\You have it, so begone already!\Isn't it great, Naofumi-sama?\We don't have to waste our time in this place anymore.\We're leaving, Raphtalia.\The Rising of the Shield Hero\Filo\There we go. response:	She now has a new slave crest.
context: You have it, so begone already!\Isn't it great, Naofumi-sama?\We don't have to waste our time in this place anymore.\We're leaving, Raphtalia.\The Rising of the Shield Hero\Filo\There we go.\She now has a new slave crest. response:	There was no need to get another one, you know.
context: Isn't it great, Naofumi-sama?\We don't have to waste our time in this place anymore.\We're leaving, Raphtalia.\The Rising of the Shield Hero\Filo\There we go.\She now has a new slave crest.\There was no need to get another one, you know. response:	But I wanted it, as a symbol of your faith in me.
context: We don't have to waste our time in this place anymore.\We're leaving, Raphtalia.\The Rising of the Shield Hero\Filo\There we go.\She now has a new slave crest.\There was no need to get another one, you know.\But I wanted it, as a symbol of your faith in me. response:	If you say so.
context: We're leaving, Raphtalia.\The Rising of the Shield Hero\Filo\There we go.\She now has a new slave crest.\There was no need to get another one, you know.\But I wanted it, as a symbol of your faith in me.\If you say so. response:	A-Anyway, Naofumi-sama...
context: The Rising of the Shield Hero\Filo\There we go.\She now has a new slave crest.\There was no need to get another one, you know.\But I wanted it, as a symbol of your faith in me.\If you say so.\A-Anyway, Naofumi-sama... response:	Um, what do you think?
context: Filo\There we go.\She now has a new slave crest.\There was no need to get another one, you know.\But I wanted it, as a symbol of your faith in me.\If you say so.\A-Anyway, Naofumi-sama...\Um, what do you think? response:	Slave User's Shield, huh?
context: There we go.\She now has a new slave crest.\There was no need to get another one, you know.\But I wanted it, as a symbol of your faith in me.\If you say so.\A-Anyway, Naofumi-sama...\Um, what do you think?\Slave User's Shield, huh? response:	What is it?
context: She now has a new slave crest.\There was no need to get another one, you know.\But I wanted it, as a symbol of your faith in me.\If you say so.\A-Anyway, Naofumi-sama...\Um, what do you think?\Slave User's Shield, huh?\What is it? response:	Slave User's Shield
context: There was no need to get another one, you know.\But I wanted it, as a symbol of your faith in me.\If you say so.\A-Anyway, Naofumi-sama...\Um, what do you think?\Slave User's Shield, huh?\What is it?\Slave User's Shield response:	Nothing!
context: But I wanted it, as a symbol of your faith in me.\If you say so.\A-Anyway, Naofumi-sama...\Um, what do you think?\Slave User's Shield, huh?\What is it?\Slave User's Shield\Nothing! response:	Still...
context: If you say so.\A-Anyway, Naofumi-sama...\Um, what do you think?\Slave User's Shield, huh?\What is it?\Slave User's Shield\Nothing!\Still... response:	I'm amazed you helped that scrawny bag of bones grow so much in such a short time.
context: A-Anyway, Naofumi-sama...\Um, what do you think?\Slave User's Shield, huh?\What is it?\Slave User's Shield\Nothing!\Still...\I'm amazed you helped that scrawny bag of bones grow so much in such a short time. response:	Even if she's not a virgin, she's guaranteed to fetch you twenty gold pieces.
context: Um, what do you think?\Slave User's Shield, huh?\What is it?\Slave User's Shield\Nothing!\Still...\I'm amazed you helped that scrawny bag of bones grow so much in such a short time.\Even if she's not a virgin, she's guaranteed to fetch you twenty gold pieces. response:	I am a virgin!
context: Slave User's Shield, huh?\What is it?\Slave User's Shield\Nothing!\Still...\I'm amazed you helped that scrawny bag of bones grow so much in such a short time.\Even if she's not a virgin, she's guaranteed to fetch you twenty gold pieces.\I am a virgin! response:	Thirty-five, then!
context: What is it?\Slave User's Shield\Nothing!\Still...\I'm amazed you helped that scrawny bag of bones grow so much in such a short time.\Even if she's not a virgin, she's guaranteed to fetch you twenty gold pieces.\I am a virgin!\Thirty-five, then! response:	Thirty-five gold pieces, huh?
context: Slave User's Shield\Nothing!\Still...\I'm amazed you helped that scrawny bag of bones grow so much in such a short time.\Even if she's not a virgin, she's guaranteed to fetch you twenty gold pieces.\I am a virgin!\Thirty-five, then!\Thirty-five gold pieces, huh? response:	Naofumi-sama!
context: Nothing!\Still...\I'm amazed you helped that scrawny bag of bones grow so much in such a short time.\Even if she's not a virgin, she's guaranteed to fetch you twenty gold pieces.\I am a virgin!\Thirty-five, then!\Thirty-five gold pieces, huh?\Naofumi-sama! response:	What's that?
context: Still...\I'm amazed you helped that scrawny bag of bones grow so much in such a short time.\Even if she's not a virgin, she's guaranteed to fetch you twenty gold pieces.\I am a virgin!\Thirty-five, then!\Thirty-five gold pieces, huh?\Naofumi-sama!\What's that? response:	A monster egg lottery.
context: I'm amazed you helped that scrawny bag of bones grow so much in such a short time.\Even if she's not a virgin, she's guaranteed to fetch you twenty gold pieces.\I am a virgin!\Thirty-five, then!\Thirty-five gold pieces, huh?\Naofumi-sama!\What's that?\A monster egg lottery. response:	Pay 100 silvers, and you're guaranteed at least a filolial!
context: Even if she's not a virgin, she's guaranteed to fetch you twenty gold pieces.\I am a virgin!\Thirty-five, then!\Thirty-five gold pieces, huh?\Naofumi-sama!\What's that?\A monster egg lottery.\Pay 100 silvers, and you're guaranteed at least a filolial! response:	You'll win a monster chick that'll double in value if you raise it well.
context: I am a virgin!\Thirty-five, then!\Thirty-five gold pieces, huh?\Naofumi-sama!\What's that?\A monster egg lottery.\Pay 100 silvers, and you're guaranteed at least a filolial!\You'll win a monster chick that'll double in value if you raise it well. response:	A filolial?
context: Thirty-five, then!\Thirty-five gold pieces, huh?\Naofumi-sama!\What's that?\A monster egg lottery.\Pay 100 silvers, and you're guaranteed at least a filolial!\You'll win a monster chick that'll double in value if you raise it well.\A filolial? response:	You must've seen them around.
context: Thirty-five gold pieces, huh?\Naofumi-sama!\What's that?\A monster egg lottery.\Pay 100 silvers, and you're guaranteed at least a filolial!\You'll win a monster chick that'll double in value if you raise it well.\A filolial?\You must've seen them around. response:	They're the large birds that pull carriages around town.
context: Naofumi-sama!\What's that?\A monster egg lottery.\Pay 100 silvers, and you're guaranteed at least a filolial!\You'll win a monster chick that'll double in value if you raise it well.\A filolial?\You must've seen them around.\They're the large birds that pull carriages around town. response:	Oh, those?
context: What's that?\A monster egg lottery.\Pay 100 silvers, and you're guaranteed at least a filolial!\You'll win a monster chick that'll double in value if you raise it well.\A filolial?\You must've seen them around.\They're the large birds that pull carriages around town.\Oh, those? response:	What's more, if you hit the jackpot,
context: A monster egg lottery.\Pay 100 silvers, and you're guaranteed at least a filolial!\You'll win a monster chick that'll double in value if you raise it well.\A filolial?\You must've seen them around.\They're the large birds that pull carriages around town.\Oh, those?\What's more, if you hit the jackpot, response:	you'll win a dragon worth twenty gold pieces!
context: Pay 100 silvers, and you're guaranteed at least a filolial!\You'll win a monster chick that'll double in value if you raise it well.\A filolial?\You must've seen them around.\They're the large birds that pull carriages around town.\Oh, those?\What's more, if you hit the jackpot,\you'll win a dragon worth twenty gold pieces! response:	What, it's like a gacha game?
context: You'll win a monster chick that'll double in value if you raise it well.\A filolial?\You must've seen them around.\They're the large birds that pull carriages around town.\Oh, those?\What's more, if you hit the jackpot,\you'll win a dragon worth twenty gold pieces!\What, it's like a gacha game? response:	What's a gacha game?
context: A filolial?\You must've seen them around.\They're the large birds that pull carriages around town.\Oh, those?\What's more, if you hit the jackpot,\you'll win a dragon worth twenty gold pieces!\What, it's like a gacha game?\What's a gacha game? response:	Nothing. Forget it.
context: You must've seen them around.\They're the large birds that pull carriages around town.\Oh, those?\What's more, if you hit the jackpot,\you'll win a dragon worth twenty gold pieces!\What, it's like a gacha game?\What's a gacha game?\Nothing. Forget it. response:	Would you like to give it a shot?
context: They're the large birds that pull carriages around town.\Oh, those?\What's more, if you hit the jackpot,\you'll win a dragon worth twenty gold pieces!\What, it's like a gacha game?\What's a gacha game?\Nothing. Forget it.\Would you like to give it a shot? response:	Act now, and I'll give you a package deal for that and the slave crest!
context: Oh, those?\What's more, if you hit the jackpot,\you'll win a dragon worth twenty gold pieces!\What, it's like a gacha game?\What's a gacha game?\Nothing. Forget it.\Would you like to give it a shot?\Act now, and I'll give you a package deal for that and the slave crest! response:	You shouldn't waste money like that, Naofumi-sama.
context: What's more, if you hit the jackpot,\you'll win a dragon worth twenty gold pieces!\What, it's like a gacha game?\What's a gacha game?\Nothing. Forget it.\Would you like to give it a shot?\Act now, and I'll give you a package deal for that and the slave crest!\You shouldn't waste money like that, Naofumi-sama. response:	Well, I figured it wouldn't be fair to make you fight alone all the time.
context: you'll win a dragon worth twenty gold pieces!\What, it's like a gacha game?\What's a gacha game?\Nothing. Forget it.\Would you like to give it a shot?\Act now, and I'll give you a package deal for that and the slave crest!\You shouldn't waste money like that, Naofumi-sama.\Well, I figured it wouldn't be fair to make you fight alone all the time. response:	A monster should at least be some help.
context: What, it's like a gacha game?\What's a gacha game?\Nothing. Forget it.\Would you like to give it a shot?\Act now, and I'll give you a package deal for that and the slave crest!\You shouldn't waste money like that, Naofumi-sama.\Well, I figured it wouldn't be fair to make you fight alone all the time.\A monster should at least be some help. response:	I can fight by myself just fine!
context: What's a gacha game?\Nothing. Forget it.\Would you like to give it a shot?\Act now, and I'll give you a package deal for that and the slave crest!\You shouldn't waste money like that, Naofumi-sama.\Well, I figured it wouldn't be fair to make you fight alone all the time.\A monster should at least be some help.\I can fight by myself just fine! response:	If so, we can just sell it back to the slave trader.
context: Nothing. Forget it.\Would you like to give it a shot?\Act now, and I'll give you a package deal for that and the slave crest!\You shouldn't waste money like that, Naofumi-sama.\Well, I figured it wouldn't be fair to make you fight alone all the time.\A monster should at least be some help.\I can fight by myself just fine!\If so, we can just sell it back to the slave trader. response:	Either way, don't loosen your purse strings any more.
context: Would you like to give it a shot?\Act now, and I'll give you a package deal for that and the slave crest!\You shouldn't waste money like that, Naofumi-sama.\Well, I figured it wouldn't be fair to make you fight alone all the time.\A monster should at least be some help.\I can fight by myself just fine!\If so, we can just sell it back to the slave trader.\Either way, don't loosen your purse strings any more. response:	Fine, I hear you.
context: Act now, and I'll give you a package deal for that and the slave crest!\You shouldn't waste money like that, Naofumi-sama.\Well, I figured it wouldn't be fair to make you fight alone all the time.\A monster should at least be some help.\I can fight by myself just fine!\If so, we can just sell it back to the slave trader.\Either way, don't loosen your purse strings any more.\Fine, I hear you. response:	Relatives of mine in Lute Village asked me to help you out.
context: You shouldn't waste money like that, Naofumi-sama.\Well, I figured it wouldn't be fair to make you fight alone all the time.\A monster should at least be some help.\I can fight by myself just fine!\If so, we can just sell it back to the slave trader.\Either way, don't loosen your purse strings any more.\Fine, I hear you.\Relatives of mine in Lute Village asked me to help you out. response:	Think it was someone you saved back then?
context: Well, I figured it wouldn't be fair to make you fight alone all the time.\A monster should at least be some help.\I can fight by myself just fine!\If so, we can just sell it back to the slave trader.\Either way, don't loosen your purse strings any more.\Fine, I hear you.\Relatives of mine in Lute Village asked me to help you out.\Think it was someone you saved back then? response:	Who knows?
context: A monster should at least be some help.\I can fight by myself just fine!\If so, we can just sell it back to the slave trader.\Either way, don't loosen your purse strings any more.\Fine, I hear you.\Relatives of mine in Lute Village asked me to help you out.\Think it was someone you saved back then?\Who knows? response:	This book has recipes for finer medicines than you bring to me.
context: I can fight by myself just fine!\If so, we can just sell it back to the slave trader.\Either way, don't loosen your purse strings any more.\Fine, I hear you.\Relatives of mine in Lute Village asked me to help you out.\Think it was someone you saved back then?\Who knows?\This book has recipes for finer medicines than you bring to me. response:	Use it. It's yours.
context: If so, we can just sell it back to the slave trader.\Either way, don't loosen your purse strings any more.\Fine, I hear you.\Relatives of mine in Lute Village asked me to help you out.\Think it was someone you saved back then?\Who knows?\This book has recipes for finer medicines than you bring to me.\Use it. It's yours. response:	Uh, I can't read this world's language, though.
context: Either way, don't loosen your purse strings any more.\Fine, I hear you.\Relatives of mine in Lute Village asked me to help you out.\Think it was someone you saved back then?\Who knows?\This book has recipes for finer medicines than you bring to me.\Use it. It's yours.\Uh, I can't read this world's language, though. response:	Oh, right.
context: Fine, I hear you.\Relatives of mine in Lute Village asked me to help you out.\Think it was someone you saved back then?\Who knows?\This book has recipes for finer medicines than you bring to me.\Use it. It's yours.\Uh, I can't read this world's language, though.\Oh, right. response:	The old hag at the magic shop wants to see you, too.
context: Relatives of mine in Lute Village asked me to help you out.\Think it was someone you saved back then?\Who knows?\This book has recipes for finer medicines than you bring to me.\Use it. It's yours.\Uh, I can't read this world's language, though.\Oh, right.\The old hag at the magic shop wants to see you, too. response:	It's for a similar reason.
context: Think it was someone you saved back then?\Who knows?\This book has recipes for finer medicines than you bring to me.\Use it. It's yours.\Uh, I can't read this world's language, though.\Oh, right.\The old hag at the magic shop wants to see you, too.\It's for a similar reason. response:	She said you helped her grandkid out in Lute Village.
context: Who knows?\This book has recipes for finer medicines than you bring to me.\Use it. It's yours.\Uh, I can't read this world's language, though.\Oh, right.\The old hag at the magic shop wants to see you, too.\It's for a similar reason.\She said you helped her grandkid out in Lute Village. response:	You have an affinity for healing and support magic, Shield Hero.
context: This book has recipes for finer medicines than you bring to me.\Use it. It's yours.\Uh, I can't read this world's language, though.\Oh, right.\The old hag at the magic shop wants to see you, too.\It's for a similar reason.\She said you helped her grandkid out in Lute Village.\You have an affinity for healing and support magic, Shield Hero. response:	And the young lady has light and dark magic affinity.
context: Use it. It's yours.\Uh, I can't read this world's language, though.\Oh, right.\The old hag at the magic shop wants to see you, too.\It's for a similar reason.\She said you helped her grandkid out in Lute Village.\You have an affinity for healing and support magic, Shield Hero.\And the young lady has light and dark magic affinity. response:	She is half-raccoon, after all.
context: Uh, I can't read this world's language, though.\Oh, right.\The old hag at the magic shop wants to see you, too.\It's for a similar reason.\She said you helped her grandkid out in Lute Village.\You have an affinity for healing and support magic, Shield Hero.\And the young lady has light and dark magic affinity.\She is half-raccoon, after all. response:	I recommend she learn illusion magic and the like.
context: Oh, right.\The old hag at the magic shop wants to see you, too.\It's for a similar reason.\She said you helped her grandkid out in Lute Village.\You have an affinity for healing and support magic, Shield Hero.\And the young lady has light and dark magic affinity.\She is half-raccoon, after all.\I recommend she learn illusion magic and the like. response:	In which case...
context: The old hag at the magic shop wants to see you, too.\It's for a similar reason.\She said you helped her grandkid out in Lute Village.\You have an affinity for healing and support magic, Shield Hero.\And the young lady has light and dark magic affinity.\She is half-raccoon, after all.\I recommend she learn illusion magic and the like.\In which case... response:	We don't have the money to buy a magic grimoire.
context: It's for a similar reason.\She said you helped her grandkid out in Lute Village.\You have an affinity for healing and support magic, Shield Hero.\And the young lady has light and dark magic affinity.\She is half-raccoon, after all.\I recommend she learn illusion magic and the like.\In which case...\We don't have the money to buy a magic grimoire. response:	It's free, as thanks for helping my grandkid.
context: She said you helped her grandkid out in Lute Village.\You have an affinity for healing and support magic, Shield Hero.\And the young lady has light and dark magic affinity.\She is half-raccoon, after all.\I recommend she learn illusion magic and the like.\In which case...\We don't have the money to buy a magic grimoire.\It's free, as thanks for helping my grandkid. response:	I actually would've loved to give you a crystal ball instead.
context: You have an affinity for healing and support magic, Shield Hero.\And the young lady has light and dark magic affinity.\She is half-raccoon, after all.\I recommend she learn illusion magic and the like.\In which case...\We don't have the money to buy a magic grimoire.\It's free, as thanks for helping my grandkid.\I actually would've loved to give you a crystal ball instead. response:	Huh?
context: And the young lady has light and dark magic affinity.\She is half-raccoon, after all.\I recommend she learn illusion magic and the like.\In which case...\We don't have the money to buy a magic grimoire.\It's free, as thanks for helping my grandkid.\I actually would've loved to give you a crystal ball instead.\Huh? response:	Don't you know?
context: She is half-raccoon, after all.\I recommend she learn illusion magic and the like.\In which case...\We don't have the money to buy a magic grimoire.\It's free, as thanks for helping my grandkid.\I actually would've loved to give you a crystal ball instead.\Huh?\Don't you know? response:	If you use a crystal ball, you can learn one of the magics sealed in it.
context: I recommend she learn illusion magic and the like.\In which case...\We don't have the money to buy a magic grimoire.\It's free, as thanks for helping my grandkid.\I actually would've loved to give you a crystal ball instead.\Huh?\Don't you know?\If you use a crystal ball, you can learn one of the magics sealed in it. response:	First I've heard of that.
context: In which case...\We don't have the money to buy a magic grimoire.\It's free, as thanks for helping my grandkid.\I actually would've loved to give you a crystal ball instead.\Huh?\Don't you know?\If you use a crystal ball, you can learn one of the magics sealed in it.\First I've heard of that. response:	But I heard the royal court ordered a bunch of them for the heroes.
context: We don't have the money to buy a magic grimoire.\It's free, as thanks for helping my grandkid.\I actually would've loved to give you a crystal ball instead.\Huh?\Don't you know?\If you use a crystal ball, you can learn one of the magics sealed in it.\First I've heard of that.\But I heard the royal court ordered a bunch of them for the heroes. response:	I bet they handed them out to every hero but me.
