context: It's a pleasant Sunday. response:	I hope you're having a good time.
context: all of you...\finish...\your homework!\Jeez!\We're gonna miss the start of the fireworks!\Yakisoba\Okonomiyaki\Shaved Ice response:	Finally done!
context: finish...\your homework!\Jeez!\We're gonna miss the start of the fireworks!\Yakisoba\Okonomiyaki\Shaved Ice\Finally done! response:	Good work, everyone.
context: your homework!\Jeez!\We're gonna miss the start of the fireworks!\Yakisoba\Okonomiyaki\Shaved Ice\Finally done!\Good work, everyone. response:	When are the fireworks starting again?
context: Jeez!\We're gonna miss the start of the fireworks!\Yakisoba\Okonomiyaki\Shaved Ice\Finally done!\Good work, everyone.\When are the fireworks starting again? response:	They're from 7 PM to 8 PM.
context: We're gonna miss the start of the fireworks!\Yakisoba\Okonomiyaki\Shaved Ice\Finally done!\Good work, everyone.\When are the fireworks starting again?\They're from 7 PM to 8 PM. response:	I'm going to check out the stalls!
context: Yakisoba\Okonomiyaki\Shaved Ice\Finally done!\Good work, everyone.\When are the fireworks starting again?\They're from 7 PM to 8 PM.\I'm going to check out the stalls! response:	Why are they so excited?
context: Okonomiyaki\Shaved Ice\Finally done!\Good work, everyone.\When are the fireworks starting again?\They're from 7 PM to 8 PM.\I'm going to check out the stalls!\Why are they so excited? response:	Want to try catching goldfish?
context: Shaved Ice\Finally done!\Good work, everyone.\When are the fireworks starting again?\They're from 7 PM to 8 PM.\I'm going to check out the stalls!\Why are they so excited?\Want to try catching goldfish? response:	Yeah!
context: Finally done!\Good work, everyone.\When are the fireworks starting again?\They're from 7 PM to 8 PM.\I'm going to check out the stalls!\Why are they so excited?\Want to try catching goldfish?\Yeah! response:	I'm in!
context: Good work, everyone.\When are the fireworks starting again?\They're from 7 PM to 8 PM.\I'm going to check out the stalls!\Why are they so excited?\Want to try catching goldfish?\Yeah!\I'm in! response:	Well, at least they did their homework for once.
context: When are the fireworks starting again?\They're from 7 PM to 8 PM.\I'm going to check out the stalls!\Why are they so excited?\Want to try catching goldfish?\Yeah!\I'm in!\Well, at least they did their homework for once. response:	Is that how badly they want to see the fireworks?
context: They're from 7 PM to 8 PM.\I'm going to check out the stalls!\Why are they so excited?\Want to try catching goldfish?\Yeah!\I'm in!\Well, at least they did their homework for once.\Is that how badly they want to see the fireworks? response:	What's with that unfestive look on your face?
context: I'm going to check out the stalls!\Why are they so excited?\Want to try catching goldfish?\Yeah!\I'm in!\Well, at least they did their homework for once.\Is that how badly they want to see the fireworks?\What's with that unfestive look on your face? response:	S-Stop staring at me.
context: Why are they so excited?\Want to try catching goldfish?\Yeah!\I'm in!\Well, at least they did their homework for once.\Is that how badly they want to see the fireworks?\What's with that unfestive look on your face?\S-Stop staring at me. response:	Who are you?
context: Want to try catching goldfish?\Yeah!\I'm in!\Well, at least they did their homework for once.\Is that how badly they want to see the fireworks?\What's with that unfestive look on your face?\S-Stop staring at me.\Who are you? response:	You girls are hard enough to tell apart as it is.
context: Yeah!\I'm in!\Well, at least they did their homework for once.\Is that how badly they want to see the fireworks?\What's with that unfestive look on your face?\S-Stop staring at me.\Who are you?\You girls are hard enough to tell apart as it is. response:	Don't go changing your hairstyle.
context: I'm in!\Well, at least they did their homework for once.\Is that how badly they want to see the fireworks?\What's with that unfestive look on your face?\S-Stop staring at me.\Who are you?\You girls are hard enough to tell apart as it is.\Don't go changing your hairstyle. response:	It's me, Itsuki.
context: Well, at least they did their homework for once.\Is that how badly they want to see the fireworks?\What's with that unfestive look on your face?\S-Stop staring at me.\Who are you?\You girls are hard enough to tell apart as it is.\Don't go changing your hairstyle.\It's me, Itsuki. response:	And I'm free to do my hair however I please!
context: Is that how badly they want to see the fireworks?\What's with that unfestive look on your face?\S-Stop staring at me.\Who are you?\You girls are hard enough to tell apart as it is.\Don't go changing your hairstyle.\It's me, Itsuki.\And I'm free to do my hair however I please! response:	That won't do.
context: What's with that unfestive look on your face?\S-Stop staring at me.\Who are you?\You girls are hard enough to tell apart as it is.\Don't go changing your hairstyle.\It's me, Itsuki.\And I'm free to do my hair however I please!\That won't do. response:	When a girl changes her hairstyle,
context: S-Stop staring at me.\Who are you?\You girls are hard enough to tell apart as it is.\Don't go changing your hairstyle.\It's me, Itsuki.\And I'm free to do my hair however I please!\That won't do.\When a girl changes her hairstyle, response:	you have to compliment her.
context: Who are you?\You girls are hard enough to tell apart as it is.\Don't go changing your hairstyle.\It's me, Itsuki.\And I'm free to do my hair however I please!\That won't do.\When a girl changes her hairstyle,\you have to compliment her. response:	Hey, don't you want to find out if girls truly wear nothing under their yukatas?
context: You girls are hard enough to tell apart as it is.\Don't go changing your hairstyle.\It's me, Itsuki.\And I'm free to do my hair however I please!\That won't do.\When a girl changes her hairstyle,\you have to compliment her.\Hey, don't you want to find out if girls truly wear nothing under their yukatas? response:	That was a long time ago.
context: Don't go changing your hairstyle.\It's me, Itsuki.\And I'm free to do my hair however I please!\That won't do.\When a girl changes her hairstyle,\you have to compliment her.\Hey, don't you want to find out if girls truly wear nothing under their yukatas?\That was a long time ago. response:	I already know.
context: It's me, Itsuki.\And I'm free to do my hair however I please!\That won't do.\When a girl changes her hairstyle,\you have to compliment her.\Hey, don't you want to find out if girls truly wear nothing under their yukatas?\That was a long time ago.\I already know. response:	Are you sure about that?
context: And I'm free to do my hair however I please!\That won't do.\When a girl changes her hairstyle,\you have to compliment her.\Hey, don't you want to find out if girls truly wear nothing under their yukatas?\That was a long time ago.\I already know.\Are you sure about that? response:	Ichika!
context: That won't do.\When a girl changes her hairstyle,\you have to compliment her.\Hey, don't you want to find out if girls truly wear nothing under their yukatas?\That was a long time ago.\I already know.\Are you sure about that?\Ichika! response:	I'm just playing!
context: When a girl changes her hairstyle,\you have to compliment her.\Hey, don't you want to find out if girls truly wear nothing under their yukatas?\That was a long time ago.\I already know.\Are you sure about that?\Ichika!\I'm just playing! response:	Ugh.
context: you have to compliment her.\Hey, don't you want to find out if girls truly wear nothing under their yukatas?\That was a long time ago.\I already know.\Are you sure about that?\Ichika!\I'm just playing!\Ugh. response:	Well? Did I get your heart racing a bit?
context: Hey, don't you want to find out if girls truly wear nothing under their yukatas?\That was a long time ago.\I already know.\Are you sure about that?\Ichika!\I'm just playing!\Ugh.\Well? Did I get your heart racing a bit? response:	What are you all doing here?
context: That was a long time ago.\I already know.\Are you sure about that?\Ichika!\I'm just playing!\Ugh.\Well? Did I get your heart racing a bit?\What are you all doing here? response:	Let's go, Ichika.
context: I already know.\Are you sure about that?\Ichika!\I'm just playing!\Ugh.\Well? Did I get your heart racing a bit?\What are you all doing here?\Let's go, Ichika. response:	Sorry, I got a call.
context: Are you sure about that?\Ichika!\I'm just playing!\Ugh.\Well? Did I get your heart racing a bit?\What are you all doing here?\Let's go, Ichika.\Sorry, I got a call. response:	Yes.
context: Ichika!\I'm just playing!\Ugh.\Well? Did I get your heart racing a bit?\What are you all doing here?\Let's go, Ichika.\Sorry, I got a call.\Yes. response:	What? Tonight?
context: I'm just playing!\Ugh.\Well? Did I get your heart racing a bit?\What are you all doing here?\Let's go, Ichika.\Sorry, I got a call.\Yes.\What? Tonight? response:	And you know...
