context: It's just my imagination, right? response:	Next Wednesday?
context: Probably just chat at a cafe or something.\That's...\What? You look like you have something you want to say.\Just thinking how rare it is for you to take part in that kind of activity.\You're right. Middle school was probably the last time I hung out with friends after school.\Maybe that's why I'm looking forward to this.\Here!\So this is that band? response:	You should listen to it before the tea party.
context: That's...\What? You look like you have something you want to say.\Just thinking how rare it is for you to take part in that kind of activity.\You're right. Middle school was probably the last time I hung out with friends after school.\Maybe that's why I'm looking forward to this.\Here!\So this is that band?\You should listen to it before the tea party. response:	It's a really happy and touching song.
context: What? You look like you have something you want to say.\Just thinking how rare it is for you to take part in that kind of activity.\You're right. Middle school was probably the last time I hung out with friends after school.\Maybe that's why I'm looking forward to this.\Here!\So this is that band?\You should listen to it before the tea party.\It's a really happy and touching song. response:	You listened to their songs, Shizuko?
context: Just thinking how rare it is for you to take part in that kind of activity.\You're right. Middle school was probably the last time I hung out with friends after school.\Maybe that's why I'm looking forward to this.\Here!\So this is that band?\You should listen to it before the tea party.\It's a really happy and touching song.\You listened to their songs, Shizuko? response:	Yes, I guess.
context: You're right. Middle school was probably the last time I hung out with friends after school.\Maybe that's why I'm looking forward to this.\Here!\So this is that band?\You should listen to it before the tea party.\It's a really happy and touching song.\You listened to their songs, Shizuko?\Yes, I guess. response:	Was it happy and touching?
context: Maybe that's why I'm looking forward to this.\Here!\So this is that band?\You should listen to it before the tea party.\It's a really happy and touching song.\You listened to their songs, Shizuko?\Yes, I guess.\Was it happy and touching? response:	I think that depends on the person's taste.
context: Here!\So this is that band?\You should listen to it before the tea party.\It's a really happy and touching song.\You listened to their songs, Shizuko?\Yes, I guess.\Was it happy and touching?\I think that depends on the person's taste. response:	Happy and touching, eh?
context: So this is that band?\You should listen to it before the tea party.\It's a really happy and touching song.\You listened to their songs, Shizuko?\Yes, I guess.\Was it happy and touching?\I think that depends on the person's taste.\Happy and touching, eh? response:	I haven't seen many these days.
context: You should listen to it before the tea party.\It's a really happy and touching song.\You listened to their songs, Shizuko?\Yes, I guess.\Was it happy and touching?\I think that depends on the person's taste.\Happy and touching, eh?\I haven't seen many these days. response:	Many of what?
context: It's a really happy and touching song.\You listened to their songs, Shizuko?\Yes, I guess.\Was it happy and touching?\I think that depends on the person's taste.\Happy and touching, eh?\I haven't seen many these days.\Many of what? response:	These mail in prizes.
context: You listened to their songs, Shizuko?\Yes, I guess.\Was it happy and touching?\I think that depends on the person's taste.\Happy and touching, eh?\I haven't seen many these days.\Many of what?\These mail in prizes. response:	Sending in over the web is becoming more common.
context: Yes, I guess.\Was it happy and touching?\I think that depends on the person's taste.\Happy and touching, eh?\I haven't seen many these days.\Many of what?\These mail in prizes.\Sending in over the web is becoming more common. response:	What do you win from this magazine's mail in prize?
context: Was it happy and touching?\I think that depends on the person's taste.\Happy and touching, eh?\I haven't seen many these days.\Many of what?\These mail in prizes.\Sending in over the web is becoming more common.\What do you win from this magazine's mail in prize? response:	King crab.
context: I think that depends on the person's taste.\Happy and touching, eh?\I haven't seen many these days.\Many of what?\These mail in prizes.\Sending in over the web is becoming more common.\What do you win from this magazine's mail in prize?\King crab. response:	What? Isn't this supposed to be a music magazine?
context: Happy and touching, eh?\I haven't seen many these days.\Many of what?\These mail in prizes.\Sending in over the web is becoming more common.\What do you win from this magazine's mail in prize?\King crab.\What? Isn't this supposed to be a music magazine? response:	Well, it doesn't have to be king crab that I win.
context: I haven't seen many these days.\Many of what?\These mail in prizes.\Sending in over the web is becoming more common.\What do you win from this magazine's mail in prize?\King crab.\What? Isn't this supposed to be a music magazine?\Well, it doesn't have to be king crab that I win. response:	So they are popular.
context: Many of what?\These mail in prizes.\Sending in over the web is becoming more common.\What do you win from this magazine's mail in prize?\King crab.\What? Isn't this supposed to be a music magazine?\Well, it doesn't have to be king crab that I win.\So they are popular. response:	Is that Umemishi?
context: These mail in prizes.\Sending in over the web is becoming more common.\What do you win from this magazine's mail in prize?\King crab.\What? Isn't this supposed to be a music magazine?\Well, it doesn't have to be king crab that I win.\So they are popular.\Is that Umemishi? response:	You know them, Chief?
context: Sending in over the web is becoming more common.\What do you win from this magazine's mail in prize?\King crab.\What? Isn't this supposed to be a music magazine?\Well, it doesn't have to be king crab that I win.\So they are popular.\Is that Umemishi?\You know them, Chief? response:	Of course. They're really popular in the Indie scene right now.
context: What do you win from this magazine's mail in prize?\King crab.\What? Isn't this supposed to be a music magazine?\Well, it doesn't have to be king crab that I win.\So they are popular.\Is that Umemishi?\You know them, Chief?\Of course. They're really popular in the Indie scene right now. response:	But then, I only learned about them recently.
context: King crab.\What? Isn't this supposed to be a music magazine?\Well, it doesn't have to be king crab that I win.\So they are popular.\Is that Umemishi?\You know them, Chief?\Of course. They're really popular in the Indie scene right now.\But then, I only learned about them recently. response:	I'm thinking of having a visual band day here.
context: What? Isn't this supposed to be a music magazine?\Well, it doesn't have to be king crab that I win.\So they are popular.\Is that Umemishi?\You know them, Chief?\Of course. They're really popular in the Indie scene right now.\But then, I only learned about them recently.\I'm thinking of having a visual band day here. response:	Visual band day?
context: Well, it doesn't have to be king crab that I win.\So they are popular.\Is that Umemishi?\You know them, Chief?\Of course. They're really popular in the Indie scene right now.\But then, I only learned about them recently.\I'm thinking of having a visual band day here.\Visual band day? response:	Most certainly. Excuse me for a second.
context: So they are popular.\Is that Umemishi?\You know them, Chief?\Of course. They're really popular in the Indie scene right now.\But then, I only learned about them recently.\I'm thinking of having a visual band day here.\Visual band day?\Most certainly. Excuse me for a second. response:	Come to think of,
context: Is that Umemishi?\You know them, Chief?\Of course. They're really popular in the Indie scene right now.\But then, I only learned about them recently.\I'm thinking of having a visual band day here.\Visual band day?\Most certainly. Excuse me for a second.\Come to think of, response:	I haven't seen them around in a while.
context: You know them, Chief?\Of course. They're really popular in the Indie scene right now.\But then, I only learned about them recently.\I'm thinking of having a visual band day here.\Visual band day?\Most certainly. Excuse me for a second.\Come to think of,\I haven't seen them around in a while. response:	I hope they're being studious at home.
context: Of course. They're really popular in the Indie scene right now.\But then, I only learned about them recently.\I'm thinking of having a visual band day here.\Visual band day?\Most certainly. Excuse me for a second.\Come to think of,\I haven't seen them around in a while.\I hope they're being studious at home. response:	I wasn't expecting that.
context: But then, I only learned about them recently.\I'm thinking of having a visual band day here.\Visual band day?\Most certainly. Excuse me for a second.\Come to think of,\I haven't seen them around in a while.\I hope they're being studious at home.\I wasn't expecting that. response:	Not expecting what?
context: I'm thinking of having a visual band day here.\Visual band day?\Most certainly. Excuse me for a second.\Come to think of,\I haven't seen them around in a while.\I hope they're being studious at home.\I wasn't expecting that.\Not expecting what? response:	That you would come to Sakura-san's tea party.
context: Visual band day?\Most certainly. Excuse me for a second.\Come to think of,\I haven't seen them around in a while.\I hope they're being studious at home.\I wasn't expecting that.\Not expecting what?\That you would come to Sakura-san's tea party. response:	Rock music is a world totally opposite from yours.
context: Most certainly. Excuse me for a second.\Come to think of,\I haven't seen them around in a while.\I hope they're being studious at home.\I wasn't expecting that.\Not expecting what?\That you would come to Sakura-san's tea party.\Rock music is a world totally opposite from yours. response:	You know, seeing such a happy Sakura, I wanted to cheer her on.
context: Come to think of,\I haven't seen them around in a while.\I hope they're being studious at home.\I wasn't expecting that.\Not expecting what?\That you would come to Sakura-san's tea party.\Rock music is a world totally opposite from yours.\You know, seeing such a happy Sakura, I wanted to cheer her on. response:	I hope it'll go well.
context: I haven't seen them around in a while.\I hope they're being studious at home.\I wasn't expecting that.\Not expecting what?\That you would come to Sakura-san's tea party.\Rock music is a world totally opposite from yours.\You know, seeing such a happy Sakura, I wanted to cheer her on.\I hope it'll go well. response:	No, it's nothing.
context: I hope they're being studious at home.\I wasn't expecting that.\Not expecting what?\That you would come to Sakura-san's tea party.\Rock music is a world totally opposite from yours.\You know, seeing such a happy Sakura, I wanted to cheer her on.\I hope it'll go well.\No, it's nothing. response:	Sorry to make you wait!
context: I wasn't expecting that.\Not expecting what?\That you would come to Sakura-san's tea party.\Rock music is a world totally opposite from yours.\You know, seeing such a happy Sakura, I wanted to cheer her on.\I hope it'll go well.\No, it's nothing.\Sorry to make you wait! response:	So it's tomorrow.
context: Not expecting what?\That you would come to Sakura-san's tea party.\Rock music is a world totally opposite from yours.\You know, seeing such a happy Sakura, I wanted to cheer her on.\I hope it'll go well.\No, it's nothing.\Sorry to make you wait!\So it's tomorrow. response:	Hear that? We saved up pretty well.
context: That you would come to Sakura-san's tea party.\Rock music is a world totally opposite from yours.\You know, seeing such a happy Sakura, I wanted to cheer her on.\I hope it'll go well.\No, it's nothing.\Sorry to make you wait!\So it's tomorrow.\Hear that? We saved up pretty well. response:	Soon, our dream will come true.
context: Rock music is a world totally opposite from yours.\You know, seeing such a happy Sakura, I wanted to cheer her on.\I hope it'll go well.\No, it's nothing.\Sorry to make you wait!\So it's tomorrow.\Hear that? We saved up pretty well.\Soon, our dream will come true. response:	Our dream...
context: You know, seeing such a happy Sakura, I wanted to cheer her on.\I hope it'll go well.\No, it's nothing.\Sorry to make you wait!\So it's tomorrow.\Hear that? We saved up pretty well.\Soon, our dream will come true.\Our dream... response:	Dream!
context: I hope it'll go well.\No, it's nothing.\Sorry to make you wait!\So it's tomorrow.\Hear that? We saved up pretty well.\Soon, our dream will come true.\Our dream...\Dream! response:	Maid Latte, full day feast, enjoy the full menu!
context: No, it's nothing.\Sorry to make you wait!\So it's tomorrow.\Hear that? We saved up pretty well.\Soon, our dream will come true.\Our dream...\Dream!\Maid Latte, full day feast, enjoy the full menu! response:	And!
context: Sorry to make you wait!\So it's tomorrow.\Hear that? We saved up pretty well.\Soon, our dream will come true.\Our dream...\Dream!\Maid Latte, full day feast, enjoy the full menu!\And! response:	We will pile up the points and challenge Misa-chan to a game!
context: So it's tomorrow.\Hear that? We saved up pretty well.\Soon, our dream will come true.\Our dream...\Dream!\Maid Latte, full day feast, enjoy the full menu!\And!\We will pile up the points and challenge Misa-chan to a game! response:	We won't lose this time!
context: Hear that? We saved up pretty well.\Soon, our dream will come true.\Our dream...\Dream!\Maid Latte, full day feast, enjoy the full menu!\And!\We will pile up the points and challenge Misa-chan to a game!\We won't lose this time! response:	The only thing we're going for is a picture with Misa-chan!
context: Soon, our dream will come true.\Our dream...\Dream!\Maid Latte, full day feast, enjoy the full menu!\And!\We will pile up the points and challenge Misa-chan to a game!\We won't lose this time!\The only thing we're going for is a picture with Misa-chan! response:	Alright, time to get to work.
context: Our dream...\Dream!\Maid Latte, full day feast, enjoy the full menu!\And!\We will pile up the points and challenge Misa-chan to a game!\We won't lose this time!\The only thing we're going for is a picture with Misa-chan!\Alright, time to get to work. response:	Shiroyan, you better not break plates today.
context: Dream!\Maid Latte, full day feast, enjoy the full menu!\And!\We will pile up the points and challenge Misa-chan to a game!\We won't lose this time!\The only thing we're going for is a picture with Misa-chan!\Alright, time to get to work.\Shiroyan, you better not break plates today. response:	You, too. Don't make any wrong orders.
context: Maid Latte, full day feast, enjoy the full menu!\And!\We will pile up the points and challenge Misa-chan to a game!\We won't lose this time!\The only thing we're going for is a picture with Misa-chan!\Alright, time to get to work.\Shiroyan, you better not break plates today.\You, too. Don't make any wrong orders. response:	Look, we have a customer.
context: And!\We will pile up the points and challenge Misa-chan to a game!\We won't lose this time!\The only thing we're going for is a picture with Misa-chan!\Alright, time to get to work.\Shiroyan, you better not break plates today.\You, too. Don't make any wrong orders.\Look, we have a customer. response:	Gotta guide them in.
context: We will pile up the points and challenge Misa-chan to a game!\We won't lose this time!\The only thing we're going for is a picture with Misa-chan!\Alright, time to get to work.\Shiroyan, you better not break plates today.\You, too. Don't make any wrong orders.\Look, we have a customer.\Gotta guide them in. response:	Shizuko, are my bangs okay?
context: We won't lose this time!\The only thing we're going for is a picture with Misa-chan!\Alright, time to get to work.\Shiroyan, you better not break plates today.\You, too. Don't make any wrong orders.\Look, we have a customer.\Gotta guide them in.\Shizuko, are my bangs okay? response:	That's the 6th time you've asked that question today.
context: The only thing we're going for is a picture with Misa-chan!\Alright, time to get to work.\Shiroyan, you better not break plates today.\You, too. Don't make any wrong orders.\Look, we have a customer.\Gotta guide them in.\Shizuko, are my bangs okay?\That's the 6th time you've asked that question today. response:	Boo! Boo! Today's a special day!
context: Alright, time to get to work.\Shiroyan, you better not break plates today.\You, too. Don't make any wrong orders.\Look, we have a customer.\Gotta guide them in.\Shizuko, are my bangs okay?\That's the 6th time you've asked that question today.\Boo! Boo! Today's a special day! response:	Misaki, Shizuko's giving me the cold shoulder.
context: Shiroyan, you better not break plates today.\You, too. Don't make any wrong orders.\Look, we have a customer.\Gotta guide them in.\Shizuko, are my bangs okay?\That's the 6th time you've asked that question today.\Boo! Boo! Today's a special day!\Misaki, Shizuko's giving me the cold shoulder. response:	Looks nice, Sakura.
context: You, too. Don't make any wrong orders.\Look, we have a customer.\Gotta guide them in.\Shizuko, are my bangs okay?\That's the 6th time you've asked that question today.\Boo! Boo! Today's a special day!\Misaki, Shizuko's giving me the cold shoulder.\Looks nice, Sakura. response:	It's perfect.
context: Look, we have a customer.\Gotta guide them in.\Shizuko, are my bangs okay?\That's the 6th time you've asked that question today.\Boo! Boo! Today's a special day!\Misaki, Shizuko's giving me the cold shoulder.\Looks nice, Sakura.\It's perfect. response:	Really?!
context: Gotta guide them in.\Shizuko, are my bangs okay?\That's the 6th time you've asked that question today.\Boo! Boo! Today's a special day!\Misaki, Shizuko's giving me the cold shoulder.\Looks nice, Sakura.\It's perfect.\Really?! response:	Thank you, Misaki!
context: Shizuko, are my bangs okay?\That's the 6th time you've asked that question today.\Boo! Boo! Today's a special day!\Misaki, Shizuko's giving me the cold shoulder.\Looks nice, Sakura.\It's perfect.\Really?!\Thank you, Misaki! response:	I'm glad I came.
context: That's the 6th time you've asked that question today.\Boo! Boo! Today's a special day!\Misaki, Shizuko's giving me the cold shoulder.\Looks nice, Sakura.\It's perfect.\Really?!\Thank you, Misaki!\I'm glad I came. response:	What a surprise.
context: Boo! Boo! Today's a special day!\Misaki, Shizuko's giving me the cold shoulder.\Looks nice, Sakura.\It's perfect.\Really?!\Thank you, Misaki!\I'm glad I came.\What a surprise. response:	Never thought Misa-chan would come.
context: Misaki, Shizuko's giving me the cold shoulder.\Looks nice, Sakura.\It's perfect.\Really?!\Thank you, Misaki!\I'm glad I came.\What a surprise.\Never thought Misa-chan would come. response:	Is something going on today?
context: Looks nice, Sakura.\It's perfect.\Really?!\Thank you, Misaki!\I'm glad I came.\What a surprise.\Never thought Misa-chan would come.\Is something going on today? response:	Okay, I'll go get the order.
context: It's perfect.\Really?!\Thank you, Misaki!\I'm glad I came.\What a surprise.\Never thought Misa-chan would come.\Is something going on today?\Okay, I'll go get the order. response:	Wait, let me go.
context: Really?!\Thank you, Misaki!\I'm glad I came.\What a surprise.\Never thought Misa-chan would come.\Is something going on today?\Okay, I'll go get the order.\Wait, let me go. response:	No, I should be the one.
context: Thank you, Misaki!\I'm glad I came.\What a surprise.\Never thought Misa-chan would come.\Is something going on today?\Okay, I'll go get the order.\Wait, let me go.\No, I should be the one. response:	I'm going!
context: I'm glad I came.\What a surprise.\Never thought Misa-chan would come.\Is something going on today?\Okay, I'll go get the order.\Wait, let me go.\No, I should be the one.\I'm going! response:	No, you make too many mistakes!
context: What a surprise.\Never thought Misa-chan would come.\Is something going on today?\Okay, I'll go get the order.\Wait, let me go.\No, I should be the one.\I'm going!\No, you make too many mistakes! response:	What did you say?
context: Never thought Misa-chan would come.\Is something going on today?\Okay, I'll go get the order.\Wait, let me go.\No, I should be the one.\I'm going!\No, you make too many mistakes!\What did you say? response:	You got a problem?!
context: Is something going on today?\Okay, I'll go get the order.\Wait, let me go.\No, I should be the one.\I'm going!\No, you make too many mistakes!\What did you say?\You got a problem?! response:	Th-They're bright!
context: Okay, I'll go get the order.\Wait, let me go.\No, I should be the one.\I'm going!\No, you make too many mistakes!\What did you say?\You got a problem?!\Th-They're bright! response:	Kuuga-kun!
context: Wait, let me go.\No, I should be the one.\I'm going!\No, you make too many mistakes!\What did you say?\You got a problem?!\Th-They're bright!\Kuuga-kun! response:	Hey.
context: No, I should be the one.\I'm going!\No, you make too many mistakes!\What did you say?\You got a problem?!\Th-They're bright!\Kuuga-kun!\Hey. response:	So he's the one Sakura likes.
context: I'm going!\No, you make too many mistakes!\What did you say?\You got a problem?!\Th-They're bright!\Kuuga-kun!\Hey.\So he's the one Sakura likes. response:	What the...
context: No, you make too many mistakes!\What did you say?\You got a problem?!\Th-They're bright!\Kuuga-kun!\Hey.\So he's the one Sakura likes.\What the... response:	What is this? What is going on?!
context: What did you say?\You got a problem?!\Th-They're bright!\Kuuga-kun!\Hey.\So he's the one Sakura likes.\What the...\What is this? What is going on?! response:	What is that mixer about?
context: You got a problem?!\Th-They're bright!\Kuuga-kun!\Hey.\So he's the one Sakura likes.\What the...\What is this? What is going on?!\What is that mixer about? response:	Time for us to introduce ourselves.
context: Th-They're bright!\Kuuga-kun!\Hey.\So he's the one Sakura likes.\What the...\What is this? What is going on?!\What is that mixer about?\Time for us to introduce ourselves. response:	I'm Shou, on the guitar.
context: Kuuga-kun!\Hey.\So he's the one Sakura likes.\What the...\What is this? What is going on?!\What is that mixer about?\Time for us to introduce ourselves.\I'm Shou, on the guitar. response:	I'm Kou, playing the bass.
context: Hey.\So he's the one Sakura likes.\What the...\What is this? What is going on?!\What is that mixer about?\Time for us to introduce ourselves.\I'm Shou, on the guitar.\I'm Kou, playing the bass. response:	I'm Kuuga, the vocalist.
context: So he's the one Sakura likes.\What the...\What is this? What is going on?!\What is that mixer about?\Time for us to introduce ourselves.\I'm Shou, on the guitar.\I'm Kou, playing the bass.\I'm Kuuga, the vocalist. response:	I'm William Adam Yuji, drums.
context: What the...\What is this? What is going on?!\What is that mixer about?\Time for us to introduce ourselves.\I'm Shou, on the guitar.\I'm Kou, playing the bass.\I'm Kuuga, the vocalist.\I'm William Adam Yuji, drums. response:	Y-You're a foreigner?
