context: So you can fish at this park, supposedly. response:	I'd like to try my rod out here.
context: Ousai Academy Student Council Rules,\Dum\You have to support each other... when you're doing a seated cowgirl.\You're one rotten fruit.\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent. response:	Ultimate legendary days!
context: Dum\You have to support each other... when you're doing a seated cowgirl.\You're one rotten fruit.\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days! response:	Do you remember what I told you?
context: You have to support each other... when you're doing a seated cowgirl.\You're one rotten fruit.\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you? response:	No problem here.
context: You're one rotten fruit.\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here. response:	Of course.
context: Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course. response:	Well-cultured, noble, pure, and innocent!
context: No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent! response:	It gets cold in November, doesn't it?
context: Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\It gets cold in November, doesn't it? response:	Yeah, everyone starts putting on extra layers.
context: Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\It gets cold in November, doesn't it?\Yeah, everyone starts putting on extra layers. response:	I guess guys don't really like it, though?
context: Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\It gets cold in November, doesn't it?\Yeah, everyone starts putting on extra layers.\I guess guys don't really like it, though? response:	Not at all.
context: Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\It gets cold in November, doesn't it?\Yeah, everyone starts putting on extra layers.\I guess guys don't really like it, though?\Not at all. response:	Autumn Suzu Head
context: No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\It gets cold in November, doesn't it?\Yeah, everyone starts putting on extra layers.\I guess guys don't really like it, though?\Not at all.\Autumn Suzu Head response:	It's okay, Tsuda-kun!
context: Of course.\Well-cultured, noble, pure, and innocent!\It gets cold in November, doesn't it?\Yeah, everyone starts putting on extra layers.\I guess guys don't really like it, though?\Not at all.\Autumn Suzu Head\It's okay, Tsuda-kun! response:	The more someone's wearing, the more you have to take off!
context: Well-cultured, noble, pure, and innocent!\It gets cold in November, doesn't it?\Yeah, everyone starts putting on extra layers.\I guess guys don't really like it, though?\Not at all.\Autumn Suzu Head\It's okay, Tsuda-kun!\The more someone's wearing, the more you have to take off! response:	I see.
context: It gets cold in November, doesn't it?\Yeah, everyone starts putting on extra layers.\I guess guys don't really like it, though?\Not at all.\Autumn Suzu Head\It's okay, Tsuda-kun!\The more someone's wearing, the more you have to take off!\I see. response:	Why are they trying to cheer me up, exactly?
context: Yeah, everyone starts putting on extra layers.\I guess guys don't really like it, though?\Not at all.\Autumn Suzu Head\It's okay, Tsuda-kun!\The more someone's wearing, the more you have to take off!\I see.\Why are they trying to cheer me up, exactly? response:	Seitokai Yakuindomo
context: I guess guys don't really like it, though?\Not at all.\Autumn Suzu Head\It's okay, Tsuda-kun!\The more someone's wearing, the more you have to take off!\I see.\Why are they trying to cheer me up, exactly?\Seitokai Yakuindomo response:	A pure reaction to a double entendre
context: Not at all.\Autumn Suzu Head\It's okay, Tsuda-kun!\The more someone's wearing, the more you have to take off!\I see.\Why are they trying to cheer me up, exactly?\Seitokai Yakuindomo\A pure reaction to a double entendre response:	We've had new rules since we became co-ed,
context: Autumn Suzu Head\It's okay, Tsuda-kun!\The more someone's wearing, the more you have to take off!\I see.\Why are they trying to cheer me up, exactly?\Seitokai Yakuindomo\A pure reaction to a double entendre\We've had new rules since we became co-ed, response:	but I don't think many people are aware of them.
context: It's okay, Tsuda-kun!\The more someone's wearing, the more you have to take off!\I see.\Why are they trying to cheer me up, exactly?\Seitokai Yakuindomo\A pure reaction to a double entendre\We've had new rules since we became co-ed,\but I don't think many people are aware of them. response:	I think we should write that in the next student council article.
context: The more someone's wearing, the more you have to take off!\I see.\Why are they trying to cheer me up, exactly?\Seitokai Yakuindomo\A pure reaction to a double entendre\We've had new rules since we became co-ed,\but I don't think many people are aware of them.\I think we should write that in the next student council article. response:	But I don't think it'd be possible for us to write all of them out.
context: I see.\Why are they trying to cheer me up, exactly?\Seitokai Yakuindomo\A pure reaction to a double entendre\We've had new rules since we became co-ed,\but I don't think many people are aware of them.\I think we should write that in the next student council article.\But I don't think it'd be possible for us to write all of them out. response:	I guess we can always shorten them.
context: Why are they trying to cheer me up, exactly?\Seitokai Yakuindomo\A pure reaction to a double entendre\We've had new rules since we became co-ed,\but I don't think many people are aware of them.\I think we should write that in the next student council article.\But I don't think it'd be possible for us to write all of them out.\I guess we can always shorten them. response:	Okay, Hagimura, go over the first new rule.
context: Seitokai Yakuindomo\A pure reaction to a double entendre\We've had new rules since we became co-ed,\but I don't think many people are aware of them.\I think we should write that in the next student council article.\But I don't think it'd be possible for us to write all of them out.\I guess we can always shorten them.\Okay, Hagimura, go over the first new rule. response:	Any romance between students is forbidden on school grounds.
context: A pure reaction to a double entendre\We've had new rules since we became co-ed,\but I don't think many people are aware of them.\I think we should write that in the next student council article.\But I don't think it'd be possible for us to write all of them out.\I guess we can always shorten them.\Okay, Hagimura, go over the first new rule.\Any romance between students is forbidden on school grounds. response:	People shouldn't have lives.
context: We've had new rules since we became co-ed,\but I don't think many people are aware of them.\I think we should write that in the next student council article.\But I don't think it'd be possible for us to write all of them out.\I guess we can always shorten them.\Okay, Hagimura, go over the first new rule.\Any romance between students is forbidden on school grounds.\People shouldn't have lives. response:	Well, that was direct.
context: but I don't think many people are aware of them.\I think we should write that in the next student council article.\But I don't think it'd be possible for us to write all of them out.\I guess we can always shorten them.\Okay, Hagimura, go over the first new rule.\Any romance between students is forbidden on school grounds.\People shouldn't have lives.\Well, that was direct. response:	It is forbidden to touch another part of the opposite sex's body
context: I think we should write that in the next student council article.\But I don't think it'd be possible for us to write all of them out.\I guess we can always shorten them.\Okay, Hagimura, go over the first new rule.\Any romance between students is forbidden on school grounds.\People shouldn't have lives.\Well, that was direct.\It is forbidden to touch another part of the opposite sex's body response:	other than the hand and arms.
context: But I don't think it'd be possible for us to write all of them out.\I guess we can always shorten them.\Okay, Hagimura, go over the first new rule.\Any romance between students is forbidden on school grounds.\People shouldn't have lives.\Well, that was direct.\It is forbidden to touch another part of the opposite sex's body\other than the hand and arms. response:	Huh? I didn't know that.
context: I guess we can always shorten them.\Okay, Hagimura, go over the first new rule.\Any romance between students is forbidden on school grounds.\People shouldn't have lives.\Well, that was direct.\It is forbidden to touch another part of the opposite sex's body\other than the hand and arms.\Huh? I didn't know that. response:	That's pretty strict...
context: Okay, Hagimura, go over the first new rule.\Any romance between students is forbidden on school grounds.\People shouldn't have lives.\Well, that was direct.\It is forbidden to touch another part of the opposite sex's body\other than the hand and arms.\Huh? I didn't know that.\That's pretty strict... response:	Looking back
context: Any romance between students is forbidden on school grounds.\People shouldn't have lives.\Well, that was direct.\It is forbidden to touch another part of the opposite sex's body\other than the hand and arms.\Huh? I didn't know that.\That's pretty strict...\Looking back response:	We've come in contact quite a bit.
context: People shouldn't have lives.\Well, that was direct.\It is forbidden to touch another part of the opposite sex's body\other than the hand and arms.\Huh? I didn't know that.\That's pretty strict...\Looking back\We've come in contact quite a bit. response:	People normally don't think about that.
context: Well, that was direct.\It is forbidden to touch another part of the opposite sex's body\other than the hand and arms.\Huh? I didn't know that.\That's pretty strict...\Looking back\We've come in contact quite a bit.\People normally don't think about that. response:	I guess that means I can't step on Tsuda-kun.
context: It is forbidden to touch another part of the opposite sex's body\other than the hand and arms.\Huh? I didn't know that.\That's pretty strict...\Looking back\We've come in contact quite a bit.\People normally don't think about that.\I guess that means I can't step on Tsuda-kun. response:	What were you planning?
context: other than the hand and arms.\Huh? I didn't know that.\That's pretty strict...\Looking back\We've come in contact quite a bit.\People normally don't think about that.\I guess that means I can't step on Tsuda-kun.\What were you planning? response:	It'd a good thing for everyone to understand that they should judge
context: Huh? I didn't know that.\That's pretty strict...\Looking back\We've come in contact quite a bit.\People normally don't think about that.\I guess that means I can't step on Tsuda-kun.\What were you planning?\It'd a good thing for everyone to understand that they should judge response:	their distance from others.
context: That's pretty strict...\Looking back\We've come in contact quite a bit.\People normally don't think about that.\I guess that means I can't step on Tsuda-kun.\What were you planning?\It'd a good thing for everyone to understand that they should judge\their distance from others. response:	People seem to be acting inappropriately lately.
context: Looking back\We've come in contact quite a bit.\People normally don't think about that.\I guess that means I can't step on Tsuda-kun.\What were you planning?\It'd a good thing for everyone to understand that they should judge\their distance from others.\People seem to be acting inappropriately lately. response:	Here's the report you needed.
context: We've come in contact quite a bit.\People normally don't think about that.\I guess that means I can't step on Tsuda-kun.\What were you planning?\It'd a good thing for everyone to understand that they should judge\their distance from others.\People seem to be acting inappropriately lately.\Here's the report you needed. response:	Right.
context: People normally don't think about that.\I guess that means I can't step on Tsuda-kun.\What were you planning?\It'd a good thing for everyone to understand that they should judge\their distance from others.\People seem to be acting inappropriately lately.\Here's the report you needed.\Right. response:	I'm sorry.
context: I guess that means I can't step on Tsuda-kun.\What were you planning?\It'd a good thing for everyone to understand that they should judge\their distance from others.\People seem to be acting inappropriately lately.\Here's the report you needed.\Right.\I'm sorry. response:	Huh?
context: What were you planning?\It'd a good thing for everyone to understand that they should judge\their distance from others.\People seem to be acting inappropriately lately.\Here's the report you needed.\Right.\I'm sorry.\Huh? response:	To be honest,
context: It'd a good thing for everyone to understand that they should judge\their distance from others.\People seem to be acting inappropriately lately.\Here's the report you needed.\Right.\I'm sorry.\Huh?\To be honest, response:	every time I see your braids,
context: their distance from others.\People seem to be acting inappropriately lately.\Here's the report you needed.\Right.\I'm sorry.\Huh?\To be honest,\every time I see your braids, response:	it feels like my butt is just calling out for them.
context: People seem to be acting inappropriately lately.\Here's the report you needed.\Right.\I'm sorry.\Huh?\To be honest,\every time I see your braids,\it feels like my butt is just calling out for them. response:	She's out cold again.
context: Here's the report you needed.\Right.\I'm sorry.\Huh?\To be honest,\every time I see your braids,\it feels like my butt is just calling out for them.\She's out cold again. response:	Igarashi is here.
context: Right.\I'm sorry.\Huh?\To be honest,\every time I see your braids,\it feels like my butt is just calling out for them.\She's out cold again.\Igarashi is here. response:	She's not exactly paying attention.
context: I'm sorry.\Huh?\To be honest,\every time I see your braids,\it feels like my butt is just calling out for them.\She's out cold again.\Igarashi is here.\She's not exactly paying attention. response:	Let's head to the conference room.
context: Huh?\To be honest,\every time I see your braids,\it feels like my butt is just calling out for them.\She's out cold again.\Igarashi is here.\She's not exactly paying attention.\Let's head to the conference room. response:	Oh, right.
context: To be honest,\every time I see your braids,\it feels like my butt is just calling out for them.\She's out cold again.\Igarashi is here.\She's not exactly paying attention.\Let's head to the conference room.\Oh, right. response:	Huh?
context: every time I see your braids,\it feels like my butt is just calling out for them.\She's out cold again.\Igarashi is here.\She's not exactly paying attention.\Let's head to the conference room.\Oh, right.\Huh? response:	Tsuda, your jacket's folded back.
context: it feels like my butt is just calling out for them.\She's out cold again.\Igarashi is here.\She's not exactly paying attention.\Let's head to the conference room.\Oh, right.\Huh?\Tsuda, your jacket's folded back. response:	Huh? Well, that makes me look bad.
context: She's out cold again.\Igarashi is here.\She's not exactly paying attention.\Let's head to the conference room.\Oh, right.\Huh?\Tsuda, your jacket's folded back.\Huh? Well, that makes me look bad. response:	Guess I'll have to help.
context: Igarashi is here.\She's not exactly paying attention.\Let's head to the conference room.\Oh, right.\Huh?\Tsuda, your jacket's folded back.\Huh? Well, that makes me look bad.\Guess I'll have to help. response:	I'll hold it down for you until you get it fixed.
context: She's not exactly paying attention.\Let's head to the conference room.\Oh, right.\Huh?\Tsuda, your jacket's folded back.\Huh? Well, that makes me look bad.\Guess I'll have to help.\I'll hold it down for you until you get it fixed. response:	That's kind of sweet.
context: Let's head to the conference room.\Oh, right.\Huh?\Tsuda, your jacket's folded back.\Huh? Well, that makes me look bad.\Guess I'll have to help.\I'll hold it down for you until you get it fixed.\That's kind of sweet. response:	That's nice!
context: Oh, right.\Huh?\Tsuda, your jacket's folded back.\Huh? Well, that makes me look bad.\Guess I'll have to help.\I'll hold it down for you until you get it fixed.\That's kind of sweet.\That's nice! response:	Oh.
context: Huh?\Tsuda, your jacket's folded back.\Huh? Well, that makes me look bad.\Guess I'll have to help.\I'll hold it down for you until you get it fixed.\That's kind of sweet.\That's nice!\Oh. response:	A tennis ball fell here.
context: Tsuda, your jacket's folded back.\Huh? Well, that makes me look bad.\Guess I'll have to help.\I'll hold it down for you until you get it fixed.\That's kind of sweet.\That's nice!\Oh.\A tennis ball fell here. response:	I guess I'll...
context: Huh? Well, that makes me look bad.\Guess I'll have to help.\I'll hold it down for you until you get it fixed.\That's kind of sweet.\That's nice!\Oh.\A tennis ball fell here.\I guess I'll... response:	give it back later.
context: Guess I'll have to help.\I'll hold it down for you until you get it fixed.\That's kind of sweet.\That's nice!\Oh.\A tennis ball fell here.\I guess I'll...\give it back later. response:	Huh?
context: I'll hold it down for you until you get it fixed.\That's kind of sweet.\That's nice!\Oh.\A tennis ball fell here.\I guess I'll...\give it back later.\Huh? response:	Tsuda...
context: That's kind of sweet.\That's nice!\Oh.\A tennis ball fell here.\I guess I'll...\give it back later.\Huh?\Tsuda... response:	It looks weird in your pocket like that.
context: That's nice!\Oh.\A tennis ball fell here.\I guess I'll...\give it back later.\Huh?\Tsuda...\It looks weird in your pocket like that. response:	Oh.
context: Oh.\A tennis ball fell here.\I guess I'll...\give it back later.\Huh?\Tsuda...\It looks weird in your pocket like that.\Oh. response:	Put one in your other pocket!
context: A tennis ball fell here.\I guess I'll...\give it back later.\Huh?\Tsuda...\It looks weird in your pocket like that.\Oh.\Put one in your other pocket! response:	I refuse!
context: I guess I'll...\give it back later.\Huh?\Tsuda...\It looks weird in your pocket like that.\Oh.\Put one in your other pocket!\I refuse! response:	I guess this'll do.
context: give it back later.\Huh?\Tsuda...\It looks weird in your pocket like that.\Oh.\Put one in your other pocket!\I refuse!\I guess this'll do. response:	Aria, we'll put the tables we're not going to use against the wall.
context: Huh?\Tsuda...\It looks weird in your pocket like that.\Oh.\Put one in your other pocket!\I refuse!\I guess this'll do.\Aria, we'll put the tables we're not going to use against the wall. response:	Help me out.
context: Tsuda...\It looks weird in your pocket like that.\Oh.\Put one in your other pocket!\I refuse!\I guess this'll do.\Aria, we'll put the tables we're not going to use against the wall.\Help me out. response:	Sure.
context: It looks weird in your pocket like that.\Oh.\Put one in your other pocket!\I refuse!\I guess this'll do.\Aria, we'll put the tables we're not going to use against the wall.\Help me out.\Sure. response:	Here goes.
context: Oh.\Put one in your other pocket!\I refuse!\I guess this'll do.\Aria, we'll put the tables we're not going to use against the wall.\Help me out.\Sure.\Here goes. response:	No one said anything about moving your boobs!
context: Put one in your other pocket!\I refuse!\I guess this'll do.\Aria, we'll put the tables we're not going to use against the wall.\Help me out.\Sure.\Here goes.\No one said anything about moving your boobs! response:	Here's the schedule for the end of the year cleaning.
context: I refuse!\I guess this'll do.\Aria, we'll put the tables we're not going to use against the wall.\Help me out.\Sure.\Here goes.\No one said anything about moving your boobs!\Here's the schedule for the end of the year cleaning. response:	Right.
context: I guess this'll do.\Aria, we'll put the tables we're not going to use against the wall.\Help me out.\Sure.\Here goes.\No one said anything about moving your boobs!\Here's the schedule for the end of the year cleaning.\Right. response:	If we made sure we were clean all year round,
context: Aria, we'll put the tables we're not going to use against the wall.\Help me out.\Sure.\Here goes.\No one said anything about moving your boobs!\Here's the schedule for the end of the year cleaning.\Right.\If we made sure we were clean all year round, response:	we wouldn't need to have this cleaning spree, but...
context: Help me out.\Sure.\Here goes.\No one said anything about moving your boobs!\Here's the schedule for the end of the year cleaning.\Right.\If we made sure we were clean all year round,\we wouldn't need to have this cleaning spree, but... response:	Suzu Head
context: Sure.\Here goes.\No one said anything about moving your boobs!\Here's the schedule for the end of the year cleaning.\Right.\If we made sure we were clean all year round,\we wouldn't need to have this cleaning spree, but...\Suzu Head response:	I agree.
context: Here goes.\No one said anything about moving your boobs!\Here's the schedule for the end of the year cleaning.\Right.\If we made sure we were clean all year round,\we wouldn't need to have this cleaning spree, but...\Suzu Head\I agree. response:	There's no helping it.
context: No one said anything about moving your boobs!\Here's the schedule for the end of the year cleaning.\Right.\If we made sure we were clean all year round,\we wouldn't need to have this cleaning spree, but...\Suzu Head\I agree.\There's no helping it. response:	People are just like that.
context: Here's the schedule for the end of the year cleaning.\Right.\If we made sure we were clean all year round,\we wouldn't need to have this cleaning spree, but...\Suzu Head\I agree.\There's no helping it.\People are just like that. response:	They want to defile anything pure.
context: Right.\If we made sure we were clean all year round,\we wouldn't need to have this cleaning spree, but...\Suzu Head\I agree.\There's no helping it.\People are just like that.\They want to defile anything pure. response:	Right?
context: If we made sure we were clean all year round,\we wouldn't need to have this cleaning spree, but...\Suzu Head\I agree.\There's no helping it.\People are just like that.\They want to defile anything pure.\Right? response:	Don't look at me.
context: we wouldn't need to have this cleaning spree, but...\Suzu Head\I agree.\There's no helping it.\People are just like that.\They want to defile anything pure.\Right?\Don't look at me. response:	Now everyone's looking at me.
context: Suzu Head\I agree.\There's no helping it.\People are just like that.\They want to defile anything pure.\Right?\Don't look at me.\Now everyone's looking at me. response:	Tsuda, how are the volunteers for the cleaning squad going?
context: I agree.\There's no helping it.\People are just like that.\They want to defile anything pure.\Right?\Don't look at me.\Now everyone's looking at me.\Tsuda, how are the volunteers for the cleaning squad going? response:	I've gotten the fliers together.
context: There's no helping it.\People are just like that.\They want to defile anything pure.\Right?\Don't look at me.\Now everyone's looking at me.\Tsuda, how are the volunteers for the cleaning squad going?\I've gotten the fliers together. response:	Well, these aren't bad...
context: People are just like that.\They want to defile anything pure.\Right?\Don't look at me.\Now everyone's looking at me.\Tsuda, how are the volunteers for the cleaning squad going?\I've gotten the fliers together.\Well, these aren't bad... response:	I'd like something that draws a bit more attention.
context: They want to defile anything pure.\Right?\Don't look at me.\Now everyone's looking at me.\Tsuda, how are the volunteers for the cleaning squad going?\I've gotten the fliers together.\Well, these aren't bad...\I'd like something that draws a bit more attention. response:	Oh, I know.
context: Right?\Don't look at me.\Now everyone's looking at me.\Tsuda, how are the volunteers for the cleaning squad going?\I've gotten the fliers together.\Well, these aren't bad...\I'd like something that draws a bit more attention.\Oh, I know. response:	How about we make fliers printed on pink paper?
context: Don't look at me.\Now everyone's looking at me.\Tsuda, how are the volunteers for the cleaning squad going?\I've gotten the fliers together.\Well, these aren't bad...\I'd like something that draws a bit more attention.\Oh, I know.\How about we make fliers printed on pink paper? response:	I think a lot of people will take that the wrong way,
context: Now everyone's looking at me.\Tsuda, how are the volunteers for the cleaning squad going?\I've gotten the fliers together.\Well, these aren't bad...\I'd like something that draws a bit more attention.\Oh, I know.\How about we make fliers printed on pink paper?\I think a lot of people will take that the wrong way, response:	so maybe not the best idea.
context: Tsuda, how are the volunteers for the cleaning squad going?\I've gotten the fliers together.\Well, these aren't bad...\I'd like something that draws a bit more attention.\Oh, I know.\How about we make fliers printed on pink paper?\I think a lot of people will take that the wrong way,\so maybe not the best idea. response:	La, la, la.
context: I've gotten the fliers together.\Well, these aren't bad...\I'd like something that draws a bit more attention.\Oh, I know.\How about we make fliers printed on pink paper?\I think a lot of people will take that the wrong way,\so maybe not the best idea.\La, la, la. response:	About the surprise inspection we were planning for all the club rooms tomorrow...
context: Well, these aren't bad...\I'd like something that draws a bit more attention.\Oh, I know.\How about we make fliers printed on pink paper?\I think a lot of people will take that the wrong way,\so maybe not the best idea.\La, la, la.\About the surprise inspection we were planning for all the club rooms tomorrow... response:	It's possible that information was leaked.
context: I'd like something that draws a bit more attention.\Oh, I know.\How about we make fliers printed on pink paper?\I think a lot of people will take that the wrong way,\so maybe not the best idea.\La, la, la.\About the surprise inspection we were planning for all the club rooms tomorrow...\It's possible that information was leaked. response:	What was that?
context: Oh, I know.\How about we make fliers printed on pink paper?\I think a lot of people will take that the wrong way,\so maybe not the best idea.\La, la, la.\About the surprise inspection we were planning for all the club rooms tomorrow...\It's possible that information was leaked.\What was that? response:	Rustle...
context: How about we make fliers printed on pink paper?\I think a lot of people will take that the wrong way,\so maybe not the best idea.\La, la, la.\About the surprise inspection we were planning for all the club rooms tomorrow...\It's possible that information was leaked.\What was that?\Rustle... response:	Rustle, rustle.
context: I think a lot of people will take that the wrong way,\so maybe not the best idea.\La, la, la.\About the surprise inspection we were planning for all the club rooms tomorrow...\It's possible that information was leaked.\What was that?\Rustle...\Rustle, rustle. response:	Rustle...
context: so maybe not the best idea.\La, la, la.\About the surprise inspection we were planning for all the club rooms tomorrow...\It's possible that information was leaked.\What was that?\Rustle...\Rustle, rustle.\Rustle... response:	Rustle...
context: La, la, la.\About the surprise inspection we were planning for all the club rooms tomorrow...\It's possible that information was leaked.\What was that?\Rustle...\Rustle, rustle.\Rustle...\Rustle... response:	So we have a leak, then...
context: About the surprise inspection we were planning for all the club rooms tomorrow...\It's possible that information was leaked.\What was that?\Rustle...\Rustle, rustle.\Rustle...\Rustle...\So we have a leak, then... response:	I don't like that sound of that.
context: It's possible that information was leaked.\What was that?\Rustle...\Rustle, rustle.\Rustle...\Rustle...\So we have a leak, then...\I don't like that sound of that. response:	You should only have a leak while taking a leak!
context: What was that?\Rustle...\Rustle, rustle.\Rustle...\Rustle...\So we have a leak, then...\I don't like that sound of that.\You should only have a leak while taking a leak! response:	Clench
context: Rustle...\Rustle, rustle.\Rustle...\Rustle...\So we have a leak, then...\I don't like that sound of that.\You should only have a leak while taking a leak!\Clench response:	Or if you want to let someone know you're horny!
context: Rustle, rustle.\Rustle...\Rustle...\So we have a leak, then...\I don't like that sound of that.\You should only have a leak while taking a leak!\Clench\Or if you want to let someone know you're horny! response:	Pretend this didn't happen.
context: Rustle...\Rustle...\So we have a leak, then...\I don't like that sound of that.\You should only have a leak while taking a leak!\Clench\Or if you want to let someone know you're horny!\Pretend this didn't happen. response:	So...
context: Rustle...\So we have a leak, then...\I don't like that sound of that.\You should only have a leak while taking a leak!\Clench\Or if you want to let someone know you're horny!\Pretend this didn't happen.\So... response:	How did this happen?
context: So we have a leak, then...\I don't like that sound of that.\You should only have a leak while taking a leak!\Clench\Or if you want to let someone know you're horny!\Pretend this didn't happen.\So...\How did this happen? response:	In all likelihood,
context: I don't like that sound of that.\You should only have a leak while taking a leak!\Clench\Or if you want to let someone know you're horny!\Pretend this didn't happen.\So...\How did this happen?\In all likelihood, response:	someone involved mentioned it out in the open.
context: You should only have a leak while taking a leak!\Clench\Or if you want to let someone know you're horny!\Pretend this didn't happen.\So...\How did this happen?\In all likelihood,\someone involved mentioned it out in the open. response:	I wouldn't let that happen.
context: Clench\Or if you want to let someone know you're horny!\Pretend this didn't happen.\So...\How did this happen?\In all likelihood,\someone involved mentioned it out in the open.\I wouldn't let that happen. response:	I don't let my work get involved in my personal life.
context: Or if you want to let someone know you're horny!\Pretend this didn't happen.\So...\How did this happen?\In all likelihood,\someone involved mentioned it out in the open.\I wouldn't let that happen.\I don't let my work get involved in my personal life. response:	That's unfortunate.
context: Pretend this didn't happen.\So...\How did this happen?\In all likelihood,\someone involved mentioned it out in the open.\I wouldn't let that happen.\I don't let my work get involved in my personal life.\That's unfortunate. response:	When you tell people you're on the student council,
context: So...\How did this happen?\In all likelihood,\someone involved mentioned it out in the open.\I wouldn't let that happen.\I don't let my work get involved in my personal life.\That's unfortunate.\When you tell people you're on the student council, response:	it gets you a lot of moe points.
context: How did this happen?\In all likelihood,\someone involved mentioned it out in the open.\I wouldn't let that happen.\I don't let my work get involved in my personal life.\That's unfortunate.\When you tell people you're on the student council,\it gets you a lot of moe points. response:	I'll negate them all.
context: In all likelihood,\someone involved mentioned it out in the open.\I wouldn't let that happen.\I don't let my work get involved in my personal life.\That's unfortunate.\When you tell people you're on the student council,\it gets you a lot of moe points.\I'll negate them all. response:	Hm...
context: someone involved mentioned it out in the open.\I wouldn't let that happen.\I don't let my work get involved in my personal life.\That's unfortunate.\When you tell people you're on the student council,\it gets you a lot of moe points.\I'll negate them all.\Hm... response:	Can I voice my thoughts?
context: I wouldn't let that happen.\I don't let my work get involved in my personal life.\That's unfortunate.\When you tell people you're on the student council,\it gets you a lot of moe points.\I'll negate them all.\Hm...\Can I voice my thoughts? response:	Take the floor.
