context: There we go... response:	Make sure you listen to your uncle.
context: On a hot summer day,\I got lost in the forest of the mountain god,\which was said to be where spirits lived.\After running around searching for an exit\I became so tired I couldn't move.\When I started crying from fear and loneliness,\he appeared before me.\Hey! response:	Shorty!
context: I got lost in the forest of the mountain god,\which was said to be where spirits lived.\After running around searching for an exit\I became so tired I couldn't move.\When I started crying from fear and loneliness,\he appeared before me.\Hey!\Shorty! response:	Why are you crying?
context: which was said to be where spirits lived.\After running around searching for an exit\I became so tired I couldn't move.\When I started crying from fear and loneliness,\he appeared before me.\Hey!\Shorty!\Why are you crying? response:	It's a person!
context: After running around searching for an exit\I became so tired I couldn't move.\When I started crying from fear and loneliness,\he appeared before me.\Hey!\Shorty!\Why are you crying?\It's a person! response:	I'm saved!
context: I became so tired I couldn't move.\When I started crying from fear and loneliness,\he appeared before me.\Hey!\Shorty!\Why are you crying?\It's a person!\I'm saved! response:	S-Sorry.
context: When I started crying from fear and loneliness,\he appeared before me.\Hey!\Shorty!\Why are you crying?\It's a person!\I'm saved!\S-Sorry. response:	You're a human child, right?
context: he appeared before me.\Hey!\Shorty!\Why are you crying?\It's a person!\I'm saved!\S-Sorry.\You're a human child, right? response:	If a human touches me, I'll disappear.
context: Hey!\Shorty!\Why are you crying?\It's a person!\I'm saved!\S-Sorry.\You're a human child, right?\If a human touches me, I'll disappear. response:	If a human...?
context: Shorty!\Why are you crying?\It's a person!\I'm saved!\S-Sorry.\You're a human child, right?\If a human touches me, I'll disappear.\If a human...? response:	You're not a human?
context: Why are you crying?\It's a person!\I'm saved!\S-Sorry.\You're a human child, right?\If a human touches me, I'll disappear.\If a human...?\You're not a human? response:	I'm...
context: It's a person!\I'm saved!\S-Sorry.\You're a human child, right?\If a human touches me, I'll disappear.\If a human...?\You're not a human?\I'm... response:	something that lives in this forest.
context: I'm saved!\S-Sorry.\You're a human child, right?\If a human touches me, I'll disappear.\If a human...?\You're not a human?\I'm...\something that lives in this forest. response:	What?
context: S-Sorry.\You're a human child, right?\If a human touches me, I'll disappear.\If a human...?\You're not a human?\I'm...\something that lives in this forest.\What? response:	Then...
context: You're a human child, right?\If a human touches me, I'll disappear.\If a human...?\You're not a human?\I'm...\something that lives in this forest.\What?\Then... response:	you're one of the spirits?
context: If a human touches me, I'll disappear.\If a human...?\You're not a human?\I'm...\something that lives in this forest.\What?\Then...\you're one of the spirits? response:	But...
context: If a human...?\You're not a human?\I'm...\something that lives in this forest.\What?\Then...\you're one of the spirits?\But... response:	what do you mean by disappear?
context: You're not a human?\I'm...\something that lives in this forest.\What?\Then...\you're one of the spirits?\But...\what do you mean by disappear? response:	Y-You're really not human after all...
context: I'm...\something that lives in this forest.\What?\Then...\you're one of the spirits?\But...\what do you mean by disappear?\Y-You're really not human after all... response:	N-No human would hit a child like that!
context: something that lives in this forest.\What?\Then...\you're one of the spirits?\But...\what do you mean by disappear?\Y-You're really not human after all...\N-No human would hit a child like that! response:	To disappear means to be obliterated.
context: What?\Then...\you're one of the spirits?\But...\what do you mean by disappear?\Y-You're really not human after all...\N-No human would hit a child like that!\To disappear means to be obliterated. response:	That's the spell that the mountain god placed upon me.
context: Then...\you're one of the spirits?\But...\what do you mean by disappear?\Y-You're really not human after all...\N-No human would hit a child like that!\To disappear means to be obliterated.\That's the spell that the mountain god placed upon me. response:	If I get touched by a human,
context: you're one of the spirits?\But...\what do you mean by disappear?\Y-You're really not human after all...\N-No human would hit a child like that!\To disappear means to be obliterated.\That's the spell that the mountain god placed upon me.\If I get touched by a human, response:	that's the end.
context: But...\what do you mean by disappear?\Y-You're really not human after all...\N-No human would hit a child like that!\To disappear means to be obliterated.\That's the spell that the mountain god placed upon me.\If I get touched by a human,\that's the end. response:	I-I'm sorry.
context: what do you mean by disappear?\Y-You're really not human after all...\N-No human would hit a child like that!\To disappear means to be obliterated.\That's the spell that the mountain god placed upon me.\If I get touched by a human,\that's the end.\I-I'm sorry. response:	Here, shorty.
context: Y-You're really not human after all...\N-No human would hit a child like that!\To disappear means to be obliterated.\That's the spell that the mountain god placed upon me.\If I get touched by a human,\that's the end.\I-I'm sorry.\Here, shorty. response:	Grab the other end.
context: N-No human would hit a child like that!\To disappear means to be obliterated.\That's the spell that the mountain god placed upon me.\If I get touched by a human,\that's the end.\I-I'm sorry.\Here, shorty.\Grab the other end. response:	You're lost, aren't you?
context: To disappear means to be obliterated.\That's the spell that the mountain god placed upon me.\If I get touched by a human,\that's the end.\I-I'm sorry.\Here, shorty.\Grab the other end.\You're lost, aren't you? response:	I'll lead you out of the forest.
context: That's the spell that the mountain god placed upon me.\If I get touched by a human,\that's the end.\I-I'm sorry.\Here, shorty.\Grab the other end.\You're lost, aren't you?\I'll lead you out of the forest. response:	Thank you!
context: If I get touched by a human,\that's the end.\I-I'm sorry.\Here, shorty.\Grab the other end.\You're lost, aren't you?\I'll lead you out of the forest.\Thank you! response:	Didn't I just tell you?
context: that's the end.\I-I'm sorry.\Here, shorty.\Grab the other end.\You're lost, aren't you?\I'll lead you out of the forest.\Thank you!\Didn't I just tell you? response:	Sorry, I just...
context: I-I'm sorry.\Here, shorty.\Grab the other end.\You're lost, aren't you?\I'll lead you out of the forest.\Thank you!\Didn't I just tell you?\Sorry, I just... response:	It's just like going on a date!
context: Here, shorty.\Grab the other end.\You're lost, aren't you?\I'll lead you out of the forest.\Thank you!\Didn't I just tell you?\Sorry, I just...\It's just like going on a date! response:	Not a very romantic one...
context: Grab the other end.\You're lost, aren't you?\I'll lead you out of the forest.\Thank you!\Didn't I just tell you?\Sorry, I just...\It's just like going on a date!\Not a very romantic one... response:	You...
context: You're lost, aren't you?\I'll lead you out of the forest.\Thank you!\Didn't I just tell you?\Sorry, I just...\It's just like going on a date!\Not a very romantic one...\You... response:	aren't afraid.
context: I'll lead you out of the forest.\Thank you!\Didn't I just tell you?\Sorry, I just...\It's just like going on a date!\Not a very romantic one...\You...\aren't afraid. response:	Of what?
context: Thank you!\Didn't I just tell you?\Sorry, I just...\It's just like going on a date!\Not a very romantic one...\You...\aren't afraid.\Of what? response:	Never mind.
context: Didn't I just tell you?\Sorry, I just...\It's just like going on a date!\Not a very romantic one...\You...\aren't afraid.\Of what?\Never mind. response:	If you go straight, you'll hit the mountain path.
context: Sorry, I just...\It's just like going on a date!\Not a very romantic one...\You...\aren't afraid.\Of what?\Never mind.\If you go straight, you'll hit the mountain path. response:	Bye.
context: It's just like going on a date!\Not a very romantic one...\You...\aren't afraid.\Of what?\Never mind.\If you go straight, you'll hit the mountain path.\Bye. response:	Are you always going to be here?
context: Not a very romantic one...\You...\aren't afraid.\Of what?\Never mind.\If you go straight, you'll hit the mountain path.\Bye.\Are you always going to be here? response:	If I come back here, can we meet again?
context: You...\aren't afraid.\Of what?\Never mind.\If you go straight, you'll hit the mountain path.\Bye.\Are you always going to be here?\If I come back here, can we meet again? response:	This is the forest where the mountain god and spirits live.
context: aren't afraid.\Of what?\Never mind.\If you go straight, you'll hit the mountain path.\Bye.\Are you always going to be here?\If I come back here, can we meet again?\This is the forest where the mountain god and spirits live. response:	Set foot within, and you'll lose your way and be lost forever.
context: Of what?\Never mind.\If you go straight, you'll hit the mountain path.\Bye.\Are you always going to be here?\If I come back here, can we meet again?\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever. response:	You shouldn't come here.
context: Never mind.\If you go straight, you'll hit the mountain path.\Bye.\Are you always going to be here?\If I come back here, can we meet again?\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You shouldn't come here. response:	That's what the villagers say, right?
context: If you go straight, you'll hit the mountain path.\Bye.\Are you always going to be here?\If I come back here, can we meet again?\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You shouldn't come here.\That's what the villagers say, right? response:	I'm Takegawa Hotaru.
context: Bye.\Are you always going to be here?\If I come back here, can we meet again?\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You shouldn't come here.\That's what the villagers say, right?\I'm Takegawa Hotaru. response:	You?
context: Are you always going to be here?\If I come back here, can we meet again?\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You shouldn't come here.\That's what the villagers say, right?\I'm Takegawa Hotaru.\You? response:	Anyway, I'll be back tomorrow with a thank-you present!
context: If I come back here, can we meet again?\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You shouldn't come here.\That's what the villagers say, right?\I'm Takegawa Hotaru.\You?\Anyway, I'll be back tomorrow with a thank-you present! response:	Bye!
context: This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You shouldn't come here.\That's what the villagers say, right?\I'm Takegawa Hotaru.\You?\Anyway, I'll be back tomorrow with a thank-you present!\Bye! response:	It's Gin.
context: Set foot within, and you'll lose your way and be lost forever.\You shouldn't come here.\That's what the villagers say, right?\I'm Takegawa Hotaru.\You?\Anyway, I'll be back tomorrow with a thank-you present!\Bye!\It's Gin. response:	Hotaru!
context: You shouldn't come here.\That's what the villagers say, right?\I'm Takegawa Hotaru.\You?\Anyway, I'll be back tomorrow with a thank-you present!\Bye!\It's Gin.\Hotaru! response:	Ah, Uncle!
context: That's what the villagers say, right?\I'm Takegawa Hotaru.\You?\Anyway, I'll be back tomorrow with a thank-you present!\Bye!\It's Gin.\Hotaru!\Ah, Uncle! response:	Hotaru, you idiot!
context: I'm Takegawa Hotaru.\You?\Anyway, I'll be back tomorrow with a thank-you present!\Bye!\It's Gin.\Hotaru!\Ah, Uncle!\Hotaru, you idiot! response:	If you go into the forest on your own and get hurt,
context: You?\Anyway, I'll be back tomorrow with a thank-you present!\Bye!\It's Gin.\Hotaru!\Ah, Uncle!\Hotaru, you idiot!\If you go into the forest on your own and get hurt, response:	what are you gonna do?
context: Anyway, I'll be back tomorrow with a thank-you present!\Bye!\It's Gin.\Hotaru!\Ah, Uncle!\Hotaru, you idiot!\If you go into the forest on your own and get hurt,\what are you gonna do? response:	Uncle.
context: Bye!\It's Gin.\Hotaru!\Ah, Uncle!\Hotaru, you idiot!\If you go into the forest on your own and get hurt,\what are you gonna do?\Uncle. response:	Huh?
context: It's Gin.\Hotaru!\Ah, Uncle!\Hotaru, you idiot!\If you go into the forest on your own and get hurt,\what are you gonna do?\Uncle.\Huh? response:	Is it true that there are spirits living in that forest?
context: Hotaru!\Ah, Uncle!\Hotaru, you idiot!\If you go into the forest on your own and get hurt,\what are you gonna do?\Uncle.\Huh?\Is it true that there are spirits living in that forest? response:	Oh, the mountain god's forest...
context: Ah, Uncle!\Hotaru, you idiot!\If you go into the forest on your own and get hurt,\what are you gonna do?\Uncle.\Huh?\Is it true that there are spirits living in that forest?\Oh, the mountain god's forest... response:	Who knows.
context: Hotaru, you idiot!\If you go into the forest on your own and get hurt,\what are you gonna do?\Uncle.\Huh?\Is it true that there are spirits living in that forest?\Oh, the mountain god's forest...\Who knows. response:	That's what they say.
context: If you go into the forest on your own and get hurt,\what are you gonna do?\Uncle.\Huh?\Is it true that there are spirits living in that forest?\Oh, the mountain god's forest...\Who knows.\That's what they say. response:	When I was little, I wanted to meet the spirits,
context: what are you gonna do?\Uncle.\Huh?\Is it true that there are spirits living in that forest?\Oh, the mountain god's forest...\Who knows.\That's what they say.\When I was little, I wanted to meet the spirits, response:	so my friends and I often went into the forest.
context: Uncle.\Huh?\Is it true that there are spirits living in that forest?\Oh, the mountain god's forest...\Who knows.\That's what they say.\When I was little, I wanted to meet the spirits,\so my friends and I often went into the forest. response:	In the end, I never met any,
context: Huh?\Is it true that there are spirits living in that forest?\Oh, the mountain god's forest...\Who knows.\That's what they say.\When I was little, I wanted to meet the spirits,\so my friends and I often went into the forest.\In the end, I never met any, response:	but I had the feeling I'd occasionally spot something
context: Is it true that there are spirits living in that forest?\Oh, the mountain god's forest...\Who knows.\That's what they say.\When I was little, I wanted to meet the spirits,\so my friends and I often went into the forest.\In the end, I never met any,\but I had the feeling I'd occasionally spot something response:	from the corner of my eye.
context: Oh, the mountain god's forest...\Who knows.\That's what they say.\When I was little, I wanted to meet the spirits,\so my friends and I often went into the forest.\In the end, I never met any,\but I had the feeling I'd occasionally spot something\from the corner of my eye. response:	On summer nights,
context: Who knows.\That's what they say.\When I was little, I wanted to meet the spirits,\so my friends and I often went into the forest.\In the end, I never met any,\but I had the feeling I'd occasionally spot something\from the corner of my eye.\On summer nights, response:	you could hear the sounds of the river coming from the forest.
context: That's what they say.\When I was little, I wanted to meet the spirits,\so my friends and I often went into the forest.\In the end, I never met any,\but I had the feeling I'd occasionally spot something\from the corner of my eye.\On summer nights,\you could hear the sounds of the river coming from the forest. response:	And now that I think about it,
context: When I was little, I wanted to meet the spirits,\so my friends and I often went into the forest.\In the end, I never met any,\but I had the feeling I'd occasionally spot something\from the corner of my eye.\On summer nights,\you could hear the sounds of the river coming from the forest.\And now that I think about it, response:	Iwa said she and her friends went and had fun
context: so my friends and I often went into the forest.\In the end, I never met any,\but I had the feeling I'd occasionally spot something\from the corner of my eye.\On summer nights,\you could hear the sounds of the river coming from the forest.\And now that I think about it,\Iwa said she and her friends went and had fun response:	at a summer festival in the forest.
context: In the end, I never met any,\but I had the feeling I'd occasionally spot something\from the corner of my eye.\On summer nights,\you could hear the sounds of the river coming from the forest.\And now that I think about it,\Iwa said she and her friends went and had fun\at a summer festival in the forest. response:	But there's no way the villagers would've held a festival in the forest.
context: but I had the feeling I'd occasionally spot something\from the corner of my eye.\On summer nights,\you could hear the sounds of the river coming from the forest.\And now that I think about it,\Iwa said she and her friends went and had fun\at a summer festival in the forest.\But there's no way the villagers would've held a festival in the forest. response:	So then, whose festival could it have been?
context: from the corner of my eye.\On summer nights,\you could hear the sounds of the river coming from the forest.\And now that I think about it,\Iwa said she and her friends went and had fun\at a summer festival in the forest.\But there's no way the villagers would've held a festival in the forest.\So then, whose festival could it have been? response:	It started this crazy story that
context: On summer nights,\you could hear the sounds of the river coming from the forest.\And now that I think about it,\Iwa said she and her friends went and had fun\at a summer festival in the forest.\But there's no way the villagers would've held a festival in the forest.\So then, whose festival could it have been?\It started this crazy story that response:	they must've snuck into a festival for the spirits.
context: you could hear the sounds of the river coming from the forest.\And now that I think about it,\Iwa said she and her friends went and had fun\at a summer festival in the forest.\But there's no way the villagers would've held a festival in the forest.\So then, whose festival could it have been?\It started this crazy story that\they must've snuck into a festival for the spirits. response:	Man, that takes me back!
context: And now that I think about it,\Iwa said she and her friends went and had fun\at a summer festival in the forest.\But there's no way the villagers would've held a festival in the forest.\So then, whose festival could it have been?\It started this crazy story that\they must've snuck into a festival for the spirits.\Man, that takes me back! response:	We were so stupid back when we were kids.
context: Iwa said she and her friends went and had fun\at a summer festival in the forest.\But there's no way the villagers would've held a festival in the forest.\So then, whose festival could it have been?\It started this crazy story that\they must've snuck into a festival for the spirits.\Man, that takes me back!\We were so stupid back when we were kids. response:	This is the forest where the mountain god and spirits live.
context: at a summer festival in the forest.\But there's no way the villagers would've held a festival in the forest.\So then, whose festival could it have been?\It started this crazy story that\they must've snuck into a festival for the spirits.\Man, that takes me back!\We were so stupid back when we were kids.\This is the forest where the mountain god and spirits live. response:	Set foot within, and you'll lose your way and be lost forever.
context: But there's no way the villagers would've held a festival in the forest.\So then, whose festival could it have been?\It started this crazy story that\they must've snuck into a festival for the spirits.\Man, that takes me back!\We were so stupid back when we were kids.\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever. response:	You came.
context: So then, whose festival could it have been?\It started this crazy story that\they must've snuck into a festival for the spirits.\Man, that takes me back!\We were so stupid back when we were kids.\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You came. response:	I didn't think you'd really come back.
context: It started this crazy story that\they must've snuck into a festival for the spirits.\Man, that takes me back!\We were so stupid back when we were kids.\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You came.\I didn't think you'd really come back. response:	You...
context: they must've snuck into a festival for the spirits.\Man, that takes me back!\We were so stupid back when we were kids.\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You came.\I didn't think you'd really come back.\You... response:	You waited for me!
context: Man, that takes me back!\We were so stupid back when we were kids.\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You came.\I didn't think you'd really come back.\You...\You waited for me! response:	You just don't learn, do you?
context: We were so stupid back when we were kids.\This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You came.\I didn't think you'd really come back.\You...\You waited for me!\You just don't learn, do you? response:	I was so happy, I just...
context: This is the forest where the mountain god and spirits live.\Set foot within, and you'll lose your way and be lost forever.\You came.\I didn't think you'd really come back.\You...\You waited for me!\You just don't learn, do you?\I was so happy, I just... response:	Sorry.
context: Set foot within, and you'll lose your way and be lost forever.\You came.\I didn't think you'd really come back.\You...\You waited for me!\You just don't learn, do you?\I was so happy, I just...\Sorry. response:	It's a bit hot here.
context: You came.\I didn't think you'd really come back.\You...\You waited for me!\You just don't learn, do you?\I was so happy, I just...\Sorry.\It's a bit hot here. response:	Shall we go somewhere cooler?
context: I didn't think you'd really come back.\You...\You waited for me!\You just don't learn, do you?\I was so happy, I just...\Sorry.\It's a bit hot here.\Shall we go somewhere cooler? response:	What?
context: You...\You waited for me!\You just don't learn, do you?\I was so happy, I just...\Sorry.\It's a bit hot here.\Shall we go somewhere cooler?\What? response:	Don't worry.
context: You waited for me!\You just don't learn, do you?\I was so happy, I just...\Sorry.\It's a bit hot here.\Shall we go somewhere cooler?\What?\Don't worry. response:	I'll see you out of here again.
context: You just don't learn, do you?\I was so happy, I just...\Sorry.\It's a bit hot here.\Shall we go somewhere cooler?\What?\Don't worry.\I'll see you out of here again. response:	Gin.
context: I was so happy, I just...\Sorry.\It's a bit hot here.\Shall we go somewhere cooler?\What?\Don't worry.\I'll see you out of here again.\Gin. response:	Is that a human child?
context: Sorry.\It's a bit hot here.\Shall we go somewhere cooler?\What?\Don't worry.\I'll see you out of here again.\Gin.\Is that a human child? response:	Can I eat it?
context: It's a bit hot here.\Shall we go somewhere cooler?\What?\Don't worry.\I'll see you out of here again.\Gin.\Is that a human child?\Can I eat it? response:	No.
context: Shall we go somewhere cooler?\What?\Don't worry.\I'll see you out of here again.\Gin.\Is that a human child?\Can I eat it?\No. response:	She's my friend.
context: What?\Don't worry.\I'll see you out of here again.\Gin.\Is that a human child?\Can I eat it?\No.\She's my friend. response:	Is that so?
context: Don't worry.\I'll see you out of here again.\Gin.\Is that a human child?\Can I eat it?\No.\She's my friend.\Is that so? response:	Human child.
context: I'll see you out of here again.\Gin.\Is that a human child?\Can I eat it?\No.\She's my friend.\Is that so?\Human child. response:	Please don't touch Gin's skin.
context: Gin.\Is that a human child?\Can I eat it?\No.\She's my friend.\Is that so?\Human child.\Please don't touch Gin's skin. response:	If you do, I'll eat you!
context: Is that a human child?\Can I eat it?\No.\She's my friend.\Is that so?\Human child.\Please don't touch Gin's skin.\If you do, I'll eat you! response:	Oh!
context: Can I eat it?\No.\She's my friend.\Is that so?\Human child.\Please don't touch Gin's skin.\If you do, I'll eat you!\Oh! response:	Is that a fox?
context: No.\She's my friend.\Is that so?\Human child.\Please don't touch Gin's skin.\If you do, I'll eat you!\Oh!\Is that a fox? response:	He's another one of the spirits.
context: She's my friend.\Is that so?\Human child.\Please don't touch Gin's skin.\If you do, I'll eat you!\Oh!\Is that a fox?\He's another one of the spirits. response:	He transforms to scare people, but he's all bark and no bite.
context: Is that so?\Human child.\Please don't touch Gin's skin.\If you do, I'll eat you!\Oh!\Is that a fox?\He's another one of the spirits.\He transforms to scare people, but he's all bark and no bite. response:	Amazing!
context: Human child.\Please don't touch Gin's skin.\If you do, I'll eat you!\Oh!\Is that a fox?\He's another one of the spirits.\He transforms to scare people, but he's all bark and no bite.\Amazing! response:	This is the first time I've seen a real spirit!
context: Please don't touch Gin's skin.\If you do, I'll eat you!\Oh!\Is that a fox?\He's another one of the spirits.\He transforms to scare people, but he's all bark and no bite.\Amazing!\This is the first time I've seen a real spirit! response:	So they really do exist!
context: If you do, I'll eat you!\Oh!\Is that a fox?\He's another one of the spirits.\He transforms to scare people, but he's all bark and no bite.\Amazing!\This is the first time I've seen a real spirit!\So they really do exist! response:	Amazing! So what did you think I was?
context: Oh!\Is that a fox?\He's another one of the spirits.\He transforms to scare people, but he's all bark and no bite.\Amazing!\This is the first time I've seen a real spirit!\So they really do exist!\Amazing! So what did you think I was? response:	So what did you think I was?
context: Is that a fox?\He's another one of the spirits.\He transforms to scare people, but he's all bark and no bite.\Amazing!\This is the first time I've seen a real spirit!\So they really do exist!\Amazing! So what did you think I was?\So what did you think I was? response:	So amazing! So what did you think I was?
context: He's another one of the spirits.\He transforms to scare people, but he's all bark and no bite.\Amazing!\This is the first time I've seen a real spirit!\So they really do exist!\Amazing! So what did you think I was?\So what did you think I was?\So amazing! So what did you think I was? response:	So what did you think I was?
context: He transforms to scare people, but he's all bark and no bite.\Amazing!\This is the first time I've seen a real spirit!\So they really do exist!\Amazing! So what did you think I was?\So what did you think I was?\So amazing! So what did you think I was?\So what did you think I was? response:	Incredibly amazing! So what did you think I was?
context: Amazing!\This is the first time I've seen a real spirit!\So they really do exist!\Amazing! So what did you think I was?\So what did you think I was?\So amazing! So what did you think I was?\So what did you think I was?\Incredibly amazing! So what did you think I was? response:	Gin, are you a No-Face or something?
context: This is the first time I've seen a real spirit!\So they really do exist!\Amazing! So what did you think I was?\So what did you think I was?\So amazing! So what did you think I was?\So what did you think I was?\Incredibly amazing! So what did you think I was?\Gin, are you a No-Face or something? response:	Why do you wear a mask?
context: So they really do exist!\Amazing! So what did you think I was?\So what did you think I was?\So amazing! So what did you think I was?\So what did you think I was?\Incredibly amazing! So what did you think I was?\Gin, are you a No-Face or something?\Why do you wear a mask? response:	No particular reason.
context: Amazing! So what did you think I was?\So what did you think I was?\So amazing! So what did you think I was?\So what did you think I was?\Incredibly amazing! So what did you think I was?\Gin, are you a No-Face or something?\Why do you wear a mask?\No particular reason. response:	Never mind me.
context: So what did you think I was?\So amazing! So what did you think I was?\So what did you think I was?\Incredibly amazing! So what did you think I was?\Gin, are you a No-Face or something?\Why do you wear a mask?\No particular reason.\Never mind me. response:	Tell me about yourself.
context: So amazing! So what did you think I was?\So what did you think I was?\Incredibly amazing! So what did you think I was?\Gin, are you a No-Face or something?\Why do you wear a mask?\No particular reason.\Never mind me.\Tell me about yourself. response:	Are you curious?
context: So what did you think I was?\Incredibly amazing! So what did you think I was?\Gin, are you a No-Face or something?\Why do you wear a mask?\No particular reason.\Never mind me.\Tell me about yourself.\Are you curious? response:	That's why I waited for you.
