context: The moon is about to disappear. response:	Huh?! A shooting star!
context: If I had to wait for you,\we wouldn't reach Naraku's castle even in a hundred years!\Then Koga...\You weren't just running around here and there?\I can smell it. This foul odor.\It's close... Naraku's castle.\This time... I'll attack his castle and kill him!\I'll avenge my comrades who were tricked and slaughtered. response:	Without fail!
context: we wouldn't reach Naraku's castle even in a hundred years!\Then Koga...\You weren't just running around here and there?\I can smell it. This foul odor.\It's close... Naraku's castle.\This time... I'll attack his castle and kill him!\I'll avenge my comrades who were tricked and slaughtered.\Without fail! response:	What's the matter, Inuyasha?
context: Then Koga...\You weren't just running around here and there?\I can smell it. This foul odor.\It's close... Naraku's castle.\This time... I'll attack his castle and kill him!\I'll avenge my comrades who were tricked and slaughtered.\Without fail!\What's the matter, Inuyasha? response:	Isn't it in this direction?
context: You weren't just running around here and there?\I can smell it. This foul odor.\It's close... Naraku's castle.\This time... I'll attack his castle and kill him!\I'll avenge my comrades who were tricked and slaughtered.\Without fail!\What's the matter, Inuyasha?\Isn't it in this direction? response:	Shaddup! Don't talk to me! I can't concentrate!
context: I can smell it. This foul odor.\It's close... Naraku's castle.\This time... I'll attack his castle and kill him!\I'll avenge my comrades who were tricked and slaughtered.\Without fail!\What's the matter, Inuyasha?\Isn't it in this direction?\Shaddup! Don't talk to me! I can't concentrate! response:	Isn't it useless to sniff the ground to find Naraku's castle?
context: It's close... Naraku's castle.\This time... I'll attack his castle and kill him!\I'll avenge my comrades who were tricked and slaughtered.\Without fail!\What's the matter, Inuyasha?\Isn't it in this direction?\Shaddup! Don't talk to me! I can't concentrate!\Isn't it useless to sniff the ground to find Naraku's castle? response:	Damn!
context: This time... I'll attack his castle and kill him!\I'll avenge my comrades who were tricked and slaughtered.\Without fail!\What's the matter, Inuyasha?\Isn't it in this direction?\Shaddup! Don't talk to me! I can't concentrate!\Isn't it useless to sniff the ground to find Naraku's castle?\Damn! response:	Inuyasha's nose isn't working now.
context: I'll avenge my comrades who were tricked and slaughtered.\Without fail!\What's the matter, Inuyasha?\Isn't it in this direction?\Shaddup! Don't talk to me! I can't concentrate!\Isn't it useless to sniff the ground to find Naraku's castle?\Damn!\Inuyasha's nose isn't working now. response:	Tonight is the first night.
context: Without fail!\What's the matter, Inuyasha?\Isn't it in this direction?\Shaddup! Don't talk to me! I can't concentrate!\Isn't it useless to sniff the ground to find Naraku's castle?\Damn!\Inuyasha's nose isn't working now.\Tonight is the first night. response:	Oh! The night of the new moon!
context: What's the matter, Inuyasha?\Isn't it in this direction?\Shaddup! Don't talk to me! I can't concentrate!\Isn't it useless to sniff the ground to find Naraku's castle?\Damn!\Inuyasha's nose isn't working now.\Tonight is the first night.\Oh! The night of the new moon! response:	Night of the new moon?
context: Isn't it in this direction?\Shaddup! Don't talk to me! I can't concentrate!\Isn't it useless to sniff the ground to find Naraku's castle?\Damn!\Inuyasha's nose isn't working now.\Tonight is the first night.\Oh! The night of the new moon!\Night of the new moon? response:	That's right.
context: Shaddup! Don't talk to me! I can't concentrate!\Isn't it useless to sniff the ground to find Naraku's castle?\Damn!\Inuyasha's nose isn't working now.\Tonight is the first night.\Oh! The night of the new moon!\Night of the new moon?\That's right. response:	Tonight, Inuyasha loses his powers and becomes a mortal.
context: Isn't it useless to sniff the ground to find Naraku's castle?\Damn!\Inuyasha's nose isn't working now.\Tonight is the first night.\Oh! The night of the new moon!\Night of the new moon?\That's right.\Tonight, Inuyasha loses his powers and becomes a mortal. response:	Inuyasha, let's not do anything rash tonight.
context: Damn!\Inuyasha's nose isn't working now.\Tonight is the first night.\Oh! The night of the new moon!\Night of the new moon?\That's right.\Tonight, Inuyasha loses his powers and becomes a mortal.\Inuyasha, let's not do anything rash tonight. response:	Even if we find Naraku's castle,
context: Inuyasha's nose isn't working now.\Tonight is the first night.\Oh! The night of the new moon!\Night of the new moon?\That's right.\Tonight, Inuyasha loses his powers and becomes a mortal.\Inuyasha, let's not do anything rash tonight.\Even if we find Naraku's castle, response:	without your powers, you can't fight.
context: Tonight is the first night.\Oh! The night of the new moon!\Night of the new moon?\That's right.\Tonight, Inuyasha loses his powers and becomes a mortal.\Inuyasha, let's not do anything rash tonight.\Even if we find Naraku's castle,\without your powers, you can't fight. response:	Don't be ridiculous! We've come this far!
context: Oh! The night of the new moon!\Night of the new moon?\That's right.\Tonight, Inuyasha loses his powers and becomes a mortal.\Inuyasha, let's not do anything rash tonight.\Even if we find Naraku's castle,\without your powers, you can't fight.\Don't be ridiculous! We've come this far! response:	But! We can't act hastily.
context: Night of the new moon?\That's right.\Tonight, Inuyasha loses his powers and becomes a mortal.\Inuyasha, let's not do anything rash tonight.\Even if we find Naraku's castle,\without your powers, you can't fight.\Don't be ridiculous! We've come this far!\But! We can't act hastily. response:	Huh?
context: That's right.\Tonight, Inuyasha loses his powers and becomes a mortal.\Inuyasha, let's not do anything rash tonight.\Even if we find Naraku's castle,\without your powers, you can't fight.\Don't be ridiculous! We've come this far!\But! We can't act hastily.\Huh? response:	That's! A cyclone?!
context: Tonight, Inuyasha loses his powers and becomes a mortal.\Inuyasha, let's not do anything rash tonight.\Even if we find Naraku's castle,\without your powers, you can't fight.\Don't be ridiculous! We've come this far!\But! We can't act hastily.\Huh?\That's! A cyclone?! response:	It's approaching!
context: Inuyasha, let's not do anything rash tonight.\Even if we find Naraku's castle,\without your powers, you can't fight.\Don't be ridiculous! We've come this far!\But! We can't act hastily.\Huh?\That's! A cyclone?!\It's approaching! response:	Hey! Kagome! You're here, too?
context: Even if we find Naraku's castle,\without your powers, you can't fight.\Don't be ridiculous! We've come this far!\But! We can't act hastily.\Huh?\That's! A cyclone?!\It's approaching!\Hey! Kagome! You're here, too? response:	K-Koga!
context: without your powers, you can't fight.\Don't be ridiculous! We've come this far!\But! We can't act hastily.\Huh?\That's! A cyclone?!\It's approaching!\Hey! Kagome! You're here, too?\K-Koga! response:	That's what you get for sniffing the ground.
context: Don't be ridiculous! We've come this far!\But! We can't act hastily.\Huh?\That's! A cyclone?!\It's approaching!\Hey! Kagome! You're here, too?\K-Koga!\That's what you get for sniffing the ground. response:	Hey, mutt! So you followed the smell, too?
context: But! We can't act hastily.\Huh?\That's! A cyclone?!\It's approaching!\Hey! Kagome! You're here, too?\K-Koga!\That's what you get for sniffing the ground.\Hey, mutt! So you followed the smell, too? response:	Why you wild wolf!
context: Huh?\That's! A cyclone?!\It's approaching!\Hey! Kagome! You're here, too?\K-Koga!\That's what you get for sniffing the ground.\Hey, mutt! So you followed the smell, too?\Why you wild wolf! response:	I'll kill you!
context: That's! A cyclone?!\It's approaching!\Hey! Kagome! You're here, too?\K-Koga!\That's what you get for sniffing the ground.\Hey, mutt! So you followed the smell, too?\Why you wild wolf!\I'll kill you! response:	Sit!
context: It's approaching!\Hey! Kagome! You're here, too?\K-Koga!\That's what you get for sniffing the ground.\Hey, mutt! So you followed the smell, too?\Why you wild wolf!\I'll kill you!\Sit! response:	Koga, did you come to find Naraku's castle?
context: Hey! Kagome! You're here, too?\K-Koga!\That's what you get for sniffing the ground.\Hey, mutt! So you followed the smell, too?\Why you wild wolf!\I'll kill you!\Sit!\Koga, did you come to find Naraku's castle? response:	Yeah... I don't know what it is,
context: K-Koga!\That's what you get for sniffing the ground.\Hey, mutt! So you followed the smell, too?\Why you wild wolf!\I'll kill you!\Sit!\Koga, did you come to find Naraku's castle?\Yeah... I don't know what it is, response:	but I'm getting strong whiffs of Naraku's foul smell.
context: That's what you get for sniffing the ground.\Hey, mutt! So you followed the smell, too?\Why you wild wolf!\I'll kill you!\Sit!\Koga, did you come to find Naraku's castle?\Yeah... I don't know what it is,\but I'm getting strong whiffs of Naraku's foul smell. response:	It's never happened before.
context: Hey, mutt! So you followed the smell, too?\Why you wild wolf!\I'll kill you!\Sit!\Koga, did you come to find Naraku's castle?\Yeah... I don't know what it is,\but I'm getting strong whiffs of Naraku's foul smell.\It's never happened before. response:	That means!
context: Why you wild wolf!\I'll kill you!\Sit!\Koga, did you come to find Naraku's castle?\Yeah... I don't know what it is,\but I'm getting strong whiffs of Naraku's foul smell.\It's never happened before.\That means! response:	The barrier around Naraku's castle is weakened.
context: I'll kill you!\Sit!\Koga, did you come to find Naraku's castle?\Yeah... I don't know what it is,\but I'm getting strong whiffs of Naraku's foul smell.\It's never happened before.\That means!\The barrier around Naraku's castle is weakened. response:	In any case, if I follow this smell, I'll find his castle.
context: Sit!\Koga, did you come to find Naraku's castle?\Yeah... I don't know what it is,\but I'm getting strong whiffs of Naraku's foul smell.\It's never happened before.\That means!\The barrier around Naraku's castle is weakened.\In any case, if I follow this smell, I'll find his castle. response:	Don't worry, Kagome. I'll kill that Naraku...
context: Koga, did you come to find Naraku's castle?\Yeah... I don't know what it is,\but I'm getting strong whiffs of Naraku's foul smell.\It's never happened before.\That means!\The barrier around Naraku's castle is weakened.\In any case, if I follow this smell, I'll find his castle.\Don't worry, Kagome. I'll kill that Naraku... response:	I'm not the one you want...
context: Yeah... I don't know what it is,\but I'm getting strong whiffs of Naraku's foul smell.\It's never happened before.\That means!\The barrier around Naraku's castle is weakened.\In any case, if I follow this smell, I'll find his castle.\Don't worry, Kagome. I'll kill that Naraku...\I'm not the one you want... response:	No, Inuyasha!
context: but I'm getting strong whiffs of Naraku's foul smell.\It's never happened before.\That means!\The barrier around Naraku's castle is weakened.\In any case, if I follow this smell, I'll find his castle.\Don't worry, Kagome. I'll kill that Naraku...\I'm not the one you want...\No, Inuyasha! response:	Don't stop me!
context: It's never happened before.\That means!\The barrier around Naraku's castle is weakened.\In any case, if I follow this smell, I'll find his castle.\Don't worry, Kagome. I'll kill that Naraku...\I'm not the one you want...\No, Inuyasha!\Don't stop me! response:	I'm gonna settle it today, once and for all!
context: That means!\The barrier around Naraku's castle is weakened.\In any case, if I follow this smell, I'll find his castle.\Don't worry, Kagome. I'll kill that Naraku...\I'm not the one you want...\No, Inuyasha!\Don't stop me!\I'm gonna settle it today, once and for all! response:	Stop it!
context: The barrier around Naraku's castle is weakened.\In any case, if I follow this smell, I'll find his castle.\Don't worry, Kagome. I'll kill that Naraku...\I'm not the one you want...\No, Inuyasha!\Don't stop me!\I'm gonna settle it today, once and for all!\Stop it! response:	Huh? What's up, mutt?
context: In any case, if I follow this smell, I'll find his castle.\Don't worry, Kagome. I'll kill that Naraku...\I'm not the one you want...\No, Inuyasha!\Don't stop me!\I'm gonna settle it today, once and for all!\Stop it!\Huh? What's up, mutt? response:	What's this? Somehow, you don't stink like you usually do.
context: Don't worry, Kagome. I'll kill that Naraku...\I'm not the one you want...\No, Inuyasha!\Don't stop me!\I'm gonna settle it today, once and for all!\Stop it!\Huh? What's up, mutt?\What's this? Somehow, you don't stink like you usually do. response:	Didja take a soak in the river?
context: I'm not the one you want...\No, Inuyasha!\Don't stop me!\I'm gonna settle it today, once and for all!\Stop it!\Huh? What's up, mutt?\What's this? Somehow, you don't stink like you usually do.\Didja take a soak in the river? response:	W-What?!
context: No, Inuyasha!\Don't stop me!\I'm gonna settle it today, once and for all!\Stop it!\Huh? What's up, mutt?\What's this? Somehow, you don't stink like you usually do.\Didja take a soak in the river?\W-What?! response:	Hey! Don't get close to my Kagome!
context: Don't stop me!\I'm gonna settle it today, once and for all!\Stop it!\Huh? What's up, mutt?\What's this? Somehow, you don't stink like you usually do.\Didja take a soak in the river?\W-What?!\Hey! Don't get close to my Kagome! response:	Get away!
context: I'm gonna settle it today, once and for all!\Stop it!\Huh? What's up, mutt?\What's this? Somehow, you don't stink like you usually do.\Didja take a soak in the river?\W-What?!\Hey! Don't get close to my Kagome!\Get away! response:	If you're jealous, try separating us!
context: Stop it!\Huh? What's up, mutt?\What's this? Somehow, you don't stink like you usually do.\Didja take a soak in the river?\W-What?!\Hey! Don't get close to my Kagome!\Get away!\If you're jealous, try separating us! response:	Hey! Hey!
context: Huh? What's up, mutt?\What's this? Somehow, you don't stink like you usually do.\Didja take a soak in the river?\W-What?!\Hey! Don't get close to my Kagome!\Get away!\If you're jealous, try separating us!\Hey! Hey! response:	Hey! Koga!
context: What's this? Somehow, you don't stink like you usually do.\Didja take a soak in the river?\W-What?!\Hey! Don't get close to my Kagome!\Get away!\If you're jealous, try separating us!\Hey! Hey!\Hey! Koga! response:	Caught up with you at last!
context: Didja take a soak in the river?\W-What?!\Hey! Don't get close to my Kagome!\Get away!\If you're jealous, try separating us!\Hey! Hey!\Hey! Koga!\Caught up with you at last! response:	Oh yeah, I have no time for this.
context: W-What?!\Hey! Don't get close to my Kagome!\Get away!\If you're jealous, try separating us!\Hey! Hey!\Hey! Koga!\Caught up with you at last!\Oh yeah, I have no time for this. response:	See ya, Kagome!
context: Hey! Don't get close to my Kagome!\Get away!\If you're jealous, try separating us!\Hey! Hey!\Hey! Koga!\Caught up with you at last!\Oh yeah, I have no time for this.\See ya, Kagome! response:	Hey! Running away?!
context: Get away!\If you're jealous, try separating us!\Hey! Hey!\Hey! Koga!\Caught up with you at last!\Oh yeah, I have no time for this.\See ya, Kagome!\Hey! Running away?! response:	Naraku's head is mine!
context: If you're jealous, try separating us!\Hey! Hey!\Hey! Koga!\Caught up with you at last!\Oh yeah, I have no time for this.\See ya, Kagome!\Hey! Running away?!\Naraku's head is mine! response:	Huh?! Hey, wait up, Koga!
context: Hey! Hey!\Hey! Koga!\Caught up with you at last!\Oh yeah, I have no time for this.\See ya, Kagome!\Hey! Running away?!\Naraku's head is mine!\Huh?! Hey, wait up, Koga! response:	Oh, hello, Kagome!
context: Hey! Koga!\Caught up with you at last!\Oh yeah, I have no time for this.\See ya, Kagome!\Hey! Running away?!\Naraku's head is mine!\Huh?! Hey, wait up, Koga!\Oh, hello, Kagome! response:	Hello!
context: Caught up with you at last!\Oh yeah, I have no time for this.\See ya, Kagome!\Hey! Running away?!\Naraku's head is mine!\Huh?! Hey, wait up, Koga!\Oh, hello, Kagome!\Hello! response:	We're in a rush, so good-bye!
context: Oh yeah, I have no time for this.\See ya, Kagome!\Hey! Running away?!\Naraku's head is mine!\Huh?! Hey, wait up, Koga!\Oh, hello, Kagome!\Hello!\We're in a rush, so good-bye! response:	Damn him!
context: See ya, Kagome!\Hey! Running away?!\Naraku's head is mine!\Huh?! Hey, wait up, Koga!\Oh, hello, Kagome!\Hello!\We're in a rush, so good-bye!\Damn him! response:	Shall we go after him?
context: Hey! Running away?!\Naraku's head is mine!\Huh?! Hey, wait up, Koga!\Oh, hello, Kagome!\Hello!\We're in a rush, so good-bye!\Damn him!\Shall we go after him? response:	No, better not to do anything tonight.
context: Naraku's head is mine!\Huh?! Hey, wait up, Koga!\Oh, hello, Kagome!\Hello!\We're in a rush, so good-bye!\Damn him!\Shall we go after him?\No, better not to do anything tonight. response:	What?! Are you crazy? He's gonna beat us to it!
context: Huh?! Hey, wait up, Koga!\Oh, hello, Kagome!\Hello!\We're in a rush, so good-bye!\Damn him!\Shall we go after him?\No, better not to do anything tonight.\What?! Are you crazy? He's gonna beat us to it! response:	Calm down, Inuyasha!
context: Oh, hello, Kagome!\Hello!\We're in a rush, so good-bye!\Damn him!\Shall we go after him?\No, better not to do anything tonight.\What?! Are you crazy? He's gonna beat us to it!\Calm down, Inuyasha! response:	Besides Koga,
context: Hello!\We're in a rush, so good-bye!\Damn him!\Shall we go after him?\No, better not to do anything tonight.\What?! Are you crazy? He's gonna beat us to it!\Calm down, Inuyasha!\Besides Koga, response:	do you want Naraku to see you in your human form?
context: We're in a rush, so good-bye!\Damn him!\Shall we go after him?\No, better not to do anything tonight.\What?! Are you crazy? He's gonna beat us to it!\Calm down, Inuyasha!\Besides Koga,\do you want Naraku to see you in your human form? response:	If he learns about the day that a half-demon loses his powers,
context: Damn him!\Shall we go after him?\No, better not to do anything tonight.\What?! Are you crazy? He's gonna beat us to it!\Calm down, Inuyasha!\Besides Koga,\do you want Naraku to see you in your human form?\If he learns about the day that a half-demon loses his powers, response:	your life will be in danger!
context: Shall we go after him?\No, better not to do anything tonight.\What?! Are you crazy? He's gonna beat us to it!\Calm down, Inuyasha!\Besides Koga,\do you want Naraku to see you in your human form?\If he learns about the day that a half-demon loses his powers,\your life will be in danger! response:	And if Naraku is the enemy, you have to be even more careful!
context: No, better not to do anything tonight.\What?! Are you crazy? He's gonna beat us to it!\Calm down, Inuyasha!\Besides Koga,\do you want Naraku to see you in your human form?\If he learns about the day that a half-demon loses his powers,\your life will be in danger!\And if Naraku is the enemy, you have to be even more careful! response:	Damn! What a time... when Naraku's smell is all over the place!
context: What?! Are you crazy? He's gonna beat us to it!\Calm down, Inuyasha!\Besides Koga,\do you want Naraku to see you in your human form?\If he learns about the day that a half-demon loses his powers,\your life will be in danger!\And if Naraku is the enemy, you have to be even more careful!\Damn! What a time... when Naraku's smell is all over the place! response:	Damn, this castle is stifling!
context: Calm down, Inuyasha!\Besides Koga,\do you want Naraku to see you in your human form?\If he learns about the day that a half-demon loses his powers,\your life will be in danger!\And if Naraku is the enemy, you have to be even more careful!\Damn! What a time... when Naraku's smell is all over the place!\Damn, this castle is stifling! response:	All the vassals who were brought here to this castle...
context: Besides Koga,\do you want Naraku to see you in your human form?\If he learns about the day that a half-demon loses his powers,\your life will be in danger!\And if Naraku is the enemy, you have to be even more careful!\Damn! What a time... when Naraku's smell is all over the place!\Damn, this castle is stifling!\All the vassals who were brought here to this castle... response:	have been exposed to Naraku's toxic barrier and died.
context: do you want Naraku to see you in your human form?\If he learns about the day that a half-demon loses his powers,\your life will be in danger!\And if Naraku is the enemy, you have to be even more careful!\Damn! What a time... when Naraku's smell is all over the place!\Damn, this castle is stifling!\All the vassals who were brought here to this castle...\have been exposed to Naraku's toxic barrier and died. response:	What is it, Kanna? Sneaking up from behind like that!
context: If he learns about the day that a half-demon loses his powers,\your life will be in danger!\And if Naraku is the enemy, you have to be even more careful!\Damn! What a time... when Naraku's smell is all over the place!\Damn, this castle is stifling!\All the vassals who were brought here to this castle...\have been exposed to Naraku's toxic barrier and died.\What is it, Kanna? Sneaking up from behind like that! response:	This fellow... He's Koga, the leader of the Wolf-Demon Tribe.
context: your life will be in danger!\And if Naraku is the enemy, you have to be even more careful!\Damn! What a time... when Naraku's smell is all over the place!\Damn, this castle is stifling!\All the vassals who were brought here to this castle...\have been exposed to Naraku's toxic barrier and died.\What is it, Kanna? Sneaking up from behind like that!\This fellow... He's Koga, the leader of the Wolf-Demon Tribe. response:	Is he near this castle?
context: And if Naraku is the enemy, you have to be even more careful!\Damn! What a time... when Naraku's smell is all over the place!\Damn, this castle is stifling!\All the vassals who were brought here to this castle...\have been exposed to Naraku's toxic barrier and died.\What is it, Kanna? Sneaking up from behind like that!\This fellow... He's Koga, the leader of the Wolf-Demon Tribe.\Is he near this castle? response:	Is it a coincidence or...
context: Damn! What a time... when Naraku's smell is all over the place!\Damn, this castle is stifling!\All the vassals who were brought here to this castle...\have been exposed to Naraku's toxic barrier and died.\What is it, Kanna? Sneaking up from behind like that!\This fellow... He's Koga, the leader of the Wolf-Demon Tribe.\Is he near this castle?\Is it a coincidence or... response:	Kanna, does Naraku know about this?
context: Damn, this castle is stifling!\All the vassals who were brought here to this castle...\have been exposed to Naraku's toxic barrier and died.\What is it, Kanna? Sneaking up from behind like that!\This fellow... He's Koga, the leader of the Wolf-Demon Tribe.\Is he near this castle?\Is it a coincidence or...\Kanna, does Naraku know about this? response:	No... He's not here.
context: All the vassals who were brought here to this castle...\have been exposed to Naraku's toxic barrier and died.\What is it, Kanna? Sneaking up from behind like that!\This fellow... He's Koga, the leader of the Wolf-Demon Tribe.\Is he near this castle?\Is it a coincidence or...\Kanna, does Naraku know about this?\No... He's not here. response:	That's right. Naraku disappears once in a while.
context: have been exposed to Naraku's toxic barrier and died.\What is it, Kanna? Sneaking up from behind like that!\This fellow... He's Koga, the leader of the Wolf-Demon Tribe.\Is he near this castle?\Is it a coincidence or...\Kanna, does Naraku know about this?\No... He's not here.\That's right. Naraku disappears once in a while. response:	Kagura...
context: What is it, Kanna? Sneaking up from behind like that!\This fellow... He's Koga, the leader of the Wolf-Demon Tribe.\Is he near this castle?\Is it a coincidence or...\Kanna, does Naraku know about this?\No... He's not here.\That's right. Naraku disappears once in a while.\Kagura... response:	I'll go and kill him.
context: This fellow... He's Koga, the leader of the Wolf-Demon Tribe.\Is he near this castle?\Is it a coincidence or...\Kanna, does Naraku know about this?\No... He's not here.\That's right. Naraku disappears once in a while.\Kagura...\I'll go and kill him. response:	No need to wait for Naraku's orders.
context: Is he near this castle?\Is it a coincidence or...\Kanna, does Naraku know about this?\No... He's not here.\That's right. Naraku disappears once in a while.\Kagura...\I'll go and kill him.\No need to wait for Naraku's orders. response:	You'd better stop, Kagura.
context: Is it a coincidence or...\Kanna, does Naraku know about this?\No... He's not here.\That's right. Naraku disappears once in a while.\Kagura...\I'll go and kill him.\No need to wait for Naraku's orders.\You'd better stop, Kagura. response:	I hate Naraku's way of stooping to trickery.
context: Kanna, does Naraku know about this?\No... He's not here.\That's right. Naraku disappears once in a while.\Kagura...\I'll go and kill him.\No need to wait for Naraku's orders.\You'd better stop, Kagura.\I hate Naraku's way of stooping to trickery. response:	I'll kill anyone who has Sacred Jewel shards.
context: No... He's not here.\That's right. Naraku disappears once in a while.\Kagura...\I'll go and kill him.\No need to wait for Naraku's orders.\You'd better stop, Kagura.\I hate Naraku's way of stooping to trickery.\I'll kill anyone who has Sacred Jewel shards. response:	Who needs a plan of action?
context: That's right. Naraku disappears once in a while.\Kagura...\I'll go and kill him.\No need to wait for Naraku's orders.\You'd better stop, Kagura.\I hate Naraku's way of stooping to trickery.\I'll kill anyone who has Sacred Jewel shards.\Who needs a plan of action? response:	It's all in Naraku's hand... life and death.
context: Kagura...\I'll go and kill him.\No need to wait for Naraku's orders.\You'd better stop, Kagura.\I hate Naraku's way of stooping to trickery.\I'll kill anyone who has Sacred Jewel shards.\Who needs a plan of action?\It's all in Naraku's hand... life and death. response:	We are all Naraku's tools.
context: I'll go and kill him.\No need to wait for Naraku's orders.\You'd better stop, Kagura.\I hate Naraku's way of stooping to trickery.\I'll kill anyone who has Sacred Jewel shards.\Who needs a plan of action?\It's all in Naraku's hand... life and death.\We are all Naraku's tools. response:	Who cares?
