context: Oh, my! response:	Sasamiya's Waldenholt landed a direct hit on RM-C!
context: The Tyrant's Puppet Strings\I see...\No wonder Lady Camilla had her eye on you...\Saya Sasamiya.\Your attacks are based on airtight projections.\But that makes them all the more easy to counter.\I can feel this humiliation\because my master gave me a personality and a soul. response:	I have etched those words in my mind.
context: I see...\No wonder Lady Camilla had her eye on you...\Saya Sasamiya.\Your attacks are based on airtight projections.\But that makes them all the more easy to counter.\I can feel this humiliation\because my master gave me a personality and a soul.\I have etched those words in my mind. response:	I shall take you on at full strength, as well.
context: No wonder Lady Camilla had her eye on you...\Saya Sasamiya.\Your attacks are based on airtight projections.\But that makes them all the more easy to counter.\I can feel this humiliation\because my master gave me a personality and a soul.\I have etched those words in my mind.\I shall take you on at full strength, as well. response:	Now, then, let's go.
context: Saya Sasamiya.\Your attacks are based on airtight projections.\But that makes them all the more easy to counter.\I can feel this humiliation\because my master gave me a personality and a soul.\I have etched those words in my mind.\I shall take you on at full strength, as well.\Now, then, let's go. response:	This is trouble.
context: Your attacks are based on airtight projections.\But that makes them all the more easy to counter.\I can feel this humiliation\because my master gave me a personality and a soul.\I have etched those words in my mind.\I shall take you on at full strength, as well.\Now, then, let's go.\This is trouble. response:	Burst.
context: But that makes them all the more easy to counter.\I can feel this humiliation\because my master gave me a personality and a soul.\I have etched those words in my mind.\I shall take you on at full strength, as well.\Now, then, let's go.\This is trouble.\Burst. response:	Here.
context: I can feel this humiliation\because my master gave me a personality and a soul.\I have etched those words in my mind.\I shall take you on at full strength, as well.\Now, then, let's go.\This is trouble.\Burst.\Here. response:	Aha! Are we seeing RM-C's secret weapon?
context: because my master gave me a personality and a soul.\I have etched those words in my mind.\I shall take you on at full strength, as well.\Now, then, let's go.\This is trouble.\Burst.\Here.\Aha! Are we seeing RM-C's secret weapon? response:	Even that shallow good-for-nothing
context: I have etched those words in my mind.\I shall take you on at full strength, as well.\Now, then, let's go.\This is trouble.\Burst.\Here.\Aha! Are we seeing RM-C's secret weapon?\Even that shallow good-for-nothing response:	has been given an absolute shield, a protective barrier.
context: I shall take you on at full strength, as well.\Now, then, let's go.\This is trouble.\Burst.\Here.\Aha! Are we seeing RM-C's secret weapon?\Even that shallow good-for-nothing\has been given an absolute shield, a protective barrier. response:	So it's no wonder that my master would endow me with much the same, right?
context: Now, then, let's go.\This is trouble.\Burst.\Here.\Aha! Are we seeing RM-C's secret weapon?\Even that shallow good-for-nothing\has been given an absolute shield, a protective barrier.\So it's no wonder that my master would endow me with much the same, right? response:	This Ruin-Sharif is, so to speak, the absolute spear, I suppose?
context: This is trouble.\Burst.\Here.\Aha! Are we seeing RM-C's secret weapon?\Even that shallow good-for-nothing\has been given an absolute shield, a protective barrier.\So it's no wonder that my master would endow me with much the same, right?\This Ruin-Sharif is, so to speak, the absolute spear, I suppose? response:	Okay, then, let's compare!
context: Burst.\Here.\Aha! Are we seeing RM-C's secret weapon?\Even that shallow good-for-nothing\has been given an absolute shield, a protective barrier.\So it's no wonder that my master would endow me with much the same, right?\This Ruin-Sharif is, so to speak, the absolute spear, I suppose?\Okay, then, let's compare! response:	Ruin-Sharif...
context: Here.\Aha! Are we seeing RM-C's secret weapon?\Even that shallow good-for-nothing\has been given an absolute shield, a protective barrier.\So it's no wonder that my master would endow me with much the same, right?\This Ruin-Sharif is, so to speak, the absolute spear, I suppose?\Okay, then, let's compare!\Ruin-Sharif... response:	41-type Lux, Twin Particle Cannons, Waldenholt!
context: Aha! Are we seeing RM-C's secret weapon?\Even that shallow good-for-nothing\has been given an absolute shield, a protective barrier.\So it's no wonder that my master would endow me with much the same, right?\This Ruin-Sharif is, so to speak, the absolute spear, I suppose?\Okay, then, let's compare!\Ruin-Sharif...\41-type Lux, Twin Particle Cannons, Waldenholt! response:	- Fire! - Kaboom!
context: Even that shallow good-for-nothing\has been given an absolute shield, a protective barrier.\So it's no wonder that my master would endow me with much the same, right?\This Ruin-Sharif is, so to speak, the absolute spear, I suppose?\Okay, then, let's compare!\Ruin-Sharif...\41-type Lux, Twin Particle Cannons, Waldenholt!\- Fire! - Kaboom! response:	Did they annihilate each other?
context: has been given an absolute shield, a protective barrier.\So it's no wonder that my master would endow me with much the same, right?\This Ruin-Sharif is, so to speak, the absolute spear, I suppose?\Okay, then, let's compare!\Ruin-Sharif...\41-type Lux, Twin Particle Cannons, Waldenholt!\- Fire! - Kaboom!\Did they annihilate each other? response:	Not bad.
context: So it's no wonder that my master would endow me with much the same, right?\This Ruin-Sharif is, so to speak, the absolute spear, I suppose?\Okay, then, let's compare!\Ruin-Sharif...\41-type Lux, Twin Particle Cannons, Waldenholt!\- Fire! - Kaboom!\Did they annihilate each other?\Not bad. response:	You took the words right out of my mouth.
context: This Ruin-Sharif is, so to speak, the absolute spear, I suppose?\Okay, then, let's compare!\Ruin-Sharif...\41-type Lux, Twin Particle Cannons, Waldenholt!\- Fire! - Kaboom!\Did they annihilate each other?\Not bad.\You took the words right out of my mouth. response:	Your swordsmanship gifts are certainly terrifying, Kirin Toudou!
context: Okay, then, let's compare!\Ruin-Sharif...\41-type Lux, Twin Particle Cannons, Waldenholt!\- Fire! - Kaboom!\Did they annihilate each other?\Not bad.\You took the words right out of my mouth.\Your swordsmanship gifts are certainly terrifying, Kirin Toudou! response:	AR-D is totally on the defensive!
context: Ruin-Sharif...\41-type Lux, Twin Particle Cannons, Waldenholt!\- Fire! - Kaboom!\Did they annihilate each other?\Not bad.\You took the words right out of my mouth.\Your swordsmanship gifts are certainly terrifying, Kirin Toudou!\AR-D is totally on the defensive! response:	Of course, the Toudou Style Conjoined Cranes!
context: 41-type Lux, Twin Particle Cannons, Waldenholt!\- Fire! - Kaboom!\Did they annihilate each other?\Not bad.\You took the words right out of my mouth.\Your swordsmanship gifts are certainly terrifying, Kirin Toudou!\AR-D is totally on the defensive!\Of course, the Toudou Style Conjoined Cranes! response:	There really are no chinks in that armor!
context: - Fire! - Kaboom!\Did they annihilate each other?\Not bad.\You took the words right out of my mouth.\Your swordsmanship gifts are certainly terrifying, Kirin Toudou!\AR-D is totally on the defensive!\Of course, the Toudou Style Conjoined Cranes!\There really are no chinks in that armor! response:	Surely you're aware of this, too?
context: Did they annihilate each other?\Not bad.\You took the words right out of my mouth.\Your swordsmanship gifts are certainly terrifying, Kirin Toudou!\AR-D is totally on the defensive!\Of course, the Toudou Style Conjoined Cranes!\There really are no chinks in that armor!\Surely you're aware of this, too? response:	The more I withstand the blows from your sword, the more I learn and evolve!
context: Not bad.\You took the words right out of my mouth.\Your swordsmanship gifts are certainly terrifying, Kirin Toudou!\AR-D is totally on the defensive!\Of course, the Toudou Style Conjoined Cranes!\There really are no chinks in that armor!\Surely you're aware of this, too?\The more I withstand the blows from your sword, the more I learn and evolve! response:	You're the greatest fighter!
context: You took the words right out of my mouth.\Your swordsmanship gifts are certainly terrifying, Kirin Toudou!\AR-D is totally on the defensive!\Of course, the Toudou Style Conjoined Cranes!\There really are no chinks in that armor!\Surely you're aware of this, too?\The more I withstand the blows from your sword, the more I learn and evolve!\You're the greatest fighter! response:	So it won't work on you if you've seen the pattern before?
context: Your swordsmanship gifts are certainly terrifying, Kirin Toudou!\AR-D is totally on the defensive!\Of course, the Toudou Style Conjoined Cranes!\There really are no chinks in that armor!\Surely you're aware of this, too?\The more I withstand the blows from your sword, the more I learn and evolve!\You're the greatest fighter!\So it won't work on you if you've seen the pattern before? response:	But a battle as one-sided as this one can be rather boring!
context: AR-D is totally on the defensive!\Of course, the Toudou Style Conjoined Cranes!\There really are no chinks in that armor!\Surely you're aware of this, too?\The more I withstand the blows from your sword, the more I learn and evolve!\You're the greatest fighter!\So it won't work on you if you've seen the pattern before?\But a battle as one-sided as this one can be rather boring! response:	Thank you!
context: Of course, the Toudou Style Conjoined Cranes!\There really are no chinks in that armor!\Surely you're aware of this, too?\The more I withstand the blows from your sword, the more I learn and evolve!\You're the greatest fighter!\So it won't work on you if you've seen the pattern before?\But a battle as one-sided as this one can be rather boring!\Thank you! response:	Go for it!
context: There really are no chinks in that armor!\Surely you're aware of this, too?\The more I withstand the blows from your sword, the more I learn and evolve!\You're the greatest fighter!\So it won't work on you if you've seen the pattern before?\But a battle as one-sided as this one can be rather boring!\Thank you!\Go for it! response:	Bring it on!
context: Surely you're aware of this, too?\The more I withstand the blows from your sword, the more I learn and evolve!\You're the greatest fighter!\So it won't work on you if you've seen the pattern before?\But a battle as one-sided as this one can be rather boring!\Thank you!\Go for it!\Bring it on! response:	You're pretty reckless, aren't you?
context: The more I withstand the blows from your sword, the more I learn and evolve!\You're the greatest fighter!\So it won't work on you if you've seen the pattern before?\But a battle as one-sided as this one can be rather boring!\Thank you!\Go for it!\Bring it on!\You're pretty reckless, aren't you? response:	Unfortunately, my body is a machine!
context: You're the greatest fighter!\So it won't work on you if you've seen the pattern before?\But a battle as one-sided as this one can be rather boring!\Thank you!\Go for it!\Bring it on!\You're pretty reckless, aren't you?\Unfortunately, my body is a machine! response:	You seem to have forgotten that!
context: So it won't work on you if you've seen the pattern before?\But a battle as one-sided as this one can be rather boring!\Thank you!\Go for it!\Bring it on!\You're pretty reckless, aren't you?\Unfortunately, my body is a machine!\You seem to have forgotten that! response:	I see I'm still in need of a lot more training.
context: But a battle as one-sided as this one can be rather boring!\Thank you!\Go for it!\Bring it on!\You're pretty reckless, aren't you?\Unfortunately, my body is a machine!\You seem to have forgotten that!\I see I'm still in need of a lot more training. response:	Now, I should thank you for the useful data you've given me.
context: Thank you!\Go for it!\Bring it on!\You're pretty reckless, aren't you?\Unfortunately, my body is a machine!\You seem to have forgotten that!\I see I'm still in need of a lot more training.\Now, I should thank you for the useful data you've given me. response:	All right, RM-C!
context: Go for it!\Bring it on!\You're pretty reckless, aren't you?\Unfortunately, my body is a machine!\You seem to have forgotten that!\I see I'm still in need of a lot more training.\Now, I should thank you for the useful data you've given me.\All right, RM-C! response:	Now's the time to unveil it!
context: Bring it on!\You're pretty reckless, aren't you?\Unfortunately, my body is a machine!\You seem to have forgotten that!\I see I'm still in need of a lot more training.\Now, I should thank you for the useful data you've given me.\All right, RM-C!\Now's the time to unveil it! response:	Not happening. You feeble-brained moron!
context: You're pretty reckless, aren't you?\Unfortunately, my body is a machine!\You seem to have forgotten that!\I see I'm still in need of a lot more training.\Now, I should thank you for the useful data you've given me.\All right, RM-C!\Now's the time to unveil it!\Not happening. You feeble-brained moron! response:	Why should we have to resort to that now?
context: Unfortunately, my body is a machine!\You seem to have forgotten that!\I see I'm still in need of a lot more training.\Now, I should thank you for the useful data you've given me.\All right, RM-C!\Now's the time to unveil it!\Not happening. You feeble-brained moron!\Why should we have to resort to that now? response:	At any rate, that is my decision to make, not yours.
context: You seem to have forgotten that!\I see I'm still in need of a lot more training.\Now, I should thank you for the useful data you've given me.\All right, RM-C!\Now's the time to unveil it!\Not happening. You feeble-brained moron!\Why should we have to resort to that now?\At any rate, that is my decision to make, not yours. response:	You have no such authority.
context: I see I'm still in need of a lot more training.\Now, I should thank you for the useful data you've given me.\All right, RM-C!\Now's the time to unveil it!\Not happening. You feeble-brained moron!\Why should we have to resort to that now?\At any rate, that is my decision to make, not yours.\You have no such authority. response:	Now what did AR-D mean by it, I wonder?
context: Now, I should thank you for the useful data you've given me.\All right, RM-C!\Now's the time to unveil it!\Not happening. You feeble-brained moron!\Why should we have to resort to that now?\At any rate, that is my decision to make, not yours.\You have no such authority.\Now what did AR-D mean by it, I wonder? response:	Meanwhile, about Sasamiya...
context: All right, RM-C!\Now's the time to unveil it!\Not happening. You feeble-brained moron!\Why should we have to resort to that now?\At any rate, that is my decision to make, not yours.\You have no such authority.\Now what did AR-D mean by it, I wonder?\Meanwhile, about Sasamiya... response:	She's hardly launched any attacks in the last few minutes, has she?
context: Now's the time to unveil it!\Not happening. You feeble-brained moron!\Why should we have to resort to that now?\At any rate, that is my decision to make, not yours.\You have no such authority.\Now what did AR-D mean by it, I wonder?\Meanwhile, about Sasamiya...\She's hardly launched any attacks in the last few minutes, has she? response:	Looks like it's taking time to cool off that barrel.
context: Not happening. You feeble-brained moron!\Why should we have to resort to that now?\At any rate, that is my decision to make, not yours.\You have no such authority.\Now what did AR-D mean by it, I wonder?\Meanwhile, about Sasamiya...\She's hardly launched any attacks in the last few minutes, has she?\Looks like it's taking time to cool off that barrel. response:	The Ruin-Sharif's rapid-fire mode is about three times as fast as the Waldenholt's.
context: Why should we have to resort to that now?\At any rate, that is my decision to make, not yours.\You have no such authority.\Now what did AR-D mean by it, I wonder?\Meanwhile, about Sasamiya...\She's hardly launched any attacks in the last few minutes, has she?\Looks like it's taking time to cool off that barrel.\The Ruin-Sharif's rapid-fire mode is about three times as fast as the Waldenholt's. response:	But my destructive power is greater.
context: At any rate, that is my decision to make, not yours.\You have no such authority.\Now what did AR-D mean by it, I wonder?\Meanwhile, about Sasamiya...\She's hardly launched any attacks in the last few minutes, has she?\Looks like it's taking time to cool off that barrel.\The Ruin-Sharif's rapid-fire mode is about three times as fast as the Waldenholt's.\But my destructive power is greater. response:	The Luxes my father built aren't in any way inferior to those of Camilla Pareto's.
context: You have no such authority.\Now what did AR-D mean by it, I wonder?\Meanwhile, about Sasamiya...\She's hardly launched any attacks in the last few minutes, has she?\Looks like it's taking time to cool off that barrel.\The Ruin-Sharif's rapid-fire mode is about three times as fast as the Waldenholt's.\But my destructive power is greater.\The Luxes my father built aren't in any way inferior to those of Camilla Pareto's. response:	And I'm going to prove it right now!
context: Now what did AR-D mean by it, I wonder?\Meanwhile, about Sasamiya...\She's hardly launched any attacks in the last few minutes, has she?\Looks like it's taking time to cool off that barrel.\The Ruin-Sharif's rapid-fire mode is about three times as fast as the Waldenholt's.\But my destructive power is greater.\The Luxes my father built aren't in any way inferior to those of Camilla Pareto's.\And I'm going to prove it right now! response:	Is that a secret technique?
context: Meanwhile, about Sasamiya...\She's hardly launched any attacks in the last few minutes, has she?\Looks like it's taking time to cool off that barrel.\The Ruin-Sharif's rapid-fire mode is about three times as fast as the Waldenholt's.\But my destructive power is greater.\The Luxes my father built aren't in any way inferior to those of Camilla Pareto's.\And I'm going to prove it right now!\Is that a secret technique? response:	I have to say, I find it quite ridiculous.
context: She's hardly launched any attacks in the last few minutes, has she?\Looks like it's taking time to cool off that barrel.\The Ruin-Sharif's rapid-fire mode is about three times as fast as the Waldenholt's.\But my destructive power is greater.\The Luxes my father built aren't in any way inferior to those of Camilla Pareto's.\And I'm going to prove it right now!\Is that a secret technique?\I have to say, I find it quite ridiculous. response:	But fine. Let's test each other's mettle again.
context: Looks like it's taking time to cool off that barrel.\The Ruin-Sharif's rapid-fire mode is about three times as fast as the Waldenholt's.\But my destructive power is greater.\The Luxes my father built aren't in any way inferior to those of Camilla Pareto's.\And I'm going to prove it right now!\Is that a secret technique?\I have to say, I find it quite ridiculous.\But fine. Let's test each other's mettle again. response:	Ruin-Sharif... maximum.
context: The Ruin-Sharif's rapid-fire mode is about three times as fast as the Waldenholt's.\But my destructive power is greater.\The Luxes my father built aren't in any way inferior to those of Camilla Pareto's.\And I'm going to prove it right now!\Is that a secret technique?\I have to say, I find it quite ridiculous.\But fine. Let's test each other's mettle again.\Ruin-Sharif... maximum. response:	Full burst.
context: But my destructive power is greater.\The Luxes my father built aren't in any way inferior to those of Camilla Pareto's.\And I'm going to prove it right now!\Is that a secret technique?\I have to say, I find it quite ridiculous.\But fine. Let's test each other's mettle again.\Ruin-Sharif... maximum.\Full burst. response:	- Fire! - Kaboom!
context: The Luxes my father built aren't in any way inferior to those of Camilla Pareto's.\And I'm going to prove it right now!\Is that a secret technique?\I have to say, I find it quite ridiculous.\But fine. Let's test each other's mettle again.\Ruin-Sharif... maximum.\Full burst.\- Fire! - Kaboom! response:	A bit too close for comfort, eh, RM-C?
context: And I'm going to prove it right now!\Is that a secret technique?\I have to say, I find it quite ridiculous.\But fine. Let's test each other's mettle again.\Ruin-Sharif... maximum.\Full burst.\- Fire! - Kaboom!\A bit too close for comfort, eh, RM-C? response:	So you can throw up that protective barrier
context: Is that a secret technique?\I have to say, I find it quite ridiculous.\But fine. Let's test each other's mettle again.\Ruin-Sharif... maximum.\Full burst.\- Fire! - Kaboom!\A bit too close for comfort, eh, RM-C?\So you can throw up that protective barrier response:	in other areas besides your own surroundings?
context: I have to say, I find it quite ridiculous.\But fine. Let's test each other's mettle again.\Ruin-Sharif... maximum.\Full burst.\- Fire! - Kaboom!\A bit too close for comfort, eh, RM-C?\So you can throw up that protective barrier\in other areas besides your own surroundings? response:	I-I'm so sorry, Saya!
context: But fine. Let's test each other's mettle again.\Ruin-Sharif... maximum.\Full burst.\- Fire! - Kaboom!\A bit too close for comfort, eh, RM-C?\So you can throw up that protective barrier\in other areas besides your own surroundings?\I-I'm so sorry, Saya! response:	I couldn't hold him back!
context: Ruin-Sharif... maximum.\Full burst.\- Fire! - Kaboom!\A bit too close for comfort, eh, RM-C?\So you can throw up that protective barrier\in other areas besides your own surroundings?\I-I'm so sorry, Saya!\I couldn't hold him back! response:	No, no. You did great, Kirin.
context: Full burst.\- Fire! - Kaboom!\A bit too close for comfort, eh, RM-C?\So you can throw up that protective barrier\in other areas besides your own surroundings?\I-I'm so sorry, Saya!\I couldn't hold him back!\No, no. You did great, Kirin. response:	Never mind...
context: - Fire! - Kaboom!\A bit too close for comfort, eh, RM-C?\So you can throw up that protective barrier\in other areas besides your own surroundings?\I-I'm so sorry, Saya!\I couldn't hold him back!\No, no. You did great, Kirin.\Never mind... response:	Now we have the upper hand.
context: A bit too close for comfort, eh, RM-C?\So you can throw up that protective barrier\in other areas besides your own surroundings?\I-I'm so sorry, Saya!\I couldn't hold him back!\No, no. You did great, Kirin.\Never mind...\Now we have the upper hand. response:	Are you sure about that?
context: So you can throw up that protective barrier\in other areas besides your own surroundings?\I-I'm so sorry, Saya!\I couldn't hold him back!\No, no. You did great, Kirin.\Never mind...\Now we have the upper hand.\Are you sure about that? response:	AR-D...
context: in other areas besides your own surroundings?\I-I'm so sorry, Saya!\I couldn't hold him back!\No, no. You did great, Kirin.\Never mind...\Now we have the upper hand.\Are you sure about that?\AR-D... response:	This is not what I want, but I'm going to do just as you wish.
context: I-I'm so sorry, Saya!\I couldn't hold him back!\No, no. You did great, Kirin.\Never mind...\Now we have the upper hand.\Are you sure about that?\AR-D...\This is not what I want, but I'm going to do just as you wish. response:	Now you're talking!
context: I couldn't hold him back!\No, no. You did great, Kirin.\Never mind...\Now we have the upper hand.\Are you sure about that?\AR-D...\This is not what I want, but I'm going to do just as you wish.\Now you're talking! response:	ACM Unit, First External Armor, purging all Luxes...
context: No, no. You did great, Kirin.\Never mind...\Now we have the upper hand.\Are you sure about that?\AR-D...\This is not what I want, but I'm going to do just as you wish.\Now you're talking!\ACM Unit, First External Armor, purging all Luxes... response:	Ceding Limit Control.
context: Never mind...\Now we have the upper hand.\Are you sure about that?\AR-D...\This is not what I want, but I'm going to do just as you wish.\Now you're talking!\ACM Unit, First External Armor, purging all Luxes...\Ceding Limit Control. response:	There they are, there they are, there they are! Oh, yes, they're here!
context: Now we have the upper hand.\Are you sure about that?\AR-D...\This is not what I want, but I'm going to do just as you wish.\Now you're talking!\ACM Unit, First External Armor, purging all Luxes...\Ceding Limit Control.\There they are, there they are, there they are! Oh, yes, they're here! response:	Start linking!
context: Are you sure about that?\AR-D...\This is not what I want, but I'm going to do just as you wish.\Now you're talking!\ACM Unit, First External Armor, purging all Luxes...\Ceding Limit Control.\There they are, there they are, there they are! Oh, yes, they're here!\Start linking! response:	Now I'm complete!
context: AR-D...\This is not what I want, but I'm going to do just as you wish.\Now you're talking!\ACM Unit, First External Armor, purging all Luxes...\Ceding Limit Control.\There they are, there they are, there they are! Oh, yes, they're here!\Start linking!\Now I'm complete! response:	Th-They combined?
context: This is not what I want, but I'm going to do just as you wish.\Now you're talking!\ACM Unit, First External Armor, purging all Luxes...\Ceding Limit Control.\There they are, there they are, there they are! Oh, yes, they're here!\Start linking!\Now I'm complete!\Th-They combined? response:	This is who I truly am!
context: Now you're talking!\ACM Unit, First External Armor, purging all Luxes...\Ceding Limit Control.\There they are, there they are, there they are! Oh, yes, they're here!\Start linking!\Now I'm complete!\Th-They combined?\This is who I truly am! response:	Oh, my!
context: ACM Unit, First External Armor, purging all Luxes...\Ceding Limit Control.\There they are, there they are, there they are! Oh, yes, they're here!\Start linking!\Now I'm complete!\Th-They combined?\This is who I truly am!\Oh, my! response:	I never thought they'd have to resort to that.
context: Ceding Limit Control.\There they are, there they are, there they are! Oh, yes, they're here!\Start linking!\Now I'm complete!\Th-They combined?\This is who I truly am!\Oh, my!\I never thought they'd have to resort to that. response:	Talk about throwing me for a loop!
context: There they are, there they are, there they are! Oh, yes, they're here!\Start linking!\Now I'm complete!\Th-They combined?\This is who I truly am!\Oh, my!\I never thought they'd have to resort to that.\Talk about throwing me for a loop! response:	For a loop, you seem to be enjoying it.
context: Start linking!\Now I'm complete!\Th-They combined?\This is who I truly am!\Oh, my!\I never thought they'd have to resort to that.\Talk about throwing me for a loop!\For a loop, you seem to be enjoying it. response:	Well, they have been growing up at such breakneck speed!
context: Now I'm complete!\Th-They combined?\This is who I truly am!\Oh, my!\I never thought they'd have to resort to that.\Talk about throwing me for a loop!\For a loop, you seem to be enjoying it.\Well, they have been growing up at such breakneck speed! response:	This is beyond incredible!
context: Th-They combined?\This is who I truly am!\Oh, my!\I never thought they'd have to resort to that.\Talk about throwing me for a loop!\For a loop, you seem to be enjoying it.\Well, they have been growing up at such breakneck speed!\This is beyond incredible! response:	What do you say to that?
context: This is who I truly am!\Oh, my!\I never thought they'd have to resort to that.\Talk about throwing me for a loop!\For a loop, you seem to be enjoying it.\Well, they have been growing up at such breakneck speed!\This is beyond incredible!\What do you say to that? response:	Seeing me look even more imposing and commanding!
context: Oh, my!\I never thought they'd have to resort to that.\Talk about throwing me for a loop!\For a loop, you seem to be enjoying it.\Well, they have been growing up at such breakneck speed!\This is beyond incredible!\What do you say to that?\Seeing me look even more imposing and commanding! response:	You look way cool.
context: I never thought they'd have to resort to that.\Talk about throwing me for a loop!\For a loop, you seem to be enjoying it.\Well, they have been growing up at such breakneck speed!\This is beyond incredible!\What do you say to that?\Seeing me look even more imposing and commanding!\You look way cool. response:	Now then,
context: Talk about throwing me for a loop!\For a loop, you seem to be enjoying it.\Well, they have been growing up at such breakneck speed!\This is beyond incredible!\What do you say to that?\Seeing me look even more imposing and commanding!\You look way cool.\Now then, response:	if you're not going to attack me, I'll be happy to get this started!
context: For a loop, you seem to be enjoying it.\Well, they have been growing up at such breakneck speed!\This is beyond incredible!\What do you say to that?\Seeing me look even more imposing and commanding!\You look way cool.\Now then,\if you're not going to attack me, I'll be happy to get this started! response:	Saya!
context: Well, they have been growing up at such breakneck speed!\This is beyond incredible!\What do you say to that?\Seeing me look even more imposing and commanding!\You look way cool.\Now then,\if you're not going to attack me, I'll be happy to get this started!\Saya! response:	My bad, Kirin. I owe you one.
context: This is beyond incredible!\What do you say to that?\Seeing me look even more imposing and commanding!\You look way cool.\Now then,\if you're not going to attack me, I'll be happy to get this started!\Saya!\My bad, Kirin. I owe you one. response:	Oh, no. Anyway, that move he just made...
context: What do you say to that?\Seeing me look even more imposing and commanding!\You look way cool.\Now then,\if you're not going to attack me, I'll be happy to get this started!\Saya!\My bad, Kirin. I owe you one.\Oh, no. Anyway, that move he just made... response:	He's not what he was before!
context: Seeing me look even more imposing and commanding!\You look way cool.\Now then,\if you're not going to attack me, I'll be happy to get this started!\Saya!\My bad, Kirin. I owe you one.\Oh, no. Anyway, that move he just made...\He's not what he was before! response:	The swordsmanship is the same, but...
context: You look way cool.\Now then,\if you're not going to attack me, I'll be happy to get this started!\Saya!\My bad, Kirin. I owe you one.\Oh, no. Anyway, that move he just made...\He's not what he was before!\The swordsmanship is the same, but... response:	his speed and power are on a whole different level.
context: Now then,\if you're not going to attack me, I'll be happy to get this started!\Saya!\My bad, Kirin. I owe you one.\Oh, no. Anyway, that move he just made...\He's not what he was before!\The swordsmanship is the same, but...\his speed and power are on a whole different level. response:	I think RM-C might've shared some of her own Manadite with that big lunk.
context: if you're not going to attack me, I'll be happy to get this started!\Saya!\My bad, Kirin. I owe you one.\Oh, no. Anyway, that move he just made...\He's not what he was before!\The swordsmanship is the same, but...\his speed and power are on a whole different level.\I think RM-C might've shared some of her own Manadite with that big lunk. response:	If that's the case, then he must have some kind of defect.
context: Saya!\My bad, Kirin. I owe you one.\Oh, no. Anyway, that move he just made...\He's not what he was before!\The swordsmanship is the same, but...\his speed and power are on a whole different level.\I think RM-C might've shared some of her own Manadite with that big lunk.\If that's the case, then he must have some kind of defect. response:	If there wasn't any problem, they could've just left him the way he was until now.
context: My bad, Kirin. I owe you one.\Oh, no. Anyway, that move he just made...\He's not what he was before!\The swordsmanship is the same, but...\his speed and power are on a whole different level.\I think RM-C might've shared some of her own Manadite with that big lunk.\If that's the case, then he must have some kind of defect.\If there wasn't any problem, they could've just left him the way he was until now. response:	I see.
context: Oh, no. Anyway, that move he just made...\He's not what he was before!\The swordsmanship is the same, but...\his speed and power are on a whole different level.\I think RM-C might've shared some of her own Manadite with that big lunk.\If that's the case, then he must have some kind of defect.\If there wasn't any problem, they could've just left him the way he was until now.\I see. response:	Could it be a time limit or too much of a burden on him?
context: He's not what he was before!\The swordsmanship is the same, but...\his speed and power are on a whole different level.\I think RM-C might've shared some of her own Manadite with that big lunk.\If that's the case, then he must have some kind of defect.\If there wasn't any problem, they could've just left him the way he was until now.\I see.\Could it be a time limit or too much of a burden on him? response:	Either way, we don't have enough information.
