context: German below this response:	German above this
context: Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it. response:	Our harmony
context: Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony response:	Can you hear it? Our harmony
context: You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony response:	The Helvetian witch?
context: Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\The Helvetian witch? response:	A Helvetian soldier?
context: I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\The Helvetian witch?\A Helvetian soldier? response:	Where am I? Am I a hostage of the Helvetians?
context: I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\The Helvetian witch?\A Helvetian soldier?\Where am I? Am I a hostage of the Helvetians? response:	So you have taken me as a hosta-
context: Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\The Helvetian witch?\A Helvetian soldier?\Where am I? Am I a hostage of the Helvetians?\So you have taken me as a hosta- response:	Infantry of the Roman Empire, First Tank Division. Thirteenth Tank Battalion, Company B, Feldwebel.
context: All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\The Helvetian witch?\A Helvetian soldier?\Where am I? Am I a hostage of the Helvetians?\So you have taken me as a hosta-\Infantry of the Roman Empire, First Tank Division. Thirteenth Tank Battalion, Company B, Feldwebel. response:	A'ishah Aldora. Identification Number 1031021.
context: Our harmony\Can you hear it? Our harmony\The Helvetian witch?\A Helvetian soldier?\Where am I? Am I a hostage of the Helvetians?\So you have taken me as a hosta-\Infantry of the Roman Empire, First Tank Division. Thirteenth Tank Battalion, Company B, Feldwebel.\A'ishah Aldora. Identification Number 1031021. response:	Infantry of the Roman Empire, Feldwebel, A'ishah Aldora.
context: Can you hear it? Our harmony\The Helvetian witch?\A Helvetian soldier?\Where am I? Am I a hostage of the Helvetians?\So you have taken me as a hosta-\Infantry of the Roman Empire, First Tank Division. Thirteenth Tank Battalion, Company B, Feldwebel.\A'ishah Aldora. Identification Number 1031021.\Infantry of the Roman Empire, Feldwebel, A'ishah Aldora. response:	Identification number 1031021.
context: The Helvetian witch?\A Helvetian soldier?\Where am I? Am I a hostage of the Helvetians?\So you have taken me as a hosta-\Infantry of the Roman Empire, First Tank Division. Thirteenth Tank Battalion, Company B, Feldwebel.\A'ishah Aldora. Identification Number 1031021.\Infantry of the Roman Empire, Feldwebel, A'ishah Aldora.\Identification number 1031021. response:	I see, so I actually made it!
context: A Helvetian soldier?\Where am I? Am I a hostage of the Helvetians?\So you have taken me as a hosta-\Infantry of the Roman Empire, First Tank Division. Thirteenth Tank Battalion, Company B, Feldwebel.\A'ishah Aldora. Identification Number 1031021.\Infantry of the Roman Empire, Feldwebel, A'ishah Aldora.\Identification number 1031021.\I see, so I actually made it! response:	Grandmother...
context: Where am I? Am I a hostage of the Helvetians?\So you have taken me as a hosta-\Infantry of the Roman Empire, First Tank Division. Thirteenth Tank Battalion, Company B, Feldwebel.\A'ishah Aldora. Identification Number 1031021.\Infantry of the Roman Empire, Feldwebel, A'ishah Aldora.\Identification number 1031021.\I see, so I actually made it!\Grandmother... response:	I need energy to escape, that's why I'm eating.
context: So you have taken me as a hosta-\Infantry of the Roman Empire, First Tank Division. Thirteenth Tank Battalion, Company B, Feldwebel.\A'ishah Aldora. Identification Number 1031021.\Infantry of the Roman Empire, Feldwebel, A'ishah Aldora.\Identification number 1031021.\I see, so I actually made it!\Grandmother...\I need energy to escape, that's why I'm eating. response:	Listen, have any of you seen the bones of the angel?
context: Infantry of the Roman Empire, First Tank Division. Thirteenth Tank Battalion, Company B, Feldwebel.\A'ishah Aldora. Identification Number 1031021.\Infantry of the Roman Empire, Feldwebel, A'ishah Aldora.\Identification number 1031021.\I see, so I actually made it!\Grandmother...\I need energy to escape, that's why I'm eating.\Listen, have any of you seen the bones of the angel? response:	Oh yeah, you don't understand anything...
context: A'ishah Aldora. Identification Number 1031021.\Infantry of the Roman Empire, Feldwebel, A'ishah Aldora.\Identification number 1031021.\I see, so I actually made it!\Grandmother...\I need energy to escape, that's why I'm eating.\Listen, have any of you seen the bones of the angel?\Oh yeah, you don't understand anything... response:	It sounds great!
context: Infantry of the Roman Empire, Feldwebel, A'ishah Aldora.\Identification number 1031021.\I see, so I actually made it!\Grandmother...\I need energy to escape, that's why I'm eating.\Listen, have any of you seen the bones of the angel?\Oh yeah, you don't understand anything...\It sounds great! response:	I didn't know that such trumpets still existed.
context: Identification number 1031021.\I see, so I actually made it!\Grandmother...\I need energy to escape, that's why I'm eating.\Listen, have any of you seen the bones of the angel?\Oh yeah, you don't understand anything...\It sounds great!\I didn't know that such trumpets still existed. response:	May I try?
context: I see, so I actually made it!\Grandmother...\I need energy to escape, that's why I'm eating.\Listen, have any of you seen the bones of the angel?\Oh yeah, you don't understand anything...\It sounds great!\I didn't know that such trumpets still existed.\May I try? response:	A great trumpet... That I'm able to see something like th-
context: Grandmother...\I need energy to escape, that's why I'm eating.\Listen, have any of you seen the bones of the angel?\Oh yeah, you don't understand anything...\It sounds great!\I didn't know that such trumpets still existed.\May I try?\A great trumpet... That I'm able to see something like th- response:	Thank you!
context: I need energy to escape, that's why I'm eating.\Listen, have any of you seen the bones of the angel?\Oh yeah, you don't understand anything...\It sounds great!\I didn't know that such trumpets still existed.\May I try?\A great trumpet... That I'm able to see something like th-\Thank you! response:	Yes, thank you!
context: Listen, have any of you seen the bones of the angel?\Oh yeah, you don't understand anything...\It sounds great!\I didn't know that such trumpets still existed.\May I try?\A great trumpet... That I'm able to see something like th-\Thank you!\Yes, thank you! response:	I am Yumina.
context: Oh yeah, you don't understand anything...\It sounds great!\I didn't know that such trumpets still existed.\May I try?\A great trumpet... That I'm able to see something like th-\Thank you!\Yes, thank you!\I am Yumina. response:	I serve the Helvetian Orthodox Church. May the blessings of all be upon you.
context: It sounds great!\I didn't know that such trumpets still existed.\May I try?\A great trumpet... That I'm able to see something like th-\Thank you!\Yes, thank you!\I am Yumina.\I serve the Helvetian Orthodox Church. May the blessings of all be upon you. response:	You're one of those heretics.
context: I didn't know that such trumpets still existed.\May I try?\A great trumpet... That I'm able to see something like th-\Thank you!\Yes, thank you!\I am Yumina.\I serve the Helvetian Orthodox Church. May the blessings of all be upon you.\You're one of those heretics. response:	There's only one god. Such a greeting is blasphemy.
context: May I try?\A great trumpet... That I'm able to see something like th-\Thank you!\Yes, thank you!\I am Yumina.\I serve the Helvetian Orthodox Church. May the blessings of all be upon you.\You're one of those heretics.\There's only one god. Such a greeting is blasphemy. response:	Why are you here?
context: A great trumpet... That I'm able to see something like th-\Thank you!\Yes, thank you!\I am Yumina.\I serve the Helvetian Orthodox Church. May the blessings of all be upon you.\You're one of those heretics.\There's only one god. Such a greeting is blasphemy.\Why are you here? response:	If you don't talk, it will cause a lot of trouble for all of us.
context: Thank you!\Yes, thank you!\I am Yumina.\I serve the Helvetian Orthodox Church. May the blessings of all be upon you.\You're one of those heretics.\There's only one god. Such a greeting is blasphemy.\Why are you here?\If you don't talk, it will cause a lot of trouble for all of us. response:	If you feel the least bit thankful, then you should talk honestly with us.
context: Yes, thank you!\I am Yumina.\I serve the Helvetian Orthodox Church. May the blessings of all be upon you.\You're one of those heretics.\There's only one god. Such a greeting is blasphemy.\Why are you here?\If you don't talk, it will cause a lot of trouble for all of us.\If you feel the least bit thankful, then you should talk honestly with us. response:	I'm not allowed to talk about my mission,
context: I am Yumina.\I serve the Helvetian Orthodox Church. May the blessings of all be upon you.\You're one of those heretics.\There's only one god. Such a greeting is blasphemy.\Why are you here?\If you don't talk, it will cause a lot of trouble for all of us.\If you feel the least bit thankful, then you should talk honestly with us.\I'm not allowed to talk about my mission, response:	but I wanted to see the bones of the angel that's supposedly in this town.
context: I serve the Helvetian Orthodox Church. May the blessings of all be upon you.\You're one of those heretics.\There's only one god. Such a greeting is blasphemy.\Why are you here?\If you don't talk, it will cause a lot of trouble for all of us.\If you feel the least bit thankful, then you should talk honestly with us.\I'm not allowed to talk about my mission,\but I wanted to see the bones of the angel that's supposedly in this town. response:	My grandmother, she was in this fortress, in this stronghold.
context: You're one of those heretics.\There's only one god. Such a greeting is blasphemy.\Why are you here?\If you don't talk, it will cause a lot of trouble for all of us.\If you feel the least bit thankful, then you should talk honestly with us.\I'm not allowed to talk about my mission,\but I wanted to see the bones of the angel that's supposedly in this town.\My grandmother, she was in this fortress, in this stronghold. response:	She was taken prisoner on the Eastern front, where she met my grandfather.
context: There's only one god. Such a greeting is blasphemy.\Why are you here?\If you don't talk, it will cause a lot of trouble for all of us.\If you feel the least bit thankful, then you should talk honestly with us.\I'm not allowed to talk about my mission,\but I wanted to see the bones of the angel that's supposedly in this town.\My grandmother, she was in this fortress, in this stronghold.\She was taken prisoner on the Eastern front, where she met my grandfather. response:	When I was a child, she often told me about them.
context: Why are you here?\If you don't talk, it will cause a lot of trouble for all of us.\If you feel the least bit thankful, then you should talk honestly with us.\I'm not allowed to talk about my mission,\but I wanted to see the bones of the angel that's supposedly in this town.\My grandmother, she was in this fortress, in this stronghold.\She was taken prisoner on the Eastern front, where she met my grandfather.\When I was a child, she often told me about them. response:	I always wanted to see it, the angel my grandmother had seen.
context: If you don't talk, it will cause a lot of trouble for all of us.\If you feel the least bit thankful, then you should talk honestly with us.\I'm not allowed to talk about my mission,\but I wanted to see the bones of the angel that's supposedly in this town.\My grandmother, she was in this fortress, in this stronghold.\She was taken prisoner on the Eastern front, where she met my grandfather.\When I was a child, she often told me about them.\I always wanted to see it, the angel my grandmother had seen. response:	The Angel of Apocalypse that had brought divine retribution upon the world.
context: If you feel the least bit thankful, then you should talk honestly with us.\I'm not allowed to talk about my mission,\but I wanted to see the bones of the angel that's supposedly in this town.\My grandmother, she was in this fortress, in this stronghold.\She was taken prisoner on the Eastern front, where she met my grandfather.\When I was a child, she often told me about them.\I always wanted to see it, the angel my grandmother had seen.\The Angel of Apocalypse that had brought divine retribution upon the world. response:	Her name is Noel.
context: I'm not allowed to talk about my mission,\but I wanted to see the bones of the angel that's supposedly in this town.\My grandmother, she was in this fortress, in this stronghold.\She was taken prisoner on the Eastern front, where she met my grandfather.\When I was a child, she often told me about them.\I always wanted to see it, the angel my grandmother had seen.\The Angel of Apocalypse that had brought divine retribution upon the world.\Her name is Noel. response:	Noel? Noel Kannagi?
context: but I wanted to see the bones of the angel that's supposedly in this town.\My grandmother, she was in this fortress, in this stronghold.\She was taken prisoner on the Eastern front, where she met my grandfather.\When I was a child, she often told me about them.\I always wanted to see it, the angel my grandmother had seen.\The Angel of Apocalypse that had brought divine retribution upon the world.\Her name is Noel.\Noel? Noel Kannagi? response:	Yes.
context: My grandmother, she was in this fortress, in this stronghold.\She was taken prisoner on the Eastern front, where she met my grandfather.\When I was a child, she often told me about them.\I always wanted to see it, the angel my grandmother had seen.\The Angel of Apocalypse that had brought divine retribution upon the world.\Her name is Noel.\Noel? Noel Kannagi?\Yes. response:	You have the Invisible Death...
context: She was taken prisoner on the Eastern front, where she met my grandfather.\When I was a child, she often told me about them.\I always wanted to see it, the angel my grandmother had seen.\The Angel of Apocalypse that had brought divine retribution upon the world.\Her name is Noel.\Noel? Noel Kannagi?\Yes.\You have the Invisible Death... response:	Honestly, this snow is so stupid!
context: When I was a child, she often told me about them.\I always wanted to see it, the angel my grandmother had seen.\The Angel of Apocalypse that had brought divine retribution upon the world.\Her name is Noel.\Noel? Noel Kannagi?\Yes.\You have the Invisible Death...\Honestly, this snow is so stupid! response:	And headquarters sending us on a patrol? On a day like this?
context: I always wanted to see it, the angel my grandmother had seen.\The Angel of Apocalypse that had brought divine retribution upon the world.\Her name is Noel.\Noel? Noel Kannagi?\Yes.\You have the Invisible Death...\Honestly, this snow is so stupid!\And headquarters sending us on a patrol? On a day like this? response:	Yeah.
context: The Angel of Apocalypse that had brought divine retribution upon the world.\Her name is Noel.\Noel? Noel Kannagi?\Yes.\You have the Invisible Death...\Honestly, this snow is so stupid!\And headquarters sending us on a patrol? On a day like this?\Yeah. response:	You still haven't given up on Madame Jacquotte?
context: Her name is Noel.\Noel? Noel Kannagi?\Yes.\You have the Invisible Death...\Honestly, this snow is so stupid!\And headquarters sending us on a patrol? On a day like this?\Yeah.\You still haven't given up on Madame Jacquotte? response:	It's not that I...
context: Noel? Noel Kannagi?\Yes.\You have the Invisible Death...\Honestly, this snow is so stupid!\And headquarters sending us on a patrol? On a day like this?\Yeah.\You still haven't given up on Madame Jacquotte?\It's not that I... response:	Well, whatever. Just keep looking and looking and then you can say maybe when you just can't find her.
context: Yes.\You have the Invisible Death...\Honestly, this snow is so stupid!\And headquarters sending us on a patrol? On a day like this?\Yeah.\You still haven't given up on Madame Jacquotte?\It's not that I...\Well, whatever. Just keep looking and looking and then you can say maybe when you just can't find her. response:	What?
context: You have the Invisible Death...\Honestly, this snow is so stupid!\And headquarters sending us on a patrol? On a day like this?\Yeah.\You still haven't given up on Madame Jacquotte?\It's not that I...\Well, whatever. Just keep looking and looking and then you can say maybe when you just can't find her.\What? response:	I was just thinking that you were kind of like Rio for a second.
context: Honestly, this snow is so stupid!\And headquarters sending us on a patrol? On a day like this?\Yeah.\You still haven't given up on Madame Jacquotte?\It's not that I...\Well, whatever. Just keep looking and looking and then you can say maybe when you just can't find her.\What?\I was just thinking that you were kind of like Rio for a second. response:	What is it?
context: And headquarters sending us on a patrol? On a day like this?\Yeah.\You still haven't given up on Madame Jacquotte?\It's not that I...\Well, whatever. Just keep looking and looking and then you can say maybe when you just can't find her.\What?\I was just thinking that you were kind of like Rio for a second.\What is it? response:	Under the cliff, eleven o'clock. About 400 meters.
context: Yeah.\You still haven't given up on Madame Jacquotte?\It's not that I...\Well, whatever. Just keep looking and looking and then you can say maybe when you just can't find her.\What?\I was just thinking that you were kind of like Rio for a second.\What is it?\Under the cliff, eleven o'clock. About 400 meters. response:	Wake up. Can you wake up?
context: You still haven't given up on Madame Jacquotte?\It's not that I...\Well, whatever. Just keep looking and looking and then you can say maybe when you just can't find her.\What?\I was just thinking that you were kind of like Rio for a second.\What is it?\Under the cliff, eleven o'clock. About 400 meters.\Wake up. Can you wake up? response:	Her clothes are all frozen!
context: It's not that I...\Well, whatever. Just keep looking and looking and then you can say maybe when you just can't find her.\What?\I was just thinking that you were kind of like Rio for a second.\What is it?\Under the cliff, eleven o'clock. About 400 meters.\Wake up. Can you wake up?\Her clothes are all frozen! response:	Kanata. Take her coat off.
context: Well, whatever. Just keep looking and looking and then you can say maybe when you just can't find her.\What?\I was just thinking that you were kind of like Rio for a second.\What is it?\Under the cliff, eleven o'clock. About 400 meters.\Wake up. Can you wake up?\Her clothes are all frozen!\Kanata. Take her coat off. response:	We're switching.
context: What?\I was just thinking that you were kind of like Rio for a second.\What is it?\Under the cliff, eleven o'clock. About 400 meters.\Wake up. Can you wake up?\Her clothes are all frozen!\Kanata. Take her coat off.\We're switching. response:	This girl...
context: I was just thinking that you were kind of like Rio for a second.\What is it?\Under the cliff, eleven o'clock. About 400 meters.\Wake up. Can you wake up?\Her clothes are all frozen!\Kanata. Take her coat off.\We're switching.\This girl... response:	A Roman soldier?
context: What is it?\Under the cliff, eleven o'clock. About 400 meters.\Wake up. Can you wake up?\Her clothes are all frozen!\Kanata. Take her coat off.\We're switching.\This girl...\A Roman soldier? response:	The Visitor - A Snowy Field Ablaze
context: Under the cliff, eleven o'clock. About 400 meters.\Wake up. Can you wake up?\Her clothes are all frozen!\Kanata. Take her coat off.\We're switching.\This girl...\A Roman soldier?\The Visitor - A Snowy Field Ablaze response:	To restore operations at a facility like this!
context: Wake up. Can you wake up?\Her clothes are all frozen!\Kanata. Take her coat off.\We're switching.\This girl...\A Roman soldier?\The Visitor - A Snowy Field Ablaze\To restore operations at a facility like this! response:	You really are the greatest genius in the history of the Academy!
context: Her clothes are all frozen!\Kanata. Take her coat off.\We're switching.\This girl...\A Roman soldier?\The Visitor - A Snowy Field Ablaze\To restore operations at a facility like this!\You really are the greatest genius in the history of the Academy! response:	We can win with this.
context: Kanata. Take her coat off.\We're switching.\This girl...\A Roman soldier?\The Visitor - A Snowy Field Ablaze\To restore operations at a facility like this!\You really are the greatest genius in the history of the Academy!\We can win with this. response:	We owe this to you, Miss Noel Kannagi.
context: We're switching.\This girl...\A Roman soldier?\The Visitor - A Snowy Field Ablaze\To restore operations at a facility like this!\You really are the greatest genius in the history of the Academy!\We can win with this.\We owe this to you, Miss Noel Kannagi. response:	Noel!
context: This girl...\A Roman soldier?\The Visitor - A Snowy Field Ablaze\To restore operations at a facility like this!\You really are the greatest genius in the history of the Academy!\We can win with this.\We owe this to you, Miss Noel Kannagi.\Noel! response:	They found her during their patrol. A Roman soldier.
context: A Roman soldier?\The Visitor - A Snowy Field Ablaze\To restore operations at a facility like this!\You really are the greatest genius in the history of the Academy!\We can win with this.\We owe this to you, Miss Noel Kannagi.\Noel!\They found her during their patrol. A Roman soldier. response:	It looks like her left leg is broken.
context: The Visitor - A Snowy Field Ablaze\To restore operations at a facility like this!\You really are the greatest genius in the history of the Academy!\We can win with this.\We owe this to you, Miss Noel Kannagi.\Noel!\They found her during their patrol. A Roman soldier.\It looks like her left leg is broken. response:	Her fingers are turning black!
context: To restore operations at a facility like this!\You really are the greatest genius in the history of the Academy!\We can win with this.\We owe this to you, Miss Noel Kannagi.\Noel!\They found her during their patrol. A Roman soldier.\It looks like her left leg is broken.\Her fingers are turning black! response:	Frostbite. If we don't work fast, she may lose those fingers.
context: You really are the greatest genius in the history of the Academy!\We can win with this.\We owe this to you, Miss Noel Kannagi.\Noel!\They found her during their patrol. A Roman soldier.\It looks like her left leg is broken.\Her fingers are turning black!\Frostbite. If we don't work fast, she may lose those fingers. response:	Leave her to me!
context: We can win with this.\We owe this to you, Miss Noel Kannagi.\Noel!\They found her during their patrol. A Roman soldier.\It looks like her left leg is broken.\Her fingers are turning black!\Frostbite. If we don't work fast, she may lose those fingers.\Leave her to me! response:	It looks like she'll be fine.
context: We owe this to you, Miss Noel Kannagi.\Noel!\They found her during their patrol. A Roman soldier.\It looks like her left leg is broken.\Her fingers are turning black!\Frostbite. If we don't work fast, she may lose those fingers.\Leave her to me!\It looks like she'll be fine. response:	She said she saved her fingers, too.
context: Noel!\They found her during their patrol. A Roman soldier.\It looks like her left leg is broken.\Her fingers are turning black!\Frostbite. If we don't work fast, she may lose those fingers.\Leave her to me!\It looks like she'll be fine.\She said she saved her fingers, too. response:	Thank goodness.
context: They found her during their patrol. A Roman soldier.\It looks like her left leg is broken.\Her fingers are turning black!\Frostbite. If we don't work fast, she may lose those fingers.\Leave her to me!\It looks like she'll be fine.\She said she saved her fingers, too.\Thank goodness. response:	What about Noel?
context: It looks like her left leg is broken.\Her fingers are turning black!\Frostbite. If we don't work fast, she may lose those fingers.\Leave her to me!\It looks like she'll be fine.\She said she saved her fingers, too.\Thank goodness.\What about Noel? response:	She said she'll stay with her.
context: Her fingers are turning black!\Frostbite. If we don't work fast, she may lose those fingers.\Leave her to me!\It looks like she'll be fine.\She said she saved her fingers, too.\Thank goodness.\What about Noel?\She said she'll stay with her. response:	But I wonder why...
context: Frostbite. If we don't work fast, she may lose those fingers.\Leave her to me!\It looks like she'll be fine.\She said she saved her fingers, too.\Thank goodness.\What about Noel?\She said she'll stay with her.\But I wonder why... response:	She put everything she had into it.
context: Leave her to me!\It looks like she'll be fine.\She said she saved her fingers, too.\Thank goodness.\What about Noel?\She said she'll stay with her.\But I wonder why...\She put everything she had into it. response:	Almost like she was repairing the Takemicaduchi.
context: It looks like she'll be fine.\She said she saved her fingers, too.\Thank goodness.\What about Noel?\She said she'll stay with her.\But I wonder why...\She put everything she had into it.\Almost like she was repairing the Takemicaduchi. response:	I see.
context: She said she saved her fingers, too.\Thank goodness.\What about Noel?\She said she'll stay with her.\But I wonder why...\She put everything she had into it.\Almost like she was repairing the Takemicaduchi.\I see. response:	A bugle.
context: Thank goodness.\What about Noel?\She said she'll stay with her.\But I wonder why...\She put everything she had into it.\Almost like she was repairing the Takemicaduchi.\I see.\A bugle. response:	She might be a scout.
context: What about Noel?\She said she'll stay with her.\But I wonder why...\She put everything she had into it.\Almost like she was repairing the Takemicaduchi.\I see.\A bugle.\She might be a scout. response:	I thought so.
context: She said she'll stay with her.\But I wonder why...\She put everything she had into it.\Almost like she was repairing the Takemicaduchi.\I see.\A bugle.\She might be a scout.\I thought so. response:	I was surprised.
context: But I wonder why...\She put everything she had into it.\Almost like she was repairing the Takemicaduchi.\I see.\A bugle.\She might be a scout.\I thought so.\I was surprised. response:	Of course you were.
context: She put everything she had into it.\Almost like she was repairing the Takemicaduchi.\I see.\A bugle.\She might be a scout.\I thought so.\I was surprised.\Of course you were. response:	No one would expect to see a Roman soldier in a place like that.
context: Almost like she was repairing the Takemicaduchi.\I see.\A bugle.\She might be a scout.\I thought so.\I was surprised.\Of course you were.\No one would expect to see a Roman soldier in a place like that. response:	Not that. This is the first time I've seen a Roman.
context: I see.\A bugle.\She might be a scout.\I thought so.\I was surprised.\Of course you were.\No one would expect to see a Roman soldier in a place like that.\Not that. This is the first time I've seen a Roman. response:	Everyone calls them the enemy and everything, so I thought they would look more evil or something.
