context: The Stardia materials shop we'd been planning is finally opening! response:	Upsy-daisy.
context: Luna, let go of me! Let go! Noir!\I cleaned up the back.\Thanks, Emma. That'll help out a lot.\Hey, is this for sale, too?\Yup. It's one of our shop's top items.\That's a sample, so you can all have a taste.\It's delicious!\What is this? response:	Sorry, that's a trade secret.
context: I cleaned up the back.\Thanks, Emma. That'll help out a lot.\Hey, is this for sale, too?\Yup. It's one of our shop's top items.\That's a sample, so you can all have a taste.\It's delicious!\What is this?\Sorry, that's a trade secret. response:	When I ate that golden slime back in the dungeon,
context: Thanks, Emma. That'll help out a lot.\Hey, is this for sale, too?\Yup. It's one of our shop's top items.\That's a sample, so you can all have a taste.\It's delicious!\What is this?\Sorry, that's a trade secret.\When I ate that golden slime back in the dungeon, response:	it turned out to be really tasty.
context: Hey, is this for sale, too?\Yup. It's one of our shop's top items.\That's a sample, so you can all have a taste.\It's delicious!\What is this?\Sorry, that's a trade secret.\When I ate that golden slime back in the dungeon,\it turned out to be really tasty. response:	Hey, by the way, what's the name of the shop?
context: Yup. It's one of our shop's top items.\That's a sample, so you can all have a taste.\It's delicious!\What is this?\Sorry, that's a trade secret.\When I ate that golden slime back in the dungeon,\it turned out to be really tasty.\Hey, by the way, what's the name of the shop? response:	Well...
context: That's a sample, so you can all have a taste.\It's delicious!\What is this?\Sorry, that's a trade secret.\When I ate that golden slime back in the dungeon,\it turned out to be really tasty.\Hey, by the way, what's the name of the shop?\Well... response:	We talked it over as a family
context: It's delicious!\What is this?\Sorry, that's a trade secret.\When I ate that golden slime back in the dungeon,\it turned out to be really tasty.\Hey, by the way, what's the name of the shop?\Well...\We talked it over as a family response:	and had trouble deciding right up to the last minute...
context: What is this?\Sorry, that's a trade secret.\When I ate that golden slime back in the dungeon,\it turned out to be really tasty.\Hey, by the way, what's the name of the shop?\Well...\We talked it over as a family\and had trouble deciding right up to the last minute... response:	The Materials Shop With the Best Materials Chosen by Me
context: Sorry, that's a trade secret.\When I ate that golden slime back in the dungeon,\it turned out to be really tasty.\Hey, by the way, what's the name of the shop?\Well...\We talked it over as a family\and had trouble deciding right up to the last minute...\The Materials Shop With the Best Materials Chosen by Me response:	The Materials Shop With the Best Materials Chosen by Me!
context: When I ate that golden slime back in the dungeon,\it turned out to be really tasty.\Hey, by the way, what's the name of the shop?\Well...\We talked it over as a family\and had trouble deciding right up to the last minute...\The Materials Shop With the Best Materials Chosen by Me\The Materials Shop With the Best Materials Chosen by Me! response:	All You Need Is Love
context: it turned out to be really tasty.\Hey, by the way, what's the name of the shop?\Well...\We talked it over as a family\and had trouble deciding right up to the last minute...\The Materials Shop With the Best Materials Chosen by Me\The Materials Shop With the Best Materials Chosen by Me!\All You Need Is Love response:	All You Need Is Love.
context: Hey, by the way, what's the name of the shop?\Well...\We talked it over as a family\and had trouble deciding right up to the last minute...\The Materials Shop With the Best Materials Chosen by Me\The Materials Shop With the Best Materials Chosen by Me!\All You Need Is Love\All You Need Is Love. response:	Noir and Alice's Secret Hideaway.
context: Well...\We talked it over as a family\and had trouble deciding right up to the last minute...\The Materials Shop With the Best Materials Chosen by Me\The Materials Shop With the Best Materials Chosen by Me!\All You Need Is Love\All You Need Is Love.\Noir and Alice's Secret Hideaway. response:	Noir and Alice's Secret Hideaway
context: We talked it over as a family\and had trouble deciding right up to the last minute...\The Materials Shop With the Best Materials Chosen by Me\The Materials Shop With the Best Materials Chosen by Me!\All You Need Is Love\All You Need Is Love.\Noir and Alice's Secret Hideaway.\Noir and Alice's Secret Hideaway response:	Stardian Rarities.
context: and had trouble deciding right up to the last minute...\The Materials Shop With the Best Materials Chosen by Me\The Materials Shop With the Best Materials Chosen by Me!\All You Need Is Love\All You Need Is Love.\Noir and Alice's Secret Hideaway.\Noir and Alice's Secret Hideaway\Stardian Rarities. response:	Stardian Rarities
context: The Materials Shop With the Best Materials Chosen by Me\The Materials Shop With the Best Materials Chosen by Me!\All You Need Is Love\All You Need Is Love.\Noir and Alice's Secret Hideaway.\Noir and Alice's Secret Hideaway\Stardian Rarities.\Stardian Rarities response:	Hidden Curiosities
context: The Materials Shop With the Best Materials Chosen by Me!\All You Need Is Love\All You Need Is Love.\Noir and Alice's Secret Hideaway.\Noir and Alice's Secret Hideaway\Stardian Rarities.\Stardian Rarities\Hidden Curiosities response:	Hidden Curiosities.
context: All You Need Is Love\All You Need Is Love.\Noir and Alice's Secret Hideaway.\Noir and Alice's Secret Hideaway\Stardian Rarities.\Stardian Rarities\Hidden Curiosities\Hidden Curiosities. response:	But we went with Tigerson's suggestion.
context: All You Need Is Love.\Noir and Alice's Secret Hideaway.\Noir and Alice's Secret Hideaway\Stardian Rarities.\Stardian Rarities\Hidden Curiosities\Hidden Curiosities.\But we went with Tigerson's suggestion. response:	We figured it'd be better to have our name in it.
context: Noir and Alice's Secret Hideaway.\Noir and Alice's Secret Hideaway\Stardian Rarities.\Stardian Rarities\Hidden Curiosities\Hidden Curiosities.\But we went with Tigerson's suggestion.\We figured it'd be better to have our name in it. response:	I finished handing out all the flyers!
context: Noir and Alice's Secret Hideaway\Stardian Rarities.\Stardian Rarities\Hidden Curiosities\Hidden Curiosities.\But we went with Tigerson's suggestion.\We figured it'd be better to have our name in it.\I finished handing out all the flyers! response:	Tigey's up front and ready to be our poster kitty, too.
context: Stardian Rarities.\Stardian Rarities\Hidden Curiosities\Hidden Curiosities.\But we went with Tigerson's suggestion.\We figured it'd be better to have our name in it.\I finished handing out all the flyers!\Tigey's up front and ready to be our poster kitty, too. response:	Opening Soon
context: Stardian Rarities\Hidden Curiosities\Hidden Curiosities.\But we went with Tigerson's suggestion.\We figured it'd be better to have our name in it.\I finished handing out all the flyers!\Tigey's up front and ready to be our poster kitty, too.\Opening Soon response:	It's finally happening, Big Brother!
context: Hidden Curiosities\Hidden Curiosities.\But we went with Tigerson's suggestion.\We figured it'd be better to have our name in it.\I finished handing out all the flyers!\Tigey's up front and ready to be our poster kitty, too.\Opening Soon\It's finally happening, Big Brother! response:	Yup.
context: Hidden Curiosities.\But we went with Tigerson's suggestion.\We figured it'd be better to have our name in it.\I finished handing out all the flyers!\Tigey's up front and ready to be our poster kitty, too.\Opening Soon\It's finally happening, Big Brother!\Yup. response:	Hey, it's time.
context: But we went with Tigerson's suggestion.\We figured it'd be better to have our name in it.\I finished handing out all the flyers!\Tigey's up front and ready to be our poster kitty, too.\Opening Soon\It's finally happening, Big Brother!\Yup.\Hey, it's time. response:	W-W-Well, should we do it? Should we count down?
context: We figured it'd be better to have our name in it.\I finished handing out all the flyers!\Tigey's up front and ready to be our poster kitty, too.\Opening Soon\It's finally happening, Big Brother!\Yup.\Hey, it's time.\W-W-Well, should we do it? Should we count down? response:	Sure. You can start, Father.
context: I finished handing out all the flyers!\Tigey's up front and ready to be our poster kitty, too.\Opening Soon\It's finally happening, Big Brother!\Yup.\Hey, it's time.\W-W-Well, should we do it? Should we count down?\Sure. You can start, Father. response:	Okay! Then...
context: Tigey's up front and ready to be our poster kitty, too.\Opening Soon\It's finally happening, Big Brother!\Yup.\Hey, it's time.\W-W-Well, should we do it? Should we count down?\Sure. You can start, Father.\Okay! Then... response:	Five!
context: Opening Soon\It's finally happening, Big Brother!\Yup.\Hey, it's time.\W-W-Well, should we do it? Should we count down?\Sure. You can start, Father.\Okay! Then...\Five! response:	Four!
context: It's finally happening, Big Brother!\Yup.\Hey, it's time.\W-W-Well, should we do it? Should we count down?\Sure. You can start, Father.\Okay! Then...\Five!\Four! response:	Three!
context: Yup.\Hey, it's time.\W-W-Well, should we do it? Should we count down?\Sure. You can start, Father.\Okay! Then...\Five!\Four!\Three! response:	Two!
context: Hey, it's time.\W-W-Well, should we do it? Should we count down?\Sure. You can start, Father.\Okay! Then...\Five!\Four!\Three!\Two! response:	One!
context: W-W-Well, should we do it? Should we count down?\Sure. You can start, Father.\Okay! Then...\Five!\Four!\Three!\Two!\One! response:	Stardian Rarities is officially open!
context: Sure. You can start, Father.\Okay! Then...\Five!\Four!\Three!\Two!\One!\Stardian Rarities is officially open! response:	Wow.
context: Okay! Then...\Five!\Four!\Three!\Two!\One!\Stardian Rarities is officially open!\Wow. response:	This is rare.
context: Five!\Four!\Three!\Two!\One!\Stardian Rarities is officially open!\Wow.\This is rare. response:	I could probably use this to make medicine.
context: Four!\Three!\Two!\One!\Stardian Rarities is officially open!\Wow.\This is rare.\I could probably use this to make medicine. response:	This gelatin is good, too.
context: Three!\Two!\One!\Stardian Rarities is officially open!\Wow.\This is rare.\I could probably use this to make medicine.\This gelatin is good, too. response:	S-So many customers...
context: Two!\One!\Stardian Rarities is officially open!\Wow.\This is rare.\I could probably use this to make medicine.\This gelatin is good, too.\S-So many customers... response:	It's all because you guys promoted the store so much.
context: One!\Stardian Rarities is officially open!\Wow.\This is rare.\I could probably use this to make medicine.\This gelatin is good, too.\S-So many customers...\It's all because you guys promoted the store so much. response:	Tigerson's doing a great job, too.
context: Stardian Rarities is officially open!\Wow.\This is rare.\I could probably use this to make medicine.\This gelatin is good, too.\S-So many customers...\It's all because you guys promoted the store so much.\Tigerson's doing a great job, too. response:	Open
context: Wow.\This is rare.\I could probably use this to make medicine.\This gelatin is good, too.\S-So many customers...\It's all because you guys promoted the store so much.\Tigerson's doing a great job, too.\Open response:	Wow!
context: This is rare.\I could probably use this to make medicine.\This gelatin is good, too.\S-So many customers...\It's all because you guys promoted the store so much.\Tigerson's doing a great job, too.\Open\Wow! response:	It's a lion!
context: I could probably use this to make medicine.\This gelatin is good, too.\S-So many customers...\It's all because you guys promoted the store so much.\Tigerson's doing a great job, too.\Open\Wow!\It's a lion! response:	It's so cool!
context: This gelatin is good, too.\S-So many customers...\It's all because you guys promoted the store so much.\Tigerson's doing a great job, too.\Open\Wow!\It's a lion!\It's so cool! response:	I'll play with you even more if you buy something inside.
context: S-So many customers...\It's all because you guys promoted the store so much.\Tigerson's doing a great job, too.\Open\Wow!\It's a lion!\It's so cool!\I'll play with you even more if you buy something inside. response:	Really?
context: It's all because you guys promoted the store so much.\Tigerson's doing a great job, too.\Open\Wow!\It's a lion!\It's so cool!\I'll play with you even more if you buy something inside.\Really? response:	Awesome!
context: Tigerson's doing a great job, too.\Open\Wow!\It's a lion!\It's so cool!\I'll play with you even more if you buy something inside.\Really?\Awesome! response:	Our lineup of merch isn't perfect yet, but we did everything we could for now.
context: Open\Wow!\It's a lion!\It's so cool!\I'll play with you even more if you buy something inside.\Really?\Awesome!\Our lineup of merch isn't perfect yet, but we did everything we could for now. response:	Y-You're right.
context: Wow!\It's a lion!\It's so cool!\I'll play with you even more if you buy something inside.\Really?\Awesome!\Our lineup of merch isn't perfect yet, but we did everything we could for now.\Y-You're right. response:	We worked so hard.
context: It's a lion!\It's so cool!\I'll play with you even more if you buy something inside.\Really?\Awesome!\Our lineup of merch isn't perfect yet, but we did everything we could for now.\Y-You're right.\We worked so hard. response:	This is all thanks to you, Noir.
context: It's so cool!\I'll play with you even more if you buy something inside.\Really?\Awesome!\Our lineup of merch isn't perfect yet, but we did everything we could for now.\Y-You're right.\We worked so hard.\This is all thanks to you, Noir. response:	I'm so proud to have you as a son.
context: I'll play with you even more if you buy something inside.\Really?\Awesome!\Our lineup of merch isn't perfect yet, but we did everything we could for now.\Y-You're right.\We worked so hard.\This is all thanks to you, Noir.\I'm so proud to have you as a son. response:	Father...
context: Really?\Awesome!\Our lineup of merch isn't perfect yet, but we did everything we could for now.\Y-You're right.\We worked so hard.\This is all thanks to you, Noir.\I'm so proud to have you as a son.\Father... response:	I'm the son of a poor noble and lost my job to another noble,
context: Awesome!\Our lineup of merch isn't perfect yet, but we did everything we could for now.\Y-You're right.\We worked so hard.\This is all thanks to you, Noir.\I'm so proud to have you as a son.\Father...\I'm the son of a poor noble and lost my job to another noble, response:	but I was able to enroll at the Hero Academy,
context: Our lineup of merch isn't perfect yet, but we did everything we could for now.\Y-You're right.\We worked so hard.\This is all thanks to you, Noir.\I'm so proud to have you as a son.\Father...\I'm the son of a poor noble and lost my job to another noble,\but I was able to enroll at the Hero Academy, response:	and I even saved someone.
context: Y-You're right.\We worked so hard.\This is all thanks to you, Noir.\I'm so proud to have you as a son.\Father...\I'm the son of a poor noble and lost my job to another noble,\but I was able to enroll at the Hero Academy,\and I even saved someone. response:	I made a new friend, too.
context: We worked so hard.\This is all thanks to you, Noir.\I'm so proud to have you as a son.\Father...\I'm the son of a poor noble and lost my job to another noble,\but I was able to enroll at the Hero Academy,\and I even saved someone.\I made a new friend, too. response:	A famous noble thanked me...
context: This is all thanks to you, Noir.\I'm so proud to have you as a son.\Father...\I'm the son of a poor noble and lost my job to another noble,\but I was able to enroll at the Hero Academy,\and I even saved someone.\I made a new friend, too.\A famous noble thanked me... response:	And we were able to open up this shop,
context: I'm so proud to have you as a son.\Father...\I'm the son of a poor noble and lost my job to another noble,\but I was able to enroll at the Hero Academy,\and I even saved someone.\I made a new friend, too.\A famous noble thanked me...\And we were able to open up this shop, response:	all thanks to my master.
context: Father...\I'm the son of a poor noble and lost my job to another noble,\but I was able to enroll at the Hero Academy,\and I even saved someone.\I made a new friend, too.\A famous noble thanked me...\And we were able to open up this shop,\all thanks to my master. response:	Hm?
context: I'm the son of a poor noble and lost my job to another noble,\but I was able to enroll at the Hero Academy,\and I even saved someone.\I made a new friend, too.\A famous noble thanked me...\And we were able to open up this shop,\all thanks to my master.\Hm? response:	Are you a peeping tom? You just snuck in here.
context: but I was able to enroll at the Hero Academy,\and I even saved someone.\I made a new friend, too.\A famous noble thanked me...\And we were able to open up this shop,\all thanks to my master.\Hm?\Are you a peeping tom? You just snuck in here. response:	I guess you figured me out.
context: and I even saved someone.\I made a new friend, too.\A famous noble thanked me...\And we were able to open up this shop,\all thanks to my master.\Hm?\Are you a peeping tom? You just snuck in here.\I guess you figured me out. response:	I can always tell when you're around, Noir.
context: I made a new friend, too.\A famous noble thanked me...\And we were able to open up this shop,\all thanks to my master.\Hm?\Are you a peeping tom? You just snuck in here.\I guess you figured me out.\I can always tell when you're around, Noir. response:	You're impressive as ever, Master.
context: A famous noble thanked me...\And we were able to open up this shop,\all thanks to my master.\Hm?\Are you a peeping tom? You just snuck in here.\I guess you figured me out.\I can always tell when you're around, Noir.\You're impressive as ever, Master. response:	What's up? You look all serious.
context: And we were able to open up this shop,\all thanks to my master.\Hm?\Are you a peeping tom? You just snuck in here.\I guess you figured me out.\I can always tell when you're around, Noir.\You're impressive as ever, Master.\What's up? You look all serious. response:	I've come here today to express my determination.
context: all thanks to my master.\Hm?\Are you a peeping tom? You just snuck in here.\I guess you figured me out.\I can always tell when you're around, Noir.\You're impressive as ever, Master.\What's up? You look all serious.\I've come here today to express my determination. response:	What's that supposed to mean?
context: Hm?\Are you a peeping tom? You just snuck in here.\I guess you figured me out.\I can always tell when you're around, Noir.\You're impressive as ever, Master.\What's up? You look all serious.\I've come here today to express my determination.\What's that supposed to mean? response:	I'm going to free you from those chains.
context: Are you a peeping tom? You just snuck in here.\I guess you figured me out.\I can always tell when you're around, Noir.\You're impressive as ever, Master.\What's up? You look all serious.\I've come here today to express my determination.\What's that supposed to mean?\I'm going to free you from those chains. response:	Huh?
context: I guess you figured me out.\I can always tell when you're around, Noir.\You're impressive as ever, Master.\What's up? You look all serious.\I've come here today to express my determination.\What's that supposed to mean?\I'm going to free you from those chains.\Huh? response:	I'll end this suffering for you.
context: I can always tell when you're around, Noir.\You're impressive as ever, Master.\What's up? You look all serious.\I've come here today to express my determination.\What's that supposed to mean?\I'm going to free you from those chains.\Huh?\I'll end this suffering for you. response:	Please allow me to properly thank you.
context: You're impressive as ever, Master.\What's up? You look all serious.\I've come here today to express my determination.\What's that supposed to mean?\I'm going to free you from those chains.\Huh?\I'll end this suffering for you.\Please allow me to properly thank you. response:	Noir...
context: What's up? You look all serious.\I've come here today to express my determination.\What's that supposed to mean?\I'm going to free you from those chains.\Huh?\I'll end this suffering for you.\Please allow me to properly thank you.\Noir... response:	Thank you for even saying that, but please, don't push yourself.
context: I've come here today to express my determination.\What's that supposed to mean?\I'm going to free you from those chains.\Huh?\I'll end this suffering for you.\Please allow me to properly thank you.\Noir...\Thank you for even saying that, but please, don't push yourself. response:	Don't worry. I'm a coward by nature.
context: What's that supposed to mean?\I'm going to free you from those chains.\Huh?\I'll end this suffering for you.\Please allow me to properly thank you.\Noir...\Thank you for even saying that, but please, don't push yourself.\Don't worry. I'm a coward by nature. response:	Yeah, you're the type of guy that gathers all the info you can on the girl you like,
context: I'm going to free you from those chains.\Huh?\I'll end this suffering for you.\Please allow me to properly thank you.\Noir...\Thank you for even saying that, but please, don't push yourself.\Don't worry. I'm a coward by nature.\Yeah, you're the type of guy that gathers all the info you can on the girl you like, response:	then lose her to another guy before you can confess
context: Huh?\I'll end this suffering for you.\Please allow me to properly thank you.\Noir...\Thank you for even saying that, but please, don't push yourself.\Don't worry. I'm a coward by nature.\Yeah, you're the type of guy that gathers all the info you can on the girl you like,\then lose her to another guy before you can confess response:	your feelings to her, and end up crying.
context: I'll end this suffering for you.\Please allow me to properly thank you.\Noir...\Thank you for even saying that, but please, don't push yourself.\Don't worry. I'm a coward by nature.\Yeah, you're the type of guy that gathers all the info you can on the girl you like,\then lose her to another guy before you can confess\your feelings to her, and end up crying. response:	I'm not that bad!
context: Please allow me to properly thank you.\Noir...\Thank you for even saying that, but please, don't push yourself.\Don't worry. I'm a coward by nature.\Yeah, you're the type of guy that gathers all the info you can on the girl you like,\then lose her to another guy before you can confess\your feelings to her, and end up crying.\I'm not that bad! response:	Okay, sorry.
context: Noir...\Thank you for even saying that, but please, don't push yourself.\Don't worry. I'm a coward by nature.\Yeah, you're the type of guy that gathers all the info you can on the girl you like,\then lose her to another guy before you can confess\your feelings to her, and end up crying.\I'm not that bad!\Okay, sorry. response:	Yeah. I want to see Master smile.
context: Thank you for even saying that, but please, don't push yourself.\Don't worry. I'm a coward by nature.\Yeah, you're the type of guy that gathers all the info you can on the girl you like,\then lose her to another guy before you can confess\your feelings to her, and end up crying.\I'm not that bad!\Okay, sorry.\Yeah. I want to see Master smile. response:	Answer my query, Great Sage.
context: Don't worry. I'm a coward by nature.\Yeah, you're the type of guy that gathers all the info you can on the girl you like,\then lose her to another guy before you can confess\your feelings to her, and end up crying.\I'm not that bad!\Okay, sorry.\Yeah. I want to see Master smile.\Answer my query, Great Sage. response:	As you wish.
context: Yeah, you're the type of guy that gathers all the info you can on the girl you like,\then lose her to another guy before you can confess\your feelings to her, and end up crying.\I'm not that bad!\Okay, sorry.\Yeah. I want to see Master smile.\Answer my query, Great Sage.\As you wish. response:	I want to save Olivia of the hidden dungeon.
context: then lose her to another guy before you can confess\your feelings to her, and end up crying.\I'm not that bad!\Okay, sorry.\Yeah. I want to see Master smile.\Answer my query, Great Sage.\As you wish.\I want to save Olivia of the hidden dungeon. response:	How can I free her from the Death Chains without killing her?
context: your feelings to her, and end up crying.\I'm not that bad!\Okay, sorry.\Yeah. I want to see Master smile.\Answer my query, Great Sage.\As you wish.\I want to save Olivia of the hidden dungeon.\How can I free her from the Death Chains without killing her? response:	I believe... the answer can be found on the 15th floor.
context: I'm not that bad!\Okay, sorry.\Yeah. I want to see Master smile.\Answer my query, Great Sage.\As you wish.\I want to save Olivia of the hidden dungeon.\How can I free her from the Death Chains without killing her?\I believe... the answer can be found on the 15th floor. response:	You believe?
context: Okay, sorry.\Yeah. I want to see Master smile.\Answer my query, Great Sage.\As you wish.\I want to save Olivia of the hidden dungeon.\How can I free her from the Death Chains without killing her?\I believe... the answer can be found on the 15th floor.\You believe? response:	Could you be more specific?
context: Yeah. I want to see Master smile.\Answer my query, Great Sage.\As you wish.\I want to save Olivia of the hidden dungeon.\How can I free her from the Death Chains without killing her?\I believe... the answer can be found on the 15th floor.\You believe?\Could you be more specific? response:	Ow!
context: Answer my query, Great Sage.\As you wish.\I want to save Olivia of the hidden dungeon.\How can I free her from the Death Chains without killing her?\I believe... the answer can be found on the 15th floor.\You believe?\Could you be more specific?\Ow! response:	The more difficult the question, the worse it gets for me.
context: As you wish.\I want to save Olivia of the hidden dungeon.\How can I free her from the Death Chains without killing her?\I believe... the answer can be found on the 15th floor.\You believe?\Could you be more specific?\Ow!\The more difficult the question, the worse it gets for me. response:	Still... I have a clue now.
context: I want to save Olivia of the hidden dungeon.\How can I free her from the Death Chains without killing her?\I believe... the answer can be found on the 15th floor.\You believe?\Could you be more specific?\Ow!\The more difficult the question, the worse it gets for me.\Still... I have a clue now. response:	Hidden Dungeon 14th Floor
context: How can I free her from the Death Chains without killing her?\I believe... the answer can be found on the 15th floor.\You believe?\Could you be more specific?\Ow!\The more difficult the question, the worse it gets for me.\Still... I have a clue now.\Hidden Dungeon 14th Floor response:	You will now undergo a trial. If you are alone, go to 1. If another is with you, go to 2.
context: I believe... the answer can be found on the 15th floor.\You believe?\Could you be more specific?\Ow!\The more difficult the question, the worse it gets for me.\Still... I have a clue now.\Hidden Dungeon 14th Floor\You will now undergo a trial. If you are alone, go to 1. If another is with you, go to 2. response:	I'm by myself, so I guess I have to go this way.
context: You believe?\Could you be more specific?\Ow!\The more difficult the question, the worse it gets for me.\Still... I have a clue now.\Hidden Dungeon 14th Floor\You will now undergo a trial. If you are alone, go to 1. If another is with you, go to 2.\I'm by myself, so I guess I have to go this way. response:	Th-This is, uh...
context: Could you be more specific?\Ow!\The more difficult the question, the worse it gets for me.\Still... I have a clue now.\Hidden Dungeon 14th Floor\You will now undergo a trial. If you are alone, go to 1. If another is with you, go to 2.\I'm by myself, so I guess I have to go this way.\Th-This is, uh... response:	No skills allowed
context: Ow!\The more difficult the question, the worse it gets for me.\Still... I have a clue now.\Hidden Dungeon 14th Floor\You will now undergo a trial. If you are alone, go to 1. If another is with you, go to 2.\I'm by myself, so I guess I have to go this way.\Th-This is, uh...\No skills allowed response:	M-Master did say not to push myself. It might be kinda pathetic, but...
context: The more difficult the question, the worse it gets for me.\Still... I have a clue now.\Hidden Dungeon 14th Floor\You will now undergo a trial. If you are alone, go to 1. If another is with you, go to 2.\I'm by myself, so I guess I have to go this way.\Th-This is, uh...\No skills allowed\M-Master did say not to push myself. It might be kinda pathetic, but... response:	I see. So the reason you became stronger
context: Still... I have a clue now.\Hidden Dungeon 14th Floor\You will now undergo a trial. If you are alone, go to 1. If another is with you, go to 2.\I'm by myself, so I guess I have to go this way.\Th-This is, uh...\No skills allowed\M-Master did say not to push myself. It might be kinda pathetic, but...\I see. So the reason you became stronger response:	is because of the hidden dungeon and this Olivia person.
context: Hidden Dungeon 14th Floor\You will now undergo a trial. If you are alone, go to 1. If another is with you, go to 2.\I'm by myself, so I guess I have to go this way.\Th-This is, uh...\No skills allowed\M-Master did say not to push myself. It might be kinda pathetic, but...\I see. So the reason you became stronger\is because of the hidden dungeon and this Olivia person. response:	Yeah. I'm sorry I didn't tell you earlier. I didn't want to put you in danger.
context: You will now undergo a trial. If you are alone, go to 1. If another is with you, go to 2.\I'm by myself, so I guess I have to go this way.\Th-This is, uh...\No skills allowed\M-Master did say not to push myself. It might be kinda pathetic, but...\I see. So the reason you became stronger\is because of the hidden dungeon and this Olivia person.\Yeah. I'm sorry I didn't tell you earlier. I didn't want to put you in danger. response:	So you want to save her since she helped you out.
context: I'm by myself, so I guess I have to go this way.\Th-This is, uh...\No skills allowed\M-Master did say not to push myself. It might be kinda pathetic, but...\I see. So the reason you became stronger\is because of the hidden dungeon and this Olivia person.\Yeah. I'm sorry I didn't tell you earlier. I didn't want to put you in danger.\So you want to save her since she helped you out. response:	I'd totally expect that from you.
context: Th-This is, uh...\No skills allowed\M-Master did say not to push myself. It might be kinda pathetic, but...\I see. So the reason you became stronger\is because of the hidden dungeon and this Olivia person.\Yeah. I'm sorry I didn't tell you earlier. I didn't want to put you in danger.\So you want to save her since she helped you out.\I'd totally expect that from you. response:	Y-You think so?
