context: What a hard painting response:	I should have picked an easier one to paint'
context: What a pity, last night.\What do you mean?\Just when you were going to confess to Sakura, Kero-chan suddenly appeared.\When do you plan to tell her next?\I won't tell her for the moment.\Last night I was only thinking that I have to tell her.\But before that, there is something I must do first.\I've made a promise. response:	Before I knew who the person I like was,
context: What do you mean?\Just when you were going to confess to Sakura, Kero-chan suddenly appeared.\When do you plan to tell her next?\I won't tell her for the moment.\Last night I was only thinking that I have to tell her.\But before that, there is something I must do first.\I've made a promise.\Before I knew who the person I like was, response:	Mei Lin will still be my fiancee So'
context: Just when you were going to confess to Sakura, Kero-chan suddenly appeared.\When do you plan to tell her next?\I won't tell her for the moment.\Last night I was only thinking that I have to tell her.\But before that, there is something I must do first.\I've made a promise.\Before I knew who the person I like was,\Mei Lin will still be my fiancee So' response:	You want to tell Mei Lin-chan how you feel?
context: When do you plan to tell her next?\I won't tell her for the moment.\Last night I was only thinking that I have to tell her.\But before that, there is something I must do first.\I've made a promise.\Before I knew who the person I like was,\Mei Lin will still be my fiancee So'\You want to tell Mei Lin-chan how you feel? response:	I called her last night,
context: I won't tell her for the moment.\Last night I was only thinking that I have to tell her.\But before that, there is something I must do first.\I've made a promise.\Before I knew who the person I like was,\Mei Lin will still be my fiancee So'\You want to tell Mei Lin-chan how you feel?\I called her last night, response:	I said there were things that we have to talk about.
context: Last night I was only thinking that I have to tell her.\But before that, there is something I must do first.\I've made a promise.\Before I knew who the person I like was,\Mei Lin will still be my fiancee So'\You want to tell Mei Lin-chan how you feel?\I called her last night,\I said there were things that we have to talk about. response:	What did Mei Lin-chan say?
context: But before that, there is something I must do first.\I've made a promise.\Before I knew who the person I like was,\Mei Lin will still be my fiancee So'\You want to tell Mei Lin-chan how you feel?\I called her last night,\I said there were things that we have to talk about.\What did Mei Lin-chan say? response:	She told me not to tell her on the phone.
context: I've made a promise.\Before I knew who the person I like was,\Mei Lin will still be my fiancee So'\You want to tell Mei Lin-chan how you feel?\I called her last night,\I said there were things that we have to talk about.\What did Mei Lin-chan say?\She told me not to tell her on the phone. response:	I told her I want to tell her in person
context: Before I knew who the person I like was,\Mei Lin will still be my fiancee So'\You want to tell Mei Lin-chan how you feel?\I called her last night,\I said there were things that we have to talk about.\What did Mei Lin-chan say?\She told me not to tell her on the phone.\I told her I want to tell her in person response:	and she said she understood.
context: Mei Lin will still be my fiancee So'\You want to tell Mei Lin-chan how you feel?\I called her last night,\I said there were things that we have to talk about.\What did Mei Lin-chan say?\She told me not to tell her on the phone.\I told her I want to tell her in person\and she said she understood. response:	Really?
context: You want to tell Mei Lin-chan how you feel?\I called her last night,\I said there were things that we have to talk about.\What did Mei Lin-chan say?\She told me not to tell her on the phone.\I told her I want to tell her in person\and she said she understood.\Really? response:	I really want to talk to Mei Lin. And after that'
context: I called her last night,\I said there were things that we have to talk about.\What did Mei Lin-chan say?\She told me not to tell her on the phone.\I told her I want to tell her in person\and she said she understood.\Really?\I really want to talk to Mei Lin. And after that' response:	I'll tell Sakura what I feel.
context: I said there were things that we have to talk about.\What did Mei Lin-chan say?\She told me not to tell her on the phone.\I told her I want to tell her in person\and she said she understood.\Really?\I really want to talk to Mei Lin. And after that'\I'll tell Sakura what I feel. response:	When will you see Mei Lin-chan again?
context: What did Mei Lin-chan say?\She told me not to tell her on the phone.\I told her I want to tell her in person\and she said she understood.\Really?\I really want to talk to Mei Lin. And after that'\I'll tell Sakura what I feel.\When will you see Mei Lin-chan again? response:	I'm going back to Hong Kong during winter vacation'
context: She told me not to tell her on the phone.\I told her I want to tell her in person\and she said she understood.\Really?\I really want to talk to Mei Lin. And after that'\I'll tell Sakura what I feel.\When will you see Mei Lin-chan again?\I'm going back to Hong Kong during winter vacation' response:	I can't wait that long!
context: I told her I want to tell her in person\and she said she understood.\Really?\I really want to talk to Mei Lin. And after that'\I'll tell Sakura what I feel.\When will you see Mei Lin-chan again?\I'm going back to Hong Kong during winter vacation'\I can't wait that long! response:	Mei Lin-chan!
context: and she said she understood.\Really?\I really want to talk to Mei Lin. And after that'\I'll tell Sakura what I feel.\When will you see Mei Lin-chan again?\I'm going back to Hong Kong during winter vacation'\I can't wait that long!\Mei Lin-chan! response:	When you called her
context: Really?\I really want to talk to Mei Lin. And after that'\I'll tell Sakura what I feel.\When will you see Mei Lin-chan again?\I'm going back to Hong Kong during winter vacation'\I can't wait that long!\Mei Lin-chan!\When you called her response:	she immediately came.
context: I really want to talk to Mei Lin. And after that'\I'll tell Sakura what I feel.\When will you see Mei Lin-chan again?\I'm going back to Hong Kong during winter vacation'\I can't wait that long!\Mei Lin-chan!\When you called her\she immediately came. response:	Mei Lin can't wait until Christmas.
context: I'll tell Sakura what I feel.\When will you see Mei Lin-chan again?\I'm going back to Hong Kong during winter vacation'\I can't wait that long!\Mei Lin-chan!\When you called her\she immediately came.\Mei Lin can't wait until Christmas. response:	Mei Lin-chan!
context: When will you see Mei Lin-chan again?\I'm going back to Hong Kong during winter vacation'\I can't wait that long!\Mei Lin-chan!\When you called her\she immediately came.\Mei Lin can't wait until Christmas.\Mei Lin-chan! response:	It's been a long time since I've seen you!
context: I'm going back to Hong Kong during winter vacation'\I can't wait that long!\Mei Lin-chan!\When you called her\she immediately came.\Mei Lin can't wait until Christmas.\Mei Lin-chan!\It's been a long time since I've seen you! response:	How come you're here?
context: I can't wait that long!\Mei Lin-chan!\When you called her\she immediately came.\Mei Lin can't wait until Christmas.\Mei Lin-chan!\It's been a long time since I've seen you!\How come you're here? response:	I came to sort things out.
context: Mei Lin-chan!\When you called her\she immediately came.\Mei Lin can't wait until Christmas.\Mei Lin-chan!\It's been a long time since I've seen you!\How come you're here?\I came to sort things out. response:	Right, Shao Lan?
context: When you called her\she immediately came.\Mei Lin can't wait until Christmas.\Mei Lin-chan!\It's been a long time since I've seen you!\How come you're here?\I came to sort things out.\Right, Shao Lan? response:	How long are you staying here?
context: she immediately came.\Mei Lin can't wait until Christmas.\Mei Lin-chan!\It's been a long time since I've seen you!\How come you're here?\I came to sort things out.\Right, Shao Lan?\How long are you staying here? response:	I still have to go to school so I'm leaving tomorrow.
context: Mei Lin can't wait until Christmas.\Mei Lin-chan!\It's been a long time since I've seen you!\How come you're here?\I came to sort things out.\Right, Shao Lan?\How long are you staying here?\I still have to go to school so I'm leaving tomorrow. response:	Tomorrow?
context: Mei Lin-chan!\It's been a long time since I've seen you!\How come you're here?\I came to sort things out.\Right, Shao Lan?\How long are you staying here?\I still have to go to school so I'm leaving tomorrow.\Tomorrow? response:	Your leaving so soon?
context: It's been a long time since I've seen you!\How come you're here?\I came to sort things out.\Right, Shao Lan?\How long are you staying here?\I still have to go to school so I'm leaving tomorrow.\Tomorrow?\Your leaving so soon? response:	So today!
context: How come you're here?\I came to sort things out.\Right, Shao Lan?\How long are you staying here?\I still have to go to school so I'm leaving tomorrow.\Tomorrow?\Your leaving so soon?\So today! response:	Today after school we can go together and play.
context: I came to sort things out.\Right, Shao Lan?\How long are you staying here?\I still have to go to school so I'm leaving tomorrow.\Tomorrow?\Your leaving so soon?\So today!\Today after school we can go together and play. response:	But,
context: Right, Shao Lan?\How long are you staying here?\I still have to go to school so I'm leaving tomorrow.\Tomorrow?\Your leaving so soon?\So today!\Today after school we can go together and play.\But, response:	you came to sort things out'
context: How long are you staying here?\I still have to go to school so I'm leaving tomorrow.\Tomorrow?\Your leaving so soon?\So today!\Today after school we can go together and play.\But,\you came to sort things out' response:	You're still the same,
context: I still have to go to school so I'm leaving tomorrow.\Tomorrow?\Your leaving so soon?\So today!\Today after school we can go together and play.\But,\you came to sort things out'\You're still the same, response:	Kinomoto-san!
context: Tomorrow?\Your leaving so soon?\So today!\Today after school we can go together and play.\But,\you came to sort things out'\You're still the same,\Kinomoto-san! response:	So after school in at the front of the school.
context: Your leaving so soon?\So today!\Today after school we can go together and play.\But,\you came to sort things out'\You're still the same,\Kinomoto-san!\So after school in at the front of the school. response:	That's too bad,
context: So today!\Today after school we can go together and play.\But,\you came to sort things out'\You're still the same,\Kinomoto-san!\So after school in at the front of the school.\That's too bad, response:	I have ice skating after school.
context: Today after school we can go together and play.\But,\you came to sort things out'\You're still the same,\Kinomoto-san!\So after school in at the front of the school.\That's too bad,\I have ice skating after school. response:	' I have piano'' Me too'
context: But,\you came to sort things out'\You're still the same,\Kinomoto-san!\So after school in at the front of the school.\That's too bad,\I have ice skating after school.\' I have piano'' Me too' response:	You have to have fun
context: you came to sort things out'\You're still the same,\Kinomoto-san!\So after school in at the front of the school.\That's too bad,\I have ice skating after school.\' I have piano'' Me too'\You have to have fun response:	with Mei Lin-chan for us then.
context: You're still the same,\Kinomoto-san!\So after school in at the front of the school.\That's too bad,\I have ice skating after school.\' I have piano'' Me too'\You have to have fun\with Mei Lin-chan for us then. response:	So, I'm going to go say hi to the Terada sensei.
context: Kinomoto-san!\So after school in at the front of the school.\That's too bad,\I have ice skating after school.\' I have piano'' Me too'\You have to have fun\with Mei Lin-chan for us then.\So, I'm going to go say hi to the Terada sensei. response:	See you later!
context: So after school in at the front of the school.\That's too bad,\I have ice skating after school.\' I have piano'' Me too'\You have to have fun\with Mei Lin-chan for us then.\So, I'm going to go say hi to the Terada sensei.\See you later! response:	Shao Lan! I'll be right back
context: That's too bad,\I have ice skating after school.\' I have piano'' Me too'\You have to have fun\with Mei Lin-chan for us then.\So, I'm going to go say hi to the Terada sensei.\See you later!\Shao Lan! I'll be right back response:	Who is it? I'm playing video games!
context: I have ice skating after school.\' I have piano'' Me too'\You have to have fun\with Mei Lin-chan for us then.\So, I'm going to go say hi to the Terada sensei.\See you later!\Shao Lan! I'll be right back\Who is it? I'm playing video games! response:	Why don't you call another time?
context: ' I have piano'' Me too'\You have to have fun\with Mei Lin-chan for us then.\So, I'm going to go say hi to the Terada sensei.\See you later!\Shao Lan! I'll be right back\Who is it? I'm playing video games!\Why don't you call another time? response:	Kero-chan, you're playing video games again?
context: You have to have fun\with Mei Lin-chan for us then.\So, I'm going to go say hi to the Terada sensei.\See you later!\Shao Lan! I'll be right back\Who is it? I'm playing video games!\Why don't you call another time?\Kero-chan, you're playing video games again? response:	Oh, it's Sakura!
context: with Mei Lin-chan for us then.\So, I'm going to go say hi to the Terada sensei.\See you later!\Shao Lan! I'll be right back\Who is it? I'm playing video games!\Why don't you call another time?\Kero-chan, you're playing video games again?\Oh, it's Sakura! response:	Call me later after I play this game.
context: So, I'm going to go say hi to the Terada sensei.\See you later!\Shao Lan! I'll be right back\Who is it? I'm playing video games!\Why don't you call another time?\Kero-chan, you're playing video games again?\Oh, it's Sakura!\Call me later after I play this game. response:	Today I saw Mei Lin-chan.
context: See you later!\Shao Lan! I'll be right back\Who is it? I'm playing video games!\Why don't you call another time?\Kero-chan, you're playing video games again?\Oh, it's Sakura!\Call me later after I play this game.\Today I saw Mei Lin-chan. response:	So I'm going to come home late
context: Shao Lan! I'll be right back\Who is it? I'm playing video games!\Why don't you call another time?\Kero-chan, you're playing video games again?\Oh, it's Sakura!\Call me later after I play this game.\Today I saw Mei Lin-chan.\So I'm going to come home late response:	so if I open the door don't worry
context: Who is it? I'm playing video games!\Why don't you call another time?\Kero-chan, you're playing video games again?\Oh, it's Sakura!\Call me later after I play this game.\Today I saw Mei Lin-chan.\So I'm going to come home late\so if I open the door don't worry response:	That girl is back?
context: Why don't you call another time?\Kero-chan, you're playing video games again?\Oh, it's Sakura!\Call me later after I play this game.\Today I saw Mei Lin-chan.\So I'm going to come home late\so if I open the door don't worry\That girl is back? response:	But she said that she is leaving tomorrow.
context: Kero-chan, you're playing video games again?\Oh, it's Sakura!\Call me later after I play this game.\Today I saw Mei Lin-chan.\So I'm going to come home late\so if I open the door don't worry\That girl is back?\But she said that she is leaving tomorrow. response:	So today I want to talk with her.
context: Oh, it's Sakura!\Call me later after I play this game.\Today I saw Mei Lin-chan.\So I'm going to come home late\so if I open the door don't worry\That girl is back?\But she said that she is leaving tomorrow.\So today I want to talk with her. response:	Tell that girl,
context: Call me later after I play this game.\Today I saw Mei Lin-chan.\So I'm going to come home late\so if I open the door don't worry\That girl is back?\But she said that she is leaving tomorrow.\So today I want to talk with her.\Tell that girl, response:	even though the way
context: Today I saw Mei Lin-chan.\So I'm going to come home late\so if I open the door don't worry\That girl is back?\But she said that she is leaving tomorrow.\So today I want to talk with her.\Tell that girl,\even though the way response:	that I look isn't very scary, I can get her
context: So I'm going to come home late\so if I open the door don't worry\That girl is back?\But she said that she is leaving tomorrow.\So today I want to talk with her.\Tell that girl,\even though the way\that I look isn't very scary, I can get her response:	to see how cool I am in my original form next time.
context: so if I open the door don't worry\That girl is back?\But she said that she is leaving tomorrow.\So today I want to talk with her.\Tell that girl,\even though the way\that I look isn't very scary, I can get her\to see how cool I am in my original form next time. response:	Cooker' remember to press the button.
context: That girl is back?\But she said that she is leaving tomorrow.\So today I want to talk with her.\Tell that girl,\even though the way\that I look isn't very scary, I can get her\to see how cool I am in my original form next time.\Cooker' remember to press the button. response:	Sorry that
context: But she said that she is leaving tomorrow.\So today I want to talk with her.\Tell that girl,\even though the way\that I look isn't very scary, I can get her\to see how cool I am in my original form next time.\Cooker' remember to press the button.\Sorry that response:	I overheard you talking on the phone.
context: So today I want to talk with her.\Tell that girl,\even though the way\that I look isn't very scary, I can get her\to see how cool I am in my original form next time.\Cooker' remember to press the button.\Sorry that\I overheard you talking on the phone. response:	No, nothing private.
context: Tell that girl,\even though the way\that I look isn't very scary, I can get her\to see how cool I am in my original form next time.\Cooker' remember to press the button.\Sorry that\I overheard you talking on the phone.\No, nothing private. response:	A new girl came in our class that I've never seen before.
context: even though the way\that I look isn't very scary, I can get her\to see how cool I am in my original form next time.\Cooker' remember to press the button.\Sorry that\I overheard you talking on the phone.\No, nothing private.\A new girl came in our class that I've never seen before. response:	' With long hair'' Her name is Li Mei Lin-chan,
context: that I look isn't very scary, I can get her\to see how cool I am in my original form next time.\Cooker' remember to press the button.\Sorry that\I overheard you talking on the phone.\No, nothing private.\A new girl came in our class that I've never seen before.\' With long hair'' Her name is Li Mei Lin-chan, response:	she is an old student
context: to see how cool I am in my original form next time.\Cooker' remember to press the button.\Sorry that\I overheard you talking on the phone.\No, nothing private.\A new girl came in our class that I've never seen before.\' With long hair'' Her name is Li Mei Lin-chan,\she is an old student response:	After the school year she went back to Hong Kong.
context: Cooker' remember to press the button.\Sorry that\I overheard you talking on the phone.\No, nothing private.\A new girl came in our class that I've never seen before.\' With long hair'' Her name is Li Mei Lin-chan,\she is an old student\After the school year she went back to Hong Kong. response:	She sat where
context: Sorry that\I overheard you talking on the phone.\No, nothing private.\A new girl came in our class that I've never seen before.\' With long hair'' Her name is Li Mei Lin-chan,\she is an old student\After the school year she went back to Hong Kong.\She sat where response:	you sit right now
context: I overheard you talking on the phone.\No, nothing private.\A new girl came in our class that I've never seen before.\' With long hair'' Her name is Li Mei Lin-chan,\she is an old student\After the school year she went back to Hong Kong.\She sat where\you sit right now response:	She is Shao Lan-kun's cousin.
context: No, nothing private.\A new girl came in our class that I've never seen before.\' With long hair'' Her name is Li Mei Lin-chan,\she is an old student\After the school year she went back to Hong Kong.\She sat where\you sit right now\She is Shao Lan-kun's cousin. response:	So it's like that!
context: A new girl came in our class that I've never seen before.\' With long hair'' Her name is Li Mei Lin-chan,\she is an old student\After the school year she went back to Hong Kong.\She sat where\you sit right now\She is Shao Lan-kun's cousin.\So it's like that! response:	We said that today after class we will meet each other and play.
context: ' With long hair'' Her name is Li Mei Lin-chan,\she is an old student\After the school year she went back to Hong Kong.\She sat where\you sit right now\She is Shao Lan-kun's cousin.\So it's like that!\We said that today after class we will meet each other and play. response:	Be careful.
context: she is an old student\After the school year she went back to Hong Kong.\She sat where\you sit right now\She is Shao Lan-kun's cousin.\So it's like that!\We said that today after class we will meet each other and play.\Be careful. response:	When it becomes dark, it is dangerous.
context: After the school year she went back to Hong Kong.\She sat where\you sit right now\She is Shao Lan-kun's cousin.\So it's like that!\We said that today after class we will meet each other and play.\Be careful.\When it becomes dark, it is dangerous. response:	Thank you!
context: She sat where\you sit right now\She is Shao Lan-kun's cousin.\So it's like that!\We said that today after class we will meet each other and play.\Be careful.\When it becomes dark, it is dangerous.\Thank you! response:	Why do you keep on smiling at me?
context: you sit right now\She is Shao Lan-kun's cousin.\So it's like that!\We said that today after class we will meet each other and play.\Be careful.\When it becomes dark, it is dangerous.\Thank you!\Why do you keep on smiling at me? response:	Because I get to see you, that makes me very happy.
context: She is Shao Lan-kun's cousin.\So it's like that!\We said that today after class we will meet each other and play.\Be careful.\When it becomes dark, it is dangerous.\Thank you!\Why do you keep on smiling at me?\Because I get to see you, that makes me very happy. response:	' Just because of that small thing?' It's not a small thing.
context: So it's like that!\We said that today after class we will meet each other and play.\Be careful.\When it becomes dark, it is dangerous.\Thank you!\Why do you keep on smiling at me?\Because I get to see you, that makes me very happy.\' Just because of that small thing?' It's not a small thing. response:	Being able to see you, I'm very happy!
context: We said that today after class we will meet each other and play.\Be careful.\When it becomes dark, it is dangerous.\Thank you!\Why do you keep on smiling at me?\Because I get to see you, that makes me very happy.\' Just because of that small thing?' It's not a small thing.\Being able to see you, I'm very happy! response:	Really?
context: Be careful.\When it becomes dark, it is dangerous.\Thank you!\Why do you keep on smiling at me?\Because I get to see you, that makes me very happy.\' Just because of that small thing?' It's not a small thing.\Being able to see you, I'm very happy!\Really? response:	When I saw you I was also very happy.
context: When it becomes dark, it is dangerous.\Thank you!\Why do you keep on smiling at me?\Because I get to see you, that makes me very happy.\' Just because of that small thing?' It's not a small thing.\Being able to see you, I'm very happy!\Really?\When I saw you I was also very happy. response:	By the way,
context: Thank you!\Why do you keep on smiling at me?\Because I get to see you, that makes me very happy.\' Just because of that small thing?' It's not a small thing.\Being able to see you, I'm very happy!\Really?\When I saw you I was also very happy.\By the way, response:	Your the new Clow cards master?
context: Why do you keep on smiling at me?\Because I get to see you, that makes me very happy.\' Just because of that small thing?' It's not a small thing.\Being able to see you, I'm very happy!\Really?\When I saw you I was also very happy.\By the way,\Your the new Clow cards master? response:	Yes.
context: Because I get to see you, that makes me very happy.\' Just because of that small thing?' It's not a small thing.\Being able to see you, I'm very happy!\Really?\When I saw you I was also very happy.\By the way,\Your the new Clow cards master?\Yes. response:	But there is still some problems right?
context: ' Just because of that small thing?' It's not a small thing.\Being able to see you, I'm very happy!\Really?\When I saw you I was also very happy.\By the way,\Your the new Clow cards master?\Yes.\But there is still some problems right? response:	Yeah.
context: Being able to see you, I'm very happy!\Really?\When I saw you I was also very happy.\By the way,\Your the new Clow cards master?\Yes.\But there is still some problems right?\Yeah. response:	Are you ok? You look like a dummy'
context: Really?\When I saw you I was also very happy.\By the way,\Your the new Clow cards master?\Yes.\But there is still some problems right?\Yeah.\Are you ok? You look like a dummy' response:	' What dummy?' Dummy looks is a dummy.
context: When I saw you I was also very happy.\By the way,\Your the new Clow cards master?\Yes.\But there is still some problems right?\Yeah.\Are you ok? You look like a dummy'\' What dummy?' Dummy looks is a dummy. response:	No need to say it, you already know.
context: By the way,\Your the new Clow cards master?\Yes.\But there is still some problems right?\Yeah.\Are you ok? You look like a dummy'\' What dummy?' Dummy looks is a dummy.\No need to say it, you already know. response:	But it's no big deal.
context: Your the new Clow cards master?\Yes.\But there is still some problems right?\Yeah.\Are you ok? You look like a dummy'\' What dummy?' Dummy looks is a dummy.\No need to say it, you already know.\But it's no big deal. response:	You can stop looking like a dummy'
context: Yes.\But there is still some problems right?\Yeah.\Are you ok? You look like a dummy'\' What dummy?' Dummy looks is a dummy.\No need to say it, you already know.\But it's no big deal.\You can stop looking like a dummy' response:	Today?
context: But there is still some problems right?\Yeah.\Are you ok? You look like a dummy'\' What dummy?' Dummy looks is a dummy.\No need to say it, you already know.\But it's no big deal.\You can stop looking like a dummy'\Today? response:	Are you going to tell Mei Lin-chan today?
context: Yeah.\Are you ok? You look like a dummy'\' What dummy?' Dummy looks is a dummy.\No need to say it, you already know.\But it's no big deal.\You can stop looking like a dummy'\Today?\Are you going to tell Mei Lin-chan today? response:	Tonight I'll tell her how I feel.
context: Are you ok? You look like a dummy'\' What dummy?' Dummy looks is a dummy.\No need to say it, you already know.\But it's no big deal.\You can stop looking like a dummy'\Today?\Are you going to tell Mei Lin-chan today?\Tonight I'll tell her how I feel. response:	If I didn't tell her,
context: ' What dummy?' Dummy looks is a dummy.\No need to say it, you already know.\But it's no big deal.\You can stop looking like a dummy'\Today?\Are you going to tell Mei Lin-chan today?\Tonight I'll tell her how I feel.\If I didn't tell her, response:	I'd break the promise.
context: No need to say it, you already know.\But it's no big deal.\You can stop looking like a dummy'\Today?\Are you going to tell Mei Lin-chan today?\Tonight I'll tell her how I feel.\If I didn't tell her,\I'd break the promise. response:	I want to keep my promise with Mei Lin no matter what.
context: But it's no big deal.\You can stop looking like a dummy'\Today?\Are you going to tell Mei Lin-chan today?\Tonight I'll tell her how I feel.\If I didn't tell her,\I'd break the promise.\I want to keep my promise with Mei Lin no matter what. response:	Since you are that kind of person,
context: You can stop looking like a dummy'\Today?\Are you going to tell Mei Lin-chan today?\Tonight I'll tell her how I feel.\If I didn't tell her,\I'd break the promise.\I want to keep my promise with Mei Lin no matter what.\Since you are that kind of person, response:	Mei Lin-chan likes you.
context: Today?\Are you going to tell Mei Lin-chan today?\Tonight I'll tell her how I feel.\If I didn't tell her,\I'd break the promise.\I want to keep my promise with Mei Lin no matter what.\Since you are that kind of person,\Mei Lin-chan likes you. response:	It opened again, the store that sells juice.
context: Are you going to tell Mei Lin-chan today?\Tonight I'll tell her how I feel.\If I didn't tell her,\I'd break the promise.\I want to keep my promise with Mei Lin no matter what.\Since you are that kind of person,\Mei Lin-chan likes you.\It opened again, the store that sells juice. response:	That place's drinks taste really really good!
context: Tonight I'll tell her how I feel.\If I didn't tell her,\I'd break the promise.\I want to keep my promise with Mei Lin no matter what.\Since you are that kind of person,\Mei Lin-chan likes you.\It opened again, the store that sells juice.\That place's drinks taste really really good! response:	Really?
context: If I didn't tell her,\I'd break the promise.\I want to keep my promise with Mei Lin no matter what.\Since you are that kind of person,\Mei Lin-chan likes you.\It opened again, the store that sells juice.\That place's drinks taste really really good!\Really? response:	Why don't we talk there?
context: I'd break the promise.\I want to keep my promise with Mei Lin no matter what.\Since you are that kind of person,\Mei Lin-chan likes you.\It opened again, the store that sells juice.\That place's drinks taste really really good!\Really?\Why don't we talk there? response:	OK.
context: I want to keep my promise with Mei Lin no matter what.\Since you are that kind of person,\Mei Lin-chan likes you.\It opened again, the store that sells juice.\That place's drinks taste really really good!\Really?\Why don't we talk there?\OK. response:	What's wrong?
context: Since you are that kind of person,\Mei Lin-chan likes you.\It opened again, the store that sells juice.\That place's drinks taste really really good!\Really?\Why don't we talk there?\OK.\What's wrong? response:	Its Clow-san's presence!
context: Mei Lin-chan likes you.\It opened again, the store that sells juice.\That place's drinks taste really really good!\Really?\Why don't we talk there?\OK.\What's wrong?\Its Clow-san's presence! response:	I feel the aura of strong magic.
context: It opened again, the store that sells juice.\That place's drinks taste really really good!\Really?\Why don't we talk there?\OK.\What's wrong?\Its Clow-san's presence!\I feel the aura of strong magic. response:	What?
context: That place's drinks taste really really good!\Really?\Why don't we talk there?\OK.\What's wrong?\Its Clow-san's presence!\I feel the aura of strong magic.\What? response:	What is that???
context: Really?\Why don't we talk there?\OK.\What's wrong?\Its Clow-san's presence!\I feel the aura of strong magic.\What?\What is that??? response:	Tomoyo-chan, Shao Lan-kun.
context: Why don't we talk there?\OK.\What's wrong?\Its Clow-san's presence!\I feel the aura of strong magic.\What?\What is that???\Tomoyo-chan, Shao Lan-kun. response:	Are these the kind of problems you just said?
context: OK.\What's wrong?\Its Clow-san's presence!\I feel the aura of strong magic.\What?\What is that???\Tomoyo-chan, Shao Lan-kun.\Are these the kind of problems you just said? response:	Watch out!
