context: What are you doing?! response:	You looked cold, so I thought I'd be a blanket for you.
context: It's hard for her dodge attacks with those.\I don't mean combat weaknesses!\Hmm, in that case, probably liquor.\Liquor?\Didn't Lucoa-san say she could hold her liquor well?\Well, she can hold her alcohol well.\But it's not that. It's that she's a sucker for liquor.\She's usually well guarded, but she'll drink liquor without caution. response:	So, if you put poison or such in liquor, she won't even notice.
context: I don't mean combat weaknesses!\Hmm, in that case, probably liquor.\Liquor?\Didn't Lucoa-san say she could hold her liquor well?\Well, she can hold her alcohol well.\But it's not that. It's that she's a sucker for liquor.\She's usually well guarded, but she'll drink liquor without caution.\So, if you put poison or such in liquor, she won't even notice. response:	That would kill her, though!
context: Hmm, in that case, probably liquor.\Liquor?\Didn't Lucoa-san say she could hold her liquor well?\Well, she can hold her alcohol well.\But it's not that. It's that she's a sucker for liquor.\She's usually well guarded, but she'll drink liquor without caution.\So, if you put poison or such in liquor, she won't even notice.\That would kill her, though! response:	You're asking about weaknesses,
context: Liquor?\Didn't Lucoa-san say she could hold her liquor well?\Well, she can hold her alcohol well.\But it's not that. It's that she's a sucker for liquor.\She's usually well guarded, but she'll drink liquor without caution.\So, if you put poison or such in liquor, she won't even notice.\That would kill her, though!\You're asking about weaknesses, response:	but from a dragon's point of view we humans are just full of weaknesses.
context: Didn't Lucoa-san say she could hold her liquor well?\Well, she can hold her alcohol well.\But it's not that. It's that she's a sucker for liquor.\She's usually well guarded, but she'll drink liquor without caution.\So, if you put poison or such in liquor, she won't even notice.\That would kill her, though!\You're asking about weaknesses,\but from a dragon's point of view we humans are just full of weaknesses. response:	Even if you manage to get something over her, do you think that would sway Lucoa-san?
context: Well, she can hold her alcohol well.\But it's not that. It's that she's a sucker for liquor.\She's usually well guarded, but she'll drink liquor without caution.\So, if you put poison or such in liquor, she won't even notice.\That would kill her, though!\You're asking about weaknesses,\but from a dragon's point of view we humans are just full of weaknesses.\Even if you manage to get something over her, do you think that would sway Lucoa-san? response:	Isn't your current relationship good enough?
context: But it's not that. It's that she's a sucker for liquor.\She's usually well guarded, but she'll drink liquor without caution.\So, if you put poison or such in liquor, she won't even notice.\That would kill her, though!\You're asking about weaknesses,\but from a dragon's point of view we humans are just full of weaknesses.\Even if you manage to get something over her, do you think that would sway Lucoa-san?\Isn't your current relationship good enough? response:	It's not.
context: She's usually well guarded, but she'll drink liquor without caution.\So, if you put poison or such in liquor, she won't even notice.\That would kill her, though!\You're asking about weaknesses,\but from a dragon's point of view we humans are just full of weaknesses.\Even if you manage to get something over her, do you think that would sway Lucoa-san?\Isn't your current relationship good enough?\It's not. response:	Lucoa...
context: So, if you put poison or such in liquor, she won't even notice.\That would kill her, though!\You're asking about weaknesses,\but from a dragon's point of view we humans are just full of weaknesses.\Even if you manage to get something over her, do you think that would sway Lucoa-san?\Isn't your current relationship good enough?\It's not.\Lucoa... response:	she's always wandering around somewhere,
context: That would kill her, though!\You're asking about weaknesses,\but from a dragon's point of view we humans are just full of weaknesses.\Even if you manage to get something over her, do you think that would sway Lucoa-san?\Isn't your current relationship good enough?\It's not.\Lucoa...\she's always wandering around somewhere, response:	or teasing me,
context: You're asking about weaknesses,\but from a dragon's point of view we humans are just full of weaknesses.\Even if you manage to get something over her, do you think that would sway Lucoa-san?\Isn't your current relationship good enough?\It's not.\Lucoa...\she's always wandering around somewhere,\or teasing me, response:	or making fun of me.
context: but from a dragon's point of view we humans are just full of weaknesses.\Even if you manage to get something over her, do you think that would sway Lucoa-san?\Isn't your current relationship good enough?\It's not.\Lucoa...\she's always wandering around somewhere,\or teasing me,\or making fun of me. response:	She doesn't respect me.
context: Even if you manage to get something over her, do you think that would sway Lucoa-san?\Isn't your current relationship good enough?\It's not.\Lucoa...\she's always wandering around somewhere,\or teasing me,\or making fun of me.\She doesn't respect me. response:	That's why I want to strike at one of her weaknesses
context: Isn't your current relationship good enough?\It's not.\Lucoa...\she's always wandering around somewhere,\or teasing me,\or making fun of me.\She doesn't respect me.\That's why I want to strike at one of her weaknesses response:	and prove myself to her.
context: It's not.\Lucoa...\she's always wandering around somewhere,\or teasing me,\or making fun of me.\She doesn't respect me.\That's why I want to strike at one of her weaknesses\and prove myself to her. response:	I believe she already respects you, though.
context: Lucoa...\she's always wandering around somewhere,\or teasing me,\or making fun of me.\She doesn't respect me.\That's why I want to strike at one of her weaknesses\and prove myself to her.\I believe she already respects you, though. response:	Huh?
context: she's always wandering around somewhere,\or teasing me,\or making fun of me.\She doesn't respect me.\That's why I want to strike at one of her weaknesses\and prove myself to her.\I believe she already respects you, though.\Huh? response:	Miss Lucoa was never the type to stay in one place for very long.
context: or teasing me,\or making fun of me.\She doesn't respect me.\That's why I want to strike at one of her weaknesses\and prove myself to her.\I believe she already respects you, though.\Huh?\Miss Lucoa was never the type to stay in one place for very long. response:	The fact that she's still with you means she does like you.
context: or making fun of me.\She doesn't respect me.\That's why I want to strike at one of her weaknesses\and prove myself to her.\I believe she already respects you, though.\Huh?\Miss Lucoa was never the type to stay in one place for very long.\The fact that she's still with you means she does like you. response:	Huh? Shouta-kun?
context: She doesn't respect me.\That's why I want to strike at one of her weaknesses\and prove myself to her.\I believe she already respects you, though.\Huh?\Miss Lucoa was never the type to stay in one place for very long.\The fact that she's still with you means she does like you.\Huh? Shouta-kun? response:	You were here?
context: That's why I want to strike at one of her weaknesses\and prove myself to her.\I believe she already respects you, though.\Huh?\Miss Lucoa was never the type to stay in one place for very long.\The fact that she's still with you means she does like you.\Huh? Shouta-kun?\You were here? response:	H-How long have you been here?!
context: and prove myself to her.\I believe she already respects you, though.\Huh?\Miss Lucoa was never the type to stay in one place for very long.\The fact that she's still with you means she does like you.\Huh? Shouta-kun?\You were here?\H-How long have you been here?! response:	I just arrived.
context: I believe she already respects you, though.\Huh?\Miss Lucoa was never the type to stay in one place for very long.\The fact that she's still with you means she does like you.\Huh? Shouta-kun?\You were here?\H-How long have you been here?!\I just arrived. response:	I-I'm going home.
context: Huh?\Miss Lucoa was never the type to stay in one place for very long.\The fact that she's still with you means she does like you.\Huh? Shouta-kun?\You were here?\H-How long have you been here?!\I just arrived.\I-I'm going home. response:	I'll escort you, then.
context: Miss Lucoa was never the type to stay in one place for very long.\The fact that she's still with you means she does like you.\Huh? Shouta-kun?\You were here?\H-How long have you been here?!\I just arrived.\I-I'm going home.\I'll escort you, then. response:	Nice seeing you.
context: The fact that she's still with you means she does like you.\Huh? Shouta-kun?\You were here?\H-How long have you been here?!\I just arrived.\I-I'm going home.\I'll escort you, then.\Nice seeing you. response:	I would have told you my weakness if you just asked.
context: Huh? Shouta-kun?\You were here?\H-How long have you been here?!\I just arrived.\I-I'm going home.\I'll escort you, then.\Nice seeing you.\I would have told you my weakness if you just asked. response:	Huh?
context: You were here?\H-How long have you been here?!\I just arrived.\I-I'm going home.\I'll escort you, then.\Nice seeing you.\I would have told you my weakness if you just asked.\Huh? response:	The thing I hate most is losing a home.
context: H-How long have you been here?!\I just arrived.\I-I'm going home.\I'll escort you, then.\Nice seeing you.\I would have told you my weakness if you just asked.\Huh?\The thing I hate most is losing a home. response:	I once made a huge mistake, you know.
context: I just arrived.\I-I'm going home.\I'll escort you, then.\Nice seeing you.\I would have told you my weakness if you just asked.\Huh?\The thing I hate most is losing a home.\I once made a huge mistake, you know. response:	So I was driven out of my homeland.
context: I-I'm going home.\I'll escort you, then.\Nice seeing you.\I would have told you my weakness if you just asked.\Huh?\The thing I hate most is losing a home.\I once made a huge mistake, you know.\So I was driven out of my homeland. response:	It made me very sad.
context: I'll escort you, then.\Nice seeing you.\I would have told you my weakness if you just asked.\Huh?\The thing I hate most is losing a home.\I once made a huge mistake, you know.\So I was driven out of my homeland.\It made me very sad. response:	Ever since then, I've been afraid of settling in one place.
context: Nice seeing you.\I would have told you my weakness if you just asked.\Huh?\The thing I hate most is losing a home.\I once made a huge mistake, you know.\So I was driven out of my homeland.\It made me very sad.\Ever since then, I've been afraid of settling in one place. response:	But then a friend I thought would never have a home
context: I would have told you my weakness if you just asked.\Huh?\The thing I hate most is losing a home.\I once made a huge mistake, you know.\So I was driven out of my homeland.\It made me very sad.\Ever since then, I've been afraid of settling in one place.\But then a friend I thought would never have a home response:	found one for herself.
context: Huh?\The thing I hate most is losing a home.\I once made a huge mistake, you know.\So I was driven out of my homeland.\It made me very sad.\Ever since then, I've been afraid of settling in one place.\But then a friend I thought would never have a home\found one for herself. response:	It made me kind of jealous.
context: The thing I hate most is losing a home.\I once made a huge mistake, you know.\So I was driven out of my homeland.\It made me very sad.\Ever since then, I've been afraid of settling in one place.\But then a friend I thought would never have a home\found one for herself.\It made me kind of jealous. response:	So that's why you came to me?
context: I once made a huge mistake, you know.\So I was driven out of my homeland.\It made me very sad.\Ever since then, I've been afraid of settling in one place.\But then a friend I thought would never have a home\found one for herself.\It made me kind of jealous.\So that's why you came to me? response:	But... why me?
context: So I was driven out of my homeland.\It made me very sad.\Ever since then, I've been afraid of settling in one place.\But then a friend I thought would never have a home\found one for herself.\It made me kind of jealous.\So that's why you came to me?\But... why me? response:	You're the one who said it, you know.
context: It made me very sad.\Ever since then, I've been afraid of settling in one place.\But then a friend I thought would never have a home\found one for herself.\It made me kind of jealous.\So that's why you came to me?\But... why me?\You're the one who said it, you know. response:	You asked me to be here with you.
context: Ever since then, I've been afraid of settling in one place.\But then a friend I thought would never have a home\found one for herself.\It made me kind of jealous.\So that's why you came to me?\But... why me?\You're the one who said it, you know.\You asked me to be here with you. response:	I was so happy to hear that.
context: But then a friend I thought would never have a home\found one for herself.\It made me kind of jealous.\So that's why you came to me?\But... why me?\You're the one who said it, you know.\You asked me to be here with you.\I was so happy to hear that. response:	But that was as a familiar...
context: found one for herself.\It made me kind of jealous.\So that's why you came to me?\But... why me?\You're the one who said it, you know.\You asked me to be here with you.\I was so happy to hear that.\But that was as a familiar... response:	To be honest, I already know.
context: It made me kind of jealous.\So that's why you came to me?\But... why me?\You're the one who said it, you know.\You asked me to be here with you.\I was so happy to hear that.\But that was as a familiar...\To be honest, I already know. response:	You're an incredible being and I'm not a good match for you, as immature as I am.
context: So that's why you came to me?\But... why me?\You're the one who said it, you know.\You asked me to be here with you.\I was so happy to hear that.\But that was as a familiar...\To be honest, I already know.\You're an incredible being and I'm not a good match for you, as immature as I am. response:	That's right.
context: But... why me?\You're the one who said it, you know.\You asked me to be here with you.\I was so happy to hear that.\But that was as a familiar...\To be honest, I already know.\You're an incredible being and I'm not a good match for you, as immature as I am.\That's right. response:	I am an incredible familiar, so I understood you at first glance.
context: You're the one who said it, you know.\You asked me to be here with you.\I was so happy to hear that.\But that was as a familiar...\To be honest, I already know.\You're an incredible being and I'm not a good match for you, as immature as I am.\That's right.\I am an incredible familiar, so I understood you at first glance. response:	You're a good boy who's kind and trying hard, even if you're overextending yourself.
context: You asked me to be here with you.\I was so happy to hear that.\But that was as a familiar...\To be honest, I already know.\You're an incredible being and I'm not a good match for you, as immature as I am.\That's right.\I am an incredible familiar, so I understood you at first glance.\You're a good boy who's kind and trying hard, even if you're overextending yourself. response:	Knowing that was good enough for me.
context: I was so happy to hear that.\But that was as a familiar...\To be honest, I already know.\You're an incredible being and I'm not a good match for you, as immature as I am.\That's right.\I am an incredible familiar, so I understood you at first glance.\You're a good boy who's kind and trying hard, even if you're overextending yourself.\Knowing that was good enough for me. response:	Thank you.
context: But that was as a familiar...\To be honest, I already know.\You're an incredible being and I'm not a good match for you, as immature as I am.\That's right.\I am an incredible familiar, so I understood you at first glance.\You're a good boy who's kind and trying hard, even if you're overextending yourself.\Knowing that was good enough for me.\Thank you. response:	Good boy.
context: To be honest, I already know.\You're an incredible being and I'm not a good match for you, as immature as I am.\That's right.\I am an incredible familiar, so I understood you at first glance.\You're a good boy who's kind and trying hard, even if you're overextending yourself.\Knowing that was good enough for me.\Thank you.\Good boy. response:	I do wish she'd stop treating me like a child, though.
context: You're an incredible being and I'm not a good match for you, as immature as I am.\That's right.\I am an incredible familiar, so I understood you at first glance.\You're a good boy who's kind and trying hard, even if you're overextending yourself.\Knowing that was good enough for me.\Thank you.\Good boy.\I do wish she'd stop treating me like a child, though. response:	Shouta-kun,
context: That's right.\I am an incredible familiar, so I understood you at first glance.\You're a good boy who's kind and trying hard, even if you're overextending yourself.\Knowing that was good enough for me.\Thank you.\Good boy.\I do wish she'd stop treating me like a child, though.\Shouta-kun, response:	I'm willing whenever you want it, okay?
context: I am an incredible familiar, so I understood you at first glance.\You're a good boy who's kind and trying hard, even if you're overextending yourself.\Knowing that was good enough for me.\Thank you.\Good boy.\I do wish she'd stop treating me like a child, though.\Shouta-kun,\I'm willing whenever you want it, okay? response:	Wh-What do you mean by that?!
context: You're a good boy who's kind and trying hard, even if you're overextending yourself.\Knowing that was good enough for me.\Thank you.\Good boy.\I do wish she'd stop treating me like a child, though.\Shouta-kun,\I'm willing whenever you want it, okay?\Wh-What do you mean by that?! response:	What's the matter?
context: Knowing that was good enough for me.\Thank you.\Good boy.\I do wish she'd stop treating me like a child, though.\Shouta-kun,\I'm willing whenever you want it, okay?\Wh-What do you mean by that?!\What's the matter? response:	It's unusual for you to sigh like that.
context: Thank you.\Good boy.\I do wish she'd stop treating me like a child, though.\Shouta-kun,\I'm willing whenever you want it, okay?\Wh-What do you mean by that?!\What's the matter?\It's unusual for you to sigh like that. response:	Well, my parents are paying a visit to my place.
context: Good boy.\I do wish she'd stop treating me like a child, though.\Shouta-kun,\I'm willing whenever you want it, okay?\Wh-What do you mean by that?!\What's the matter?\It's unusual for you to sigh like that.\Well, my parents are paying a visit to my place. response:	Huh?! Then Fafnir-san has to...
context: I do wish she'd stop treating me like a child, though.\Shouta-kun,\I'm willing whenever you want it, okay?\Wh-What do you mean by that?!\What's the matter?\It's unusual for you to sigh like that.\Well, my parents are paying a visit to my place.\Huh?! Then Fafnir-san has to... response:	Yeah.
context: Shouta-kun,\I'm willing whenever you want it, okay?\Wh-What do you mean by that?!\What's the matter?\It's unusual for you to sigh like that.\Well, my parents are paying a visit to my place.\Huh?! Then Fafnir-san has to...\Yeah. response:	I asked him to go adventure in the mountains or something while they're here, but...
context: I'm willing whenever you want it, okay?\Wh-What do you mean by that?!\What's the matter?\It's unusual for you to sigh like that.\Well, my parents are paying a visit to my place.\Huh?! Then Fafnir-san has to...\Yeah.\I asked him to go adventure in the mountains or something while they're here, but... response:	I absolutely refuse!
context: Wh-What do you mean by that?!\What's the matter?\It's unusual for you to sigh like that.\Well, my parents are paying a visit to my place.\Huh?! Then Fafnir-san has to...\Yeah.\I asked him to go adventure in the mountains or something while they're here, but...\I absolutely refuse! response:	A new, hardcore game is releasing at the same time.
context: What's the matter?\It's unusual for you to sigh like that.\Well, my parents are paying a visit to my place.\Huh?! Then Fafnir-san has to...\Yeah.\I asked him to go adventure in the mountains or something while they're here, but...\I absolutely refuse!\A new, hardcore game is releasing at the same time. response:	Then you'll just have to introduce them.
context: It's unusual for you to sigh like that.\Well, my parents are paying a visit to my place.\Huh?! Then Fafnir-san has to...\Yeah.\I asked him to go adventure in the mountains or something while they're here, but...\I absolutely refuse!\A new, hardcore game is releasing at the same time.\Then you'll just have to introduce them. response:	Right.
context: Well, my parents are paying a visit to my place.\Huh?! Then Fafnir-san has to...\Yeah.\I asked him to go adventure in the mountains or something while they're here, but...\I absolutely refuse!\A new, hardcore game is releasing at the same time.\Then you'll just have to introduce them.\Right. response:	Both of my parents are pretty forward,
context: Huh?! Then Fafnir-san has to...\Yeah.\I asked him to go adventure in the mountains or something while they're here, but...\I absolutely refuse!\A new, hardcore game is releasing at the same time.\Then you'll just have to introduce them.\Right.\Both of my parents are pretty forward, response:	so the thought of them angering Faf-kun
context: Yeah.\I asked him to go adventure in the mountains or something while they're here, but...\I absolutely refuse!\A new, hardcore game is releasing at the same time.\Then you'll just have to introduce them.\Right.\Both of my parents are pretty forward,\so the thought of them angering Faf-kun response:	and watching my goods get half-destroyed is... ahh!
context: I asked him to go adventure in the mountains or something while they're here, but...\I absolutely refuse!\A new, hardcore game is releasing at the same time.\Then you'll just have to introduce them.\Right.\Both of my parents are pretty forward,\so the thought of them angering Faf-kun\and watching my goods get half-destroyed is... ahh! response:	You're worried about your otaku collection?!
context: I absolutely refuse!\A new, hardcore game is releasing at the same time.\Then you'll just have to introduce them.\Right.\Both of my parents are pretty forward,\so the thought of them angering Faf-kun\and watching my goods get half-destroyed is... ahh!\You're worried about your otaku collection?! response:	I refuse.
context: A new, hardcore game is releasing at the same time.\Then you'll just have to introduce them.\Right.\Both of my parents are pretty forward,\so the thought of them angering Faf-kun\and watching my goods get half-destroyed is... ahh!\You're worried about your otaku collection?!\I refuse. response:	I can't afford to move from this spot until I've collected all the treasures.
context: Then you'll just have to introduce them.\Right.\Both of my parents are pretty forward,\so the thought of them angering Faf-kun\and watching my goods get half-destroyed is... ahh!\You're worried about your otaku collection?!\I refuse.\I can't afford to move from this spot until I've collected all the treasures. response:	You're hooked on it.
context: Right.\Both of my parents are pretty forward,\so the thought of them angering Faf-kun\and watching my goods get half-destroyed is... ahh!\You're worried about your otaku collection?!\I refuse.\I can't afford to move from this spot until I've collected all the treasures.\You're hooked on it. response:	Takeru attacks!
context: Both of my parents are pretty forward,\so the thought of them angering Faf-kun\and watching my goods get half-destroyed is... ahh!\You're worried about your otaku collection?!\I refuse.\I can't afford to move from this spot until I've collected all the treasures.\You're hooked on it.\Takeru attacks! response:	You've already beaten the game,
context: so the thought of them angering Faf-kun\and watching my goods get half-destroyed is... ahh!\You're worried about your otaku collection?!\I refuse.\I can't afford to move from this spot until I've collected all the treasures.\You're hooked on it.\Takeru attacks!\You've already beaten the game, response:	It deals 120 damage to Siegfried!
context: and watching my goods get half-destroyed is... ahh!\You're worried about your otaku collection?!\I refuse.\I can't afford to move from this spot until I've collected all the treasures.\You're hooked on it.\Takeru attacks!\You've already beaten the game,\It deals 120 damage to Siegfried! response:	so why not take a little break?
context: You're worried about your otaku collection?!\I refuse.\I can't afford to move from this spot until I've collected all the treasures.\You're hooked on it.\Takeru attacks!\You've already beaten the game,\It deals 120 damage to Siegfried!\so why not take a little break? response:	I can keep fighting for tens of thousands of years.
context: I refuse.\I can't afford to move from this spot until I've collected all the treasures.\You're hooked on it.\Takeru attacks!\You've already beaten the game,\It deals 120 damage to Siegfried!\so why not take a little break?\I can keep fighting for tens of thousands of years. response:	You don't need to worry about me.
