context: Hey, have you heard? response:	There's a Quiz Competition coming up.
context: Sounds like fun.\Yep!\I'm going to enter with Yukito.\What about you, Touya?\Part-time job.\We'll win and bring back the magnificent trophy!\I'll be looking forward to it.\But don't get hurt trying too hard. response:	Finished.
context: Yep!\I'm going to enter with Yukito.\What about you, Touya?\Part-time job.\We'll win and bring back the magnificent trophy!\I'll be looking forward to it.\But don't get hurt trying too hard.\Finished. response:	Oh, thanks!
context: I'm going to enter with Yukito.\What about you, Touya?\Part-time job.\We'll win and bring back the magnificent trophy!\I'll be looking forward to it.\But don't get hurt trying too hard.\Finished.\Oh, thanks! response:	I'll wear this tomorrow!
context: What about you, Touya?\Part-time job.\We'll win and bring back the magnificent trophy!\I'll be looking forward to it.\But don't get hurt trying too hard.\Finished.\Oh, thanks!\I'll wear this tomorrow! response:	That was worth three cleaning duties.
context: Part-time job.\We'll win and bring back the magnificent trophy!\I'll be looking forward to it.\But don't get hurt trying too hard.\Finished.\Oh, thanks!\I'll wear this tomorrow!\That was worth three cleaning duties. response:	My power hasn't returned'
context: We'll win and bring back the magnificent trophy!\I'll be looking forward to it.\But don't get hurt trying too hard.\Finished.\Oh, thanks!\I'll wear this tomorrow!\That was worth three cleaning duties.\My power hasn't returned' response:	Umm'
context: I'll be looking forward to it.\But don't get hurt trying too hard.\Finished.\Oh, thanks!\I'll wear this tomorrow!\That was worth three cleaning duties.\My power hasn't returned'\Umm' response:	Good morning!
context: But don't get hurt trying too hard.\Finished.\Oh, thanks!\I'll wear this tomorrow!\That was worth three cleaning duties.\My power hasn't returned'\Umm'\Good morning! response:	Good morning, Sakura.
context: Finished.\Oh, thanks!\I'll wear this tomorrow!\That was worth three cleaning duties.\My power hasn't returned'\Umm'\Good morning!\Good morning, Sakura. response:	Morning, Kinomoto.
context: Oh, thanks!\I'll wear this tomorrow!\That was worth three cleaning duties.\My power hasn't returned'\Umm'\Good morning!\Good morning, Sakura.\Morning, Kinomoto. response:	One two' one two'
context: I'll wear this tomorrow!\That was worth three cleaning duties.\My power hasn't returned'\Umm'\Good morning!\Good morning, Sakura.\Morning, Kinomoto.\One two' one two' response:	Mei Lin, Li'
context: That was worth three cleaning duties.\My power hasn't returned'\Umm'\Good morning!\Good morning, Sakura.\Morning, Kinomoto.\One two' one two'\Mei Lin, Li' response:	Shao Lan and I are going to win
context: My power hasn't returned'\Umm'\Good morning!\Good morning, Sakura.\Morning, Kinomoto.\One two' one two'\Mei Lin, Li'\Shao Lan and I are going to win response:	this tournament!
context: Umm'\Good morning!\Good morning, Sakura.\Morning, Kinomoto.\One two' one two'\Mei Lin, Li'\Shao Lan and I are going to win\this tournament! response:	That magnificent trophy will be ours!
context: Good morning!\Good morning, Sakura.\Morning, Kinomoto.\One two' one two'\Mei Lin, Li'\Shao Lan and I are going to win\this tournament!\That magnificent trophy will be ours! response:	Where're you going, Shao Lan?
context: Good morning, Sakura.\Morning, Kinomoto.\One two' one two'\Mei Lin, Li'\Shao Lan and I are going to win\this tournament!\That magnificent trophy will be ours!\Where're you going, Shao Lan? response:	Why do I have to be in this?
context: Morning, Kinomoto.\One two' one two'\Mei Lin, Li'\Shao Lan and I are going to win\this tournament!\That magnificent trophy will be ours!\Where're you going, Shao Lan?\Why do I have to be in this? response:	Good morning!
context: One two' one two'\Mei Lin, Li'\Shao Lan and I are going to win\this tournament!\That magnificent trophy will be ours!\Where're you going, Shao Lan?\Why do I have to be in this?\Good morning! response:	Yukito!
context: Mei Lin, Li'\Shao Lan and I are going to win\this tournament!\That magnificent trophy will be ours!\Where're you going, Shao Lan?\Why do I have to be in this?\Good morning!\Yukito! response:	Sorry.
context: Shao Lan and I are going to win\this tournament!\That magnificent trophy will be ours!\Where're you going, Shao Lan?\Why do I have to be in this?\Good morning!\Yukito!\Sorry. response:	I was at a nearby shop,
context: this tournament!\That magnificent trophy will be ours!\Where're you going, Shao Lan?\Why do I have to be in this?\Good morning!\Yukito!\Sorry.\I was at a nearby shop, response:	and breakfast took longer than I thought'
context: That magnificent trophy will be ours!\Where're you going, Shao Lan?\Why do I have to be in this?\Good morning!\Yukito!\Sorry.\I was at a nearby shop,\and breakfast took longer than I thought' response:	Let's do our best today, all right?
context: Where're you going, Shao Lan?\Why do I have to be in this?\Good morning!\Yukito!\Sorry.\I was at a nearby shop,\and breakfast took longer than I thought'\Let's do our best today, all right? response:	Okay!
context: Why do I have to be in this?\Good morning!\Yukito!\Sorry.\I was at a nearby shop,\and breakfast took longer than I thought'\Let's do our best today, all right?\Okay! response:	I'll go get the booklet.
context: Good morning!\Yukito!\Sorry.\I was at a nearby shop,\and breakfast took longer than I thought'\Let's do our best today, all right?\Okay!\I'll go get the booklet. response:	Me, too.
context: Yukito!\Sorry.\I was at a nearby shop,\and breakfast took longer than I thought'\Let's do our best today, all right?\Okay!\I'll go get the booklet.\Me, too. response:	Wait here, Shao Lan.
context: Sorry.\I was at a nearby shop,\and breakfast took longer than I thought'\Let's do our best today, all right?\Okay!\I'll go get the booklet.\Me, too.\Wait here, Shao Lan. response:	Hey.
context: I was at a nearby shop,\and breakfast took longer than I thought'\Let's do our best today, all right?\Okay!\I'll go get the booklet.\Me, too.\Wait here, Shao Lan.\Hey. response:	You're entering with'him?
context: and breakfast took longer than I thought'\Let's do our best today, all right?\Okay!\I'll go get the booklet.\Me, too.\Wait here, Shao Lan.\Hey.\You're entering with'him? response:	Yes.
context: Let's do our best today, all right?\Okay!\I'll go get the booklet.\Me, too.\Wait here, Shao Lan.\Hey.\You're entering with'him?\Yes. response:	You're in this, too?
context: Okay!\I'll go get the booklet.\Me, too.\Wait here, Shao Lan.\Hey.\You're entering with'him?\Yes.\You're in this, too? response:	Let's do our best, all right?
context: I'll go get the booklet.\Me, too.\Wait here, Shao Lan.\Hey.\You're entering with'him?\Yes.\You're in this, too?\Let's do our best, all right? response:	Oh!
context: Me, too.\Wait here, Shao Lan.\Hey.\You're entering with'him?\Yes.\You're in this, too?\Let's do our best, all right?\Oh! response:	Hey, where're you going, Shao Lan?
context: Wait here, Shao Lan.\Hey.\You're entering with'him?\Yes.\You're in this, too?\Let's do our best, all right?\Oh!\Hey, where're you going, Shao Lan? response:	No, it's just that'
context: Hey.\You're entering with'him?\Yes.\You're in this, too?\Let's do our best, all right?\Oh!\Hey, where're you going, Shao Lan?\No, it's just that' response:	I can't tolerate that'
context: You're entering with'him?\Yes.\You're in this, too?\Let's do our best, all right?\Oh!\Hey, where're you going, Shao Lan?\No, it's just that'\I can't tolerate that' response:	I told you I'd be right back'
context: Yes.\You're in this, too?\Let's do our best, all right?\Oh!\Hey, where're you going, Shao Lan?\No, it's just that'\I can't tolerate that'\I told you I'd be right back' response:	Good luck!
context: You're in this, too?\Let's do our best, all right?\Oh!\Hey, where're you going, Shao Lan?\No, it's just that'\I can't tolerate that'\I told you I'd be right back'\Good luck! response:	Everyone, good luck!
context: Let's do our best, all right?\Oh!\Hey, where're you going, Shao Lan?\No, it's just that'\I can't tolerate that'\I told you I'd be right back'\Good luck!\Everyone, good luck! response:	All preparations are complete.
context: Oh!\Hey, where're you going, Shao Lan?\No, it's just that'\I can't tolerate that'\I told you I'd be right back'\Good luck!\Everyone, good luck!\All preparations are complete. response:	Good morning, everyone!
context: Hey, where're you going, Shao Lan?\No, it's just that'\I can't tolerate that'\I told you I'd be right back'\Good luck!\Everyone, good luck!\All preparations are complete.\Good morning, everyone! response:	Please have lots of fun here
context: No, it's just that'\I can't tolerate that'\I told you I'd be right back'\Good luck!\Everyone, good luck!\All preparations are complete.\Good morning, everyone!\Please have lots of fun here response:	in the Tomoeda Town shopping district all day today.
context: I can't tolerate that'\I told you I'd be right back'\Good luck!\Everyone, good luck!\All preparations are complete.\Good morning, everyone!\Please have lots of fun here\in the Tomoeda Town shopping district all day today. response:	And remember, we have a magnificent trophy
context: I told you I'd be right back'\Good luck!\Everyone, good luck!\All preparations are complete.\Good morning, everyone!\Please have lots of fun here\in the Tomoeda Town shopping district all day today.\And remember, we have a magnificent trophy response:	for the winner.
context: Good luck!\Everyone, good luck!\All preparations are complete.\Good morning, everyone!\Please have lots of fun here\in the Tomoeda Town shopping district all day today.\And remember, we have a magnificent trophy\for the winner. response:	It's all mine.
context: Everyone, good luck!\All preparations are complete.\Good morning, everyone!\Please have lots of fun here\in the Tomoeda Town shopping district all day today.\And remember, we have a magnificent trophy\for the winner.\It's all mine. response:	And for all the participants,
context: All preparations are complete.\Good morning, everyone!\Please have lots of fun here\in the Tomoeda Town shopping district all day today.\And remember, we have a magnificent trophy\for the winner.\It's all mine.\And for all the participants, response:	we have thank you gifts'
context: Good morning, everyone!\Please have lots of fun here\in the Tomoeda Town shopping district all day today.\And remember, we have a magnificent trophy\for the winner.\It's all mine.\And for all the participants,\we have thank you gifts' response:	'from the members
context: Please have lots of fun here\in the Tomoeda Town shopping district all day today.\And remember, we have a magnificent trophy\for the winner.\It's all mine.\And for all the participants,\we have thank you gifts'\'from the members response:	of the shopping district
context: in the Tomoeda Town shopping district all day today.\And remember, we have a magnificent trophy\for the winner.\It's all mine.\And for all the participants,\we have thank you gifts'\'from the members\of the shopping district response:	Chamber of Commerce.
context: And remember, we have a magnificent trophy\for the winner.\It's all mine.\And for all the participants,\we have thank you gifts'\'from the members\of the shopping district\Chamber of Commerce. response:	Now, to explain the rules.
context: for the winner.\It's all mine.\And for all the participants,\we have thank you gifts'\'from the members\of the shopping district\Chamber of Commerce.\Now, to explain the rules. response:	First, there's only one quiz to solve at a time.
context: It's all mine.\And for all the participants,\we have thank you gifts'\'from the members\of the shopping district\Chamber of Commerce.\Now, to explain the rules.\First, there's only one quiz to solve at a time. response:	If you solve that,
context: And for all the participants,\we have thank you gifts'\'from the members\of the shopping district\Chamber of Commerce.\Now, to explain the rules.\First, there's only one quiz to solve at a time.\If you solve that, response:	you will receive a piece of paper
context: we have thank you gifts'\'from the members\of the shopping district\Chamber of Commerce.\Now, to explain the rules.\First, there's only one quiz to solve at a time.\If you solve that,\you will receive a piece of paper response:	with the next goal.
context: 'from the members\of the shopping district\Chamber of Commerce.\Now, to explain the rules.\First, there's only one quiz to solve at a time.\If you solve that,\you will receive a piece of paper\with the next goal. response:	That paper will lead to another quiz,
context: of the shopping district\Chamber of Commerce.\Now, to explain the rules.\First, there's only one quiz to solve at a time.\If you solve that,\you will receive a piece of paper\with the next goal.\That paper will lead to another quiz, response:	and if you solve that' you'll find out the next goal.
context: Chamber of Commerce.\Now, to explain the rules.\First, there's only one quiz to solve at a time.\If you solve that,\you will receive a piece of paper\with the next goal.\That paper will lead to another quiz,\and if you solve that' you'll find out the next goal. response:	There are 10 quizzes at all.
context: Now, to explain the rules.\First, there's only one quiz to solve at a time.\If you solve that,\you will receive a piece of paper\with the next goal.\That paper will lead to another quiz,\and if you solve that' you'll find out the next goal.\There are 10 quizzes at all. response:	As you pass each one,
context: First, there's only one quiz to solve at a time.\If you solve that,\you will receive a piece of paper\with the next goal.\That paper will lead to another quiz,\and if you solve that' you'll find out the next goal.\There are 10 quizzes at all.\As you pass each one, response:	you will get a stamp in the booklet
context: If you solve that,\you will receive a piece of paper\with the next goal.\That paper will lead to another quiz,\and if you solve that' you'll find out the next goal.\There are 10 quizzes at all.\As you pass each one,\you will get a stamp in the booklet response:	that you've all been given.
context: you will receive a piece of paper\with the next goal.\That paper will lead to another quiz,\and if you solve that' you'll find out the next goal.\There are 10 quizzes at all.\As you pass each one,\you will get a stamp in the booklet\that you've all been given. response:	If you get all the stamps,
context: with the next goal.\That paper will lead to another quiz,\and if you solve that' you'll find out the next goal.\There are 10 quizzes at all.\As you pass each one,\you will get a stamp in the booklet\that you've all been given.\If you get all the stamps, response:	you will get the paper with the final goal.
context: That paper will lead to another quiz,\and if you solve that' you'll find out the next goal.\There are 10 quizzes at all.\As you pass each one,\you will get a stamp in the booklet\that you've all been given.\If you get all the stamps,\you will get the paper with the final goal. response:	There,
context: and if you solve that' you'll find out the next goal.\There are 10 quizzes at all.\As you pass each one,\you will get a stamp in the booklet\that you've all been given.\If you get all the stamps,\you will get the paper with the final goal.\There, response:	It looks like this.
context: There are 10 quizzes at all.\As you pass each one,\you will get a stamp in the booklet\that you've all been given.\If you get all the stamps,\you will get the paper with the final goal.\There,\It looks like this. response:	A relief with Tomoeda Town's flower,
context: As you pass each one,\you will get a stamp in the booklet\that you've all been given.\If you get all the stamps,\you will get the paper with the final goal.\There,\It looks like this.\A relief with Tomoeda Town's flower, response:	the Nadeshiko, on it.
context: you will get a stamp in the booklet\that you've all been given.\If you get all the stamps,\you will get the paper with the final goal.\There,\It looks like this.\A relief with Tomoeda Town's flower,\the Nadeshiko, on it. response:	When you find this,
context: that you've all been given.\If you get all the stamps,\you will get the paper with the final goal.\There,\It looks like this.\A relief with Tomoeda Town's flower,\the Nadeshiko, on it.\When you find this, response:	bring it back here.
context: If you get all the stamps,\you will get the paper with the final goal.\There,\It looks like this.\A relief with Tomoeda Town's flower,\the Nadeshiko, on it.\When you find this,\bring it back here. response:	If you find and bring back the relief by chance,
context: you will get the paper with the final goal.\There,\It looks like this.\A relief with Tomoeda Town's flower,\the Nadeshiko, on it.\When you find this,\bring it back here.\If you find and bring back the relief by chance, response:	it doesn't count.
context: There,\It looks like this.\A relief with Tomoeda Town's flower,\the Nadeshiko, on it.\When you find this,\bring it back here.\If you find and bring back the relief by chance,\it doesn't count. response:	There are plenty of relief to go around.
context: It looks like this.\A relief with Tomoeda Town's flower,\the Nadeshiko, on it.\When you find this,\bring it back here.\If you find and bring back the relief by chance,\it doesn't count.\There are plenty of relief to go around. response:	No matter who finds them, that's the goal.
context: A relief with Tomoeda Town's flower,\the Nadeshiko, on it.\When you find this,\bring it back here.\If you find and bring back the relief by chance,\it doesn't count.\There are plenty of relief to go around.\No matter who finds them, that's the goal. response:	The reliefs are in all kinds of places.
context: the Nadeshiko, on it.\When you find this,\bring it back here.\If you find and bring back the relief by chance,\it doesn't count.\There are plenty of relief to go around.\No matter who finds them, that's the goal.\The reliefs are in all kinds of places. response:	They might be
context: When you find this,\bring it back here.\If you find and bring back the relief by chance,\it doesn't count.\There are plenty of relief to go around.\No matter who finds them, that's the goal.\The reliefs are in all kinds of places.\They might be response:	in hard-to-find places,
context: bring it back here.\If you find and bring back the relief by chance,\it doesn't count.\There are plenty of relief to go around.\No matter who finds them, that's the goal.\The reliefs are in all kinds of places.\They might be\in hard-to-find places, response:	so everyone, good luck!
context: If you find and bring back the relief by chance,\it doesn't count.\There are plenty of relief to go around.\No matter who finds them, that's the goal.\The reliefs are in all kinds of places.\They might be\in hard-to-find places,\so everyone, good luck! response:	Sounds hard.
context: it doesn't count.\There are plenty of relief to go around.\No matter who finds them, that's the goal.\The reliefs are in all kinds of places.\They might be\in hard-to-find places,\so everyone, good luck!\Sounds hard. response:	We'll be fine.
context: There are plenty of relief to go around.\No matter who finds them, that's the goal.\The reliefs are in all kinds of places.\They might be\in hard-to-find places,\so everyone, good luck!\Sounds hard.\We'll be fine. response:	If we don't even try the quiz, we can't advance.
context: No matter who finds them, that's the goal.\The reliefs are in all kinds of places.\They might be\in hard-to-find places,\so everyone, good luck!\Sounds hard.\We'll be fine.\If we don't even try the quiz, we can't advance. response:	Age doesn't seem to matter.
context: The reliefs are in all kinds of places.\They might be\in hard-to-find places,\so everyone, good luck!\Sounds hard.\We'll be fine.\If we don't even try the quiz, we can't advance.\Age doesn't seem to matter. response:	I guess so.
context: They might be\in hard-to-find places,\so everyone, good luck!\Sounds hard.\We'll be fine.\If we don't even try the quiz, we can't advance.\Age doesn't seem to matter.\I guess so. response:	Oh, and speaking of quizzes'
context: in hard-to-find places,\so everyone, good luck!\Sounds hard.\We'll be fine.\If we don't even try the quiz, we can't advance.\Age doesn't seem to matter.\I guess so.\Oh, and speaking of quizzes' response:	The very first quiz was made by a Greek philosopher, you know?
context: so everyone, good luck!\Sounds hard.\We'll be fine.\If we don't even try the quiz, we can't advance.\Age doesn't seem to matter.\I guess so.\Oh, and speaking of quizzes'\The very first quiz was made by a Greek philosopher, you know? response:	In morning, I have four legs.
context: Sounds hard.\We'll be fine.\If we don't even try the quiz, we can't advance.\Age doesn't seem to matter.\I guess so.\Oh, and speaking of quizzes'\The very first quiz was made by a Greek philosopher, you know?\In morning, I have four legs. response:	During the day, I have two legs.
context: We'll be fine.\If we don't even try the quiz, we can't advance.\Age doesn't seem to matter.\I guess so.\Oh, and speaking of quizzes'\The very first quiz was made by a Greek philosopher, you know?\In morning, I have four legs.\During the day, I have two legs. response:	And at night I have three legs.
context: If we don't even try the quiz, we can't advance.\Age doesn't seem to matter.\I guess so.\Oh, and speaking of quizzes'\The very first quiz was made by a Greek philosopher, you know?\In morning, I have four legs.\During the day, I have two legs.\And at night I have three legs. response:	What am I?
