context: Translation: MoeJoTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton response:	Anime-Koi Fansubs
context: sign:And we're back!\Next Episode Preview\The Deity Loses her Home\sign:The Deity Loses her Home\The Deity is Kidnapped\sign: Beverly Hills High School Diary\Beverly Hills\sign:Beverly Hills response:	sign:What?!
context: Next Episode Preview\The Deity Loses her Home\sign:The Deity Loses her Home\The Deity is Kidnapped\sign: Beverly Hills High School Diary\Beverly Hills\sign:Beverly Hills\sign:What?! response:	sign:Servant
context: The Deity Loses her Home\sign:The Deity Loses her Home\The Deity is Kidnapped\sign: Beverly Hills High School Diary\Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant response:	sign:Class Log
context: sign:The Deity Loses her Home\The Deity is Kidnapped\sign: Beverly Hills High School Diary\Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log response:	sign: 2nd
context: The Deity is Kidnapped\sign: Beverly Hills High School Diary\Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log\sign: 2nd response:	3rd Music
context: sign: Beverly Hills High School Diary\Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log\sign: 2nd\3rd Music response:	4th Math II
context: Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log\sign: 2nd\3rd Music\4th Math II response:	5th Classic Lit.
context: sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log\sign: 2nd\3rd Music\4th Math II\5th Classic Lit. response:	6th Bio
context: sign:What?!\sign:Servant\sign:Class Log\sign: 2nd\3rd Music\4th Math II\5th Classic Lit.\6th Bio response:	Everyone seemed to get along well today.
context: sign:Servant\sign:Class Log\sign: 2nd\3rd Music\4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today. response:	- Teacher
context: sign:Class Log\sign: 2nd\3rd Music\4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\- Teacher response:	sign:Class Logs
context: sign: 2nd\3rd Music\4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\- Teacher\sign:Class Logs response:	sign:We'll be right back!
context: 3rd Music\4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\- Teacher\sign:Class Logs\sign:We'll be right back! response:	sign:And we're back!
context: 4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\- Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back! response:	signright:Momozono Nanami
context: 5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\- Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami response:	left:17
context: 6th Bio\Everyone seemed to get along well today.\- Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17 response:	farleft:High School Girl
context: Everyone seemed to get along well today.\- Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17\farleft:High School Girl response:	sign:The Deity Loses her Home
context: - Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17\farleft:High School Girl\sign:The Deity Loses her Home response:	Ko na ka tta
context: sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17\farleft:High School Girl\sign:The Deity Loses her Home\Ko na ka tta response:	Yeah Yeah Yeah
context: sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17\farleft:High School Girl\sign:The Deity Loses her Home\Ko na ka tta\Yeah Yeah Yeah response:	ah ah ah
context: sign:And we're back!\signright:Momozono Nanami\left:17\farleft:High School Girl\sign:The Deity Loses her Home\Ko na ka tta\Yeah Yeah Yeah\ah ah ah response:	The Deity is Kidnapped
context: signright:Momozono Nanami\left:17\farleft:High School Girl\sign:The Deity Loses her Home\Ko na ka tta\Yeah Yeah Yeah\ah ah ah\The Deity is Kidnapped response:	sign: Beverly Hills HIGH SCHOOL Diary
context: left:17\farleft:High School Girl\sign:The Deity Loses her Home\Ko na ka tta\Yeah Yeah Yeah\ah ah ah\The Deity is Kidnapped\sign: Beverly Hills HIGH SCHOOL Diary response:	sign: Beverly Hills HIGH SCHOOL Diary
context: farleft:High School Girl\sign:The Deity Loses her Home\Ko na ka tta\Yeah Yeah Yeah\ah ah ah\The Deity is Kidnapped\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary response:	sign: Beverly Hills HIGH SCHOOL Diary
context: sign:The Deity Loses her Home\Ko na ka tta\Yeah Yeah Yeah\ah ah ah\The Deity is Kidnapped\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary response:	Beverly Hills
context: Ko na ka tta\Yeah Yeah Yeah\ah ah ah\The Deity is Kidnapped\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\Beverly Hills response:	sign:Beverly Hills
context: Yeah Yeah Yeah\ah ah ah\The Deity is Kidnapped\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\Beverly Hills\sign:Beverly Hills response:	sign:What?!
context: ah ah ah\The Deity is Kidnapped\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\Beverly Hills\sign:Beverly Hills\sign:What?! response:	sign:Servant
context: The Deity is Kidnapped\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant response:	sign:Class Log
context: sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log response:	sign: 2nd
context: sign: Beverly Hills HIGH SCHOOL Diary\sign: Beverly Hills HIGH SCHOOL Diary\Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log\sign: 2nd response:	3rd Music
context: sign: Beverly Hills HIGH SCHOOL Diary\Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log\sign: 2nd\3rd Music response:	4th Math II
context: Beverly Hills\sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log\sign: 2nd\3rd Music\4th Math II response:	5th Classic Lit.
context: sign:Beverly Hills\sign:What?!\sign:Servant\sign:Class Log\sign: 2nd\3rd Music\4th Math II\5th Classic Lit. response:	6th Bio
context: sign:What?!\sign:Servant\sign:Class Log\sign: 2nd\3rd Music\4th Math II\5th Classic Lit.\6th Bio response:	Everyone seemed to get along well today.
context: sign:Servant\sign:Class Log\sign: 2nd\3rd Music\4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today. response:	Everyone seemed to get along well today.
context: sign:Class Log\sign: 2nd\3rd Music\4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\Everyone seemed to get along well today. response:	- Teacher
context: sign: 2nd\3rd Music\4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\Everyone seemed to get along well today.\- Teacher response:	well today.
context: 3rd Music\4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\Everyone seemed to get along well today.\- Teacher\well today. response:	- Teacher
context: 4th Math II\5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\Everyone seemed to get along well today.\- Teacher\well today.\- Teacher response:	sign:Class Logs
context: 5th Classic Lit.\6th Bio\Everyone seemed to get along well today.\Everyone seemed to get along well today.\- Teacher\well today.\- Teacher\sign:Class Logs response:	sign:We'll be right back!
context: 6th Bio\Everyone seemed to get along well today.\Everyone seemed to get along well today.\- Teacher\well today.\- Teacher\sign:Class Logs\sign:We'll be right back! response:	sign:And we're back!
context: Everyone seemed to get along well today.\Everyone seemed to get along well today.\- Teacher\well today.\- Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back! response:	signright:Momozono Nanami
context: Everyone seemed to get along well today.\- Teacher\well today.\- Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami response:	left:17
context: - Teacher\well today.\- Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17 response:	farleft:HIGH SCHOOL Girl
context: well today.\- Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17\farleft:HIGH SCHOOL Girl response:	sign:The Deity Loses her Home
context: - Teacher\sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17\farleft:HIGH SCHOOL Girl\sign:The Deity Loses her Home response:	ANIME-KOI
context: sign:Class Logs\sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17\farleft:HIGH SCHOOL Girl\sign:The Deity Loses her Home\ANIME-KOI response:	PRESENTS
context: sign:We'll be right back!\sign:And we're back!\signright:Momozono Nanami\left:17\farleft:HIGH SCHOOL Girl\sign:The Deity Loses her Home\ANIME-KOI\PRESENTS response:	The Deity hh is Kidnapped
context: sign:And we're back!\signright:Momozono Nanami\left:17\farleft:HIGH SCHOOL Girl\sign:The Deity Loses her Home\ANIME-KOI\PRESENTS\The Deity hh is Kidnapped response:	The Deity hh is Kidnapped
context: signright:Momozono Nanami\left:17\farleft:HIGH SCHOOL Girl\sign:The Deity Loses her Home\ANIME-KOI\PRESENTS\The Deity hh is Kidnapped\The Deity hh is Kidnapped response:	We'll be back soon!
context: left:17\farleft:HIGH SCHOOL Girl\sign:The Deity Loses her Home\ANIME-KOI\PRESENTS\The Deity hh is Kidnapped\The Deity hh is Kidnapped\We'll be back soon! response:	We're back!
context: farleft:HIGH SCHOOL Girl\sign:The Deity Loses her Home\ANIME-KOI\PRESENTS\The Deity hh is Kidnapped\The Deity hh is Kidnapped\We'll be back soon!\We're back! response:	Rain.
context: sign:The Deity Loses her Home\ANIME-KOI\PRESENTS\The Deity hh is Kidnapped\The Deity hh is Kidnapped\We'll be back soon!\We're back!\Rain. response:	It's been raining a lot.
context: ANIME-KOI\PRESENTS\The Deity hh is Kidnapped\The Deity hh is Kidnapped\We'll be back soon!\We're back!\Rain.\It's been raining a lot. response:	Yo, look at that! A snake!
context: PRESENTS\The Deity hh is Kidnapped\The Deity hh is Kidnapped\We'll be back soon!\We're back!\Rain.\It's been raining a lot.\Yo, look at that! A snake! response:	A snake?
context: The Deity hh is Kidnapped\The Deity hh is Kidnapped\We'll be back soon!\We're back!\Rain.\It's been raining a lot.\Yo, look at that! A snake!\A snake? response:	A snake.
context: The Deity hh is Kidnapped\We'll be back soon!\We're back!\Rain.\It's been raining a lot.\Yo, look at that! A snake!\A snake?\A snake. response:	It's a white snake!
context: We'll be back soon!\We're back!\Rain.\It's been raining a lot.\Yo, look at that! A snake!\A snake?\A snake.\It's a white snake! response:	Awesome! Let's catch it!
context: We're back!\Rain.\It's been raining a lot.\Yo, look at that! A snake!\A snake?\A snake.\It's a white snake!\Awesome! Let's catch it! response:	Two minutes into the episode, and there's already a snake in the school.
context: Rain.\It's been raining a lot.\Yo, look at that! A snake!\A snake?\A snake.\It's a white snake!\Awesome! Let's catch it!\Two minutes into the episode, and there's already a snake in the school. response:	Maybe it'll be the new school mascot.
context: It's been raining a lot.\Yo, look at that! A snake!\A snake?\A snake.\It's a white snake!\Awesome! Let's catch it!\Two minutes into the episode, and there's already a snake in the school.\Maybe it'll be the new school mascot. response:	Stop.
context: Yo, look at that! A snake!\A snake?\A snake.\It's a white snake!\Awesome! Let's catch it!\Two minutes into the episode, and there's already a snake in the school.\Maybe it'll be the new school mascot.\Stop. response:	White snakes are the familiars of deities, you know.
context: A snake?\A snake.\It's a white snake!\Awesome! Let's catch it!\Two minutes into the episode, and there's already a snake in the school.\Maybe it'll be the new school mascot.\Stop.\White snakes are the familiars of deities, you know. response:	You'll get cursed.
context: A snake.\It's a white snake!\Awesome! Let's catch it!\Two minutes into the episode, and there's already a snake in the school.\Maybe it'll be the new school mascot.\Stop.\White snakes are the familiars of deities, you know.\You'll get cursed. response:	You touched it!
context: It's a white snake!\Awesome! Let's catch it!\Two minutes into the episode, and there's already a snake in the school.\Maybe it'll be the new school mascot.\Stop.\White snakes are the familiars of deities, you know.\You'll get cursed.\You touched it! response:	Now make sure you don't wander in again.
context: Awesome! Let's catch it!\Two minutes into the episode, and there's already a snake in the school.\Maybe it'll be the new school mascot.\Stop.\White snakes are the familiars of deities, you know.\You'll get cursed.\You touched it!\Now make sure you don't wander in again. response:	Momozono, your arm okay?
context: Two minutes into the episode, and there's already a snake in the school.\Maybe it'll be the new school mascot.\Stop.\White snakes are the familiars of deities, you know.\You'll get cursed.\You touched it!\Now make sure you don't wander in again.\Momozono, your arm okay? response:	I'm fine. It didn't bite me or anything.
context: Maybe it'll be the new school mascot.\Stop.\White snakes are the familiars of deities, you know.\You'll get cursed.\You touched it!\Now make sure you don't wander in again.\Momozono, your arm okay?\I'm fine. It didn't bite me or anything. response:	You sure? Look at your arm. It's all red.
context: Stop.\White snakes are the familiars of deities, you know.\You'll get cursed.\You touched it!\Now make sure you don't wander in again.\Momozono, your arm okay?\I'm fine. It didn't bite me or anything.\You sure? Look at your arm. It's all red. response:	What a strange mark, indeed!
context: White snakes are the familiars of deities, you know.\You'll get cursed.\You touched it!\Now make sure you don't wander in again.\Momozono, your arm okay?\I'm fine. It didn't bite me or anything.\You sure? Look at your arm. It's all red.\What a strange mark, indeed! response:	Where's Tomoe?
context: You'll get cursed.\You touched it!\Now make sure you don't wander in again.\Momozono, your arm okay?\I'm fine. It didn't bite me or anything.\You sure? Look at your arm. It's all red.\What a strange mark, indeed!\Where's Tomoe? response:	He is currently preparing dinner.
context: You touched it!\Now make sure you don't wander in again.\Momozono, your arm okay?\I'm fine. It didn't bite me or anything.\You sure? Look at your arm. It's all red.\What a strange mark, indeed!\Where's Tomoe?\He is currently preparing dinner. response:	I don't like shitake mushrooms, you know.
context: Now make sure you don't wander in again.\Momozono, your arm okay?\I'm fine. It didn't bite me or anything.\You sure? Look at your arm. It's all red.\What a strange mark, indeed!\Where's Tomoe?\He is currently preparing dinner.\I don't like shitake mushrooms, you know. response:	If you'd stop being picky, you might be able to do something with your talisman for once.
context: Momozono, your arm okay?\I'm fine. It didn't bite me or anything.\You sure? Look at your arm. It's all red.\What a strange mark, indeed!\Where's Tomoe?\He is currently preparing dinner.\I don't like shitake mushrooms, you know.\If you'd stop being picky, you might be able to do something with your talisman for once. response:	Nanami, where did you get this mark?
context: I'm fine. It didn't bite me or anything.\You sure? Look at your arm. It's all red.\What a strange mark, indeed!\Where's Tomoe?\He is currently preparing dinner.\I don't like shitake mushrooms, you know.\If you'd stop being picky, you might be able to do something with your talisman for once.\Nanami, where did you get this mark? response:	Oh, it looks like a reaction to the snake I picked up at school.
context: You sure? Look at your arm. It's all red.\What a strange mark, indeed!\Where's Tomoe?\He is currently preparing dinner.\I don't like shitake mushrooms, you know.\If you'd stop being picky, you might be able to do something with your talisman for once.\Nanami, where did you get this mark?\Oh, it looks like a reaction to the snake I picked up at school. response:	This is a special mark for a snake.
context: What a strange mark, indeed!\Where's Tomoe?\He is currently preparing dinner.\I don't like shitake mushrooms, you know.\If you'd stop being picky, you might be able to do something with your talisman for once.\Nanami, where did you get this mark?\Oh, it looks like a reaction to the snake I picked up at school.\This is a special mark for a snake. response:	Special?
context: Where's Tomoe?\He is currently preparing dinner.\I don't like shitake mushrooms, you know.\If you'd stop being picky, you might be able to do something with your talisman for once.\Nanami, where did you get this mark?\Oh, it looks like a reaction to the snake I picked up at school.\This is a special mark for a snake.\Special? response:	To be specific, this is the mark of the betrothed.
context: He is currently preparing dinner.\I don't like shitake mushrooms, you know.\If you'd stop being picky, you might be able to do something with your talisman for once.\Nanami, where did you get this mark?\Oh, it looks like a reaction to the snake I picked up at school.\This is a special mark for a snake.\Special?\To be specific, this is the mark of the betrothed. response:	Huh? Betrothed?
context: I don't like shitake mushrooms, you know.\If you'd stop being picky, you might be able to do something with your talisman for once.\Nanami, where did you get this mark?\Oh, it looks like a reaction to the snake I picked up at school.\This is a special mark for a snake.\Special?\To be specific, this is the mark of the betrothed.\Huh? Betrothed? response:	Do you mind explaining how you got to be so friendly with a snake at school?
context: If you'd stop being picky, you might be able to do something with your talisman for once.\Nanami, where did you get this mark?\Oh, it looks like a reaction to the snake I picked up at school.\This is a special mark for a snake.\Special?\To be specific, this is the mark of the betrothed.\Huh? Betrothed?\Do you mind explaining how you got to be so friendly with a snake at school? response:	So, a white snake wandered into the school, and you rescued it because the kids were messing with it?
context: Nanami, where did you get this mark?\Oh, it looks like a reaction to the snake I picked up at school.\This is a special mark for a snake.\Special?\To be specific, this is the mark of the betrothed.\Huh? Betrothed?\Do you mind explaining how you got to be so friendly with a snake at school?\So, a white snake wandered into the school, and you rescued it because the kids were messing with it? response:	It was all white and pretty!
context: Oh, it looks like a reaction to the snake I picked up at school.\This is a special mark for a snake.\Special?\To be specific, this is the mark of the betrothed.\Huh? Betrothed?\Do you mind explaining how you got to be so friendly with a snake at school?\So, a white snake wandered into the school, and you rescued it because the kids were messing with it?\It was all white and pretty! response:	That's great! Now that white and pretty snake will be here to pick you up soon.
context: This is a special mark for a snake.\Special?\To be specific, this is the mark of the betrothed.\Huh? Betrothed?\Do you mind explaining how you got to be so friendly with a snake at school?\So, a white snake wandered into the school, and you rescued it because the kids were messing with it?\It was all white and pretty!\That's great! Now that white and pretty snake will be here to pick you up soon. response:	That pretty snakeis coming to pick me up?!
context: Special?\To be specific, this is the mark of the betrothed.\Huh? Betrothed?\Do you mind explaining how you got to be so friendly with a snake at school?\So, a white snake wandered into the school, and you rescued it because the kids were messing with it?\It was all white and pretty!\That's great! Now that white and pretty snake will be here to pick you up soon.\That pretty snakeis coming to pick me up?! response:	That snake got its saliva on you because you're such an airhead!
context: To be specific, this is the mark of the betrothed.\Huh? Betrothed?\Do you mind explaining how you got to be so friendly with a snake at school?\So, a white snake wandered into the school, and you rescued it because the kids were messing with it?\It was all white and pretty!\That's great! Now that white and pretty snake will be here to pick you up soon.\That pretty snakeis coming to pick me up?!\That snake got its saliva on you because you're such an airhead! response:	You can relax, though.
context: Huh? Betrothed?\Do you mind explaining how you got to be so friendly with a snake at school?\So, a white snake wandered into the school, and you rescued it because the kids were messing with it?\It was all white and pretty!\That's great! Now that white and pretty snake will be here to pick you up soon.\That pretty snakeis coming to pick me up?!\That snake got its saliva on you because you're such an airhead!\You can relax, though. response:	No matter who shows up, I won't let anyone lay so much as a finger on you.
context: Do you mind explaining how you got to be so friendly with a snake at school?\So, a white snake wandered into the school, and you rescued it because the kids were messing with it?\It was all white and pretty!\That's great! Now that white and pretty snake will be here to pick you up soon.\That pretty snakeis coming to pick me up?!\That snake got its saliva on you because you're such an airhead!\You can relax, though.\No matter who shows up, I won't let anyone lay so much as a finger on you. response:	Huh?
context: So, a white snake wandered into the school, and you rescued it because the kids were messing with it?\It was all white and pretty!\That's great! Now that white and pretty snake will be here to pick you up soon.\That pretty snakeis coming to pick me up?!\That snake got its saliva on you because you're such an airhead!\You can relax, though.\No matter who shows up, I won't let anyone lay so much as a finger on you.\Huh? response:	It'd bring shame upon my name if I let a stupid snake steal my master.
context: It was all white and pretty!\That's great! Now that white and pretty snake will be here to pick you up soon.\That pretty snakeis coming to pick me up?!\That snake got its saliva on you because you're such an airhead!\You can relax, though.\No matter who shows up, I won't let anyone lay so much as a finger on you.\Huh?\It'd bring shame upon my name if I let a stupid snake steal my master. response:	Still, this one being a white snake complicates things.
context: That's great! Now that white and pretty snake will be here to pick you up soon.\That pretty snakeis coming to pick me up?!\That snake got its saliva on you because you're such an airhead!\You can relax, though.\No matter who shows up, I won't let anyone lay so much as a finger on you.\Huh?\It'd bring shame upon my name if I let a stupid snake steal my master.\Still, this one being a white snake complicates things. response:	What did I do to deserve this?
context: That pretty snakeis coming to pick me up?!\That snake got its saliva on you because you're such an airhead!\You can relax, though.\No matter who shows up, I won't let anyone lay so much as a finger on you.\Huh?\It'd bring shame upon my name if I let a stupid snake steal my master.\Still, this one being a white snake complicates things.\What did I do to deserve this? response:	Are you sure you can pass as a high-schooler?
context: That snake got its saliva on you because you're such an airhead!\You can relax, though.\No matter who shows up, I won't let anyone lay so much as a finger on you.\Huh?\It'd bring shame upon my name if I let a stupid snake steal my master.\Still, this one being a white snake complicates things.\What did I do to deserve this?\Are you sure you can pass as a high-schooler? response:	Yes, I'm sure.
context: You can relax, though.\No matter who shows up, I won't let anyone lay so much as a finger on you.\Huh?\It'd bring shame upon my name if I let a stupid snake steal my master.\Still, this one being a white snake complicates things.\What did I do to deserve this?\Are you sure you can pass as a high-schooler?\Yes, I'm sure. response:	I stayed up all night studying this.
context: No matter who shows up, I won't let anyone lay so much as a finger on you.\Huh?\It'd bring shame upon my name if I let a stupid snake steal my master.\Still, this one being a white snake complicates things.\What did I do to deserve this?\Are you sure you can pass as a high-schooler?\Yes, I'm sure.\I stayed up all night studying this. response:	He's a lost cause.
context: Huh?\It'd bring shame upon my name if I let a stupid snake steal my master.\Still, this one being a white snake complicates things.\What did I do to deserve this?\Are you sure you can pass as a high-schooler?\Yes, I'm sure.\I stayed up all night studying this.\He's a lost cause. response:	For crying out loud, you cause nothing but trouble.
context: It'd bring shame upon my name if I let a stupid snake steal my master.\Still, this one being a white snake complicates things.\What did I do to deserve this?\Are you sure you can pass as a high-schooler?\Yes, I'm sure.\I stayed up all night studying this.\He's a lost cause.\For crying out loud, you cause nothing but trouble. response:	I'm not scared of snakes, you know.
context: Still, this one being a white snake complicates things.\What did I do to deserve this?\Are you sure you can pass as a high-schooler?\Yes, I'm sure.\I stayed up all night studying this.\He's a lost cause.\For crying out loud, you cause nothing but trouble.\I'm not scared of snakes, you know. response:	For the time being, don't leave my sight while we're at school.
context: What did I do to deserve this?\Are you sure you can pass as a high-schooler?\Yes, I'm sure.\I stayed up all night studying this.\He's a lost cause.\For crying out loud, you cause nothing but trouble.\I'm not scared of snakes, you know.\For the time being, don't leave my sight while we're at school. response:	Not even for a second.
context: Are you sure you can pass as a high-schooler?\Yes, I'm sure.\I stayed up all night studying this.\He's a lost cause.\For crying out loud, you cause nothing but trouble.\I'm not scared of snakes, you know.\For the time being, don't leave my sight while we're at school.\Not even for a second. response:	Mm-hm.
context: Yes, I'm sure.\I stayed up all night studying this.\He's a lost cause.\For crying out loud, you cause nothing but trouble.\I'm not scared of snakes, you know.\For the time being, don't leave my sight while we're at school.\Not even for a second.\Mm-hm. response:	This is Mikage Tomoe, transferring in from Mikageyama.
context: I stayed up all night studying this.\He's a lost cause.\For crying out loud, you cause nothing but trouble.\I'm not scared of snakes, you know.\For the time being, don't leave my sight while we're at school.\Not even for a second.\Mm-hm.\This is Mikage Tomoe, transferring in from Mikageyama. response:	Let's see. Your seat will be...
context: He's a lost cause.\For crying out loud, you cause nothing but trouble.\I'm not scared of snakes, you know.\For the time being, don't leave my sight while we're at school.\Not even for a second.\Mm-hm.\This is Mikage Tomoe, transferring in from Mikageyama.\Let's see. Your seat will be... response:	I'll take that one.
context: For crying out loud, you cause nothing but trouble.\I'm not scared of snakes, you know.\For the time being, don't leave my sight while we're at school.\Not even for a second.\Mm-hm.\This is Mikage Tomoe, transferring in from Mikageyama.\Let's see. Your seat will be...\I'll take that one. response:	Excuse me?
context: I'm not scared of snakes, you know.\For the time being, don't leave my sight while we're at school.\Not even for a second.\Mm-hm.\This is Mikage Tomoe, transferring in from Mikageyama.\Let's see. Your seat will be...\I'll take that one.\Excuse me? response:	Huh?
context: For the time being, don't leave my sight while we're at school.\Not even for a second.\Mm-hm.\This is Mikage Tomoe, transferring in from Mikageyama.\Let's see. Your seat will be...\I'll take that one.\Excuse me?\Huh? response:	Tomoe and I... are classmates?
context: Not even for a second.\Mm-hm.\This is Mikage Tomoe, transferring in from Mikageyama.\Let's see. Your seat will be...\I'll take that one.\Excuse me?\Huh?\Tomoe and I... are classmates? response:	I wasn't expecting this turn of events.
context: Mm-hm.\This is Mikage Tomoe, transferring in from Mikageyama.\Let's see. Your seat will be...\I'll take that one.\Excuse me?\Huh?\Tomoe and I... are classmates?\I wasn't expecting this turn of events. response:	Where's the crow?
context: This is Mikage Tomoe, transferring in from Mikageyama.\Let's see. Your seat will be...\I'll take that one.\Excuse me?\Huh?\Tomoe and I... are classmates?\I wasn't expecting this turn of events.\Where's the crow? response:	It seems he's busy with work this week.
context: Let's see. Your seat will be...\I'll take that one.\Excuse me?\Huh?\Tomoe and I... are classmates?\I wasn't expecting this turn of events.\Where's the crow?\It seems he's busy with work this week. response:	Normally, the classroom is quieter without Kurama, but now these girls...
context: I'll take that one.\Excuse me?\Huh?\Tomoe and I... are classmates?\I wasn't expecting this turn of events.\Where's the crow?\It seems he's busy with work this week.\Normally, the classroom is quieter without Kurama, but now these girls... response:	Wow, he's so hot!
context: Excuse me?\Huh?\Tomoe and I... are classmates?\I wasn't expecting this turn of events.\Where's the crow?\It seems he's busy with work this week.\Normally, the classroom is quieter without Kurama, but now these girls...\Wow, he's so hot! response:	Hey, your name's Tomoe, right?
