context: Signs response:	OP
context: Oh! Rotten Tuna uploaded a new song!\Hold your horses! I'm coming!\Fleur, don't just sit there!\I update my blog where I please!\Chief, please answer if it's ringing.\I poured too much coffee, so I don't have a free hand.\This is the Triton. What is it?\I'm sorry... response:	But I got myself into some trouble.
context: Hold your horses! I'm coming!\Fleur, don't just sit there!\I update my blog where I please!\Chief, please answer if it's ringing.\I poured too much coffee, so I don't have a free hand.\This is the Triton. What is it?\I'm sorry...\But I got myself into some trouble. response:	Found it!
context: Fleur, don't just sit there!\I update my blog where I please!\Chief, please answer if it's ringing.\I poured too much coffee, so I don't have a free hand.\This is the Triton. What is it?\I'm sorry...\But I got myself into some trouble.\Found it! response:	My dad hates Noah, so I hid him here.
context: I update my blog where I please!\Chief, please answer if it's ringing.\I poured too much coffee, so I don't have a free hand.\This is the Triton. What is it?\I'm sorry...\But I got myself into some trouble.\Found it!\My dad hates Noah, so I hid him here. response:	What are you doing, Noah?!
context: Chief, please answer if it's ringing.\I poured too much coffee, so I don't have a free hand.\This is the Triton. What is it?\I'm sorry...\But I got myself into some trouble.\Found it!\My dad hates Noah, so I hid him here.\What are you doing, Noah?! response:	What are you going to do now, Ao?
context: I poured too much coffee, so I don't have a free hand.\This is the Triton. What is it?\I'm sorry...\But I got myself into some trouble.\Found it!\My dad hates Noah, so I hid him here.\What are you doing, Noah?!\What are you going to do now, Ao? response:	I don't know.
context: This is the Triton. What is it?\I'm sorry...\But I got myself into some trouble.\Found it!\My dad hates Noah, so I hid him here.\What are you doing, Noah?!\What are you going to do now, Ao?\I don't know. response:	No matter where I go, I'll stand out because of my hair.
context: I'm sorry...\But I got myself into some trouble.\Found it!\My dad hates Noah, so I hid him here.\What are you doing, Noah?!\What are you going to do now, Ao?\I don't know.\No matter where I go, I'll stand out because of my hair. response:	Quick!
context: But I got myself into some trouble.\Found it!\My dad hates Noah, so I hid him here.\What are you doing, Noah?!\What are you going to do now, Ao?\I don't know.\No matter where I go, I'll stand out because of my hair.\Quick! response:	Get him!
context: Found it!\My dad hates Noah, so I hid him here.\What are you doing, Noah?!\What are you going to do now, Ao?\I don't know.\No matter where I go, I'll stand out because of my hair.\Quick!\Get him! response:	Naru?
context: My dad hates Noah, so I hid him here.\What are you doing, Noah?!\What are you going to do now, Ao?\I don't know.\No matter where I go, I'll stand out because of my hair.\Quick!\Get him!\Naru? response:	Dad?
context: What are you doing, Noah?!\What are you going to do now, Ao?\I don't know.\No matter where I go, I'll stand out because of my hair.\Quick!\Get him!\Naru?\Dad? response:	Mister?
context: What are you going to do now, Ao?\I don't know.\No matter where I go, I'll stand out because of my hair.\Quick!\Get him!\Naru?\Dad?\Mister? response:	I told you to stay away from him!
context: I don't know.\No matter where I go, I'll stand out because of my hair.\Quick!\Get him!\Naru?\Dad?\Mister?\I told you to stay away from him! response:	Hey!
context: No matter where I go, I'll stand out because of my hair.\Quick!\Get him!\Naru?\Dad?\Mister?\I told you to stay away from him!\Hey! response:	Dad! Make them stop!
context: Quick!\Get him!\Naru?\Dad?\Mister?\I told you to stay away from him!\Hey!\Dad! Make them stop! response:	Naru!
context: Get him!\Naru?\Dad?\Mister?\I told you to stay away from him!\Hey!\Dad! Make them stop!\Naru! response:	Naru! You need to go back to the hospital!
context: Naru?\Dad?\Mister?\I told you to stay away from him!\Hey!\Dad! Make them stop!\Naru!\Naru! You need to go back to the hospital! response:	It's true!
context: Dad?\Mister?\I told you to stay away from him!\Hey!\Dad! Make them stop!\Naru!\Naru! You need to go back to the hospital!\It's true! response:	It's his fault that our island ended up like this
context: Mister?\I told you to stay away from him!\Hey!\Dad! Make them stop!\Naru!\Naru! You need to go back to the hospital!\It's true!\It's his fault that our island ended up like this response:	Hitoga, take him to my training room.
context: I told you to stay away from him!\Hey!\Dad! Make them stop!\Naru!\Naru! You need to go back to the hospital!\It's true!\It's his fault that our island ended up like this\Hitoga, take him to my training room. response:	Noah...
context: Hey!\Dad! Make them stop!\Naru!\Naru! You need to go back to the hospital!\It's true!\It's his fault that our island ended up like this\Hitoga, take him to my training room.\Noah... response:	Ao...
context: Dad! Make them stop!\Naru!\Naru! You need to go back to the hospital!\It's true!\It's his fault that our island ended up like this\Hitoga, take him to my training room.\Noah...\Ao... response:	He's pretty smart to think of this place. No outsiders will be able to find it.
context: Naru!\Naru! You need to go back to the hospital!\It's true!\It's his fault that our island ended up like this\Hitoga, take him to my training room.\Noah...\Ao...\He's pretty smart to think of this place. No outsiders will be able to find it. response:	But the islanders all know about it.
context: Naru! You need to go back to the hospital!\It's true!\It's his fault that our island ended up like this\Hitoga, take him to my training room.\Noah...\Ao...\He's pretty smart to think of this place. No outsiders will be able to find it.\But the islanders all know about it. response:	We all played here when we were kids.
context: It's true!\It's his fault that our island ended up like this\Hitoga, take him to my training room.\Noah...\Ao...\He's pretty smart to think of this place. No outsiders will be able to find it.\But the islanders all know about it.\We all played here when we were kids. response:	No luck. It won't budge.
context: It's his fault that our island ended up like this\Hitoga, take him to my training room.\Noah...\Ao...\He's pretty smart to think of this place. No outsiders will be able to find it.\But the islanders all know about it.\We all played here when we were kids.\No luck. It won't budge. response:	Does it have some special Japanese military lock?
context: Hitoga, take him to my training room.\Noah...\Ao...\He's pretty smart to think of this place. No outsiders will be able to find it.\But the islanders all know about it.\We all played here when we were kids.\No luck. It won't budge.\Does it have some special Japanese military lock? response:	The Japs didn't engineer it by themselves.
context: Noah...\Ao...\He's pretty smart to think of this place. No outsiders will be able to find it.\But the islanders all know about it.\We all played here when we were kids.\No luck. It won't budge.\Does it have some special Japanese military lock?\The Japs didn't engineer it by themselves. response:	They bought the other parts from the Americans and the French.
context: Ao...\He's pretty smart to think of this place. No outsiders will be able to find it.\But the islanders all know about it.\We all played here when we were kids.\No luck. It won't budge.\Does it have some special Japanese military lock?\The Japs didn't engineer it by themselves.\They bought the other parts from the Americans and the French. response:	That means this thing is fat, surrenders when possible, and has terrible teeth.
context: He's pretty smart to think of this place. No outsiders will be able to find it.\But the islanders all know about it.\We all played here when we were kids.\No luck. It won't budge.\Does it have some special Japanese military lock?\The Japs didn't engineer it by themselves.\They bought the other parts from the Americans and the French.\That means this thing is fat, surrenders when possible, and has terrible teeth. response:	Get out, Pippo.
context: But the islanders all know about it.\We all played here when we were kids.\No luck. It won't budge.\Does it have some special Japanese military lock?\The Japs didn't engineer it by themselves.\They bought the other parts from the Americans and the French.\That means this thing is fat, surrenders when possible, and has terrible teeth.\Get out, Pippo. response:	You're not going to magically make it work
context: We all played here when we were kids.\No luck. It won't budge.\Does it have some special Japanese military lock?\The Japs didn't engineer it by themselves.\They bought the other parts from the Americans and the French.\That means this thing is fat, surrenders when possible, and has terrible teeth.\Get out, Pippo.\You're not going to magically make it work response:	How the hell did that foreigner kid pilot it?
context: No luck. It won't budge.\Does it have some special Japanese military lock?\The Japs didn't engineer it by themselves.\They bought the other parts from the Americans and the French.\That means this thing is fat, surrenders when possible, and has terrible teeth.\Get out, Pippo.\You're not going to magically make it work\How the hell did that foreigner kid pilot it? response:	But that kid could fly an FP before elementary school. He learned all by himself.
context: Does it have some special Japanese military lock?\The Japs didn't engineer it by themselves.\They bought the other parts from the Americans and the French.\That means this thing is fat, surrenders when possible, and has terrible teeth.\Get out, Pippo.\You're not going to magically make it work\How the hell did that foreigner kid pilot it?\But that kid could fly an FP before elementary school. He learned all by himself. response:	Where are you going?
context: The Japs didn't engineer it by themselves.\They bought the other parts from the Americans and the French.\That means this thing is fat, surrenders when possible, and has terrible teeth.\Get out, Pippo.\You're not going to magically make it work\How the hell did that foreigner kid pilot it?\But that kid could fly an FP before elementary school. He learned all by himself.\Where are you going? response:	To get the person who can pilot this.
context: They bought the other parts from the Americans and the French.\That means this thing is fat, surrenders when possible, and has terrible teeth.\Get out, Pippo.\You're not going to magically make it work\How the hell did that foreigner kid pilot it?\But that kid could fly an FP before elementary school. He learned all by himself.\Where are you going?\To get the person who can pilot this. response:	But he said he's not going to pilot it...
context: That means this thing is fat, surrenders when possible, and has terrible teeth.\Get out, Pippo.\You're not going to magically make it work\How the hell did that foreigner kid pilot it?\But that kid could fly an FP before elementary school. He learned all by himself.\Where are you going?\To get the person who can pilot this.\But he said he's not going to pilot it... response:	He will. Oh yes, he will.
context: Get out, Pippo.\You're not going to magically make it work\How the hell did that foreigner kid pilot it?\But that kid could fly an FP before elementary school. He learned all by himself.\Where are you going?\To get the person who can pilot this.\But he said he's not going to pilot it...\He will. Oh yes, he will. response:	We see you often in the news, but now we've got the real thing here.
context: You're not going to magically make it work\How the hell did that foreigner kid pilot it?\But that kid could fly an FP before elementary school. He learned all by himself.\Where are you going?\To get the person who can pilot this.\But he said he's not going to pilot it...\He will. Oh yes, he will.\We see you often in the news, but now we've got the real thing here. response:	Genere... Generan...
context: How the hell did that foreigner kid pilot it?\But that kid could fly an FP before elementary school. He learned all by himself.\Where are you going?\To get the person who can pilot this.\But he said he's not going to pilot it...\He will. Oh yes, he will.\We see you often in the news, but now we've got the real thing here.\Genere... Generan... response:	Generation Bleu.
context: But that kid could fly an FP before elementary school. He learned all by himself.\Where are you going?\To get the person who can pilot this.\But he said he's not going to pilot it...\He will. Oh yes, he will.\We see you often in the news, but now we've got the real thing here.\Genere... Generan...\Generation Bleu. response:	We are the blue generation.
context: Where are you going?\To get the person who can pilot this.\But he said he's not going to pilot it...\He will. Oh yes, he will.\We see you often in the news, but now we've got the real thing here.\Genere... Generan...\Generation Bleu.\We are the blue generation. response:	Yeah, that! You're like the Ghostbusters for G-Monsters, right?
context: To get the person who can pilot this.\But he said he's not going to pilot it...\He will. Oh yes, he will.\We see you often in the news, but now we've got the real thing here.\Genere... Generan...\Generation Bleu.\We are the blue generation.\Yeah, that! You're like the Ghostbusters for G-Monsters, right? response:	I mean, you've even got a cartoon about you.
context: But he said he's not going to pilot it...\He will. Oh yes, he will.\We see you often in the news, but now we've got the real thing here.\Genere... Generan...\Generation Bleu.\We are the blue generation.\Yeah, that! You're like the Ghostbusters for G-Monsters, right?\I mean, you've even got a cartoon about you. response:	You're Pied Piper, right? You help people in trouble, right?
context: He will. Oh yes, he will.\We see you often in the news, but now we've got the real thing here.\Genere... Generan...\Generation Bleu.\We are the blue generation.\Yeah, that! You're like the Ghostbusters for G-Monsters, right?\I mean, you've even got a cartoon about you.\You're Pied Piper, right? You help people in trouble, right? response:	Yeah.
context: We see you often in the news, but now we've got the real thing here.\Genere... Generan...\Generation Bleu.\We are the blue generation.\Yeah, that! You're like the Ghostbusters for G-Monsters, right?\I mean, you've even got a cartoon about you.\You're Pied Piper, right? You help people in trouble, right?\Yeah. response:	Help Mommy!
context: Genere... Generan...\Generation Bleu.\We are the blue generation.\Yeah, that! You're like the Ghostbusters for G-Monsters, right?\I mean, you've even got a cartoon about you.\You're Pied Piper, right? You help people in trouble, right?\Yeah.\Help Mommy! response:	She's in there!
context: Generation Bleu.\We are the blue generation.\Yeah, that! You're like the Ghostbusters for G-Monsters, right?\I mean, you've even got a cartoon about you.\You're Pied Piper, right? You help people in trouble, right?\Yeah.\Help Mommy!\She's in there! response:	Young lady, these people have already done their parts.
context: We are the blue generation.\Yeah, that! You're like the Ghostbusters for G-Monsters, right?\I mean, you've even got a cartoon about you.\You're Pied Piper, right? You help people in trouble, right?\Yeah.\Help Mommy!\She's in there!\Young lady, these people have already done their parts. response:	Go!
context: Yeah, that! You're like the Ghostbusters for G-Monsters, right?\I mean, you've even got a cartoon about you.\You're Pied Piper, right? You help people in trouble, right?\Yeah.\Help Mommy!\She's in there!\Young lady, these people have already done their parts.\Go! response:	Chief?!
context: I mean, you've even got a cartoon about you.\You're Pied Piper, right? You help people in trouble, right?\Yeah.\Help Mommy!\She's in there!\Young lady, these people have already done their parts.\Go!\Chief?! response:	We'll be fine with negotiations without you.
context: You're Pied Piper, right? You help people in trouble, right?\Yeah.\Help Mommy!\She's in there!\Young lady, these people have already done their parts.\Go!\Chief?!\We'll be fine with negotiations without you. response:	Hang on, I'm bringing Allelujah.
context: Yeah.\Help Mommy!\She's in there!\Young lady, these people have already done their parts.\Go!\Chief?!\We'll be fine with negotiations without you.\Hang on, I'm bringing Allelujah. response:	Allelujah?
context: Help Mommy!\She's in there!\Young lady, these people have already done their parts.\Go!\Chief?!\We'll be fine with negotiations without you.\Hang on, I'm bringing Allelujah.\Allelujah? response:	My IFO!
context: She's in there!\Young lady, these people have already done their parts.\Go!\Chief?!\We'll be fine with negotiations without you.\Hang on, I'm bringing Allelujah.\Allelujah?\My IFO! response:	So it's true that only children can pilot IFOs.
context: Young lady, these people have already done their parts.\Go!\Chief?!\We'll be fine with negotiations without you.\Hang on, I'm bringing Allelujah.\Allelujah?\My IFO!\So it's true that only children can pilot IFOs. response:	Like Ao yesterday...
context: Go!\Chief?!\We'll be fine with negotiations without you.\Hang on, I'm bringing Allelujah.\Allelujah?\My IFO!\So it's true that only children can pilot IFOs.\Like Ao yesterday... response:	Oh, Ao?
context: Chief?!\We'll be fine with negotiations without you.\Hang on, I'm bringing Allelujah.\Allelujah?\My IFO!\So it's true that only children can pilot IFOs.\Like Ao yesterday...\Oh, Ao? response:	He's the pilot of the IFO yesterday?
context: We'll be fine with negotiations without you.\Hang on, I'm bringing Allelujah.\Allelujah?\My IFO!\So it's true that only children can pilot IFOs.\Like Ao yesterday...\Oh, Ao?\He's the pilot of the IFO yesterday? response:	It's just a rumor...
context: Hang on, I'm bringing Allelujah.\Allelujah?\My IFO!\So it's true that only children can pilot IFOs.\Like Ao yesterday...\Oh, Ao?\He's the pilot of the IFO yesterday?\It's just a rumor... response:	I see. That's so fascinating.
context: Allelujah?\My IFO!\So it's true that only children can pilot IFOs.\Like Ao yesterday...\Oh, Ao?\He's the pilot of the IFO yesterday?\It's just a rumor...\I see. That's so fascinating. response:	Chief! What about the meeting with the SDF?
context: My IFO!\So it's true that only children can pilot IFOs.\Like Ao yesterday...\Oh, Ao?\He's the pilot of the IFO yesterday?\It's just a rumor...\I see. That's so fascinating.\Chief! What about the meeting with the SDF? response:	There will be more drinking than talking anyway.
context: So it's true that only children can pilot IFOs.\Like Ao yesterday...\Oh, Ao?\He's the pilot of the IFO yesterday?\It's just a rumor...\I see. That's so fascinating.\Chief! What about the meeting with the SDF?\There will be more drinking than talking anyway. response:	I'll leave the decision making to you.
context: Like Ao yesterday...\Oh, Ao?\He's the pilot of the IFO yesterday?\It's just a rumor...\I see. That's so fascinating.\Chief! What about the meeting with the SDF?\There will be more drinking than talking anyway.\I'll leave the decision making to you. response:	This is the second Scub Coral that the Okinawa and Ryukyu Alliance have acquired.
context: Oh, Ao?\He's the pilot of the IFO yesterday?\It's just a rumor...\I see. That's so fascinating.\Chief! What about the meeting with the SDF?\There will be more drinking than talking anyway.\I'll leave the decision making to you.\This is the second Scub Coral that the Okinawa and Ryukyu Alliance have acquired. response:	We cannot allow research to be conducted on something so precious by outsiders.
context: He's the pilot of the IFO yesterday?\It's just a rumor...\I see. That's so fascinating.\Chief! What about the meeting with the SDF?\There will be more drinking than talking anyway.\I'll leave the decision making to you.\This is the second Scub Coral that the Okinawa and Ryukyu Alliance have acquired.\We cannot allow research to be conducted on something so precious by outsiders. response:	The Scub Coral hasn't been completely destroyed!
context: It's just a rumor...\I see. That's so fascinating.\Chief! What about the meeting with the SDF?\There will be more drinking than talking anyway.\I'll leave the decision making to you.\This is the second Scub Coral that the Okinawa and Ryukyu Alliance have acquired.\We cannot allow research to be conducted on something so precious by outsiders.\The Scub Coral hasn't been completely destroyed! response:	If it's not dealt with, another Secret will emerge!
context: I see. That's so fascinating.\Chief! What about the meeting with the SDF?\There will be more drinking than talking anyway.\I'll leave the decision making to you.\This is the second Scub Coral that the Okinawa and Ryukyu Alliance have acquired.\We cannot allow research to be conducted on something so precious by outsiders.\The Scub Coral hasn't been completely destroyed!\If it's not dealt with, another Secret will emerge! response:	Secret?
context: Chief! What about the meeting with the SDF?\There will be more drinking than talking anyway.\I'll leave the decision making to you.\This is the second Scub Coral that the Okinawa and Ryukyu Alliance have acquired.\We cannot allow research to be conducted on something so precious by outsiders.\The Scub Coral hasn't been completely destroyed!\If it's not dealt with, another Secret will emerge!\Secret? response:	Oh, so that's what you scientists call G-Monsters.
context: There will be more drinking than talking anyway.\I'll leave the decision making to you.\This is the second Scub Coral that the Okinawa and Ryukyu Alliance have acquired.\We cannot allow research to be conducted on something so precious by outsiders.\The Scub Coral hasn't been completely destroyed!\If it's not dealt with, another Secret will emerge!\Secret?\Oh, so that's what you scientists call G-Monsters. response:	Secret, huh?
context: I'll leave the decision making to you.\This is the second Scub Coral that the Okinawa and Ryukyu Alliance have acquired.\We cannot allow research to be conducted on something so precious by outsiders.\The Scub Coral hasn't been completely destroyed!\If it's not dealt with, another Secret will emerge!\Secret?\Oh, so that's what you scientists call G-Monsters.\Secret, huh? response:	I've never in my life heard of Secrets showing up at the same place twice.
context: This is the second Scub Coral that the Okinawa and Ryukyu Alliance have acquired.\We cannot allow research to be conducted on something so precious by outsiders.\The Scub Coral hasn't been completely destroyed!\If it's not dealt with, another Secret will emerge!\Secret?\Oh, so that's what you scientists call G-Monsters.\Secret, huh?\I've never in my life heard of Secrets showing up at the same place twice. response:	We wish you a safe trip home.
context: We cannot allow research to be conducted on something so precious by outsiders.\The Scub Coral hasn't been completely destroyed!\If it's not dealt with, another Secret will emerge!\Secret?\Oh, so that's what you scientists call G-Monsters.\Secret, huh?\I've never in my life heard of Secrets showing up at the same place twice.\We wish you a safe trip home. response:	Have you finished negotiating with the SDF?
context: The Scub Coral hasn't been completely destroyed!\If it's not dealt with, another Secret will emerge!\Secret?\Oh, so that's what you scientists call G-Monsters.\Secret, huh?\I've never in my life heard of Secrets showing up at the same place twice.\We wish you a safe trip home.\Have you finished negotiating with the SDF? response:	I'm here for our team's Elena Peoples.
context: If it's not dealt with, another Secret will emerge!\Secret?\Oh, so that's what you scientists call G-Monsters.\Secret, huh?\I've never in my life heard of Secrets showing up at the same place twice.\We wish you a safe trip home.\Have you finished negotiating with the SDF?\I'm here for our team's Elena Peoples. response:	Join Fleur. Keep an eye on Scub Coral from a distance.
context: Secret?\Oh, so that's what you scientists call G-Monsters.\Secret, huh?\I've never in my life heard of Secrets showing up at the same place twice.\We wish you a safe trip home.\Have you finished negotiating with the SDF?\I'm here for our team's Elena Peoples.\Join Fleur. Keep an eye on Scub Coral from a distance. response:	Roger.
context: Oh, so that's what you scientists call G-Monsters.\Secret, huh?\I've never in my life heard of Secrets showing up at the same place twice.\We wish you a safe trip home.\Have you finished negotiating with the SDF?\I'm here for our team's Elena Peoples.\Join Fleur. Keep an eye on Scub Coral from a distance.\Roger. response:	And you, Miss Rebecca?
context: Secret, huh?\I've never in my life heard of Secrets showing up at the same place twice.\We wish you a safe trip home.\Have you finished negotiating with the SDF?\I'm here for our team's Elena Peoples.\Join Fleur. Keep an eye on Scub Coral from a distance.\Roger.\And you, Miss Rebecca? response:	I'll...
context: I've never in my life heard of Secrets showing up at the same place twice.\We wish you a safe trip home.\Have you finished negotiating with the SDF?\I'm here for our team's Elena Peoples.\Join Fleur. Keep an eye on Scub Coral from a distance.\Roger.\And you, Miss Rebecca?\I'll... response:	sing a song.
context: We wish you a safe trip home.\Have you finished negotiating with the SDF?\I'm here for our team's Elena Peoples.\Join Fleur. Keep an eye on Scub Coral from a distance.\Roger.\And you, Miss Rebecca?\I'll...\sing a song. response:	As long as the Quartz is still intact, Secrets will show up again.
context: Have you finished negotiating with the SDF?\I'm here for our team's Elena Peoples.\Join Fleur. Keep an eye on Scub Coral from a distance.\Roger.\And you, Miss Rebecca?\I'll...\sing a song.\As long as the Quartz is still intact, Secrets will show up again. response:	You alien kid! Are you a spy for the Japs?!
context: I'm here for our team's Elena Peoples.\Join Fleur. Keep an eye on Scub Coral from a distance.\Roger.\And you, Miss Rebecca?\I'll...\sing a song.\As long as the Quartz is still intact, Secrets will show up again.\You alien kid! Are you a spy for the Japs?! response:	My giant?
context: Join Fleur. Keep an eye on Scub Coral from a distance.\Roger.\And you, Miss Rebecca?\I'll...\sing a song.\As long as the Quartz is still intact, Secrets will show up again.\You alien kid! Are you a spy for the Japs?!\My giant? response:	I only know about the sea giant.
context: Roger.\And you, Miss Rebecca?\I'll...\sing a song.\As long as the Quartz is still intact, Secrets will show up again.\You alien kid! Are you a spy for the Japs?!\My giant?\I only know about the sea giant. response:	It's a big rock.
context: And you, Miss Rebecca?\I'll...\sing a song.\As long as the Quartz is still intact, Secrets will show up again.\You alien kid! Are you a spy for the Japs?!\My giant?\I only know about the sea giant.\It's a big rock. response:	We're not asking you about a rock! We're talking about the giant you pilo
context: I'll...\sing a song.\As long as the Quartz is still intact, Secrets will show up again.\You alien kid! Are you a spy for the Japs?!\My giant?\I only know about the sea giant.\It's a big rock.\We're not asking you about a rock! We're talking about the giant you pilo response:	Long time no see, Ao.
context: sing a song.\As long as the Quartz is still intact, Secrets will show up again.\You alien kid! Are you a spy for the Japs?!\My giant?\I only know about the sea giant.\It's a big rock.\We're not asking you about a rock! We're talking about the giant you pilo\Long time no see, Ao. response:	Have we met before?
context: As long as the Quartz is still intact, Secrets will show up again.\You alien kid! Are you a spy for the Japs?!\My giant?\I only know about the sea giant.\It's a big rock.\We're not asking you about a rock! We're talking about the giant you pilo\Long time no see, Ao.\Have we met before? response:	You don't remember me?
context: You alien kid! Are you a spy for the Japs?!\My giant?\I only know about the sea giant.\It's a big rock.\We're not asking you about a rock! We're talking about the giant you pilo\Long time no see, Ao.\Have we met before?\You don't remember me? response:	Well, I frequented old Fukai's place ten years ago.
context: My giant?\I only know about the sea giant.\It's a big rock.\We're not asking you about a rock! We're talking about the giant you pilo\Long time no see, Ao.\Have we met before?\You don't remember me?\Well, I frequented old Fukai's place ten years ago. response:	Your mother was still around at that time.
context: I only know about the sea giant.\It's a big rock.\We're not asking you about a rock! We're talking about the giant you pilo\Long time no see, Ao.\Have we met before?\You don't remember me?\Well, I frequented old Fukai's place ten years ago.\Your mother was still around at that time. response:	I have a question.
context: It's a big rock.\We're not asking you about a rock! We're talking about the giant you pilo\Long time no see, Ao.\Have we met before?\You don't remember me?\Well, I frequented old Fukai's place ten years ago.\Your mother was still around at that time.\I have a question. response:	Why do you hate me?
context: We're not asking you about a rock! We're talking about the giant you pilo\Long time no see, Ao.\Have we met before?\You don't remember me?\Well, I frequented old Fukai's place ten years ago.\Your mother was still around at that time.\I have a question.\Why do you hate me? response:	I told them many times.
context: Long time no see, Ao.\Have we met before?\You don't remember me?\Well, I frequented old Fukai's place ten years ago.\Your mother was still around at that time.\I have a question.\Why do you hate me?\I told them many times. response:	Don't get involved with a woman from the sky.
context: Have we met before?\You don't remember me?\Well, I frequented old Fukai's place ten years ago.\Your mother was still around at that time.\I have a question.\Why do you hate me?\I told them many times.\Don't get involved with a woman from the sky. response:	That's right... It was thirteen years ago.
context: You don't remember me?\Well, I frequented old Fukai's place ten years ago.\Your mother was still around at that time.\I have a question.\Why do you hate me?\I told them many times.\Don't get involved with a woman from the sky.\That's right... It was thirteen years ago. response:	Back then... Mitsuo saw it as well.
context: Well, I frequented old Fukai's place ten years ago.\Your mother was still around at that time.\I have a question.\Why do you hate me?\I told them many times.\Don't get involved with a woman from the sky.\That's right... It was thirteen years ago.\Back then... Mitsuo saw it as well. response:	Ao's mother fell out of the empty sky.
context: Your mother was still around at that time.\I have a question.\Why do you hate me?\I told them many times.\Don't get involved with a woman from the sky.\That's right... It was thirteen years ago.\Back then... Mitsuo saw it as well.\Ao's mother fell out of the empty sky. response:	Let's get out of here!
context: I have a question.\Why do you hate me?\I told them many times.\Don't get involved with a woman from the sky.\That's right... It was thirteen years ago.\Back then... Mitsuo saw it as well.\Ao's mother fell out of the empty sky.\Let's get out of here! response:	It was before our Independence.
context: Why do you hate me?\I told them many times.\Don't get involved with a woman from the sky.\That's right... It was thirteen years ago.\Back then... Mitsuo saw it as well.\Ao's mother fell out of the empty sky.\Let's get out of here!\It was before our Independence. response:	The Americans came looking for her, but Fukai Toshio hid her.
context: I told them many times.\Don't get involved with a woman from the sky.\That's right... It was thirteen years ago.\Back then... Mitsuo saw it as well.\Ao's mother fell out of the empty sky.\Let's get out of here!\It was before our Independence.\The Americans came looking for her, but Fukai Toshio hid her. response:	When Ao was born, everyone thought he was an alien...
context: Don't get involved with a woman from the sky.\That's right... It was thirteen years ago.\Back then... Mitsuo saw it as well.\Ao's mother fell out of the empty sky.\Let's get out of here!\It was before our Independence.\The Americans came looking for her, but Fukai Toshio hid her.\When Ao was born, everyone thought he was an alien... response:	And he's hated because of that?!
