context: Why am I being so indecisive about this? response:	Well, I'll be going now, Ayumi.
context: Episode 9 The World is Not in Here\Isn't it a bit early compared to when the gig starts?\It's so I can buy goods from the gig.\You can't do that after it's over?\Most of the popular merchandising sell out.\I guess that's how things go?\In any case, you're a pretty big fangirl.\If that's so, you should have just met Sala yesterday. response:	I don't have any desire to buy t-shirts, hoodies, or stuff like that.
context: Isn't it a bit early compared to when the gig starts?\It's so I can buy goods from the gig.\You can't do that after it's over?\Most of the popular merchandising sell out.\I guess that's how things go?\In any case, you're a pretty big fangirl.\If that's so, you should have just met Sala yesterday.\I don't have any desire to buy t-shirts, hoodies, or stuff like that. response:	I just want their highly functional smartphone case!
context: It's so I can buy goods from the gig.\You can't do that after it's over?\Most of the popular merchandising sell out.\I guess that's how things go?\In any case, you're a pretty big fangirl.\If that's so, you should have just met Sala yesterday.\I don't have any desire to buy t-shirts, hoodies, or stuff like that.\I just want their highly functional smartphone case! response:	It comes with an internal battery and a high-sound quality linear PCM recorder!
context: You can't do that after it's over?\Most of the popular merchandising sell out.\I guess that's how things go?\In any case, you're a pretty big fangirl.\If that's so, you should have just met Sala yesterday.\I don't have any desire to buy t-shirts, hoodies, or stuff like that.\I just want their highly functional smartphone case!\It comes with an internal battery and a high-sound quality linear PCM recorder! response:	Yeah, I get it. that's nice.
context: Most of the popular merchandising sell out.\I guess that's how things go?\In any case, you're a pretty big fangirl.\If that's so, you should have just met Sala yesterday.\I don't have any desire to buy t-shirts, hoodies, or stuff like that.\I just want their highly functional smartphone case!\It comes with an internal battery and a high-sound quality linear PCM recorder!\Yeah, I get it. that's nice. response:	You don't want one?
context: I guess that's how things go?\In any case, you're a pretty big fangirl.\If that's so, you should have just met Sala yesterday.\I don't have any desire to buy t-shirts, hoodies, or stuff like that.\I just want their highly functional smartphone case!\It comes with an internal battery and a high-sound quality linear PCM recorder!\Yeah, I get it. that's nice.\You don't want one? response:	If I bought one, we'd have a matching pair. You're fine with that?
context: In any case, you're a pretty big fangirl.\If that's so, you should have just met Sala yesterday.\I don't have any desire to buy t-shirts, hoodies, or stuff like that.\I just want their highly functional smartphone case!\It comes with an internal battery and a high-sound quality linear PCM recorder!\Yeah, I get it. that's nice.\You don't want one?\If I bought one, we'd have a matching pair. You're fine with that? response:	Oh, I see.
context: If that's so, you should have just met Sala yesterday.\I don't have any desire to buy t-shirts, hoodies, or stuff like that.\I just want their highly functional smartphone case!\It comes with an internal battery and a high-sound quality linear PCM recorder!\Yeah, I get it. that's nice.\You don't want one?\If I bought one, we'd have a matching pair. You're fine with that?\Oh, I see. response:	Please make sure to not buy one.
context: I don't have any desire to buy t-shirts, hoodies, or stuff like that.\I just want their highly functional smartphone case!\It comes with an internal battery and a high-sound quality linear PCM recorder!\Yeah, I get it. that's nice.\You don't want one?\If I bought one, we'd have a matching pair. You're fine with that?\Oh, I see.\Please make sure to not buy one. response:	She said it so bluntly... it's kinda shocking.
context: I just want their highly functional smartphone case!\It comes with an internal battery and a high-sound quality linear PCM recorder!\Yeah, I get it. that's nice.\You don't want one?\If I bought one, we'd have a matching pair. You're fine with that?\Oh, I see.\Please make sure to not buy one.\She said it so bluntly... it's kinda shocking. response:	There's a huge line...
context: It comes with an internal battery and a high-sound quality linear PCM recorder!\Yeah, I get it. that's nice.\You don't want one?\If I bought one, we'd have a matching pair. You're fine with that?\Oh, I see.\Please make sure to not buy one.\She said it so bluntly... it's kinda shocking.\There's a huge line... response:	I guess we have to honestly line up.
context: Yeah, I get it. that's nice.\You don't want one?\If I bought one, we'd have a matching pair. You're fine with that?\Oh, I see.\Please make sure to not buy one.\She said it so bluntly... it's kinda shocking.\There's a huge line...\I guess we have to honestly line up. response:	Why are you just standing there?
context: You don't want one?\If I bought one, we'd have a matching pair. You're fine with that?\Oh, I see.\Please make sure to not buy one.\She said it so bluntly... it's kinda shocking.\There's a huge line...\I guess we have to honestly line up.\Why are you just standing there? response:	Well, I'm not buying anything.
context: If I bought one, we'd have a matching pair. You're fine with that?\Oh, I see.\Please make sure to not buy one.\She said it so bluntly... it's kinda shocking.\There's a huge line...\I guess we have to honestly line up.\Why are you just standing there?\Well, I'm not buying anything. response:	Either way, you're here with me.
context: Oh, I see.\Please make sure to not buy one.\She said it so bluntly... it's kinda shocking.\There's a huge line...\I guess we have to honestly line up.\Why are you just standing there?\Well, I'm not buying anything.\Either way, you're here with me. response:	If I'm alone, I won't have anyone to talk to so I'll be bored.
context: Please make sure to not buy one.\She said it so bluntly... it's kinda shocking.\There's a huge line...\I guess we have to honestly line up.\Why are you just standing there?\Well, I'm not buying anything.\Either way, you're here with me.\If I'm alone, I won't have anyone to talk to so I'll be bored. response:	In the first place, didn't she hate me?
context: She said it so bluntly... it's kinda shocking.\There's a huge line...\I guess we have to honestly line up.\Why are you just standing there?\Well, I'm not buying anything.\Either way, you're here with me.\If I'm alone, I won't have anyone to talk to so I'll be bored.\In the first place, didn't she hate me? response:	Inviting me to gigs, lining up together... why are we getting all friendly?
context: There's a huge line...\I guess we have to honestly line up.\Why are you just standing there?\Well, I'm not buying anything.\Either way, you're here with me.\If I'm alone, I won't have anyone to talk to so I'll be bored.\In the first place, didn't she hate me?\Inviting me to gigs, lining up together... why are we getting all friendly? response:	I hope they don't sell out.
context: I guess we have to honestly line up.\Why are you just standing there?\Well, I'm not buying anything.\Either way, you're here with me.\If I'm alone, I won't have anyone to talk to so I'll be bored.\In the first place, didn't she hate me?\Inviting me to gigs, lining up together... why are we getting all friendly?\I hope they don't sell out. response:	What's wrong?
context: Why are you just standing there?\Well, I'm not buying anything.\Either way, you're here with me.\If I'm alone, I won't have anyone to talk to so I'll be bored.\In the first place, didn't she hate me?\Inviting me to gigs, lining up together... why are we getting all friendly?\I hope they don't sell out.\What's wrong? response:	No, well, I was thinking it's a long line...
context: Well, I'm not buying anything.\Either way, you're here with me.\If I'm alone, I won't have anyone to talk to so I'll be bored.\In the first place, didn't she hate me?\Inviting me to gigs, lining up together... why are we getting all friendly?\I hope they don't sell out.\What's wrong?\No, well, I was thinking it's a long line... response:	Of course, they are a band that is popular globally.
context: Either way, you're here with me.\If I'm alone, I won't have anyone to talk to so I'll be bored.\In the first place, didn't she hate me?\Inviting me to gigs, lining up together... why are we getting all friendly?\I hope they don't sell out.\What's wrong?\No, well, I was thinking it's a long line...\Of course, they are a band that is popular globally. response:	In the first place, they aren't a group that is too good for a box of this capacity.
context: If I'm alone, I won't have anyone to talk to so I'll be bored.\In the first place, didn't she hate me?\Inviting me to gigs, lining up together... why are we getting all friendly?\I hope they don't sell out.\What's wrong?\No, well, I was thinking it's a long line...\Of course, they are a band that is popular globally.\In the first place, they aren't a group that is too good for a box of this capacity. response:	So she's someone amazing...
context: In the first place, didn't she hate me?\Inviting me to gigs, lining up together... why are we getting all friendly?\I hope they don't sell out.\What's wrong?\No, well, I was thinking it's a long line...\Of course, they are a band that is popular globally.\In the first place, they aren't a group that is too good for a box of this capacity.\So she's someone amazing... response:	Got my case!
context: Inviting me to gigs, lining up together... why are we getting all friendly?\I hope they don't sell out.\What's wrong?\No, well, I was thinking it's a long line...\Of course, they are a band that is popular globally.\In the first place, they aren't a group that is too good for a box of this capacity.\So she's someone amazing...\Got my case! response:	Look, look, look here!
context: I hope they don't sell out.\What's wrong?\No, well, I was thinking it's a long line...\Of course, they are a band that is popular globally.\In the first place, they aren't a group that is too good for a box of this capacity.\So she's someone amazing...\Got my case!\Look, look, look here! response:	What do you think about the logo on the back! ZHIEND is such a figurative art!
context: What's wrong?\No, well, I was thinking it's a long line...\Of course, they are a band that is popular globally.\In the first place, they aren't a group that is too good for a box of this capacity.\So she's someone amazing...\Got my case!\Look, look, look here!\What do you think about the logo on the back! ZHIEND is such a figurative art! response:	Yeah, I think it's wonderful.
context: No, well, I was thinking it's a long line...\Of course, they are a band that is popular globally.\In the first place, they aren't a group that is too good for a box of this capacity.\So she's someone amazing...\Got my case!\Look, look, look here!\What do you think about the logo on the back! ZHIEND is such a figurative art!\Yeah, I think it's wonderful. response:	Isn't it! So awesome! It looks so cool!
context: Of course, they are a band that is popular globally.\In the first place, they aren't a group that is too good for a box of this capacity.\So she's someone amazing...\Got my case!\Look, look, look here!\What do you think about the logo on the back! ZHIEND is such a figurative art!\Yeah, I think it's wonderful.\Isn't it! So awesome! It looks so cool! response:	In the end, you are a fangirl...
context: In the first place, they aren't a group that is too good for a box of this capacity.\So she's someone amazing...\Got my case!\Look, look, look here!\What do you think about the logo on the back! ZHIEND is such a figurative art!\Yeah, I think it's wonderful.\Isn't it! So awesome! It looks so cool!\In the end, you are a fangirl... response:	It's starting!
context: So she's someone amazing...\Got my case!\Look, look, look here!\What do you think about the logo on the back! ZHIEND is such a figurative art!\Yeah, I think it's wonderful.\Isn't it! So awesome! It looks so cool!\In the end, you are a fangirl...\It's starting! response:	Lying before me
context: Got my case!\Look, look, look here!\What do you think about the logo on the back! ZHIEND is such a figurative art!\Yeah, I think it's wonderful.\Isn't it! So awesome! It looks so cool!\In the end, you are a fangirl...\It's starting!\Lying before me response:	Scene painted in green
context: Look, look, look here!\What do you think about the logo on the back! ZHIEND is such a figurative art!\Yeah, I think it's wonderful.\Isn't it! So awesome! It looks so cool!\In the end, you are a fangirl...\It's starting!\Lying before me\Scene painted in green response:	I was never found
context: What do you think about the logo on the back! ZHIEND is such a figurative art!\Yeah, I think it's wonderful.\Isn't it! So awesome! It looks so cool!\In the end, you are a fangirl...\It's starting!\Lying before me\Scene painted in green\I was never found response:	And I played hide and seek
context: Yeah, I think it's wonderful.\Isn't it! So awesome! It looks so cool!\In the end, you are a fangirl...\It's starting!\Lying before me\Scene painted in green\I was never found\And I played hide and seek response:	There remains a little scar on your face still facing down
context: Isn't it! So awesome! It looks so cool!\In the end, you are a fangirl...\It's starting!\Lying before me\Scene painted in green\I was never found\And I played hide and seek\There remains a little scar on your face still facing down response:	To the ground you hold yourself and crouch like you've been wounded
context: In the end, you are a fangirl...\It's starting!\Lying before me\Scene painted in green\I was never found\And I played hide and seek\There remains a little scar on your face still facing down\To the ground you hold yourself and crouch like you've been wounded response:	I adored the days when we just want more things with no means oh
context: It's starting!\Lying before me\Scene painted in green\I was never found\And I played hide and seek\There remains a little scar on your face still facing down\To the ground you hold yourself and crouch like you've been wounded\I adored the days when we just want more things with no means oh response:	I adored when you were always just there for me by my side
context: Lying before me\Scene painted in green\I was never found\And I played hide and seek\There remains a little scar on your face still facing down\To the ground you hold yourself and crouch like you've been wounded\I adored the days when we just want more things with no means oh\I adored when you were always just there for me by my side response:	What is this strange sensation?
context: Scene painted in green\I was never found\And I played hide and seek\There remains a little scar on your face still facing down\To the ground you hold yourself and crouch like you've been wounded\I adored the days when we just want more things with no means oh\I adored when you were always just there for me by my side\What is this strange sensation? response:	Next up is a world premiere of a song right here in loving Japan!
context: I was never found\And I played hide and seek\There remains a little scar on your face still facing down\To the ground you hold yourself and crouch like you've been wounded\I adored the days when we just want more things with no means oh\I adored when you were always just there for me by my side\What is this strange sensation?\Next up is a world premiere of a song right here in loving Japan! response:	TRIGGER!
context: And I played hide and seek\There remains a little scar on your face still facing down\To the ground you hold yourself and crouch like you've been wounded\I adored the days when we just want more things with no means oh\I adored when you were always just there for me by my side\What is this strange sensation?\Next up is a world premiere of a song right here in loving Japan!\TRIGGER! response:	Come now heading to the oblivion
context: There remains a little scar on your face still facing down\To the ground you hold yourself and crouch like you've been wounded\I adored the days when we just want more things with no means oh\I adored when you were always just there for me by my side\What is this strange sensation?\Next up is a world premiere of a song right here in loving Japan!\TRIGGER!\Come now heading to the oblivion response:	To the darkness sink me
context: To the ground you hold yourself and crouch like you've been wounded\I adored the days when we just want more things with no means oh\I adored when you were always just there for me by my side\What is this strange sensation?\Next up is a world premiere of a song right here in loving Japan!\TRIGGER!\Come now heading to the oblivion\To the darkness sink me response:	Future is lonely as it seems to be
context: I adored the days when we just want more things with no means oh\I adored when you were always just there for me by my side\What is this strange sensation?\Next up is a world premiere of a song right here in loving Japan!\TRIGGER!\Come now heading to the oblivion\To the darkness sink me\Future is lonely as it seems to be response:	And I am reaching from there
context: I adored when you were always just there for me by my side\What is this strange sensation?\Next up is a world premiere of a song right here in loving Japan!\TRIGGER!\Come now heading to the oblivion\To the darkness sink me\Future is lonely as it seems to be\And I am reaching from there response:	I remember this song..? This should be the first time hearing it...
context: What is this strange sensation?\Next up is a world premiere of a song right here in loving Japan!\TRIGGER!\Come now heading to the oblivion\To the darkness sink me\Future is lonely as it seems to be\And I am reaching from there\I remember this song..? This should be the first time hearing it... response:	My mind is clear now I feel like I can do anything
context: Next up is a world premiere of a song right here in loving Japan!\TRIGGER!\Come now heading to the oblivion\To the darkness sink me\Future is lonely as it seems to be\And I am reaching from there\I remember this song..? This should be the first time hearing it...\My mind is clear now I feel like I can do anything response:	When I want to do it, yeah
context: TRIGGER!\Come now heading to the oblivion\To the darkness sink me\Future is lonely as it seems to be\And I am reaching from there\I remember this song..? This should be the first time hearing it...\My mind is clear now I feel like I can do anything\When I want to do it, yeah response:	I feel I'm notorious
context: Come now heading to the oblivion\To the darkness sink me\Future is lonely as it seems to be\And I am reaching from there\I remember this song..? This should be the first time hearing it...\My mind is clear now I feel like I can do anything\When I want to do it, yeah\I feel I'm notorious response:	Do you know what you can handle?
context: To the darkness sink me\Future is lonely as it seems to be\And I am reaching from there\I remember this song..? This should be the first time hearing it...\My mind is clear now I feel like I can do anything\When I want to do it, yeah\I feel I'm notorious\Do you know what you can handle? response:	Do you know me?
context: Future is lonely as it seems to be\And I am reaching from there\I remember this song..? This should be the first time hearing it...\My mind is clear now I feel like I can do anything\When I want to do it, yeah\I feel I'm notorious\Do you know what you can handle?\Do you know me? response:	Spinning round and round
context: And I am reaching from there\I remember this song..? This should be the first time hearing it...\My mind is clear now I feel like I can do anything\When I want to do it, yeah\I feel I'm notorious\Do you know what you can handle?\Do you know me?\Spinning round and round response:	Going back and forth
context: I remember this song..? This should be the first time hearing it...\My mind is clear now I feel like I can do anything\When I want to do it, yeah\I feel I'm notorious\Do you know what you can handle?\Do you know me?\Spinning round and round\Going back and forth response:	Will be here as an angel that's fallen deep
context: My mind is clear now I feel like I can do anything\When I want to do it, yeah\I feel I'm notorious\Do you know what you can handle?\Do you know me?\Spinning round and round\Going back and forth\Will be here as an angel that's fallen deep response:	See there's the dark side waiting for me
context: When I want to do it, yeah\I feel I'm notorious\Do you know what you can handle?\Do you know me?\Spinning round and round\Going back and forth\Will be here as an angel that's fallen deep\See there's the dark side waiting for me response:	Never end forever
context: I feel I'm notorious\Do you know what you can handle?\Do you know me?\Spinning round and round\Going back and forth\Will be here as an angel that's fallen deep\See there's the dark side waiting for me\Never end forever response:	Out on the rim no need to breathe ever I'm
context: Do you know what you can handle?\Do you know me?\Spinning round and round\Going back and forth\Will be here as an angel that's fallen deep\See there's the dark side waiting for me\Never end forever\Out on the rim no need to breathe ever I'm response:	Big Brother Yu, what is the matter?
context: Do you know me?\Spinning round and round\Going back and forth\Will be here as an angel that's fallen deep\See there's the dark side waiting for me\Never end forever\Out on the rim no need to breathe ever I'm\Big Brother Yu, what is the matter? response:	I'm sorry... ZHIEND's new song was too sensational...
context: Spinning round and round\Going back and forth\Will be here as an angel that's fallen deep\See there's the dark side waiting for me\Never end forever\Out on the rim no need to breathe ever I'm\Big Brother Yu, what is the matter?\I'm sorry... ZHIEND's new song was too sensational... response:	ZHIEND is so amazing after all.
context: Going back and forth\Will be here as an angel that's fallen deep\See there's the dark side waiting for me\Never end forever\Out on the rim no need to breathe ever I'm\Big Brother Yu, what is the matter?\I'm sorry... ZHIEND's new song was too sensational...\ZHIEND is so amazing after all. response:	It's a song that seems like you just can't ever forget.
context: Will be here as an angel that's fallen deep\See there's the dark side waiting for me\Never end forever\Out on the rim no need to breathe ever I'm\Big Brother Yu, what is the matter?\I'm sorry... ZHIEND's new song was too sensational...\ZHIEND is so amazing after all.\It's a song that seems like you just can't ever forget. response:	No matter what happens in the future...
context: See there's the dark side waiting for me\Never end forever\Out on the rim no need to breathe ever I'm\Big Brother Yu, what is the matter?\I'm sorry... ZHIEND's new song was too sensational...\ZHIEND is so amazing after all.\It's a song that seems like you just can't ever forget.\No matter what happens in the future... response:	What about you?
context: Never end forever\Out on the rim no need to breathe ever I'm\Big Brother Yu, what is the matter?\I'm sorry... ZHIEND's new song was too sensational...\ZHIEND is so amazing after all.\It's a song that seems like you just can't ever forget.\No matter what happens in the future...\What about you? response:	Haro-haro was Haro-haro. Stable as usual.
context: Out on the rim no need to breathe ever I'm\Big Brother Yu, what is the matter?\I'm sorry... ZHIEND's new song was too sensational...\ZHIEND is so amazing after all.\It's a song that seems like you just can't ever forget.\No matter what happens in the future...\What about you?\Haro-haro was Haro-haro. Stable as usual. response:	It is time for dinner in D-block. I repeat. It is time for dinner in D-block.
context: Big Brother Yu, what is the matter?\I'm sorry... ZHIEND's new song was too sensational...\ZHIEND is so amazing after all.\It's a song that seems like you just can't ever forget.\No matter what happens in the future...\What about you?\Haro-haro was Haro-haro. Stable as usual.\It is time for dinner in D-block. I repeat. It is time for dinner in D-block. response:	Oh, I'm starving right now!
context: I'm sorry... ZHIEND's new song was too sensational...\ZHIEND is so amazing after all.\It's a song that seems like you just can't ever forget.\No matter what happens in the future...\What about you?\Haro-haro was Haro-haro. Stable as usual.\It is time for dinner in D-block. I repeat. It is time for dinner in D-block.\Oh, I'm starving right now! response:	It's this old man again...
context: ZHIEND is so amazing after all.\It's a song that seems like you just can't ever forget.\No matter what happens in the future...\What about you?\Haro-haro was Haro-haro. Stable as usual.\It is time for dinner in D-block. I repeat. It is time for dinner in D-block.\Oh, I'm starving right now!\It's this old man again... response:	Why is he here all the time?
context: It's a song that seems like you just can't ever forget.\No matter what happens in the future...\What about you?\Haro-haro was Haro-haro. Stable as usual.\It is time for dinner in D-block. I repeat. It is time for dinner in D-block.\Oh, I'm starving right now!\It's this old man again...\Why is he here all the time? response:	Classical music is great.
context: No matter what happens in the future...\What about you?\Haro-haro was Haro-haro. Stable as usual.\It is time for dinner in D-block. I repeat. It is time for dinner in D-block.\Oh, I'm starving right now!\It's this old man again...\Why is he here all the time?\Classical music is great. response:	There is virtually no stagnation... just like a mathematical formula.
context: What about you?\Haro-haro was Haro-haro. Stable as usual.\It is time for dinner in D-block. I repeat. It is time for dinner in D-block.\Oh, I'm starving right now!\It's this old man again...\Why is he here all the time?\Classical music is great.\There is virtually no stagnation... just like a mathematical formula. response:	So that is your little sister?
context: Haro-haro was Haro-haro. Stable as usual.\It is time for dinner in D-block. I repeat. It is time for dinner in D-block.\Oh, I'm starving right now!\It's this old man again...\Why is he here all the time?\Classical music is great.\There is virtually no stagnation... just like a mathematical formula.\So that is your little sister? response:	Yes...
context: It is time for dinner in D-block. I repeat. It is time for dinner in D-block.\Oh, I'm starving right now!\It's this old man again...\Why is he here all the time?\Classical music is great.\There is virtually no stagnation... just like a mathematical formula.\So that is your little sister?\Yes... response:	I see... I pity you.
context: Oh, I'm starving right now!\It's this old man again...\Why is he here all the time?\Classical music is great.\There is virtually no stagnation... just like a mathematical formula.\So that is your little sister?\Yes...\I see... I pity you. response:	So there's a researcher that feels that way towards us?
context: It's this old man again...\Why is he here all the time?\Classical music is great.\There is virtually no stagnation... just like a mathematical formula.\So that is your little sister?\Yes...\I see... I pity you.\So there's a researcher that feels that way towards us? response:	Why are you here every day?
context: Why is he here all the time?\Classical music is great.\There is virtually no stagnation... just like a mathematical formula.\So that is your little sister?\Yes...\I see... I pity you.\So there's a researcher that feels that way towards us?\Why are you here every day? response:	It is always the case that the extraordinary,
context: Classical music is great.\There is virtually no stagnation... just like a mathematical formula.\So that is your little sister?\Yes...\I see... I pity you.\So there's a researcher that feels that way towards us?\Why are you here every day?\It is always the case that the extraordinary, response:	or hypotheses that trouble researchers are ridiculed.
context: There is virtually no stagnation... just like a mathematical formula.\So that is your little sister?\Yes...\I see... I pity you.\So there's a researcher that feels that way towards us?\Why are you here every day?\It is always the case that the extraordinary,\or hypotheses that trouble researchers are ridiculed. response:	That is why I am here, lost in thought.
context: So that is your little sister?\Yes...\I see... I pity you.\So there's a researcher that feels that way towards us?\Why are you here every day?\It is always the case that the extraordinary,\or hypotheses that trouble researchers are ridiculed.\That is why I am here, lost in thought. response:	I see...
context: Yes...\I see... I pity you.\So there's a researcher that feels that way towards us?\Why are you here every day?\It is always the case that the extraordinary,\or hypotheses that trouble researchers are ridiculed.\That is why I am here, lost in thought.\I see... response:	Do you know about the Ptolemaic theory?
context: I see... I pity you.\So there's a researcher that feels that way towards us?\Why are you here every day?\It is always the case that the extraordinary,\or hypotheses that trouble researchers are ridiculed.\That is why I am here, lost in thought.\I see...\Do you know about the Ptolemaic theory? response:	I believe I've heard of the term...
context: So there's a researcher that feels that way towards us?\Why are you here every day?\It is always the case that the extraordinary,\or hypotheses that trouble researchers are ridiculed.\That is why I am here, lost in thought.\I see...\Do you know about the Ptolemaic theory?\I believe I've heard of the term... response:	It's an extraordinary theory when you think in today's standards,
context: Why are you here every day?\It is always the case that the extraordinary,\or hypotheses that trouble researchers are ridiculed.\That is why I am here, lost in thought.\I see...\Do you know about the Ptolemaic theory?\I believe I've heard of the term...\It's an extraordinary theory when you think in today's standards, response:	but back then it was the normal way of thought.
context: It is always the case that the extraordinary,\or hypotheses that trouble researchers are ridiculed.\That is why I am here, lost in thought.\I see...\Do you know about the Ptolemaic theory?\I believe I've heard of the term...\It's an extraordinary theory when you think in today's standards,\but back then it was the normal way of thought. response:	But, reality was different.
context: or hypotheses that trouble researchers are ridiculed.\That is why I am here, lost in thought.\I see...\Do you know about the Ptolemaic theory?\I believe I've heard of the term...\It's an extraordinary theory when you think in today's standards,\but back then it was the normal way of thought.\But, reality was different. response:	What do you think happened to the first person that asserted a different opinion?
context: That is why I am here, lost in thought.\I see...\Do you know about the Ptolemaic theory?\I believe I've heard of the term...\It's an extraordinary theory when you think in today's standards,\but back then it was the normal way of thought.\But, reality was different.\What do you think happened to the first person that asserted a different opinion? response:	Dunno...
context: I see...\Do you know about the Ptolemaic theory?\I believe I've heard of the term...\It's an extraordinary theory when you think in today's standards,\but back then it was the normal way of thought.\But, reality was different.\What do you think happened to the first person that asserted a different opinion?\Dunno... response:	He was treated as a nonconformist, shunned,
context: Do you know about the Ptolemaic theory?\I believe I've heard of the term...\It's an extraordinary theory when you think in today's standards,\but back then it was the normal way of thought.\But, reality was different.\What do you think happened to the first person that asserted a different opinion?\Dunno...\He was treated as a nonconformist, shunned, response:	and couldn't do anything anymore.
context: I believe I've heard of the term...\It's an extraordinary theory when you think in today's standards,\but back then it was the normal way of thought.\But, reality was different.\What do you think happened to the first person that asserted a different opinion?\Dunno...\He was treated as a nonconformist, shunned,\and couldn't do anything anymore. response:	Just like how I am now.
context: It's an extraordinary theory when you think in today's standards,\but back then it was the normal way of thought.\But, reality was different.\What do you think happened to the first person that asserted a different opinion?\Dunno...\He was treated as a nonconformist, shunned,\and couldn't do anything anymore.\Just like how I am now. response:	I see...
context: but back then it was the normal way of thought.\But, reality was different.\What do you think happened to the first person that asserted a different opinion?\Dunno...\He was treated as a nonconformist, shunned,\and couldn't do anything anymore.\Just like how I am now.\I see... response:	All right! It's curry today!
context: But, reality was different.\What do you think happened to the first person that asserted a different opinion?\Dunno...\He was treated as a nonconformist, shunned,\and couldn't do anything anymore.\Just like how I am now.\I see...\All right! It's curry today! response:	I'm sure there are chemicals that boost abilities in it again,
context: What do you think happened to the first person that asserted a different opinion?\Dunno...\He was treated as a nonconformist, shunned,\and couldn't do anything anymore.\Just like how I am now.\I see...\All right! It's curry today!\I'm sure there are chemicals that boost abilities in it again, response:	so it will taste like medicine.
context: Dunno...\He was treated as a nonconformist, shunned,\and couldn't do anything anymore.\Just like how I am now.\I see...\All right! It's curry today!\I'm sure there are chemicals that boost abilities in it again,\so it will taste like medicine. response:	But still, Ayu thinks that curry is chock full of deliciousness that makes people happy!
context: He was treated as a nonconformist, shunned,\and couldn't do anything anymore.\Just like how I am now.\I see...\All right! It's curry today!\I'm sure there are chemicals that boost abilities in it again,\so it will taste like medicine.\But still, Ayu thinks that curry is chock full of deliciousness that makes people happy! response:	I wish Big Brother Shun was here too. The three of us eating together!
context: and couldn't do anything anymore.\Just like how I am now.\I see...\All right! It's curry today!\I'm sure there are chemicals that boost abilities in it again,\so it will taste like medicine.\But still, Ayu thinks that curry is chock full of deliciousness that makes people happy!\I wish Big Brother Shun was here too. The three of us eating together! response:	Big Brother's ability is way too protrusive. That's just impossible.
context: Just like how I am now.\I see...\All right! It's curry today!\I'm sure there are chemicals that boost abilities in it again,\so it will taste like medicine.\But still, Ayu thinks that curry is chock full of deliciousness that makes people happy!\I wish Big Brother Shun was here too. The three of us eating together!\Big Brother's ability is way too protrusive. That's just impossible. response:	What was his ability?
context: I see...\All right! It's curry today!\I'm sure there are chemicals that boost abilities in it again,\so it will taste like medicine.\But still, Ayu thinks that curry is chock full of deliciousness that makes people happy!\I wish Big Brother Shun was here too. The three of us eating together!\Big Brother's ability is way too protrusive. That's just impossible.\What was his ability? response:	Traveling through time... time-leap.
context: All right! It's curry today!\I'm sure there are chemicals that boost abilities in it again,\so it will taste like medicine.\But still, Ayu thinks that curry is chock full of deliciousness that makes people happy!\I wish Big Brother Shun was here too. The three of us eating together!\Big Brother's ability is way too protrusive. That's just impossible.\What was his ability?\Traveling through time... time-leap. response:	That is just too amazing!
