context: During the two weeks that Nana was gone, response:	I took on extra work, so I'd be busy every day,
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	I'm thinking about going on a trip.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm thinking about going on a trip. response:	Hey, that sounds nice.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm thinking about going on a trip.\Hey, that sounds nice. response:	Buy me a gift from wherever you're going.
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm thinking about going on a trip.\Hey, that sounds nice.\Buy me a gift from wherever you're going. response:	I'm finished.
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm thinking about going on a trip.\Hey, that sounds nice.\Buy me a gift from wherever you're going.\I'm finished. response:	Where do you wanna go?
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm thinking about going on a trip.\Hey, that sounds nice.\Buy me a gift from wherever you're going.\I'm finished.\Where do you wanna go? response:	Go on your own.
context: This sky is torn\By a single overflowing word\I'm thinking about going on a trip.\Hey, that sounds nice.\Buy me a gift from wherever you're going.\I'm finished.\Where do you wanna go?\Go on your own. response:	You might have the time, but I'm busy.
context: By a single overflowing word\I'm thinking about going on a trip.\Hey, that sounds nice.\Buy me a gift from wherever you're going.\I'm finished.\Where do you wanna go?\Go on your own.\You might have the time, but I'm busy. response:	Take some time off work.
context: I'm thinking about going on a trip.\Hey, that sounds nice.\Buy me a gift from wherever you're going.\I'm finished.\Where do you wanna go?\Go on your own.\You might have the time, but I'm busy.\Take some time off work. response:	We have an important concert coming up,
context: Hey, that sounds nice.\Buy me a gift from wherever you're going.\I'm finished.\Where do you wanna go?\Go on your own.\You might have the time, but I'm busy.\Take some time off work.\We have an important concert coming up, response:	so I hafta practice every day.
context: Buy me a gift from wherever you're going.\I'm finished.\Where do you wanna go?\Go on your own.\You might have the time, but I'm busy.\Take some time off work.\We have an important concert coming up,\so I hafta practice every day. response:	What's that? Are you on the pill again?
context: I'm finished.\Where do you wanna go?\Go on your own.\You might have the time, but I'm busy.\Take some time off work.\We have an important concert coming up,\so I hafta practice every day.\What's that? Are you on the pill again? response:	It's your fault! If you want a child that badly,
context: Where do you wanna go?\Go on your own.\You might have the time, but I'm busy.\Take some time off work.\We have an important concert coming up,\so I hafta practice every day.\What's that? Are you on the pill again?\It's your fault! If you want a child that badly, response:	have some other woman give birth to one for you.
context: Go on your own.\You might have the time, but I'm busy.\Take some time off work.\We have an important concert coming up,\so I hafta practice every day.\What's that? Are you on the pill again?\It's your fault! If you want a child that badly,\have some other woman give birth to one for you. response:	You don't mind if I slept with another woman?
context: You might have the time, but I'm busy.\Take some time off work.\We have an important concert coming up,\so I hafta practice every day.\What's that? Are you on the pill again?\It's your fault! If you want a child that badly,\have some other woman give birth to one for you.\You don't mind if I slept with another woman? response:	You're such a cold woman.
context: Take some time off work.\We have an important concert coming up,\so I hafta practice every day.\What's that? Are you on the pill again?\It's your fault! If you want a child that badly,\have some other woman give birth to one for you.\You don't mind if I slept with another woman?\You're such a cold woman. response:	You just realized that now?
context: We have an important concert coming up,\so I hafta practice every day.\What's that? Are you on the pill again?\It's your fault! If you want a child that badly,\have some other woman give birth to one for you.\You don't mind if I slept with another woman?\You're such a cold woman.\You just realized that now? response:	I'm gonna go write a song.
context: so I hafta practice every day.\What's that? Are you on the pill again?\It's your fault! If you want a child that badly,\have some other woman give birth to one for you.\You don't mind if I slept with another woman?\You're such a cold woman.\You just realized that now?\I'm gonna go write a song. response:	For the cute Reira.
context: What's that? Are you on the pill again?\It's your fault! If you want a child that badly,\have some other woman give birth to one for you.\You don't mind if I slept with another woman?\You're such a cold woman.\You just realized that now?\I'm gonna go write a song.\For the cute Reira. response:	Oh, Shin. You're awake.
context: It's your fault! If you want a child that badly,\have some other woman give birth to one for you.\You don't mind if I slept with another woman?\You're such a cold woman.\You just realized that now?\I'm gonna go write a song.\For the cute Reira.\Oh, Shin. You're awake. response:	Good morning, Miss Ryoko.
context: have some other woman give birth to one for you.\You don't mind if I slept with another woman?\You're such a cold woman.\You just realized that now?\I'm gonna go write a song.\For the cute Reira.\Oh, Shin. You're awake.\Good morning, Miss Ryoko. response:	I'll be flying out again tomorrow. To the States.
context: You don't mind if I slept with another woman?\You're such a cold woman.\You just realized that now?\I'm gonna go write a song.\For the cute Reira.\Oh, Shin. You're awake.\Good morning, Miss Ryoko.\I'll be flying out again tomorrow. To the States. response:	So I won't be seeing you for a while.
context: You're such a cold woman.\You just realized that now?\I'm gonna go write a song.\For the cute Reira.\Oh, Shin. You're awake.\Good morning, Miss Ryoko.\I'll be flying out again tomorrow. To the States.\So I won't be seeing you for a while. response:	But I'll bring back a bunch of gifts. You can keep your hopes high.
context: You just realized that now?\I'm gonna go write a song.\For the cute Reira.\Oh, Shin. You're awake.\Good morning, Miss Ryoko.\I'll be flying out again tomorrow. To the States.\So I won't be seeing you for a while.\But I'll bring back a bunch of gifts. You can keep your hopes high. response:	So you'll be going.
context: I'm gonna go write a song.\For the cute Reira.\Oh, Shin. You're awake.\Good morning, Miss Ryoko.\I'll be flying out again tomorrow. To the States.\So I won't be seeing you for a while.\But I'll bring back a bunch of gifts. You can keep your hopes high.\So you'll be going. response:	I'll be lonely without you, Miss Ryoko.
context: For the cute Reira.\Oh, Shin. You're awake.\Good morning, Miss Ryoko.\I'll be flying out again tomorrow. To the States.\So I won't be seeing you for a while.\But I'll bring back a bunch of gifts. You can keep your hopes high.\So you'll be going.\I'll be lonely without you, Miss Ryoko. response:	Oh, my. You're not only good with your technique,
context: Oh, Shin. You're awake.\Good morning, Miss Ryoko.\I'll be flying out again tomorrow. To the States.\So I won't be seeing you for a while.\But I'll bring back a bunch of gifts. You can keep your hopes high.\So you'll be going.\I'll be lonely without you, Miss Ryoko.\Oh, my. You're not only good with your technique, response:	you've also improved your choice of words.
context: Good morning, Miss Ryoko.\I'll be flying out again tomorrow. To the States.\So I won't be seeing you for a while.\But I'll bring back a bunch of gifts. You can keep your hopes high.\So you'll be going.\I'll be lonely without you, Miss Ryoko.\Oh, my. You're not only good with your technique,\you've also improved your choice of words. response:	Perhaps it's due to my great teaching skills.
context: I'll be flying out again tomorrow. To the States.\So I won't be seeing you for a while.\But I'll bring back a bunch of gifts. You can keep your hopes high.\So you'll be going.\I'll be lonely without you, Miss Ryoko.\Oh, my. You're not only good with your technique,\you've also improved your choice of words.\Perhaps it's due to my great teaching skills. response:	I am grateful. Thanks to you, business is thriving.
context: So I won't be seeing you for a while.\But I'll bring back a bunch of gifts. You can keep your hopes high.\So you'll be going.\I'll be lonely without you, Miss Ryoko.\Oh, my. You're not only good with your technique,\you've also improved your choice of words.\Perhaps it's due to my great teaching skills.\I am grateful. Thanks to you, business is thriving. response:	I've turned an angel into a devil.
context: But I'll bring back a bunch of gifts. You can keep your hopes high.\So you'll be going.\I'll be lonely without you, Miss Ryoko.\Oh, my. You're not only good with your technique,\you've also improved your choice of words.\Perhaps it's due to my great teaching skills.\I am grateful. Thanks to you, business is thriving.\I've turned an angel into a devil. response:	Upon a closer look,
context: So you'll be going.\I'll be lonely without you, Miss Ryoko.\Oh, my. You're not only good with your technique,\you've also improved your choice of words.\Perhaps it's due to my great teaching skills.\I am grateful. Thanks to you, business is thriving.\I've turned an angel into a devil.\Upon a closer look, response:	I guess you don't look much like her, after all.
context: I'll be lonely without you, Miss Ryoko.\Oh, my. You're not only good with your technique,\you've also improved your choice of words.\Perhaps it's due to my great teaching skills.\I am grateful. Thanks to you, business is thriving.\I've turned an angel into a devil.\Upon a closer look,\I guess you don't look much like her, after all. response:	Huh? What?
context: Oh, my. You're not only good with your technique,\you've also improved your choice of words.\Perhaps it's due to my great teaching skills.\I am grateful. Thanks to you, business is thriving.\I've turned an angel into a devil.\Upon a closer look,\I guess you don't look much like her, after all.\Huh? What? response:	No. Nothing. Seconds please?
context: you've also improved your choice of words.\Perhaps it's due to my great teaching skills.\I am grateful. Thanks to you, business is thriving.\I've turned an angel into a devil.\Upon a closer look,\I guess you don't look much like her, after all.\Huh? What?\No. Nothing. Seconds please? response:	Yasu!
context: Perhaps it's due to my great teaching skills.\I am grateful. Thanks to you, business is thriving.\I've turned an angel into a devil.\Upon a closer look,\I guess you don't look much like her, after all.\Huh? What?\No. Nothing. Seconds please?\Yasu! response:	Long time no see.
context: I am grateful. Thanks to you, business is thriving.\I've turned an angel into a devil.\Upon a closer look,\I guess you don't look much like her, after all.\Huh? What?\No. Nothing. Seconds please?\Yasu!\Long time no see. response:	You haven't changed one bit. Mhm. Mhm.
context: I've turned an angel into a devil.\Upon a closer look,\I guess you don't look much like her, after all.\Huh? What?\No. Nothing. Seconds please?\Yasu!\Long time no see.\You haven't changed one bit. Mhm. Mhm. response:	Oh, stout beer please. How are you doing?
context: Upon a closer look,\I guess you don't look much like her, after all.\Huh? What?\No. Nothing. Seconds please?\Yasu!\Long time no see.\You haven't changed one bit. Mhm. Mhm.\Oh, stout beer please. How are you doing? response:	I'm glad to finally meet up with you.
context: I guess you don't look much like her, after all.\Huh? What?\No. Nothing. Seconds please?\Yasu!\Long time no see.\You haven't changed one bit. Mhm. Mhm.\Oh, stout beer please. How are you doing?\I'm glad to finally meet up with you. response:	That's because you keep pestering me.
context: Huh? What?\No. Nothing. Seconds please?\Yasu!\Long time no see.\You haven't changed one bit. Mhm. Mhm.\Oh, stout beer please. How are you doing?\I'm glad to finally meet up with you.\That's because you keep pestering me. response:	I invited Reira too, but she's back in her hometown.
context: No. Nothing. Seconds please?\Yasu!\Long time no see.\You haven't changed one bit. Mhm. Mhm.\Oh, stout beer please. How are you doing?\I'm glad to finally meet up with you.\That's because you keep pestering me.\I invited Reira too, but she's back in her hometown. response:	She really wanted to come.
context: Yasu!\Long time no see.\You haven't changed one bit. Mhm. Mhm.\Oh, stout beer please. How are you doing?\I'm glad to finally meet up with you.\That's because you keep pestering me.\I invited Reira too, but she's back in her hometown.\She really wanted to come. response:	Is that so?
context: Long time no see.\You haven't changed one bit. Mhm. Mhm.\Oh, stout beer please. How are you doing?\I'm glad to finally meet up with you.\That's because you keep pestering me.\I invited Reira too, but she's back in her hometown.\She really wanted to come.\Is that so? response:	By the way, Naoki, your voice is too loud.
context: You haven't changed one bit. Mhm. Mhm.\Oh, stout beer please. How are you doing?\I'm glad to finally meet up with you.\That's because you keep pestering me.\I invited Reira too, but she's back in her hometown.\She really wanted to come.\Is that so?\By the way, Naoki, your voice is too loud. response:	You're a celebrity now,
context: Oh, stout beer please. How are you doing?\I'm glad to finally meet up with you.\That's because you keep pestering me.\I invited Reira too, but she's back in her hometown.\She really wanted to come.\Is that so?\By the way, Naoki, your voice is too loud.\You're a celebrity now, response:	so you'd be wise to keep a low profile.
context: I'm glad to finally meet up with you.\That's because you keep pestering me.\I invited Reira too, but she's back in her hometown.\She really wanted to come.\Is that so?\By the way, Naoki, your voice is too loud.\You're a celebrity now,\so you'd be wise to keep a low profile. response:	Not to worry.
context: That's because you keep pestering me.\I invited Reira too, but she's back in her hometown.\She really wanted to come.\Is that so?\By the way, Naoki, your voice is too loud.\You're a celebrity now,\so you'd be wise to keep a low profile.\Not to worry. response:	The customers here are all from the entertainment industry.
context: I invited Reira too, but she's back in her hometown.\She really wanted to come.\Is that so?\By the way, Naoki, your voice is too loud.\You're a celebrity now,\so you'd be wise to keep a low profile.\Not to worry.\The customers here are all from the entertainment industry. response:	Really?
context: She really wanted to come.\Is that so?\By the way, Naoki, your voice is too loud.\You're a celebrity now,\so you'd be wise to keep a low profile.\Not to worry.\The customers here are all from the entertainment industry.\Really? response:	By the way, Yasu, I heard you came to Tokyo to go pro.
context: Is that so?\By the way, Naoki, your voice is too loud.\You're a celebrity now,\so you'd be wise to keep a low profile.\Not to worry.\The customers here are all from the entertainment industry.\Really?\By the way, Yasu, I heard you came to Tokyo to go pro. response:	Reira was complaining that she's not happy with your decision.
context: By the way, Naoki, your voice is too loud.\You're a celebrity now,\so you'd be wise to keep a low profile.\Not to worry.\The customers here are all from the entertainment industry.\Really?\By the way, Yasu, I heard you came to Tokyo to go pro.\Reira was complaining that she's not happy with your decision. response:	Yeah, I guessed as much. That's why I don't wanna meet her.
context: You're a celebrity now,\so you'd be wise to keep a low profile.\Not to worry.\The customers here are all from the entertainment industry.\Really?\By the way, Yasu, I heard you came to Tokyo to go pro.\Reira was complaining that she's not happy with your decision.\Yeah, I guessed as much. That's why I don't wanna meet her. response:	She'll keep on teasing me about it.
context: so you'd be wise to keep a low profile.\Not to worry.\The customers here are all from the entertainment industry.\Really?\By the way, Yasu, I heard you came to Tokyo to go pro.\Reira was complaining that she's not happy with your decision.\Yeah, I guessed as much. That's why I don't wanna meet her.\She'll keep on teasing me about it. response:	Well, of course she'd tease you.
context: Not to worry.\The customers here are all from the entertainment industry.\Really?\By the way, Yasu, I heard you came to Tokyo to go pro.\Reira was complaining that she's not happy with your decision.\Yeah, I guessed as much. That's why I don't wanna meet her.\She'll keep on teasing me about it.\Well, of course she'd tease you. response:	What in the world happened to make you change your mind?
context: The customers here are all from the entertainment industry.\Really?\By the way, Yasu, I heard you came to Tokyo to go pro.\Reira was complaining that she's not happy with your decision.\Yeah, I guessed as much. That's why I don't wanna meet her.\She'll keep on teasing me about it.\Well, of course she'd tease you.\What in the world happened to make you change your mind? response:	Let's see.
context: Really?\By the way, Yasu, I heard you came to Tokyo to go pro.\Reira was complaining that she's not happy with your decision.\Yeah, I guessed as much. That's why I don't wanna meet her.\She'll keep on teasing me about it.\Well, of course she'd tease you.\What in the world happened to make you change your mind?\Let's see. response:	You could say I feel responsible for the band like it's my child.
context: By the way, Yasu, I heard you came to Tokyo to go pro.\Reira was complaining that she's not happy with your decision.\Yeah, I guessed as much. That's why I don't wanna meet her.\She'll keep on teasing me about it.\Well, of course she'd tease you.\What in the world happened to make you change your mind?\Let's see.\You could say I feel responsible for the band like it's my child. response:	What's that supposed to mean? You really haven't changed, Yasu.
context: Reira was complaining that she's not happy with your decision.\Yeah, I guessed as much. That's why I don't wanna meet her.\She'll keep on teasing me about it.\Well, of course she'd tease you.\What in the world happened to make you change your mind?\Let's see.\You could say I feel responsible for the band like it's my child.\What's that supposed to mean? You really haven't changed, Yasu. response:	You need to let it all out sometimes.
context: Yeah, I guessed as much. That's why I don't wanna meet her.\She'll keep on teasing me about it.\Well, of course she'd tease you.\What in the world happened to make you change your mind?\Let's see.\You could say I feel responsible for the band like it's my child.\What's that supposed to mean? You really haven't changed, Yasu.\You need to let it all out sometimes. response:	Go wild for a change.
context: She'll keep on teasing me about it.\Well, of course she'd tease you.\What in the world happened to make you change your mind?\Let's see.\You could say I feel responsible for the band like it's my child.\What's that supposed to mean? You really haven't changed, Yasu.\You need to let it all out sometimes.\Go wild for a change. response:	Though I suggest not becoming as violent as Takumi.
context: Well, of course she'd tease you.\What in the world happened to make you change your mind?\Let's see.\You could say I feel responsible for the band like it's my child.\What's that supposed to mean? You really haven't changed, Yasu.\You need to let it all out sometimes.\Go wild for a change.\Though I suggest not becoming as violent as Takumi. response:	When he loses it, he becomes a criminal.
context: What in the world happened to make you change your mind?\Let's see.\You could say I feel responsible for the band like it's my child.\What's that supposed to mean? You really haven't changed, Yasu.\You need to let it all out sometimes.\Go wild for a change.\Though I suggest not becoming as violent as Takumi.\When he loses it, he becomes a criminal. response:	Although he's been quite calm as of late,
context: Let's see.\You could say I feel responsible for the band like it's my child.\What's that supposed to mean? You really haven't changed, Yasu.\You need to let it all out sometimes.\Go wild for a change.\Though I suggest not becoming as violent as Takumi.\When he loses it, he becomes a criminal.\Although he's been quite calm as of late, response:	perhaps from fear of becoming the next gossip item.
context: You could say I feel responsible for the band like it's my child.\What's that supposed to mean? You really haven't changed, Yasu.\You need to let it all out sometimes.\Go wild for a change.\Though I suggest not becoming as violent as Takumi.\When he loses it, he becomes a criminal.\Although he's been quite calm as of late,\perhaps from fear of becoming the next gossip item. response:	Back in junior high school,
context: What's that supposed to mean? You really haven't changed, Yasu.\You need to let it all out sometimes.\Go wild for a change.\Though I suggest not becoming as violent as Takumi.\When he loses it, he becomes a criminal.\Although he's been quite calm as of late,\perhaps from fear of becoming the next gossip item.\Back in junior high school, response:	none of the windows had glass because of him.
context: You need to let it all out sometimes.\Go wild for a change.\Though I suggest not becoming as violent as Takumi.\When he loses it, he becomes a criminal.\Although he's been quite calm as of late,\perhaps from fear of becoming the next gossip item.\Back in junior high school,\none of the windows had glass because of him. response:	Yeah, I remember that.
context: Go wild for a change.\Though I suggest not becoming as violent as Takumi.\When he loses it, he becomes a criminal.\Although he's been quite calm as of late,\perhaps from fear of becoming the next gossip item.\Back in junior high school,\none of the windows had glass because of him.\Yeah, I remember that. response:	Speaking of Takumi,
context: Though I suggest not becoming as violent as Takumi.\When he loses it, he becomes a criminal.\Although he's been quite calm as of late,\perhaps from fear of becoming the next gossip item.\Back in junior high school,\none of the windows had glass because of him.\Yeah, I remember that.\Speaking of Takumi, response:	I can't reach him on his cell phone.
context: When he loses it, he becomes a criminal.\Although he's been quite calm as of late,\perhaps from fear of becoming the next gossip item.\Back in junior high school,\none of the windows had glass because of him.\Yeah, I remember that.\Speaking of Takumi,\I can't reach him on his cell phone. response:	What's he up to?
context: Although he's been quite calm as of late,\perhaps from fear of becoming the next gossip item.\Back in junior high school,\none of the windows had glass because of him.\Yeah, I remember that.\Speaking of Takumi,\I can't reach him on his cell phone.\What's he up to? response:	I don't know, but...
context: perhaps from fear of becoming the next gossip item.\Back in junior high school,\none of the windows had glass because of him.\Yeah, I remember that.\Speaking of Takumi,\I can't reach him on his cell phone.\What's he up to?\I don't know, but... response:	He's probably visiting women, one after another.
context: Back in junior high school,\none of the windows had glass because of him.\Yeah, I remember that.\Speaking of Takumi,\I can't reach him on his cell phone.\What's he up to?\I don't know, but...\He's probably visiting women, one after another. response:	There's no need to worry about him.
context: none of the windows had glass because of him.\Yeah, I remember that.\Speaking of Takumi,\I can't reach him on his cell phone.\What's he up to?\I don't know, but...\He's probably visiting women, one after another.\There's no need to worry about him. response:	Is that so?
context: Yeah, I remember that.\Speaking of Takumi,\I can't reach him on his cell phone.\What's he up to?\I don't know, but...\He's probably visiting women, one after another.\There's no need to worry about him.\Is that so? response:	Reira, what are you doing?
context: Speaking of Takumi,\I can't reach him on his cell phone.\What's he up to?\I don't know, but...\He's probably visiting women, one after another.\There's no need to worry about him.\Is that so?\Reira, what are you doing? response:	Visiting my hometown.
context: I can't reach him on his cell phone.\What's he up to?\I don't know, but...\He's probably visiting women, one after another.\There's no need to worry about him.\Is that so?\Reira, what are you doing?\Visiting my hometown. response:	Oh right. Of course.
context: What's he up to?\I don't know, but...\He's probably visiting women, one after another.\There's no need to worry about him.\Is that so?\Reira, what are you doing?\Visiting my hometown.\Oh right. Of course. response:	You startled me. How long have you been here?
context: I don't know, but...\He's probably visiting women, one after another.\There's no need to worry about him.\Is that so?\Reira, what are you doing?\Visiting my hometown.\Oh right. Of course.\You startled me. How long have you been here? response:	Thirty minutes.
context: He's probably visiting women, one after another.\There's no need to worry about him.\Is that so?\Reira, what are you doing?\Visiting my hometown.\Oh right. Of course.\You startled me. How long have you been here?\Thirty minutes. response:	Huh?!
context: There's no need to worry about him.\Is that so?\Reira, what are you doing?\Visiting my hometown.\Oh right. Of course.\You startled me. How long have you been here?\Thirty minutes.\Huh?! response:	I've been here staring at you like this for thirty minutes,
context: Is that so?\Reira, what are you doing?\Visiting my hometown.\Oh right. Of course.\You startled me. How long have you been here?\Thirty minutes.\Huh?!\I've been here staring at you like this for thirty minutes, response:	but you didn't notice me at all, Takumi.
context: Reira, what are you doing?\Visiting my hometown.\Oh right. Of course.\You startled me. How long have you been here?\Thirty minutes.\Huh?!\I've been here staring at you like this for thirty minutes,\but you didn't notice me at all, Takumi. response:	It's got me exhausted.
context: Visiting my hometown.\Oh right. Of course.\You startled me. How long have you been here?\Thirty minutes.\Huh?!\I've been here staring at you like this for thirty minutes,\but you didn't notice me at all, Takumi.\It's got me exhausted. response:	No, I meant how long have you been in town.
context: Oh right. Of course.\You startled me. How long have you been here?\Thirty minutes.\Huh?!\I've been here staring at you like this for thirty minutes,\but you didn't notice me at all, Takumi.\It's got me exhausted.\No, I meant how long have you been in town. response:	Anyway, if you've been staring at me,
context: You startled me. How long have you been here?\Thirty minutes.\Huh?!\I've been here staring at you like this for thirty minutes,\but you didn't notice me at all, Takumi.\It's got me exhausted.\No, I meant how long have you been in town.\Anyway, if you've been staring at me, response:	the least you could do is say something!
context: Thirty minutes.\Huh?!\I've been here staring at you like this for thirty minutes,\but you didn't notice me at all, Takumi.\It's got me exhausted.\No, I meant how long have you been in town.\Anyway, if you've been staring at me,\the least you could do is say something! response:	I've been here for three days.
context: Huh?!\I've been here staring at you like this for thirty minutes,\but you didn't notice me at all, Takumi.\It's got me exhausted.\No, I meant how long have you been in town.\Anyway, if you've been staring at me,\the least you could do is say something!\I've been here for three days. response:	I was visiting mother's grave just now.
context: I've been here staring at you like this for thirty minutes,\but you didn't notice me at all, Takumi.\It's got me exhausted.\No, I meant how long have you been in town.\Anyway, if you've been staring at me,\the least you could do is say something!\I've been here for three days.\I was visiting mother's grave just now. response:	But your mother is still alive.
context: but you didn't notice me at all, Takumi.\It's got me exhausted.\No, I meant how long have you been in town.\Anyway, if you've been staring at me,\the least you could do is say something!\I've been here for three days.\I was visiting mother's grave just now.\But your mother is still alive. response:	Your mother, Takumi.
context: It's got me exhausted.\No, I meant how long have you been in town.\Anyway, if you've been staring at me,\the least you could do is say something!\I've been here for three days.\I was visiting mother's grave just now.\But your mother is still alive.\Your mother, Takumi. response:	Due to work, you couldn't be here for the ceremony
context: No, I meant how long have you been in town.\Anyway, if you've been staring at me,\the least you could do is say something!\I've been here for three days.\I was visiting mother's grave just now.\But your mother is still alive.\Your mother, Takumi.\Due to work, you couldn't be here for the ceremony response:	marking seven years after her passing,
context: Anyway, if you've been staring at me,\the least you could do is say something!\I've been here for three days.\I was visiting mother's grave just now.\But your mother is still alive.\Your mother, Takumi.\Due to work, you couldn't be here for the ceremony\marking seven years after her passing, response:	so I prayed that she may warmly protect her careless son
context: the least you could do is say something!\I've been here for three days.\I was visiting mother's grave just now.\But your mother is still alive.\Your mother, Takumi.\Due to work, you couldn't be here for the ceremony\marking seven years after her passing,\so I prayed that she may warmly protect her careless son response:	from the wrath of the gods.
context: I've been here for three days.\I was visiting mother's grave just now.\But your mother is still alive.\Your mother, Takumi.\Due to work, you couldn't be here for the ceremony\marking seven years after her passing,\so I prayed that she may warmly protect her careless son\from the wrath of the gods. response:	Well, thanks for that.
context: I was visiting mother's grave just now.\But your mother is still alive.\Your mother, Takumi.\Due to work, you couldn't be here for the ceremony\marking seven years after her passing,\so I prayed that she may warmly protect her careless son\from the wrath of the gods.\Well, thanks for that. response:	Is your father doing okay? Maybe I should go and say hi.
context: But your mother is still alive.\Your mother, Takumi.\Due to work, you couldn't be here for the ceremony\marking seven years after her passing,\so I prayed that she may warmly protect her careless son\from the wrath of the gods.\Well, thanks for that.\Is your father doing okay? Maybe I should go and say hi. response:	Don't bother.
