context: Sugane, we're counting on you. response:	Okay.
context: As for this newbie,\I wonder how I should pretty you up...\What?\Oh, if that's the case...\Hey, why don't we go lie in the sun together?\Hey, did you see yesterday's TV special on the supernatural?\Yeah, I did.\I can accept aliens, response:	but Gatchaman being real?
context: I wonder how I should pretty you up...\What?\Oh, if that's the case...\Hey, why don't we go lie in the sun together?\Hey, did you see yesterday's TV special on the supernatural?\Yeah, I did.\I can accept aliens,\but Gatchaman being real? response:	It totally threw me off.
context: What?\Oh, if that's the case...\Hey, why don't we go lie in the sun together?\Hey, did you see yesterday's TV special on the supernatural?\Yeah, I did.\I can accept aliens,\but Gatchaman being real?\It totally threw me off. response:	Gatchaman, huh?
context: Oh, if that's the case...\Hey, why don't we go lie in the sun together?\Hey, did you see yesterday's TV special on the supernatural?\Yeah, I did.\I can accept aliens,\but Gatchaman being real?\It totally threw me off.\Gatchaman, huh? response:	The name sounds kind of cute.
context: Hey, why don't we go lie in the sun together?\Hey, did you see yesterday's TV special on the supernatural?\Yeah, I did.\I can accept aliens,\but Gatchaman being real?\It totally threw me off.\Gatchaman, huh?\The name sounds kind of cute. response:	Gatcha, Gatcha, Gatcha, Gatcha.
context: Hey, did you see yesterday's TV special on the supernatural?\Yeah, I did.\I can accept aliens,\but Gatchaman being real?\It totally threw me off.\Gatchaman, huh?\The name sounds kind of cute.\Gatcha, Gatcha, Gatcha, Gatcha. response:	Man, I'm hungry.
context: Yeah, I did.\I can accept aliens,\but Gatchaman being real?\It totally threw me off.\Gatchaman, huh?\The name sounds kind of cute.\Gatcha, Gatcha, Gatcha, Gatcha.\Man, I'm hungry. response:	Um, who are you?
context: I can accept aliens,\but Gatchaman being real?\It totally threw me off.\Gatchaman, huh?\The name sounds kind of cute.\Gatcha, Gatcha, Gatcha, Gatcha.\Man, I'm hungry.\Um, who are you? response:	You're really tall.
context: but Gatchaman being real?\It totally threw me off.\Gatchaman, huh?\The name sounds kind of cute.\Gatcha, Gatcha, Gatcha, Gatcha.\Man, I'm hungry.\Um, who are you?\You're really tall. response:	Everyone has power that is concealed deep within.
context: It totally threw me off.\Gatchaman, huh?\The name sounds kind of cute.\Gatcha, Gatcha, Gatcha, Gatcha.\Man, I'm hungry.\Um, who are you?\You're really tall.\Everyone has power that is concealed deep within. response:	Awaken!
context: Gatchaman, huh?\The name sounds kind of cute.\Gatcha, Gatcha, Gatcha, Gatcha.\Man, I'm hungry.\Um, who are you?\You're really tall.\Everyone has power that is concealed deep within.\Awaken! response:	Spread your as-of-yet invisible wings...
context: The name sounds kind of cute.\Gatcha, Gatcha, Gatcha, Gatcha.\Man, I'm hungry.\Um, who are you?\You're really tall.\Everyone has power that is concealed deep within.\Awaken!\Spread your as-of-yet invisible wings... response:	Oops.
context: Gatcha, Gatcha, Gatcha, Gatcha.\Man, I'm hungry.\Um, who are you?\You're really tall.\Everyone has power that is concealed deep within.\Awaken!\Spread your as-of-yet invisible wings...\Oops. response:	Is this hide-and-seek?
context: Man, I'm hungry.\Um, who are you?\You're really tall.\Everyone has power that is concealed deep within.\Awaken!\Spread your as-of-yet invisible wings...\Oops.\Is this hide-and-seek? response:	Hm...
context: Um, who are you?\You're really tall.\Everyone has power that is concealed deep within.\Awaken!\Spread your as-of-yet invisible wings...\Oops.\Is this hide-and-seek?\Hm... response:	This way?
context: You're really tall.\Everyone has power that is concealed deep within.\Awaken!\Spread your as-of-yet invisible wings...\Oops.\Is this hide-and-seek?\Hm...\This way? response:	This way!
context: Everyone has power that is concealed deep within.\Awaken!\Spread your as-of-yet invisible wings...\Oops.\Is this hide-and-seek?\Hm...\This way?\This way! response:	All right, I'll get it right this time.
context: Awaken!\Spread your as-of-yet invisible wings...\Oops.\Is this hide-and-seek?\Hm...\This way?\This way!\All right, I'll get it right this time. response:	You're making me think you're there,
context: Spread your as-of-yet invisible wings...\Oops.\Is this hide-and-seek?\Hm...\This way?\This way!\All right, I'll get it right this time.\You're making me think you're there, response:	but you're there!
context: Oops.\Is this hide-and-seek?\Hm...\This way?\This way!\All right, I'll get it right this time.\You're making me think you're there,\but you're there! response:	Gotcha!
context: Is this hide-and-seek?\Hm...\This way?\This way!\All right, I'll get it right this time.\You're making me think you're there,\but you're there!\Gotcha! response:	The chosen fledglings will become the wings
context: Hm...\This way?\This way!\All right, I'll get it right this time.\You're making me think you're there,\but you're there!\Gotcha!\The chosen fledglings will become the wings response:	that will protect this planet.
context: This way?\This way!\All right, I'll get it right this time.\You're making me think you're there,\but you're there!\Gotcha!\The chosen fledglings will become the wings\that will protect this planet. response:	Wings, thy name is...
context: This way!\All right, I'll get it right this time.\You're making me think you're there,\but you're there!\Gotcha!\The chosen fledglings will become the wings\that will protect this planet.\Wings, thy name is... response:	Gatcha... man?
context: All right, I'll get it right this time.\You're making me think you're there,\but you're there!\Gotcha!\The chosen fledglings will become the wings\that will protect this planet.\Wings, thy name is...\Gatcha... man? response:	H-Hey, I can keep this?
context: You're making me think you're there,\but you're there!\Gotcha!\The chosen fledglings will become the wings\that will protect this planet.\Wings, thy name is...\Gatcha... man?\H-Hey, I can keep this? response:	Hey, I'm gonna keep it!
context: but you're there!\Gotcha!\The chosen fledglings will become the wings\that will protect this planet.\Wings, thy name is...\Gatcha... man?\H-Hey, I can keep this?\Hey, I'm gonna keep it! response:	Yay!
context: Gotcha!\The chosen fledglings will become the wings\that will protect this planet.\Wings, thy name is...\Gatcha... man?\H-Hey, I can keep this?\Hey, I'm gonna keep it!\Yay! response:	Target is on the move toward Tachikawa station.
context: The chosen fledglings will become the wings\that will protect this planet.\Wings, thy name is...\Gatcha... man?\H-Hey, I can keep this?\Hey, I'm gonna keep it!\Yay!\Target is on the move toward Tachikawa station. response:	There will be moving steps south-southwest of the box.
context: that will protect this planet.\Wings, thy name is...\Gatcha... man?\H-Hey, I can keep this?\Hey, I'm gonna keep it!\Yay!\Target is on the move toward Tachikawa station.\There will be moving steps south-southwest of the box. response:	A nameless chaos shall appear once more.
context: Wings, thy name is...\Gatcha... man?\H-Hey, I can keep this?\Hey, I'm gonna keep it!\Yay!\Target is on the move toward Tachikawa station.\There will be moving steps south-southwest of the box.\A nameless chaos shall appear once more. response:	Target has passed the fourth floor.
context: Gatcha... man?\H-Hey, I can keep this?\Hey, I'm gonna keep it!\Yay!\Target is on the move toward Tachikawa station.\There will be moving steps south-southwest of the box.\A nameless chaos shall appear once more.\Target has passed the fourth floor. response:	I'm counting on you, Sugane...
context: H-Hey, I can keep this?\Hey, I'm gonna keep it!\Yay!\Target is on the move toward Tachikawa station.\There will be moving steps south-southwest of the box.\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane... response:	Uh, this is kind of awesome.
context: Hey, I'm gonna keep it!\Yay!\Target is on the move toward Tachikawa station.\There will be moving steps south-southwest of the box.\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\Uh, this is kind of awesome. response:	I think I'm gonna get full!
context: Yay!\Target is on the move toward Tachikawa station.\There will be moving steps south-southwest of the box.\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\Uh, this is kind of awesome.\I think I'm gonna get full! response:	There you are, MESS.
context: Target is on the move toward Tachikawa station.\There will be moving steps south-southwest of the box.\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\Uh, this is kind of awesome.\I think I'm gonna get full!\There you are, MESS. response:	You have absorbed innocents.
context: There will be moving steps south-southwest of the box.\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\Uh, this is kind of awesome.\I think I'm gonna get full!\There you are, MESS.\You have absorbed innocents. response:	I will have you relinquish them to me!
context: A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\Uh, this is kind of awesome.\I think I'm gonna get full!\There you are, MESS.\You have absorbed innocents.\I will have you relinquish them to me! response:	Amnesia Effect!
context: Target has passed the fourth floor.\I'm counting on you, Sugane...\Uh, this is kind of awesome.\I think I'm gonna get full!\There you are, MESS.\You have absorbed innocents.\I will have you relinquish them to me!\Amnesia Effect! response:	Wow!
context: I'm counting on you, Sugane...\Uh, this is kind of awesome.\I think I'm gonna get full!\There you are, MESS.\You have absorbed innocents.\I will have you relinquish them to me!\Amnesia Effect!\Wow! response:	So cute!
context: Uh, this is kind of awesome.\I think I'm gonna get full!\There you are, MESS.\You have absorbed innocents.\I will have you relinquish them to me!\Amnesia Effect!\Wow!\So cute! response:	Go, Bird!
context: I think I'm gonna get full!\There you are, MESS.\You have absorbed innocents.\I will have you relinquish them to me!\Amnesia Effect!\Wow!\So cute!\Go, Bird! response:	Let's go!
context: There you are, MESS.\You have absorbed innocents.\I will have you relinquish them to me!\Amnesia Effect!\Wow!\So cute!\Go, Bird!\Let's go! response:	There you are!
context: You have absorbed innocents.\I will have you relinquish them to me!\Amnesia Effect!\Wow!\So cute!\Go, Bird!\Let's go!\There you are! response:	Gatchaman!
context: I will have you relinquish them to me!\Amnesia Effect!\Wow!\So cute!\Go, Bird!\Let's go!\There you are!\Gatchaman! response:	The Infinite Blade, Storm!
context: Amnesia Effect!\Wow!\So cute!\Go, Bird!\Let's go!\There you are!\Gatchaman!\The Infinite Blade, Storm! response:	None may escape my infinite reach!
context: Wow!\So cute!\Go, Bird!\Let's go!\There you are!\Gatchaman!\The Infinite Blade, Storm!\None may escape my infinite reach! response:	Amnesia Remind!
context: So cute!\Go, Bird!\Let's go!\There you are!\Gatchaman!\The Infinite Blade, Storm!\None may escape my infinite reach!\Amnesia Remind! response:	Ow!
context: Go, Bird!\Let's go!\There you are!\Gatchaman!\The Infinite Blade, Storm!\None may escape my infinite reach!\Amnesia Remind!\Ow! response:	Hi!
context: Let's go!\There you are!\Gatchaman!\The Infinite Blade, Storm!\None may escape my infinite reach!\Amnesia Remind!\Ow!\Hi! response:	Are you the Gatchaman I just saw?
context: There you are!\Gatchaman!\The Infinite Blade, Storm!\None may escape my infinite reach!\Amnesia Remind!\Ow!\Hi!\Are you the Gatchaman I just saw? response:	What happened to him?
context: Gatchaman!\The Infinite Blade, Storm!\None may escape my infinite reach!\Amnesia Remind!\Ow!\Hi!\Are you the Gatchaman I just saw?\What happened to him? response:	This NOTE has words flooding out of it
context: The Infinite Blade, Storm!\None may escape my infinite reach!\Amnesia Remind!\Ow!\Hi!\Are you the Gatchaman I just saw?\What happened to him?\This NOTE has words flooding out of it response:	Could you be...
context: None may escape my infinite reach!\Amnesia Remind!\Ow!\Hi!\Are you the Gatchaman I just saw?\What happened to him?\This NOTE has words flooding out of it\Could you be... response:	the new team member?
context: Amnesia Remind!\Ow!\Hi!\Are you the Gatchaman I just saw?\What happened to him?\This NOTE has words flooding out of it\Could you be...\the new team member? response:	I'm Ichinose Hajime!
context: Ow!\Hi!\Are you the Gatchaman I just saw?\What happened to him?\This NOTE has words flooding out of it\Could you be...\the new team member?\I'm Ichinose Hajime! response:	I think I somehow became a Gatchaman today.
context: Hi!\Are you the Gatchaman I just saw?\What happened to him?\This NOTE has words flooding out of it\Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today. response:	Nice to meet you!
context: Are you the Gatchaman I just saw?\What happened to him?\This NOTE has words flooding out of it\Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\Nice to meet you! response:	Oh! We're in the same school!
context: What happened to him?\This NOTE has words flooding out of it\Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\Nice to meet you!\Oh! We're in the same school! response:	Let's go together!
context: This NOTE has words flooding out of it\Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\Nice to meet you!\Oh! We're in the same school!\Let's go together! response:	Ow!
context: Could you be...\the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\Nice to meet you!\Oh! We're in the same school!\Let's go together!\Ow! response:	Sorry!
context: the new team member?\I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\Nice to meet you!\Oh! We're in the same school!\Let's go together!\Ow!\Sorry! response:	I guess I'm late again today.
context: I'm Ichinose Hajime!\I think I somehow became a Gatchaman today.\Nice to meet you!\Oh! We're in the same school!\Let's go together!\Ow!\Sorry!\I guess I'm late again today. response:	I wonder if I'll pass my classes okay.
context: I think I somehow became a Gatchaman today.\Nice to meet you!\Oh! We're in the same school!\Let's go together!\Ow!\Sorry!\I guess I'm late again today.\I wonder if I'll pass my classes okay. response:	Morning, Sugane-kun.
context: Nice to meet you!\Oh! We're in the same school!\Let's go together!\Ow!\Sorry!\I guess I'm late again today.\I wonder if I'll pass my classes okay.\Morning, Sugane-kun. response:	Late again, too.
context: Oh! We're in the same school!\Let's go together!\Ow!\Sorry!\I guess I'm late again today.\I wonder if I'll pass my classes okay.\Morning, Sugane-kun.\Late again, too. response:	Good afternoon.
context: Let's go together!\Ow!\Sorry!\I guess I'm late again today.\I wonder if I'll pass my classes okay.\Morning, Sugane-kun.\Late again, too.\Good afternoon. response:	Oh?
context: Ow!\Sorry!\I guess I'm late again today.\I wonder if I'll pass my classes okay.\Morning, Sugane-kun.\Late again, too.\Good afternoon.\Oh? response:	Um, does Gatchaman really exist?
context: Sorry!\I guess I'm late again today.\I wonder if I'll pass my classes okay.\Morning, Sugane-kun.\Late again, too.\Good afternoon.\Oh?\Um, does Gatchaman really exist? response:	Of course not.
context: I guess I'm late again today.\I wonder if I'll pass my classes okay.\Morning, Sugane-kun.\Late again, too.\Good afternoon.\Oh?\Um, does Gatchaman really exist?\Of course not. response:	Although few and far between, some information exists.
context: I wonder if I'll pass my classes okay.\Morning, Sugane-kun.\Late again, too.\Good afternoon.\Oh?\Um, does Gatchaman really exist?\Of course not.\Although few and far between, some information exists. response:	Oh, really?
context: Morning, Sugane-kun.\Late again, too.\Good afternoon.\Oh?\Um, does Gatchaman really exist?\Of course not.\Although few and far between, some information exists.\Oh, really? response:	What? This is a panda.
context: Late again, too.\Good afternoon.\Oh?\Um, does Gatchaman really exist?\Of course not.\Although few and far between, some information exists.\Oh, really?\What? This is a panda. response:	Nah, no way.
context: Good afternoon.\Oh?\Um, does Gatchaman really exist?\Of course not.\Although few and far between, some information exists.\Oh, really?\What? This is a panda.\Nah, no way. response:	Gatchaman exists!
context: Oh?\Um, does Gatchaman really exist?\Of course not.\Although few and far between, some information exists.\Oh, really?\What? This is a panda.\Nah, no way.\Gatchaman exists! response:	It's Senpai and me!
context: Um, does Gatchaman really exist?\Of course not.\Although few and far between, some information exists.\Oh, really?\What? This is a panda.\Nah, no way.\Gatchaman exists!\It's Senpai and me! response:	Listen!
context: Of course not.\Although few and far between, some information exists.\Oh, really?\What? This is a panda.\Nah, no way.\Gatchaman exists!\It's Senpai and me!\Listen! response:	Our identity as G
context: Although few and far between, some information exists.\Oh, really?\What? This is a panda.\Nah, no way.\Gatchaman exists!\It's Senpai and me!\Listen!\Our identity as G response:	Our identity is an absolute secret!
context: Oh, really?\What? This is a panda.\Nah, no way.\Gatchaman exists!\It's Senpai and me!\Listen!\Our identity as G\Our identity is an absolute secret! response:	NOTE!
context: What? This is a panda.\Nah, no way.\Gatchaman exists!\It's Senpai and me!\Listen!\Our identity as G\Our identity is an absolute secret!\NOTE! response:	So cute!
context: Nah, no way.\Gatchaman exists!\It's Senpai and me!\Listen!\Our identity as G\Our identity is an absolute secret!\NOTE!\So cute! response:	Wh-Why was such a joke chosen...
context: Gatchaman exists!\It's Senpai and me!\Listen!\Our identity as G\Our identity is an absolute secret!\NOTE!\So cute!\Wh-Why was such a joke chosen... response:	Come with me.
context: It's Senpai and me!\Listen!\Our identity as G\Our identity is an absolute secret!\NOTE!\So cute!\Wh-Why was such a joke chosen...\Come with me. response:	We will go to our base now.
context: Listen!\Our identity as G\Our identity is an absolute secret!\NOTE!\So cute!\Wh-Why was such a joke chosen...\Come with me.\We will go to our base now. response:	Really?!
context: Our identity as G\Our identity is an absolute secret!\NOTE!\So cute!\Wh-Why was such a joke chosen...\Come with me.\We will go to our base now.\Really?! response:	It's within walking distance.
context: Our identity is an absolute secret!\NOTE!\So cute!\Wh-Why was such a joke chosen...\Come with me.\We will go to our base now.\Really?!\It's within walking distance. response:	That's surprisingly close.
context: NOTE!\So cute!\Wh-Why was such a joke chosen...\Come with me.\We will go to our base now.\Really?!\It's within walking distance.\That's surprisingly close. response:	This is the entrance?
context: So cute!\Wh-Why was such a joke chosen...\Come with me.\We will go to our base now.\Really?!\It's within walking distance.\That's surprisingly close.\This is the entrance? response:	The base is underground?
context: Wh-Why was such a joke chosen...\Come with me.\We will go to our base now.\Really?!\It's within walking distance.\That's surprisingly close.\This is the entrance?\The base is underground? response:	Listen, newbie.
context: Come with me.\We will go to our base now.\Really?!\It's within walking distance.\That's surprisingly close.\This is the entrance?\The base is underground?\Listen, newbie. response:	Oh, I'm Hajime.
context: We will go to our base now.\Really?!\It's within walking distance.\That's surprisingly close.\This is the entrance?\The base is underground?\Listen, newbie.\Oh, I'm Hajime. response:	That's the last we'll see of your antics.
context: Really?!\It's within walking distance.\That's surprisingly close.\This is the entrance?\The base is underground?\Listen, newbie.\Oh, I'm Hajime.\That's the last we'll see of your antics. response:	The responsibilities of a Gatchaman aren't fun and games.
context: It's within walking distance.\That's surprisingly close.\This is the entrance?\The base is underground?\Listen, newbie.\Oh, I'm Hajime.\That's the last we'll see of your antics.\The responsibilities of a Gatchaman aren't fun and games. response:	You must always face them with a sense of tension.
context: That's surprisingly close.\This is the entrance?\The base is underground?\Listen, newbie.\Oh, I'm Hajime.\That's the last we'll see of your antics.\The responsibilities of a Gatchaman aren't fun and games.\You must always face them with a sense of tension. response:	Understood.
context: This is the entrance?\The base is underground?\Listen, newbie.\Oh, I'm Hajime.\That's the last we'll see of your antics.\The responsibilities of a Gatchaman aren't fun and games.\You must always face them with a sense of tension.\Understood. response:	So Gatchaman do exist!
context: The base is underground?\Listen, newbie.\Oh, I'm Hajime.\That's the last we'll see of your antics.\The responsibilities of a Gatchaman aren't fun and games.\You must always face them with a sense of tension.\Understood.\So Gatchaman do exist! response:	Is it true you're protecting Earth?
context: Listen, newbie.\Oh, I'm Hajime.\That's the last we'll see of your antics.\The responsibilities of a Gatchaman aren't fun and games.\You must always face them with a sense of tension.\Understood.\So Gatchaman do exist!\Is it true you're protecting Earth? response:	I'll introduce you to the team.
context: Oh, I'm Hajime.\That's the last we'll see of your antics.\The responsibilities of a Gatchaman aren't fun and games.\You must always face them with a sense of tension.\Understood.\So Gatchaman do exist!\Is it true you're protecting Earth?\I'll introduce you to the team. response:	Hey.
context: That's the last we'll see of your antics.\The responsibilities of a Gatchaman aren't fun and games.\You must always face them with a sense of tension.\Understood.\So Gatchaman do exist!\Is it true you're protecting Earth?\I'll introduce you to the team.\Hey. response:	Where did you get your swimsuit?
context: The responsibilities of a Gatchaman aren't fun and games.\You must always face them with a sense of tension.\Understood.\So Gatchaman do exist!\Is it true you're protecting Earth?\I'll introduce you to the team.\Hey.\Where did you get your swimsuit? response:	The design's super cute!
context: You must always face them with a sense of tension.\Understood.\So Gatchaman do exist!\Is it true you're protecting Earth?\I'll introduce you to the team.\Hey.\Where did you get your swimsuit?\The design's super cute! response:	I'm dreamy...
context: Understood.\So Gatchaman do exist!\Is it true you're protecting Earth?\I'll introduce you to the team.\Hey.\Where did you get your swimsuit?\The design's super cute!\I'm dreamy... response:	Wow, you're super cute!
context: So Gatchaman do exist!\Is it true you're protecting Earth?\I'll introduce you to the team.\Hey.\Where did you get your swimsuit?\The design's super cute!\I'm dreamy...\Wow, you're super cute! response:	You're really too bold!
