context: Oh, this is fun, isn't it? response:	Now try that kapow-kapow.
context: What's going to happen this time?\There are people!\Finally! A station with people in it!\Heeey!\We can rest easy for a bit now.\Yeah.\Are you human or a Corpse?!\I'm neither! response:	I'm a Corpseless!
context: There are people!\Finally! A station with people in it!\Heeey!\We can rest easy for a bit now.\Yeah.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless! response:	We meet with the lord of the station.
context: Finally! A station with people in it!\Heeey!\We can rest easy for a bit now.\Yeah.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\We meet with the lord of the station. response:	I leave the Iron Fortress in your hands.
context: Heeey!\We can rest easy for a bit now.\Yeah.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\We meet with the lord of the station.\I leave the Iron Fortress in your hands. response:	You can count on us.
context: We can rest easy for a bit now.\Yeah.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\We meet with the lord of the station.\I leave the Iron Fortress in your hands.\You can count on us. response:	You must attend to your duties.
context: Yeah.\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\We meet with the lord of the station.\I leave the Iron Fortress in your hands.\You can count on us.\You must attend to your duties. response:	Ayame-sama, we are out of daita-iron.
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\We meet with the lord of the station.\I leave the Iron Fortress in your hands.\You can count on us.\You must attend to your duties.\Ayame-sama, we are out of daita-iron. response:	Daita-iron?
context: I'm neither!\I'm a Corpseless!\We meet with the lord of the station.\I leave the Iron Fortress in your hands.\You can count on us.\You must attend to your duties.\Ayame-sama, we are out of daita-iron.\Daita-iron? response:	Material used for the jet bullets.
context: I'm a Corpseless!\We meet with the lord of the station.\I leave the Iron Fortress in your hands.\You can count on us.\You must attend to your duties.\Ayame-sama, we are out of daita-iron.\Daita-iron?\Material used for the jet bullets. response:	Its low evaporation point increases the piercing capabilities.
context: We meet with the lord of the station.\I leave the Iron Fortress in your hands.\You can count on us.\You must attend to your duties.\Ayame-sama, we are out of daita-iron.\Daita-iron?\Material used for the jet bullets.\Its low evaporation point increases the piercing capabilities. response:	Then could I ask you to get more?
context: I leave the Iron Fortress in your hands.\You can count on us.\You must attend to your duties.\Ayame-sama, we are out of daita-iron.\Daita-iron?\Material used for the jet bullets.\Its low evaporation point increases the piercing capabilities.\Then could I ask you to get more? response:	Yes!
context: You can count on us.\You must attend to your duties.\Ayame-sama, we are out of daita-iron.\Daita-iron?\Material used for the jet bullets.\Its low evaporation point increases the piercing capabilities.\Then could I ask you to get more?\Yes! response:	We need spare parts to repair the Iron Fortress as well.
context: You must attend to your duties.\Ayame-sama, we are out of daita-iron.\Daita-iron?\Material used for the jet bullets.\Its low evaporation point increases the piercing capabilities.\Then could I ask you to get more?\Yes!\We need spare parts to repair the Iron Fortress as well. response:	You're right.
context: Ayame-sama, we are out of daita-iron.\Daita-iron?\Material used for the jet bullets.\Its low evaporation point increases the piercing capabilities.\Then could I ask you to get more?\Yes!\We need spare parts to repair the Iron Fortress as well.\You're right. response:	Clothes and medicine would be nice too.
context: Daita-iron?\Material used for the jet bullets.\Its low evaporation point increases the piercing capabilities.\Then could I ask you to get more?\Yes!\We need spare parts to repair the Iron Fortress as well.\You're right.\Clothes and medicine would be nice too. response:	We have been asked to leave by the 8th.
context: Material used for the jet bullets.\Its low evaporation point increases the piercing capabilities.\Then could I ask you to get more?\Yes!\We need spare parts to repair the Iron Fortress as well.\You're right.\Clothes and medicine would be nice too.\We have been asked to leave by the 8th. response:	Isn't the 8th is tomorrow?!
context: Its low evaporation point increases the piercing capabilities.\Then could I ask you to get more?\Yes!\We need spare parts to repair the Iron Fortress as well.\You're right.\Clothes and medicine would be nice too.\We have been asked to leave by the 8th.\Isn't the 8th is tomorrow?! response:	Then today is Tanabata, huh?
context: Then could I ask you to get more?\Yes!\We need spare parts to repair the Iron Fortress as well.\You're right.\Clothes and medicine would be nice too.\We have been asked to leave by the 8th.\Isn't the 8th is tomorrow?!\Then today is Tanabata, huh? response:	We've got better things to do than hang our wishes on bamboo.
context: Yes!\We need spare parts to repair the Iron Fortress as well.\You're right.\Clothes and medicine would be nice too.\We have been asked to leave by the 8th.\Isn't the 8th is tomorrow?!\Then today is Tanabata, huh?\We've got better things to do than hang our wishes on bamboo. response:	What is he talking about?
context: We need spare parts to repair the Iron Fortress as well.\You're right.\Clothes and medicine would be nice too.\We have been asked to leave by the 8th.\Isn't the 8th is tomorrow?!\Then today is Tanabata, huh?\We've got better things to do than hang our wishes on bamboo.\What is he talking about? response:	You don't know about Tanabata?
context: You're right.\Clothes and medicine would be nice too.\We have been asked to leave by the 8th.\Isn't the 8th is tomorrow?!\Then today is Tanabata, huh?\We've got better things to do than hang our wishes on bamboo.\What is he talking about?\You don't know about Tanabata? response:	You write your wish on a card and hang it from a bamboo tree.
context: Clothes and medicine would be nice too.\We have been asked to leave by the 8th.\Isn't the 8th is tomorrow?!\Then today is Tanabata, huh?\We've got better things to do than hang our wishes on bamboo.\What is he talking about?\You don't know about Tanabata?\You write your wish on a card and hang it from a bamboo tree. response:	I want to do that!
context: We have been asked to leave by the 8th.\Isn't the 8th is tomorrow?!\Then today is Tanabata, huh?\We've got better things to do than hang our wishes on bamboo.\What is he talking about?\You don't know about Tanabata?\You write your wish on a card and hang it from a bamboo tree.\I want to do that! response:	I'm not sure we have the time to.
context: Isn't the 8th is tomorrow?!\Then today is Tanabata, huh?\We've got better things to do than hang our wishes on bamboo.\What is he talking about?\You don't know about Tanabata?\You write your wish on a card and hang it from a bamboo tree.\I want to do that!\I'm not sure we have the time to. response:	We don't even know if we have enough money to buy supplies.
context: Then today is Tanabata, huh?\We've got better things to do than hang our wishes on bamboo.\What is he talking about?\You don't know about Tanabata?\You write your wish on a card and hang it from a bamboo tree.\I want to do that!\I'm not sure we have the time to.\We don't even know if we have enough money to buy supplies. response:	Let's celebrate Tanabata.
context: We've got better things to do than hang our wishes on bamboo.\What is he talking about?\You don't know about Tanabata?\You write your wish on a card and hang it from a bamboo tree.\I want to do that!\I'm not sure we have the time to.\We don't even know if we have enough money to buy supplies.\Let's celebrate Tanabata. response:	Please use this for money.
context: What is he talking about?\You don't know about Tanabata?\You write your wish on a card and hang it from a bamboo tree.\I want to do that!\I'm not sure we have the time to.\We don't even know if we have enough money to buy supplies.\Let's celebrate Tanabata.\Please use this for money. response:	Ayame-sama, that's...!
context: You don't know about Tanabata?\You write your wish on a card and hang it from a bamboo tree.\I want to do that!\I'm not sure we have the time to.\We don't even know if we have enough money to buy supplies.\Let's celebrate Tanabata.\Please use this for money.\Ayame-sama, that's...! response:	Can I ask you to handle it?
context: You write your wish on a card and hang it from a bamboo tree.\I want to do that!\I'm not sure we have the time to.\We don't even know if we have enough money to buy supplies.\Let's celebrate Tanabata.\Please use this for money.\Ayame-sama, that's...!\Can I ask you to handle it? response:	Yes!
context: I want to do that!\I'm not sure we have the time to.\We don't even know if we have enough money to buy supplies.\Let's celebrate Tanabata.\Please use this for money.\Ayame-sama, that's...!\Can I ask you to handle it?\Yes! response:	Ready and...!
context: I'm not sure we have the time to.\We don't even know if we have enough money to buy supplies.\Let's celebrate Tanabata.\Please use this for money.\Ayame-sama, that's...!\Can I ask you to handle it?\Yes!\Ready and...! response:	Did you hear?
context: We don't even know if we have enough money to buy supplies.\Let's celebrate Tanabata.\Please use this for money.\Ayame-sama, that's...!\Can I ask you to handle it?\Yes!\Ready and...!\Did you hear? response:	It's Tanabata today!
context: Let's celebrate Tanabata.\Please use this for money.\Ayame-sama, that's...!\Can I ask you to handle it?\Yes!\Ready and...!\Did you hear?\It's Tanabata today! response:	I completely forgot!
context: Please use this for money.\Ayame-sama, that's...!\Can I ask you to handle it?\Yes!\Ready and...!\Did you hear?\It's Tanabata today!\I completely forgot! response:	The shopping team is going to bring back bamboo.
context: Ayame-sama, that's...!\Can I ask you to handle it?\Yes!\Ready and...!\Did you hear?\It's Tanabata today!\I completely forgot!\The shopping team is going to bring back bamboo. response:	Then we'd better write down our wishes.
context: Can I ask you to handle it?\Yes!\Ready and...!\Did you hear?\It's Tanabata today!\I completely forgot!\The shopping team is going to bring back bamboo.\Then we'd better write down our wishes. response:	Oh, the bamboo leaves are so very smooth.
context: Yes!\Ready and...!\Did you hear?\It's Tanabata today!\I completely forgot!\The shopping team is going to bring back bamboo.\Then we'd better write down our wishes.\Oh, the bamboo leaves are so very smooth. response:	Don't get ahead of yourself.
context: Ready and...!\Did you hear?\It's Tanabata today!\I completely forgot!\The shopping team is going to bring back bamboo.\Then we'd better write down our wishes.\Oh, the bamboo leaves are so very smooth.\Don't get ahead of yourself. response:	Come on, stand still.
context: Did you hear?\It's Tanabata today!\I completely forgot!\The shopping team is going to bring back bamboo.\Then we'd better write down our wishes.\Oh, the bamboo leaves are so very smooth.\Don't get ahead of yourself.\Come on, stand still. response:	Honestly!
context: It's Tanabata today!\I completely forgot!\The shopping team is going to bring back bamboo.\Then we'd better write down our wishes.\Oh, the bamboo leaves are so very smooth.\Don't get ahead of yourself.\Come on, stand still.\Honestly! response:	It's so pretty!
context: I completely forgot!\The shopping team is going to bring back bamboo.\Then we'd better write down our wishes.\Oh, the bamboo leaves are so very smooth.\Don't get ahead of yourself.\Come on, stand still.\Honestly!\It's so pretty! response:	Look at those beautiful colors.
context: The shopping team is going to bring back bamboo.\Then we'd better write down our wishes.\Oh, the bamboo leaves are so very smooth.\Don't get ahead of yourself.\Come on, stand still.\Honestly!\It's so pretty!\Look at those beautiful colors. response:	I can't wait to buy new clothes.
context: Then we'd better write down our wishes.\Oh, the bamboo leaves are so very smooth.\Don't get ahead of yourself.\Come on, stand still.\Honestly!\It's so pretty!\Look at those beautiful colors.\I can't wait to buy new clothes. response:	It'd be nice to be able to get into some new clothes.
context: Oh, the bamboo leaves are so very smooth.\Don't get ahead of yourself.\Come on, stand still.\Honestly!\It's so pretty!\Look at those beautiful colors.\I can't wait to buy new clothes.\It'd be nice to be able to get into some new clothes. response:	You're right.
context: Don't get ahead of yourself.\Come on, stand still.\Honestly!\It's so pretty!\Look at those beautiful colors.\I can't wait to buy new clothes.\It'd be nice to be able to get into some new clothes.\You're right. response:	And you're always practically naked.
context: Come on, stand still.\Honestly!\It's so pretty!\Look at those beautiful colors.\I can't wait to buy new clothes.\It'd be nice to be able to get into some new clothes.\You're right.\And you're always practically naked. response:	It's not because I want to!
context: Honestly!\It's so pretty!\Look at those beautiful colors.\I can't wait to buy new clothes.\It'd be nice to be able to get into some new clothes.\You're right.\And you're always practically naked.\It's not because I want to! response:	Let's split up here.
context: It's so pretty!\Look at those beautiful colors.\I can't wait to buy new clothes.\It'd be nice to be able to get into some new clothes.\You're right.\And you're always practically naked.\It's not because I want to!\Let's split up here. response:	We will head towards the repair shop.
context: Look at those beautiful colors.\I can't wait to buy new clothes.\It'd be nice to be able to get into some new clothes.\You're right.\And you're always practically naked.\It's not because I want to!\Let's split up here.\We will head towards the repair shop. response:	Okay.
context: I can't wait to buy new clothes.\It'd be nice to be able to get into some new clothes.\You're right.\And you're always practically naked.\It's not because I want to!\Let's split up here.\We will head towards the repair shop.\Okay. response:	Ready?
context: It'd be nice to be able to get into some new clothes.\You're right.\And you're always practically naked.\It's not because I want to!\Let's split up here.\We will head towards the repair shop.\Okay.\Ready? response:	Yeah.
context: You're right.\And you're always practically naked.\It's not because I want to!\Let's split up here.\We will head towards the repair shop.\Okay.\Ready?\Yeah. response:	Nameless -chan, could you come with us?
context: And you're always practically naked.\It's not because I want to!\Let's split up here.\We will head towards the repair shop.\Okay.\Ready?\Yeah.\Nameless -chan, could you come with us? response:	But I don't know anything about shopping.
context: It's not because I want to!\Let's split up here.\We will head towards the repair shop.\Okay.\Ready?\Yeah.\Nameless -chan, could you come with us?\But I don't know anything about shopping. response:	They won't try to treat us fairly without men.
context: Let's split up here.\We will head towards the repair shop.\Okay.\Ready?\Yeah.\Nameless -chan, could you come with us?\But I don't know anything about shopping.\They won't try to treat us fairly without men. response:	Please, Master Bodyguard?
context: We will head towards the repair shop.\Okay.\Ready?\Yeah.\Nameless -chan, could you come with us?\But I don't know anything about shopping.\They won't try to treat us fairly without men.\Please, Master Bodyguard? response:	Okay.
context: Okay.\Ready?\Yeah.\Nameless -chan, could you come with us?\But I don't know anything about shopping.\They won't try to treat us fairly without men.\Please, Master Bodyguard?\Okay. response:	Too expensive! Way too expensive!
context: Ready?\Yeah.\Nameless -chan, could you come with us?\But I don't know anything about shopping.\They won't try to treat us fairly without men.\Please, Master Bodyguard?\Okay.\Too expensive! Way too expensive! response:	Way too expensive!
context: Yeah.\Nameless -chan, could you come with us?\But I don't know anything about shopping.\They won't try to treat us fairly without men.\Please, Master Bodyguard?\Okay.\Too expensive! Way too expensive!\Way too expensive! response:	Come on, it's bruised here! Give us a deal!
context: Nameless -chan, could you come with us?\But I don't know anything about shopping.\They won't try to treat us fairly without men.\Please, Master Bodyguard?\Okay.\Too expensive! Way too expensive!\Way too expensive!\Come on, it's bruised here! Give us a deal! response:	Give us a deal!
context: But I don't know anything about shopping.\They won't try to treat us fairly without men.\Please, Master Bodyguard?\Okay.\Too expensive! Way too expensive!\Way too expensive!\Come on, it's bruised here! Give us a deal!\Give us a deal! response:	You don't have anything thicker?
context: They won't try to treat us fairly without men.\Please, Master Bodyguard?\Okay.\Too expensive! Way too expensive!\Way too expensive!\Come on, it's bruised here! Give us a deal!\Give us a deal!\You don't have anything thicker? response:	Something this thin won't last three days!
context: Please, Master Bodyguard?\Okay.\Too expensive! Way too expensive!\Way too expensive!\Come on, it's bruised here! Give us a deal!\Give us a deal!\You don't have anything thicker?\Something this thin won't last three days! response:	I'll buy all this, so give me a 50-percent discount!
context: Okay.\Too expensive! Way too expensive!\Way too expensive!\Come on, it's bruised here! Give us a deal!\Give us a deal!\You don't have anything thicker?\Something this thin won't last three days!\I'll buy all this, so give me a 50-percent discount! response:	You're charging 10 mon for this skinny bean?
context: Too expensive! Way too expensive!\Way too expensive!\Come on, it's bruised here! Give us a deal!\Give us a deal!\You don't have anything thicker?\Something this thin won't last three days!\I'll buy all this, so give me a 50-percent discount!\You're charging 10 mon for this skinny bean? response:	You've got to be joking!
context: Way too expensive!\Come on, it's bruised here! Give us a deal!\Give us a deal!\You don't have anything thicker?\Something this thin won't last three days!\I'll buy all this, so give me a 50-percent discount!\You're charging 10 mon for this skinny bean?\You've got to be joking! response:	I guess Kajika goes out and fights battles too.
context: Come on, it's bruised here! Give us a deal!\Give us a deal!\You don't have anything thicker?\Something this thin won't last three days!\I'll buy all this, so give me a 50-percent discount!\You're charging 10 mon for this skinny bean?\You've got to be joking!\I guess Kajika goes out and fights battles too. response:	What's that?
context: Give us a deal!\You don't have anything thicker?\Something this thin won't last three days!\I'll buy all this, so give me a 50-percent discount!\You're charging 10 mon for this skinny bean?\You've got to be joking!\I guess Kajika goes out and fights battles too.\What's that? response:	Oh, those are fireworks.
context: You don't have anything thicker?\Something this thin won't last three days!\I'll buy all this, so give me a 50-percent discount!\You're charging 10 mon for this skinny bean?\You've got to be joking!\I guess Kajika goes out and fights battles too.\What's that?\Oh, those are fireworks. response:	In Shitori, we set off fireworks for Tanabata.
context: Something this thin won't last three days!\I'll buy all this, so give me a 50-percent discount!\You're charging 10 mon for this skinny bean?\You've got to be joking!\I guess Kajika goes out and fights battles too.\What's that?\Oh, those are fireworks.\In Shitori, we set off fireworks for Tanabata. response:	If you have fireworks, you must have burst charges.
context: I'll buy all this, so give me a 50-percent discount!\You're charging 10 mon for this skinny bean?\You've got to be joking!\I guess Kajika goes out and fights battles too.\What's that?\Oh, those are fireworks.\In Shitori, we set off fireworks for Tanabata.\If you have fireworks, you must have burst charges. response:	Would you be able to spare some?
context: You're charging 10 mon for this skinny bean?\You've got to be joking!\I guess Kajika goes out and fights battles too.\What's that?\Oh, those are fireworks.\In Shitori, we set off fireworks for Tanabata.\If you have fireworks, you must have burst charges.\Would you be able to spare some? response:	Sure, but what do you need them for?
context: You've got to be joking!\I guess Kajika goes out and fights battles too.\What's that?\Oh, those are fireworks.\In Shitori, we set off fireworks for Tanabata.\If you have fireworks, you must have burst charges.\Would you be able to spare some?\Sure, but what do you need them for? response:	I thought I could use them as a combustion agent for jet bullets.
context: I guess Kajika goes out and fights battles too.\What's that?\Oh, those are fireworks.\In Shitori, we set off fireworks for Tanabata.\If you have fireworks, you must have burst charges.\Would you be able to spare some?\Sure, but what do you need them for?\I thought I could use them as a combustion agent for jet bullets. response:	Jet bullets?
context: What's that?\Oh, those are fireworks.\In Shitori, we set off fireworks for Tanabata.\If you have fireworks, you must have burst charges.\Would you be able to spare some?\Sure, but what do you need them for?\I thought I could use them as a combustion agent for jet bullets.\Jet bullets? response:	Oh, jet bullets are
context: Oh, those are fireworks.\In Shitori, we set off fireworks for Tanabata.\If you have fireworks, you must have burst charges.\Would you be able to spare some?\Sure, but what do you need them for?\I thought I could use them as a combustion agent for jet bullets.\Jet bullets?\Oh, jet bullets are response:	Hey.
context: In Shitori, we set off fireworks for Tanabata.\If you have fireworks, you must have burst charges.\Would you be able to spare some?\Sure, but what do you need them for?\I thought I could use them as a combustion agent for jet bullets.\Jet bullets?\Oh, jet bullets are\Hey. response:	The barrel is acting up.
context: If you have fireworks, you must have burst charges.\Would you be able to spare some?\Sure, but what do you need them for?\I thought I could use them as a combustion agent for jet bullets.\Jet bullets?\Oh, jet bullets are\Hey.\The barrel is acting up. response:	It's urgent.
context: Would you be able to spare some?\Sure, but what do you need them for?\I thought I could use them as a combustion agent for jet bullets.\Jet bullets?\Oh, jet bullets are\Hey.\The barrel is acting up.\It's urgent. response:	One moment please.
context: Sure, but what do you need them for?\I thought I could use them as a combustion agent for jet bullets.\Jet bullets?\Oh, jet bullets are\Hey.\The barrel is acting up.\It's urgent.\One moment please. response:	I will get right to it after I finish with this customer.
context: I thought I could use them as a combustion agent for jet bullets.\Jet bullets?\Oh, jet bullets are\Hey.\The barrel is acting up.\It's urgent.\One moment please.\I will get right to it after I finish with this customer. response:	Huh?!
context: Jet bullets?\Oh, jet bullets are\Hey.\The barrel is acting up.\It's urgent.\One moment please.\I will get right to it after I finish with this customer.\Huh?! response:	We were here first.
context: Oh, jet bullets are\Hey.\The barrel is acting up.\It's urgent.\One moment please.\I will get right to it after I finish with this customer.\Huh?!\We were here first. response:	A lowly steam smith would oppose a Warrior?
context: Hey.\The barrel is acting up.\It's urgent.\One moment please.\I will get right to it after I finish with this customer.\Huh?!\We were here first.\A lowly steam smith would oppose a Warrior? response:	He was talking to me before you got here!
context: The barrel is acting up.\It's urgent.\One moment please.\I will get right to it after I finish with this customer.\Huh?!\We were here first.\A lowly steam smith would oppose a Warrior?\He was talking to me before you got here! response:	You damn outsider!
context: It's urgent.\One moment please.\I will get right to it after I finish with this customer.\Huh?!\We were here first.\A lowly steam smith would oppose a Warrior?\He was talking to me before you got here!\You damn outsider! response:	What have you done?!
context: One moment please.\I will get right to it after I finish with this customer.\Huh?!\We were here first.\A lowly steam smith would oppose a Warrior?\He was talking to me before you got here!\You damn outsider!\What have you done?! response:	Damn it.
context: I will get right to it after I finish with this customer.\Huh?!\We were here first.\A lowly steam smith would oppose a Warrior?\He was talking to me before you got here!\You damn outsider!\What have you done?!\Damn it. response:	Leave the screws!
context: Huh?!\We were here first.\A lowly steam smith would oppose a Warrior?\He was talking to me before you got here!\You damn outsider!\What have you done?!\Damn it.\Leave the screws! response:	Fix my gun first!
context: We were here first.\A lowly steam smith would oppose a Warrior?\He was talking to me before you got here!\You damn outsider!\What have you done?!\Damn it.\Leave the screws!\Fix my gun first! response:	Pick it up.
context: A lowly steam smith would oppose a Warrior?\He was talking to me before you got here!\You damn outsider!\What have you done?!\Damn it.\Leave the screws!\Fix my gun first!\Pick it up. response:	What?
context: He was talking to me before you got here!\You damn outsider!\What have you done?!\Damn it.\Leave the screws!\Fix my gun first!\Pick it up.\What? response:	Didn't your mother ever teach you to pick up after yourself?!
context: You damn outsider!\What have you done?!\Damn it.\Leave the screws!\Fix my gun first!\Pick it up.\What?\Didn't your mother ever teach you to pick up after yourself?! response:	How dare you!
context: What have you done?!\Damn it.\Leave the screws!\Fix my gun first!\Pick it up.\What?\Didn't your mother ever teach you to pick up after yourself?!\How dare you! response:	Terrible form!
context: Damn it.\Leave the screws!\Fix my gun first!\Pick it up.\What?\Didn't your mother ever teach you to pick up after yourself?!\How dare you!\Terrible form! response:	I will be back to pick it up by evening!
context: Leave the screws!\Fix my gun first!\Pick it up.\What?\Didn't your mother ever teach you to pick up after yourself?!\How dare you!\Terrible form!\I will be back to pick it up by evening! response:	You'd better have it fixed by then!
context: Fix my gun first!\Pick it up.\What?\Didn't your mother ever teach you to pick up after yourself?!\How dare you!\Terrible form!\I will be back to pick it up by evening!\You'd better have it fixed by then! response:	The Warriors have nothing on the Corpses!
context: Pick it up.\What?\Didn't your mother ever teach you to pick up after yourself?!\How dare you!\Terrible form!\I will be back to pick it up by evening!\You'd better have it fixed by then!\The Warriors have nothing on the Corpses! response:	Oh, right.
context: What?\Didn't your mother ever teach you to pick up after yourself?!\How dare you!\Terrible form!\I will be back to pick it up by evening!\You'd better have it fixed by then!\The Warriors have nothing on the Corpses!\Oh, right. response:	So jet bullets are...
context: Didn't your mother ever teach you to pick up after yourself?!\How dare you!\Terrible form!\I will be back to pick it up by evening!\You'd better have it fixed by then!\The Warriors have nothing on the Corpses!\Oh, right.\So jet bullets are... response:	Would you mind just hearing him out?
context: How dare you!\Terrible form!\I will be back to pick it up by evening!\You'd better have it fixed by then!\The Warriors have nothing on the Corpses!\Oh, right.\So jet bullets are...\Would you mind just hearing him out? response:	I'm sorry about this.
context: Terrible form!\I will be back to pick it up by evening!\You'd better have it fixed by then!\The Warriors have nothing on the Corpses!\Oh, right.\So jet bullets are...\Would you mind just hearing him out?\I'm sorry about this. response:	Hey, are you from the Iron Fortress?
context: I will be back to pick it up by evening!\You'd better have it fixed by then!\The Warriors have nothing on the Corpses!\Oh, right.\So jet bullets are...\Would you mind just hearing him out?\I'm sorry about this.\Hey, are you from the Iron Fortress? response:	My dad's on a Railfort too.
context: You'd better have it fixed by then!\The Warriors have nothing on the Corpses!\Oh, right.\So jet bullets are...\Would you mind just hearing him out?\I'm sorry about this.\Hey, are you from the Iron Fortress?\My dad's on a Railfort too. response:	Really?
context: The Warriors have nothing on the Corpses!\Oh, right.\So jet bullets are...\Would you mind just hearing him out?\I'm sorry about this.\Hey, are you from the Iron Fortress?\My dad's on a Railfort too.\Really? response:	I guess that makes him one of us.
context: Oh, right.\So jet bullets are...\Would you mind just hearing him out?\I'm sorry about this.\Hey, are you from the Iron Fortress?\My dad's on a Railfort too.\Really?\I guess that makes him one of us. response:	Yeah. It's called the Tree Fortress.
context: So jet bullets are...\Would you mind just hearing him out?\I'm sorry about this.\Hey, are you from the Iron Fortress?\My dad's on a Railfort too.\Really?\I guess that makes him one of us.\Yeah. It's called the Tree Fortress. response:	I'm sorry, I don't hear a lot about other Railfort s
context: Would you mind just hearing him out?\I'm sorry about this.\Hey, are you from the Iron Fortress?\My dad's on a Railfort too.\Really?\I guess that makes him one of us.\Yeah. It's called the Tree Fortress.\I'm sorry, I don't hear a lot about other Railfort s response:	The Tree Fortress got overrun by the Corpses.
context: I'm sorry about this.\Hey, are you from the Iron Fortress?\My dad's on a Railfort too.\Really?\I guess that makes him one of us.\Yeah. It's called the Tree Fortress.\I'm sorry, I don't hear a lot about other Railfort s\The Tree Fortress got overrun by the Corpses. response:	Sukari!
