context: Aye! I'm reporting live from E-Land! response:	Can everyone see this?
context: Return our friends!\Friends?\Your friends will mix with Extalia's magic,\and become an eternal supply of magic power!\Why're you still blabbing about that? I said we ain't gonna let you!\Natsu, behind you!\What's this?\We're sinking into the floor? response:	No way that'll hit me!
context: Friends?\Your friends will mix with Extalia's magic,\and become an eternal supply of magic power!\Why're you still blabbing about that? I said we ain't gonna let you!\Natsu, behind you!\What's this?\We're sinking into the floor?\No way that'll hit me! response:	Oh, we'll see about that.
context: Your friends will mix with Extalia's magic,\and become an eternal supply of magic power!\Why're you still blabbing about that? I said we ain't gonna let you!\Natsu, behind you!\What's this?\We're sinking into the floor?\No way that'll hit me!\Oh, we'll see about that. response:	Hell's Tornado!
context: and become an eternal supply of magic power!\Why're you still blabbing about that? I said we ain't gonna let you!\Natsu, behind you!\What's this?\We're sinking into the floor?\No way that'll hit me!\Oh, we'll see about that.\Hell's Tornado! response:	What?
context: Why're you still blabbing about that? I said we ain't gonna let you!\Natsu, behind you!\What's this?\We're sinking into the floor?\No way that'll hit me!\Oh, we'll see about that.\Hell's Tornado!\What? response:	What the heck?!
context: Natsu, behind you!\What's this?\We're sinking into the floor?\No way that'll hit me!\Oh, we'll see about that.\Hell's Tornado!\What?\What the heck?! response:	It's shooting out the rail it's going along!
context: What's this?\We're sinking into the floor?\No way that'll hit me!\Oh, we'll see about that.\Hell's Tornado!\What?\What the heck?!\It's shooting out the rail it's going along! response:	He sounds like he's enjoying it...
context: We're sinking into the floor?\No way that'll hit me!\Oh, we'll see about that.\Hell's Tornado!\What?\What the heck?!\It's shooting out the rail it's going along!\He sounds like he's enjoying it... response:	Anyway, my weapon, the Command Tact, can cause all the attractions here to freely move at will!
context: No way that'll hit me!\Oh, we'll see about that.\Hell's Tornado!\What?\What the heck?!\It's shooting out the rail it's going along!\He sounds like he's enjoying it...\Anyway, my weapon, the Command Tact, can cause all the attractions here to freely move at will! response:	Who cares if you can move'em all you want?
context: Oh, we'll see about that.\Hell's Tornado!\What?\What the heck?!\It's shooting out the rail it's going along!\He sounds like he's enjoying it...\Anyway, my weapon, the Command Tact, can cause all the attractions here to freely move at will!\Who cares if you can move'em all you want? response:	All I gotta do is bust'em up!
context: Hell's Tornado!\What?\What the heck?!\It's shooting out the rail it's going along!\He sounds like he's enjoying it...\Anyway, my weapon, the Command Tact, can cause all the attractions here to freely move at will!\Who cares if you can move'em all you want?\All I gotta do is bust'em up! response:	That's not good, you imbecile.
context: What?\What the heck?!\It's shooting out the rail it's going along!\He sounds like he's enjoying it...\Anyway, my weapon, the Command Tact, can cause all the attractions here to freely move at will!\Who cares if you can move'em all you want?\All I gotta do is bust'em up!\That's not good, you imbecile. response:	What'd you call me?!
context: What the heck?!\It's shooting out the rail it's going along!\He sounds like he's enjoying it...\Anyway, my weapon, the Command Tact, can cause all the attractions here to freely move at will!\Who cares if you can move'em all you want?\All I gotta do is bust'em up!\That's not good, you imbecile.\What'd you call me?! response:	There's more than one Hell's Coaster!
context: It's shooting out the rail it's going along!\He sounds like he's enjoying it...\Anyway, my weapon, the Command Tact, can cause all the attractions here to freely move at will!\Who cares if you can move'em all you want?\All I gotta do is bust'em up!\That's not good, you imbecile.\What'd you call me?!\There's more than one Hell's Coaster! response:	And it plays a beautiful symphony, which I conduct!
context: He sounds like he's enjoying it...\Anyway, my weapon, the Command Tact, can cause all the attractions here to freely move at will!\Who cares if you can move'em all you want?\All I gotta do is bust'em up!\That's not good, you imbecile.\What'd you call me?!\There's more than one Hell's Coaster!\And it plays a beautiful symphony, which I conduct! response:	Hey, let me go!
context: Anyway, my weapon, the Command Tact, can cause all the attractions here to freely move at will!\Who cares if you can move'em all you want?\All I gotta do is bust'em up!\That's not good, you imbecile.\What'd you call me?!\There's more than one Hell's Coaster!\And it plays a beautiful symphony, which I conduct!\Hey, let me go! response:	This attraction considers the safety of its guests its number one priority.
context: Who cares if you can move'em all you want?\All I gotta do is bust'em up!\That's not good, you imbecile.\What'd you call me?!\There's more than one Hell's Coaster!\And it plays a beautiful symphony, which I conduct!\Hey, let me go!\This attraction considers the safety of its guests its number one priority. response:	Tee-hee!
context: All I gotta do is bust'em up!\That's not good, you imbecile.\What'd you call me?!\There's more than one Hell's Coaster!\And it plays a beautiful symphony, which I conduct!\Hey, let me go!\This attraction considers the safety of its guests its number one priority.\Tee-hee! response:	Using enough magic power, the Hell's Coaster can accelerate to 10 times normal speed.
context: That's not good, you imbecile.\What'd you call me?!\There's more than one Hell's Coaster!\And it plays a beautiful symphony, which I conduct!\Hey, let me go!\This attraction considers the safety of its guests its number one priority.\Tee-hee!\Using enough magic power, the Hell's Coaster can accelerate to 10 times normal speed. response:	I don't care who you are, 5 minutes riding that and...
context: What'd you call me?!\There's more than one Hell's Coaster!\And it plays a beautiful symphony, which I conduct!\Hey, let me go!\This attraction considers the safety of its guests its number one priority.\Tee-hee!\Using enough magic power, the Hell's Coaster can accelerate to 10 times normal speed.\I don't care who you are, 5 minutes riding that and... response:	It hasn't been more than 10 seconds!
context: There's more than one Hell's Coaster!\And it plays a beautiful symphony, which I conduct!\Hey, let me go!\This attraction considers the safety of its guests its number one priority.\Tee-hee!\Using enough magic power, the Hell's Coaster can accelerate to 10 times normal speed.\I don't care who you are, 5 minutes riding that and...\It hasn't been more than 10 seconds! response:	Whoa, what's with this guy? He's so weak!
context: And it plays a beautiful symphony, which I conduct!\Hey, let me go!\This attraction considers the safety of its guests its number one priority.\Tee-hee!\Using enough magic power, the Hell's Coaster can accelerate to 10 times normal speed.\I don't care who you are, 5 minutes riding that and...\It hasn't been more than 10 seconds!\Whoa, what's with this guy? He's so weak! response:	What is this?
context: Hey, let me go!\This attraction considers the safety of its guests its number one priority.\Tee-hee!\Using enough magic power, the Hell's Coaster can accelerate to 10 times normal speed.\I don't care who you are, 5 minutes riding that and...\It hasn't been more than 10 seconds!\Whoa, what's with this guy? He's so weak!\What is this? response:	Things aren't going well over there.
context: This attraction considers the safety of its guests its number one priority.\Tee-hee!\Using enough magic power, the Hell's Coaster can accelerate to 10 times normal speed.\I don't care who you are, 5 minutes riding that and...\It hasn't been more than 10 seconds!\Whoa, what's with this guy? He's so weak!\What is this?\Things aren't going well over there. response:	We're not doing so well here, either!
context: Tee-hee!\Using enough magic power, the Hell's Coaster can accelerate to 10 times normal speed.\I don't care who you are, 5 minutes riding that and...\It hasn't been more than 10 seconds!\Whoa, what's with this guy? He's so weak!\What is this?\Things aren't going well over there.\We're not doing so well here, either! response:	Lucy, pull Natsu out of there!
context: Using enough magic power, the Hell's Coaster can accelerate to 10 times normal speed.\I don't care who you are, 5 minutes riding that and...\It hasn't been more than 10 seconds!\Whoa, what's with this guy? He's so weak!\What is this?\Things aren't going well over there.\We're not doing so well here, either!\Lucy, pull Natsu out of there! response:	How?
context: I don't care who you are, 5 minutes riding that and...\It hasn't been more than 10 seconds!\Whoa, what's with this guy? He's so weak!\What is this?\Things aren't going well over there.\We're not doing so well here, either!\Lucy, pull Natsu out of there!\How? response:	You're not going to...
context: It hasn't been more than 10 seconds!\Whoa, what's with this guy? He's so weak!\What is this?\Things aren't going well over there.\We're not doing so well here, either!\Lucy, pull Natsu out of there!\How?\You're not going to... response:	Get going!
context: Whoa, what's with this guy? He's so weak!\What is this?\Things aren't going well over there.\We're not doing so well here, either!\Lucy, pull Natsu out of there!\How?\You're not going to...\Get going! response:	Please stop this thing!
context: What is this?\Things aren't going well over there.\We're not doing so well here, either!\Lucy, pull Natsu out of there!\How?\You're not going to...\Get going!\Please stop this thing! response:	This girl is pretty brave...
context: Things aren't going well over there.\We're not doing so well here, either!\Lucy, pull Natsu out of there!\How?\You're not going to...\Get going!\Please stop this thing!\This girl is pretty brave... response:	Natsu!
context: We're not doing so well here, either!\Lucy, pull Natsu out of there!\How?\You're not going to...\Get going!\Please stop this thing!\This girl is pretty brave...\Natsu! response:	Lucy, I'm counting on you!
context: Lucy, pull Natsu out of there!\How?\You're not going to...\Get going!\Please stop this thing!\This girl is pretty brave...\Natsu!\Lucy, I'm counting on you! response:	Ice Make Flying Claw!
context: How?\You're not going to...\Get going!\Please stop this thing!\This girl is pretty brave...\Natsu!\Lucy, I'm counting on you!\Ice Make Flying Claw! response:	If you had that kind of magic, wouldn't it have been better if you rescued him?
context: You're not going to...\Get going!\Please stop this thing!\This girl is pretty brave...\Natsu!\Lucy, I'm counting on you!\Ice Make Flying Claw!\If you had that kind of magic, wouldn't it have been better if you rescued him? response:	Then no one would be around to kick your ass!
context: Get going!\Please stop this thing!\This girl is pretty brave...\Natsu!\Lucy, I'm counting on you!\Ice Make Flying Claw!\If you had that kind of magic, wouldn't it have been better if you rescued him?\Then no one would be around to kick your ass! response:	You have quite the confidence.
context: Please stop this thing!\This girl is pretty brave...\Natsu!\Lucy, I'm counting on you!\Ice Make Flying Claw!\If you had that kind of magic, wouldn't it have been better if you rescued him?\Then no one would be around to kick your ass!\You have quite the confidence. response:	Ice Make Death Scythe!
context: This girl is pretty brave...\Natsu!\Lucy, I'm counting on you!\Ice Make Flying Claw!\If you had that kind of magic, wouldn't it have been better if you rescued him?\Then no one would be around to kick your ass!\You have quite the confidence.\Ice Make Death Scythe! response:	So cold...
context: Natsu!\Lucy, I'm counting on you!\Ice Make Flying Claw!\If you had that kind of magic, wouldn't it have been better if you rescued him?\Then no one would be around to kick your ass!\You have quite the confidence.\Ice Make Death Scythe!\So cold... response:	I see.
context: Lucy, I'm counting on you!\Ice Make Flying Claw!\If you had that kind of magic, wouldn't it have been better if you rescued him?\Then no one would be around to kick your ass!\You have quite the confidence.\Ice Make Death Scythe!\So cold...\I see. response:	Ice magic, yes...
context: Ice Make Flying Claw!\If you had that kind of magic, wouldn't it have been better if you rescued him?\Then no one would be around to kick your ass!\You have quite the confidence.\Ice Make Death Scythe!\So cold...\I see.\Ice magic, yes... response:	What the hell is going on?
context: If you had that kind of magic, wouldn't it have been better if you rescued him?\Then no one would be around to kick your ass!\You have quite the confidence.\Ice Make Death Scythe!\So cold...\I see.\Ice magic, yes...\What the hell is going on? response:	I think I may be at an advantage here.
context: Then no one would be around to kick your ass!\You have quite the confidence.\Ice Make Death Scythe!\So cold...\I see.\Ice magic, yes...\What the hell is going on?\I think I may be at an advantage here. response:	This weapon, Rossa Espada, softens anything and everything.
context: You have quite the confidence.\Ice Make Death Scythe!\So cold...\I see.\Ice magic, yes...\What the hell is going on?\I think I may be at an advantage here.\This weapon, Rossa Espada, softens anything and everything. response:	It is really, truly, unfortunate...
context: Ice Make Death Scythe!\So cold...\I see.\Ice magic, yes...\What the hell is going on?\I think I may be at an advantage here.\This weapon, Rossa Espada, softens anything and everything.\It is really, truly, unfortunate... response:	Natsu, pull yourself together!
context: So cold...\I see.\Ice magic, yes...\What the hell is going on?\I think I may be at an advantage here.\This weapon, Rossa Espada, softens anything and everything.\It is really, truly, unfortunate...\Natsu, pull yourself together! response:	What's with these things? They won't come off!
context: I see.\Ice magic, yes...\What the hell is going on?\I think I may be at an advantage here.\This weapon, Rossa Espada, softens anything and everything.\It is really, truly, unfortunate...\Natsu, pull yourself together!\What's with these things? They won't come off! response:	I said pull it together, sheesh!
context: Ice magic, yes...\What the hell is going on?\I think I may be at an advantage here.\This weapon, Rossa Espada, softens anything and everything.\It is really, truly, unfortunate...\Natsu, pull yourself together!\What's with these things? They won't come off!\I said pull it together, sheesh! response:	Not a chance!
context: What the hell is going on?\I think I may be at an advantage here.\This weapon, Rossa Espada, softens anything and everything.\It is really, truly, unfortunate...\Natsu, pull yourself together!\What's with these things? They won't come off!\I said pull it together, sheesh!\Not a chance! response:	I-I'm saved...
context: I think I may be at an advantage here.\This weapon, Rossa Espada, softens anything and everything.\It is really, truly, unfortunate...\Natsu, pull yourself together!\What's with these things? They won't come off!\I said pull it together, sheesh!\Not a chance!\I-I'm saved... response:	Take a look at that!
context: This weapon, Rossa Espada, softens anything and everything.\It is really, truly, unfortunate...\Natsu, pull yourself together!\What's with these things? They won't come off!\I said pull it together, sheesh!\Not a chance!\I-I'm saved...\Take a look at that! response:	Oh, thanks for that.
context: It is really, truly, unfortunate...\Natsu, pull yourself together!\What's with these things? They won't come off!\I said pull it together, sheesh!\Not a chance!\I-I'm saved...\Take a look at that!\Oh, thanks for that. response:	Water?
context: Natsu, pull yourself together!\What's with these things? They won't come off!\I said pull it together, sheesh!\Not a chance!\I-I'm saved...\Take a look at that!\Oh, thanks for that.\Water? response:	That's Edolas's magic! Like, whoa, right?
context: What's with these things? They won't come off!\I said pull it together, sheesh!\Not a chance!\I-I'm saved...\Take a look at that!\Oh, thanks for that.\Water?\That's Edolas's magic! Like, whoa, right? response:	And this wonderful magic will be gone pretty soon...
context: I said pull it together, sheesh!\Not a chance!\I-I'm saved...\Take a look at that!\Oh, thanks for that.\Water?\That's Edolas's magic! Like, whoa, right?\And this wonderful magic will be gone pretty soon... response:	I don't even wanna think about it!
context: Not a chance!\I-I'm saved...\Take a look at that!\Oh, thanks for that.\Water?\That's Edolas's magic! Like, whoa, right?\And this wonderful magic will be gone pretty soon...\I don't even wanna think about it! response:	That's why you'll kill them?
context: I-I'm saved...\Take a look at that!\Oh, thanks for that.\Water?\That's Edolas's magic! Like, whoa, right?\And this wonderful magic will be gone pretty soon...\I don't even wanna think about it!\That's why you'll kill them? response:	You'll kill my friends and the Exceeds for your convenience?
context: Take a look at that!\Oh, thanks for that.\Water?\That's Edolas's magic! Like, whoa, right?\And this wonderful magic will be gone pretty soon...\I don't even wanna think about it!\That's why you'll kill them?\You'll kill my friends and the Exceeds for your convenience? response:	That's right.
context: Oh, thanks for that.\Water?\That's Edolas's magic! Like, whoa, right?\And this wonderful magic will be gone pretty soon...\I don't even wanna think about it!\That's why you'll kill them?\You'll kill my friends and the Exceeds for your convenience?\That's right. response:	They'll be sacrificed for the sake of our eternal magic supply.
context: Water?\That's Edolas's magic! Like, whoa, right?\And this wonderful magic will be gone pretty soon...\I don't even wanna think about it!\That's why you'll kill them?\You'll kill my friends and the Exceeds for your convenience?\That's right.\They'll be sacrificed for the sake of our eternal magic supply. response:	Screw that.
context: That's Edolas's magic! Like, whoa, right?\And this wonderful magic will be gone pretty soon...\I don't even wanna think about it!\That's why you'll kill them?\You'll kill my friends and the Exceeds for your convenience?\That's right.\They'll be sacrificed for the sake of our eternal magic supply.\Screw that. response:	My friends are still alive.
context: And this wonderful magic will be gone pretty soon...\I don't even wanna think about it!\That's why you'll kill them?\You'll kill my friends and the Exceeds for your convenience?\That's right.\They'll be sacrificed for the sake of our eternal magic supply.\Screw that.\My friends are still alive. response:	And the Exceeds are still alive.
context: I don't even wanna think about it!\That's why you'll kill them?\You'll kill my friends and the Exceeds for your convenience?\That's right.\They'll be sacrificed for the sake of our eternal magic supply.\Screw that.\My friends are still alive.\And the Exceeds are still alive. response:	Something's more important than whether or not there's magic power...
context: That's why you'll kill them?\You'll kill my friends and the Exceeds for your convenience?\That's right.\They'll be sacrificed for the sake of our eternal magic supply.\Screw that.\My friends are still alive.\And the Exceeds are still alive.\Something's more important than whether or not there's magic power... response:	It's called living.
context: You'll kill my friends and the Exceeds for your convenience?\That's right.\They'll be sacrificed for the sake of our eternal magic supply.\Screw that.\My friends are still alive.\And the Exceeds are still alive.\Something's more important than whether or not there's magic power...\It's called living. response:	It's life!!!
context: That's right.\They'll be sacrificed for the sake of our eternal magic supply.\Screw that.\My friends are still alive.\And the Exceeds are still alive.\Something's more important than whether or not there's magic power...\It's called living.\It's life!!! response:	Natsu...
context: They'll be sacrificed for the sake of our eternal magic supply.\Screw that.\My friends are still alive.\And the Exceeds are still alive.\Something's more important than whether or not there's magic power...\It's called living.\It's life!!!\Natsu... response:	Natsu, get down!
context: Screw that.\My friends are still alive.\And the Exceeds are still alive.\Something's more important than whether or not there's magic power...\It's called living.\It's life!!!\Natsu...\Natsu, get down! response:	Gate of the Water Bearer, I open thee!
context: My friends are still alive.\And the Exceeds are still alive.\Something's more important than whether or not there's magic power...\It's called living.\It's life!!!\Natsu...\Natsu, get down!\Gate of the Water Bearer, I open thee! response:	Aquarius!
context: And the Exceeds are still alive.\Something's more important than whether or not there's magic power...\It's called living.\It's life!!!\Natsu...\Natsu, get down!\Gate of the Water Bearer, I open thee!\Aquarius! response:	Please!
context: Something's more important than whether or not there's magic power...\It's called living.\It's life!!!\Natsu...\Natsu, get down!\Gate of the Water Bearer, I open thee!\Aquarius!\Please! response:	I know already.
context: It's called living.\It's life!!!\Natsu...\Natsu, get down!\Gate of the Water Bearer, I open thee!\Aquarius!\Please!\I know already. response:	The water...
context: It's life!!!\Natsu...\Natsu, get down!\Gate of the Water Bearer, I open thee!\Aquarius!\Please!\I know already.\The water... response:	What's wrong, Aquarius?
context: Natsu...\Natsu, get down!\Gate of the Water Bearer, I open thee!\Aquarius!\Please!\I know already.\The water...\What's wrong, Aquarius? response:	I cannot control this water!
context: Natsu, get down!\Gate of the Water Bearer, I open thee!\Aquarius!\Please!\I know already.\The water...\What's wrong, Aquarius?\I cannot control this water! response:	I told you once already... Everything in this amusement park is my weapon!
context: Gate of the Water Bearer, I open thee!\Aquarius!\Please!\I know already.\The water...\What's wrong, Aquarius?\I cannot control this water!\I told you once already... Everything in this amusement park is my weapon! response:	Lucy, take cover!
context: Aquarius!\Please!\I know already.\The water...\What's wrong, Aquarius?\I cannot control this water!\I told you once already... Everything in this amusement park is my weapon!\Lucy, take cover! response:	Your Highness, all the preparations have been completed.
context: Please!\I know already.\The water...\What's wrong, Aquarius?\I cannot control this water!\I told you once already... Everything in this amusement park is my weapon!\Lucy, take cover!\Your Highness, all the preparations have been completed. response:	We have reached the final stage of Code ETD.
context: I know already.\The water...\What's wrong, Aquarius?\I cannot control this water!\I told you once already... Everything in this amusement park is my weapon!\Lucy, take cover!\Your Highness, all the preparations have been completed.\We have reached the final stage of Code ETD. response:	Farewell, God!
context: The water...\What's wrong, Aquarius?\I cannot control this water!\I told you once already... Everything in this amusement park is my weapon!\Lucy, take cover!\Your Highness, all the preparations have been completed.\We have reached the final stage of Code ETD.\Farewell, God! response:	The magic power we extracted from the Dragon Slayers
context: What's wrong, Aquarius?\I cannot control this water!\I told you once already... Everything in this amusement park is my weapon!\Lucy, take cover!\Your Highness, all the preparations have been completed.\We have reached the final stage of Code ETD.\Farewell, God!\The magic power we extracted from the Dragon Slayers response:	can be thought of as giant chains enabling you to move the floating islands at will.
context: I cannot control this water!\I told you once already... Everything in this amusement park is my weapon!\Lucy, take cover!\Your Highness, all the preparations have been completed.\We have reached the final stage of Code ETD.\Farewell, God!\The magic power we extracted from the Dragon Slayers\can be thought of as giant chains enabling you to move the floating islands at will. response:	Then, once the floating islands are under your control,
context: I told you once already... Everything in this amusement park is my weapon!\Lucy, take cover!\Your Highness, all the preparations have been completed.\We have reached the final stage of Code ETD.\Farewell, God!\The magic power we extracted from the Dragon Slayers\can be thought of as giant chains enabling you to move the floating islands at will.\Then, once the floating islands are under your control, response:	all you need to do is simply ram that lacrima into those damn cats' kingdom...
