context: Jellal Fernandez... response:	I hereby place you under arrest for the crime of high treason against the state.
context: You can release them from the runes now.\But...!\It's okay. I have no intention of resisting.\I never was able to remember you...\I am truly sorry, Wendy...\She tells me that long ago, she was saved by you.\I see.\I do not know how much suffering I must have caused all of you. response:	But to hear that I saved someone makes me glad.
context: But...!\It's okay. I have no intention of resisting.\I never was able to remember you...\I am truly sorry, Wendy...\She tells me that long ago, she was saved by you.\I see.\I do not know how much suffering I must have caused all of you.\But to hear that I saved someone makes me glad. response:	Erza.
context: It's okay. I have no intention of resisting.\I never was able to remember you...\I am truly sorry, Wendy...\She tells me that long ago, she was saved by you.\I see.\I do not know how much suffering I must have caused all of you.\But to hear that I saved someone makes me glad.\Erza. response:	Thank you for everything.
context: I never was able to remember you...\I am truly sorry, Wendy...\She tells me that long ago, she was saved by you.\I see.\I do not know how much suffering I must have caused all of you.\But to hear that I saved someone makes me glad.\Erza.\Thank you for everything. response:	I must stop him.
context: I am truly sorry, Wendy...\She tells me that long ago, she was saved by you.\I see.\I do not know how much suffering I must have caused all of you.\But to hear that I saved someone makes me glad.\Erza.\Thank you for everything.\I must stop him. response:	It's for me to stop him.
context: She tells me that long ago, she was saved by you.\I see.\I do not know how much suffering I must have caused all of you.\But to hear that I saved someone makes me glad.\Erza.\Thank you for everything.\I must stop him.\It's for me to stop him. response:	Jellal is going away...
context: I see.\I do not know how much suffering I must have caused all of you.\But to hear that I saved someone makes me glad.\Erza.\Thank you for everything.\I must stop him.\It's for me to stop him.\Jellal is going away... response:	Jellal, finally awakened from his long nightmare, is...
context: I do not know how much suffering I must have caused all of you.\But to hear that I saved someone makes me glad.\Erza.\Thank you for everything.\I must stop him.\It's for me to stop him.\Jellal is going away...\Jellal, finally awakened from his long nightmare, is... response:	How can I just let him be shut up in the darkness yet again?
context: But to hear that I saved someone makes me glad.\Erza.\Thank you for everything.\I must stop him.\It's for me to stop him.\Jellal is going away...\Jellal, finally awakened from his long nightmare, is...\How can I just let him be shut up in the darkness yet again? response:	Is there nothing left you wish to say?
context: Erza.\Thank you for everything.\I must stop him.\It's for me to stop him.\Jellal is going away...\Jellal, finally awakened from his long nightmare, is...\How can I just let him be shut up in the darkness yet again?\Is there nothing left you wish to say? response:	It's pretty much guaranteed you'll be executed or given life without parole.
context: Thank you for everything.\I must stop him.\It's for me to stop him.\Jellal is going away...\Jellal, finally awakened from his long nightmare, is...\How can I just let him be shut up in the darkness yet again?\Is there nothing left you wish to say?\It's pretty much guaranteed you'll be executed or given life without parole. response:	But that's...
context: I must stop him.\It's for me to stop him.\Jellal is going away...\Jellal, finally awakened from his long nightmare, is...\How can I just let him be shut up in the darkness yet again?\Is there nothing left you wish to say?\It's pretty much guaranteed you'll be executed or given life without parole.\But that's... response:	You'll never see another human face again.
context: It's for me to stop him.\Jellal is going away...\Jellal, finally awakened from his long nightmare, is...\How can I just let him be shut up in the darkness yet again?\Is there nothing left you wish to say?\It's pretty much guaranteed you'll be executed or given life without parole.\But that's...\You'll never see another human face again. response:	No...
context: Jellal is going away...\Jellal, finally awakened from his long nightmare, is...\How can I just let him be shut up in the darkness yet again?\Is there nothing left you wish to say?\It's pretty much guaranteed you'll be executed or given life without parole.\But that's...\You'll never see another human face again.\No... response:	I won't let you take him!
context: Jellal, finally awakened from his long nightmare, is...\How can I just let him be shut up in the darkness yet again?\Is there nothing left you wish to say?\It's pretty much guaranteed you'll be executed or given life without parole.\But that's...\You'll never see another human face again.\No...\I won't let you take him! response:	You ain't takin' him!
context: How can I just let him be shut up in the darkness yet again?\Is there nothing left you wish to say?\It's pretty much guaranteed you'll be executed or given life without parole.\But that's...\You'll never see another human face again.\No...\I won't let you take him!\You ain't takin' him! response:	Natsu!
context: Is there nothing left you wish to say?\It's pretty much guaranteed you'll be executed or given life without parole.\But that's...\You'll never see another human face again.\No...\I won't let you take him!\You ain't takin' him!\Natsu! response:	They're from the Council!
context: It's pretty much guaranteed you'll be executed or given life without parole.\But that's...\You'll never see another human face again.\No...\I won't let you take him!\You ain't takin' him!\Natsu!\They're from the Council! response:	Why, you...
context: But that's...\You'll never see another human face again.\No...\I won't let you take him!\You ain't takin' him!\Natsu!\They're from the Council!\Why, you... response:	Move it!
context: You'll never see another human face again.\No...\I won't let you take him!\You ain't takin' him!\Natsu!\They're from the Council!\Why, you...\Move it! response:	He's our ally!
context: No...\I won't let you take him!\You ain't takin' him!\Natsu!\They're from the Council!\Why, you...\Move it!\He's our ally! response:	We're takin' him back with us!
context: I won't let you take him!\You ain't takin' him!\Natsu!\They're from the Council!\Why, you...\Move it!\He's our ally!\We're takin' him back with us! response:	Natsu-san...
context: You ain't takin' him!\Natsu!\They're from the Council!\Why, you...\Move it!\He's our ally!\We're takin' him back with us!\Natsu-san... response:	L-Leave me be...
context: Natsu!\They're from the Council!\Why, you...\Move it!\He's our ally!\We're takin' him back with us!\Natsu-san...\L-Leave me be... response:	Restrain them!
context: They're from the Council!\Why, you...\Move it!\He's our ally!\We're takin' him back with us!\Natsu-san...\L-Leave me be...\Restrain them! response:	Go, Natsu!
context: Why, you...\Move it!\He's our ally!\We're takin' him back with us!\Natsu-san...\L-Leave me be...\Restrain them!\Go, Natsu! response:	Gray?
context: Move it!\He's our ally!\We're takin' him back with us!\Natsu-san...\L-Leave me be...\Restrain them!\Go, Natsu!\Gray? response:	There's no stopping Natsu now, after all!
context: He's our ally!\We're takin' him back with us!\Natsu-san...\L-Leave me be...\Restrain them!\Go, Natsu!\Gray?\There's no stopping Natsu now, after all! response:	It don't sit right!
context: We're takin' him back with us!\Natsu-san...\L-Leave me be...\Restrain them!\Go, Natsu!\Gray?\There's no stopping Natsu now, after all!\It don't sit right! response:	He helped defend you from Nirvana!
context: Natsu-san...\L-Leave me be...\Restrain them!\Go, Natsu!\Gray?\There's no stopping Natsu now, after all!\It don't sit right!\He helped defend you from Nirvana! response:	And you don't got even one word of thanks?!
context: L-Leave me be...\Restrain them!\Go, Natsu!\Gray?\There's no stopping Natsu now, after all!\It don't sit right!\He helped defend you from Nirvana!\And you don't got even one word of thanks?! response:	There is truth to that.
context: Restrain them!\Go, Natsu!\Gray?\There's no stopping Natsu now, after all!\It don't sit right!\He helped defend you from Nirvana!\And you don't got even one word of thanks?!\There is truth to that. response:	It is unjust to arrest a man like that!
context: Go, Natsu!\Gray?\There's no stopping Natsu now, after all!\It don't sit right!\He helped defend you from Nirvana!\And you don't got even one word of thanks?!\There is truth to that.\It is unjust to arrest a man like that! response:	It pains me to say it, but if that man is taken away, Erza-san will be saddened!
context: Gray?\There's no stopping Natsu now, after all!\It don't sit right!\He helped defend you from Nirvana!\And you don't got even one word of thanks?!\There is truth to that.\It is unjust to arrest a man like that!\It pains me to say it, but if that man is taken away, Erza-san will be saddened! response:	Don't blame me if anyone gets hurt!
context: There's no stopping Natsu now, after all!\It don't sit right!\He helped defend you from Nirvana!\And you don't got even one word of thanks?!\There is truth to that.\It is unjust to arrest a man like that!\It pains me to say it, but if that man is taken away, Erza-san will be saddened!\Don't blame me if anyone gets hurt! response:	Please! Don't take Jellal with you!
context: It don't sit right!\He helped defend you from Nirvana!\And you don't got even one word of thanks?!\There is truth to that.\It is unjust to arrest a man like that!\It pains me to say it, but if that man is taken away, Erza-san will be saddened!\Don't blame me if anyone gets hurt!\Please! Don't take Jellal with you! response:	Come here, Jellal!
context: He helped defend you from Nirvana!\And you don't got even one word of thanks?!\There is truth to that.\It is unjust to arrest a man like that!\It pains me to say it, but if that man is taken away, Erza-san will be saddened!\Don't blame me if anyone gets hurt!\Please! Don't take Jellal with you!\Come here, Jellal! response:	You can't leave Erza!
context: And you don't got even one word of thanks?!\There is truth to that.\It is unjust to arrest a man like that!\It pains me to say it, but if that man is taken away, Erza-san will be saddened!\Don't blame me if anyone gets hurt!\Please! Don't take Jellal with you!\Come here, Jellal!\You can't leave Erza! response:	You've got to stay by her side! For her!
context: There is truth to that.\It is unjust to arrest a man like that!\It pains me to say it, but if that man is taken away, Erza-san will be saddened!\Don't blame me if anyone gets hurt!\Please! Don't take Jellal with you!\Come here, Jellal!\You can't leave Erza!\You've got to stay by her side! For her! response:	So come here! We stand with you!
context: It is unjust to arrest a man like that!\It pains me to say it, but if that man is taken away, Erza-san will be saddened!\Don't blame me if anyone gets hurt!\Please! Don't take Jellal with you!\Come here, Jellal!\You can't leave Erza!\You've got to stay by her side! For her!\So come here! We stand with you! response:	We're allies, right?!
context: It pains me to say it, but if that man is taken away, Erza-san will be saddened!\Don't blame me if anyone gets hurt!\Please! Don't take Jellal with you!\Come here, Jellal!\You can't leave Erza!\You've got to stay by her side! For her!\So come here! We stand with you!\We're allies, right?! response:	Arrest them all!
context: Don't blame me if anyone gets hurt!\Please! Don't take Jellal with you!\Come here, Jellal!\You can't leave Erza!\You've got to stay by her side! For her!\So come here! We stand with you!\We're allies, right?!\Arrest them all! response:	For obstructing government officials and aiding in the escape of a criminal!
context: Please! Don't take Jellal with you!\Come here, Jellal!\You can't leave Erza!\You've got to stay by her side! For her!\So come here! We stand with you!\We're allies, right?!\Arrest them all!\For obstructing government officials and aiding in the escape of a criminal! response:	Enough!
context: Come here, Jellal!\You can't leave Erza!\You've got to stay by her side! For her!\So come here! We stand with you!\We're allies, right?!\Arrest them all!\For obstructing government officials and aiding in the escape of a criminal!\Enough! response:	That's far enough!
context: You can't leave Erza!\You've got to stay by her side! For her!\So come here! We stand with you!\We're allies, right?!\Arrest them all!\For obstructing government officials and aiding in the escape of a criminal!\Enough!\That's far enough! response:	I apologize for the fuss we've caused.
context: You've got to stay by her side! For her!\So come here! We stand with you!\We're allies, right?!\Arrest them all!\For obstructing government officials and aiding in the escape of a criminal!\Enough!\That's far enough!\I apologize for the fuss we've caused. response:	Jellal...
context: So come here! We stand with you!\We're allies, right?!\Arrest them all!\For obstructing government officials and aiding in the escape of a criminal!\Enough!\That's far enough!\I apologize for the fuss we've caused.\Jellal... response:	Take him.
context: We're allies, right?!\Arrest them all!\For obstructing government officials and aiding in the escape of a criminal!\Enough!\That's far enough!\I apologize for the fuss we've caused.\Jellal...\Take him. response:	Erza!
context: Arrest them all!\For obstructing government officials and aiding in the escape of a criminal!\Enough!\That's far enough!\I apologize for the fuss we've caused.\Jellal...\Take him.\Erza! response:	Sit down!
context: For obstructing government officials and aiding in the escape of a criminal!\Enough!\That's far enough!\I apologize for the fuss we've caused.\Jellal...\Take him.\Erza!\Sit down! response:	Yes, ma'am.
context: Enough!\That's far enough!\I apologize for the fuss we've caused.\Jellal...\Take him.\Erza!\Sit down!\Yes, ma'am. response:	Oh, right...
context: That's far enough!\I apologize for the fuss we've caused.\Jellal...\Take him.\Erza!\Sit down!\Yes, ma'am.\Oh, right... response:	It was the color of your hair.
context: I apologize for the fuss we've caused.\Jellal...\Take him.\Erza!\Sit down!\Yes, ma'am.\Oh, right...\It was the color of your hair. response:	Farewell, Erza.
context: Jellal...\Take him.\Erza!\Sit down!\Yes, ma'am.\Oh, right...\It was the color of your hair.\Farewell, Erza. response:	Where did Erza go?
context: Take him.\Erza!\Sit down!\Yes, ma'am.\Oh, right...\It was the color of your hair.\Farewell, Erza.\Where did Erza go? response:	Let's leave her alone for a little while.
context: Erza!\Sit down!\Yes, ma'am.\Oh, right...\It was the color of your hair.\Farewell, Erza.\Where did Erza go?\Let's leave her alone for a little while. response:	Aye...
context: Sit down!\Yes, ma'am.\Oh, right...\It was the color of your hair.\Farewell, Erza.\Where did Erza go?\Let's leave her alone for a little while.\Aye... response:	To hear that I saved someone makes me glad.
context: Yes, ma'am.\Oh, right...\It was the color of your hair.\Farewell, Erza.\Where did Erza go?\Let's leave her alone for a little while.\Aye...\To hear that I saved someone makes me glad. response:	Jellal Fernandez.
context: Oh, right...\It was the color of your hair.\Farewell, Erza.\Where did Erza go?\Let's leave her alone for a little while.\Aye...\To hear that I saved someone makes me glad.\Jellal Fernandez. response:	Whoa, that's hard to remember!
context: It was the color of your hair.\Farewell, Erza.\Where did Erza go?\Let's leave her alone for a little while.\Aye...\To hear that I saved someone makes me glad.\Jellal Fernandez.\Whoa, that's hard to remember! response:	That name's gonna tie my tongue in knots!
context: Farewell, Erza.\Where did Erza go?\Let's leave her alone for a little while.\Aye...\To hear that I saved someone makes me glad.\Jellal Fernandez.\Whoa, that's hard to remember!\That name's gonna tie my tongue in knots! response:	Your name, Wally Buchanan, seems hard to remember, too.
context: Where did Erza go?\Let's leave her alone for a little while.\Aye...\To hear that I saved someone makes me glad.\Jellal Fernandez.\Whoa, that's hard to remember!\That name's gonna tie my tongue in knots!\Your name, Wally Buchanan, seems hard to remember, too. response:	Erza, how about you?
context: Let's leave her alone for a little while.\Aye...\To hear that I saved someone makes me glad.\Jellal Fernandez.\Whoa, that's hard to remember!\That name's gonna tie my tongue in knots!\Your name, Wally Buchanan, seems hard to remember, too.\Erza, how about you? response:	I am Erza.
context: Aye...\To hear that I saved someone makes me glad.\Jellal Fernandez.\Whoa, that's hard to remember!\That name's gonna tie my tongue in knots!\Your name, Wally Buchanan, seems hard to remember, too.\Erza, how about you?\I am Erza. response:	Just plain Erza.
context: To hear that I saved someone makes me glad.\Jellal Fernandez.\Whoa, that's hard to remember!\That name's gonna tie my tongue in knots!\Your name, Wally Buchanan, seems hard to remember, too.\Erza, how about you?\I am Erza.\Just plain Erza. response:	That's kind of sad...
context: Jellal Fernandez.\Whoa, that's hard to remember!\That name's gonna tie my tongue in knots!\Your name, Wally Buchanan, seems hard to remember, too.\Erza, how about you?\I am Erza.\Just plain Erza.\That's kind of sad... response:	What?
context: Whoa, that's hard to remember!\That name's gonna tie my tongue in knots!\Your name, Wally Buchanan, seems hard to remember, too.\Erza, how about you?\I am Erza.\Just plain Erza.\That's kind of sad...\What? response:	It's a pretty scarlet.
context: That name's gonna tie my tongue in knots!\Your name, Wally Buchanan, seems hard to remember, too.\Erza, how about you?\I am Erza.\Just plain Erza.\That's kind of sad...\What?\It's a pretty scarlet. response:	Scarlet?
context: Your name, Wally Buchanan, seems hard to remember, too.\Erza, how about you?\I am Erza.\Just plain Erza.\That's kind of sad...\What?\It's a pretty scarlet.\Scarlet? response:	I know! Let's name you Erza Scarlet!
context: Erza, how about you?\I am Erza.\Just plain Erza.\That's kind of sad...\What?\It's a pretty scarlet.\Scarlet?\I know! Let's name you Erza Scarlet! response:	Name you? Don't just go naming other people...
context: I am Erza.\Just plain Erza.\That's kind of sad...\What?\It's a pretty scarlet.\Scarlet?\I know! Let's name you Erza Scarlet!\Name you? Don't just go naming other people... response:	Scarlet...
context: Just plain Erza.\That's kind of sad...\What?\It's a pretty scarlet.\Scarlet?\I know! Let's name you Erza Scarlet!\Name you? Don't just go naming other people...\Scarlet... response:	Erza Scarlet...
context: That's kind of sad...\What?\It's a pretty scarlet.\Scarlet?\I know! Let's name you Erza Scarlet!\Name you? Don't just go naming other people...\Scarlet...\Erza Scarlet... response:	Scarlet. The color of your hair.
context: What?\It's a pretty scarlet.\Scarlet?\I know! Let's name you Erza Scarlet!\Name you? Don't just go naming other people...\Scarlet...\Erza Scarlet...\Scarlet. The color of your hair. response:	That way, I'll never forget.
context: It's a pretty scarlet.\Scarlet?\I know! Let's name you Erza Scarlet!\Name you? Don't just go naming other people...\Scarlet...\Erza Scarlet...\Scarlet. The color of your hair.\That way, I'll never forget. response:	Jellal...
context: Scarlet?\I know! Let's name you Erza Scarlet!\Name you? Don't just go naming other people...\Scarlet...\Erza Scarlet...\Scarlet. The color of your hair.\That way, I'll never forget.\Jellal... response:	That morning's dawn
context: I know! Let's name you Erza Scarlet!\Name you? Don't just go naming other people...\Scarlet...\Erza Scarlet...\Scarlet. The color of your hair.\That way, I'll never forget.\Jellal...\That morning's dawn response:	was painted a beautiful scarlet,
context: Name you? Don't just go naming other people...\Scarlet...\Erza Scarlet...\Scarlet. The color of your hair.\That way, I'll never forget.\Jellal...\That morning's dawn\was painted a beautiful scarlet, response:	the likes of which I had never seen before.
context: Scarlet...\Erza Scarlet...\Scarlet. The color of your hair.\That way, I'll never forget.\Jellal...\That morning's dawn\was painted a beautiful scarlet,\the likes of which I had never seen before. response:	Like the color of Erza's hair,
context: Erza Scarlet...\Scarlet. The color of your hair.\That way, I'll never forget.\Jellal...\That morning's dawn\was painted a beautiful scarlet,\the likes of which I had never seen before.\Like the color of Erza's hair, response:	it was warm, and passionate...
context: Scarlet. The color of your hair.\That way, I'll never forget.\Jellal...\That morning's dawn\was painted a beautiful scarlet,\the likes of which I had never seen before.\Like the color of Erza's hair,\it was warm, and passionate... response:	If she could only lift her face, a beautiful sky would be spread out before her...
context: That way, I'll never forget.\Jellal...\That morning's dawn\was painted a beautiful scarlet,\the likes of which I had never seen before.\Like the color of Erza's hair,\it was warm, and passionate...\If she could only lift her face, a beautiful sky would be spread out before her... response:	If she could only lift her face...
context: Jellal...\That morning's dawn\was painted a beautiful scarlet,\the likes of which I had never seen before.\Like the color of Erza's hair,\it was warm, and passionate...\If she could only lift her face, a beautiful sky would be spread out before her...\If she could only lift her face... response:	So cute!
context: That morning's dawn\was painted a beautiful scarlet,\the likes of which I had never seen before.\Like the color of Erza's hair,\it was warm, and passionate...\If she could only lift her face, a beautiful sky would be spread out before her...\If she could only lift her face...\So cute! response:	Oh? I'm far cuter.
context: was painted a beautiful scarlet,\the likes of which I had never seen before.\Like the color of Erza's hair,\it was warm, and passionate...\If she could only lift her face, a beautiful sky would be spread out before her...\If she could only lift her face...\So cute!\Oh? I'm far cuter. response:	The entire village here is part of the guild,
context: the likes of which I had never seen before.\Like the color of Erza's hair,\it was warm, and passionate...\If she could only lift her face, a beautiful sky would be spread out before her...\If she could only lift her face...\So cute!\Oh? I'm far cuter.\The entire village here is part of the guild, response:	so clothing production is a thriving business!
context: Like the color of Erza's hair,\it was warm, and passionate...\If she could only lift her face, a beautiful sky would be spread out before her...\If she could only lift her face...\So cute!\Oh? I'm far cuter.\The entire village here is part of the guild,\so clothing production is a thriving business! response:	Is it some kind of Nirvit traditional sewing?
context: it was warm, and passionate...\If she could only lift her face, a beautiful sky would be spread out before her...\If she could only lift her face...\So cute!\Oh? I'm far cuter.\The entire village here is part of the guild,\so clothing production is a thriving business!\Is it some kind of Nirvit traditional sewing? response:	Now that I think about it... Maybe it is?
context: If she could only lift her face, a beautiful sky would be spread out before her...\If she could only lift her face...\So cute!\Oh? I'm far cuter.\The entire village here is part of the guild,\so clothing production is a thriving business!\Is it some kind of Nirvit traditional sewing?\Now that I think about it... Maybe it is? response:	You didn't realize that the guild was all descendants of the Nirvit, did you?
context: If she could only lift her face...\So cute!\Oh? I'm far cuter.\The entire village here is part of the guild,\so clothing production is a thriving business!\Is it some kind of Nirvit traditional sewing?\Now that I think about it... Maybe it is?\You didn't realize that the guild was all descendants of the Nirvit, did you? response:	Well, I'm the only one who joined afterwards.
context: So cute!\Oh? I'm far cuter.\The entire village here is part of the guild,\so clothing production is a thriving business!\Is it some kind of Nirvit traditional sewing?\Now that I think about it... Maybe it is?\You didn't realize that the guild was all descendants of the Nirvit, did you?\Well, I'm the only one who joined afterwards. response:	Erza, won't you try them on? They're really cute!
context: Oh? I'm far cuter.\The entire village here is part of the guild,\so clothing production is a thriving business!\Is it some kind of Nirvit traditional sewing?\Now that I think about it... Maybe it is?\You didn't realize that the guild was all descendants of the Nirvit, did you?\Well, I'm the only one who joined afterwards.\Erza, won't you try them on? They're really cute! response:	Sure... You're right.
context: The entire village here is part of the guild,\so clothing production is a thriving business!\Is it some kind of Nirvit traditional sewing?\Now that I think about it... Maybe it is?\You didn't realize that the guild was all descendants of the Nirvit, did you?\Well, I'm the only one who joined afterwards.\Erza, won't you try them on? They're really cute!\Sure... You're right. response:	Speaking of which, Wendy... When did Caitshelter join the League of Guilds?
context: so clothing production is a thriving business!\Is it some kind of Nirvit traditional sewing?\Now that I think about it... Maybe it is?\You didn't realize that the guild was all descendants of the Nirvit, did you?\Well, I'm the only one who joined afterwards.\Erza, won't you try them on? They're really cute!\Sure... You're right.\Speaking of which, Wendy... When did Caitshelter join the League of Guilds? response:	I apologize for being blunt, but until this mission began,
context: Is it some kind of Nirvit traditional sewing?\Now that I think about it... Maybe it is?\You didn't realize that the guild was all descendants of the Nirvit, did you?\Well, I'm the only one who joined afterwards.\Erza, won't you try them on? They're really cute!\Sure... You're right.\Speaking of which, Wendy... When did Caitshelter join the League of Guilds?\I apologize for being blunt, but until this mission began, response:	I had not even heard your guild's name.
context: Now that I think about it... Maybe it is?\You didn't realize that the guild was all descendants of the Nirvit, did you?\Well, I'm the only one who joined afterwards.\Erza, won't you try them on? They're really cute!\Sure... You're right.\Speaking of which, Wendy... When did Caitshelter join the League of Guilds?\I apologize for being blunt, but until this mission began,\I had not even heard your guild's name. response:	Now that you mention it, neither had I.
context: You didn't realize that the guild was all descendants of the Nirvit, did you?\Well, I'm the only one who joined afterwards.\Erza, won't you try them on? They're really cute!\Sure... You're right.\Speaking of which, Wendy... When did Caitshelter join the League of Guilds?\I apologize for being blunt, but until this mission began,\I had not even heard your guild's name.\Now that you mention it, neither had I. response:	Is that so?
context: Well, I'm the only one who joined afterwards.\Erza, won't you try them on? They're really cute!\Sure... You're right.\Speaking of which, Wendy... When did Caitshelter join the League of Guilds?\I apologize for being blunt, but until this mission began,\I had not even heard your guild's name.\Now that you mention it, neither had I.\Is that so? response:	My guild must really be one of the more obscure ones...
context: Erza, won't you try them on? They're really cute!\Sure... You're right.\Speaking of which, Wendy... When did Caitshelter join the League of Guilds?\I apologize for being blunt, but until this mission began,\I had not even heard your guild's name.\Now that you mention it, neither had I.\Is that so?\My guild must really be one of the more obscure ones... response:	Who cares? Everyone is waiting...
context: Sure... You're right.\Speaking of which, Wendy... When did Caitshelter join the League of Guilds?\I apologize for being blunt, but until this mission began,\I had not even heard your guild's name.\Now that you mention it, neither had I.\Is that so?\My guild must really be one of the more obscure ones...\Who cares? Everyone is waiting... response:	Fairy Tail...
context: Speaking of which, Wendy... When did Caitshelter join the League of Guilds?\I apologize for being blunt, but until this mission began,\I had not even heard your guild's name.\Now that you mention it, neither had I.\Is that so?\My guild must really be one of the more obscure ones...\Who cares? Everyone is waiting...\Fairy Tail... response:	Blue Pegasus...
context: I apologize for being blunt, but until this mission began,\I had not even heard your guild's name.\Now that you mention it, neither had I.\Is that so?\My guild must really be one of the more obscure ones...\Who cares? Everyone is waiting...\Fairy Tail...\Blue Pegasus... response:	Lamia Scale...
context: I had not even heard your guild's name.\Now that you mention it, neither had I.\Is that so?\My guild must really be one of the more obscure ones...\Who cares? Everyone is waiting...\Fairy Tail...\Blue Pegasus...\Lamia Scale... response:	Also, Wendy and Carla.
context: Now that you mention it, neither had I.\Is that so?\My guild must really be one of the more obscure ones...\Who cares? Everyone is waiting...\Fairy Tail...\Blue Pegasus...\Lamia Scale...\Also, Wendy and Carla. response:	You have done well in defeating Oracion Seis and stopping Nirvana.
context: Is that so?\My guild must really be one of the more obscure ones...\Who cares? Everyone is waiting...\Fairy Tail...\Blue Pegasus...\Lamia Scale...\Also, Wendy and Carla.\You have done well in defeating Oracion Seis and stopping Nirvana. response:	As a representative for the local League of Guilds,
context: My guild must really be one of the more obscure ones...\Who cares? Everyone is waiting...\Fairy Tail...\Blue Pegasus...\Lamia Scale...\Also, Wendy and Carla.\You have done well in defeating Oracion Seis and stopping Nirvana.\As a representative for the local League of Guilds, response:	I, Robaul, say job well done.
context: Who cares? Everyone is waiting...\Fairy Tail...\Blue Pegasus...\Lamia Scale...\Also, Wendy and Carla.\You have done well in defeating Oracion Seis and stopping Nirvana.\As a representative for the local League of Guilds,\I, Robaul, say job well done. response:	Thank you.
context: Fairy Tail...\Blue Pegasus...\Lamia Scale...\Also, Wendy and Carla.\You have done well in defeating Oracion Seis and stopping Nirvana.\As a representative for the local League of Guilds,\I, Robaul, say job well done.\Thank you. response:	Nabula!
context: Blue Pegasus...\Lamia Scale...\Also, Wendy and Carla.\You have done well in defeating Oracion Seis and stopping Nirvana.\As a representative for the local League of Guilds,\I, Robaul, say job well done.\Thank you.\Nabula! response:	Thank you!
context: Lamia Scale...\Also, Wendy and Carla.\You have done well in defeating Oracion Seis and stopping Nirvana.\As a representative for the local League of Guilds,\I, Robaul, say job well done.\Thank you.\Nabula!\Thank you! response:	It was our pleasure, Master Robaul!
context: Also, Wendy and Carla.\You have done well in defeating Oracion Seis and stopping Nirvana.\As a representative for the local League of Guilds,\I, Robaul, say job well done.\Thank you.\Nabula!\Thank you!\It was our pleasure, Master Robaul! response:	The fight with Oracion Seis was one fierce battle after the next!
context: You have done well in defeating Oracion Seis and stopping Nirvana.\As a representative for the local League of Guilds,\I, Robaul, say job well done.\Thank you.\Nabula!\Thank you!\It was our pleasure, Master Robaul!\The fight with Oracion Seis was one fierce battle after the next! response:	There was not a single easy battle!
context: As a representative for the local League of Guilds,\I, Robaul, say job well done.\Thank you.\Nabula!\Thank you!\It was our pleasure, Master Robaul!\The fight with Oracion Seis was one fierce battle after the next!\There was not a single easy battle! response:	But the bonds between us allies
