context: Dragon Slayer's Secret Art! response:	Has she already mastered them both?!
context: Sorry! Wait a second!\I'm just getting started!\You're impressive, Wendy.\Are you okay? Want to give up?\Aye, sir! The Grand Magic Games are really picking up steam!\Natsu's Fairy Tail Team A\was in eighth place for the qualifier, barely making it to the real games,\and then they got creamed the first day. response:	But even so, through Natsu's good showing,
context: I'm just getting started!\You're impressive, Wendy.\Are you okay? Want to give up?\Aye, sir! The Grand Magic Games are really picking up steam!\Natsu's Fairy Tail Team A\was in eighth place for the qualifier, barely making it to the real games,\and then they got creamed the first day.\But even so, through Natsu's good showing, response:	their points rose little by little!
context: You're impressive, Wendy.\Are you okay? Want to give up?\Aye, sir! The Grand Magic Games are really picking up steam!\Natsu's Fairy Tail Team A\was in eighth place for the qualifier, barely making it to the real games,\and then they got creamed the first day.\But even so, through Natsu's good showing,\their points rose little by little! response:	But with Raven Tail's pesky obstructions...
context: Are you okay? Want to give up?\Aye, sir! The Grand Magic Games are really picking up steam!\Natsu's Fairy Tail Team A\was in eighth place for the qualifier, barely making it to the real games,\and then they got creamed the first day.\But even so, through Natsu's good showing,\their points rose little by little!\But with Raven Tail's pesky obstructions... response:	And we can't forget Sabertooth.
context: Aye, sir! The Grand Magic Games are really picking up steam!\Natsu's Fairy Tail Team A\was in eighth place for the qualifier, barely making it to the real games,\and then they got creamed the first day.\But even so, through Natsu's good showing,\their points rose little by little!\But with Raven Tail's pesky obstructions...\And we can't forget Sabertooth. response:	Currently, they're known as the strongest guild in Fiore.
context: Natsu's Fairy Tail Team A\was in eighth place for the qualifier, barely making it to the real games,\and then they got creamed the first day.\But even so, through Natsu's good showing,\their points rose little by little!\But with Raven Tail's pesky obstructions...\And we can't forget Sabertooth.\Currently, they're known as the strongest guild in Fiore. response:	They've got two Dragon Slayers in their ranks, Sting and Rogue.
context: was in eighth place for the qualifier, barely making it to the real games,\and then they got creamed the first day.\But even so, through Natsu's good showing,\their points rose little by little!\But with Raven Tail's pesky obstructions...\And we can't forget Sabertooth.\Currently, they're known as the strongest guild in Fiore.\They've got two Dragon Slayers in their ranks, Sting and Rogue. response:	Their abilities are top-notch.
context: and then they got creamed the first day.\But even so, through Natsu's good showing,\their points rose little by little!\But with Raven Tail's pesky obstructions...\And we can't forget Sabertooth.\Currently, they're known as the strongest guild in Fiore.\They've got two Dragon Slayers in their ranks, Sting and Rogue.\Their abilities are top-notch. response:	A lot happened with Yukino, a Celestial Spirit Wizard,
context: But even so, through Natsu's good showing,\their points rose little by little!\But with Raven Tail's pesky obstructions...\And we can't forget Sabertooth.\Currently, they're known as the strongest guild in Fiore.\They've got two Dragon Slayers in their ranks, Sting and Rogue.\Their abilities are top-notch.\A lot happened with Yukino, a Celestial Spirit Wizard, response:	but they're formidable enemies.
context: their points rose little by little!\But with Raven Tail's pesky obstructions...\And we can't forget Sabertooth.\Currently, they're known as the strongest guild in Fiore.\They've got two Dragon Slayers in their ranks, Sting and Rogue.\Their abilities are top-notch.\A lot happened with Yukino, a Celestial Spirit Wizard,\but they're formidable enemies. response:	Speaking of a lot happened, Raven Tail's Alexei
context: But with Raven Tail's pesky obstructions...\And we can't forget Sabertooth.\Currently, they're known as the strongest guild in Fiore.\They've got two Dragon Slayers in their ranks, Sting and Rogue.\Their abilities are top-notch.\A lot happened with Yukino, a Celestial Spirit Wizard,\but they're formidable enemies.\Speaking of a lot happened, Raven Tail's Alexei response:	was revealed to be guild master Ivan!
context: And we can't forget Sabertooth.\Currently, they're known as the strongest guild in Fiore.\They've got two Dragon Slayers in their ranks, Sting and Rogue.\Their abilities are top-notch.\A lot happened with Yukino, a Celestial Spirit Wizard,\but they're formidable enemies.\Speaking of a lot happened, Raven Tail's Alexei\was revealed to be guild master Ivan! response:	Ivan is our master Makarov's son.
context: Currently, they're known as the strongest guild in Fiore.\They've got two Dragon Slayers in their ranks, Sting and Rogue.\Their abilities are top-notch.\A lot happened with Yukino, a Celestial Spirit Wizard,\but they're formidable enemies.\Speaking of a lot happened, Raven Tail's Alexei\was revealed to be guild master Ivan!\Ivan is our master Makarov's son. response:	In other words, he's Laxus's son.
context: They've got two Dragon Slayers in their ranks, Sting and Rogue.\Their abilities are top-notch.\A lot happened with Yukino, a Celestial Spirit Wizard,\but they're formidable enemies.\Speaking of a lot happened, Raven Tail's Alexei\was revealed to be guild master Ivan!\Ivan is our master Makarov's son.\In other words, he's Laxus's son. response:	And Gajeel had been working as a double agent in order to investigate Raven Tail.
context: Their abilities are top-notch.\A lot happened with Yukino, a Celestial Spirit Wizard,\but they're formidable enemies.\Speaking of a lot happened, Raven Tail's Alexei\was revealed to be guild master Ivan!\Ivan is our master Makarov's son.\In other words, he's Laxus's son.\And Gajeel had been working as a double agent in order to investigate Raven Tail. response:	At last, the showdown between father and son guilds was over.
context: A lot happened with Yukino, a Celestial Spirit Wizard,\but they're formidable enemies.\Speaking of a lot happened, Raven Tail's Alexei\was revealed to be guild master Ivan!\Ivan is our master Makarov's son.\In other words, he's Laxus's son.\And Gajeel had been working as a double agent in order to investigate Raven Tail.\At last, the showdown between father and son guilds was over. response:	Continuing with the battle part, Wendy was up next
context: but they're formidable enemies.\Speaking of a lot happened, Raven Tail's Alexei\was revealed to be guild master Ivan!\Ivan is our master Makarov's son.\In other words, he's Laxus's son.\And Gajeel had been working as a double agent in order to investigate Raven Tail.\At last, the showdown between father and son guilds was over.\Continuing with the battle part, Wendy was up next response:	against Cheria from Lamia Scale!
context: Speaking of a lot happened, Raven Tail's Alexei\was revealed to be guild master Ivan!\Ivan is our master Makarov's son.\In other words, he's Laxus's son.\And Gajeel had been working as a double agent in order to investigate Raven Tail.\At last, the showdown between father and son guilds was over.\Continuing with the battle part, Wendy was up next\against Cheria from Lamia Scale! response:	She's Sherry's cousin!
context: was revealed to be guild master Ivan!\Ivan is our master Makarov's son.\In other words, he's Laxus's son.\And Gajeel had been working as a double agent in order to investigate Raven Tail.\At last, the showdown between father and son guilds was over.\Continuing with the battle part, Wendy was up next\against Cheria from Lamia Scale!\She's Sherry's cousin! response:	I hear Lamia Scale and Blue Pegasus once allied with Fairy Tail to battle Oracion Seis?
context: Ivan is our master Makarov's son.\In other words, he's Laxus's son.\And Gajeel had been working as a double agent in order to investigate Raven Tail.\At last, the showdown between father and son guilds was over.\Continuing with the battle part, Wendy was up next\against Cheria from Lamia Scale!\She's Sherry's cousin!\I hear Lamia Scale and Blue Pegasus once allied with Fairy Tail to battle Oracion Seis? response:	That's right!
context: In other words, he's Laxus's son.\And Gajeel had been working as a double agent in order to investigate Raven Tail.\At last, the showdown between father and son guilds was over.\Continuing with the battle part, Wendy was up next\against Cheria from Lamia Scale!\She's Sherry's cousin!\I hear Lamia Scale and Blue Pegasus once allied with Fairy Tail to battle Oracion Seis?\That's right! response:	A magical celebration with a mix of old faces and new guilds,
context: And Gajeel had been working as a double agent in order to investigate Raven Tail.\At last, the showdown between father and son guilds was over.\Continuing with the battle part, Wendy was up next\against Cheria from Lamia Scale!\She's Sherry's cousin!\I hear Lamia Scale and Blue Pegasus once allied with Fairy Tail to battle Oracion Seis?\That's right!\A magical celebration with a mix of old faces and new guilds, response:	that's the Grand Magic Games!
context: At last, the showdown between father and son guilds was over.\Continuing with the battle part, Wendy was up next\against Cheria from Lamia Scale!\She's Sherry's cousin!\I hear Lamia Scale and Blue Pegasus once allied with Fairy Tail to battle Oracion Seis?\That's right!\A magical celebration with a mix of old faces and new guilds,\that's the Grand Magic Games! response:	Alright, everyone! Thank you for your patience!
context: Continuing with the battle part, Wendy was up next\against Cheria from Lamia Scale!\She's Sherry's cousin!\I hear Lamia Scale and Blue Pegasus once allied with Fairy Tail to battle Oracion Seis?\That's right!\A magical celebration with a mix of old faces and new guilds,\that's the Grand Magic Games!\Alright, everyone! Thank you for your patience! response:	Let's continue with the Wendy vs. Cheria battle!
context: against Cheria from Lamia Scale!\She's Sherry's cousin!\I hear Lamia Scale and Blue Pegasus once allied with Fairy Tail to battle Oracion Seis?\That's right!\A magical celebration with a mix of old faces and new guilds,\that's the Grand Magic Games!\Alright, everyone! Thank you for your patience!\Let's continue with the Wendy vs. Cheria battle! response:	Hooray! Hooray! Fairy Tail!
context: She's Sherry's cousin!\I hear Lamia Scale and Blue Pegasus once allied with Fairy Tail to battle Oracion Seis?\That's right!\A magical celebration with a mix of old faces and new guilds,\that's the Grand Magic Games!\Alright, everyone! Thank you for your patience!\Let's continue with the Wendy vs. Cheria battle!\Hooray! Hooray! Fairy Tail! response:	I guess you're not going to give up?
context: I hear Lamia Scale and Blue Pegasus once allied with Fairy Tail to battle Oracion Seis?\That's right!\A magical celebration with a mix of old faces and new guilds,\that's the Grand Magic Games!\Alright, everyone! Thank you for your patience!\Let's continue with the Wendy vs. Cheria battle!\Hooray! Hooray! Fairy Tail!\I guess you're not going to give up? response:	Wendy!
context: That's right!\A magical celebration with a mix of old faces and new guilds,\that's the Grand Magic Games!\Alright, everyone! Thank you for your patience!\Let's continue with the Wendy vs. Cheria battle!\Hooray! Hooray! Fairy Tail!\I guess you're not going to give up?\Wendy! response:	She can barely stand!
context: A magical celebration with a mix of old faces and new guilds,\that's the Grand Magic Games!\Alright, everyone! Thank you for your patience!\Let's continue with the Wendy vs. Cheria battle!\Hooray! Hooray! Fairy Tail!\I guess you're not going to give up?\Wendy!\She can barely stand! response:	Wendy...
context: that's the Grand Magic Games!\Alright, everyone! Thank you for your patience!\Let's continue with the Wendy vs. Cheria battle!\Hooray! Hooray! Fairy Tail!\I guess you're not going to give up?\Wendy!\She can barely stand!\Wendy... response:	This is an incredible fight...
context: Alright, everyone! Thank you for your patience!\Let's continue with the Wendy vs. Cheria battle!\Hooray! Hooray! Fairy Tail!\I guess you're not going to give up?\Wendy!\She can barely stand!\Wendy...\This is an incredible fight... response:	Small Fist!
context: Let's continue with the Wendy vs. Cheria battle!\Hooray! Hooray! Fairy Tail!\I guess you're not going to give up?\Wendy!\She can barely stand!\Wendy...\This is an incredible fight...\Small Fist! response:	If that Cheria girl
context: Hooray! Hooray! Fairy Tail!\I guess you're not going to give up?\Wendy!\She can barely stand!\Wendy...\This is an incredible fight...\Small Fist!\If that Cheria girl response:	has some connection to Zeref...
context: I guess you're not going to give up?\Wendy!\She can barely stand!\Wendy...\This is an incredible fight...\Small Fist!\If that Cheria girl\has some connection to Zeref... response:	Hey, you!
context: Wendy!\She can barely stand!\Wendy...\This is an incredible fight...\Small Fist!\If that Cheria girl\has some connection to Zeref...\Hey, you! response:	Huh? This guy...
context: She can barely stand!\Wendy...\This is an incredible fight...\Small Fist!\If that Cheria girl\has some connection to Zeref...\Hey, you!\Huh? This guy... response:	From Fairy Tail...?
context: Wendy...\This is an incredible fight...\Small Fist!\If that Cheria girl\has some connection to Zeref...\Hey, you!\Huh? This guy...\From Fairy Tail...? response:	Should I stop this? Or wait and see?
context: This is an incredible fight...\Small Fist!\If that Cheria girl\has some connection to Zeref...\Hey, you!\Huh? This guy...\From Fairy Tail...?\Should I stop this? Or wait and see? response:	Wendy...
context: Small Fist!\If that Cheria girl\has some connection to Zeref...\Hey, you!\Huh? This guy...\From Fairy Tail...?\Should I stop this? Or wait and see?\Wendy... response:	But right now...
context: If that Cheria girl\has some connection to Zeref...\Hey, you!\Huh? This guy...\From Fairy Tail...?\Should I stop this? Or wait and see?\Wendy...\But right now... response:	Seven years ago, I infiltrated Fairy Tail.
context: has some connection to Zeref...\Hey, you!\Huh? This guy...\From Fairy Tail...?\Should I stop this? Or wait and see?\Wendy...\But right now...\Seven years ago, I infiltrated Fairy Tail. response:	To some extent, I'm acquainted with inside information on Fairy Tail.
context: Hey, you!\Huh? This guy...\From Fairy Tail...?\Should I stop this? Or wait and see?\Wendy...\But right now...\Seven years ago, I infiltrated Fairy Tail.\To some extent, I'm acquainted with inside information on Fairy Tail. response:	Mystogan...
context: Huh? This guy...\From Fairy Tail...?\Should I stop this? Or wait and see?\Wendy...\But right now...\Seven years ago, I infiltrated Fairy Tail.\To some extent, I'm acquainted with inside information on Fairy Tail.\Mystogan... response:	You're not supposed to exist in this world.
context: From Fairy Tail...?\Should I stop this? Or wait and see?\Wendy...\But right now...\Seven years ago, I infiltrated Fairy Tail.\To some extent, I'm acquainted with inside information on Fairy Tail.\Mystogan...\You're not supposed to exist in this world. response:	I don't mind fighting,
context: Should I stop this? Or wait and see?\Wendy...\But right now...\Seven years ago, I infiltrated Fairy Tail.\To some extent, I'm acquainted with inside information on Fairy Tail.\Mystogan...\You're not supposed to exist in this world.\I don't mind fighting, response:	but I've got no love for one-sided violence where the outcome is clear.
context: Wendy...\But right now...\Seven years ago, I infiltrated Fairy Tail.\To some extent, I'm acquainted with inside information on Fairy Tail.\Mystogan...\You're not supposed to exist in this world.\I don't mind fighting,\but I've got no love for one-sided violence where the outcome is clear. response:	The Council... At a time like this...
context: But right now...\Seven years ago, I infiltrated Fairy Tail.\To some extent, I'm acquainted with inside information on Fairy Tail.\Mystogan...\You're not supposed to exist in this world.\I don't mind fighting,\but I've got no love for one-sided violence where the outcome is clear.\The Council... At a time like this... response:	You know, you can always surrender.
context: Seven years ago, I infiltrated Fairy Tail.\To some extent, I'm acquainted with inside information on Fairy Tail.\Mystogan...\You're not supposed to exist in this world.\I don't mind fighting,\but I've got no love for one-sided violence where the outcome is clear.\The Council... At a time like this...\You know, you can always surrender. response:	I can't!
context: To some extent, I'm acquainted with inside information on Fairy Tail.\Mystogan...\You're not supposed to exist in this world.\I don't mind fighting,\but I've got no love for one-sided violence where the outcome is clear.\The Council... At a time like this...\You know, you can always surrender.\I can't! response:	The fact that I'm standing here
context: Mystogan...\You're not supposed to exist in this world.\I don't mind fighting,\but I've got no love for one-sided violence where the outcome is clear.\The Council... At a time like this...\You know, you can always surrender.\I can't!\The fact that I'm standing here response:	means that I'm prepared to fight for my guild!
context: You're not supposed to exist in this world.\I don't mind fighting,\but I've got no love for one-sided violence where the outcome is clear.\The Council... At a time like this...\You know, you can always surrender.\I can't!\The fact that I'm standing here\means that I'm prepared to fight for my guild! response:	I don't need your pity.
context: I don't mind fighting,\but I've got no love for one-sided violence where the outcome is clear.\The Council... At a time like this...\You know, you can always surrender.\I can't!\The fact that I'm standing here\means that I'm prepared to fight for my guild!\I don't need your pity. response:	Until I fall and can't move anymore,
context: but I've got no love for one-sided violence where the outcome is clear.\The Council... At a time like this...\You know, you can always surrender.\I can't!\The fact that I'm standing here\means that I'm prepared to fight for my guild!\I don't need your pity.\Until I fall and can't move anymore, response:	come at me with everything you've got!
context: The Council... At a time like this...\You know, you can always surrender.\I can't!\The fact that I'm standing here\means that I'm prepared to fight for my guild!\I don't need your pity.\Until I fall and can't move anymore,\come at me with everything you've got! response:	Please!
context: You know, you can always surrender.\I can't!\The fact that I'm standing here\means that I'm prepared to fight for my guild!\I don't need your pity.\Until I fall and can't move anymore,\come at me with everything you've got!\Please! response:	Wendy...
context: I can't!\The fact that I'm standing here\means that I'm prepared to fight for my guild!\I don't need your pity.\Until I fall and can't move anymore,\come at me with everything you've got!\Please!\Wendy... response:	Sure.
context: The fact that I'm standing here\means that I'm prepared to fight for my guild!\I don't need your pity.\Until I fall and can't move anymore,\come at me with everything you've got!\Please!\Wendy...\Sure. response:	That's only common courtesy.
context: means that I'm prepared to fight for my guild!\I don't need your pity.\Until I fall and can't move anymore,\come at me with everything you've got!\Please!\Wendy...\Sure.\That's only common courtesy. response:	Right!
context: I don't need your pity.\Until I fall and can't move anymore,\come at me with everything you've got!\Please!\Wendy...\Sure.\That's only common courtesy.\Right! response:	Well, now it's my turn to break out a big move!
context: Until I fall and can't move anymore,\come at me with everything you've got!\Please!\Wendy...\Sure.\That's only common courtesy.\Right!\Well, now it's my turn to break out a big move! response:	I'll make it easy on you and end this with one strike.
context: come at me with everything you've got!\Please!\Wendy...\Sure.\That's only common courtesy.\Right!\Well, now it's my turn to break out a big move!\I'll make it easy on you and end this with one strike. response:	God Slayer's Secret Art!
context: Please!\Wendy...\Sure.\That's only common courtesy.\Right!\Well, now it's my turn to break out a big move!\I'll make it easy on you and end this with one strike.\God Slayer's Secret Art! response:	Cheria, no!
context: Wendy...\Sure.\That's only common courtesy.\Right!\Well, now it's my turn to break out a big move!\I'll make it easy on you and end this with one strike.\God Slayer's Secret Art!\Cheria, no! response:	Not that!
context: Sure.\That's only common courtesy.\Right!\Well, now it's my turn to break out a big move!\I'll make it easy on you and end this with one strike.\God Slayer's Secret Art!\Cheria, no!\Not that! response:	Fool! Do you mean to kill your opponent?!
context: That's only common courtesy.\Right!\Well, now it's my turn to break out a big move!\I'll make it easy on you and end this with one strike.\God Slayer's Secret Art!\Cheria, no!\Not that!\Fool! Do you mean to kill your opponent?! response:	I'm answering the full strength of your feelings with my full strength!
context: Right!\Well, now it's my turn to break out a big move!\I'll make it easy on you and end this with one strike.\God Slayer's Secret Art!\Cheria, no!\Not that!\Fool! Do you mean to kill your opponent?!\I'm answering the full strength of your feelings with my full strength! response:	That's what love is!
context: Well, now it's my turn to break out a big move!\I'll make it easy on you and end this with one strike.\God Slayer's Secret Art!\Cheria, no!\Not that!\Fool! Do you mean to kill your opponent?!\I'm answering the full strength of your feelings with my full strength!\That's what love is! response:	W-What is that magic?!
context: I'll make it easy on you and end this with one strike.\God Slayer's Secret Art!\Cheria, no!\Not that!\Fool! Do you mean to kill your opponent?!\I'm answering the full strength of your feelings with my full strength!\That's what love is!\W-What is that magic?! response:	That's...
context: God Slayer's Secret Art!\Cheria, no!\Not that!\Fool! Do you mean to kill your opponent?!\I'm answering the full strength of your feelings with my full strength!\That's what love is!\W-What is that magic?!\That's... response:	Heaven's Gathering Clouds!
context: Cheria, no!\Not that!\Fool! Do you mean to kill your opponent?!\I'm answering the full strength of your feelings with my full strength!\That's what love is!\W-What is that magic?!\That's...\Heaven's Gathering Clouds! response:	She dodged it!
context: Not that!\Fool! Do you mean to kill your opponent?!\I'm answering the full strength of your feelings with my full strength!\That's what love is!\W-What is that magic?!\That's...\Heaven's Gathering Clouds!\She dodged it! response:	No... It missed her!
context: Fool! Do you mean to kill your opponent?!\I'm answering the full strength of your feelings with my full strength!\That's what love is!\W-What is that magic?!\That's...\Heaven's Gathering Clouds!\She dodged it!\No... It missed her! response:	It seems Cheria can heal herself with her magic,
context: I'm answering the full strength of your feelings with my full strength!\That's what love is!\W-What is that magic?!\That's...\Heaven's Gathering Clouds!\She dodged it!\No... It missed her!\It seems Cheria can heal herself with her magic, response:	but it only works on wounds.
context: That's what love is!\W-What is that magic?!\That's...\Heaven's Gathering Clouds!\She dodged it!\No... It missed her!\It seems Cheria can heal herself with her magic,\but it only works on wounds. response:	It looks like she can't recharge herself with energy.
context: W-What is that magic?!\That's...\Heaven's Gathering Clouds!\She dodged it!\No... It missed her!\It seems Cheria can heal herself with her magic,\but it only works on wounds.\It looks like she can't recharge herself with energy. response:	Right.
context: That's...\Heaven's Gathering Clouds!\She dodged it!\No... It missed her!\It seems Cheria can heal herself with her magic,\but it only works on wounds.\It looks like she can't recharge herself with energy.\Right. response:	Wendy's the opposite. She can't heal herself with her magic,
context: Heaven's Gathering Clouds!\She dodged it!\No... It missed her!\It seems Cheria can heal herself with her magic,\but it only works on wounds.\It looks like she can't recharge herself with energy.\Right.\Wendy's the opposite. She can't heal herself with her magic, response:	but she can restore another person's strength.
context: She dodged it!\No... It missed her!\It seems Cheria can heal herself with her magic,\but it only works on wounds.\It looks like she can't recharge herself with energy.\Right.\Wendy's the opposite. She can't heal herself with her magic,\but she can restore another person's strength. response:	I see...
context: No... It missed her!\It seems Cheria can heal herself with her magic,\but it only works on wounds.\It looks like she can't recharge herself with energy.\Right.\Wendy's the opposite. She can't heal herself with her magic,\but she can restore another person's strength.\I see... response:	Then...
context: It seems Cheria can heal herself with her magic,\but it only works on wounds.\It looks like she can't recharge herself with energy.\Right.\Wendy's the opposite. She can't heal herself with her magic,\but she can restore another person's strength.\I see...\Then... response:	And because of that, Cheria's magic gained too much force...
context: but it only works on wounds.\It looks like she can't recharge herself with energy.\Right.\Wendy's the opposite. She can't heal herself with her magic,\but she can restore another person's strength.\I see...\Then...\And because of that, Cheria's magic gained too much force... response:	Wendy made her miss...
context: It looks like she can't recharge herself with energy.\Right.\Wendy's the opposite. She can't heal herself with her magic,\but she can restore another person's strength.\I see...\Then...\And because of that, Cheria's magic gained too much force...\Wendy made her miss... response:	What strategy!
context: Right.\Wendy's the opposite. She can't heal herself with her magic,\but she can restore another person's strength.\I see...\Then...\And because of that, Cheria's magic gained too much force...\Wendy made her miss...\What strategy! response:	Amazing!
context: Wendy's the opposite. She can't heal herself with her magic,\but she can restore another person's strength.\I see...\Then...\And because of that, Cheria's magic gained too much force...\Wendy made her miss...\What strategy!\Amazing! response:	Crushing Fang...
context: but she can restore another person's strength.\I see...\Then...\And because of that, Cheria's magic gained too much force...\Wendy made her miss...\What strategy!\Amazing!\Crushing Fang... response:	That's great, Wendy!
context: I see...\Then...\And because of that, Cheria's magic gained too much force...\Wendy made her miss...\What strategy!\Amazing!\Crushing Fang...\That's great, Wendy! response:	This is an incredible turn of events!
context: Then...\And because of that, Cheria's magic gained too much force...\Wendy made her miss...\What strategy!\Amazing!\Crushing Fang...\That's great, Wendy!\This is an incredible turn of events! response:	Neither side is giving any ground!
context: And because of that, Cheria's magic gained too much force...\Wendy made her miss...\What strategy!\Amazing!\Crushing Fang...\That's great, Wendy!\This is an incredible turn of events!\Neither side is giving any ground! response:	It's a clash of little fists! Is this tenacity for the sake of their guilds?!
context: Wendy made her miss...\What strategy!\Amazing!\Crushing Fang...\That's great, Wendy!\This is an incredible turn of events!\Neither side is giving any ground!\It's a clash of little fists! Is this tenacity for the sake of their guilds?! response:	I can't stop this...
context: What strategy!\Amazing!\Crushing Fang...\That's great, Wendy!\This is an incredible turn of events!\Neither side is giving any ground!\It's a clash of little fists! Is this tenacity for the sake of their guilds?!\I can't stop this... response:	Though their fists are small,
context: Amazing!\Crushing Fang...\That's great, Wendy!\This is an incredible turn of events!\Neither side is giving any ground!\It's a clash of little fists! Is this tenacity for the sake of their guilds?!\I can't stop this...\Though their fists are small, response:	their passion is vast...
context: Crushing Fang...\That's great, Wendy!\This is an incredible turn of events!\Neither side is giving any ground!\It's a clash of little fists! Is this tenacity for the sake of their guilds?!\I can't stop this...\Though their fists are small,\their passion is vast... response:	Go! Neither of you lose!
context: That's great, Wendy!\This is an incredible turn of events!\Neither side is giving any ground!\It's a clash of little fists! Is this tenacity for the sake of their guilds?!\I can't stop this...\Though their fists are small,\their passion is vast...\Go! Neither of you lose! response:	Wendy...
context: This is an incredible turn of events!\Neither side is giving any ground!\It's a clash of little fists! Is this tenacity for the sake of their guilds?!\I can't stop this...\Though their fists are small,\their passion is vast...\Go! Neither of you lose!\Wendy... response:	And so...
