context: It's huge. response:	When Elder Tale was still a game, we came here a lot, but...
context: Yeah.\This area seems safe.\Yeah.\My lord, I just scouted the floor ahead.\Thanks.\Could you tell me what you saw?\I want to cross-reference with my map.\You're being too formal. response:	S-Sorry.
context: This area seems safe.\Yeah.\My lord, I just scouted the floor ahead.\Thanks.\Could you tell me what you saw?\I want to cross-reference with my map.\You're being too formal.\S-Sorry. response:	Naotsugu, why don't you go ahead and... eat...
context: Yeah.\My lord, I just scouted the floor ahead.\Thanks.\Could you tell me what you saw?\I want to cross-reference with my map.\You're being too formal.\S-Sorry.\Naotsugu, why don't you go ahead and... eat... response:	This nasty food is the one thing I just can't get used to!
context: My lord, I just scouted the floor ahead.\Thanks.\Could you tell me what you saw?\I want to cross-reference with my map.\You're being too formal.\S-Sorry.\Naotsugu, why don't you go ahead and... eat...\This nasty food is the one thing I just can't get used to! response:	Even when you cook it...
context: Thanks.\Could you tell me what you saw?\I want to cross-reference with my map.\You're being too formal.\S-Sorry.\Naotsugu, why don't you go ahead and... eat...\This nasty food is the one thing I just can't get used to!\Even when you cook it... response:	It still ends up like this in a heartbeat.
context: Could you tell me what you saw?\I want to cross-reference with my map.\You're being too formal.\S-Sorry.\Naotsugu, why don't you go ahead and... eat...\This nasty food is the one thing I just can't get used to!\Even when you cook it...\It still ends up like this in a heartbeat. response:	Indeed...
context: I want to cross-reference with my map.\You're being too formal.\S-Sorry.\Naotsugu, why don't you go ahead and... eat...\This nasty food is the one thing I just can't get used to!\Even when you cook it...\It still ends up like this in a heartbeat.\Indeed... response:	In this world, none of the food has any taste.
context: You're being too formal.\S-Sorry.\Naotsugu, why don't you go ahead and... eat...\This nasty food is the one thing I just can't get used to!\Even when you cook it...\It still ends up like this in a heartbeat.\Indeed...\In this world, none of the food has any taste. response:	Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry
context: S-Sorry.\Naotsugu, why don't you go ahead and... eat...\This nasty food is the one thing I just can't get used to!\Even when you cook it...\It still ends up like this in a heartbeat.\Indeed...\In this world, none of the food has any taste.\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry response:	Just as in the game,
context: Naotsugu, why don't you go ahead and... eat...\This nasty food is the one thing I just can't get used to!\Even when you cook it...\It still ends up like this in a heartbeat.\Indeed...\In this world, none of the food has any taste.\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry\Just as in the game, response:	Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry Combine Cancel
context: This nasty food is the one thing I just can't get used to!\Even when you cook it...\It still ends up like this in a heartbeat.\Indeed...\In this world, none of the food has any taste.\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry\Just as in the game,\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry Combine Cancel response:	you can make food from the command menu, provided you have the items...
context: Even when you cook it...\It still ends up like this in a heartbeat.\Indeed...\In this world, none of the food has any taste.\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry\Just as in the game,\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry Combine Cancel\you can make food from the command menu, provided you have the items... response:	But the food all tastes the same.
context: It still ends up like this in a heartbeat.\Indeed...\In this world, none of the food has any taste.\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry\Just as in the game,\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry Combine Cancel\you can make food from the command menu, provided you have the items...\But the food all tastes the same. response:	Even if you have the chef subclass, it's apparently no better.
context: Indeed...\In this world, none of the food has any taste.\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry\Just as in the game,\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry Combine Cancel\you can make food from the command menu, provided you have the items...\But the food all tastes the same.\Even if you have the chef subclass, it's apparently no better. response:	But sugar, salt, fruits, vegetables, and other items classed as ingredients
context: In this world, none of the food has any taste.\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry\Just as in the game,\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry Combine Cancel\you can make food from the command menu, provided you have the items...\But the food all tastes the same.\Even if you have the chef subclass, it's apparently no better.\But sugar, salt, fruits, vegetables, and other items classed as ingredients response:	taste like they should.
context: Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry\Just as in the game,\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry Combine Cancel\you can make food from the command menu, provided you have the items...\But the food all tastes the same.\Even if you have the chef subclass, it's apparently no better.\But sugar, salt, fruits, vegetables, and other items classed as ingredients\taste like they should. response:	Or so we found, but...
context: Just as in the game,\Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry Combine Cancel\you can make food from the command menu, provided you have the items...\But the food all tastes the same.\Even if you have the chef subclass, it's apparently no better.\But sugar, salt, fruits, vegetables, and other items classed as ingredients\taste like they should.\Or so we found, but... response:	Today's lunch was salty mush.
context: Seafood Jambalaya Special Seafood Curry Extra-Spicy Curry Rice Tomato Vegetable Curry Combine Cancel\you can make food from the command menu, provided you have the items...\But the food all tastes the same.\Even if you have the chef subclass, it's apparently no better.\But sugar, salt, fruits, vegetables, and other items classed as ingredients\taste like they should.\Or so we found, but...\Today's lunch was salty mush. response:	Today's breakfast was sugary mush.
context: you can make food from the command menu, provided you have the items...\But the food all tastes the same.\Even if you have the chef subclass, it's apparently no better.\But sugar, salt, fruits, vegetables, and other items classed as ingredients\taste like they should.\Or so we found, but...\Today's lunch was salty mush.\Today's breakfast was sugary mush. response:	Today's dinner is tasteless mush with an orange.
context: But the food all tastes the same.\Even if you have the chef subclass, it's apparently no better.\But sugar, salt, fruits, vegetables, and other items classed as ingredients\taste like they should.\Or so we found, but...\Today's lunch was salty mush.\Today's breakfast was sugary mush.\Today's dinner is tasteless mush with an orange. response:	It makes me long for fast food and convenience store bentos.
context: Even if you have the chef subclass, it's apparently no better.\But sugar, salt, fruits, vegetables, and other items classed as ingredients\taste like they should.\Or so we found, but...\Today's lunch was salty mush.\Today's breakfast was sugary mush.\Today's dinner is tasteless mush with an orange.\It makes me long for fast food and convenience store bentos. response:	A call, my lord?
context: But sugar, salt, fruits, vegetables, and other items classed as ingredients\taste like they should.\Or so we found, but...\Today's lunch was salty mush.\Today's breakfast was sugary mush.\Today's dinner is tasteless mush with an orange.\It makes me long for fast food and convenience store bentos.\A call, my lord? response:	Oh, it's Marie.
context: taste like they should.\Or so we found, but...\Today's lunch was salty mush.\Today's breakfast was sugary mush.\Today's dinner is tasteless mush with an orange.\It makes me long for fast food and convenience store bentos.\A call, my lord?\Oh, it's Marie. response:	Hi, Shiro! Where are you?
context: Or so we found, but...\Today's lunch was salty mush.\Today's breakfast was sugary mush.\Today's dinner is tasteless mush with an orange.\It makes me long for fast food and convenience store bentos.\A call, my lord?\Oh, it's Marie.\Hi, Shiro! Where are you? response:	E-Eh?
context: Today's lunch was salty mush.\Today's breakfast was sugary mush.\Today's dinner is tasteless mush with an orange.\It makes me long for fast food and convenience store bentos.\A call, my lord?\Oh, it's Marie.\Hi, Shiro! Where are you?\E-Eh? response:	The Depths of Palm?
context: Today's breakfast was sugary mush.\Today's dinner is tasteless mush with an orange.\It makes me long for fast food and convenience store bentos.\A call, my lord?\Oh, it's Marie.\Hi, Shiro! Where are you?\E-Eh?\The Depths of Palm? response:	You've really gone that far in three days?
context: Today's dinner is tasteless mush with an orange.\It makes me long for fast food and convenience store bentos.\A call, my lord?\Oh, it's Marie.\Hi, Shiro! Where are you?\E-Eh?\The Depths of Palm?\You've really gone that far in three days? response:	How?
context: It makes me long for fast food and convenience store bentos.\A call, my lord?\Oh, it's Marie.\Hi, Shiro! Where are you?\E-Eh?\The Depths of Palm?\You've really gone that far in three days?\How? response:	And is my Akatsuki safe?
context: A call, my lord?\Oh, it's Marie.\Hi, Shiro! Where are you?\E-Eh?\The Depths of Palm?\You've really gone that far in three days?\How?\And is my Akatsuki safe? response:	You told me your plan,
context: Oh, it's Marie.\Hi, Shiro! Where are you?\E-Eh?\The Depths of Palm?\You've really gone that far in three days?\How?\And is my Akatsuki safe?\You told me your plan, response:	but you're still scaring me a little.
context: Hi, Shiro! Where are you?\E-Eh?\The Depths of Palm?\You've really gone that far in three days?\How?\And is my Akatsuki safe?\You told me your plan,\but you're still scaring me a little. response:	Uh, that aside... How's it looking?
context: E-Eh?\The Depths of Palm?\You've really gone that far in three days?\How?\And is my Akatsuki safe?\You told me your plan,\but you're still scaring me a little.\Uh, that aside... How's it looking? response:	Ah, right.
context: The Depths of Palm?\You've really gone that far in three days?\How?\And is my Akatsuki safe?\You told me your plan,\but you're still scaring me a little.\Uh, that aside... How's it looking?\Ah, right. response:	We're in touch with Serara via telepathy.
context: You've really gone that far in three days?\How?\And is my Akatsuki safe?\You told me your plan,\but you're still scaring me a little.\Uh, that aside... How's it looking?\Ah, right.\We're in touch with Serara via telepathy. response:	Telepathy can only be used with people on your Friend List.
context: How?\And is my Akatsuki safe?\You told me your plan,\but you're still scaring me a little.\Uh, that aside... How's it looking?\Ah, right.\We're in touch with Serara via telepathy.\Telepathy can only be used with people on your Friend List. response:	Naotsugu
context: And is my Akatsuki safe?\You told me your plan,\but you're still scaring me a little.\Uh, that aside... How's it looking?\Ah, right.\We're in touch with Serara via telepathy.\Telepathy can only be used with people on your Friend List.\Naotsugu response:	And you can't add them unless they're right in front of you.
context: You told me your plan,\but you're still scaring me a little.\Uh, that aside... How's it looking?\Ah, right.\We're in touch with Serara via telepathy.\Telepathy can only be used with people on your Friend List.\Naotsugu\And you can't add them unless they're right in front of you. response:	She says she's hiding with that nice guy I mentioned,
context: but you're still scaring me a little.\Uh, that aside... How's it looking?\Ah, right.\We're in touch with Serara via telepathy.\Telepathy can only be used with people on your Friend List.\Naotsugu\And you can't add them unless they're right in front of you.\She says she's hiding with that nice guy I mentioned, response:	and that she's okay for now.
context: Uh, that aside... How's it looking?\Ah, right.\We're in touch with Serara via telepathy.\Telepathy can only be used with people on your Friend List.\Naotsugu\And you can't add them unless they're right in front of you.\She says she's hiding with that nice guy I mentioned,\and that she's okay for now. response:	I see. That's good to hear.
context: Ah, right.\We're in touch with Serara via telepathy.\Telepathy can only be used with people on your Friend List.\Naotsugu\And you can't add them unless they're right in front of you.\She says she's hiding with that nice guy I mentioned,\and that she's okay for now.\I see. That's good to hear. response:	I guess some good people are left in Susukino.
context: We're in touch with Serara via telepathy.\Telepathy can only be used with people on your Friend List.\Naotsugu\And you can't add them unless they're right in front of you.\She says she's hiding with that nice guy I mentioned,\and that she's okay for now.\I see. That's good to hear.\I guess some good people are left in Susukino. response:	Yeah.
context: Telepathy can only be used with people on your Friend List.\Naotsugu\And you can't add them unless they're right in front of you.\She says she's hiding with that nice guy I mentioned,\and that she's okay for now.\I see. That's good to hear.\I guess some good people are left in Susukino.\Yeah. response:	Someone's helping her, huh?
context: Naotsugu\And you can't add them unless they're right in front of you.\She says she's hiding with that nice guy I mentioned,\and that she's okay for now.\I see. That's good to hear.\I guess some good people are left in Susukino.\Yeah.\Someone's helping her, huh? response:	Susukino Japan Server Ezzo Empire/ Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None
context: And you can't add them unless they're right in front of you.\She says she's hiding with that nice guy I mentioned,\and that she's okay for now.\I see. That's good to hear.\I guess some good people are left in Susukino.\Yeah.\Someone's helping her, huh?\Susukino Japan Server Ezzo Empire/ Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None response:	I wonder what they're like.
context: She says she's hiding with that nice guy I mentioned,\and that she's okay for now.\I see. That's good to hear.\I guess some good people are left in Susukino.\Yeah.\Someone's helping her, huh?\Susukino Japan Server Ezzo Empire/ Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\I wonder what they're like. response:	Huh?
context: and that she's okay for now.\I see. That's good to hear.\I guess some good people are left in Susukino.\Yeah.\Someone's helping her, huh?\Susukino Japan Server Ezzo Empire/ Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\I wonder what they're like.\Huh? response:	Serara
context: I see. That's good to hear.\I guess some good people are left in Susukino.\Yeah.\Someone's helping her, huh?\Susukino Japan Server Ezzo Empire/ Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\I wonder what they're like.\Huh?\Serara response:	You are now a LV 44 maid.
context: I guess some good people are left in Susukino.\Yeah.\Someone's helping her, huh?\Susukino Japan Server Ezzo Empire/ Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\I wonder what they're like.\Huh?\Serara\You are now a LV 44 maid. response:	My maid level is 44?
context: Yeah.\Someone's helping her, huh?\Susukino Japan Server Ezzo Empire/ Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\I wonder what they're like.\Huh?\Serara\You are now a LV 44 maid.\My maid level is 44? response:	Yesterday, it was at level 42...
context: Someone's helping her, huh?\Susukino Japan Server Ezzo Empire/ Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\I wonder what they're like.\Huh?\Serara\You are now a LV 44 maid.\My maid level is 44?\Yesterday, it was at level 42... response:	Why did I pick such a minor, useless subclass?
context: Susukino Japan Server Ezzo Empire/ Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\I wonder what they're like.\Huh?\Serara\You are now a LV 44 maid.\My maid level is 44?\Yesterday, it was at level 42...\Why did I pick such a minor, useless subclass? response:	I should have chosen crafting,
context: I wonder what they're like.\Huh?\Serara\You are now a LV 44 maid.\My maid level is 44?\Yesterday, it was at level 42...\Why did I pick such a minor, useless subclass?\I should have chosen crafting, response:	even if it wasn't going to rise for a long time.
context: Huh?\Serara\You are now a LV 44 maid.\My maid level is 44?\Yesterday, it was at level 42...\Why did I pick such a minor, useless subclass?\I should have chosen crafting,\even if it wasn't going to rise for a long time. response:	Like weaver or artisan...
context: Serara\You are now a LV 44 maid.\My maid level is 44?\Yesterday, it was at level 42...\Why did I pick such a minor, useless subclass?\I should have chosen crafting,\even if it wasn't going to rise for a long time.\Like weaver or artisan... response:	I'm so bored, I just keep leveling up.
context: You are now a LV 44 maid.\My maid level is 44?\Yesterday, it was at level 42...\Why did I pick such a minor, useless subclass?\I should have chosen crafting,\even if it wasn't going to rise for a long time.\Like weaver or artisan...\I'm so bored, I just keep leveling up. response:	But maybe I'm not a maid...
context: My maid level is 44?\Yesterday, it was at level 42...\Why did I pick such a minor, useless subclass?\I should have chosen crafting,\even if it wasn't going to rise for a long time.\Like weaver or artisan...\I'm so bored, I just keep leveling up.\But maybe I'm not a maid... response:	I'm a housewife?!
