context: Hello, Higurashi residence. response:	Oh, Kagome's grandpa! Hello!
context: Oh no! The time! I'll be late!\Iron-Reaver, Soul-Stealer!\- Inuyasha! - He usually fights back so easily!\His slow movements aren't simply due to his injury.\It's Kagome.\Without Kagome, he's unable to realize his true power.\Royakan definitely is using the power of the Sacred Jewel.\What?! response:	Find where it is, and you can defeat it!
context: Iron-Reaver, Soul-Stealer!\- Inuyasha! - He usually fights back so easily!\His slow movements aren't simply due to his injury.\It's Kagome.\Without Kagome, he's unable to realize his true power.\Royakan definitely is using the power of the Sacred Jewel.\What?!\Find where it is, and you can defeat it! response:	Kagome would know its weak spot...
context: - Inuyasha! - He usually fights back so easily!\His slow movements aren't simply due to his injury.\It's Kagome.\Without Kagome, he's unable to realize his true power.\Royakan definitely is using the power of the Sacred Jewel.\What?!\Find where it is, and you can defeat it!\Kagome would know its weak spot... response:	where the fragment is hidden.
context: His slow movements aren't simply due to his injury.\It's Kagome.\Without Kagome, he's unable to realize his true power.\Royakan definitely is using the power of the Sacred Jewel.\What?!\Find where it is, and you can defeat it!\Kagome would know its weak spot...\where the fragment is hidden. response:	Forget about her. Kagome's not here anymore!
context: It's Kagome.\Without Kagome, he's unable to realize his true power.\Royakan definitely is using the power of the Sacred Jewel.\What?!\Find where it is, and you can defeat it!\Kagome would know its weak spot...\where the fragment is hidden.\Forget about her. Kagome's not here anymore! response:	I closed up the well which connected her world to ours.
context: Without Kagome, he's unable to realize his true power.\Royakan definitely is using the power of the Sacred Jewel.\What?!\Find where it is, and you can defeat it!\Kagome would know its weak spot...\where the fragment is hidden.\Forget about her. Kagome's not here anymore!\I closed up the well which connected her world to ours. response:	Sh-she will never return here again!
context: Royakan definitely is using the power of the Sacred Jewel.\What?!\Find where it is, and you can defeat it!\Kagome would know its weak spot...\where the fragment is hidden.\Forget about her. Kagome's not here anymore!\I closed up the well which connected her world to ours.\Sh-she will never return here again! response:	We cannot...
context: What?!\Find where it is, and you can defeat it!\Kagome would know its weak spot...\where the fragment is hidden.\Forget about her. Kagome's not here anymore!\I closed up the well which connected her world to ours.\Sh-she will never return here again!\We cannot... response:	involve Kagome in these dangerous battles!
context: Find where it is, and you can defeat it!\Kagome would know its weak spot...\where the fragment is hidden.\Forget about her. Kagome's not here anymore!\I closed up the well which connected her world to ours.\Sh-she will never return here again!\We cannot...\involve Kagome in these dangerous battles! response:	Iron-Reaver, Soul-Stealer!
context: Kagome would know its weak spot...\where the fragment is hidden.\Forget about her. Kagome's not here anymore!\I closed up the well which connected her world to ours.\Sh-she will never return here again!\We cannot...\involve Kagome in these dangerous battles!\Iron-Reaver, Soul-Stealer! response:	Cripes...he gets me so mad!
context: where the fragment is hidden.\Forget about her. Kagome's not here anymore!\I closed up the well which connected her world to ours.\Sh-she will never return here again!\We cannot...\involve Kagome in these dangerous battles!\Iron-Reaver, Soul-Stealer!\Cripes...he gets me so mad! response:	He always interfered when I had a test and was cramming.
context: Forget about her. Kagome's not here anymore!\I closed up the well which connected her world to ours.\Sh-she will never return here again!\We cannot...\involve Kagome in these dangerous battles!\Iron-Reaver, Soul-Stealer!\Cripes...he gets me so mad!\He always interfered when I had a test and was cramming. response:	Higurashi, what's the matter? You look so angry.
context: I closed up the well which connected her world to ours.\Sh-she will never return here again!\We cannot...\involve Kagome in these dangerous battles!\Iron-Reaver, Soul-Stealer!\Cripes...he gets me so mad!\He always interfered when I had a test and was cramming.\Higurashi, what's the matter? You look so angry. response:	Huh? l-I'm sorry.
context: Sh-she will never return here again!\We cannot...\involve Kagome in these dangerous battles!\Iron-Reaver, Soul-Stealer!\Cripes...he gets me so mad!\He always interfered when I had a test and was cramming.\Higurashi, what's the matter? You look so angry.\Huh? l-I'm sorry. response:	That's right. I'm on a date.
context: We cannot...\involve Kagome in these dangerous battles!\Iron-Reaver, Soul-Stealer!\Cripes...he gets me so mad!\He always interfered when I had a test and was cramming.\Higurashi, what's the matter? You look so angry.\Huh? l-I'm sorry.\That's right. I'm on a date. response:	Why am I thinking of that fool at such a time?
context: involve Kagome in these dangerous battles!\Iron-Reaver, Soul-Stealer!\Cripes...he gets me so mad!\He always interfered when I had a test and was cramming.\Higurashi, what's the matter? You look so angry.\Huh? l-I'm sorry.\That's right. I'm on a date.\Why am I thinking of that fool at such a time? response:	Err... What were we talking about?
context: Iron-Reaver, Soul-Stealer!\Cripes...he gets me so mad!\He always interfered when I had a test and was cramming.\Higurashi, what's the matter? You look so angry.\Huh? l-I'm sorry.\That's right. I'm on a date.\Why am I thinking of that fool at such a time?\Err... What were we talking about? response:	Higurashi?
context: Cripes...he gets me so mad!\He always interfered when I had a test and was cramming.\Higurashi, what's the matter? You look so angry.\Huh? l-I'm sorry.\That's right. I'm on a date.\Why am I thinking of that fool at such a time?\Err... What were we talking about?\Higurashi? response:	Aren't you forcing yourself?
context: He always interfered when I had a test and was cramming.\Higurashi, what's the matter? You look so angry.\Huh? l-I'm sorry.\That's right. I'm on a date.\Why am I thinking of that fool at such a time?\Err... What were we talking about?\Higurashi?\Aren't you forcing yourself? response:	Forcing myself?
context: Higurashi, what's the matter? You look so angry.\Huh? l-I'm sorry.\That's right. I'm on a date.\Why am I thinking of that fool at such a time?\Err... What were we talking about?\Higurashi?\Aren't you forcing yourself?\Forcing myself? response:	I keep thinking about him... am I being too proud?
context: Huh? l-I'm sorry.\That's right. I'm on a date.\Why am I thinking of that fool at such a time?\Err... What were we talking about?\Higurashi?\Aren't you forcing yourself?\Forcing myself?\I keep thinking about him... am I being too proud? response:	Oh no... no such thing!
context: That's right. I'm on a date.\Why am I thinking of that fool at such a time?\Err... What were we talking about?\Higurashi?\Aren't you forcing yourself?\Forcing myself?\I keep thinking about him... am I being too proud?\Oh no... no such thing! response:	I can sorta tell.
context: Why am I thinking of that fool at such a time?\Err... What were we talking about?\Higurashi?\Aren't you forcing yourself?\Forcing myself?\I keep thinking about him... am I being too proud?\Oh no... no such thing!\I can sorta tell. response:	Hojo... I don't...
context: Err... What were we talking about?\Higurashi?\Aren't you forcing yourself?\Forcing myself?\I keep thinking about him... am I being too proud?\Oh no... no such thing!\I can sorta tell.\Hojo... I don't... response:	I don't think anything of him.
context: Higurashi?\Aren't you forcing yourself?\Forcing myself?\I keep thinking about him... am I being too proud?\Oh no... no such thing!\I can sorta tell.\Hojo... I don't...\I don't think anything of him. response:	I'll bet you don't feel well, but you forced yourself to come.
context: Aren't you forcing yourself?\Forcing myself?\I keep thinking about him... am I being too proud?\Oh no... no such thing!\I can sorta tell.\Hojo... I don't...\I don't think anything of him.\I'll bet you don't feel well, but you forced yourself to come. response:	Your grandfather said you had gout.
context: Forcing myself?\I keep thinking about him... am I being too proud?\Oh no... no such thing!\I can sorta tell.\Hojo... I don't...\I don't think anything of him.\I'll bet you don't feel well, but you forced yourself to come.\Your grandfather said you had gout. response:	Not even to Hojo too...!
context: I keep thinking about him... am I being too proud?\Oh no... no such thing!\I can sorta tell.\Hojo... I don't...\I don't think anything of him.\I'll bet you don't feel well, but you forced yourself to come.\Your grandfather said you had gout.\Not even to Hojo too...! response:	Do I look sick at all?!
context: Oh no... no such thing!\I can sorta tell.\Hojo... I don't...\I don't think anything of him.\I'll bet you don't feel well, but you forced yourself to come.\Your grandfather said you had gout.\Not even to Hojo too...!\Do I look sick at all?! response:	That's right... Maybe Inuyasha's wound hasn't healed.
context: I can sorta tell.\Hojo... I don't...\I don't think anything of him.\I'll bet you don't feel well, but you forced yourself to come.\Your grandfather said you had gout.\Not even to Hojo too...!\Do I look sick at all?!\That's right... Maybe Inuyasha's wound hasn't healed. response:	Oh no... What if he's dead?!
context: Hojo... I don't...\I don't think anything of him.\I'll bet you don't feel well, but you forced yourself to come.\Your grandfather said you had gout.\Not even to Hojo too...!\Do I look sick at all?!\That's right... Maybe Inuyasha's wound hasn't healed.\Oh no... What if he's dead?! response:	Sorry, Hojo! Ask me out again. Good bye!
context: I don't think anything of him.\I'll bet you don't feel well, but you forced yourself to come.\Your grandfather said you had gout.\Not even to Hojo too...!\Do I look sick at all?!\That's right... Maybe Inuyasha's wound hasn't healed.\Oh no... What if he's dead?!\Sorry, Hojo! Ask me out again. Good bye! response:	Higurashi!
context: I'll bet you don't feel well, but you forced yourself to come.\Your grandfather said you had gout.\Not even to Hojo too...!\Do I look sick at all?!\That's right... Maybe Inuyasha's wound hasn't healed.\Oh no... What if he's dead?!\Sorry, Hojo! Ask me out again. Good bye!\Higurashi! response:	I feel it! I feel the Sacred Jewel.
context: Your grandfather said you had gout.\Not even to Hojo too...!\Do I look sick at all?!\That's right... Maybe Inuyasha's wound hasn't healed.\Oh no... What if he's dead?!\Sorry, Hojo! Ask me out again. Good bye!\Higurashi!\I feel it! I feel the Sacred Jewel. response:	I can't see it.
context: Not even to Hojo too...!\Do I look sick at all?!\That's right... Maybe Inuyasha's wound hasn't healed.\Oh no... What if he's dead?!\Sorry, Hojo! Ask me out again. Good bye!\Higurashi!\I feel it! I feel the Sacred Jewel.\I can't see it. response:	Where? Where is it?
context: Do I look sick at all?!\That's right... Maybe Inuyasha's wound hasn't healed.\Oh no... What if he's dead?!\Sorry, Hojo! Ask me out again. Good bye!\Higurashi!\I feel it! I feel the Sacred Jewel.\I can't see it.\Where? Where is it? response:	They found me!
context: That's right... Maybe Inuyasha's wound hasn't healed.\Oh no... What if he's dead?!\Sorry, Hojo! Ask me out again. Good bye!\Higurashi!\I feel it! I feel the Sacred Jewel.\I can't see it.\Where? Where is it?\They found me! response:	I want to go back! Inuyasha, are you all right?!
context: Oh no... What if he's dead?!\Sorry, Hojo! Ask me out again. Good bye!\Higurashi!\I feel it! I feel the Sacred Jewel.\I can't see it.\Where? Where is it?\They found me!\I want to go back! Inuyasha, are you all right?! response:	This is...
context: Sorry, Hojo! Ask me out again. Good bye!\Higurashi!\I feel it! I feel the Sacred Jewel.\I can't see it.\Where? Where is it?\They found me!\I want to go back! Inuyasha, are you all right?!\This is... response:	The fragment of the Sacred Jewel!
context: Higurashi!\I feel it! I feel the Sacred Jewel.\I can't see it.\Where? Where is it?\They found me!\I want to go back! Inuyasha, are you all right?!\This is...\The fragment of the Sacred Jewel! response:	Shippo!
context: I feel it! I feel the Sacred Jewel.\I can't see it.\Where? Where is it?\They found me!\I want to go back! Inuyasha, are you all right?!\This is...\The fragment of the Sacred Jewel!\Shippo! response:	Kagome!
context: I can't see it.\Where? Where is it?\They found me!\I want to go back! Inuyasha, are you all right?!\This is...\The fragment of the Sacred Jewel!\Shippo!\Kagome! response:	Shippo!
context: Where? Where is it?\They found me!\I want to go back! Inuyasha, are you all right?!\This is...\The fragment of the Sacred Jewel!\Shippo!\Kagome!\Shippo! response:	Kagome! Kagome!
context: They found me!\I want to go back! Inuyasha, are you all right?!\This is...\The fragment of the Sacred Jewel!\Shippo!\Kagome!\Shippo!\Kagome! Kagome! response:	I was able to return!
context: I want to go back! Inuyasha, are you all right?!\This is...\The fragment of the Sacred Jewel!\Shippo!\Kagome!\Shippo!\Kagome! Kagome!\I was able to return! response:	I smell Kagome!
context: This is...\The fragment of the Sacred Jewel!\Shippo!\Kagome!\Shippo!\Kagome! Kagome!\I was able to return!\I smell Kagome! response:	I'm sure of it! Kagome is here!
context: The fragment of the Sacred Jewel!\Shippo!\Kagome!\Shippo!\Kagome! Kagome!\I was able to return!\I smell Kagome!\I'm sure of it! Kagome is here! response:	You won't get away!
context: Shippo!\Kagome!\Shippo!\Kagome! Kagome!\I was able to return!\I smell Kagome!\I'm sure of it! Kagome is here!\You won't get away! response:	Shaddup!
context: Kagome!\Shippo!\Kagome! Kagome!\I was able to return!\I smell Kagome!\I'm sure of it! Kagome is here!\You won't get away!\Shaddup! response:	Don't... get in my way!
context: Shippo!\Kagome! Kagome!\I was able to return!\I smell Kagome!\I'm sure of it! Kagome is here!\You won't get away!\Shaddup!\Don't... get in my way! response:	He's suddenly much stronger!
context: Kagome! Kagome!\I was able to return!\I smell Kagome!\I'm sure of it! Kagome is here!\You won't get away!\Shaddup!\Don't... get in my way!\He's suddenly much stronger! response:	Hey! At least deliver the fatal blow!
context: I was able to return!\I smell Kagome!\I'm sure of it! Kagome is here!\You won't get away!\Shaddup!\Don't... get in my way!\He's suddenly much stronger!\Hey! At least deliver the fatal blow! response:	What's going on?
context: I smell Kagome!\I'm sure of it! Kagome is here!\You won't get away!\Shaddup!\Don't... get in my way!\He's suddenly much stronger!\Hey! At least deliver the fatal blow!\What's going on? response:	Inuyasha's wound isn't fully healed.
context: I'm sure of it! Kagome is here!\You won't get away!\Shaddup!\Don't... get in my way!\He's suddenly much stronger!\Hey! At least deliver the fatal blow!\What's going on?\Inuyasha's wound isn't fully healed. response:	The enemy is taking advantage of that to attack.
context: You won't get away!\Shaddup!\Don't... get in my way!\He's suddenly much stronger!\Hey! At least deliver the fatal blow!\What's going on?\Inuyasha's wound isn't fully healed.\The enemy is taking advantage of that to attack. response:	I knew it... He's in danger.
context: Shaddup!\Don't... get in my way!\He's suddenly much stronger!\Hey! At least deliver the fatal blow!\What's going on?\Inuyasha's wound isn't fully healed.\The enemy is taking advantage of that to attack.\I knew it... He's in danger. response:	They're here!
context: Don't... get in my way!\He's suddenly much stronger!\Hey! At least deliver the fatal blow!\What's going on?\Inuyasha's wound isn't fully healed.\The enemy is taking advantage of that to attack.\I knew it... He's in danger.\They're here! response:	I'll teach...
context: He's suddenly much stronger!\Hey! At least deliver the fatal blow!\What's going on?\Inuyasha's wound isn't fully healed.\The enemy is taking advantage of that to attack.\I knew it... He's in danger.\They're here!\I'll teach... response:	you!
