context: Yeesh. You're gonna make me drunk without even drinking anything. response:	So, did you find out anything?
context: The new Oracion Seis!\So you're the one called Angel?\An-gel-tan!\You're my angel!\I hate clingy men.\What is he? Another one of the Six Generals?\No!\I'm Legion's number one lancer, Dan Straight! response:	I was devoted to Lu-tan, but now I'm devoted to Ange-pon!
context: So you're the one called Angel?\An-gel-tan!\You're my angel!\I hate clingy men.\What is he? Another one of the Six Generals?\No!\I'm Legion's number one lancer, Dan Straight!\I was devoted to Lu-tan, but now I'm devoted to Ange-pon! response:	I should tell you, I'm devoted to Laxus.
context: An-gel-tan!\You're my angel!\I hate clingy men.\What is he? Another one of the Six Generals?\No!\I'm Legion's number one lancer, Dan Straight!\I was devoted to Lu-tan, but now I'm devoted to Ange-pon!\I should tell you, I'm devoted to Laxus. response:	What are you two competing for?!
context: You're my angel!\I hate clingy men.\What is he? Another one of the Six Generals?\No!\I'm Legion's number one lancer, Dan Straight!\I was devoted to Lu-tan, but now I'm devoted to Ange-pon!\I should tell you, I'm devoted to Laxus.\What are you two competing for?! response:	Hey, wench! Where'd you put the Infinity Clock?!
context: I hate clingy men.\What is he? Another one of the Six Generals?\No!\I'm Legion's number one lancer, Dan Straight!\I was devoted to Lu-tan, but now I'm devoted to Ange-pon!\I should tell you, I'm devoted to Laxus.\What are you two competing for?!\Hey, wench! Where'd you put the Infinity Clock?! response:	A stupid question...
context: What is he? Another one of the Six Generals?\No!\I'm Legion's number one lancer, Dan Straight!\I was devoted to Lu-tan, but now I'm devoted to Ange-pon!\I should tell you, I'm devoted to Laxus.\What are you two competing for?!\Hey, wench! Where'd you put the Infinity Clock?!\A stupid question... response:	The cost is 40. Be embraced by the power...
context: No!\I'm Legion's number one lancer, Dan Straight!\I was devoted to Lu-tan, but now I'm devoted to Ange-pon!\I should tell you, I'm devoted to Laxus.\What are you two competing for?!\Hey, wench! Where'd you put the Infinity Clock?!\A stupid question...\The cost is 40. Be embraced by the power... response:	That's Angel Magic...
context: I'm Legion's number one lancer, Dan Straight!\I was devoted to Lu-tan, but now I'm devoted to Ange-pon!\I should tell you, I'm devoted to Laxus.\What are you two competing for?!\Hey, wench! Where'd you put the Infinity Clock?!\A stupid question...\The cost is 40. Be embraced by the power...\That's Angel Magic... response:	How profound! How awe-inspiring!
context: I was devoted to Lu-tan, but now I'm devoted to Ange-pon!\I should tell you, I'm devoted to Laxus.\What are you two competing for?!\Hey, wench! Where'd you put the Infinity Clock?!\A stupid question...\The cost is 40. Be embraced by the power...\That's Angel Magic...\How profound! How awe-inspiring! response:	Although that shadow by her eye is disquieting...
context: I should tell you, I'm devoted to Laxus.\What are you two competing for?!\Hey, wench! Where'd you put the Infinity Clock?!\A stupid question...\The cost is 40. Be embraced by the power...\That's Angel Magic...\How profound! How awe-inspiring!\Although that shadow by her eye is disquieting... response:	I summon Shamsiel, angel of sunlight!
context: What are you two competing for?!\Hey, wench! Where'd you put the Infinity Clock?!\A stupid question...\The cost is 40. Be embraced by the power...\That's Angel Magic...\How profound! How awe-inspiring!\Although that shadow by her eye is disquieting...\I summon Shamsiel, angel of sunlight! response:	Here I am! How are you?!
context: Hey, wench! Where'd you put the Infinity Clock?!\A stupid question...\The cost is 40. Be embraced by the power...\That's Angel Magic...\How profound! How awe-inspiring!\Although that shadow by her eye is disquieting...\I summon Shamsiel, angel of sunlight!\Here I am! How are you?! response:	What the hell is that?!
context: A stupid question...\The cost is 40. Be embraced by the power...\That's Angel Magic...\How profound! How awe-inspiring!\Although that shadow by her eye is disquieting...\I summon Shamsiel, angel of sunlight!\Here I am! How are you?!\What the hell is that?! response:	It's plump and cute!
context: The cost is 40. Be embraced by the power...\That's Angel Magic...\How profound! How awe-inspiring!\Although that shadow by her eye is disquieting...\I summon Shamsiel, angel of sunlight!\Here I am! How are you?!\What the hell is that?!\It's plump and cute! response:	Play with them.
context: That's Angel Magic...\How profound! How awe-inspiring!\Although that shadow by her eye is disquieting...\I summon Shamsiel, angel of sunlight!\Here I am! How are you?!\What the hell is that?!\It's plump and cute!\Play with them. response:	Roger! Let's play! Pick me up!
context: How profound! How awe-inspiring!\Although that shadow by her eye is disquieting...\I summon Shamsiel, angel of sunlight!\Here I am! How are you?!\What the hell is that?!\It's plump and cute!\Play with them.\Roger! Let's play! Pick me up! response:	Sure, I'll play! I'll carry you!
context: Although that shadow by her eye is disquieting...\I summon Shamsiel, angel of sunlight!\Here I am! How are you?!\What the hell is that?!\It's plump and cute!\Play with them.\Roger! Let's play! Pick me up!\Sure, I'll play! I'll carry you! response:	What the hell did you come here for?!
context: I summon Shamsiel, angel of sunlight!\Here I am! How are you?!\What the hell is that?!\It's plump and cute!\Play with them.\Roger! Let's play! Pick me up!\Sure, I'll play! I'll carry you!\What the hell did you come here for?! response:	Dark Ecriture! Pain!
context: Here I am! How are you?!\What the hell is that?!\It's plump and cute!\Play with them.\Roger! Let's play! Pick me up!\Sure, I'll play! I'll carry you!\What the hell did you come here for?!\Dark Ecriture! Pain! response:	Ice Make Saucer!
context: What the hell is that?!\It's plump and cute!\Play with them.\Roger! Let's play! Pick me up!\Sure, I'll play! I'll carry you!\What the hell did you come here for?!\Dark Ecriture! Pain!\Ice Make Saucer! response:	That tingled!
context: It's plump and cute!\Play with them.\Roger! Let's play! Pick me up!\Sure, I'll play! I'll carry you!\What the hell did you come here for?!\Dark Ecriture! Pain!\Ice Make Saucer!\That tingled! response:	An angel's sun rays are bright!
context: Play with them.\Roger! Let's play! Pick me up!\Sure, I'll play! I'll carry you!\What the hell did you come here for?!\Dark Ecriture! Pain!\Ice Make Saucer!\That tingled!\An angel's sun rays are bright! response:	Be destroyed by your own voice.
context: Roger! Let's play! Pick me up!\Sure, I'll play! I'll carry you!\What the hell did you come here for?!\Dark Ecriture! Pain!\Ice Make Saucer!\That tingled!\An angel's sun rays are bright!\Be destroyed by your own voice. response:	Evergreen! Max!
context: Sure, I'll play! I'll carry you!\What the hell did you come here for?!\Dark Ecriture! Pain!\Ice Make Saucer!\That tingled!\An angel's sun rays are bright!\Be destroyed by your own voice.\Evergreen! Max! response:	There's something I want to ask you.
context: What the hell did you come here for?!\Dark Ecriture! Pain!\Ice Make Saucer!\That tingled!\An angel's sun rays are bright!\Be destroyed by your own voice.\Evergreen! Max!\There's something I want to ask you. response:	Do you know Cubelios?
context: Dark Ecriture! Pain!\Ice Make Saucer!\That tingled!\An angel's sun rays are bright!\Be destroyed by your own voice.\Evergreen! Max!\There's something I want to ask you.\Do you know Cubelios? response:	I see.
context: Ice Make Saucer!\That tingled!\An angel's sun rays are bright!\Be destroyed by your own voice.\Evergreen! Max!\There's something I want to ask you.\Do you know Cubelios?\I see. response:	What are you convinced about, asshole?!
context: That tingled!\An angel's sun rays are bright!\Be destroyed by your own voice.\Evergreen! Max!\There's something I want to ask you.\Do you know Cubelios?\I see.\What are you convinced about, asshole?! response:	This guy can hear people's thoughts.
context: An angel's sun rays are bright!\Be destroyed by your own voice.\Evergreen! Max!\There's something I want to ask you.\Do you know Cubelios?\I see.\What are you convinced about, asshole?!\This guy can hear people's thoughts. response:	Isn't that a mild form of sexual harassment?!
context: Be destroyed by your own voice.\Evergreen! Max!\There's something I want to ask you.\Do you know Cubelios?\I see.\What are you convinced about, asshole?!\This guy can hear people's thoughts.\Isn't that a mild form of sexual harassment?! response:	I have no more use for you.
context: Evergreen! Max!\There's something I want to ask you.\Do you know Cubelios?\I see.\What are you convinced about, asshole?!\This guy can hear people's thoughts.\Isn't that a mild form of sexual harassment?!\I have no more use for you. response:	Evergreen!
context: There's something I want to ask you.\Do you know Cubelios?\I see.\What are you convinced about, asshole?!\This guy can hear people's thoughts.\Isn't that a mild form of sexual harassment?!\I have no more use for you.\Evergreen! response:	What was that?!
context: Do you know Cubelios?\I see.\What are you convinced about, asshole?!\This guy can hear people's thoughts.\Isn't that a mild form of sexual harassment?!\I have no more use for you.\Evergreen!\What was that?! response:	That wasn't only Listening Magic!
context: I see.\What are you convinced about, asshole?!\This guy can hear people's thoughts.\Isn't that a mild form of sexual harassment?!\I have no more use for you.\Evergreen!\What was that?!\That wasn't only Listening Magic! response:	He absorbed sound, amplified it, and fired it.
context: What are you convinced about, asshole?!\This guy can hear people's thoughts.\Isn't that a mild form of sexual harassment?!\I have no more use for you.\Evergreen!\What was that?!\That wasn't only Listening Magic!\He absorbed sound, amplified it, and fired it. response:	It makes the air vibrate. I see...
context: This guy can hear people's thoughts.\Isn't that a mild form of sexual harassment?!\I have no more use for you.\Evergreen!\What was that?!\That wasn't only Listening Magic!\He absorbed sound, amplified it, and fired it.\It makes the air vibrate. I see... response:	I can hear you.
context: Isn't that a mild form of sexual harassment?!\I have no more use for you.\Evergreen!\What was that?!\That wasn't only Listening Magic!\He absorbed sound, amplified it, and fired it.\It makes the air vibrate. I see...\I can hear you. response:	Robe of Remoteness.
context: I have no more use for you.\Evergreen!\What was that?!\That wasn't only Listening Magic!\He absorbed sound, amplified it, and fired it.\It makes the air vibrate. I see...\I can hear you.\Robe of Remoteness. response:	You're thinking it will mitigate my sound attack enough for you to strike a blow.
context: Evergreen!\What was that?!\That wasn't only Listening Magic!\He absorbed sound, amplified it, and fired it.\It makes the air vibrate. I see...\I can hear you.\Robe of Remoteness.\You're thinking it will mitigate my sound attack enough for you to strike a blow. response:	I can hear it.
context: What was that?!\That wasn't only Listening Magic!\He absorbed sound, amplified it, and fired it.\It makes the air vibrate. I see...\I can hear you.\Robe of Remoteness.\You're thinking it will mitigate my sound attack enough for you to strike a blow.\I can hear it. response:	That movement, that swordsmanship...
context: That wasn't only Listening Magic!\He absorbed sound, amplified it, and fired it.\It makes the air vibrate. I see...\I can hear you.\Robe of Remoteness.\You're thinking it will mitigate my sound attack enough for you to strike a blow.\I can hear it.\That movement, that swordsmanship... response:	Impressive, Titania. Your movements have become keener.
context: He absorbed sound, amplified it, and fired it.\It makes the air vibrate. I see...\I can hear you.\Robe of Remoteness.\You're thinking it will mitigate my sound attack enough for you to strike a blow.\I can hear it.\That movement, that swordsmanship...\Impressive, Titania. Your movements have become keener. response:	You didn't defeat Grimoire's Azuma for nothing.
context: It makes the air vibrate. I see...\I can hear you.\Robe of Remoteness.\You're thinking it will mitigate my sound attack enough for you to strike a blow.\I can hear it.\That movement, that swordsmanship...\Impressive, Titania. Your movements have become keener.\You didn't defeat Grimoire's Azuma for nothing. response:	If I recall correctly, Natsu beat this guy by attacking without thinking and a loud voice.
context: I can hear you.\Robe of Remoteness.\You're thinking it will mitigate my sound attack enough for you to strike a blow.\I can hear it.\That movement, that swordsmanship...\Impressive, Titania. Your movements have become keener.\You didn't defeat Grimoire's Azuma for nothing.\If I recall correctly, Natsu beat this guy by attacking without thinking and a loud voice. response:	That was seven years ago.
context: Robe of Remoteness.\You're thinking it will mitigate my sound attack enough for you to strike a blow.\I can hear it.\That movement, that swordsmanship...\Impressive, Titania. Your movements have become keener.\You didn't defeat Grimoire's Azuma for nothing.\If I recall correctly, Natsu beat this guy by attacking without thinking and a loud voice.\That was seven years ago. response:	That won't work on me now.
context: You're thinking it will mitigate my sound attack enough for you to strike a blow.\I can hear it.\That movement, that swordsmanship...\Impressive, Titania. Your movements have become keener.\You didn't defeat Grimoire's Azuma for nothing.\If I recall correctly, Natsu beat this guy by attacking without thinking and a loud voice.\That was seven years ago.\That won't work on me now. response:	Nonsense!
context: I can hear it.\That movement, that swordsmanship...\Impressive, Titania. Your movements have become keener.\You didn't defeat Grimoire's Azuma for nothing.\If I recall correctly, Natsu beat this guy by attacking without thinking and a loud voice.\That was seven years ago.\That won't work on me now.\Nonsense! response:	Seven years ago...
context: That movement, that swordsmanship...\Impressive, Titania. Your movements have become keener.\You didn't defeat Grimoire's Azuma for nothing.\If I recall correctly, Natsu beat this guy by attacking without thinking and a loud voice.\That was seven years ago.\That won't work on me now.\Nonsense!\Seven years ago... response:	Because of you people,
context: Impressive, Titania. Your movements have become keener.\You didn't defeat Grimoire's Azuma for nothing.\If I recall correctly, Natsu beat this guy by attacking without thinking and a loud voice.\That was seven years ago.\That won't work on me now.\Nonsense!\Seven years ago...\Because of you people, response:	Erza!
context: You didn't defeat Grimoire's Azuma for nothing.\If I recall correctly, Natsu beat this guy by attacking without thinking and a loud voice.\That was seven years ago.\That won't work on me now.\Nonsense!\Seven years ago...\Because of you people,\Erza! response:	I lost Cubelios!
context: If I recall correctly, Natsu beat this guy by attacking without thinking and a loud voice.\That was seven years ago.\That won't work on me now.\Nonsense!\Seven years ago...\Because of you people,\Erza!\I lost Cubelios! response:	Give me back my friend... Give me back Cubelios!
context: That was seven years ago.\That won't work on me now.\Nonsense!\Seven years ago...\Because of you people,\Erza!\I lost Cubelios!\Give me back my friend... Give me back Cubelios! response:	Cubelios...
context: That won't work on me now.\Nonsense!\Seven years ago...\Because of you people,\Erza!\I lost Cubelios!\Give me back my friend... Give me back Cubelios!\Cubelios... response:	It's okay, Nico. The curate went out on our behalf yesterday.
context: Nonsense!\Seven years ago...\Because of you people,\Erza!\I lost Cubelios!\Give me back my friend... Give me back Cubelios!\Cubelios...\It's okay, Nico. The curate went out on our behalf yesterday. response:	Hey...
context: Seven years ago...\Because of you people,\Erza!\I lost Cubelios!\Give me back my friend... Give me back Cubelios!\Cubelios...\It's okay, Nico. The curate went out on our behalf yesterday.\Hey... response:	Yeah...
context: Because of you people,\Erza!\I lost Cubelios!\Give me back my friend... Give me back Cubelios!\Cubelios...\It's okay, Nico. The curate went out on our behalf yesterday.\Hey...\Yeah... response:	Who are you?
context: Erza!\I lost Cubelios!\Give me back my friend... Give me back Cubelios!\Cubelios...\It's okay, Nico. The curate went out on our behalf yesterday.\Hey...\Yeah...\Who are you? response:	Are you... a Celestial Wizard?
context: I lost Cubelios!\Give me back my friend... Give me back Cubelios!\Cubelios...\It's okay, Nico. The curate went out on our behalf yesterday.\Hey...\Yeah...\Who are you?\Are you... a Celestial Wizard? response:	Wendy!
context: Give me back my friend... Give me back Cubelios!\Cubelios...\It's okay, Nico. The curate went out on our behalf yesterday.\Hey...\Yeah...\Who are you?\Are you... a Celestial Wizard?\Wendy! response:	Nico!
context: Cubelios...\It's okay, Nico. The curate went out on our behalf yesterday.\Hey...\Yeah...\Who are you?\Are you... a Celestial Wizard?\Wendy!\Nico! response:	Wait!
context: It's okay, Nico. The curate went out on our behalf yesterday.\Hey...\Yeah...\Who are you?\Are you... a Celestial Wizard?\Wendy!\Nico!\Wait! response:	Let go of me!
context: Hey...\Yeah...\Who are you?\Are you... a Celestial Wizard?\Wendy!\Nico!\Wait!\Let go of me! response:	Calm down!
context: Yeah...\Who are you?\Are you... a Celestial Wizard?\Wendy!\Nico!\Wait!\Let go of me!\Calm down! response:	I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.
context: Who are you?\Are you... a Celestial Wizard?\Wendy!\Nico!\Wait!\Let go of me!\Calm down!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council. response:	I'm here on an investigation.
context: Are you... a Celestial Wizard?\Wendy!\Nico!\Wait!\Let go of me!\Calm down!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\I'm here on an investigation. response:	The Magic Council?
context: Wendy!\Nico!\Wait!\Let go of me!\Calm down!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\I'm here on an investigation.\The Magic Council? response:	It's been seven years...
context: Nico!\Wait!\Let go of me!\Calm down!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\I'm here on an investigation.\The Magic Council?\It's been seven years... response:	She would probably look like this now.
context: Wait!\Let go of me!\Calm down!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\I'm here on an investigation.\The Magic Council?\It's been seven years...\She would probably look like this now. response:	If that girl had lived...
context: Let go of me!\Calm down!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\I'm here on an investigation.\The Magic Council?\It's been seven years...\She would probably look like this now.\If that girl had lived... response:	Hang in there! Please hang in there, Bickslow-san!
context: Calm down!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\I'm here on an investigation.\The Magic Council?\It's been seven years...\She would probably look like this now.\If that girl had lived...\Hang in there! Please hang in there, Bickslow-san! response:	Forget about me. Get out of here, Wendy!
context: I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\I'm here on an investigation.\The Magic Council?\It's been seven years...\She would probably look like this now.\If that girl had lived...\Hang in there! Please hang in there, Bickslow-san!\Forget about me. Get out of here, Wendy! response:	It's pointless. He can't move.
context: I'm here on an investigation.\The Magic Council?\It's been seven years...\She would probably look like this now.\If that girl had lived...\Hang in there! Please hang in there, Bickslow-san!\Forget about me. Get out of here, Wendy!\It's pointless. He can't move. response:	You left yourself wide open, little girl.
context: The Magic Council?\It's been seven years...\She would probably look like this now.\If that girl had lived...\Hang in there! Please hang in there, Bickslow-san!\Forget about me. Get out of here, Wendy!\It's pointless. He can't move.\You left yourself wide open, little girl. response:	Up against natural phenomena,
context: It's been seven years...\She would probably look like this now.\If that girl had lived...\Hang in there! Please hang in there, Bickslow-san!\Forget about me. Get out of here, Wendy!\It's pointless. He can't move.\You left yourself wide open, little girl.\Up against natural phenomena, response:	human strength and grit are very easily mowed down.
context: She would probably look like this now.\If that girl had lived...\Hang in there! Please hang in there, Bickslow-san!\Forget about me. Get out of here, Wendy!\It's pointless. He can't move.\You left yourself wide open, little girl.\Up against natural phenomena,\human strength and grit are very easily mowed down. response:	Why?
context: If that girl had lived...\Hang in there! Please hang in there, Bickslow-san!\Forget about me. Get out of here, Wendy!\It's pointless. He can't move.\You left yourself wide open, little girl.\Up against natural phenomena,\human strength and grit are very easily mowed down.\Why? response:	Even though you might have had a chance of winning by abandoning him...
context: Hang in there! Please hang in there, Bickslow-san!\Forget about me. Get out of here, Wendy!\It's pointless. He can't move.\You left yourself wide open, little girl.\Up against natural phenomena,\human strength and grit are very easily mowed down.\Why?\Even though you might have had a chance of winning by abandoning him... response:	Abandoning... Abandoning a friend is unthinkable!
context: Forget about me. Get out of here, Wendy!\It's pointless. He can't move.\You left yourself wide open, little girl.\Up against natural phenomena,\human strength and grit are very easily mowed down.\Why?\Even though you might have had a chance of winning by abandoning him...\Abandoning... Abandoning a friend is unthinkable! response:	Friend?
context: It's pointless. He can't move.\You left yourself wide open, little girl.\Up against natural phenomena,\human strength and grit are very easily mowed down.\Why?\Even though you might have had a chance of winning by abandoning him...\Abandoning... Abandoning a friend is unthinkable!\Friend? response:	Idiot! Don't be so soft!
context: You left yourself wide open, little girl.\Up against natural phenomena,\human strength and grit are very easily mowed down.\Why?\Even though you might have had a chance of winning by abandoning him...\Abandoning... Abandoning a friend is unthinkable!\Friend?\Idiot! Don't be so soft! response:	Sometimes the courage to leave a comrade is necessary!
context: Up against natural phenomena,\human strength and grit are very easily mowed down.\Why?\Even though you might have had a chance of winning by abandoning him...\Abandoning... Abandoning a friend is unthinkable!\Friend?\Idiot! Don't be so soft!\Sometimes the courage to leave a comrade is necessary! response:	No! I'll never abandon a friend!
context: human strength and grit are very easily mowed down.\Why?\Even though you might have had a chance of winning by abandoning him...\Abandoning... Abandoning a friend is unthinkable!\Friend?\Idiot! Don't be so soft!\Sometimes the courage to leave a comrade is necessary!\No! I'll never abandon a friend! response:	Friend...
context: Why?\Even though you might have had a chance of winning by abandoning him...\Abandoning... Abandoning a friend is unthinkable!\Friend?\Idiot! Don't be so soft!\Sometimes the courage to leave a comrade is necessary!\No! I'll never abandon a friend!\Friend... response:	What's that?
context: Even though you might have had a chance of winning by abandoning him...\Abandoning... Abandoning a friend is unthinkable!\Friend?\Idiot! Don't be so soft!\Sometimes the courage to leave a comrade is necessary!\No! I'll never abandon a friend!\Friend...\What's that? response:	Who are they?
context: Abandoning... Abandoning a friend is unthinkable!\Friend?\Idiot! Don't be so soft!\Sometimes the courage to leave a comrade is necessary!\No! I'll never abandon a friend!\Friend...\What's that?\Who are they? response:	What was that just now?!
context: Friend?\Idiot! Don't be so soft!\Sometimes the courage to leave a comrade is necessary!\No! I'll never abandon a friend!\Friend...\What's that?\Who are they?\What was that just now?! response:	Did you see that, Wendy? He...
context: Idiot! Don't be so soft!\Sometimes the courage to leave a comrade is necessary!\No! I'll never abandon a friend!\Friend...\What's that?\Who are they?\What was that just now?!\Did you see that, Wendy? He... response:	Open! Gate of the Chisel! Caelum!
context: Sometimes the courage to leave a comrade is necessary!\No! I'll never abandon a friend!\Friend...\What's that?\Who are they?\What was that just now?!\Did you see that, Wendy? He...\Open! Gate of the Chisel! Caelum! response:	Please keep watch.
context: No! I'll never abandon a friend!\Friend...\What's that?\Who are they?\What was that just now?!\Did you see that, Wendy? He...\Open! Gate of the Chisel! Caelum!\Please keep watch. response:	Two gates open simultaneously...
context: Friend...\What's that?\Who are they?\What was that just now?!\Did you see that, Wendy? He...\Open! Gate of the Chisel! Caelum!\Please keep watch.\Two gates open simultaneously... response:	Um... Is there something you want to say?
context: What's that?\Who are they?\What was that just now?!\Did you see that, Wendy? He...\Open! Gate of the Chisel! Caelum!\Please keep watch.\Two gates open simultaneously...\Um... Is there something you want to say? response:	You've been staring at me.
context: Who are they?\What was that just now?!\Did you see that, Wendy? He...\Open! Gate of the Chisel! Caelum!\Please keep watch.\Two gates open simultaneously...\Um... Is there something you want to say?\You've been staring at me. response:	Is a Celestial Wizard so unusual?
context: What was that just now?!\Did you see that, Wendy? He...\Open! Gate of the Chisel! Caelum!\Please keep watch.\Two gates open simultaneously...\Um... Is there something you want to say?\You've been staring at me.\Is a Celestial Wizard so unusual? response:	No... That's not it.
context: Did you see that, Wendy? He...\Open! Gate of the Chisel! Caelum!\Please keep watch.\Two gates open simultaneously...\Um... Is there something you want to say?\You've been staring at me.\Is a Celestial Wizard so unusual?\No... That's not it. response:	Your name is Katja?
