context: One way or the other. response:	Okay!
context: 86th Annual Kamo Girls' Oraga Arts Festival\86th Annual Kamo Girls' Oraga Arts Festival\Umm...\Could you repeat that?\Goodbye, Kamogawa\Goodbye, Kamogawa\How about you, Lan?\Yes. response:	Oh well...
context: 86th Annual Kamo Girls' Oraga Arts Festival\Umm...\Could you repeat that?\Goodbye, Kamogawa\Goodbye, Kamogawa\How about you, Lan?\Yes.\Oh well... response:	Okay, I'll tell you again.
context: Umm...\Could you repeat that?\Goodbye, Kamogawa\Goodbye, Kamogawa\How about you, Lan?\Yes.\Oh well...\Okay, I'll tell you again. response:	These are the groups that the Sweats Club helped out for this year's Oraga Festival.
context: Could you repeat that?\Goodbye, Kamogawa\Goodbye, Kamogawa\How about you, Lan?\Yes.\Oh well...\Okay, I'll tell you again.\These are the groups that the Sweats Club helped out for this year's Oraga Festival. response:	Which means...
context: Goodbye, Kamogawa\Goodbye, Kamogawa\How about you, Lan?\Yes.\Oh well...\Okay, I'll tell you again.\These are the groups that the Sweats Club helped out for this year's Oraga Festival.\Which means... response:	all of them fall under our club's exhibit!
context: Goodbye, Kamogawa\How about you, Lan?\Yes.\Oh well...\Okay, I'll tell you again.\These are the groups that the Sweats Club helped out for this year's Oraga Festival.\Which means...\all of them fall under our club's exhibit! response:	Oh, I see.
context: How about you, Lan?\Yes.\Oh well...\Okay, I'll tell you again.\These are the groups that the Sweats Club helped out for this year's Oraga Festival.\Which means...\all of them fall under our club's exhibit!\Oh, I see. response:	How did you come to that conclusion?
context: Yes.\Oh well...\Okay, I'll tell you again.\These are the groups that the Sweats Club helped out for this year's Oraga Festival.\Which means...\all of them fall under our club's exhibit!\Oh, I see.\How did you come to that conclusion? response:	There's no point in trying to reason with Madoka.
context: Oh well...\Okay, I'll tell you again.\These are the groups that the Sweats Club helped out for this year's Oraga Festival.\Which means...\all of them fall under our club's exhibit!\Oh, I see.\How did you come to that conclusion?\There's no point in trying to reason with Madoka. response:	And now, the Sweats Club will proceed
context: Okay, I'll tell you again.\These are the groups that the Sweats Club helped out for this year's Oraga Festival.\Which means...\all of them fall under our club's exhibit!\Oh, I see.\How did you come to that conclusion?\There's no point in trying to reason with Madoka.\And now, the Sweats Club will proceed response:	to check out all the exhibits!
context: These are the groups that the Sweats Club helped out for this year's Oraga Festival.\Which means...\all of them fall under our club's exhibit!\Oh, I see.\How did you come to that conclusion?\There's no point in trying to reason with Madoka.\And now, the Sweats Club will proceed\to check out all the exhibits! response:	Madoka, do we have to wear these sweats?
context: Which means...\all of them fall under our club's exhibit!\Oh, I see.\How did you come to that conclusion?\There's no point in trying to reason with Madoka.\And now, the Sweats Club will proceed\to check out all the exhibits!\Madoka, do we have to wear these sweats? response:	We're the Sweats Club!
context: all of them fall under our club's exhibit!\Oh, I see.\How did you come to that conclusion?\There's no point in trying to reason with Madoka.\And now, the Sweats Club will proceed\to check out all the exhibits!\Madoka, do we have to wear these sweats?\We're the Sweats Club! response:	This is our uniform.
context: Oh, I see.\How did you come to that conclusion?\There's no point in trying to reason with Madoka.\And now, the Sweats Club will proceed\to check out all the exhibits!\Madoka, do we have to wear these sweats?\We're the Sweats Club!\This is our uniform. response:	Where the sweats are the master, the skirt is a servant.
context: How did you come to that conclusion?\There's no point in trying to reason with Madoka.\And now, the Sweats Club will proceed\to check out all the exhibits!\Madoka, do we have to wear these sweats?\We're the Sweats Club!\This is our uniform.\Where the sweats are the master, the skirt is a servant. response:	Huh?
context: There's no point in trying to reason with Madoka.\And now, the Sweats Club will proceed\to check out all the exhibits!\Madoka, do we have to wear these sweats?\We're the Sweats Club!\This is our uniform.\Where the sweats are the master, the skirt is a servant.\Huh? response:	Was that a joke, just right now?
context: And now, the Sweats Club will proceed\to check out all the exhibits!\Madoka, do we have to wear these sweats?\We're the Sweats Club!\This is our uniform.\Where the sweats are the master, the skirt is a servant.\Huh?\Was that a joke, just right now? response:	Forget it!
context: to check out all the exhibits!\Madoka, do we have to wear these sweats?\We're the Sweats Club!\This is our uniform.\Where the sweats are the master, the skirt is a servant.\Huh?\Was that a joke, just right now?\Forget it! response:	Lan, wait!
context: Madoka, do we have to wear these sweats?\We're the Sweats Club!\This is our uniform.\Where the sweats are the master, the skirt is a servant.\Huh?\Was that a joke, just right now?\Forget it!\Lan, wait! response:	Shouldn't we tell Madoka?
context: We're the Sweats Club!\This is our uniform.\Where the sweats are the master, the skirt is a servant.\Huh?\Was that a joke, just right now?\Forget it!\Lan, wait!\Shouldn't we tell Madoka? response:	We will confront the next enemy attack
context: This is our uniform.\Where the sweats are the master, the skirt is a servant.\Huh?\Was that a joke, just right now?\Forget it!\Lan, wait!\Shouldn't we tell Madoka?\We will confront the next enemy attack response:	with just the two of you.
context: Where the sweats are the master, the skirt is a servant.\Huh?\Was that a joke, just right now?\Forget it!\Lan, wait!\Shouldn't we tell Madoka?\We will confront the next enemy attack\with just the two of you. response:	Make sure Kyono doesn't know about this.
context: Huh?\Was that a joke, just right now?\Forget it!\Lan, wait!\Shouldn't we tell Madoka?\We will confront the next enemy attack\with just the two of you.\Make sure Kyono doesn't know about this. response:	I think Mr. Tadokoro is right.
context: Was that a joke, just right now?\Forget it!\Lan, wait!\Shouldn't we tell Madoka?\We will confront the next enemy attack\with just the two of you.\Make sure Kyono doesn't know about this.\I think Mr. Tadokoro is right. response:	That old man can be quite thoughtful at times.
context: Forget it!\Lan, wait!\Shouldn't we tell Madoka?\We will confront the next enemy attack\with just the two of you.\Make sure Kyono doesn't know about this.\I think Mr. Tadokoro is right.\That old man can be quite thoughtful at times. response:	What are you whispering about?
context: Lan, wait!\Shouldn't we tell Madoka?\We will confront the next enemy attack\with just the two of you.\Make sure Kyono doesn't know about this.\I think Mr. Tadokoro is right.\That old man can be quite thoughtful at times.\What are you whispering about? response:	Tell me too!
context: Shouldn't we tell Madoka?\We will confront the next enemy attack\with just the two of you.\Make sure Kyono doesn't know about this.\I think Mr. Tadokoro is right.\That old man can be quite thoughtful at times.\What are you whispering about?\Tell me too! response:	It's a secret.
context: We will confront the next enemy attack\with just the two of you.\Make sure Kyono doesn't know about this.\I think Mr. Tadokoro is right.\That old man can be quite thoughtful at times.\What are you whispering about?\Tell me too!\It's a secret. response:	Huh? Lan, you're so mean!
context: with just the two of you.\Make sure Kyono doesn't know about this.\I think Mr. Tadokoro is right.\That old man can be quite thoughtful at times.\What are you whispering about?\Tell me too!\It's a secret.\Huh? Lan, you're so mean! response:	Forget about that meanie Lan, let's just go!
context: Make sure Kyono doesn't know about this.\I think Mr. Tadokoro is right.\That old man can be quite thoughtful at times.\What are you whispering about?\Tell me too!\It's a secret.\Huh? Lan, you're so mean!\Forget about that meanie Lan, let's just go! response:	Huh? Huh?!
context: I think Mr. Tadokoro is right.\That old man can be quite thoughtful at times.\What are you whispering about?\Tell me too!\It's a secret.\Huh? Lan, you're so mean!\Forget about that meanie Lan, let's just go!\Huh? Huh?! response:	Muginami, don't pull!
context: That old man can be quite thoughtful at times.\What are you whispering about?\Tell me too!\It's a secret.\Huh? Lan, you're so mean!\Forget about that meanie Lan, let's just go!\Huh? Huh?!\Muginami, don't pull! response:	The live concert starts in the afternoon.
context: What are you whispering about?\Tell me too!\It's a secret.\Huh? Lan, you're so mean!\Forget about that meanie Lan, let's just go!\Huh? Huh?!\Muginami, don't pull!\The live concert starts in the afternoon. response:	Then let's check out the haunted house first!
context: Tell me too!\It's a secret.\Huh? Lan, you're so mean!\Forget about that meanie Lan, let's just go!\Huh? Huh?!\Muginami, don't pull!\The live concert starts in the afternoon.\Then let's check out the haunted house first! response:	Sounds good!
context: It's a secret.\Huh? Lan, you're so mean!\Forget about that meanie Lan, let's just go!\Huh? Huh?!\Muginami, don't pull!\The live concert starts in the afternoon.\Then let's check out the haunted house first!\Sounds good! response:	But I'm also kind of hungry.
context: Huh? Lan, you're so mean!\Forget about that meanie Lan, let's just go!\Huh? Huh?!\Muginami, don't pull!\The live concert starts in the afternoon.\Then let's check out the haunted house first!\Sounds good!\But I'm also kind of hungry. response:	I wonder if people will come to our cafe...
context: Forget about that meanie Lan, let's just go!\Huh? Huh?!\Muginami, don't pull!\The live concert starts in the afternoon.\Then let's check out the haunted house first!\Sounds good!\But I'm also kind of hungry.\I wonder if people will come to our cafe... response:	Don't worry.
context: Huh? Huh?!\Muginami, don't pull!\The live concert starts in the afternoon.\Then let's check out the haunted house first!\Sounds good!\But I'm also kind of hungry.\I wonder if people will come to our cafe...\Don't worry. response:	You look perfect for the role, Michi. Be more confident!
context: Muginami, don't pull!\The live concert starts in the afternoon.\Then let's check out the haunted house first!\Sounds good!\But I'm also kind of hungry.\I wonder if people will come to our cafe...\Don't worry.\You look perfect for the role, Michi. Be more confident! response:	You're so lucky, Sachi.
context: The live concert starts in the afternoon.\Then let's check out the haunted house first!\Sounds good!\But I'm also kind of hungry.\I wonder if people will come to our cafe...\Don't worry.\You look perfect for the role, Michi. Be more confident!\You're so lucky, Sachi. response:	The Surfing Club attracts a lot of attention because you won the prefectural competition.
context: Then let's check out the haunted house first!\Sounds good!\But I'm also kind of hungry.\I wonder if people will come to our cafe...\Don't worry.\You look perfect for the role, Michi. Be more confident!\You're so lucky, Sachi.\The Surfing Club attracts a lot of attention because you won the prefectural competition. response:	Well, that's true.
context: Sounds good!\But I'm also kind of hungry.\I wonder if people will come to our cafe...\Don't worry.\You look perfect for the role, Michi. Be more confident!\You're so lucky, Sachi.\The Surfing Club attracts a lot of attention because you won the prefectural competition.\Well, that's true. response:	What'll we do?
context: But I'm also kind of hungry.\I wonder if people will come to our cafe...\Don't worry.\You look perfect for the role, Michi. Be more confident!\You're so lucky, Sachi.\The Surfing Club attracts a lot of attention because you won the prefectural competition.\Well, that's true.\What'll we do? response:	I'm going.
context: I wonder if people will come to our cafe...\Don't worry.\You look perfect for the role, Michi. Be more confident!\You're so lucky, Sachi.\The Surfing Club attracts a lot of attention because you won the prefectural competition.\Well, that's true.\What'll we do?\I'm going. response:	There's no way I'll let Le Garite have the Vox.
context: Don't worry.\You look perfect for the role, Michi. Be more confident!\You're so lucky, Sachi.\The Surfing Club attracts a lot of attention because you won the prefectural competition.\Well, that's true.\What'll we do?\I'm going.\There's no way I'll let Le Garite have the Vox. response:	I'm not going.
context: You look perfect for the role, Michi. Be more confident!\You're so lucky, Sachi.\The Surfing Club attracts a lot of attention because you won the prefectural competition.\Well, that's true.\What'll we do?\I'm going.\There's no way I'll let Le Garite have the Vox.\I'm not going. response:	Fine, I've already given up on you.
context: You're so lucky, Sachi.\The Surfing Club attracts a lot of attention because you won the prefectural competition.\Well, that's true.\What'll we do?\I'm going.\There's no way I'll let Le Garite have the Vox.\I'm not going.\Fine, I've already given up on you. response:	It just doesn't sit right with me
context: The Surfing Club attracts a lot of attention because you won the prefectural competition.\Well, that's true.\What'll we do?\I'm going.\There's no way I'll let Le Garite have the Vox.\I'm not going.\Fine, I've already given up on you.\It just doesn't sit right with me response:	to fight the Chairman and the people of this planet.
context: Well, that's true.\What'll we do?\I'm going.\There's no way I'll let Le Garite have the Vox.\I'm not going.\Fine, I've already given up on you.\It just doesn't sit right with me\to fight the Chairman and the people of this planet. response:	That girl has got you on her leash, that's all.
context: What'll we do?\I'm going.\There's no way I'll let Le Garite have the Vox.\I'm not going.\Fine, I've already given up on you.\It just doesn't sit right with me\to fight the Chairman and the people of this planet.\That girl has got you on her leash, that's all. response:	What?
context: I'm going.\There's no way I'll let Le Garite have the Vox.\I'm not going.\Fine, I've already given up on you.\It just doesn't sit right with me\to fight the Chairman and the people of this planet.\That girl has got you on her leash, that's all.\What? response:	So is that the extent of your feelings towards Yurikano?
context: There's no way I'll let Le Garite have the Vox.\I'm not going.\Fine, I've already given up on you.\It just doesn't sit right with me\to fight the Chairman and the people of this planet.\That girl has got you on her leash, that's all.\What?\So is that the extent of your feelings towards Yurikano? response:	Is that supposed to be a bad joke?
context: I'm not going.\Fine, I've already given up on you.\It just doesn't sit right with me\to fight the Chairman and the people of this planet.\That girl has got you on her leash, that's all.\What?\So is that the extent of your feelings towards Yurikano?\Is that supposed to be a bad joke? response:	Just what did Yurikano hope for us?
context: Fine, I've already given up on you.\It just doesn't sit right with me\to fight the Chairman and the people of this planet.\That girl has got you on her leash, that's all.\What?\So is that the extent of your feelings towards Yurikano?\Is that supposed to be a bad joke?\Just what did Yurikano hope for us? response:	When we first came to this planet,
context: It just doesn't sit right with me\to fight the Chairman and the people of this planet.\That girl has got you on her leash, that's all.\What?\So is that the extent of your feelings towards Yurikano?\Is that supposed to be a bad joke?\Just what did Yurikano hope for us?\When we first came to this planet, response:	I was determined to accomplish our goal no matter what it took.
context: to fight the Chairman and the people of this planet.\That girl has got you on her leash, that's all.\What?\So is that the extent of your feelings towards Yurikano?\Is that supposed to be a bad joke?\Just what did Yurikano hope for us?\When we first came to this planet,\I was determined to accomplish our goal no matter what it took. response:	But would Yurikano really want us to fight to avenge her death?
context: That girl has got you on her leash, that's all.\What?\So is that the extent of your feelings towards Yurikano?\Is that supposed to be a bad joke?\Just what did Yurikano hope for us?\When we first came to this planet,\I was determined to accomplish our goal no matter what it took.\But would Yurikano really want us to fight to avenge her death? response:	That's...
context: What?\So is that the extent of your feelings towards Yurikano?\Is that supposed to be a bad joke?\Just what did Yurikano hope for us?\When we first came to this planet,\I was determined to accomplish our goal no matter what it took.\But would Yurikano really want us to fight to avenge her death?\That's... response:	Is revenge worth the sacrifice of so many lives?
context: So is that the extent of your feelings towards Yurikano?\Is that supposed to be a bad joke?\Just what did Yurikano hope for us?\When we first came to this planet,\I was determined to accomplish our goal no matter what it took.\But would Yurikano really want us to fight to avenge her death?\That's...\Is revenge worth the sacrifice of so many lives? response:	Wouldn't Yurikano's greatest wish
context: Is that supposed to be a bad joke?\Just what did Yurikano hope for us?\When we first came to this planet,\I was determined to accomplish our goal no matter what it took.\But would Yurikano really want us to fight to avenge her death?\That's...\Is revenge worth the sacrifice of so many lives?\Wouldn't Yurikano's greatest wish response:	be to stop the Vox from causing any more suffering?
context: Just what did Yurikano hope for us?\When we first came to this planet,\I was determined to accomplish our goal no matter what it took.\But would Yurikano really want us to fight to avenge her death?\That's...\Is revenge worth the sacrifice of so many lives?\Wouldn't Yurikano's greatest wish\be to stop the Vox from causing any more suffering? response:	The Ghost Mansion
context: When we first came to this planet,\I was determined to accomplish our goal no matter what it took.\But would Yurikano really want us to fight to avenge her death?\That's...\Is revenge worth the sacrifice of so many lives?\Wouldn't Yurikano's greatest wish\be to stop the Vox from causing any more suffering?\The Ghost Mansion response:	The Ghost Mansion
context: I was determined to accomplish our goal no matter what it took.\But would Yurikano really want us to fight to avenge her death?\That's...\Is revenge worth the sacrifice of so many lives?\Wouldn't Yurikano's greatest wish\be to stop the Vox from causing any more suffering?\The Ghost Mansion\The Ghost Mansion response:	You two helped this club with their makeup, right?
context: But would Yurikano really want us to fight to avenge her death?\That's...\Is revenge worth the sacrifice of so many lives?\Wouldn't Yurikano's greatest wish\be to stop the Vox from causing any more suffering?\The Ghost Mansion\The Ghost Mansion\You two helped this club with their makeup, right? response:	Want to go in?
context: That's...\Is revenge worth the sacrifice of so many lives?\Wouldn't Yurikano's greatest wish\be to stop the Vox from causing any more suffering?\The Ghost Mansion\The Ghost Mansion\You two helped this club with their makeup, right?\Want to go in? response:	No thanks, it's so silly.
context: Is revenge worth the sacrifice of so many lives?\Wouldn't Yurikano's greatest wish\be to stop the Vox from causing any more suffering?\The Ghost Mansion\The Ghost Mansion\You two helped this club with their makeup, right?\Want to go in?\No thanks, it's so silly. response:	Oh! You're afraid of ghosts, right, Lan?
context: Wouldn't Yurikano's greatest wish\be to stop the Vox from causing any more suffering?\The Ghost Mansion\The Ghost Mansion\You two helped this club with their makeup, right?\Want to go in?\No thanks, it's so silly.\Oh! You're afraid of ghosts, right, Lan? response:	Absolutely not! I did the makeup, after all.
context: be to stop the Vox from causing any more suffering?\The Ghost Mansion\The Ghost Mansion\You two helped this club with their makeup, right?\Want to go in?\No thanks, it's so silly.\Oh! You're afraid of ghosts, right, Lan?\Absolutely not! I did the makeup, after all. response:	I hate this, I'm leaving!
context: The Ghost Mansion\The Ghost Mansion\You two helped this club with their makeup, right?\Want to go in?\No thanks, it's so silly.\Oh! You're afraid of ghosts, right, Lan?\Absolutely not! I did the makeup, after all.\I hate this, I'm leaving! response:	I want to go home, Brother!
context: The Ghost Mansion\You two helped this club with their makeup, right?\Want to go in?\No thanks, it's so silly.\Oh! You're afraid of ghosts, right, Lan?\Absolutely not! I did the makeup, after all.\I hate this, I'm leaving!\I want to go home, Brother! response:	Lan, are you all right?
context: You two helped this club with their makeup, right?\Want to go in?\No thanks, it's so silly.\Oh! You're afraid of ghosts, right, Lan?\Absolutely not! I did the makeup, after all.\I hate this, I'm leaving!\I want to go home, Brother!\Lan, are you all right? response:	Sorry about that.
context: Want to go in?\No thanks, it's so silly.\Oh! You're afraid of ghosts, right, Lan?\Absolutely not! I did the makeup, after all.\I hate this, I'm leaving!\I want to go home, Brother!\Lan, are you all right?\Sorry about that. response:	Care to try some corn on the cob?
context: No thanks, it's so silly.\Oh! You're afraid of ghosts, right, Lan?\Absolutely not! I did the makeup, after all.\I hate this, I'm leaving!\I want to go home, Brother!\Lan, are you all right?\Sorry about that.\Care to try some corn on the cob? response:	I'm leaving! I want to go home, Brother!
context: Oh! You're afraid of ghosts, right, Lan?\Absolutely not! I did the makeup, after all.\I hate this, I'm leaving!\I want to go home, Brother!\Lan, are you all right?\Sorry about that.\Care to try some corn on the cob?\I'm leaving! I want to go home, Brother! response:	Lan, your eyes are all red!
context: Absolutely not! I did the makeup, after all.\I hate this, I'm leaving!\I want to go home, Brother!\Lan, are you all right?\Sorry about that.\Care to try some corn on the cob?\I'm leaving! I want to go home, Brother!\Lan, your eyes are all red! response:	You're mean!
context: I hate this, I'm leaving!\I want to go home, Brother!\Lan, are you all right?\Sorry about that.\Care to try some corn on the cob?\I'm leaving! I want to go home, Brother!\Lan, your eyes are all red!\You're mean! response:	Here!
context: I want to go home, Brother!\Lan, are you all right?\Sorry about that.\Care to try some corn on the cob?\I'm leaving! I want to go home, Brother!\Lan, your eyes are all red!\You're mean!\Here! response:	Eat this and cheer up.
context: Lan, are you all right?\Sorry about that.\Care to try some corn on the cob?\I'm leaving! I want to go home, Brother!\Lan, your eyes are all red!\You're mean!\Here!\Eat this and cheer up. response:	There are so many people...
context: Sorry about that.\Care to try some corn on the cob?\I'm leaving! I want to go home, Brother!\Lan, your eyes are all red!\You're mean!\Here!\Eat this and cheer up.\There are so many people... response:	I was so touched.
context: Care to try some corn on the cob?\I'm leaving! I want to go home, Brother!\Lan, your eyes are all red!\You're mean!\Here!\Eat this and cheer up.\There are so many people...\I was so touched. response:	Me too.
context: I'm leaving! I want to go home, Brother!\Lan, your eyes are all red!\You're mean!\Here!\Eat this and cheer up.\There are so many people...\I was so touched.\Me too. response:	Especially that last scene, where...
context: Lan, your eyes are all red!\You're mean!\Here!\Eat this and cheer up.\There are so many people...\I was so touched.\Me too.\Especially that last scene, where... response:	What? Is that you, Madoka?
context: You're mean!\Here!\Eat this and cheer up.\There are so many people...\I was so touched.\Me too.\Especially that last scene, where...\What? Is that you, Madoka? response:	No way...
context: Here!\Eat this and cheer up.\There are so many people...\I was so touched.\Me too.\Especially that last scene, where...\What? Is that you, Madoka?\No way... response:	What a transformation.
context: Eat this and cheer up.\There are so many people...\I was so touched.\Me too.\Especially that last scene, where...\What? Is that you, Madoka?\No way...\What a transformation. response:	Oh, Madoka!
context: There are so many people...\I was so touched.\Me too.\Especially that last scene, where...\What? Is that you, Madoka?\No way...\What a transformation.\Oh, Madoka! response:	It's amazing! It's a huge hit!
context: I was so touched.\Me too.\Especially that last scene, where...\What? Is that you, Madoka?\No way...\What a transformation.\Oh, Madoka!\It's amazing! It's a huge hit! response:	And it's all thanks to you.
context: Me too.\Especially that last scene, where...\What? Is that you, Madoka?\No way...\What a transformation.\Oh, Madoka!\It's amazing! It's a huge hit!\And it's all thanks to you. response:	Oh, it's nothing.
context: Especially that last scene, where...\What? Is that you, Madoka?\No way...\What a transformation.\Oh, Madoka!\It's amazing! It's a huge hit!\And it's all thanks to you.\Oh, it's nothing. response:	I must say, when the lead actress is attractive,
context: What? Is that you, Madoka?\No way...\What a transformation.\Oh, Madoka!\It's amazing! It's a huge hit!\And it's all thanks to you.\Oh, it's nothing.\I must say, when the lead actress is attractive, response:	the film just blossoms...
context: No way...\What a transformation.\Oh, Madoka!\It's amazing! It's a huge hit!\And it's all thanks to you.\Oh, it's nothing.\I must say, when the lead actress is attractive,\the film just blossoms... response:	Oh, who are these two?
context: What a transformation.\Oh, Madoka!\It's amazing! It's a huge hit!\And it's all thanks to you.\Oh, it's nothing.\I must say, when the lead actress is attractive,\the film just blossoms...\Oh, who are these two? response:	Huh? Oh, they're members of our club.
context: Oh, Madoka!\It's amazing! It's a huge hit!\And it's all thanks to you.\Oh, it's nothing.\I must say, when the lead actress is attractive,\the film just blossoms...\Oh, who are these two?\Huh? Oh, they're members of our club. response:	Marvelous!
context: It's amazing! It's a huge hit!\And it's all thanks to you.\Oh, it's nothing.\I must say, when the lead actress is attractive,\the film just blossoms...\Oh, who are these two?\Huh? Oh, they're members of our club.\Marvelous! response:	Please! You both must be in our next film!
context: And it's all thanks to you.\Oh, it's nothing.\I must say, when the lead actress is attractive,\the film just blossoms...\Oh, who are these two?\Huh? Oh, they're members of our club.\Marvelous!\Please! You both must be in our next film! response:	Be in?
context: Oh, it's nothing.\I must say, when the lead actress is attractive,\the film just blossoms...\Oh, who are these two?\Huh? Oh, they're members of our club.\Marvelous!\Please! You both must be in our next film!\Be in? response:	Oh, just looking at you gets my creative juices flowing!
context: I must say, when the lead actress is attractive,\the film just blossoms...\Oh, who are these two?\Huh? Oh, they're members of our club.\Marvelous!\Please! You both must be in our next film!\Be in?\Oh, just looking at you gets my creative juices flowing! response:	Oh...
context: the film just blossoms...\Oh, who are these two?\Huh? Oh, they're members of our club.\Marvelous!\Please! You both must be in our next film!\Be in?\Oh, just looking at you gets my creative juices flowing!\Oh... response:	Let's see, where to next?
context: Oh, who are these two?\Huh? Oh, they're members of our club.\Marvelous!\Please! You both must be in our next film!\Be in?\Oh, just looking at you gets my creative juices flowing!\Oh...\Let's see, where to next? response:	Would you like to take a picture?
context: Huh? Oh, they're members of our club.\Marvelous!\Please! You both must be in our next film!\Be in?\Oh, just looking at you gets my creative juices flowing!\Oh...\Let's see, where to next?\Would you like to take a picture? response:	We'll print it right out for you.
context: Marvelous!\Please! You both must be in our next film!\Be in?\Oh, just looking at you gets my creative juices flowing!\Oh...\Let's see, where to next?\Would you like to take a picture?\We'll print it right out for you. response:	Can you crouch down a little more?
context: Please! You both must be in our next film!\Be in?\Oh, just looking at you gets my creative juices flowing!\Oh...\Let's see, where to next?\Would you like to take a picture?\We'll print it right out for you.\Can you crouch down a little more? response:	Wow, she's amazing!
context: Be in?\Oh, just looking at you gets my creative juices flowing!\Oh...\Let's see, where to next?\Would you like to take a picture?\We'll print it right out for you.\Can you crouch down a little more?\Wow, she's amazing! response:	All her shots are double taps!
context: Oh, just looking at you gets my creative juices flowing!\Oh...\Let's see, where to next?\Would you like to take a picture?\We'll print it right out for you.\Can you crouch down a little more?\Wow, she's amazing!\All her shots are double taps! response:	Raise the level of difficulty!
context: Oh...\Let's see, where to next?\Would you like to take a picture?\We'll print it right out for you.\Can you crouch down a little more?\Wow, she's amazing!\All her shots are double taps!\Raise the level of difficulty! response:	This doesn't even count as practice.
context: Let's see, where to next?\Would you like to take a picture?\We'll print it right out for you.\Can you crouch down a little more?\Wow, she's amazing!\All her shots are double taps!\Raise the level of difficulty!\This doesn't even count as practice. response:	Asteria?
context: Would you like to take a picture?\We'll print it right out for you.\Can you crouch down a little more?\Wow, she's amazing!\All her shots are double taps!\Raise the level of difficulty!\This doesn't even count as practice.\Asteria? response:	Ah, there you are.
context: We'll print it right out for you.\Can you crouch down a little more?\Wow, she's amazing!\All her shots are double taps!\Raise the level of difficulty!\This doesn't even count as practice.\Asteria?\Ah, there you are. response:	This Japanese carnival is not as spectacular as I had imagined.
context: Can you crouch down a little more?\Wow, she's amazing!\All her shots are double taps!\Raise the level of difficulty!\This doesn't even count as practice.\Asteria?\Ah, there you are.\This Japanese carnival is not as spectacular as I had imagined. response:	Well, this is a high school arts festival.
context: Wow, she's amazing!\All her shots are double taps!\Raise the level of difficulty!\This doesn't even count as practice.\Asteria?\Ah, there you are.\This Japanese carnival is not as spectacular as I had imagined.\Well, this is a high school arts festival. response:	Asteria, what are you doing here?
context: All her shots are double taps!\Raise the level of difficulty!\This doesn't even count as practice.\Asteria?\Ah, there you are.\This Japanese carnival is not as spectacular as I had imagined.\Well, this is a high school arts festival.\Asteria, what are you doing here? response:	Well...
context: Raise the level of difficulty!\This doesn't even count as practice.\Asteria?\Ah, there you are.\This Japanese carnival is not as spectacular as I had imagined.\Well, this is a high school arts festival.\Asteria, what are you doing here?\Well... response:	Lan!
context: This doesn't even count as practice.\Asteria?\Ah, there you are.\This Japanese carnival is not as spectacular as I had imagined.\Well, this is a high school arts festival.\Asteria, what are you doing here?\Well...\Lan! response:	I found you at last!
