context: E-E-Everyone... response:	X791, Port Hargeon.
context: And standing quietly on a hillside far from the the heart of the city...\Fairy Tail, X791!\Romeo isn't home yet?!\I bet Al and Bisca ditched him and went off to snuggle!\Ah, pipe down.\You're too old for these outbursts, so take it easy, Macao.\I told you to call me Master, Wakaba!\I've never seen a master with less dignity than you! 4th Guild Master, my ass! response:	You do realize you're supposed to be the master's advisor?!
context: Fairy Tail, X791!\Romeo isn't home yet?!\I bet Al and Bisca ditched him and went off to snuggle!\Ah, pipe down.\You're too old for these outbursts, so take it easy, Macao.\I told you to call me Master, Wakaba!\I've never seen a master with less dignity than you! 4th Guild Master, my ass!\You do realize you're supposed to be the master's advisor?! response:	At any rate...
context: Romeo isn't home yet?!\I bet Al and Bisca ditched him and went off to snuggle!\Ah, pipe down.\You're too old for these outbursts, so take it easy, Macao.\I told you to call me Master, Wakaba!\I've never seen a master with less dignity than you! 4th Guild Master, my ass!\You do realize you're supposed to be the master's advisor?!\At any rate... response:	Have we been losing members again?
context: I bet Al and Bisca ditched him and went off to snuggle!\Ah, pipe down.\You're too old for these outbursts, so take it easy, Macao.\I told you to call me Master, Wakaba!\I've never seen a master with less dignity than you! 4th Guild Master, my ass!\You do realize you're supposed to be the master's advisor?!\At any rate...\Have we been losing members again? response:	It can't be helped, Max.
context: Ah, pipe down.\You're too old for these outbursts, so take it easy, Macao.\I told you to call me Master, Wakaba!\I've never seen a master with less dignity than you! 4th Guild Master, my ass!\You do realize you're supposed to be the master's advisor?!\At any rate...\Have we been losing members again?\It can't be helped, Max. response:	They don't give the good jobs to a minor guild like ours.
context: You're too old for these outbursts, so take it easy, Macao.\I told you to call me Master, Wakaba!\I've never seen a master with less dignity than you! 4th Guild Master, my ass!\You do realize you're supposed to be the master's advisor?!\At any rate...\Have we been losing members again?\It can't be helped, Max.\They don't give the good jobs to a minor guild like ours. response:	Warren, just look at how few jobs there are!
context: I told you to call me Master, Wakaba!\I've never seen a master with less dignity than you! 4th Guild Master, my ass!\You do realize you're supposed to be the master's advisor?!\At any rate...\Have we been losing members again?\It can't be helped, Max.\They don't give the good jobs to a minor guild like ours.\Warren, just look at how few jobs there are! response:	It's got nothing to do with you.
context: I've never seen a master with less dignity than you! 4th Guild Master, my ass!\You do realize you're supposed to be the master's advisor?!\At any rate...\Have we been losing members again?\It can't be helped, Max.\They don't give the good jobs to a minor guild like ours.\Warren, just look at how few jobs there are!\It's got nothing to do with you. response:	You haven't been out on a job in seven years, Nab!
context: You do realize you're supposed to be the master's advisor?!\At any rate...\Have we been losing members again?\It can't be helped, Max.\They don't give the good jobs to a minor guild like ours.\Warren, just look at how few jobs there are!\It's got nothing to do with you.\You haven't been out on a job in seven years, Nab! response:	Look at this!
context: At any rate...\Have we been losing members again?\It can't be helped, Max.\They don't give the good jobs to a minor guild like ours.\Warren, just look at how few jobs there are!\It's got nothing to do with you.\You haven't been out on a job in seven years, Nab!\Look at this! response:	Visitar Ecor has completed his new dance!
context: Have we been losing members again?\It can't be helped, Max.\They don't give the good jobs to a minor guild like ours.\Warren, just look at how few jobs there are!\It's got nothing to do with you.\You haven't been out on a job in seven years, Nab!\Look at this!\Visitar Ecor has completed his new dance! response:	I call it the Puny Dance!
context: It can't be helped, Max.\They don't give the good jobs to a minor guild like ours.\Warren, just look at how few jobs there are!\It's got nothing to do with you.\You haven't been out on a job in seven years, Nab!\Look at this!\Visitar Ecor has completed his new dance!\I call it the Puny Dance! response:	It disgusts me, so get him out of here!
context: They don't give the good jobs to a minor guild like ours.\Warren, just look at how few jobs there are!\It's got nothing to do with you.\You haven't been out on a job in seven years, Nab!\Look at this!\Visitar Ecor has completed his new dance!\I call it the Puny Dance!\It disgusts me, so get him out of here! response:	Kinana-chan, bring me another one of these!
context: Warren, just look at how few jobs there are!\It's got nothing to do with you.\You haven't been out on a job in seven years, Nab!\Look at this!\Visitar Ecor has completed his new dance!\I call it the Puny Dance!\It disgusts me, so get him out of here!\Kinana-chan, bring me another one of these! response:	Sure!
context: It's got nothing to do with you.\You haven't been out on a job in seven years, Nab!\Look at this!\Visitar Ecor has completed his new dance!\I call it the Puny Dance!\It disgusts me, so get him out of here!\Kinana-chan, bring me another one of these!\Sure! response:	Hey, Droy, are you putting more stress on the ground these days?
context: You haven't been out on a job in seven years, Nab!\Look at this!\Visitar Ecor has completed his new dance!\I call it the Puny Dance!\It disgusts me, so get him out of here!\Kinana-chan, bring me another one of these!\Sure!\Hey, Droy, are you putting more stress on the ground these days? response:	You trying to say I got fatter, wench?!
context: Look at this!\Visitar Ecor has completed his new dance!\I call it the Puny Dance!\It disgusts me, so get him out of here!\Kinana-chan, bring me another one of these!\Sure!\Hey, Droy, are you putting more stress on the ground these days?\You trying to say I got fatter, wench?! response:	Don't take it out on Laki. And don't you have any self-awareness?
context: Visitar Ecor has completed his new dance!\I call it the Puny Dance!\It disgusts me, so get him out of here!\Kinana-chan, bring me another one of these!\Sure!\Hey, Droy, are you putting more stress on the ground these days?\You trying to say I got fatter, wench?!\Don't take it out on Laki. And don't you have any self-awareness? response:	Look at Reedus! See how slim he's gotten?!
context: I call it the Puny Dance!\It disgusts me, so get him out of here!\Kinana-chan, bring me another one of these!\Sure!\Hey, Droy, are you putting more stress on the ground these days?\You trying to say I got fatter, wench?!\Don't take it out on Laki. And don't you have any self-awareness?\Look at Reedus! See how slim he's gotten?! response:	Oui. This is my true form.
context: It disgusts me, so get him out of here!\Kinana-chan, bring me another one of these!\Sure!\Hey, Droy, are you putting more stress on the ground these days?\You trying to say I got fatter, wench?!\Don't take it out on Laki. And don't you have any self-awareness?\Look at Reedus! See how slim he's gotten?!\Oui. This is my true form. response:	I've been in training!
context: Kinana-chan, bring me another one of these!\Sure!\Hey, Droy, are you putting more stress on the ground these days?\You trying to say I got fatter, wench?!\Don't take it out on Laki. And don't you have any self-awareness?\Look at Reedus! See how slim he's gotten?!\Oui. This is my true form.\I've been in training! response:	Can't you tell from these muscles?!
context: Sure!\Hey, Droy, are you putting more stress on the ground these days?\You trying to say I got fatter, wench?!\Don't take it out on Laki. And don't you have any self-awareness?\Look at Reedus! See how slim he's gotten?!\Oui. This is my true form.\I've been in training!\Can't you tell from these muscles?! response:	And see how ladylike Kinana has become!
context: Hey, Droy, are you putting more stress on the ground these days?\You trying to say I got fatter, wench?!\Don't take it out on Laki. And don't you have any self-awareness?\Look at Reedus! See how slim he's gotten?!\Oui. This is my true form.\I've been in training!\Can't you tell from these muscles?!\And see how ladylike Kinana has become! response:	Compared to her, you're...
context: You trying to say I got fatter, wench?!\Don't take it out on Laki. And don't you have any self-awareness?\Look at Reedus! See how slim he's gotten?!\Oui. This is my true form.\I've been in training!\Can't you tell from these muscles?!\And see how ladylike Kinana has become!\Compared to her, you're... response:	Shut up! I'm trying to increase my magic power by eating!
context: Don't take it out on Laki. And don't you have any self-awareness?\Look at Reedus! See how slim he's gotten?!\Oui. This is my true form.\I've been in training!\Can't you tell from these muscles?!\And see how ladylike Kinana has become!\Compared to her, you're...\Shut up! I'm trying to increase my magic power by eating! response:	Both of you, cut it out!
context: Look at Reedus! See how slim he's gotten?!\Oui. This is my true form.\I've been in training!\Can't you tell from these muscles?!\And see how ladylike Kinana has become!\Compared to her, you're...\Shut up! I'm trying to increase my magic power by eating!\Both of you, cut it out! response:	Jeez. What would Levy say if she could see you now?
context: Oui. This is my true form.\I've been in training!\Can't you tell from these muscles?!\And see how ladylike Kinana has become!\Compared to her, you're...\Shut up! I'm trying to increase my magic power by eating!\Both of you, cut it out!\Jeez. What would Levy say if she could see you now? response:	Levy's not coming home!
context: I've been in training!\Can't you tell from these muscles?!\And see how ladylike Kinana has become!\Compared to her, you're...\Shut up! I'm trying to increase my magic power by eating!\Both of you, cut it out!\Jeez. What would Levy say if she could see you now?\Levy's not coming home! response:	Oui...
context: Can't you tell from these muscles?!\And see how ladylike Kinana has become!\Compared to her, you're...\Shut up! I'm trying to increase my magic power by eating!\Both of you, cut it out!\Jeez. What would Levy say if she could see you now?\Levy's not coming home!\Oui... response:	Well, well...
context: And see how ladylike Kinana has become!\Compared to her, you're...\Shut up! I'm trying to increase my magic power by eating!\Both of you, cut it out!\Jeez. What would Levy say if she could see you now?\Levy's not coming home!\Oui...\Well, well... response:	As always, this place is dead from the afternoon on...
context: Compared to her, you're...\Shut up! I'm trying to increase my magic power by eating!\Both of you, cut it out!\Jeez. What would Levy say if she could see you now?\Levy's not coming home!\Oui...\Well, well...\As always, this place is dead from the afternoon on... response:	That's what I hate about pissant guilds!
context: Shut up! I'm trying to increase my magic power by eating!\Both of you, cut it out!\Jeez. What would Levy say if she could see you now?\Levy's not coming home!\Oui...\Well, well...\As always, this place is dead from the afternoon on...\That's what I hate about pissant guilds! response:	There's no spirit here!
context: Both of you, cut it out!\Jeez. What would Levy say if she could see you now?\Levy's not coming home!\Oui...\Well, well...\As always, this place is dead from the afternoon on...\That's what I hate about pissant guilds!\There's no spirit here! response:	Teebo...
context: Jeez. What would Levy say if she could see you now?\Levy's not coming home!\Oui...\Well, well...\As always, this place is dead from the afternoon on...\That's what I hate about pissant guilds!\There's no spirit here!\Teebo... response:	I told you to stay away from here!
context: Levy's not coming home!\Oui...\Well, well...\As always, this place is dead from the afternoon on...\That's what I hate about pissant guilds!\There's no spirit here!\Teebo...\I told you to stay away from here! response:	Hey, hey. Is that any way to talk to us...
context: Oui...\Well, well...\As always, this place is dead from the afternoon on...\That's what I hate about pissant guilds!\There's no spirit here!\Teebo...\I told you to stay away from here!\Hey, hey. Is that any way to talk to us... response:	Members of Magnolia's number one wizard guild, Twilight Ogre?
context: Well, well...\As always, this place is dead from the afternoon on...\That's what I hate about pissant guilds!\There's no spirit here!\Teebo...\I told you to stay away from here!\Hey, hey. Is that any way to talk to us...\Members of Magnolia's number one wizard guild, Twilight Ogre? response:	You may once have been the strongest guild in Fiore, but that era is over.
context: As always, this place is dead from the afternoon on...\That's what I hate about pissant guilds!\There's no spirit here!\Teebo...\I told you to stay away from here!\Hey, hey. Is that any way to talk to us...\Members of Magnolia's number one wizard guild, Twilight Ogre?\You may once have been the strongest guild in Fiore, but that era is over. response:	Between this ramshackle old tavern and Twilight Ogre,
context: That's what I hate about pissant guilds!\There's no spirit here!\Teebo...\I told you to stay away from here!\Hey, hey. Is that any way to talk to us...\Members of Magnolia's number one wizard guild, Twilight Ogre?\You may once have been the strongest guild in Fiore, but that era is over.\Between this ramshackle old tavern and Twilight Ogre, response:	the wizard guild of the new age, one glance is all it takes
context: There's no spirit here!\Teebo...\I told you to stay away from here!\Hey, hey. Is that any way to talk to us...\Members of Magnolia's number one wizard guild, Twilight Ogre?\You may once have been the strongest guild in Fiore, but that era is over.\Between this ramshackle old tavern and Twilight Ogre,\the wizard guild of the new age, one glance is all it takes response:	to tell which is more useful to the development and progress of Magnolia.
context: Teebo...\I told you to stay away from here!\Hey, hey. Is that any way to talk to us...\Members of Magnolia's number one wizard guild, Twilight Ogre?\You may once have been the strongest guild in Fiore, but that era is over.\Between this ramshackle old tavern and Twilight Ogre,\the wizard guild of the new age, one glance is all it takes\to tell which is more useful to the development and progress of Magnolia. response:	Acting big just because you've got a huge guild...
context: I told you to stay away from here!\Hey, hey. Is that any way to talk to us...\Members of Magnolia's number one wizard guild, Twilight Ogre?\You may once have been the strongest guild in Fiore, but that era is over.\Between this ramshackle old tavern and Twilight Ogre,\the wizard guild of the new age, one glance is all it takes\to tell which is more useful to the development and progress of Magnolia.\Acting big just because you've got a huge guild... response:	That's right! We've got soul!
context: Hey, hey. Is that any way to talk to us...\Members of Magnolia's number one wizard guild, Twilight Ogre?\You may once have been the strongest guild in Fiore, but that era is over.\Between this ramshackle old tavern and Twilight Ogre,\the wizard guild of the new age, one glance is all it takes\to tell which is more useful to the development and progress of Magnolia.\Acting big just because you've got a huge guild...\That's right! We've got soul! response:	Soul doesn't put food on the plate.
context: Members of Magnolia's number one wizard guild, Twilight Ogre?\You may once have been the strongest guild in Fiore, but that era is over.\Between this ramshackle old tavern and Twilight Ogre,\the wizard guild of the new age, one glance is all it takes\to tell which is more useful to the development and progress of Magnolia.\Acting big just because you've got a huge guild...\That's right! We've got soul!\Soul doesn't put food on the plate. response:	What'd you come here for, Teebo?!
context: You may once have been the strongest guild in Fiore, but that era is over.\Between this ramshackle old tavern and Twilight Ogre,\the wizard guild of the new age, one glance is all it takes\to tell which is more useful to the development and progress of Magnolia.\Acting big just because you've got a huge guild...\That's right! We've got soul!\Soul doesn't put food on the plate.\What'd you come here for, Teebo?! response:	This month's money!
context: Between this ramshackle old tavern and Twilight Ogre,\the wizard guild of the new age, one glance is all it takes\to tell which is more useful to the development and progress of Magnolia.\Acting big just because you've got a huge guild...\That's right! We've got soul!\Soul doesn't put food on the plate.\What'd you come here for, Teebo?!\This month's money! response:	You didn't pay them yet, Macao?
context: the wizard guild of the new age, one glance is all it takes\to tell which is more useful to the development and progress of Magnolia.\Acting big just because you've got a huge guild...\That's right! We've got soul!\Soul doesn't put food on the plate.\What'd you come here for, Teebo?!\This month's money!\You didn't pay them yet, Macao? response:	Call me Master, damn it!
context: to tell which is more useful to the development and progress of Magnolia.\Acting big just because you've got a huge guild...\That's right! We've got soul!\Soul doesn't put food on the plate.\What'd you come here for, Teebo?!\This month's money!\You didn't pay them yet, Macao?\Call me Master, damn it! response:	You people are late repaying your debt.
context: Acting big just because you've got a huge guild...\That's right! We've got soul!\Soul doesn't put food on the plate.\What'd you come here for, Teebo?!\This month's money!\You didn't pay them yet, Macao?\Call me Master, damn it!\You people are late repaying your debt. response:	We didn't get any decent jobs this month!
context: That's right! We've got soul!\Soul doesn't put food on the plate.\What'd you come here for, Teebo?!\This month's money!\You didn't pay them yet, Macao?\Call me Master, damn it!\You people are late repaying your debt.\We didn't get any decent jobs this month! response:	I'll pay you double next month, so just be patient!
context: Soul doesn't put food on the plate.\What'd you come here for, Teebo?!\This month's money!\You didn't pay them yet, Macao?\Call me Master, damn it!\You people are late repaying your debt.\We didn't get any decent jobs this month!\I'll pay you double next month, so just be patient! response:	Whoa, whoa. Who was it that saved this beat-up tavern
context: What'd you come here for, Teebo?!\This month's money!\You didn't pay them yet, Macao?\Call me Master, damn it!\You people are late repaying your debt.\We didn't get any decent jobs this month!\I'll pay you double next month, so just be patient!\Whoa, whoa. Who was it that saved this beat-up tavern response:	when it was on the brink of collapse?
context: This month's money!\You didn't pay them yet, Macao?\Call me Master, damn it!\You people are late repaying your debt.\We didn't get any decent jobs this month!\I'll pay you double next month, so just be patient!\Whoa, whoa. Who was it that saved this beat-up tavern\when it was on the brink of collapse? response:	We took on your debt for you, remember?
context: You didn't pay them yet, Macao?\Call me Master, damn it!\You people are late repaying your debt.\We didn't get any decent jobs this month!\I'll pay you double next month, so just be patient!\Whoa, whoa. Who was it that saved this beat-up tavern\when it was on the brink of collapse?\We took on your debt for you, remember? response:	And if we knew how ridiculously high the interest was gonna be,
context: Call me Master, damn it!\You people are late repaying your debt.\We didn't get any decent jobs this month!\I'll pay you double next month, so just be patient!\Whoa, whoa. Who was it that saved this beat-up tavern\when it was on the brink of collapse?\We took on your debt for you, remember?\And if we knew how ridiculously high the interest was gonna be, response:	we never would've turned to you...
context: You people are late repaying your debt.\We didn't get any decent jobs this month!\I'll pay you double next month, so just be patient!\Whoa, whoa. Who was it that saved this beat-up tavern\when it was on the brink of collapse?\We took on your debt for you, remember?\And if we knew how ridiculously high the interest was gonna be,\we never would've turned to you... response:	Did you say something, asswipe?!
context: We didn't get any decent jobs this month!\I'll pay you double next month, so just be patient!\Whoa, whoa. Who was it that saved this beat-up tavern\when it was on the brink of collapse?\We took on your debt for you, remember?\And if we knew how ridiculously high the interest was gonna be,\we never would've turned to you...\Did you say something, asswipe?! response:	Enough, Jet!
context: I'll pay you double next month, so just be patient!\Whoa, whoa. Who was it that saved this beat-up tavern\when it was on the brink of collapse?\We took on your debt for you, remember?\And if we knew how ridiculously high the interest was gonna be,\we never would've turned to you...\Did you say something, asswipe?!\Enough, Jet! response:	But...
context: Whoa, whoa. Who was it that saved this beat-up tavern\when it was on the brink of collapse?\We took on your debt for you, remember?\And if we knew how ridiculously high the interest was gonna be,\we never would've turned to you...\Did you say something, asswipe?!\Enough, Jet!\But... response:	Wait'til next month, and I promise I'll pay!
context: when it was on the brink of collapse?\We took on your debt for you, remember?\And if we knew how ridiculously high the interest was gonna be,\we never would've turned to you...\Did you say something, asswipe?!\Enough, Jet!\But...\Wait'til next month, and I promise I'll pay! response:	Macao!
context: We took on your debt for you, remember?\And if we knew how ridiculously high the interest was gonna be,\we never would've turned to you...\Did you say something, asswipe?!\Enough, Jet!\But...\Wait'til next month, and I promise I'll pay!\Macao! response:	Master!
context: And if we knew how ridiculously high the interest was gonna be,\we never would've turned to you...\Did you say something, asswipe?!\Enough, Jet!\But...\Wait'til next month, and I promise I'll pay!\Macao!\Master! response:	All the way across the room!
context: we never would've turned to you...\Did you say something, asswipe?!\Enough, Jet!\But...\Wait'til next month, and I promise I'll pay!\Macao!\Master!\All the way across the room! response:	He did a first-rate job of flyin' backwards!
context: Did you say something, asswipe?!\Enough, Jet!\But...\Wait'til next month, and I promise I'll pay!\Macao!\Master!\All the way across the room!\He did a first-rate job of flyin' backwards! response:	Bastards!
context: Enough, Jet!\But...\Wait'til next month, and I promise I'll pay!\Macao!\Master!\All the way across the room!\He did a first-rate job of flyin' backwards!\Bastards! response:	How dare you?!
context: But...\Wait'til next month, and I promise I'll pay!\Macao!\Master!\All the way across the room!\He did a first-rate job of flyin' backwards!\Bastards!\How dare you?! response:	You want a go at us?
context: Wait'til next month, and I promise I'll pay!\Macao!\Master!\All the way across the room!\He did a first-rate job of flyin' backwards!\Bastards!\How dare you?!\You want a go at us? response:	Don't do anything!
context: Macao!\Master!\All the way across the room!\He did a first-rate job of flyin' backwards!\Bastards!\How dare you?!\You want a go at us?\Don't do anything! response:	You heard the man. Suck it up!
context: Master!\All the way across the room!\He did a first-rate job of flyin' backwards!\Bastards!\How dare you?!\You want a go at us?\Don't do anything!\You heard the man. Suck it up! response:	Pathetic!
context: All the way across the room!\He did a first-rate job of flyin' backwards!\Bastards!\How dare you?!\You want a go at us?\Don't do anything!\You heard the man. Suck it up!\Pathetic! response:	This is the legendary Fairy Tail?!
context: He did a first-rate job of flyin' backwards!\Bastards!\How dare you?!\You want a go at us?\Don't do anything!\You heard the man. Suck it up!\Pathetic!\This is the legendary Fairy Tail?! response:	Way lame!
context: Bastards!\How dare you?!\You want a go at us?\Don't do anything!\You heard the man. Suck it up!\Pathetic!\This is the legendary Fairy Tail?!\Way lame! response:	How about joinin' us?
context: How dare you?!\You want a go at us?\Don't do anything!\You heard the man. Suck it up!\Pathetic!\This is the legendary Fairy Tail?!\Way lame!\How about joinin' us? response:	Well, that was good for a laugh. Let's go.
context: You want a go at us?\Don't do anything!\You heard the man. Suck it up!\Pathetic!\This is the legendary Fairy Tail?!\Way lame!\How about joinin' us?\Well, that was good for a laugh. Let's go. response:	Right!
context: Don't do anything!\You heard the man. Suck it up!\Pathetic!\This is the legendary Fairy Tail?!\Way lame!\How about joinin' us?\Well, that was good for a laugh. Let's go.\Right! response:	Don't you forget. Next month.
context: You heard the man. Suck it up!\Pathetic!\This is the legendary Fairy Tail?!\Way lame!\How about joinin' us?\Well, that was good for a laugh. Let's go.\Right!\Don't you forget. Next month. response:	Master...
context: Pathetic!\This is the legendary Fairy Tail?!\Way lame!\How about joinin' us?\Well, that was good for a laugh. Let's go.\Right!\Don't you forget. Next month.\Master... response:	Oui...?
context: This is the legendary Fairy Tail?!\Way lame!\How about joinin' us?\Well, that was good for a laugh. Let's go.\Right!\Don't you forget. Next month.\Master...\Oui...? response:	It's been seven years, huh?
context: Way lame!\How about joinin' us?\Well, that was good for a laugh. Let's go.\Right!\Don't you forget. Next month.\Master...\Oui...?\It's been seven years, huh? response:	That long?
context: How about joinin' us?\Well, that was good for a laugh. Let's go.\Right!\Don't you forget. Next month.\Master...\Oui...?\It's been seven years, huh?\That long? response:	I'm feelin' nostalgic...
context: Well, that was good for a laugh. Let's go.\Right!\Don't you forget. Next month.\Master...\Oui...?\It's been seven years, huh?\That long?\I'm feelin' nostalgic... response:	Everything's changed since then.
context: Right!\Don't you forget. Next month.\Master...\Oui...?\It's been seven years, huh?\That long?\I'm feelin' nostalgic...\Everything's changed since then. response:	When we heard that Tenroujima was destroyed,
context: Don't you forget. Next month.\Master...\Oui...?\It's been seven years, huh?\That long?\I'm feelin' nostalgic...\Everything's changed since then.\When we heard that Tenroujima was destroyed, response:	we searched for everyone desperately, didn't we?
context: Master...\Oui...?\It's been seven years, huh?\That long?\I'm feelin' nostalgic...\Everything's changed since then.\When we heard that Tenroujima was destroyed,\we searched for everyone desperately, didn't we? response:	But we didn't find even one of them...
context: Oui...?\It's been seven years, huh?\That long?\I'm feelin' nostalgic...\Everything's changed since then.\When we heard that Tenroujima was destroyed,\we searched for everyone desperately, didn't we?\But we didn't find even one of them... response:	If what the Council said is true, Acnologia vaporized the whole island.
context: It's been seven years, huh?\That long?\I'm feelin' nostalgic...\Everything's changed since then.\When we heard that Tenroujima was destroyed,\we searched for everyone desperately, didn't we?\But we didn't find even one of them...\If what the Council said is true, Acnologia vaporized the whole island. response:	Various groups helped us search for them, but not a single clue was found.
context: That long?\I'm feelin' nostalgic...\Everything's changed since then.\When we heard that Tenroujima was destroyed,\we searched for everyone desperately, didn't we?\But we didn't find even one of them...\If what the Council said is true, Acnologia vaporized the whole island.\Various groups helped us search for them, but not a single clue was found. response:	Of course not...
context: I'm feelin' nostalgic...\Everything's changed since then.\When we heard that Tenroujima was destroyed,\we searched for everyone desperately, didn't we?\But we didn't find even one of them...\If what the Council said is true, Acnologia vaporized the whole island.\Various groups helped us search for them, but not a single clue was found.\Of course not... response:	An abnormal concentration of Ethernano
