context: Deal with it. response:	Find him, and bring him here.
context: What's the Rail Tracer?\The people, you see... they all disappear...\And the very existence of that train just vanishes...\All right, all right!\Miss, it's not healthy for you to get too much sea breeze.\Thank you, Benjamin- san, but...\Okay, take it up!\I want to wait here a little longer... just a little longer. response:	Miss...
context: The people, you see... they all disappear...\And the very existence of that train just vanishes...\All right, all right!\Miss, it's not healthy for you to get too much sea breeze.\Thank you, Benjamin- san, but...\Okay, take it up!\I want to wait here a little longer... just a little longer.\Miss... response:	Big Brother Dallas...
context: And the very existence of that train just vanishes...\All right, all right!\Miss, it's not healthy for you to get too much sea breeze.\Thank you, Benjamin- san, but...\Okay, take it up!\I want to wait here a little longer... just a little longer.\Miss...\Big Brother Dallas... response:	My name is Nicholas, and I run the English edition desk here.
context: All right, all right!\Miss, it's not healthy for you to get too much sea breeze.\Thank you, Benjamin- san, but...\Okay, take it up!\I want to wait here a little longer... just a little longer.\Miss...\Big Brother Dallas...\My name is Nicholas, and I run the English edition desk here. response:	My, my, you gentlemen are from the Runorata Family,
context: Miss, it's not healthy for you to get too much sea breeze.\Thank you, Benjamin- san, but...\Okay, take it up!\I want to wait here a little longer... just a little longer.\Miss...\Big Brother Dallas...\My name is Nicholas, and I run the English edition desk here.\My, my, you gentlemen are from the Runorata Family, response:	under Mr. Gustavo, are you not?
context: Thank you, Benjamin- san, but...\Okay, take it up!\I want to wait here a little longer... just a little longer.\Miss...\Big Brother Dallas...\My name is Nicholas, and I run the English edition desk here.\My, my, you gentlemen are from the Runorata Family,\under Mr. Gustavo, are you not? response:	How did you know?
context: Okay, take it up!\I want to wait here a little longer... just a little longer.\Miss...\Big Brother Dallas...\My name is Nicholas, and I run the English edition desk here.\My, my, you gentlemen are from the Runorata Family,\under Mr. Gustavo, are you not?\How did you know? response:	Because I am an employee of the Daily Days newspaper.
context: I want to wait here a little longer... just a little longer.\Miss...\Big Brother Dallas...\My name is Nicholas, and I run the English edition desk here.\My, my, you gentlemen are from the Runorata Family,\under Mr. Gustavo, are you not?\How did you know?\Because I am an employee of the Daily Days newspaper. response:	As information brokers, there isn't a single thing that we do not know.
context: Miss...\Big Brother Dallas...\My name is Nicholas, and I run the English edition desk here.\My, my, you gentlemen are from the Runorata Family,\under Mr. Gustavo, are you not?\How did you know?\Because I am an employee of the Daily Days newspaper.\As information brokers, there isn't a single thing that we do not know. response:	Then we'll move this along. Do you know a punk named Dallas Genoard?
context: Big Brother Dallas...\My name is Nicholas, and I run the English edition desk here.\My, my, you gentlemen are from the Runorata Family,\under Mr. Gustavo, are you not?\How did you know?\Because I am an employee of the Daily Days newspaper.\As information brokers, there isn't a single thing that we do not know.\Then we'll move this along. Do you know a punk named Dallas Genoard? response:	Yes, Dallas Genoard is the second son of the renowned Genoard family,
context: My name is Nicholas, and I run the English edition desk here.\My, my, you gentlemen are from the Runorata Family,\under Mr. Gustavo, are you not?\How did you know?\Because I am an employee of the Daily Days newspaper.\As information brokers, there isn't a single thing that we do not know.\Then we'll move this along. Do you know a punk named Dallas Genoard?\Yes, Dallas Genoard is the second son of the renowned Genoard family, response:	a notorious juvenile delinquent, who is currently missing.
context: My, my, you gentlemen are from the Runorata Family,\under Mr. Gustavo, are you not?\How did you know?\Because I am an employee of the Daily Days newspaper.\As information brokers, there isn't a single thing that we do not know.\Then we'll move this along. Do you know a punk named Dallas Genoard?\Yes, Dallas Genoard is the second son of the renowned Genoard family,\a notorious juvenile delinquent, who is currently missing. response:	Tell us where he is, no matter how trivial the details are.
context: under Mr. Gustavo, are you not?\How did you know?\Because I am an employee of the Daily Days newspaper.\As information brokers, there isn't a single thing that we do not know.\Then we'll move this along. Do you know a punk named Dallas Genoard?\Yes, Dallas Genoard is the second son of the renowned Genoard family,\a notorious juvenile delinquent, who is currently missing.\Tell us where he is, no matter how trivial the details are. response:	500 dollars.
context: How did you know?\Because I am an employee of the Daily Days newspaper.\As information brokers, there isn't a single thing that we do not know.\Then we'll move this along. Do you know a punk named Dallas Genoard?\Yes, Dallas Genoard is the second son of the renowned Genoard family,\a notorious juvenile delinquent, who is currently missing.\Tell us where he is, no matter how trivial the details are.\500 dollars. response:	What?
context: Because I am an employee of the Daily Days newspaper.\As information brokers, there isn't a single thing that we do not know.\Then we'll move this along. Do you know a punk named Dallas Genoard?\Yes, Dallas Genoard is the second son of the renowned Genoard family,\a notorious juvenile delinquent, who is currently missing.\Tell us where he is, no matter how trivial the details are.\500 dollars.\What? response:	That information will cost 500 dollars, cash.
context: As information brokers, there isn't a single thing that we do not know.\Then we'll move this along. Do you know a punk named Dallas Genoard?\Yes, Dallas Genoard is the second son of the renowned Genoard family,\a notorious juvenile delinquent, who is currently missing.\Tell us where he is, no matter how trivial the details are.\500 dollars.\What?\That information will cost 500 dollars, cash. response:	Further, you will trade me one piece of information about yourselves.
context: Then we'll move this along. Do you know a punk named Dallas Genoard?\Yes, Dallas Genoard is the second son of the renowned Genoard family,\a notorious juvenile delinquent, who is currently missing.\Tell us where he is, no matter how trivial the details are.\500 dollars.\What?\That information will cost 500 dollars, cash.\Further, you will trade me one piece of information about yourselves. response:	Information?
context: Yes, Dallas Genoard is the second son of the renowned Genoard family,\a notorious juvenile delinquent, who is currently missing.\Tell us where he is, no matter how trivial the details are.\500 dollars.\What?\That information will cost 500 dollars, cash.\Further, you will trade me one piece of information about yourselves.\Information? response:	I would like you to tell me
context: a notorious juvenile delinquent, who is currently missing.\Tell us where he is, no matter how trivial the details are.\500 dollars.\What?\That information will cost 500 dollars, cash.\Further, you will trade me one piece of information about yourselves.\Information?\I would like you to tell me response:	why the Runorata Family is after Dallas Genoard.
context: Tell us where he is, no matter how trivial the details are.\500 dollars.\What?\That information will cost 500 dollars, cash.\Further, you will trade me one piece of information about yourselves.\Information?\I would like you to tell me\why the Runorata Family is after Dallas Genoard. response:	What will you do if we tell you?
context: 500 dollars.\What?\That information will cost 500 dollars, cash.\Further, you will trade me one piece of information about yourselves.\Information?\I would like you to tell me\why the Runorata Family is after Dallas Genoard.\What will you do if we tell you? response:	What good is an information broker that has no information?
context: What?\That information will cost 500 dollars, cash.\Further, you will trade me one piece of information about yourselves.\Information?\I would like you to tell me\why the Runorata Family is after Dallas Genoard.\What will you do if we tell you?\What good is an information broker that has no information? response:	If we tell you, and someone comes in to buy that information...
context: That information will cost 500 dollars, cash.\Further, you will trade me one piece of information about yourselves.\Information?\I would like you to tell me\why the Runorata Family is after Dallas Genoard.\What will you do if we tell you?\What good is an information broker that has no information?\If we tell you, and someone comes in to buy that information... response:	We'd sell it to them, of course. That is our business, after all.
context: Further, you will trade me one piece of information about yourselves.\Information?\I would like you to tell me\why the Runorata Family is after Dallas Genoard.\What will you do if we tell you?\What good is an information broker that has no information?\If we tell you, and someone comes in to buy that information...\We'd sell it to them, of course. That is our business, after all. response:	Why, you! You think we're just going to stand here and let you-
context: Information?\I would like you to tell me\why the Runorata Family is after Dallas Genoard.\What will you do if we tell you?\What good is an information broker that has no information?\If we tell you, and someone comes in to buy that information...\We'd sell it to them, of course. That is our business, after all.\Why, you! You think we're just going to stand here and let you- response:	Excuse us.
context: I would like you to tell me\why the Runorata Family is after Dallas Genoard.\What will you do if we tell you?\What good is an information broker that has no information?\If we tell you, and someone comes in to buy that information...\We'd sell it to them, of course. That is our business, after all.\Why, you! You think we're just going to stand here and let you-\Excuse us. response:	With the nature of our business, things can get rough.
context: why the Runorata Family is after Dallas Genoard.\What will you do if we tell you?\What good is an information broker that has no information?\If we tell you, and someone comes in to buy that information...\We'd sell it to them, of course. That is our business, after all.\Why, you! You think we're just going to stand here and let you-\Excuse us.\With the nature of our business, things can get rough. response:	Now then, what is your purpose in looking for Dallas Genoard?
context: What will you do if we tell you?\What good is an information broker that has no information?\If we tell you, and someone comes in to buy that information...\We'd sell it to them, of course. That is our business, after all.\Why, you! You think we're just going to stand here and let you-\Excuse us.\With the nature of our business, things can get rough.\Now then, what is your purpose in looking for Dallas Genoard? response:	Why, you!
context: What good is an information broker that has no information?\If we tell you, and someone comes in to buy that information...\We'd sell it to them, of course. That is our business, after all.\Why, you! You think we're just going to stand here and let you-\Excuse us.\With the nature of our business, things can get rough.\Now then, what is your purpose in looking for Dallas Genoard?\Why, you! response:	You got a problem, kid?
context: If we tell you, and someone comes in to buy that information...\We'd sell it to them, of course. That is our business, after all.\Why, you! You think we're just going to stand here and let you-\Excuse us.\With the nature of our business, things can get rough.\Now then, what is your purpose in looking for Dallas Genoard?\Why, you!\You got a problem, kid? response:	Look here. I am in the care of the Runorata Family.
context: We'd sell it to them, of course. That is our business, after all.\Why, you! You think we're just going to stand here and let you-\Excuse us.\With the nature of our business, things can get rough.\Now then, what is your purpose in looking for Dallas Genoard?\Why, you!\You got a problem, kid?\Look here. I am in the care of the Runorata Family. response:	A punk-ass like you can't afford to go against-
context: Why, you! You think we're just going to stand here and let you-\Excuse us.\With the nature of our business, things can get rough.\Now then, what is your purpose in looking for Dallas Genoard?\Why, you!\You got a problem, kid?\Look here. I am in the care of the Runorata Family.\A punk-ass like you can't afford to go against- response:	Runorata?!
context: Excuse us.\With the nature of our business, things can get rough.\Now then, what is your purpose in looking for Dallas Genoard?\Why, you!\You got a problem, kid?\Look here. I am in the care of the Runorata Family.\A punk-ass like you can't afford to go against-\Runorata?! response:	Where do you get off talking so big?
context: With the nature of our business, things can get rough.\Now then, what is your purpose in looking for Dallas Genoard?\Why, you!\You got a problem, kid?\Look here. I am in the care of the Runorata Family.\A punk-ass like you can't afford to go against-\Runorata?!\Where do you get off talking so big? response:	You guys are like employees to us!
context: Now then, what is your purpose in looking for Dallas Genoard?\Why, you!\You got a problem, kid?\Look here. I am in the care of the Runorata Family.\A punk-ass like you can't afford to go against-\Runorata?!\Where do you get off talking so big?\You guys are like employees to us! response:	Ingratiate yourselves to my pop and brother, will you?!
context: Why, you!\You got a problem, kid?\Look here. I am in the care of the Runorata Family.\A punk-ass like you can't afford to go against-\Runorata?!\Where do you get off talking so big?\You guys are like employees to us!\Ingratiate yourselves to my pop and brother, will you?! response:	Exploit my family, will you?!
context: You got a problem, kid?\Look here. I am in the care of the Runorata Family.\A punk-ass like you can't afford to go against-\Runorata?!\Where do you get off talking so big?\You guys are like employees to us!\Ingratiate yourselves to my pop and brother, will you?!\Exploit my family, will you?! response:	We're the reason you guys can even get by, you know!
context: Look here. I am in the care of the Runorata Family.\A punk-ass like you can't afford to go against-\Runorata?!\Where do you get off talking so big?\You guys are like employees to us!\Ingratiate yourselves to my pop and brother, will you?!\Exploit my family, will you?!\We're the reason you guys can even get by, you know! response:	Enough, already.
context: A punk-ass like you can't afford to go against-\Runorata?!\Where do you get off talking so big?\You guys are like employees to us!\Ingratiate yourselves to my pop and brother, will you?!\Exploit my family, will you?!\We're the reason you guys can even get by, you know!\Enough, already. response:	You're going to kill him.
context: Runorata?!\Where do you get off talking so big?\You guys are like employees to us!\Ingratiate yourselves to my pop and brother, will you?!\Exploit my family, will you?!\We're the reason you guys can even get by, you know!\Enough, already.\You're going to kill him. response:	Who are you?!
context: Where do you get off talking so big?\You guys are like employees to us!\Ingratiate yourselves to my pop and brother, will you?!\Exploit my family, will you?!\We're the reason you guys can even get by, you know!\Enough, already.\You're going to kill him.\Who are you?! response:	Go on. This here is Gandor turf.
context: You guys are like employees to us!\Ingratiate yourselves to my pop and brother, will you?!\Exploit my family, will you?!\We're the reason you guys can even get by, you know!\Enough, already.\You're going to kill him.\Who are you?!\Go on. This here is Gandor turf. response:	Best not to announce the name Runorata around here too much.
context: Ingratiate yourselves to my pop and brother, will you?!\Exploit my family, will you?!\We're the reason you guys can even get by, you know!\Enough, already.\You're going to kill him.\Who are you?!\Go on. This here is Gandor turf.\Best not to announce the name Runorata around here too much. response:	I don't care if you're Gandor or anyone else, nobody asked you!
context: Exploit my family, will you?!\We're the reason you guys can even get by, you know!\Enough, already.\You're going to kill him.\Who are you?!\Go on. This here is Gandor turf.\Best not to announce the name Runorata around here too much.\I don't care if you're Gandor or anyone else, nobody asked you! response:	Let's go.
context: We're the reason you guys can even get by, you know!\Enough, already.\You're going to kill him.\Who are you?!\Go on. This here is Gandor turf.\Best not to announce the name Runorata around here too much.\I don't care if you're Gandor or anyone else, nobody asked you!\Let's go. response:	Who were those guys?
context: Enough, already.\You're going to kill him.\Who are you?!\Go on. This here is Gandor turf.\Best not to announce the name Runorata around here too much.\I don't care if you're Gandor or anyone else, nobody asked you!\Let's go.\Who were those guys? response:	No one I know.
context: You're going to kill him.\Who are you?!\Go on. This here is Gandor turf.\Best not to announce the name Runorata around here too much.\I don't care if you're Gandor or anyone else, nobody asked you!\Let's go.\Who were those guys?\No one I know. response:	Well, well, well,
context: Who are you?!\Go on. This here is Gandor turf.\Best not to announce the name Runorata around here too much.\I don't care if you're Gandor or anyone else, nobody asked you!\Let's go.\Who were those guys?\No one I know.\Well, well, well, response:	it's almost time for our show to start!
context: Go on. This here is Gandor turf.\Best not to announce the name Runorata around here too much.\I don't care if you're Gandor or anyone else, nobody asked you!\Let's go.\Who were those guys?\No one I know.\Well, well, well,\it's almost time for our show to start! response:	It's almost time for their lives to end!
context: Best not to announce the name Runorata around here too much.\I don't care if you're Gandor or anyone else, nobody asked you!\Let's go.\Who were those guys?\No one I know.\Well, well, well,\it's almost time for our show to start!\It's almost time for their lives to end! response:	How delightful, how fun!
context: I don't care if you're Gandor or anyone else, nobody asked you!\Let's go.\Who were those guys?\No one I know.\Well, well, well,\it's almost time for our show to start!\It's almost time for their lives to end!\How delightful, how fun! response:	I'm so excited, I won't be able to sleep tonight!
context: Let's go.\Who were those guys?\No one I know.\Well, well, well,\it's almost time for our show to start!\It's almost time for their lives to end!\How delightful, how fun!\I'm so excited, I won't be able to sleep tonight! response:	If you enjoy it that much, you should have gone by yourself.
context: Who were those guys?\No one I know.\Well, well, well,\it's almost time for our show to start!\It's almost time for their lives to end!\How delightful, how fun!\I'm so excited, I won't be able to sleep tonight!\If you enjoy it that much, you should have gone by yourself. response:	But there's nothing I could have done.
context: No one I know.\Well, well, well,\it's almost time for our show to start!\It's almost time for their lives to end!\How delightful, how fun!\I'm so excited, I won't be able to sleep tonight!\If you enjoy it that much, you should have gone by yourself.\But there's nothing I could have done. response:	I lost the draw, after all.
context: Well, well, well,\it's almost time for our show to start!\It's almost time for their lives to end!\How delightful, how fun!\I'm so excited, I won't be able to sleep tonight!\If you enjoy it that much, you should have gone by yourself.\But there's nothing I could have done.\I lost the draw, after all. response:	Lua, I'm so frustrated!
context: it's almost time for our show to start!\It's almost time for their lives to end!\How delightful, how fun!\I'm so excited, I won't be able to sleep tonight!\If you enjoy it that much, you should have gone by yourself.\But there's nothing I could have done.\I lost the draw, after all.\Lua, I'm so frustrated! response:	My dream is to kill everyone in the whole world who wants to live more than you do,
context: It's almost time for their lives to end!\How delightful, how fun!\I'm so excited, I won't be able to sleep tonight!\If you enjoy it that much, you should have gone by yourself.\But there's nothing I could have done.\I lost the draw, after all.\Lua, I'm so frustrated!\My dream is to kill everyone in the whole world who wants to live more than you do, response:	and then finally, spend the rest of your life, killing you slowly to death.
context: How delightful, how fun!\I'm so excited, I won't be able to sleep tonight!\If you enjoy it that much, you should have gone by yourself.\But there's nothing I could have done.\I lost the draw, after all.\Lua, I'm so frustrated!\My dream is to kill everyone in the whole world who wants to live more than you do,\and then finally, spend the rest of your life, killing you slowly to death. response:	You could kill me right here and now for me, Ladd.
context: I'm so excited, I won't be able to sleep tonight!\If you enjoy it that much, you should have gone by yourself.\But there's nothing I could have done.\I lost the draw, after all.\Lua, I'm so frustrated!\My dream is to kill everyone in the whole world who wants to live more than you do,\and then finally, spend the rest of your life, killing you slowly to death.\You could kill me right here and now for me, Ladd. response:	What are you talking about?! No, no, no!
context: If you enjoy it that much, you should have gone by yourself.\But there's nothing I could have done.\I lost the draw, after all.\Lua, I'm so frustrated!\My dream is to kill everyone in the whole world who wants to live more than you do,\and then finally, spend the rest of your life, killing you slowly to death.\You could kill me right here and now for me, Ladd.\What are you talking about?! No, no, no! response:	The world is still overflowing with many,
context: But there's nothing I could have done.\I lost the draw, after all.\Lua, I'm so frustrated!\My dream is to kill everyone in the whole world who wants to live more than you do,\and then finally, spend the rest of your life, killing you slowly to death.\You could kill me right here and now for me, Ladd.\What are you talking about?! No, no, no!\The world is still overflowing with many, response:	many people that I still have to kill, you know!
context: I lost the draw, after all.\Lua, I'm so frustrated!\My dream is to kill everyone in the whole world who wants to live more than you do,\and then finally, spend the rest of your life, killing you slowly to death.\You could kill me right here and now for me, Ladd.\What are you talking about?! No, no, no!\The world is still overflowing with many,\many people that I still have to kill, you know! response:	Killing you won't be for a long, long, long time to come.
context: Lua, I'm so frustrated!\My dream is to kill everyone in the whole world who wants to live more than you do,\and then finally, spend the rest of your life, killing you slowly to death.\You could kill me right here and now for me, Ladd.\What are you talking about?! No, no, no!\The world is still overflowing with many,\many people that I still have to kill, you know!\Killing you won't be for a long, long, long time to come. response:	Ladd...
context: My dream is to kill everyone in the whole world who wants to live more than you do,\and then finally, spend the rest of your life, killing you slowly to death.\You could kill me right here and now for me, Ladd.\What are you talking about?! No, no, no!\The world is still overflowing with many,\many people that I still have to kill, you know!\Killing you won't be for a long, long, long time to come.\Ladd... response:	So until then, you stick with me, and don't die.
context: and then finally, spend the rest of your life, killing you slowly to death.\You could kill me right here and now for me, Ladd.\What are you talking about?! No, no, no!\The world is still overflowing with many,\many people that I still have to kill, you know!\Killing you won't be for a long, long, long time to come.\Ladd...\So until then, you stick with me, and don't die. response:	Got it?
context: You could kill me right here and now for me, Ladd.\What are you talking about?! No, no, no!\The world is still overflowing with many,\many people that I still have to kill, you know!\Killing you won't be for a long, long, long time to come.\Ladd...\So until then, you stick with me, and don't die.\Got it? response:	Vicky is completely wound up.
context: What are you talking about?! No, no, no!\The world is still overflowing with many,\many people that I still have to kill, you know!\Killing you won't be for a long, long, long time to come.\Ladd...\So until then, you stick with me, and don't die.\Got it?\Vicky is completely wound up. response:	Aw, damn.
context: The world is still overflowing with many,\many people that I still have to kill, you know!\Killing you won't be for a long, long, long time to come.\Ladd...\So until then, you stick with me, and don't die.\Got it?\Vicky is completely wound up.\Aw, damn. response:	I envy that Vicky. I really, really do.
context: many people that I still have to kill, you know!\Killing you won't be for a long, long, long time to come.\Ladd...\So until then, you stick with me, and don't die.\Got it?\Vicky is completely wound up.\Aw, damn.\I envy that Vicky. I really, really do. response:	No, no! There is no god in this world anymore!
context: Killing you won't be for a long, long, long time to come.\Ladd...\So until then, you stick with me, and don't die.\Got it?\Vicky is completely wound up.\Aw, damn.\I envy that Vicky. I really, really do.\No, no! There is no god in this world anymore! response:	Vicky no doubt must have gone and killed him earlier!
context: Ladd...\So until then, you stick with me, and don't die.\Got it?\Vicky is completely wound up.\Aw, damn.\I envy that Vicky. I really, really do.\No, no! There is no god in this world anymore!\Vicky no doubt must have gone and killed him earlier! response:	Then, why don't you go see for yourself?
context: So until then, you stick with me, and don't die.\Got it?\Vicky is completely wound up.\Aw, damn.\I envy that Vicky. I really, really do.\No, no! There is no god in this world anymore!\Vicky no doubt must have gone and killed him earlier!\Then, why don't you go see for yourself? response:	That's it!
context: Got it?\Vicky is completely wound up.\Aw, damn.\I envy that Vicky. I really, really do.\No, no! There is no god in this world anymore!\Vicky no doubt must have gone and killed him earlier!\Then, why don't you go see for yourself?\That's it! response:	You're right. I can go see, can't I?
context: Vicky is completely wound up.\Aw, damn.\I envy that Vicky. I really, really do.\No, no! There is no god in this world anymore!\Vicky no doubt must have gone and killed him earlier!\Then, why don't you go see for yourself?\That's it!\You're right. I can go see, can't I? response:	I'm such an idiot.
context: Aw, damn.\I envy that Vicky. I really, really do.\No, no! There is no god in this world anymore!\Vicky no doubt must have gone and killed him earlier!\Then, why don't you go see for yourself?\That's it!\You're right. I can go see, can't I?\I'm such an idiot. response:	There's no need for me to wait in here.
context: I envy that Vicky. I really, really do.\No, no! There is no god in this world anymore!\Vicky no doubt must have gone and killed him earlier!\Then, why don't you go see for yourself?\That's it!\You're right. I can go see, can't I?\I'm such an idiot.\There's no need for me to wait in here. response:	And here I was, thinking I had to stay here, behaving myself.
context: No, no! There is no god in this world anymore!\Vicky no doubt must have gone and killed him earlier!\Then, why don't you go see for yourself?\That's it!\You're right. I can go see, can't I?\I'm such an idiot.\There's no need for me to wait in here.\And here I was, thinking I had to stay here, behaving myself. response:	Be right back.
context: Vicky no doubt must have gone and killed him earlier!\Then, why don't you go see for yourself?\That's it!\You're right. I can go see, can't I?\I'm such an idiot.\There's no need for me to wait in here.\And here I was, thinking I had to stay here, behaving myself.\Be right back. response:	Watch it, you little brat-
context: Then, why don't you go see for yourself?\That's it!\You're right. I can go see, can't I?\I'm such an idiot.\There's no need for me to wait in here.\And here I was, thinking I had to stay here, behaving myself.\Be right back.\Watch it, you little brat- response:	S-Sorry! Excuse me.
context: That's it!\You're right. I can go see, can't I?\I'm such an idiot.\There's no need for me to wait in here.\And here I was, thinking I had to stay here, behaving myself.\Be right back.\Watch it, you little brat-\S-Sorry! Excuse me. response:	The train is in trouble!
context: You're right. I can go see, can't I?\I'm such an idiot.\There's no need for me to wait in here.\And here I was, thinking I had to stay here, behaving myself.\Be right back.\Watch it, you little brat-\S-Sorry! Excuse me.\The train is in trouble! response:	T-That's why I have to get to the conductor's compartment!
context: I'm such an idiot.\There's no need for me to wait in here.\And here I was, thinking I had to stay here, behaving myself.\Be right back.\Watch it, you little brat-\S-Sorry! Excuse me.\The train is in trouble!\T-That's why I have to get to the conductor's compartment! response:	Anyhow, I'm sorry!
context: There's no need for me to wait in here.\And here I was, thinking I had to stay here, behaving myself.\Be right back.\Watch it, you little brat-\S-Sorry! Excuse me.\The train is in trouble!\T-That's why I have to get to the conductor's compartment!\Anyhow, I'm sorry! response:	Wasn't that...
context: And here I was, thinking I had to stay here, behaving myself.\Be right back.\Watch it, you little brat-\S-Sorry! Excuse me.\The train is in trouble!\T-That's why I have to get to the conductor's compartment!\Anyhow, I'm sorry!\Wasn't that... response:	I'm sure of it.
context: Be right back.\Watch it, you little brat-\S-Sorry! Excuse me.\The train is in trouble!\T-That's why I have to get to the conductor's compartment!\Anyhow, I'm sorry!\Wasn't that...\I'm sure of it. response:	This is starting to get interesting.
context: Watch it, you little brat-\S-Sorry! Excuse me.\The train is in trouble!\T-That's why I have to get to the conductor's compartment!\Anyhow, I'm sorry!\Wasn't that...\I'm sure of it.\This is starting to get interesting. response:	Lua, would you go with him,
context: S-Sorry! Excuse me.\The train is in trouble!\T-That's why I have to get to the conductor's compartment!\Anyhow, I'm sorry!\Wasn't that...\I'm sure of it.\This is starting to get interesting.\Lua, would you go with him, response:	and see what's happening in the conductor's compartment for me?
context: The train is in trouble!\T-That's why I have to get to the conductor's compartment!\Anyhow, I'm sorry!\Wasn't that...\I'm sure of it.\This is starting to get interesting.\Lua, would you go with him,\and see what's happening in the conductor's compartment for me? response:	And, if there's a kid with a tattoo on his face there,
context: T-That's why I have to get to the conductor's compartment!\Anyhow, I'm sorry!\Wasn't that...\I'm sure of it.\This is starting to get interesting.\Lua, would you go with him,\and see what's happening in the conductor's compartment for me?\And, if there's a kid with a tattoo on his face there, response:	snatch him up, will you?
context: Anyhow, I'm sorry!\Wasn't that...\I'm sure of it.\This is starting to get interesting.\Lua, would you go with him,\and see what's happening in the conductor's compartment for me?\And, if there's a kid with a tattoo on his face there,\snatch him up, will you? response:	There's something very interesting happening on this train.
context: Wasn't that...\I'm sure of it.\This is starting to get interesting.\Lua, would you go with him,\and see what's happening in the conductor's compartment for me?\And, if there's a kid with a tattoo on his face there,\snatch him up, will you?\There's something very interesting happening on this train. response:	I wonder what the trouble is that that tattooed kid was talking about.
context: I'm sure of it.\This is starting to get interesting.\Lua, would you go with him,\and see what's happening in the conductor's compartment for me?\And, if there's a kid with a tattoo on his face there,\snatch him up, will you?\There's something very interesting happening on this train.\I wonder what the trouble is that that tattooed kid was talking about. response:	This is bad. If I don't cut loose soon, I'm gonna bust.
context: This is starting to get interesting.\Lua, would you go with him,\and see what's happening in the conductor's compartment for me?\And, if there's a kid with a tattoo on his face there,\snatch him up, will you?\There's something very interesting happening on this train.\I wonder what the trouble is that that tattooed kid was talking about.\This is bad. If I don't cut loose soon, I'm gonna bust. response:	Hey, stop that! Your hand is gonna burn up!
context: Lua, would you go with him,\and see what's happening in the conductor's compartment for me?\And, if there's a kid with a tattoo on his face there,\snatch him up, will you?\There's something very interesting happening on this train.\I wonder what the trouble is that that tattooed kid was talking about.\This is bad. If I don't cut loose soon, I'm gonna bust.\Hey, stop that! Your hand is gonna burn up! response:	No problem!
context: and see what's happening in the conductor's compartment for me?\And, if there's a kid with a tattoo on his face there,\snatch him up, will you?\There's something very interesting happening on this train.\I wonder what the trouble is that that tattooed kid was talking about.\This is bad. If I don't cut loose soon, I'm gonna bust.\Hey, stop that! Your hand is gonna burn up!\No problem! response:	See?
context: And, if there's a kid with a tattoo on his face there,\snatch him up, will you?\There's something very interesting happening on this train.\I wonder what the trouble is that that tattooed kid was talking about.\This is bad. If I don't cut loose soon, I'm gonna bust.\Hey, stop that! Your hand is gonna burn up!\No problem!\See? response:	Oh, that's amazing, Randy.
context: snatch him up, will you?\There's something very interesting happening on this train.\I wonder what the trouble is that that tattooed kid was talking about.\This is bad. If I don't cut loose soon, I'm gonna bust.\Hey, stop that! Your hand is gonna burn up!\No problem!\See?\Oh, that's amazing, Randy. response:	It'll be just the thing to entertain with at the party tonight.
context: There's something very interesting happening on this train.\I wonder what the trouble is that that tattooed kid was talking about.\This is bad. If I don't cut loose soon, I'm gonna bust.\Hey, stop that! Your hand is gonna burn up!\No problem!\See?\Oh, that's amazing, Randy.\It'll be just the thing to entertain with at the party tonight. response:	I'm sure Firo will be delighted, too.
