context: provided as-is, barely edited, feel free to do whatever you want with this response:	TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO
context: ELITE FOUR CUSTOM DTR\20 YEARS AGO\A CERTAIN AFRICAN NATION\KIRYUUIN RAGYO\FINAL DEFENSE APPARATUS\NONON SOUND NEGATION\SCISSOR BLADE FINAL ADDRESS MODE\SCISSOR BLADE DECOMMISSION MODE response:	SCISSOR BLADE FINAL ADDRESS MODE DECOMMISSION MODE
context: 20 YEARS AGO\A CERTAIN AFRICAN NATION\KIRYUUIN RAGYO\FINAL DEFENSE APPARATUS\NONON SOUND NEGATION\SCISSOR BLADE FINAL ADDRESS MODE\SCISSOR BLADE DECOMMISSION MODE\SCISSOR BLADE FINAL ADDRESS MODE DECOMMISSION MODE response:	RAGYO GRADUATION
context: A CERTAIN AFRICAN NATION\KIRYUUIN RAGYO\FINAL DEFENSE APPARATUS\NONON SOUND NEGATION\SCISSOR BLADE FINAL ADDRESS MODE\SCISSOR BLADE DECOMMISSION MODE\SCISSOR BLADE FINAL ADDRESS MODE DECOMMISSION MODE\RAGYO GRADUATION response:	RAGYO GRADUATION
context: KIRYUUIN RAGYO\FINAL DEFENSE APPARATUS\NONON SOUND NEGATION\SCISSOR BLADE FINAL ADDRESS MODE\SCISSOR BLADE DECOMMISSION MODE\SCISSOR BLADE FINAL ADDRESS MODE DECOMMISSION MODE\RAGYO GRADUATION\RAGYO GRADUATION response:	RAGYO GRADUATION
context: FINAL DEFENSE APPARATUS\NONON SOUND NEGATION\SCISSOR BLADE FINAL ADDRESS MODE\SCISSOR BLADE DECOMMISSION MODE\SCISSOR BLADE FINAL ADDRESS MODE DECOMMISSION MODE\RAGYO GRADUATION\RAGYO GRADUATION\RAGYO GRADUATION response:	GRADUATION
context: NONON SOUND NEGATION\SCISSOR BLADE FINAL ADDRESS MODE\SCISSOR BLADE DECOMMISSION MODE\SCISSOR BLADE FINAL ADDRESS MODE DECOMMISSION MODE\RAGYO GRADUATION\RAGYO GRADUATION\RAGYO GRADUATION\GRADUATION response:	GRADUATION CEREMONY
context: SCISSOR BLADE FINAL ADDRESS MODE\SCISSOR BLADE DECOMMISSION MODE\SCISSOR BLADE FINAL ADDRESS MODE DECOMMISSION MODE\RAGYO GRADUATION\RAGYO GRADUATION\RAGYO GRADUATION\GRADUATION\GRADUATION CEREMONY response:	SEN-I-SOSHITSU GRADUATION FINAL
context: SCISSOR BLADE DECOMMISSION MODE\SCISSOR BLADE FINAL ADDRESS MODE DECOMMISSION MODE\RAGYO GRADUATION\RAGYO GRADUATION\RAGYO GRADUATION\GRADUATION\GRADUATION CEREMONY\SEN-I-SOSHITSU GRADUATION FINAL response:	To think he'd still want another battle with Lady Satsuki...
context: SCISSOR BLADE FINAL ADDRESS MODE DECOMMISSION MODE\RAGYO GRADUATION\RAGYO GRADUATION\RAGYO GRADUATION\GRADUATION\GRADUATION CEREMONY\SEN-I-SOSHITSU GRADUATION FINAL\To think he'd still want another battle with Lady Satsuki... response:	It's his way of settling things.
context: RAGYO GRADUATION\RAGYO GRADUATION\RAGYO GRADUATION\GRADUATION\GRADUATION CEREMONY\SEN-I-SOSHITSU GRADUATION FINAL\To think he'd still want another battle with Lady Satsuki...\It's his way of settling things. response:	Men are so obnoxious!
context: RAGYO GRADUATION\RAGYO GRADUATION\GRADUATION\GRADUATION CEREMONY\SEN-I-SOSHITSU GRADUATION FINAL\To think he'd still want another battle with Lady Satsuki...\It's his way of settling things.\Men are so obnoxious! response:	With the Ragyo business taken care of...
context: RAGYO GRADUATION\GRADUATION\GRADUATION CEREMONY\SEN-I-SOSHITSU GRADUATION FINAL\To think he'd still want another battle with Lady Satsuki...\It's his way of settling things.\Men are so obnoxious!\With the Ragyo business taken care of... response:	Now we can see who between is is truly stronger.
context: GRADUATION\GRADUATION CEREMONY\SEN-I-SOSHITSU GRADUATION FINAL\To think he'd still want another battle with Lady Satsuki...\It's his way of settling things.\Men are so obnoxious!\With the Ragyo business taken care of...\Now we can see who between is is truly stronger. response:	Your eyes seem clearer now, Sanageyama.
context: GRADUATION CEREMONY\SEN-I-SOSHITSU GRADUATION FINAL\To think he'd still want another battle with Lady Satsuki...\It's his way of settling things.\Men are so obnoxious!\With the Ragyo business taken care of...\Now we can see who between is is truly stronger.\Your eyes seem clearer now, Sanageyama. response:	Come on...
context: SEN-I-SOSHITSU GRADUATION FINAL\To think he'd still want another battle with Lady Satsuki...\It's his way of settling things.\Men are so obnoxious!\With the Ragyo business taken care of...\Now we can see who between is is truly stronger.\Your eyes seem clearer now, Sanageyama.\Come on... response:	Are you trying to get me to tear up with some words of praise?
context: To think he'd still want another battle with Lady Satsuki...\It's his way of settling things.\Men are so obnoxious!\With the Ragyo business taken care of...\Now we can see who between is is truly stronger.\Your eyes seem clearer now, Sanageyama.\Come on...\Are you trying to get me to tear up with some words of praise? response:	I doubt that kind of thing would cloud your eyes.
context: It's his way of settling things.\Men are so obnoxious!\With the Ragyo business taken care of...\Now we can see who between is is truly stronger.\Your eyes seem clearer now, Sanageyama.\Come on...\Are you trying to get me to tear up with some words of praise?\I doubt that kind of thing would cloud your eyes. response:	First to score wins, then?
context: Men are so obnoxious!\With the Ragyo business taken care of...\Now we can see who between is is truly stronger.\Your eyes seem clearer now, Sanageyama.\Come on...\Are you trying to get me to tear up with some words of praise?\I doubt that kind of thing would cloud your eyes.\First to score wins, then? response:	En garde!
context: With the Ragyo business taken care of...\Now we can see who between is is truly stronger.\Your eyes seem clearer now, Sanageyama.\Come on...\Are you trying to get me to tear up with some words of praise?\I doubt that kind of thing would cloud your eyes.\First to score wins, then?\En garde! response:	Here I come!
context: Now we can see who between is is truly stronger.\Your eyes seem clearer now, Sanageyama.\Come on...\Are you trying to get me to tear up with some words of praise?\I doubt that kind of thing would cloud your eyes.\First to score wins, then?\En garde!\Here I come! response:	MEN! DO! KOTE! MEN! DO! KOTE! MEN! DO! KOTE!
context: Your eyes seem clearer now, Sanageyama.\Come on...\Are you trying to get me to tear up with some words of praise?\I doubt that kind of thing would cloud your eyes.\First to score wins, then?\En garde!\Here I come!\MEN! DO! KOTE! MEN! DO! KOTE! MEN! DO! KOTE! response:	Lady Satsuki...!
context: Come on...\Are you trying to get me to tear up with some words of praise?\I doubt that kind of thing would cloud your eyes.\First to score wins, then?\En garde!\Here I come!\MEN! DO! KOTE! MEN! DO! KOTE! MEN! DO! KOTE!\Lady Satsuki...! response:	She's being pushed back?
context: Are you trying to get me to tear up with some words of praise?\I doubt that kind of thing would cloud your eyes.\First to score wins, then?\En garde!\Here I come!\MEN! DO! KOTE! MEN! DO! KOTE! MEN! DO! KOTE!\Lady Satsuki...!\She's being pushed back? response:	That's impossible!
context: I doubt that kind of thing would cloud your eyes.\First to score wins, then?\En garde!\Here I come!\MEN! DO! KOTE! MEN! DO! KOTE! MEN! DO! KOTE!\Lady Satsuki...!\She's being pushed back?\That's impossible! response:	Get it together, Satsuki!
context: First to score wins, then?\En garde!\Here I come!\MEN! DO! KOTE! MEN! DO! KOTE! MEN! DO! KOTE!\Lady Satsuki...!\She's being pushed back?\That's impossible!\Get it together, Satsuki! response:	Why don't I feel any resistance?
context: En garde!\Here I come!\MEN! DO! KOTE! MEN! DO! KOTE! MEN! DO! KOTE!\Lady Satsuki...!\She's being pushed back?\That's impossible!\Get it together, Satsuki!\Why don't I feel any resistance? response:	You don't need to hold back, Sanageyama.
context: Here I come!\MEN! DO! KOTE! MEN! DO! KOTE! MEN! DO! KOTE!\Lady Satsuki...!\She's being pushed back?\That's impossible!\Get it together, Satsuki!\Why don't I feel any resistance?\You don't need to hold back, Sanageyama. response:	Of course not!
context: MEN! DO! KOTE! MEN! DO! KOTE! MEN! DO! KOTE!\Lady Satsuki...!\She's being pushed back?\That's impossible!\Get it together, Satsuki!\Why don't I feel any resistance?\You don't need to hold back, Sanageyama.\Of course not! response:	Victory is mine, Kiryuuin Satsuki!
context: Lady Satsuki...!\She's being pushed back?\That's impossible!\Get it together, Satsuki!\Why don't I feel any resistance?\You don't need to hold back, Sanageyama.\Of course not!\Victory is mine, Kiryuuin Satsuki! response:	MEN!
context: She's being pushed back?\That's impossible!\Get it together, Satsuki!\Why don't I feel any resistance?\You don't need to hold back, Sanageyama.\Of course not!\Victory is mine, Kiryuuin Satsuki!\MEN! response:	That can't...
context: That's impossible!\Get it together, Satsuki!\Why don't I feel any resistance?\You don't need to hold back, Sanageyama.\Of course not!\Victory is mine, Kiryuuin Satsuki!\MEN!\That can't... response:	Get another shinai.
context: Get it together, Satsuki!\Why don't I feel any resistance?\You don't need to hold back, Sanageyama.\Of course not!\Victory is mine, Kiryuuin Satsuki!\MEN!\That can't...\Get another shinai. response:	No, that's okay.
context: Why don't I feel any resistance?\You don't need to hold back, Sanageyama.\Of course not!\Victory is mine, Kiryuuin Satsuki!\MEN!\That can't...\Get another shinai.\No, that's okay. response:	I've lost this battle.
context: You don't need to hold back, Sanageyama.\Of course not!\Victory is mine, Kiryuuin Satsuki!\MEN!\That can't...\Get another shinai.\No, that's okay.\I've lost this battle. response:	I see... it was a good match, Sanageyama.
context: Of course not!\Victory is mine, Kiryuuin Satsuki!\MEN!\That can't...\Get another shinai.\No, that's okay.\I've lost this battle.\I see... it was a good match, Sanageyama. response:	Thank you.
context: Victory is mine, Kiryuuin Satsuki!\MEN!\That can't...\Get another shinai.\No, that's okay.\I've lost this battle.\I see... it was a good match, Sanageyama.\Thank you. response:	That's Lady Satsuki for you! She dodged like it was nothing!
context: MEN!\That can't...\Get another shinai.\No, that's okay.\I've lost this battle.\I see... it was a good match, Sanageyama.\Thank you.\That's Lady Satsuki for you! She dodged like it was nothing! response:	No, it didn't seem that way.
context: That can't...\Get another shinai.\No, that's okay.\I've lost this battle.\I see... it was a good match, Sanageyama.\Thank you.\That's Lady Satsuki for you! She dodged like it was nothing!\No, it didn't seem that way. response:	Hey monkey boy, what just happened?
context: Get another shinai.\No, that's okay.\I've lost this battle.\I see... it was a good match, Sanageyama.\Thank you.\That's Lady Satsuki for you! She dodged like it was nothing!\No, it didn't seem that way.\Hey monkey boy, what just happened? response:	I couldn't see her...
context: No, that's okay.\I've lost this battle.\I see... it was a good match, Sanageyama.\Thank you.\That's Lady Satsuki for you! She dodged like it was nothing!\No, it didn't seem that way.\Hey monkey boy, what just happened?\I couldn't see her... response:	You mean she vanished?
context: I've lost this battle.\I see... it was a good match, Sanageyama.\Thank you.\That's Lady Satsuki for you! She dodged like it was nothing!\No, it didn't seem that way.\Hey monkey boy, what just happened?\I couldn't see her...\You mean she vanished? response:	No... but her resolve has.
context: I see... it was a good match, Sanageyama.\Thank you.\That's Lady Satsuki for you! She dodged like it was nothing!\No, it didn't seem that way.\Hey monkey boy, what just happened?\I couldn't see her...\You mean she vanished?\No... but her resolve has. response:	She's as ephemeral as a mirage...
context: Thank you.\That's Lady Satsuki for you! She dodged like it was nothing!\No, it didn't seem that way.\Hey monkey boy, what just happened?\I couldn't see her...\You mean she vanished?\No... but her resolve has.\She's as ephemeral as a mirage... response:	I couldn't bring myself to strike someone like that.
context: That's Lady Satsuki for you! She dodged like it was nothing!\No, it didn't seem that way.\Hey monkey boy, what just happened?\I couldn't see her...\You mean she vanished?\No... but her resolve has.\She's as ephemeral as a mirage...\I couldn't bring myself to strike someone like that. response:	What's wrong? You okay, Satsuki?
context: No, it didn't seem that way.\Hey monkey boy, what just happened?\I couldn't see her...\You mean she vanished?\No... but her resolve has.\She's as ephemeral as a mirage...\I couldn't bring myself to strike someone like that.\What's wrong? You okay, Satsuki? response:	With Kiryuuin Ragyo gone, Honnoji Academy has served its purpose.
context: Hey monkey boy, what just happened?\I couldn't see her...\You mean she vanished?\No... but her resolve has.\She's as ephemeral as a mirage...\I couldn't bring myself to strike someone like that.\What's wrong? You okay, Satsuki?\With Kiryuuin Ragyo gone, Honnoji Academy has served its purpose. response:	It'll be decommissioned a month from now, as planned.
context: I couldn't see her...\You mean she vanished?\No... but her resolve has.\She's as ephemeral as a mirage...\I couldn't bring myself to strike someone like that.\What's wrong? You okay, Satsuki?\With Kiryuuin Ragyo gone, Honnoji Academy has served its purpose.\It'll be decommissioned a month from now, as planned. response:	Elite Four... I leave the details to you.
context: You mean she vanished?\No... but her resolve has.\She's as ephemeral as a mirage...\I couldn't bring myself to strike someone like that.\What's wrong? You okay, Satsuki?\With Kiryuuin Ragyo gone, Honnoji Academy has served its purpose.\It'll be decommissioned a month from now, as planned.\Elite Four... I leave the details to you. response:	Lady Satsuki wasn't shining!
context: No... but her resolve has.\She's as ephemeral as a mirage...\I couldn't bring myself to strike someone like that.\What's wrong? You okay, Satsuki?\With Kiryuuin Ragyo gone, Honnoji Academy has served its purpose.\It'll be decommissioned a month from now, as planned.\Elite Four... I leave the details to you.\Lady Satsuki wasn't shining! response:	She didn't stomp with her heel, either!
context: She's as ephemeral as a mirage...\I couldn't bring myself to strike someone like that.\What's wrong? You okay, Satsuki?\With Kiryuuin Ragyo gone, Honnoji Academy has served its purpose.\It'll be decommissioned a month from now, as planned.\Elite Four... I leave the details to you.\Lady Satsuki wasn't shining!\She didn't stomp with her heel, either! response:	Satsuki...
context: I couldn't bring myself to strike someone like that.\What's wrong? You okay, Satsuki?\With Kiryuuin Ragyo gone, Honnoji Academy has served its purpose.\It'll be decommissioned a month from now, as planned.\Elite Four... I leave the details to you.\Lady Satsuki wasn't shining!\She didn't stomp with her heel, either!\Satsuki... response:	What happens when you cut the threads of fate...?
context: What's wrong? You okay, Satsuki?\With Kiryuuin Ragyo gone, Honnoji Academy has served its purpose.\It'll be decommissioned a month from now, as planned.\Elite Four... I leave the details to you.\Lady Satsuki wasn't shining!\She didn't stomp with her heel, either!\Satsuki...\What happens when you cut the threads of fate...? response:	Always trying to stand upright in this tiny world
context: With Kiryuuin Ragyo gone, Honnoji Academy has served its purpose.\It'll be decommissioned a month from now, as planned.\Elite Four... I leave the details to you.\Lady Satsuki wasn't shining!\She didn't stomp with her heel, either!\Satsuki...\What happens when you cut the threads of fate...?\Always trying to stand upright in this tiny world response:	On the brink of disaster
context: It'll be decommissioned a month from now, as planned.\Elite Four... I leave the details to you.\Lady Satsuki wasn't shining!\She didn't stomp with her heel, either!\Satsuki...\What happens when you cut the threads of fate...?\Always trying to stand upright in this tiny world\On the brink of disaster response:	Walking the runway, thinking that I kept what my smile
context: Elite Four... I leave the details to you.\Lady Satsuki wasn't shining!\She didn't stomp with her heel, either!\Satsuki...\What happens when you cut the threads of fate...?\Always trying to stand upright in this tiny world\On the brink of disaster\Walking the runway, thinking that I kept what my smile response:	concealed from everyone
context: Lady Satsuki wasn't shining!\She didn't stomp with her heel, either!\Satsuki...\What happens when you cut the threads of fate...?\Always trying to stand upright in this tiny world\On the brink of disaster\Walking the runway, thinking that I kept what my smile\concealed from everyone response:	But you always saw through me
context: She didn't stomp with her heel, either!\Satsuki...\What happens when you cut the threads of fate...?\Always trying to stand upright in this tiny world\On the brink of disaster\Walking the runway, thinking that I kept what my smile\concealed from everyone\But you always saw through me response:	It was so strange that I didn't know what to do
context: Satsuki...\What happens when you cut the threads of fate...?\Always trying to stand upright in this tiny world\On the brink of disaster\Walking the runway, thinking that I kept what my smile\concealed from everyone\But you always saw through me\It was so strange that I didn't know what to do response:	No one could ever wear it as well as you
context: What happens when you cut the threads of fate...?\Always trying to stand upright in this tiny world\On the brink of disaster\Walking the runway, thinking that I kept what my smile\concealed from everyone\But you always saw through me\It was so strange that I didn't know what to do\No one could ever wear it as well as you response:	That ambiguous hard-to-describe heat blazing in your chest
context: Always trying to stand upright in this tiny world\On the brink of disaster\Walking the runway, thinking that I kept what my smile\concealed from everyone\But you always saw through me\It was so strange that I didn't know what to do\No one could ever wear it as well as you\That ambiguous hard-to-describe heat blazing in your chest response:	When you trace the thread of fate to its end...
context: On the brink of disaster\Walking the runway, thinking that I kept what my smile\concealed from everyone\But you always saw through me\It was so strange that I didn't know what to do\No one could ever wear it as well as you\That ambiguous hard-to-describe heat blazing in your chest\When you trace the thread of fate to its end... response:	Right now, a new day is dawning
context: Walking the runway, thinking that I kept what my smile\concealed from everyone\But you always saw through me\It was so strange that I didn't know what to do\No one could ever wear it as well as you\That ambiguous hard-to-describe heat blazing in your chest\When you trace the thread of fate to its end...\Right now, a new day is dawning response:	I know you feel the same way
context: concealed from everyone\But you always saw through me\It was so strange that I didn't know what to do\No one could ever wear it as well as you\That ambiguous hard-to-describe heat blazing in your chest\When you trace the thread of fate to its end...\Right now, a new day is dawning\I know you feel the same way response:	Boss! Thanks for everything!
context: But you always saw through me\It was so strange that I didn't know what to do\No one could ever wear it as well as you\That ambiguous hard-to-describe heat blazing in your chest\When you trace the thread of fate to its end...\Right now, a new day is dawning\I know you feel the same way\Boss! Thanks for everything! response:	-We'll never forget all you did for us! -Take care of yourself!
context: It was so strange that I didn't know what to do\No one could ever wear it as well as you\That ambiguous hard-to-describe heat blazing in your chest\When you trace the thread of fate to its end...\Right now, a new day is dawning\I know you feel the same way\Boss! Thanks for everything!\-We'll never forget all you did for us! -Take care of yourself! response:	Quit crying, you bozos!
context: No one could ever wear it as well as you\That ambiguous hard-to-describe heat blazing in your chest\When you trace the thread of fate to its end...\Right now, a new day is dawning\I know you feel the same way\Boss! Thanks for everything!\-We'll never forget all you did for us! -Take care of yourself!\Quit crying, you bozos! response:	When kids cry, it oughta be to guilt people into something!
context: That ambiguous hard-to-describe heat blazing in your chest\When you trace the thread of fate to its end...\Right now, a new day is dawning\I know you feel the same way\Boss! Thanks for everything!\-We'll never forget all you did for us! -Take care of yourself!\Quit crying, you bozos!\When kids cry, it oughta be to guilt people into something! response:	Here you go, some goodbye croquettes!
context: When you trace the thread of fate to its end...\Right now, a new day is dawning\I know you feel the same way\Boss! Thanks for everything!\-We'll never forget all you did for us! -Take care of yourself!\Quit crying, you bozos!\When kids cry, it oughta be to guilt people into something!\Here you go, some goodbye croquettes! response:	If you don't know what to do, eat some of these and feel pointlessly energetic!
context: Right now, a new day is dawning\I know you feel the same way\Boss! Thanks for everything!\-We'll never forget all you did for us! -Take care of yourself!\Quit crying, you bozos!\When kids cry, it oughta be to guilt people into something!\Here you go, some goodbye croquettes!\If you don't know what to do, eat some of these and feel pointlessly energetic! response:	Ma'am...!
context: I know you feel the same way\Boss! Thanks for everything!\-We'll never forget all you did for us! -Take care of yourself!\Quit crying, you bozos!\When kids cry, it oughta be to guilt people into something!\Here you go, some goodbye croquettes!\If you don't know what to do, eat some of these and feel pointlessly energetic!\Ma'am...! response:	Good luck!
context: Boss! Thanks for everything!\-We'll never forget all you did for us! -Take care of yourself!\Quit crying, you bozos!\When kids cry, it oughta be to guilt people into something!\Here you go, some goodbye croquettes!\If you don't know what to do, eat some of these and feel pointlessly energetic!\Ma'am...!\Good luck! response:	When you get to your new towns, make sure to enroll in elementary school!
context: -We'll never forget all you did for us! -Take care of yourself!\Quit crying, you bozos!\When kids cry, it oughta be to guilt people into something!\Here you go, some goodbye croquettes!\If you don't know what to do, eat some of these and feel pointlessly energetic!\Ma'am...!\Good luck!\When you get to your new towns, make sure to enroll in elementary school! response:	Boss...!
context: Quit crying, you bozos!\When kids cry, it oughta be to guilt people into something!\Here you go, some goodbye croquettes!\If you don't know what to do, eat some of these and feel pointlessly energetic!\Ma'am...!\Good luck!\When you get to your new towns, make sure to enroll in elementary school!\Boss...! response:	Hey! We're moving too!
context: When kids cry, it oughta be to guilt people into something!\Here you go, some goodbye croquettes!\If you don't know what to do, eat some of these and feel pointlessly energetic!\Ma'am...!\Good luck!\When you get to your new towns, make sure to enroll in elementary school!\Boss...!\Hey! We're moving too! response:	Stop goofing around and help!
context: Here you go, some goodbye croquettes!\If you don't know what to do, eat some of these and feel pointlessly energetic!\Ma'am...!\Good luck!\When you get to your new towns, make sure to enroll in elementary school!\Boss...!\Hey! We're moving too!\Stop goofing around and help! response:	Got it, Pops!
context: If you don't know what to do, eat some of these and feel pointlessly energetic!\Ma'am...!\Good luck!\When you get to your new towns, make sure to enroll in elementary school!\Boss...!\Hey! We're moving too!\Stop goofing around and help!\Got it, Pops! response:	Heave ho!
context: Ma'am...!\Good luck!\When you get to your new towns, make sure to enroll in elementary school!\Boss...!\Hey! We're moving too!\Stop goofing around and help!\Got it, Pops!\Heave ho! response:	Ryuuko!
context: Good luck!\When you get to your new towns, make sure to enroll in elementary school!\Boss...!\Hey! We're moving too!\Stop goofing around and help!\Got it, Pops!\Heave ho!\Ryuuko! response:	Mako!
context: When you get to your new towns, make sure to enroll in elementary school!\Boss...!\Hey! We're moving too!\Stop goofing around and help!\Got it, Pops!\Heave ho!\Ryuuko!\Mako! response:	I found out where we're transferring to!
context: Boss...!\Hey! We're moving too!\Stop goofing around and help!\Got it, Pops!\Heave ho!\Ryuuko!\Mako!\I found out where we're transferring to! response:	Rinne High School in Kanagawa!
context: Hey! We're moving too!\Stop goofing around and help!\Got it, Pops!\Heave ho!\Ryuuko!\Mako!\I found out where we're transferring to!\Rinne High School in Kanagawa! response:	We'll be going to the same school again!
context: Stop goofing around and help!\Got it, Pops!\Heave ho!\Ryuuko!\Mako!\I found out where we're transferring to!\Rinne High School in Kanagawa!\We'll be going to the same school again! response:	Hello there, Ryuuko.
context: Got it, Pops!\Heave ho!\Ryuuko!\Mako!\I found out where we're transferring to!\Rinne High School in Kanagawa!\We'll be going to the same school again!\Hello there, Ryuuko. response:	Mikisugi?! Why are you in that old getup again?!
context: Heave ho!\Ryuuko!\Mako!\I found out where we're transferring to!\Rinne High School in Kanagawa!\We'll be going to the same school again!\Hello there, Ryuuko.\Mikisugi?! Why are you in that old getup again?! response:	Well, it's graduation for Honnoji Academy...
context: Ryuuko!\Mako!\I found out where we're transferring to!\Rinne High School in Kanagawa!\We'll be going to the same school again!\Hello there, Ryuuko.\Mikisugi?! Why are you in that old getup again?!\Well, it's graduation for Honnoji Academy... response:	So history teacher Mikisugi Aikurou got invited.
