context: Oh boy... response:	At least we're still alive.
context: We must be grateful.\Hey, he's conscious!\Brace up, Yohei!\The priestess's medicine worked!\Priestess! Yohei is revived!\Evil still seeks this man's life...\What's the matter, Priestess?\Nothing. He'll be all right. response:	He can probably get up tomorrow.
context: Hey, he's conscious!\Brace up, Yohei!\The priestess's medicine worked!\Priestess! Yohei is revived!\Evil still seeks this man's life...\What's the matter, Priestess?\Nothing. He'll be all right.\He can probably get up tomorrow. response:	Does a priestess named Kikyo serve this temple?
context: Brace up, Yohei!\The priestess's medicine worked!\Priestess! Yohei is revived!\Evil still seeks this man's life...\What's the matter, Priestess?\Nothing. He'll be all right.\He can probably get up tomorrow.\Does a priestess named Kikyo serve this temple? response:	Are you the one who tends to soldiers injured in war...
context: The priestess's medicine worked!\Priestess! Yohei is revived!\Evil still seeks this man's life...\What's the matter, Priestess?\Nothing. He'll be all right.\He can probably get up tomorrow.\Does a priestess named Kikyo serve this temple?\Are you the one who tends to soldiers injured in war... response:	regardless of which side they fought...
context: Priestess! Yohei is revived!\Evil still seeks this man's life...\What's the matter, Priestess?\Nothing. He'll be all right.\He can probably get up tomorrow.\Does a priestess named Kikyo serve this temple?\Are you the one who tends to soldiers injured in war...\regardless of which side they fought... response:	and who uses strange powers...
context: Evil still seeks this man's life...\What's the matter, Priestess?\Nothing. He'll be all right.\He can probably get up tomorrow.\Does a priestess named Kikyo serve this temple?\Are you the one who tends to soldiers injured in war...\regardless of which side they fought...\and who uses strange powers... response:	to bring back even those near death back to life?
context: What's the matter, Priestess?\Nothing. He'll be all right.\He can probably get up tomorrow.\Does a priestess named Kikyo serve this temple?\Are you the one who tends to soldiers injured in war...\regardless of which side they fought...\and who uses strange powers...\to bring back even those near death back to life? response:	No strange powers...
context: Nothing. He'll be all right.\He can probably get up tomorrow.\Does a priestess named Kikyo serve this temple?\Are you the one who tends to soldiers injured in war...\regardless of which side they fought...\and who uses strange powers...\to bring back even those near death back to life?\No strange powers... response:	Only knowledge of healing.
context: He can probably get up tomorrow.\Does a priestess named Kikyo serve this temple?\Are you the one who tends to soldiers injured in war...\regardless of which side they fought...\and who uses strange powers...\to bring back even those near death back to life?\No strange powers...\Only knowledge of healing. response:	You can tell us at the castle. Come with us.
context: Does a priestess named Kikyo serve this temple?\Are you the one who tends to soldiers injured in war...\regardless of which side they fought...\and who uses strange powers...\to bring back even those near death back to life?\No strange powers...\Only knowledge of healing.\You can tell us at the castle. Come with us. response:	Lord Kagewaki, master of the Hitomi Clan...
context: Are you the one who tends to soldiers injured in war...\regardless of which side they fought...\and who uses strange powers...\to bring back even those near death back to life?\No strange powers...\Only knowledge of healing.\You can tell us at the castle. Come with us.\Lord Kagewaki, master of the Hitomi Clan... response:	has been in delicate health since birth.
context: regardless of which side they fought...\and who uses strange powers...\to bring back even those near death back to life?\No strange powers...\Only knowledge of healing.\You can tell us at the castle. Come with us.\Lord Kagewaki, master of the Hitomi Clan...\has been in delicate health since birth. response:	He recently became the head of the clan...
context: and who uses strange powers...\to bring back even those near death back to life?\No strange powers...\Only knowledge of healing.\You can tell us at the castle. Come with us.\Lord Kagewaki, master of the Hitomi Clan...\has been in delicate health since birth.\He recently became the head of the clan... response:	after his father passed away.
context: to bring back even those near death back to life?\No strange powers...\Only knowledge of healing.\You can tell us at the castle. Come with us.\Lord Kagewaki, master of the Hitomi Clan...\has been in delicate health since birth.\He recently became the head of the clan...\after his father passed away. response:	His condition has steadily weakened...
context: No strange powers...\Only knowledge of healing.\You can tell us at the castle. Come with us.\Lord Kagewaki, master of the Hitomi Clan...\has been in delicate health since birth.\He recently became the head of the clan...\after his father passed away.\His condition has steadily weakened... response:	and yet, he won't let physicians near him, not even his own vassals.
context: Only knowledge of healing.\You can tell us at the castle. Come with us.\Lord Kagewaki, master of the Hitomi Clan...\has been in delicate health since birth.\He recently became the head of the clan...\after his father passed away.\His condition has steadily weakened...\and yet, he won't let physicians near him, not even his own vassals. response:	No one may pass! The order is...
context: You can tell us at the castle. Come with us.\Lord Kagewaki, master of the Hitomi Clan...\has been in delicate health since birth.\He recently became the head of the clan...\after his father passed away.\His condition has steadily weakened...\and yet, he won't let physicians near him, not even his own vassals.\No one may pass! The order is... response:	I have brought a priestess who will cure Lord Kagewaki.
context: Lord Kagewaki, master of the Hitomi Clan...\has been in delicate health since birth.\He recently became the head of the clan...\after his father passed away.\His condition has steadily weakened...\and yet, he won't let physicians near him, not even his own vassals.\No one may pass! The order is...\I have brought a priestess who will cure Lord Kagewaki. response:	However, the lord forbid entry to anyone!
context: has been in delicate health since birth.\He recently became the head of the clan...\after his father passed away.\His condition has steadily weakened...\and yet, he won't let physicians near him, not even his own vassals.\No one may pass! The order is...\I have brought a priestess who will cure Lord Kagewaki.\However, the lord forbid entry to anyone! response:	The lord refuses to see anyone!
context: He recently became the head of the clan...\after his father passed away.\His condition has steadily weakened...\and yet, he won't let physicians near him, not even his own vassals.\No one may pass! The order is...\I have brought a priestess who will cure Lord Kagewaki.\However, the lord forbid entry to anyone!\The lord refuses to see anyone! response:	What is this castle? This shroud of evil?
context: after his father passed away.\His condition has steadily weakened...\and yet, he won't let physicians near him, not even his own vassals.\No one may pass! The order is...\I have brought a priestess who will cure Lord Kagewaki.\However, the lord forbid entry to anyone!\The lord refuses to see anyone!\What is this castle? This shroud of evil? response:	Hey!
context: His condition has steadily weakened...\and yet, he won't let physicians near him, not even his own vassals.\No one may pass! The order is...\I have brought a priestess who will cure Lord Kagewaki.\However, the lord forbid entry to anyone!\The lord refuses to see anyone!\What is this castle? This shroud of evil?\Hey! response:	So this man is the lord?
context: and yet, he won't let physicians near him, not even his own vassals.\No one may pass! The order is...\I have brought a priestess who will cure Lord Kagewaki.\However, the lord forbid entry to anyone!\The lord refuses to see anyone!\What is this castle? This shroud of evil?\Hey!\So this man is the lord? response:	I sense no life in him.
context: No one may pass! The order is...\I have brought a priestess who will cure Lord Kagewaki.\However, the lord forbid entry to anyone!\The lord refuses to see anyone!\What is this castle? This shroud of evil?\Hey!\So this man is the lord?\I sense no life in him. response:	As if he is dead from neck down.
context: I have brought a priestess who will cure Lord Kagewaki.\However, the lord forbid entry to anyone!\The lord refuses to see anyone!\What is this castle? This shroud of evil?\Hey!\So this man is the lord?\I sense no life in him.\As if he is dead from neck down. response:	Kikyo...
context: However, the lord forbid entry to anyone!\The lord refuses to see anyone!\What is this castle? This shroud of evil?\Hey!\So this man is the lord?\I sense no life in him.\As if he is dead from neck down.\Kikyo... response:	Forgive me, my lord!
context: The lord refuses to see anyone!\What is this castle? This shroud of evil?\Hey!\So this man is the lord?\I sense no life in him.\As if he is dead from neck down.\Kikyo...\Forgive me, my lord! response:	But she refuses to stay away!
context: What is this castle? This shroud of evil?\Hey!\So this man is the lord?\I sense no life in him.\As if he is dead from neck down.\Kikyo...\Forgive me, my lord!\But she refuses to stay away! response:	She claimed to cure your illness and forced herself!
context: Hey!\So this man is the lord?\I sense no life in him.\As if he is dead from neck down.\Kikyo...\Forgive me, my lord!\But she refuses to stay away!\She claimed to cure your illness and forced herself! response:	Calm down.
context: So this man is the lord?\I sense no life in him.\As if he is dead from neck down.\Kikyo...\Forgive me, my lord!\But she refuses to stay away!\She claimed to cure your illness and forced herself!\Calm down. response:	Leave!
context: I sense no life in him.\As if he is dead from neck down.\Kikyo...\Forgive me, my lord!\But she refuses to stay away!\She claimed to cure your illness and forced herself!\Calm down.\Leave! response:	Yes sire!
context: As if he is dead from neck down.\Kikyo...\Forgive me, my lord!\But she refuses to stay away!\She claimed to cure your illness and forced herself!\Calm down.\Leave!\Yes sire! response:	You there... what is your name?
context: Kikyo...\Forgive me, my lord!\But she refuses to stay away!\She claimed to cure your illness and forced herself!\Calm down.\Leave!\Yes sire!\You there... what is your name? response:	Kikyo.
context: Forgive me, my lord!\But she refuses to stay away!\She claimed to cure your illness and forced herself!\Calm down.\Leave!\Yes sire!\You there... what is your name?\Kikyo. response:	Kikyo is alive.
context: But she refuses to stay away!\She claimed to cure your illness and forced herself!\Calm down.\Leave!\Yes sire!\You there... what is your name?\Kikyo.\Kikyo is alive. response:	The woman I myself set up fifty years ago...
context: She claimed to cure your illness and forced herself!\Calm down.\Leave!\Yes sire!\You there... what is your name?\Kikyo.\Kikyo is alive.\The woman I myself set up fifty years ago... response:	the woman who died, taking the Sacred Jewel with her...
context: Calm down.\Leave!\Yes sire!\You there... what is your name?\Kikyo.\Kikyo is alive.\The woman I myself set up fifty years ago...\the woman who died, taking the Sacred Jewel with her... response:	is still alive.
context: Leave!\Yes sire!\You there... what is your name?\Kikyo.\Kikyo is alive.\The woman I myself set up fifty years ago...\the woman who died, taking the Sacred Jewel with her...\is still alive. response:	This woman... What's going on...?!
context: Yes sire!\You there... what is your name?\Kikyo.\Kikyo is alive.\The woman I myself set up fifty years ago...\the woman who died, taking the Sacred Jewel with her...\is still alive.\This woman... What's going on...?! response:	W-what? This is awful!
context: You there... what is your name?\Kikyo.\Kikyo is alive.\The woman I myself set up fifty years ago...\the woman who died, taking the Sacred Jewel with her...\is still alive.\This woman... What's going on...?!\W-what? This is awful! response:	These, too. All withered.
context: Kikyo.\Kikyo is alive.\The woman I myself set up fifty years ago...\the woman who died, taking the Sacred Jewel with her...\is still alive.\This woman... What's going on...?!\W-what? This is awful!\These, too. All withered. response:	What's going on? There's no dry spell.
context: Kikyo is alive.\The woman I myself set up fifty years ago...\the woman who died, taking the Sacred Jewel with her...\is still alive.\This woman... What's going on...?!\W-what? This is awful!\These, too. All withered.\What's going on? There's no dry spell. response:	Suddenly this past month...
context: The woman I myself set up fifty years ago...\the woman who died, taking the Sacred Jewel with her...\is still alive.\This woman... What's going on...?!\W-what? This is awful!\These, too. All withered.\What's going on? There's no dry spell.\Suddenly this past month... response:	Huh? Rain?
context: the woman who died, taking the Sacred Jewel with her...\is still alive.\This woman... What's going on...?!\W-what? This is awful!\These, too. All withered.\What's going on? There's no dry spell.\Suddenly this past month...\Huh? Rain? response:	l-it's red... like blood.
context: is still alive.\This woman... What's going on...?!\W-what? This is awful!\These, too. All withered.\What's going on? There's no dry spell.\Suddenly this past month...\Huh? Rain?\l-it's red... like blood. response:	What's that?!
context: This woman... What's going on...?!\W-what? This is awful!\These, too. All withered.\What's going on? There's no dry spell.\Suddenly this past month...\Huh? Rain?\l-it's red... like blood.\What's that?! response:	Hmm... So it rained pieces of demon carcasses?
context: W-what? This is awful!\These, too. All withered.\What's going on? There's no dry spell.\Suddenly this past month...\Huh? Rain?\l-it's red... like blood.\What's that?!\Hmm... So it rained pieces of demon carcasses? response:	Yes... it was so creepy!
context: These, too. All withered.\What's going on? There's no dry spell.\Suddenly this past month...\Huh? Rain?\l-it's red... like blood.\What's that?!\Hmm... So it rained pieces of demon carcasses?\Yes... it was so creepy! response:	Our fields are ruined.
context: What's going on? There's no dry spell.\Suddenly this past month...\Huh? Rain?\l-it's red... like blood.\What's that?!\Hmm... So it rained pieces of demon carcasses?\Yes... it was so creepy!\Our fields are ruined. response:	Not only our fields...
context: Suddenly this past month...\Huh? Rain?\l-it's red... like blood.\What's that?!\Hmm... So it rained pieces of demon carcasses?\Yes... it was so creepy!\Our fields are ruined.\Not only our fields... response:	the elderly, the young and the weak...
context: Huh? Rain?\l-it's red... like blood.\What's that?!\Hmm... So it rained pieces of demon carcasses?\Yes... it was so creepy!\Our fields are ruined.\Not only our fields...\the elderly, the young and the weak... response:	so many of them have succumbed!
context: l-it's red... like blood.\What's that?!\Hmm... So it rained pieces of demon carcasses?\Yes... it was so creepy!\Our fields are ruined.\Not only our fields...\the elderly, the young and the weak...\so many of them have succumbed! response:	I expect that much...
context: What's that?!\Hmm... So it rained pieces of demon carcasses?\Yes... it was so creepy!\Our fields are ruined.\Not only our fields...\the elderly, the young and the weak...\so many of them have succumbed!\I expect that much... response:	There must be a source for a very strong miasma near by.
context: Hmm... So it rained pieces of demon carcasses?\Yes... it was so creepy!\Our fields are ruined.\Not only our fields...\the elderly, the young and the weak...\so many of them have succumbed!\I expect that much...\There must be a source for a very strong miasma near by. response:	I understand.
context: Yes... it was so creepy!\Our fields are ruined.\Not only our fields...\the elderly, the young and the weak...\so many of them have succumbed!\I expect that much...\There must be a source for a very strong miasma near by.\I understand. response:	So we're gonna help again?
context: Our fields are ruined.\Not only our fields...\the elderly, the young and the weak...\so many of them have succumbed!\I expect that much...\There must be a source for a very strong miasma near by.\I understand.\So we're gonna help again? response:	Do we really have time for this?
context: Not only our fields...\the elderly, the young and the weak...\so many of them have succumbed!\I expect that much...\There must be a source for a very strong miasma near by.\I understand.\So we're gonna help again?\Do we really have time for this? response:	We have to find Naraku!
context: the elderly, the young and the weak...\so many of them have succumbed!\I expect that much...\There must be a source for a very strong miasma near by.\I understand.\So we're gonna help again?\Do we really have time for this?\We have to find Naraku! response:	Even if you apologize, I won't forgive you!
context: so many of them have succumbed!\I expect that much...\There must be a source for a very strong miasma near by.\I understand.\So we're gonna help again?\Do we really have time for this?\We have to find Naraku!\Even if you apologize, I won't forgive you! response:	About Naraku...
context: I expect that much...\There must be a source for a very strong miasma near by.\I understand.\So we're gonna help again?\Do we really have time for this?\We have to find Naraku!\Even if you apologize, I won't forgive you!\About Naraku... response:	That arrow that Kagome shot...
context: There must be a source for a very strong miasma near by.\I understand.\So we're gonna help again?\Do we really have time for this?\We have to find Naraku!\Even if you apologize, I won't forgive you!\About Naraku...\That arrow that Kagome shot... response:	should have caused a very deep wound.
context: I understand.\So we're gonna help again?\Do we really have time for this?\We have to find Naraku!\Even if you apologize, I won't forgive you!\About Naraku...\That arrow that Kagome shot...\should have caused a very deep wound. response:	As strong as he may be, Naraku would be out of commission for a while.
context: So we're gonna help again?\Do we really have time for this?\We have to find Naraku!\Even if you apologize, I won't forgive you!\About Naraku...\That arrow that Kagome shot...\should have caused a very deep wound.\As strong as he may be, Naraku would be out of commission for a while. response:	Besides...
context: Do we really have time for this?\We have to find Naraku!\Even if you apologize, I won't forgive you!\About Naraku...\That arrow that Kagome shot...\should have caused a very deep wound.\As strong as he may be, Naraku would be out of commission for a while.\Besides... response:	I've already received a gratuity. We must help.
context: We have to find Naraku!\Even if you apologize, I won't forgive you!\About Naraku...\That arrow that Kagome shot...\should have caused a very deep wound.\As strong as he may be, Naraku would be out of commission for a while.\Besides...\I've already received a gratuity. We must help. response:	When'd you?!
context: Even if you apologize, I won't forgive you!\About Naraku...\That arrow that Kagome shot...\should have caused a very deep wound.\As strong as he may be, Naraku would be out of commission for a while.\Besides...\I've already received a gratuity. We must help.\When'd you?! response:	Don't take it then!
context: About Naraku...\That arrow that Kagome shot...\should have caused a very deep wound.\As strong as he may be, Naraku would be out of commission for a while.\Besides...\I've already received a gratuity. We must help.\When'd you?!\Don't take it then! response:	And don't you get gratuities after you do something?!
context: That arrow that Kagome shot...\should have caused a very deep wound.\As strong as he may be, Naraku would be out of commission for a while.\Besides...\I've already received a gratuity. We must help.\When'd you?!\Don't take it then!\And don't you get gratuities after you do something?! response:	After the fact, they usually give less.
context: should have caused a very deep wound.\As strong as he may be, Naraku would be out of commission for a while.\Besides...\I've already received a gratuity. We must help.\When'd you?!\Don't take it then!\And don't you get gratuities after you do something?!\After the fact, they usually give less. response:	You amaze me! You dirty priest!
context: As strong as he may be, Naraku would be out of commission for a while.\Besides...\I've already received a gratuity. We must help.\When'd you?!\Don't take it then!\And don't you get gratuities after you do something?!\After the fact, they usually give less.\You amaze me! You dirty priest! response:	I am a monk.
context: Besides...\I've already received a gratuity. We must help.\When'd you?!\Don't take it then!\And don't you get gratuities after you do something?!\After the fact, they usually give less.\You amaze me! You dirty priest!\I am a monk. response:	Sango, what's the matter?
context: I've already received a gratuity. We must help.\When'd you?!\Don't take it then!\And don't you get gratuities after you do something?!\After the fact, they usually give less.\You amaze me! You dirty priest!\I am a monk.\Sango, what's the matter? response:	I'm pretty sure the miasma source is over at the base of that mountain.
context: When'd you?!\Don't take it then!\And don't you get gratuities after you do something?!\After the fact, they usually give less.\You amaze me! You dirty priest!\I am a monk.\Sango, what's the matter?\I'm pretty sure the miasma source is over at the base of that mountain. response:	I was wondering if there is a demon other than Naraku...
context: Don't take it then!\And don't you get gratuities after you do something?!\After the fact, they usually give less.\You amaze me! You dirty priest!\I am a monk.\Sango, what's the matter?\I'm pretty sure the miasma source is over at the base of that mountain.\I was wondering if there is a demon other than Naraku... response:	who could create a miasma so strong.
context: And don't you get gratuities after you do something?!\After the fact, they usually give less.\You amaze me! You dirty priest!\I am a monk.\Sango, what's the matter?\I'm pretty sure the miasma source is over at the base of that mountain.\I was wondering if there is a demon other than Naraku...\who could create a miasma so strong. response:	Other than Naraku?
context: After the fact, they usually give less.\You amaze me! You dirty priest!\I am a monk.\Sango, what's the matter?\I'm pretty sure the miasma source is over at the base of that mountain.\I was wondering if there is a demon other than Naraku...\who could create a miasma so strong.\Other than Naraku? response:	Well Kikyo?
context: You amaze me! You dirty priest!\I am a monk.\Sango, what's the matter?\I'm pretty sure the miasma source is over at the base of that mountain.\I was wondering if there is a demon other than Naraku...\who could create a miasma so strong.\Other than Naraku?\Well Kikyo? response:	What do you make of the Lord's illness?
context: I am a monk.\Sango, what's the matter?\I'm pretty sure the miasma source is over at the base of that mountain.\I was wondering if there is a demon other than Naraku...\who could create a miasma so strong.\Other than Naraku?\Well Kikyo?\What do you make of the Lord's illness? response:	Well... I think it may be beyond my skills.
context: Sango, what's the matter?\I'm pretty sure the miasma source is over at the base of that mountain.\I was wondering if there is a demon other than Naraku...\who could create a miasma so strong.\Other than Naraku?\Well Kikyo?\What do you make of the Lord's illness?\Well... I think it may be beyond my skills. response:	I see... I knew it was no ordinary illness.
context: I'm pretty sure the miasma source is over at the base of that mountain.\I was wondering if there is a demon other than Naraku...\who could create a miasma so strong.\Other than Naraku?\Well Kikyo?\What do you make of the Lord's illness?\Well... I think it may be beyond my skills.\I see... I knew it was no ordinary illness. response:	So even you will abandon him.
context: I was wondering if there is a demon other than Naraku...\who could create a miasma so strong.\Other than Naraku?\Well Kikyo?\What do you make of the Lord's illness?\Well... I think it may be beyond my skills.\I see... I knew it was no ordinary illness.\So even you will abandon him. response:	I am merely a priestess. Please permit me to leave.
context: who could create a miasma so strong.\Other than Naraku?\Well Kikyo?\What do you make of the Lord's illness?\Well... I think it may be beyond my skills.\I see... I knew it was no ordinary illness.\So even you will abandon him.\I am merely a priestess. Please permit me to leave. response:	Forgive me, but the Lord has forbidden you to leave.
context: Other than Naraku?\Well Kikyo?\What do you make of the Lord's illness?\Well... I think it may be beyond my skills.\I see... I knew it was no ordinary illness.\So even you will abandon him.\I am merely a priestess. Please permit me to leave.\Forgive me, but the Lord has forbidden you to leave. response:	We will have you stay here for awhile.
context: Well Kikyo?\What do you make of the Lord's illness?\Well... I think it may be beyond my skills.\I see... I knew it was no ordinary illness.\So even you will abandon him.\I am merely a priestess. Please permit me to leave.\Forgive me, but the Lord has forbidden you to leave.\We will have you stay here for awhile. response:	Kikyo is supposed to have died...
context: What do you make of the Lord's illness?\Well... I think it may be beyond my skills.\I see... I knew it was no ordinary illness.\So even you will abandon him.\I am merely a priestess. Please permit me to leave.\Forgive me, but the Lord has forbidden you to leave.\We will have you stay here for awhile.\Kikyo is supposed to have died... response:	I can wait to kill her...
context: Well... I think it may be beyond my skills.\I see... I knew it was no ordinary illness.\So even you will abandon him.\I am merely a priestess. Please permit me to leave.\Forgive me, but the Lord has forbidden you to leave.\We will have you stay here for awhile.\Kikyo is supposed to have died...\I can wait to kill her... response:	until after I discover her true self.
context: I see... I knew it was no ordinary illness.\So even you will abandon him.\I am merely a priestess. Please permit me to leave.\Forgive me, but the Lord has forbidden you to leave.\We will have you stay here for awhile.\Kikyo is supposed to have died...\I can wait to kill her...\until after I discover her true self. response:	Tonight, my wishes will be fulfilled.
context: So even you will abandon him.\I am merely a priestess. Please permit me to leave.\Forgive me, but the Lord has forbidden you to leave.\We will have you stay here for awhile.\Kikyo is supposed to have died...\I can wait to kill her...\until after I discover her true self.\Tonight, my wishes will be fulfilled. response:	I've found an interesting woman.
context: I am merely a priestess. Please permit me to leave.\Forgive me, but the Lord has forbidden you to leave.\We will have you stay here for awhile.\Kikyo is supposed to have died...\I can wait to kill her...\until after I discover her true self.\Tonight, my wishes will be fulfilled.\I've found an interesting woman. response:	Because of the miasma, not even a blade of grass grows here.
context: Forgive me, but the Lord has forbidden you to leave.\We will have you stay here for awhile.\Kikyo is supposed to have died...\I can wait to kill her...\until after I discover her true self.\Tonight, my wishes will be fulfilled.\I've found an interesting woman.\Because of the miasma, not even a blade of grass grows here. response:	We'll soon be there...
context: We will have you stay here for awhile.\Kikyo is supposed to have died...\I can wait to kill her...\until after I discover her true self.\Tonight, my wishes will be fulfilled.\I've found an interesting woman.\Because of the miasma, not even a blade of grass grows here.\We'll soon be there... response:	What's going on in this mountain anyway?
context: Kikyo is supposed to have died...\I can wait to kill her...\until after I discover her true self.\Tonight, my wishes will be fulfilled.\I've found an interesting woman.\Because of the miasma, not even a blade of grass grows here.\We'll soon be there...\What's going on in this mountain anyway? response:	Huh?
context: I can wait to kill her...\until after I discover her true self.\Tonight, my wishes will be fulfilled.\I've found an interesting woman.\Because of the miasma, not even a blade of grass grows here.\We'll soon be there...\What's going on in this mountain anyway?\Huh? response:	What's the cave?
context: until after I discover her true self.\Tonight, my wishes will be fulfilled.\I've found an interesting woman.\Because of the miasma, not even a blade of grass grows here.\We'll soon be there...\What's going on in this mountain anyway?\Huh?\What's the cave? response:	The miasma comes from...
context: Tonight, my wishes will be fulfilled.\I've found an interesting woman.\Because of the miasma, not even a blade of grass grows here.\We'll soon be there...\What's going on in this mountain anyway?\Huh?\What's the cave?\The miasma comes from... response:	Sango!
context: I've found an interesting woman.\Because of the miasma, not even a blade of grass grows here.\We'll soon be there...\What's going on in this mountain anyway?\Huh?\What's the cave?\The miasma comes from...\Sango! response:	Are you all right?
context: Because of the miasma, not even a blade of grass grows here.\We'll soon be there...\What's going on in this mountain anyway?\Huh?\What's the cave?\The miasma comes from...\Sango!\Are you all right? response:	You're still not fully recovered. You must take it easy.
context: We'll soon be there...\What's going on in this mountain anyway?\Huh?\What's the cave?\The miasma comes from...\Sango!\Are you all right?\You're still not fully recovered. You must take it easy. response:	Sango and Kagome, you wait here.
context: What's going on in this mountain anyway?\Huh?\What's the cave?\The miasma comes from...\Sango!\Are you all right?\You're still not fully recovered. You must take it easy.\Sango and Kagome, you wait here. response:	It's only a demon-slaying...
context: Huh?\What's the cave?\The miasma comes from...\Sango!\Are you all right?\You're still not fully recovered. You must take it easy.\Sango and Kagome, you wait here.\It's only a demon-slaying... response:	no sense in all of us going in there.
context: What's the cave?\The miasma comes from...\Sango!\Are you all right?\You're still not fully recovered. You must take it easy.\Sango and Kagome, you wait here.\It's only a demon-slaying...\no sense in all of us going in there. response:	Miroku, let's go.
context: The miasma comes from...\Sango!\Are you all right?\You're still not fully recovered. You must take it easy.\Sango and Kagome, you wait here.\It's only a demon-slaying...\no sense in all of us going in there.\Miroku, let's go. response:	Shippo, the miasma doesn't seem to bother you.
context: Sango!\Are you all right?\You're still not fully recovered. You must take it easy.\Sango and Kagome, you wait here.\It's only a demon-slaying...\no sense in all of us going in there.\Miroku, let's go.\Shippo, the miasma doesn't seem to bother you. response:	Watch over them.
context: Are you all right?\You're still not fully recovered. You must take it easy.\Sango and Kagome, you wait here.\It's only a demon-slaying...\no sense in all of us going in there.\Miroku, let's go.\Shippo, the miasma doesn't seem to bother you.\Watch over them. response:	Leave it to me!
context: You're still not fully recovered. You must take it easy.\Sango and Kagome, you wait here.\It's only a demon-slaying...\no sense in all of us going in there.\Miroku, let's go.\Shippo, the miasma doesn't seem to bother you.\Watch over them.\Leave it to me! response:	Be careful. This miasma is pretty strong.
context: Sango and Kagome, you wait here.\It's only a demon-slaying...\no sense in all of us going in there.\Miroku, let's go.\Shippo, the miasma doesn't seem to bother you.\Watch over them.\Leave it to me!\Be careful. This miasma is pretty strong. response:	I can feel...
context: It's only a demon-slaying...\no sense in all of us going in there.\Miroku, let's go.\Shippo, the miasma doesn't seem to bother you.\Watch over them.\Leave it to me!\Be careful. This miasma is pretty strong.\I can feel... response:	a strong whirling miasma.
context: no sense in all of us going in there.\Miroku, let's go.\Shippo, the miasma doesn't seem to bother you.\Watch over them.\Leave it to me!\Be careful. This miasma is pretty strong.\I can feel...\a strong whirling miasma. response:	Shall I go?
context: Miroku, let's go.\Shippo, the miasma doesn't seem to bother you.\Watch over them.\Leave it to me!\Be careful. This miasma is pretty strong.\I can feel...\a strong whirling miasma.\Shall I go? response:	Let me out.
context: Shippo, the miasma doesn't seem to bother you.\Watch over them.\Leave it to me!\Be careful. This miasma is pretty strong.\I can feel...\a strong whirling miasma.\Shall I go?\Let me out. response:	And bring me a bow and arrow.
context: Watch over them.\Leave it to me!\Be careful. This miasma is pretty strong.\I can feel...\a strong whirling miasma.\Shall I go?\Let me out.\And bring me a bow and arrow. response:	Sango, are you all right?
context: Leave it to me!\Be careful. This miasma is pretty strong.\I can feel...\a strong whirling miasma.\Shall I go?\Let me out.\And bring me a bow and arrow.\Sango, are you all right? response:	The miasma is getting stronger.
context: Be careful. This miasma is pretty strong.\I can feel...\a strong whirling miasma.\Shall I go?\Let me out.\And bring me a bow and arrow.\Sango, are you all right?\The miasma is getting stronger. response:	Yes... Kagome, how can you put up with it?
context: I can feel...\a strong whirling miasma.\Shall I go?\Let me out.\And bring me a bow and arrow.\Sango, are you all right?\The miasma is getting stronger.\Yes... Kagome, how can you put up with it? response:	Uh-huh... for now.
context: a strong whirling miasma.\Shall I go?\Let me out.\And bring me a bow and arrow.\Sango, are you all right?\The miasma is getting stronger.\Yes... Kagome, how can you put up with it?\Uh-huh... for now. response:	What's this? Something's pulling me in!
