context: TS response:	We need to make it to the harbor!
context: Or is it to ally with the Secrets?\Or is it to protect the Scub Coral?\The independence you wanted is just as insane as what Truth wanted!\It's never going to happen!\Gazelle... You're talking about yourself, man.\Shut up! It's the same thing.\Listen!\In the business world, even if a common enemy appears, response:	it's naive to change the implemented strategy immediately.
context: Or is it to protect the Scub Coral?\The independence you wanted is just as insane as what Truth wanted!\It's never going to happen!\Gazelle... You're talking about yourself, man.\Shut up! It's the same thing.\Listen!\In the business world, even if a common enemy appears,\it's naive to change the implemented strategy immediately. response:	If we tell the people that Truth is the kin of the Secrets, they would
context: The independence you wanted is just as insane as what Truth wanted!\It's never going to happen!\Gazelle... You're talking about yourself, man.\Shut up! It's the same thing.\Listen!\In the business world, even if a common enemy appears,\it's naive to change the implemented strategy immediately.\If we tell the people that Truth is the kin of the Secrets, they would response:	You're calling us naive?
context: It's never going to happen!\Gazelle... You're talking about yourself, man.\Shut up! It's the same thing.\Listen!\In the business world, even if a common enemy appears,\it's naive to change the implemented strategy immediately.\If we tell the people that Truth is the kin of the Secrets, they would\You're calling us naive? response:	Sorry, but we soldiers are the biggest romantics in the world.
context: Gazelle... You're talking about yourself, man.\Shut up! It's the same thing.\Listen!\In the business world, even if a common enemy appears,\it's naive to change the implemented strategy immediately.\If we tell the people that Truth is the kin of the Secrets, they would\You're calling us naive?\Sorry, but we soldiers are the biggest romantics in the world. response:	Nobody desires world peace more than we do.
context: Shut up! It's the same thing.\Listen!\In the business world, even if a common enemy appears,\it's naive to change the implemented strategy immediately.\If we tell the people that Truth is the kin of the Secrets, they would\You're calling us naive?\Sorry, but we soldiers are the biggest romantics in the world.\Nobody desires world peace more than we do. response:	Just because there were minor problems with the Coral Carrier experiments,
context: Listen!\In the business world, even if a common enemy appears,\it's naive to change the implemented strategy immediately.\If we tell the people that Truth is the kin of the Secrets, they would\You're calling us naive?\Sorry, but we soldiers are the biggest romantics in the world.\Nobody desires world peace more than we do.\Just because there were minor problems with the Coral Carrier experiments, response:	you're going to act in panic and surrender to the Secrets?
context: In the business world, even if a common enemy appears,\it's naive to change the implemented strategy immediately.\If we tell the people that Truth is the kin of the Secrets, they would\You're calling us naive?\Sorry, but we soldiers are the biggest romantics in the world.\Nobody desires world peace more than we do.\Just because there were minor problems with the Coral Carrier experiments,\you're going to act in panic and surrender to the Secrets? response:	And that's strange, Stanley Fry?
context: it's naive to change the implemented strategy immediately.\If we tell the people that Truth is the kin of the Secrets, they would\You're calling us naive?\Sorry, but we soldiers are the biggest romantics in the world.\Nobody desires world peace more than we do.\Just because there were minor problems with the Coral Carrier experiments,\you're going to act in panic and surrender to the Secrets?\And that's strange, Stanley Fry? response:	What are you so surprised about?
context: If we tell the people that Truth is the kin of the Secrets, they would\You're calling us naive?\Sorry, but we soldiers are the biggest romantics in the world.\Nobody desires world peace more than we do.\Just because there were minor problems with the Coral Carrier experiments,\you're going to act in panic and surrender to the Secrets?\And that's strange, Stanley Fry?\What are you so surprised about? response:	You didn't expect negotiations with the US to go this easily?
context: You're calling us naive?\Sorry, but we soldiers are the biggest romantics in the world.\Nobody desires world peace more than we do.\Just because there were minor problems with the Coral Carrier experiments,\you're going to act in panic and surrender to the Secrets?\And that's strange, Stanley Fry?\What are you so surprised about?\You didn't expect negotiations with the US to go this easily? response:	Secret... I thought you were destroyed!
context: Sorry, but we soldiers are the biggest romantics in the world.\Nobody desires world peace more than we do.\Just because there were minor problems with the Coral Carrier experiments,\you're going to act in panic and surrender to the Secrets?\And that's strange, Stanley Fry?\What are you so surprised about?\You didn't expect negotiations with the US to go this easily?\Secret... I thought you were destroyed! response:	My conscience has already fused with Georg and exists in countless instances.
context: Nobody desires world peace more than we do.\Just because there were minor problems with the Coral Carrier experiments,\you're going to act in panic and surrender to the Secrets?\And that's strange, Stanley Fry?\What are you so surprised about?\You didn't expect negotiations with the US to go this easily?\Secret... I thought you were destroyed!\My conscience has already fused with Georg and exists in countless instances. response:	Dammit!
context: Just because there were minor problems with the Coral Carrier experiments,\you're going to act in panic and surrender to the Secrets?\And that's strange, Stanley Fry?\What are you so surprised about?\You didn't expect negotiations with the US to go this easily?\Secret... I thought you were destroyed!\My conscience has already fused with Georg and exists in countless instances.\Dammit! response:	Ao!
context: you're going to act in panic and surrender to the Secrets?\And that's strange, Stanley Fry?\What are you so surprised about?\You didn't expect negotiations with the US to go this easily?\Secret... I thought you were destroyed!\My conscience has already fused with Georg and exists in countless instances.\Dammit!\Ao! response:	Fleur...
context: And that's strange, Stanley Fry?\What are you so surprised about?\You didn't expect negotiations with the US to go this easily?\Secret... I thought you were destroyed!\My conscience has already fused with Georg and exists in countless instances.\Dammit!\Ao!\Fleur... response:	What are you doing, Ao?! Hurry up already!
context: What are you so surprised about?\You didn't expect negotiations with the US to go this easily?\Secret... I thought you were destroyed!\My conscience has already fused with Georg and exists in countless instances.\Dammit!\Ao!\Fleur...\What are you doing, Ao?! Hurry up already! response:	Elena?
context: You didn't expect negotiations with the US to go this easily?\Secret... I thought you were destroyed!\My conscience has already fused with Georg and exists in countless instances.\Dammit!\Ao!\Fleur...\What are you doing, Ao?! Hurry up already!\Elena? response:	Dammit... So I have to use this, after all?
context: Secret... I thought you were destroyed!\My conscience has already fused with Georg and exists in countless instances.\Dammit!\Ao!\Fleur...\What are you doing, Ao?! Hurry up already!\Elena?\Dammit... So I have to use this, after all? response:	What was that?
context: My conscience has already fused with Georg and exists in countless instances.\Dammit!\Ao!\Fleur...\What are you doing, Ao?! Hurry up already!\Elena?\Dammit... So I have to use this, after all?\What was that? response:	Elena, take care of Truth! I'll deal with this white one.
context: Dammit!\Ao!\Fleur...\What are you doing, Ao?! Hurry up already!\Elena?\Dammit... So I have to use this, after all?\What was that?\Elena, take care of Truth! I'll deal with this white one. response:	Who are you?
context: Ao!\Fleur...\What are you doing, Ao?! Hurry up already!\Elena?\Dammit... So I have to use this, after all?\What was that?\Elena, take care of Truth! I'll deal with this white one.\Who are you? response:	What are you to Ao?!
context: Fleur...\What are you doing, Ao?! Hurry up already!\Elena?\Dammit... So I have to use this, after all?\What was that?\Elena, take care of Truth! I'll deal with this white one.\Who are you?\What are you to Ao?! response:	Elena?
context: What are you doing, Ao?! Hurry up already!\Elena?\Dammit... So I have to use this, after all?\What was that?\Elena, take care of Truth! I'll deal with this white one.\Who are you?\What are you to Ao?!\Elena? response:	Dammit!
context: Elena?\Dammit... So I have to use this, after all?\What was that?\Elena, take care of Truth! I'll deal with this white one.\Who are you?\What are you to Ao?!\Elena?\Dammit! response:	Stop!
context: Dammit... So I have to use this, after all?\What was that?\Elena, take care of Truth! I'll deal with this white one.\Who are you?\What are you to Ao?!\Elena?\Dammit!\Stop! response:	Naru, why? Why are you helping him?
context: What was that?\Elena, take care of Truth! I'll deal with this white one.\Who are you?\What are you to Ao?!\Elena?\Dammit!\Stop!\Naru, why? Why are you helping him? response:	Because you can't win against Truth.
context: Elena, take care of Truth! I'll deal with this white one.\Who are you?\What are you to Ao?!\Elena?\Dammit!\Stop!\Naru, why? Why are you helping him?\Because you can't win against Truth. response:	You can't even hold your ground against my Nirvash.
context: Who are you?\What are you to Ao?!\Elena?\Dammit!\Stop!\Naru, why? Why are you helping him?\Because you can't win against Truth.\You can't even hold your ground against my Nirvash. response:	And that's because you don't have your Archetype.
context: What are you to Ao?!\Elena?\Dammit!\Stop!\Naru, why? Why are you helping him?\Because you can't win against Truth.\You can't even hold your ground against my Nirvash.\And that's because you don't have your Archetype. response:	What's an Archetype?
context: Elena?\Dammit!\Stop!\Naru, why? Why are you helping him?\Because you can't win against Truth.\You can't even hold your ground against my Nirvash.\And that's because you don't have your Archetype.\What's an Archetype? response:	The trapar's...
context: Dammit!\Stop!\Naru, why? Why are you helping him?\Because you can't win against Truth.\You can't even hold your ground against my Nirvash.\And that's because you don't have your Archetype.\What's an Archetype?\The trapar's... response:	This Nirvash is alive.
context: Stop!\Naru, why? Why are you helping him?\Because you can't win against Truth.\You can't even hold your ground against my Nirvash.\And that's because you don't have your Archetype.\What's an Archetype?\The trapar's...\This Nirvash is alive. response:	Just like Coralians, there's an Archetype inside of it.
context: Naru, why? Why are you helping him?\Because you can't win against Truth.\You can't even hold your ground against my Nirvash.\And that's because you don't have your Archetype.\What's an Archetype?\The trapar's...\This Nirvash is alive.\Just like Coralians, there's an Archetype inside of it. response:	Yours is nothing more than a machine!
context: Because you can't win against Truth.\You can't even hold your ground against my Nirvash.\And that's because you don't have your Archetype.\What's an Archetype?\The trapar's...\This Nirvash is alive.\Just like Coralians, there's an Archetype inside of it.\Yours is nothing more than a machine! response:	Naru!
context: You can't even hold your ground against my Nirvash.\And that's because you don't have your Archetype.\What's an Archetype?\The trapar's...\This Nirvash is alive.\Just like Coralians, there's an Archetype inside of it.\Yours is nothing more than a machine!\Naru! response:	The Scub Coral will spread and a new age will begin...
context: And that's because you don't have your Archetype.\What's an Archetype?\The trapar's...\This Nirvash is alive.\Just like Coralians, there's an Archetype inside of it.\Yours is nothing more than a machine!\Naru!\The Scub Coral will spread and a new age will begin... response:	A new world where no one will have to suffer.
context: What's an Archetype?\The trapar's...\This Nirvash is alive.\Just like Coralians, there's an Archetype inside of it.\Yours is nothing more than a machine!\Naru!\The Scub Coral will spread and a new age will begin...\A new world where no one will have to suffer. response:	That will be our world, Ao!
context: The trapar's...\This Nirvash is alive.\Just like Coralians, there's an Archetype inside of it.\Yours is nothing more than a machine!\Naru!\The Scub Coral will spread and a new age will begin...\A new world where no one will have to suffer.\That will be our world, Ao! response:	The Scub or the Secrets... Are there no other options?!
context: This Nirvash is alive.\Just like Coralians, there's an Archetype inside of it.\Yours is nothing more than a machine!\Naru!\The Scub Coral will spread and a new age will begin...\A new world where no one will have to suffer.\That will be our world, Ao!\The Scub or the Secrets... Are there no other options?! response:	Fleur, behind you!
context: Just like Coralians, there's an Archetype inside of it.\Yours is nothing more than a machine!\Naru!\The Scub Coral will spread and a new age will begin...\A new world where no one will have to suffer.\That will be our world, Ao!\The Scub or the Secrets... Are there no other options?!\Fleur, behind you! response:	What?
context: Yours is nothing more than a machine!\Naru!\The Scub Coral will spread and a new age will begin...\A new world where no one will have to suffer.\That will be our world, Ao!\The Scub or the Secrets... Are there no other options?!\Fleur, behind you!\What? response:	That's...
context: Naru!\The Scub Coral will spread and a new age will begin...\A new world where no one will have to suffer.\That will be our world, Ao!\The Scub or the Secrets... Are there no other options?!\Fleur, behind you!\What?\That's... response:	No way... Didn't the Harlequin join the Allied Forces?
context: The Scub Coral will spread and a new age will begin...\A new world where no one will have to suffer.\That will be our world, Ao!\The Scub or the Secrets... Are there no other options?!\Fleur, behind you!\What?\That's...\No way... Didn't the Harlequin join the Allied Forces? response:	Peace negotiations have begun between the JAF and the Allied Forces.
context: A new world where no one will have to suffer.\That will be our world, Ao!\The Scub or the Secrets... Are there no other options?!\Fleur, behind you!\What?\That's...\No way... Didn't the Harlequin join the Allied Forces?\Peace negotiations have begun between the JAF and the Allied Forces. response:	The Coral Carriers have been hospitalized because they were displaying severe symptoms of illness.
context: That will be our world, Ao!\The Scub or the Secrets... Are there no other options?!\Fleur, behind you!\What?\That's...\No way... Didn't the Harlequin join the Allied Forces?\Peace negotiations have begun between the JAF and the Allied Forces.\The Coral Carriers have been hospitalized because they were displaying severe symptoms of illness. response:	Some countries have even blockaded areas around their Plants.
context: The Scub or the Secrets... Are there no other options?!\Fleur, behind you!\What?\That's...\No way... Didn't the Harlequin join the Allied Forces?\Peace negotiations have begun between the JAF and the Allied Forces.\The Coral Carriers have been hospitalized because they were displaying severe symptoms of illness.\Some countries have even blockaded areas around their Plants. response:	Coral Carriers? What about Naru? What's going to happen to her?
context: Fleur, behind you!\What?\That's...\No way... Didn't the Harlequin join the Allied Forces?\Peace negotiations have begun between the JAF and the Allied Forces.\The Coral Carriers have been hospitalized because they were displaying severe symptoms of illness.\Some countries have even blockaded areas around their Plants.\Coral Carriers? What about Naru? What's going to happen to her? response:	She might be in danger too.
context: What?\That's...\No way... Didn't the Harlequin join the Allied Forces?\Peace negotiations have begun between the JAF and the Allied Forces.\The Coral Carriers have been hospitalized because they were displaying severe symptoms of illness.\Some countries have even blockaded areas around their Plants.\Coral Carriers? What about Naru? What's going to happen to her?\She might be in danger too. response:	And you too.
context: That's...\No way... Didn't the Harlequin join the Allied Forces?\Peace negotiations have begun between the JAF and the Allied Forces.\The Coral Carriers have been hospitalized because they were displaying severe symptoms of illness.\Some countries have even blockaded areas around their Plants.\Coral Carriers? What about Naru? What's going to happen to her?\She might be in danger too.\And you too. response:	Naru!
context: No way... Didn't the Harlequin join the Allied Forces?\Peace negotiations have begun between the JAF and the Allied Forces.\The Coral Carriers have been hospitalized because they were displaying severe symptoms of illness.\Some countries have even blockaded areas around their Plants.\Coral Carriers? What about Naru? What's going to happen to her?\She might be in danger too.\And you too.\Naru! response:	Ao?!
context: Peace negotiations have begun between the JAF and the Allied Forces.\The Coral Carriers have been hospitalized because they were displaying severe symptoms of illness.\Some countries have even blockaded areas around their Plants.\Coral Carriers? What about Naru? What's going to happen to her?\She might be in danger too.\And you too.\Naru!\Ao?! response:	But even so, you're the only one that the world can rely on.
context: The Coral Carriers have been hospitalized because they were displaying severe symptoms of illness.\Some countries have even blockaded areas around their Plants.\Coral Carriers? What about Naru? What's going to happen to her?\She might be in danger too.\And you too.\Naru!\Ao?!\But even so, you're the only one that the world can rely on. response:	If Nirvash defeats Truth, the world will have to accept that our side is the right one.
context: Some countries have even blockaded areas around their Plants.\Coral Carriers? What about Naru? What's going to happen to her?\She might be in danger too.\And you too.\Naru!\Ao?!\But even so, you're the only one that the world can rely on.\If Nirvash defeats Truth, the world will have to accept that our side is the right one. response:	Even falsified peace is better than war.
context: Coral Carriers? What about Naru? What's going to happen to her?\She might be in danger too.\And you too.\Naru!\Ao?!\But even so, you're the only one that the world can rely on.\If Nirvash defeats Truth, the world will have to accept that our side is the right one.\Even falsified peace is better than war. response:	I understand how you feel.
context: She might be in danger too.\And you too.\Naru!\Ao?!\But even so, you're the only one that the world can rely on.\If Nirvash defeats Truth, the world will have to accept that our side is the right one.\Even falsified peace is better than war.\I understand how you feel. response:	You've been exiled by the Secrets...
context: And you too.\Naru!\Ao?!\But even so, you're the only one that the world can rely on.\If Nirvash defeats Truth, the world will have to accept that our side is the right one.\Even falsified peace is better than war.\I understand how you feel.\You've been exiled by the Secrets... response:	Only I can really understand who you are.
context: Naru!\Ao?!\But even so, you're the only one that the world can rely on.\If Nirvash defeats Truth, the world will have to accept that our side is the right one.\Even falsified peace is better than war.\I understand how you feel.\You've been exiled by the Secrets...\Only I can really understand who you are. response:	You're infected by the Scub Coral, just like me.
context: Ao?!\But even so, you're the only one that the world can rely on.\If Nirvash defeats Truth, the world will have to accept that our side is the right one.\Even falsified peace is better than war.\I understand how you feel.\You've been exiled by the Secrets...\Only I can really understand who you are.\You're infected by the Scub Coral, just like me. response:	You're a Secret,
context: But even so, you're the only one that the world can rely on.\If Nirvash defeats Truth, the world will have to accept that our side is the right one.\Even falsified peace is better than war.\I understand how you feel.\You've been exiled by the Secrets...\Only I can really understand who you are.\You're infected by the Scub Coral, just like me.\You're a Secret, response:	but the Scub entered you and became half of your existence.
context: If Nirvash defeats Truth, the world will have to accept that our side is the right one.\Even falsified peace is better than war.\I understand how you feel.\You've been exiled by the Secrets...\Only I can really understand who you are.\You're infected by the Scub Coral, just like me.\You're a Secret,\but the Scub entered you and became half of your existence. response:	Do you remember the time we first met?
context: Even falsified peace is better than war.\I understand how you feel.\You've been exiled by the Secrets...\Only I can really understand who you are.\You're infected by the Scub Coral, just like me.\You're a Secret,\but the Scub entered you and became half of your existence.\Do you remember the time we first met? response:	Our breathing became easier because of each other's trapar.
context: I understand how you feel.\You've been exiled by the Secrets...\Only I can really understand who you are.\You're infected by the Scub Coral, just like me.\You're a Secret,\but the Scub entered you and became half of your existence.\Do you remember the time we first met?\Our breathing became easier because of each other's trapar. response:	We've been fighting for the Scub Coral since then.
context: You've been exiled by the Secrets...\Only I can really understand who you are.\You're infected by the Scub Coral, just like me.\You're a Secret,\but the Scub entered you and became half of your existence.\Do you remember the time we first met?\Our breathing became easier because of each other's trapar.\We've been fighting for the Scub Coral since then. response:	Truth, your power as a Secret should become our power.
context: Only I can really understand who you are.\You're infected by the Scub Coral, just like me.\You're a Secret,\but the Scub entered you and became half of your existence.\Do you remember the time we first met?\Our breathing became easier because of each other's trapar.\We've been fighting for the Scub Coral since then.\Truth, your power as a Secret should become our power. response:	1945, the Manhattan Project. Hiroshima. Nagasaki.
context: You're infected by the Scub Coral, just like me.\You're a Secret,\but the Scub entered you and became half of your existence.\Do you remember the time we first met?\Our breathing became easier because of each other's trapar.\We've been fighting for the Scub Coral since then.\Truth, your power as a Secret should become our power.\1945, the Manhattan Project. Hiroshima. Nagasaki. response:	That's the correct history!
context: You're a Secret,\but the Scub entered you and became half of your existence.\Do you remember the time we first met?\Our breathing became easier because of each other's trapar.\We've been fighting for the Scub Coral since then.\Truth, your power as a Secret should become our power.\1945, the Manhattan Project. Hiroshima. Nagasaki.\That's the correct history! response:	That's the world I saw...
context: but the Scub entered you and became half of your existence.\Do you remember the time we first met?\Our breathing became easier because of each other's trapar.\We've been fighting for the Scub Coral since then.\Truth, your power as a Secret should become our power.\1945, the Manhattan Project. Hiroshima. Nagasaki.\That's the correct history!\That's the world I saw... response:	Over there...
context: Do you remember the time we first met?\Our breathing became easier because of each other's trapar.\We've been fighting for the Scub Coral since then.\Truth, your power as a Secret should become our power.\1945, the Manhattan Project. Hiroshima. Nagasaki.\That's the correct history!\That's the world I saw...\Over there... response:	No! No! No!
context: Our breathing became easier because of each other's trapar.\We've been fighting for the Scub Coral since then.\Truth, your power as a Secret should become our power.\1945, the Manhattan Project. Hiroshima. Nagasaki.\That's the correct history!\That's the world I saw...\Over there...\No! No! No! response:	You're wrong, Naru!
context: We've been fighting for the Scub Coral since then.\Truth, your power as a Secret should become our power.\1945, the Manhattan Project. Hiroshima. Nagasaki.\That's the correct history!\That's the world I saw...\Over there...\No! No! No!\You're wrong, Naru! response:	Ao?
context: Truth, your power as a Secret should become our power.\1945, the Manhattan Project. Hiroshima. Nagasaki.\That's the correct history!\That's the world I saw...\Over there...\No! No! No!\You're wrong, Naru!\Ao? response:	It's okay, Ao! Truth is a friend of the Scub!
context: 1945, the Manhattan Project. Hiroshima. Nagasaki.\That's the correct history!\That's the world I saw...\Over there...\No! No! No!\You're wrong, Naru!\Ao?\It's okay, Ao! Truth is a friend of the Scub! response:	Get away from there, Naru!
context: That's the correct history!\That's the world I saw...\Over there...\No! No! No!\You're wrong, Naru!\Ao?\It's okay, Ao! Truth is a friend of the Scub!\Get away from there, Naru! response:	Truth... But why?
context: That's the world I saw...\Over there...\No! No! No!\You're wrong, Naru!\Ao?\It's okay, Ao! Truth is a friend of the Scub!\Get away from there, Naru!\Truth... But why? response:	It's wrong.
context: Over there...\No! No! No!\You're wrong, Naru!\Ao?\It's okay, Ao! Truth is a friend of the Scub!\Get away from there, Naru!\Truth... But why?\It's wrong. response:	Mankind tames the power of atoms and advances forward.
context: No! No! No!\You're wrong, Naru!\Ao?\It's okay, Ao! Truth is a friend of the Scub!\Get away from there, Naru!\Truth... But why?\It's wrong.\Mankind tames the power of atoms and advances forward. response:	The military powers of America and Russia struggle with each other.
context: You're wrong, Naru!\Ao?\It's okay, Ao! Truth is a friend of the Scub!\Get away from there, Naru!\Truth... But why?\It's wrong.\Mankind tames the power of atoms and advances forward.\The military powers of America and Russia struggle with each other. response:	There's no way Okinawa could ever become independent.
context: Ao?\It's okay, Ao! Truth is a friend of the Scub!\Get away from there, Naru!\Truth... But why?\It's wrong.\Mankind tames the power of atoms and advances forward.\The military powers of America and Russia struggle with each other.\There's no way Okinawa could ever become independent. response:	That's the correct version of the world!
context: It's okay, Ao! Truth is a friend of the Scub!\Get away from there, Naru!\Truth... But why?\It's wrong.\Mankind tames the power of atoms and advances forward.\The military powers of America and Russia struggle with each other.\There's no way Okinawa could ever become independent.\That's the correct version of the world! response:	There's no Scub Coral there. Or Secrets.
context: Get away from there, Naru!\Truth... But why?\It's wrong.\Mankind tames the power of atoms and advances forward.\The military powers of America and Russia struggle with each other.\There's no way Okinawa could ever become independent.\That's the correct version of the world!\There's no Scub Coral there. Or Secrets. response:	That means this power should be used to reach the correct world!
context: Truth... But why?\It's wrong.\Mankind tames the power of atoms and advances forward.\The military powers of America and Russia struggle with each other.\There's no way Okinawa could ever become independent.\That's the correct version of the world!\There's no Scub Coral there. Or Secrets.\That means this power should be used to reach the correct world! response:	Naru?
context: It's wrong.\Mankind tames the power of atoms and advances forward.\The military powers of America and Russia struggle with each other.\There's no way Okinawa could ever become independent.\That's the correct version of the world!\There's no Scub Coral there. Or Secrets.\That means this power should be used to reach the correct world!\Naru? response:	Naru!
context: Mankind tames the power of atoms and advances forward.\The military powers of America and Russia struggle with each other.\There's no way Okinawa could ever become independent.\That's the correct version of the world!\There's no Scub Coral there. Or Secrets.\That means this power should be used to reach the correct world!\Naru?\Naru! response:	Naru...
context: The military powers of America and Russia struggle with each other.\There's no way Okinawa could ever become independent.\That's the correct version of the world!\There's no Scub Coral there. Or Secrets.\That means this power should be used to reach the correct world!\Naru?\Naru!\Naru... response:	Truth!
context: There's no way Okinawa could ever become independent.\That's the correct version of the world!\There's no Scub Coral there. Or Secrets.\That means this power should be used to reach the correct world!\Naru?\Naru!\Naru...\Truth! response:	Come at me, Fukai Ao!
context: That's the correct version of the world!\There's no Scub Coral there. Or Secrets.\That means this power should be used to reach the correct world!\Naru?\Naru!\Naru...\Truth!\Come at me, Fukai Ao! response:	Trapar density is rising rapidly.
context: There's no Scub Coral there. Or Secrets.\That means this power should be used to reach the correct world!\Naru?\Naru!\Naru...\Truth!\Come at me, Fukai Ao!\Trapar density is rising rapidly. response:	Rajkumar, take Naru and get away from there.
context: That means this power should be used to reach the correct world!\Naru?\Naru!\Naru...\Truth!\Come at me, Fukai Ao!\Trapar density is rising rapidly.\Rajkumar, take Naru and get away from there. response:	Is Ao going to be all right?
context: Naru?\Naru!\Naru...\Truth!\Come at me, Fukai Ao!\Trapar density is rising rapidly.\Rajkumar, take Naru and get away from there.\Is Ao going to be all right? response:	It had bad effects on Coral Carriers, didn't it?
context: Naru!\Naru...\Truth!\Come at me, Fukai Ao!\Trapar density is rising rapidly.\Rajkumar, take Naru and get away from there.\Is Ao going to be all right?\It had bad effects on Coral Carriers, didn't it? response:	If you have to face it either way, shouldn't you try to overcome it?
context: Naru...\Truth!\Come at me, Fukai Ao!\Trapar density is rising rapidly.\Rajkumar, take Naru and get away from there.\Is Ao going to be all right?\It had bad effects on Coral Carriers, didn't it?\If you have to face it either way, shouldn't you try to overcome it? response:	Answer her!
context: Truth!\Come at me, Fukai Ao!\Trapar density is rising rapidly.\Rajkumar, take Naru and get away from there.\Is Ao going to be all right?\It had bad effects on Coral Carriers, didn't it?\If you have to face it either way, shouldn't you try to overcome it?\Answer her! response:	You're the omniscient Hannah Mama, aren't you?
context: Come at me, Fukai Ao!\Trapar density is rising rapidly.\Rajkumar, take Naru and get away from there.\Is Ao going to be all right?\It had bad effects on Coral Carriers, didn't it?\If you have to face it either way, shouldn't you try to overcome it?\Answer her!\You're the omniscient Hannah Mama, aren't you? response:	That's...
context: Trapar density is rising rapidly.\Rajkumar, take Naru and get away from there.\Is Ao going to be all right?\It had bad effects on Coral Carriers, didn't it?\If you have to face it either way, shouldn't you try to overcome it?\Answer her!\You're the omniscient Hannah Mama, aren't you?\That's... response:	Liu... Lerato...
context: Rajkumar, take Naru and get away from there.\Is Ao going to be all right?\It had bad effects on Coral Carriers, didn't it?\If you have to face it either way, shouldn't you try to overcome it?\Answer her!\You're the omniscient Hannah Mama, aren't you?\That's...\Liu... Lerato... response:	Fire the cannon, Ao!
context: Is Ao going to be all right?\It had bad effects on Coral Carriers, didn't it?\If you have to face it either way, shouldn't you try to overcome it?\Answer her!\You're the omniscient Hannah Mama, aren't you?\That's...\Liu... Lerato...\Fire the cannon, Ao! response:	We don't mind! We've been...
context: It had bad effects on Coral Carriers, didn't it?\If you have to face it either way, shouldn't you try to overcome it?\Answer her!\You're the omniscient Hannah Mama, aren't you?\That's...\Liu... Lerato...\Fire the cannon, Ao!\We don't mind! We've been... response:	I can't!
