context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: - Issue evacuation orders immediately! - Size, 30 micrometers!\Twenty seconds to impact!\19, 18...\- 17... - Commander!\16, 15...\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies based on what kind of enemy they're dealing with.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate response:	appropriate attack strategies based on what kind of enemy they're dealing with.
context: Twenty seconds to impact!\19, 18...\- 17... - Commander!\16, 15...\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies based on what kind of enemy they're dealing with.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies based on what kind of enemy they're dealing with. response:	- Here it comes. - 13, 12, 11...
context: 19, 18...\- 17... - Commander!\16, 15...\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies based on what kind of enemy they're dealing with.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies based on what kind of enemy they're dealing with.\- Here it comes. - 13, 12, 11... response:	- It had to come, didn't it? - 10, 9, 8...
context: - 17... - Commander!\16, 15...\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies based on what kind of enemy they're dealing with.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies based on what kind of enemy they're dealing with.\- Here it comes. - 13, 12, 11...\- It had to come, didn't it? - 10, 9, 8... response:	Cedar Pollen Allergies!
context: 16, 15...\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies based on what kind of enemy they're dealing with.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies based on what kind of enemy they're dealing with.\- Here it comes. - 13, 12, 11...\- It had to come, didn't it? - 10, 9, 8...\Cedar Pollen Allergies! response:	CEDAR POLLEN: Cedars send their pollen out on the wind, scattering them over a distance. Peak time is February to March.
context: HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies based on what kind of enemy they're dealing with.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies based on what kind of enemy they're dealing with.\- Here it comes. - 13, 12, 11...\- It had to come, didn't it? - 10, 9, 8...\Cedar Pollen Allergies!\CEDAR POLLEN: Cedars send their pollen out on the wind, scattering them over a distance. Peak time is February to March. response:	Cedar Pollen.
context: Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies based on what kind of enemy they're dealing with.\- Here it comes. - 13, 12, 11...\- It had to come, didn't it? - 10, 9, 8...\Cedar Pollen Allergies!\CEDAR POLLEN: Cedars send their pollen out on the wind, scattering them over a distance. Peak time is February to March.\Cedar Pollen. response:	Cedars send their pollen out on the wind, scattering them over a distance.
context: When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies based on what kind of enemy they're dealing with.\- Here it comes. - 13, 12, 11...\- It had to come, didn't it? - 10, 9, 8...\Cedar Pollen Allergies!\CEDAR POLLEN: Cedars send their pollen out on the wind, scattering them over a distance. Peak time is February to March.\Cedar Pollen.\Cedars send their pollen out on the wind, scattering them over a distance. response:	Peak time is February to March.
context: appropriate attack strategies based on what kind of enemy they're dealing with.\- Here it comes. - 13, 12, 11...\- It had to come, didn't it? - 10, 9, 8...\Cedar Pollen Allergies!\CEDAR POLLEN: Cedars send their pollen out on the wind, scattering them over a distance. Peak time is February to March.\Cedar Pollen.\Cedars send their pollen out on the wind, scattering them over a distance.\Peak time is February to March. response:	- Again this year! - 3, 2, 1...
context: - Here it comes. - 13, 12, 11...\- It had to come, didn't it? - 10, 9, 8...\Cedar Pollen Allergies!\CEDAR POLLEN: Cedars send their pollen out on the wind, scattering them over a distance. Peak time is February to March.\Cedar Pollen.\Cedars send their pollen out on the wind, scattering them over a distance.\Peak time is February to March.\- Again this year! - 3, 2, 1... response:	EPISODE 5: CEDAR POLLEN ALLERGIES
context: - It had to come, didn't it? - 10, 9, 8...\Cedar Pollen Allergies!\CEDAR POLLEN: Cedars send their pollen out on the wind, scattering them over a distance. Peak time is February to March.\Cedar Pollen.\Cedars send their pollen out on the wind, scattering them over a distance.\Peak time is February to March.\- Again this year! - 3, 2, 1...\EPISODE 5: CEDAR POLLEN ALLERGIES response:	Cedar Pollen Allergies.
context: Cedar Pollen Allergies!\CEDAR POLLEN: Cedars send their pollen out on the wind, scattering them over a distance. Peak time is February to March.\Cedar Pollen.\Cedars send their pollen out on the wind, scattering them over a distance.\Peak time is February to March.\- Again this year! - 3, 2, 1...\EPISODE 5: CEDAR POLLEN ALLERGIES\Cedar Pollen Allergies. response:	Look! There's something on the mucous membrane!
context: CEDAR POLLEN: Cedars send their pollen out on the wind, scattering them over a distance. Peak time is February to March.\Cedar Pollen.\Cedars send their pollen out on the wind, scattering them over a distance.\Peak time is February to March.\- Again this year! - 3, 2, 1...\EPISODE 5: CEDAR POLLEN ALLERGIES\Cedar Pollen Allergies.\Look! There's something on the mucous membrane! response:	Cedar...
context: Cedar Pollen.\Cedars send their pollen out on the wind, scattering them over a distance.\Peak time is February to March.\- Again this year! - 3, 2, 1...\EPISODE 5: CEDAR POLLEN ALLERGIES\Cedar Pollen Allergies.\Look! There's something on the mucous membrane!\Cedar... response:	CEDAR POLLEN ALLERGEN: Allergies occur when the immune system overreacts to a certain substance.
context: Cedars send their pollen out on the wind, scattering them over a distance.\Peak time is February to March.\- Again this year! - 3, 2, 1...\EPISODE 5: CEDAR POLLEN ALLERGIES\Cedar Pollen Allergies.\Look! There's something on the mucous membrane!\Cedar...\CEDAR POLLEN ALLERGEN: Allergies occur when the immune system overreacts to a certain substance. response:	Cedar Pollen Allergen.
context: Peak time is February to March.\- Again this year! - 3, 2, 1...\EPISODE 5: CEDAR POLLEN ALLERGIES\Cedar Pollen Allergies.\Look! There's something on the mucous membrane!\Cedar...\CEDAR POLLEN ALLERGEN: Allergies occur when the immune system overreacts to a certain substance.\Cedar Pollen Allergen. response:	Allergies occur when the immune system overreacts to a certain substance.
context: - Again this year! - 3, 2, 1...\EPISODE 5: CEDAR POLLEN ALLERGIES\Cedar Pollen Allergies.\Look! There's something on the mucous membrane!\Cedar...\CEDAR POLLEN ALLERGEN: Allergies occur when the immune system overreacts to a certain substance.\Cedar Pollen Allergen.\Allergies occur when the immune system overreacts to a certain substance. response:	Macrophages near the eyeball membrane are reporting an antigen!
context: EPISODE 5: CEDAR POLLEN ALLERGIES\Cedar Pollen Allergies.\Look! There's something on the mucous membrane!\Cedar...\CEDAR POLLEN ALLERGEN: Allergies occur when the immune system overreacts to a certain substance.\Cedar Pollen Allergen.\Allergies occur when the immune system overreacts to a certain substance.\Macrophages near the eyeball membrane are reporting an antigen! response:	Really, what an ordeal!
context: Cedar Pollen Allergies.\Look! There's something on the mucous membrane!\Cedar...\CEDAR POLLEN ALLERGEN: Allergies occur when the immune system overreacts to a certain substance.\Cedar Pollen Allergen.\Allergies occur when the immune system overreacts to a certain substance.\Macrophages near the eyeball membrane are reporting an antigen!\Really, what an ordeal! response:	Our tea got spilled all over, and it's been utter chaos!
context: Look! There's something on the mucous membrane!\Cedar...\CEDAR POLLEN ALLERGEN: Allergies occur when the immune system overreacts to a certain substance.\Cedar Pollen Allergen.\Allergies occur when the immune system overreacts to a certain substance.\Macrophages near the eyeball membrane are reporting an antigen!\Really, what an ordeal!\Our tea got spilled all over, and it's been utter chaos! response:	Multiple pollen have hit the water at Point 135.K50.
context: Cedar...\CEDAR POLLEN ALLERGEN: Allergies occur when the immune system overreacts to a certain substance.\Cedar Pollen Allergen.\Allergies occur when the immune system overreacts to a certain substance.\Macrophages near the eyeball membrane are reporting an antigen!\Really, what an ordeal!\Our tea got spilled all over, and it's been utter chaos!\Multiple pollen have hit the water at Point 135.K50. response:	So the blink didn't happen in time!
context: CEDAR POLLEN ALLERGEN: Allergies occur when the immune system overreacts to a certain substance.\Cedar Pollen Allergen.\Allergies occur when the immune system overreacts to a certain substance.\Macrophages near the eyeball membrane are reporting an antigen!\Really, what an ordeal!\Our tea got spilled all over, and it's been utter chaos!\Multiple pollen have hit the water at Point 135.K50.\So the blink didn't happen in time! response:	At this rate, the allergens will go on and invade the body through the outlet.
context: Cedar Pollen Allergen.\Allergies occur when the immune system overreacts to a certain substance.\Macrophages near the eyeball membrane are reporting an antigen!\Really, what an ordeal!\Our tea got spilled all over, and it's been utter chaos!\Multiple pollen have hit the water at Point 135.K50.\So the blink didn't happen in time!\At this rate, the allergens will go on and invade the body through the outlet. response:	Shoot! Send out an alert at once!
context: Allergies occur when the immune system overreacts to a certain substance.\Macrophages near the eyeball membrane are reporting an antigen!\Really, what an ordeal!\Our tea got spilled all over, and it's been utter chaos!\Multiple pollen have hit the water at Point 135.K50.\So the blink didn't happen in time!\At this rate, the allergens will go on and invade the body through the outlet.\Shoot! Send out an alert at once! response:	Staff stationed near the eyeball membrane, please exercise caution.
context: Macrophages near the eyeball membrane are reporting an antigen!\Really, what an ordeal!\Our tea got spilled all over, and it's been utter chaos!\Multiple pollen have hit the water at Point 135.K50.\So the blink didn't happen in time!\At this rate, the allergens will go on and invade the body through the outlet.\Shoot! Send out an alert at once!\Staff stationed near the eyeball membrane, please exercise caution. response:	Repeat.
context: Really, what an ordeal!\Our tea got spilled all over, and it's been utter chaos!\Multiple pollen have hit the water at Point 135.K50.\So the blink didn't happen in time!\At this rate, the allergens will go on and invade the body through the outlet.\Shoot! Send out an alert at once!\Staff stationed near the eyeball membrane, please exercise caution.\Repeat. response:	External enemies have invaded through the outlet,
context: Our tea got spilled all over, and it's been utter chaos!\Multiple pollen have hit the water at Point 135.K50.\So the blink didn't happen in time!\At this rate, the allergens will go on and invade the body through the outlet.\Shoot! Send out an alert at once!\Staff stationed near the eyeball membrane, please exercise caution.\Repeat.\External enemies have invaded through the outlet, response:	ARTERY
context: Multiple pollen have hit the water at Point 135.K50.\So the blink didn't happen in time!\At this rate, the allergens will go on and invade the body through the outlet.\Shoot! Send out an alert at once!\Staff stationed near the eyeball membrane, please exercise caution.\Repeat.\External enemies have invaded through the outlet,\ARTERY response:	DIVERGENCE A CAPILLARY VESSEL
context: So the blink didn't happen in time!\At this rate, the allergens will go on and invade the body through the outlet.\Shoot! Send out an alert at once!\Staff stationed near the eyeball membrane, please exercise caution.\Repeat.\External enemies have invaded through the outlet,\ARTERY\DIVERGENCE A CAPILLARY VESSEL response:	RETINA
context: At this rate, the allergens will go on and invade the body through the outlet.\Shoot! Send out an alert at once!\Staff stationed near the eyeball membrane, please exercise caution.\Repeat.\External enemies have invaded through the outlet,\ARTERY\DIVERGENCE A CAPILLARY VESSEL\RETINA response:	and so any staff stationed near the eyeball membrane are urged to exercise caution.
context: Shoot! Send out an alert at once!\Staff stationed near the eyeball membrane, please exercise caution.\Repeat.\External enemies have invaded through the outlet,\ARTERY\DIVERGENCE A CAPILLARY VESSEL\RETINA\and so any staff stationed near the eyeball membrane are urged to exercise caution. response:	RED BLOOD CELLS: Red because they contain large amounts of hemoglobin. They carry oxygen and carbon dioxide using blood circulation.
context: Staff stationed near the eyeball membrane, please exercise caution.\Repeat.\External enemies have invaded through the outlet,\ARTERY\DIVERGENCE A CAPILLARY VESSEL\RETINA\and so any staff stationed near the eyeball membrane are urged to exercise caution.\RED BLOOD CELLS: Red because they contain large amounts of hemoglobin. They carry oxygen and carbon dioxide using blood circulation. response:	External enemies?
context: Repeat.\External enemies have invaded through the outlet,\ARTERY\DIVERGENCE A CAPILLARY VESSEL\RETINA\and so any staff stationed near the eyeball membrane are urged to exercise caution.\RED BLOOD CELLS: Red because they contain large amounts of hemoglobin. They carry oxygen and carbon dioxide using blood circulation.\External enemies? response:	Oh no, it's in this area!
context: External enemies have invaded through the outlet,\ARTERY\DIVERGENCE A CAPILLARY VESSEL\RETINA\and so any staff stationed near the eyeball membrane are urged to exercise caution.\RED BLOOD CELLS: Red because they contain large amounts of hemoglobin. They carry oxygen and carbon dioxide using blood circulation.\External enemies?\Oh no, it's in this area! response:	I'm gonna finish up this job right away!
context: ARTERY\DIVERGENCE A CAPILLARY VESSEL\RETINA\and so any staff stationed near the eyeball membrane are urged to exercise caution.\RED BLOOD CELLS: Red because they contain large amounts of hemoglobin. They carry oxygen and carbon dioxide using blood circulation.\External enemies?\Oh no, it's in this area!\I'm gonna finish up this job right away! response:	Okay, let's see. The address I'm supposed to deliver this is there.
context: DIVERGENCE A CAPILLARY VESSEL\RETINA\and so any staff stationed near the eyeball membrane are urged to exercise caution.\RED BLOOD CELLS: Red because they contain large amounts of hemoglobin. They carry oxygen and carbon dioxide using blood circulation.\External enemies?\Oh no, it's in this area!\I'm gonna finish up this job right away!\Okay, let's see. The address I'm supposed to deliver this is there. response:	Right now, I'm...
context: RETINA\and so any staff stationed near the eyeball membrane are urged to exercise caution.\RED BLOOD CELLS: Red because they contain large amounts of hemoglobin. They carry oxygen and carbon dioxide using blood circulation.\External enemies?\Oh no, it's in this area!\I'm gonna finish up this job right away!\Okay, let's see. The address I'm supposed to deliver this is there.\Right now, I'm... response:	Um, that's my landmark, so it's this
context: and so any staff stationed near the eyeball membrane are urged to exercise caution.\RED BLOOD CELLS: Red because they contain large amounts of hemoglobin. They carry oxygen and carbon dioxide using blood circulation.\External enemies?\Oh no, it's in this area!\I'm gonna finish up this job right away!\Okay, let's see. The address I'm supposed to deliver this is there.\Right now, I'm...\Um, that's my landmark, so it's this response:	Cedar!
context: RED BLOOD CELLS: Red because they contain large amounts of hemoglobin. They carry oxygen and carbon dioxide using blood circulation.\External enemies?\Oh no, it's in this area!\I'm gonna finish up this job right away!\Okay, let's see. The address I'm supposed to deliver this is there.\Right now, I'm...\Um, that's my landmark, so it's this\Cedar! response:	Cedar!
context: External enemies?\Oh no, it's in this area!\I'm gonna finish up this job right away!\Okay, let's see. The address I'm supposed to deliver this is there.\Right now, I'm...\Um, that's my landmark, so it's this\Cedar!\Cedar! response:	What's that thing?
context: Oh no, it's in this area!\I'm gonna finish up this job right away!\Okay, let's see. The address I'm supposed to deliver this is there.\Right now, I'm...\Um, that's my landmark, so it's this\Cedar!\Cedar!\What's that thing? response:	Why's it saying Cedar? Somebody help!
context: I'm gonna finish up this job right away!\Okay, let's see. The address I'm supposed to deliver this is there.\Right now, I'm...\Um, that's my landmark, so it's this\Cedar!\Cedar!\What's that thing?\Why's it saying Cedar? Somebody help! response:	Run, you moron!
context: Okay, let's see. The address I'm supposed to deliver this is there.\Right now, I'm...\Um, that's my landmark, so it's this\Cedar!\Cedar!\What's that thing?\Why's it saying Cedar? Somebody help!\Run, you moron! response:	Target sighted!
context: Right now, I'm...\Um, that's my landmark, so it's this\Cedar!\Cedar!\What's that thing?\Why's it saying Cedar? Somebody help!\Run, you moron!\Target sighted! response:	Cedar...
context: Um, that's my landmark, so it's this\Cedar!\Cedar!\What's that thing?\Why's it saying Cedar? Somebody help!\Run, you moron!\Target sighted!\Cedar... response:	White Blood Cell!
context: Cedar!\Cedar!\What's that thing?\Why's it saying Cedar? Somebody help!\Run, you moron!\Target sighted!\Cedar...\White Blood Cell! response:	WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.
context: Cedar!\What's that thing?\Why's it saying Cedar? Somebody help!\Run, you moron!\Target sighted!\Cedar...\White Blood Cell!\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood. response:	Red Blood Cell... Are you okay?
context: What's that thing?\Why's it saying Cedar? Somebody help!\Run, you moron!\Target sighted!\Cedar...\White Blood Cell!\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Red Blood Cell... Are you okay? response:	Y-Yes!
context: Why's it saying Cedar? Somebody help!\Run, you moron!\Target sighted!\Cedar...\White Blood Cell!\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Red Blood Cell... Are you okay?\Y-Yes! response:	Thank you very much!
context: Run, you moron!\Target sighted!\Cedar...\White Blood Cell!\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Red Blood Cell... Are you okay?\Y-Yes!\Thank you very much! response:	Um... what exactly is that?
context: Target sighted!\Cedar...\White Blood Cell!\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Red Blood Cell... Are you okay?\Y-Yes!\Thank you very much!\Um... what exactly is that? response:	He was saying something like, Cedar!
context: Cedar...\White Blood Cell!\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Red Blood Cell... Are you okay?\Y-Yes!\Thank you very much!\Um... what exactly is that?\He was saying something like, Cedar! response:	This one? Who knows?
context: White Blood Cell!\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Red Blood Cell... Are you okay?\Y-Yes!\Thank you very much!\Um... what exactly is that?\He was saying something like, Cedar!\This one? Who knows? response:	But I'll find out once I eat it!
context: WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Red Blood Cell... Are you okay?\Y-Yes!\Thank you very much!\Um... what exactly is that?\He was saying something like, Cedar!\This one? Who knows?\But I'll find out once I eat it! response:	Whoa!
context: Red Blood Cell... Are you okay?\Y-Yes!\Thank you very much!\Um... what exactly is that?\He was saying something like, Cedar!\This one? Who knows?\But I'll find out once I eat it!\Whoa! response:	PHAGOCYTIC EFFECTS: When phagocytes such as Monocells, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. Also known as Phagocytosis.
context: Y-Yes!\Thank you very much!\Um... what exactly is that?\He was saying something like, Cedar!\This one? Who knows?\But I'll find out once I eat it!\Whoa!\PHAGOCYTIC EFFECTS: When phagocytes such as Monocells, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. Also known as Phagocytosis. response:	Phagocytic Effects.
context: Thank you very much!\Um... what exactly is that?\He was saying something like, Cedar!\This one? Who knows?\But I'll find out once I eat it!\Whoa!\PHAGOCYTIC EFFECTS: When phagocytes such as Monocells, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. Also known as Phagocytosis.\Phagocytic Effects. response:	When phagocytes such as Monocells, Macrophages and Neutrophils
context: Um... what exactly is that?\He was saying something like, Cedar!\This one? Who knows?\But I'll find out once I eat it!\Whoa!\PHAGOCYTIC EFFECTS: When phagocytes such as Monocells, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. Also known as Phagocytosis.\Phagocytic Effects.\When phagocytes such as Monocells, Macrophages and Neutrophils response:	absorb bacteria and other foreign substances, and break them down.
context: He was saying something like, Cedar!\This one? Who knows?\But I'll find out once I eat it!\Whoa!\PHAGOCYTIC EFFECTS: When phagocytes such as Monocells, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. Also known as Phagocytosis.\Phagocytic Effects.\When phagocytes such as Monocells, Macrophages and Neutrophils\absorb bacteria and other foreign substances, and break them down. response:	Also known as Phagocytosis.
context: This one? Who knows?\But I'll find out once I eat it!\Whoa!\PHAGOCYTIC EFFECTS: When phagocytes such as Monocells, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. Also known as Phagocytosis.\Phagocytic Effects.\When phagocytes such as Monocells, Macrophages and Neutrophils\absorb bacteria and other foreign substances, and break them down.\Also known as Phagocytosis. response:	This tastes like an allergen released by cedar pollen.
context: But I'll find out once I eat it!\Whoa!\PHAGOCYTIC EFFECTS: When phagocytes such as Monocells, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. Also known as Phagocytosis.\Phagocytic Effects.\When phagocytes such as Monocells, Macrophages and Neutrophils\absorb bacteria and other foreign substances, and break them down.\Also known as Phagocytosis.\This tastes like an allergen released by cedar pollen. response:	Not uncommon at this time of year.
context: Whoa!\PHAGOCYTIC EFFECTS: When phagocytes such as Monocells, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. Also known as Phagocytosis.\Phagocytic Effects.\When phagocytes such as Monocells, Macrophages and Neutrophils\absorb bacteria and other foreign substances, and break them down.\Also known as Phagocytosis.\This tastes like an allergen released by cedar pollen.\Not uncommon at this time of year. response:	They're large in size,
context: PHAGOCYTIC EFFECTS: When phagocytes such as Monocells, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. Also known as Phagocytosis.\Phagocytic Effects.\When phagocytes such as Monocells, Macrophages and Neutrophils\absorb bacteria and other foreign substances, and break them down.\Also known as Phagocytosis.\This tastes like an allergen released by cedar pollen.\Not uncommon at this time of year.\They're large in size, response:	but unlike bacteria and viruses, they don't cause illness.
context: Phagocytic Effects.\When phagocytes such as Monocells, Macrophages and Neutrophils\absorb bacteria and other foreign substances, and break them down.\Also known as Phagocytosis.\This tastes like an allergen released by cedar pollen.\Not uncommon at this time of year.\They're large in size,\but unlike bacteria and viruses, they don't cause illness. response:	Is that right?
context: When phagocytes such as Monocells, Macrophages and Neutrophils\absorb bacteria and other foreign substances, and break them down.\Also known as Phagocytosis.\This tastes like an allergen released by cedar pollen.\Not uncommon at this time of year.\They're large in size,\but unlike bacteria and viruses, they don't cause illness.\Is that right? response:	Well, that said, they can still be the cause of trouble.
context: absorb bacteria and other foreign substances, and break them down.\Also known as Phagocytosis.\This tastes like an allergen released by cedar pollen.\Not uncommon at this time of year.\They're large in size,\but unlike bacteria and viruses, they don't cause illness.\Is that right?\Well, that said, they can still be the cause of trouble. response:	We're supposed to kill them, but...
context: Also known as Phagocytosis.\This tastes like an allergen released by cedar pollen.\Not uncommon at this time of year.\They're large in size,\but unlike bacteria and viruses, they don't cause illness.\Is that right?\Well, that said, they can still be the cause of trouble.\We're supposed to kill them, but... response:	I see. So sorry.
context: This tastes like an allergen released by cedar pollen.\Not uncommon at this time of year.\They're large in size,\but unlike bacteria and viruses, they don't cause illness.\Is that right?\Well, that said, they can still be the cause of trouble.\We're supposed to kill them, but...\I see. So sorry. response:	Hey! Isn't that...
context: Not uncommon at this time of year.\They're large in size,\but unlike bacteria and viruses, they don't cause illness.\Is that right?\Well, that said, they can still be the cause of trouble.\We're supposed to kill them, but...\I see. So sorry.\Hey! Isn't that... response:	Isn't that a Cedar Pollen Allergen?
context: They're large in size,\but unlike bacteria and viruses, they don't cause illness.\Is that right?\Well, that said, they can still be the cause of trouble.\We're supposed to kill them, but...\I see. So sorry.\Hey! Isn't that...\Isn't that a Cedar Pollen Allergen? response:	What the hell?
context: but unlike bacteria and viruses, they don't cause illness.\Is that right?\Well, that said, they can still be the cause of trouble.\We're supposed to kill them, but...\I see. So sorry.\Hey! Isn't that...\Isn't that a Cedar Pollen Allergen?\What the hell? response:	So it was him who snuck in from the membrane outlet?
context: Is that right?\Well, that said, they can still be the cause of trouble.\We're supposed to kill them, but...\I see. So sorry.\Hey! Isn't that...\Isn't that a Cedar Pollen Allergen?\What the hell?\So it was him who snuck in from the membrane outlet? response:	This means that the legend must be...
