context: Torrent response:	All right, now that Kiriyama has joined us, shall we continue?
context: Black just needs to go 7-d-Pawn. Why does the bishop need to be taken?\Are you the type who gets killed on a battlefield right away from moving around too much?\Pffft!\What are you talking about?\What about you, Mr. Shigeta?\You sit there with pride while constantly checking the situation,\and before you know it, you're surrounded. The end!\Like the Battle of Sekigahara's Shimazu type? response:	If black goes 6-a-Bishop, and white goes 5-b-Pawn, it'll just be a hardship.
context: Are you the type who gets killed on a battlefield right away from moving around too much?\Pffft!\What are you talking about?\What about you, Mr. Shigeta?\You sit there with pride while constantly checking the situation,\and before you know it, you're surrounded. The end!\Like the Battle of Sekigahara's Shimazu type?\If black goes 6-a-Bishop, and white goes 5-b-Pawn, it'll just be a hardship. response:	The 6-a-Bishop being taken is a benefit.
context: Pffft!\What are you talking about?\What about you, Mr. Shigeta?\You sit there with pride while constantly checking the situation,\and before you know it, you're surrounded. The end!\Like the Battle of Sekigahara's Shimazu type?\If black goes 6-a-Bishop, and white goes 5-b-Pawn, it'll just be a hardship.\The 6-a-Bishop being taken is a benefit. response:	Whoever takes a Bishop first will degenerate.
context: What are you talking about?\What about you, Mr. Shigeta?\You sit there with pride while constantly checking the situation,\and before you know it, you're surrounded. The end!\Like the Battle of Sekigahara's Shimazu type?\If black goes 6-a-Bishop, and white goes 5-b-Pawn, it'll just be a hardship.\The 6-a-Bishop being taken is a benefit.\Whoever takes a Bishop first will degenerate. response:	Black going with 7-d-Pawn is logical.
context: What about you, Mr. Shigeta?\You sit there with pride while constantly checking the situation,\and before you know it, you're surrounded. The end!\Like the Battle of Sekigahara's Shimazu type?\If black goes 6-a-Bishop, and white goes 5-b-Pawn, it'll just be a hardship.\The 6-a-Bishop being taken is a benefit.\Whoever takes a Bishop first will degenerate.\Black going with 7-d-Pawn is logical. response:	Black Cat Team
context: You sit there with pride while constantly checking the situation,\and before you know it, you're surrounded. The end!\Like the Battle of Sekigahara's Shimazu type?\If black goes 6-a-Bishop, and white goes 5-b-Pawn, it'll just be a hardship.\The 6-a-Bishop being taken is a benefit.\Whoever takes a Bishop first will degenerate.\Black going with 7-d-Pawn is logical.\Black Cat Team response:	If black goes 7-d-Pawn and 6-d-Gold, it's illogical to go with 6-a-Bishop.
context: and before you know it, you're surrounded. The end!\Like the Battle of Sekigahara's Shimazu type?\If black goes 6-a-Bishop, and white goes 5-b-Pawn, it'll just be a hardship.\The 6-a-Bishop being taken is a benefit.\Whoever takes a Bishop first will degenerate.\Black going with 7-d-Pawn is logical.\Black Cat Team\If black goes 7-d-Pawn and 6-d-Gold, it's illogical to go with 6-a-Bishop. response:	Rumble Rumble Rumble
context: Like the Battle of Sekigahara's Shimazu type?\If black goes 6-a-Bishop, and white goes 5-b-Pawn, it'll just be a hardship.\The 6-a-Bishop being taken is a benefit.\Whoever takes a Bishop first will degenerate.\Black going with 7-d-Pawn is logical.\Black Cat Team\If black goes 7-d-Pawn and 6-d-Gold, it's illogical to go with 6-a-Bishop.\Rumble Rumble Rumble response:	It makes more sense to go 3-e-Pawn to take your 7-a-Bishop.
context: If black goes 6-a-Bishop, and white goes 5-b-Pawn, it'll just be a hardship.\The 6-a-Bishop being taken is a benefit.\Whoever takes a Bishop first will degenerate.\Black going with 7-d-Pawn is logical.\Black Cat Team\If black goes 7-d-Pawn and 6-d-Gold, it's illogical to go with 6-a-Bishop.\Rumble Rumble Rumble\It makes more sense to go 3-e-Pawn to take your 7-a-Bishop. response:	White Cat Team
context: The 6-a-Bishop being taken is a benefit.\Whoever takes a Bishop first will degenerate.\Black going with 7-d-Pawn is logical.\Black Cat Team\If black goes 7-d-Pawn and 6-d-Gold, it's illogical to go with 6-a-Bishop.\Rumble Rumble Rumble\It makes more sense to go 3-e-Pawn to take your 7-a-Bishop.\White Cat Team response:	So you'll leave my 5-b-Pawn alone with your 5-h-Rook open? Their future sure looks bright.
context: Whoever takes a Bishop first will degenerate.\Black going with 7-d-Pawn is logical.\Black Cat Team\If black goes 7-d-Pawn and 6-d-Gold, it's illogical to go with 6-a-Bishop.\Rumble Rumble Rumble\It makes more sense to go 3-e-Pawn to take your 7-a-Bishop.\White Cat Team\So you'll leave my 5-b-Pawn alone with your 5-h-Rook open? Their future sure looks bright. response:	Chuckle Chuckle Chuckle
context: Black going with 7-d-Pawn is logical.\Black Cat Team\If black goes 7-d-Pawn and 6-d-Gold, it's illogical to go with 6-a-Bishop.\Rumble Rumble Rumble\It makes more sense to go 3-e-Pawn to take your 7-a-Bishop.\White Cat Team\So you'll leave my 5-b-Pawn alone with your 5-h-Rook open? Their future sure looks bright.\Chuckle Chuckle Chuckle response:	Well then, how about my 6-a-Bishop takes your 6-d-Gold?
context: Black Cat Team\If black goes 7-d-Pawn and 6-d-Gold, it's illogical to go with 6-a-Bishop.\Rumble Rumble Rumble\It makes more sense to go 3-e-Pawn to take your 7-a-Bishop.\White Cat Team\So you'll leave my 5-b-Pawn alone with your 5-h-Rook open? Their future sure looks bright.\Chuckle Chuckle Chuckle\Well then, how about my 6-a-Bishop takes your 6-d-Gold? response:	There's no way you'd approach my gold when you can't even take the 7-d-Pawn!
context: If black goes 7-d-Pawn and 6-d-Gold, it's illogical to go with 6-a-Bishop.\Rumble Rumble Rumble\It makes more sense to go 3-e-Pawn to take your 7-a-Bishop.\White Cat Team\So you'll leave my 5-b-Pawn alone with your 5-h-Rook open? Their future sure looks bright.\Chuckle Chuckle Chuckle\Well then, how about my 6-a-Bishop takes your 6-d-Gold?\There's no way you'd approach my gold when you can't even take the 7-d-Pawn! response:	There are many words here, so we're providing metaphorical images as accompaniment.
context: Rumble Rumble Rumble\It makes more sense to go 3-e-Pawn to take your 7-a-Bishop.\White Cat Team\So you'll leave my 5-b-Pawn alone with your 5-h-Rook open? Their future sure looks bright.\Chuckle Chuckle Chuckle\Well then, how about my 6-a-Bishop takes your 6-d-Gold?\There's no way you'd approach my gold when you can't even take the 7-d-Pawn!\There are many words here, so we're providing metaphorical images as accompaniment. response:	If you let me take your 5-b-Pawn, I've already won.
context: It makes more sense to go 3-e-Pawn to take your 7-a-Bishop.\White Cat Team\So you'll leave my 5-b-Pawn alone with your 5-h-Rook open? Their future sure looks bright.\Chuckle Chuckle Chuckle\Well then, how about my 6-a-Bishop takes your 6-d-Gold?\There's no way you'd approach my gold when you can't even take the 7-d-Pawn!\There are many words here, so we're providing metaphorical images as accompaniment.\If you let me take your 5-b-Pawn, I've already won. response:	How about 4-g-Bishop takes the 7-d-Pawn?
context: White Cat Team\So you'll leave my 5-b-Pawn alone with your 5-h-Rook open? Their future sure looks bright.\Chuckle Chuckle Chuckle\Well then, how about my 6-a-Bishop takes your 6-d-Gold?\There's no way you'd approach my gold when you can't even take the 7-d-Pawn!\There are many words here, so we're providing metaphorical images as accompaniment.\If you let me take your 5-b-Pawn, I've already won.\How about 4-g-Bishop takes the 7-d-Pawn? response:	Just use the 5-f-Pawn, right?
context: So you'll leave my 5-b-Pawn alone with your 5-h-Rook open? Their future sure looks bright.\Chuckle Chuckle Chuckle\Well then, how about my 6-a-Bishop takes your 6-d-Gold?\There's no way you'd approach my gold when you can't even take the 7-d-Pawn!\There are many words here, so we're providing metaphorical images as accompaniment.\If you let me take your 5-b-Pawn, I've already won.\How about 4-g-Bishop takes the 7-d-Pawn?\Just use the 5-f-Pawn, right? response:	What? You don't even get that? Why don't you start over from the 1st dan?
context: Chuckle Chuckle Chuckle\Well then, how about my 6-a-Bishop takes your 6-d-Gold?\There's no way you'd approach my gold when you can't even take the 7-d-Pawn!\There are many words here, so we're providing metaphorical images as accompaniment.\If you let me take your 5-b-Pawn, I've already won.\How about 4-g-Bishop takes the 7-d-Pawn?\Just use the 5-f-Pawn, right?\What? You don't even get that? Why don't you start over from the 1st dan? response:	Checkmate within 45 Moves
context: Well then, how about my 6-a-Bishop takes your 6-d-Gold?\There's no way you'd approach my gold when you can't even take the 7-d-Pawn!\There are many words here, so we're providing metaphorical images as accompaniment.\If you let me take your 5-b-Pawn, I've already won.\How about 4-g-Bishop takes the 7-d-Pawn?\Just use the 5-f-Pawn, right?\What? You don't even get that? Why don't you start over from the 1st dan?\Checkmate within 45 Moves response:	Captured Piece: Silver
context: There's no way you'd approach my gold when you can't even take the 7-d-Pawn!\There are many words here, so we're providing metaphorical images as accompaniment.\If you let me take your 5-b-Pawn, I've already won.\How about 4-g-Bishop takes the 7-d-Pawn?\Just use the 5-f-Pawn, right?\What? You don't even get that? Why don't you start over from the 1st dan?\Checkmate within 45 Moves\Captured Piece: Silver response:	Silence...
context: There are many words here, so we're providing metaphorical images as accompaniment.\If you let me take your 5-b-Pawn, I've already won.\How about 4-g-Bishop takes the 7-d-Pawn?\Just use the 5-f-Pawn, right?\What? You don't even get that? Why don't you start over from the 1st dan?\Checkmate within 45 Moves\Captured Piece: Silver\Silence... response:	They've finally quieted down.
context: If you let me take your 5-b-Pawn, I've already won.\How about 4-g-Bishop takes the 7-d-Pawn?\Just use the 5-f-Pawn, right?\What? You don't even get that? Why don't you start over from the 1st dan?\Checkmate within 45 Moves\Captured Piece: Silver\Silence...\They've finally quieted down. response:	Stare
context: How about 4-g-Bishop takes the 7-d-Pawn?\Just use the 5-f-Pawn, right?\What? You don't even get that? Why don't you start over from the 1st dan?\Checkmate within 45 Moves\Captured Piece: Silver\Silence...\They've finally quieted down.\Stare response:	Checkmate within 7 Moves
context: Just use the 5-f-Pawn, right?\What? You don't even get that? Why don't you start over from the 1st dan?\Checkmate within 45 Moves\Captured Piece: Silver\Silence...\They've finally quieted down.\Stare\Checkmate within 7 Moves response:	Trick to quiet down hyper students in a classroom
context: What? You don't even get that? Why don't you start over from the 1st dan?\Checkmate within 45 Moves\Captured Piece: Silver\Silence...\They've finally quieted down.\Stare\Checkmate within 7 Moves\Trick to quiet down hyper students in a classroom response:	So this method still works, huh?
context: Checkmate within 45 Moves\Captured Piece: Silver\Silence...\They've finally quieted down.\Stare\Checkmate within 7 Moves\Trick to quiet down hyper students in a classroom\So this method still works, huh? response:	Once you've solved it, take your seat.
context: Captured Piece: Silver\Silence...\They've finally quieted down.\Stare\Checkmate within 7 Moves\Trick to quiet down hyper students in a classroom\So this method still works, huh?\Once you've solved it, take your seat. response:	So what do you think about this, Kiriyama?
context: Silence...\They've finally quieted down.\Stare\Checkmate within 7 Moves\Trick to quiet down hyper students in a classroom\So this method still works, huh?\Once you've solved it, take your seat.\So what do you think about this, Kiriyama? response:	Sorry?
context: They've finally quieted down.\Stare\Checkmate within 7 Moves\Trick to quiet down hyper students in a classroom\So this method still works, huh?\Once you've solved it, take your seat.\So what do you think about this, Kiriyama?\Sorry? response:	Would you go for the 6-a-Bishop? Or the 7-d-Pawn?
context: Stare\Checkmate within 7 Moves\Trick to quiet down hyper students in a classroom\So this method still works, huh?\Once you've solved it, take your seat.\So what do you think about this, Kiriyama?\Sorry?\Would you go for the 6-a-Bishop? Or the 7-d-Pawn? response:	The thing is, it's already...
context: Checkmate within 7 Moves\Trick to quiet down hyper students in a classroom\So this method still works, huh?\Once you've solved it, take your seat.\So what do you think about this, Kiriyama?\Sorry?\Would you go for the 6-a-Bishop? Or the 7-d-Pawn?\The thing is, it's already... response:	Once the board gets to this position, you're already in bad shape.
context: Trick to quiet down hyper students in a classroom\So this method still works, huh?\Once you've solved it, take your seat.\So what do you think about this, Kiriyama?\Sorry?\Would you go for the 6-a-Bishop? Or the 7-d-Pawn?\The thing is, it's already...\Once the board gets to this position, you're already in bad shape. response:	Don't undermine the premise. We can't learn anything that way, Kiriyama.
context: So this method still works, huh?\Once you've solved it, take your seat.\So what do you think about this, Kiriyama?\Sorry?\Would you go for the 6-a-Bishop? Or the 7-d-Pawn?\The thing is, it's already...\Once the board gets to this position, you're already in bad shape.\Don't undermine the premise. We can't learn anything that way, Kiriyama. response:	But unless we imagine it in the context of a real game, there's no point in studying it.
context: Once you've solved it, take your seat.\So what do you think about this, Kiriyama?\Sorry?\Would you go for the 6-a-Bishop? Or the 7-d-Pawn?\The thing is, it's already...\Once the board gets to this position, you're already in bad shape.\Don't undermine the premise. We can't learn anything that way, Kiriyama.\But unless we imagine it in the context of a real game, there's no point in studying it. response:	Something would have to be done before the board got to this point.
context: So what do you think about this, Kiriyama?\Sorry?\Would you go for the 6-a-Bishop? Or the 7-d-Pawn?\The thing is, it's already...\Once the board gets to this position, you're already in bad shape.\Don't undermine the premise. We can't learn anything that way, Kiriyama.\But unless we imagine it in the context of a real game, there's no point in studying it.\Something would have to be done before the board got to this point. response:	Be specific. How do you figure this is hopeless?
context: Sorry?\Would you go for the 6-a-Bishop? Or the 7-d-Pawn?\The thing is, it's already...\Once the board gets to this position, you're already in bad shape.\Don't undermine the premise. We can't learn anything that way, Kiriyama.\But unless we imagine it in the context of a real game, there's no point in studying it.\Something would have to be done before the board got to this point.\Be specific. How do you figure this is hopeless? response:	You mean explain it?
context: Would you go for the 6-a-Bishop? Or the 7-d-Pawn?\The thing is, it's already...\Once the board gets to this position, you're already in bad shape.\Don't undermine the premise. We can't learn anything that way, Kiriyama.\But unless we imagine it in the context of a real game, there's no point in studying it.\Something would have to be done before the board got to this point.\Be specific. How do you figure this is hopeless?\You mean explain it? response:	Um... How can I put it?
context: The thing is, it's already...\Once the board gets to this position, you're already in bad shape.\Don't undermine the premise. We can't learn anything that way, Kiriyama.\But unless we imagine it in the context of a real game, there's no point in studying it.\Something would have to be done before the board got to this point.\Be specific. How do you figure this is hopeless?\You mean explain it?\Um... How can I put it? response:	It's disturbing... or like...
context: Once the board gets to this position, you're already in bad shape.\Don't undermine the premise. We can't learn anything that way, Kiriyama.\But unless we imagine it in the context of a real game, there's no point in studying it.\Something would have to be done before the board got to this point.\Be specific. How do you figure this is hopeless?\You mean explain it?\Um... How can I put it?\It's disturbing... or like... response:	Disturbing?
context: Don't undermine the premise. We can't learn anything that way, Kiriyama.\But unless we imagine it in the context of a real game, there's no point in studying it.\Something would have to be done before the board got to this point.\Be specific. How do you figure this is hopeless?\You mean explain it?\Um... How can I put it?\It's disturbing... or like...\Disturbing? response:	Disturbing?!
context: But unless we imagine it in the context of a real game, there's no point in studying it.\Something would have to be done before the board got to this point.\Be specific. How do you figure this is hopeless?\You mean explain it?\Um... How can I put it?\It's disturbing... or like...\Disturbing?\Disturbing?! response:	Kiriyama, did you want to say something abstract, and think we'd interpret it as genius?
context: Something would have to be done before the board got to this point.\Be specific. How do you figure this is hopeless?\You mean explain it?\Um... How can I put it?\It's disturbing... or like...\Disturbing?\Disturbing?!\Kiriyama, did you want to say something abstract, and think we'd interpret it as genius? response:	Speak clearly! Or do you want me to stimulate your speech center?
context: Be specific. How do you figure this is hopeless?\You mean explain it?\Um... How can I put it?\It's disturbing... or like...\Disturbing?\Disturbing?!\Kiriyama, did you want to say something abstract, and think we'd interpret it as genius?\Speak clearly! Or do you want me to stimulate your speech center? response:	Hey, put my cactus down.
context: You mean explain it?\Um... How can I put it?\It's disturbing... or like...\Disturbing?\Disturbing?!\Kiriyama, did you want to say something abstract, and think we'd interpret it as genius?\Speak clearly! Or do you want me to stimulate your speech center?\Hey, put my cactus down. response:	Sorry, Kiriyama.
context: Um... How can I put it?\It's disturbing... or like...\Disturbing?\Disturbing?!\Kiriyama, did you want to say something abstract, and think we'd interpret it as genius?\Speak clearly! Or do you want me to stimulate your speech center?\Hey, put my cactus down.\Sorry, Kiriyama. response:	This is a workshop, so verbalize your feelings for us.
context: It's disturbing... or like...\Disturbing?\Disturbing?!\Kiriyama, did you want to say something abstract, and think we'd interpret it as genius?\Speak clearly! Or do you want me to stimulate your speech center?\Hey, put my cactus down.\Sorry, Kiriyama.\This is a workshop, so verbalize your feelings for us. response:	Until now, you studied alone, so I'm sure you didn't bother with that.
context: Disturbing?\Disturbing?!\Kiriyama, did you want to say something abstract, and think we'd interpret it as genius?\Speak clearly! Or do you want me to stimulate your speech center?\Hey, put my cactus down.\Sorry, Kiriyama.\This is a workshop, so verbalize your feelings for us.\Until now, you studied alone, so I'm sure you didn't bother with that. response:	But do your best, and go ahead.
context: Disturbing?!\Kiriyama, did you want to say something abstract, and think we'd interpret it as genius?\Speak clearly! Or do you want me to stimulate your speech center?\Hey, put my cactus down.\Sorry, Kiriyama.\This is a workshop, so verbalize your feelings for us.\Until now, you studied alone, so I'm sure you didn't bother with that.\But do your best, and go ahead. response:	Um... First...
context: Kiriyama, did you want to say something abstract, and think we'd interpret it as genius?\Speak clearly! Or do you want me to stimulate your speech center?\Hey, put my cactus down.\Sorry, Kiriyama.\This is a workshop, so verbalize your feelings for us.\Until now, you studied alone, so I'm sure you didn't bother with that.\But do your best, and go ahead.\Um... First... response:	The 3-g-Silver is still on the board.
context: Speak clearly! Or do you want me to stimulate your speech center?\Hey, put my cactus down.\Sorry, Kiriyama.\This is a workshop, so verbalize your feelings for us.\Until now, you studied alone, so I'm sure you didn't bother with that.\But do your best, and go ahead.\Um... First...\The 3-g-Silver is still on the board. response:	That's one thing I find disturbing, or...
context: Hey, put my cactus down.\Sorry, Kiriyama.\This is a workshop, so verbalize your feelings for us.\Until now, you studied alone, so I'm sure you didn't bother with that.\But do your best, and go ahead.\Um... First...\The 3-g-Silver is still on the board.\That's one thing I find disturbing, or... response:	So, in what way?
context: Sorry, Kiriyama.\This is a workshop, so verbalize your feelings for us.\Until now, you studied alone, so I'm sure you didn't bother with that.\But do your best, and go ahead.\Um... First...\The 3-g-Silver is still on the board.\That's one thing I find disturbing, or...\So, in what way? response:	Um...
context: This is a workshop, so verbalize your feelings for us.\Until now, you studied alone, so I'm sure you didn't bother with that.\But do your best, and go ahead.\Um... First...\The 3-g-Silver is still on the board.\That's one thing I find disturbing, or...\So, in what way?\Um... response:	I think going with black's 7-d-Pawn will only result in injury.
context: Until now, you studied alone, so I'm sure you didn't bother with that.\But do your best, and go ahead.\Um... First...\The 3-g-Silver is still on the board.\That's one thing I find disturbing, or...\So, in what way?\Um...\I think going with black's 7-d-Pawn will only result in injury. response:	Injury? No way, what are you saying?
context: But do your best, and go ahead.\Um... First...\The 3-g-Silver is still on the board.\That's one thing I find disturbing, or...\So, in what way?\Um...\I think going with black's 7-d-Pawn will only result in injury.\Injury? No way, what are you saying? response:	Yeah. At this point, I agree with the steamed bun's opinion.
context: Um... First...\The 3-g-Silver is still on the board.\That's one thing I find disturbing, or...\So, in what way?\Um...\I think going with black's 7-d-Pawn will only result in injury.\Injury? No way, what are you saying?\Yeah. At this point, I agree with the steamed bun's opinion. response:	Steamed bun?
context: The 3-g-Silver is still on the board.\That's one thing I find disturbing, or...\So, in what way?\Um...\I think going with black's 7-d-Pawn will only result in injury.\Injury? No way, what are you saying?\Yeah. At this point, I agree with the steamed bun's opinion.\Steamed bun? response:	What's that, you bastard?!
context: That's one thing I find disturbing, or...\So, in what way?\Um...\I think going with black's 7-d-Pawn will only result in injury.\Injury? No way, what are you saying?\Yeah. At this point, I agree with the steamed bun's opinion.\Steamed bun?\What's that, you bastard?! response:	You wanna step outside? That would make my day!
context: So, in what way?\Um...\I think going with black's 7-d-Pawn will only result in injury.\Injury? No way, what are you saying?\Yeah. At this point, I agree with the steamed bun's opinion.\Steamed bun?\What's that, you bastard?!\You wanna step outside? That would make my day! response:	Damn it, it's noisy. Shush it, you guys.
context: Um...\I think going with black's 7-d-Pawn will only result in injury.\Injury? No way, what are you saying?\Yeah. At this point, I agree with the steamed bun's opinion.\Steamed bun?\What's that, you bastard?!\You wanna step outside? That would make my day!\Damn it, it's noisy. Shush it, you guys. response:	Or I'll smack you.
context: I think going with black's 7-d-Pawn will only result in injury.\Injury? No way, what are you saying?\Yeah. At this point, I agree with the steamed bun's opinion.\Steamed bun?\What's that, you bastard?!\You wanna step outside? That would make my day!\Damn it, it's noisy. Shush it, you guys.\Or I'll smack you. response:	I see.
context: Injury? No way, what are you saying?\Yeah. At this point, I agree with the steamed bun's opinion.\Steamed bun?\What's that, you bastard?!\You wanna step outside? That would make my day!\Damn it, it's noisy. Shush it, you guys.\Or I'll smack you.\I see. response:	Disturbing, huh?
context: Yeah. At this point, I agree with the steamed bun's opinion.\Steamed bun?\What's that, you bastard?!\You wanna step outside? That would make my day!\Damn it, it's noisy. Shush it, you guys.\Or I'll smack you.\I see.\Disturbing, huh? response:	Interesting.
context: Steamed bun?\What's that, you bastard?!\You wanna step outside? That would make my day!\Damn it, it's noisy. Shush it, you guys.\Or I'll smack you.\I see.\Disturbing, huh?\Interesting. response:	Well, see you next time.
context: What's that, you bastard?!\You wanna step outside? That would make my day!\Damn it, it's noisy. Shush it, you guys.\Or I'll smack you.\I see.\Disturbing, huh?\Interesting.\Well, see you next time. response:	Yep. I'll check my schedule and give you a call.
context: You wanna step outside? That would make my day!\Damn it, it's noisy. Shush it, you guys.\Or I'll smack you.\I see.\Disturbing, huh?\Interesting.\Well, see you next time.\Yep. I'll check my schedule and give you a call. response:	Okay!
context: Damn it, it's noisy. Shush it, you guys.\Or I'll smack you.\I see.\Disturbing, huh?\Interesting.\Well, see you next time.\Yep. I'll check my schedule and give you a call.\Okay! response:	Oh, Kiriyama.
context: Or I'll smack you.\I see.\Disturbing, huh?\Interesting.\Well, see you next time.\Yep. I'll check my schedule and give you a call.\Okay!\Oh, Kiriyama. response:	Yes?
context: I see.\Disturbing, huh?\Interesting.\Well, see you next time.\Yep. I'll check my schedule and give you a call.\Okay!\Oh, Kiriyama.\Yes? response:	Are you free tomorrow?
context: Disturbing, huh?\Interesting.\Well, see you next time.\Yep. I'll check my schedule and give you a call.\Okay!\Oh, Kiriyama.\Yes?\Are you free tomorrow? response:	Yes. After school, I don't have any plans.
context: Interesting.\Well, see you next time.\Yep. I'll check my schedule and give you a call.\Okay!\Oh, Kiriyama.\Yes?\Are you free tomorrow?\Yes. After school, I don't have any plans. response:	Can you come back tomorrow?
context: Well, see you next time.\Yep. I'll check my schedule and give you a call.\Okay!\Oh, Kiriyama.\Yes?\Are you free tomorrow?\Yes. After school, I don't have any plans.\Can you come back tomorrow? response:	This time, just you.
context: Yep. I'll check my schedule and give you a call.\Okay!\Oh, Kiriyama.\Yes?\Are you free tomorrow?\Yes. After school, I don't have any plans.\Can you come back tomorrow?\This time, just you. response:	That's what Mr. Shimada asked me.
context: Okay!\Oh, Kiriyama.\Yes?\Are you free tomorrow?\Yes. After school, I don't have any plans.\Can you come back tomorrow?\This time, just you.\That's what Mr. Shimada asked me. response:	And so, the next day...
context: Oh, Kiriyama.\Yes?\Are you free tomorrow?\Yes. After school, I don't have any plans.\Can you come back tomorrow?\This time, just you.\That's what Mr. Shimada asked me.\And so, the next day... response:	Hey there.
