context: Naraku... response:	Fifty years ago, in order to steal the Sacred Jewel...
context: The Wind Scar!\A woman with the same scent as Naraku.\For sure, she had a spider-shaped burn scar on her back...\the same as Naraku.\But it's strange.\For a woman, this Kagura was somewhat strong.\If he can create someone like that...\Uh-huh... Why didn't he do it earlier? response:	That's just it. It's not that he didn't choose not to do it...
context: A woman with the same scent as Naraku.\For sure, she had a spider-shaped burn scar on her back...\the same as Naraku.\But it's strange.\For a woman, this Kagura was somewhat strong.\If he can create someone like that...\Uh-huh... Why didn't he do it earlier?\That's just it. It's not that he didn't choose not to do it... response:	He couldn't do it, until now.
context: For sure, she had a spider-shaped burn scar on her back...\the same as Naraku.\But it's strange.\For a woman, this Kagura was somewhat strong.\If he can create someone like that...\Uh-huh... Why didn't he do it earlier?\That's just it. It's not that he didn't choose not to do it...\He couldn't do it, until now. response:	Does that mean Naraku has gotten new powers?
context: the same as Naraku.\But it's strange.\For a woman, this Kagura was somewhat strong.\If he can create someone like that...\Uh-huh... Why didn't he do it earlier?\That's just it. It's not that he didn't choose not to do it...\He couldn't do it, until now.\Does that mean Naraku has gotten new powers? response:	Kagura, because you took Tetsusaiga's blows...
context: But it's strange.\For a woman, this Kagura was somewhat strong.\If he can create someone like that...\Uh-huh... Why didn't he do it earlier?\That's just it. It's not that he didn't choose not to do it...\He couldn't do it, until now.\Does that mean Naraku has gotten new powers?\Kagura, because you took Tetsusaiga's blows... response:	I was able to see the power of his sword.
context: For a woman, this Kagura was somewhat strong.\If he can create someone like that...\Uh-huh... Why didn't he do it earlier?\That's just it. It's not that he didn't choose not to do it...\He couldn't do it, until now.\Does that mean Naraku has gotten new powers?\Kagura, because you took Tetsusaiga's blows...\I was able to see the power of his sword. response:	Go now. Once more.
context: If he can create someone like that...\Uh-huh... Why didn't he do it earlier?\That's just it. It's not that he didn't choose not to do it...\He couldn't do it, until now.\Does that mean Naraku has gotten new powers?\Kagura, because you took Tetsusaiga's blows...\I was able to see the power of his sword.\Go now. Once more. response:	Already your older sister, Kanna, has been dispatched.
context: Uh-huh... Why didn't he do it earlier?\That's just it. It's not that he didn't choose not to do it...\He couldn't do it, until now.\Does that mean Naraku has gotten new powers?\Kagura, because you took Tetsusaiga's blows...\I was able to see the power of his sword.\Go now. Once more.\Already your older sister, Kanna, has been dispatched. response:	Damn! Where'd that bitch go?
context: That's just it. It's not that he didn't choose not to do it...\He couldn't do it, until now.\Does that mean Naraku has gotten new powers?\Kagura, because you took Tetsusaiga's blows...\I was able to see the power of his sword.\Go now. Once more.\Already your older sister, Kanna, has been dispatched.\Damn! Where'd that bitch go? response:	She resisted the Young Lord of the Keeper of the Oil.
context: He couldn't do it, until now.\Does that mean Naraku has gotten new powers?\Kagura, because you took Tetsusaiga's blows...\I was able to see the power of his sword.\Go now. Once more.\Already your older sister, Kanna, has been dispatched.\Damn! Where'd that bitch go?\She resisted the Young Lord of the Keeper of the Oil. response:	When you find that Koharu, beat her soundly!
context: Does that mean Naraku has gotten new powers?\Kagura, because you took Tetsusaiga's blows...\I was able to see the power of his sword.\Go now. Once more.\Already your older sister, Kanna, has been dispatched.\Damn! Where'd that bitch go?\She resisted the Young Lord of the Keeper of the Oil.\When you find that Koharu, beat her soundly! response:	Yes, my lord!
context: Kagura, because you took Tetsusaiga's blows...\I was able to see the power of his sword.\Go now. Once more.\Already your older sister, Kanna, has been dispatched.\Damn! Where'd that bitch go?\She resisted the Young Lord of the Keeper of the Oil.\When you find that Koharu, beat her soundly!\Yes, my lord! response:	Oh... what'll I do?
context: I was able to see the power of his sword.\Go now. Once more.\Already your older sister, Kanna, has been dispatched.\Damn! Where'd that bitch go?\She resisted the Young Lord of the Keeper of the Oil.\When you find that Koharu, beat her soundly!\Yes, my lord!\Oh... what'll I do? response:	Oh, who's that?
context: Go now. Once more.\Already your older sister, Kanna, has been dispatched.\Damn! Where'd that bitch go?\She resisted the Young Lord of the Keeper of the Oil.\When you find that Koharu, beat her soundly!\Yes, my lord!\Oh... what'll I do?\Oh, who's that? response:	- We found her! - There's Koharu!
context: Already your older sister, Kanna, has been dispatched.\Damn! Where'd that bitch go?\She resisted the Young Lord of the Keeper of the Oil.\When you find that Koharu, beat her soundly!\Yes, my lord!\Oh... what'll I do?\Oh, who's that?\- We found her! - There's Koharu! response:	W-who are you?!
context: Damn! Where'd that bitch go?\She resisted the Young Lord of the Keeper of the Oil.\When you find that Koharu, beat her soundly!\Yes, my lord!\Oh... what'll I do?\Oh, who's that?\- We found her! - There's Koharu!\W-who are you?! response:	That's my line.
context: She resisted the Young Lord of the Keeper of the Oil.\When you find that Koharu, beat her soundly!\Yes, my lord!\Oh... what'll I do?\Oh, who's that?\- We found her! - There's Koharu!\W-who are you?!\That's my line. response:	You look like ordinary humans.
context: When you find that Koharu, beat her soundly!\Yes, my lord!\Oh... what'll I do?\Oh, who's that?\- We found her! - There's Koharu!\W-who are you?!\That's my line.\You look like ordinary humans. response:	She's not Koharu!
context: Yes, my lord!\Oh... what'll I do?\Oh, who's that?\- We found her! - There's Koharu!\W-who are you?!\That's my line.\You look like ordinary humans.\She's not Koharu! response:	How pretty... Bring her back.
context: Oh... what'll I do?\Oh, who's that?\- We found her! - There's Koharu!\W-who are you?!\That's my line.\You look like ordinary humans.\She's not Koharu!\How pretty... Bring her back. response:	Yes, sir!
context: Oh, who's that?\- We found her! - There's Koharu!\W-who are you?!\That's my line.\You look like ordinary humans.\She's not Koharu!\How pretty... Bring her back.\Yes, sir! response:	Come with us!
context: - We found her! - There's Koharu!\W-who are you?!\That's my line.\You look like ordinary humans.\She's not Koharu!\How pretty... Bring her back.\Yes, sir!\Come with us! response:	If you resist, you'll get it!
context: W-who are you?!\That's my line.\You look like ordinary humans.\She's not Koharu!\How pretty... Bring her back.\Yes, sir!\Come with us!\If you resist, you'll get it! response:	Oh no... she's in danger!
context: That's my line.\You look like ordinary humans.\She's not Koharu!\How pretty... Bring her back.\Yes, sir!\Come with us!\If you resist, you'll get it!\Oh no... she's in danger! response:	Wait!
context: You look like ordinary humans.\She's not Koharu!\How pretty... Bring her back.\Yes, sir!\Come with us!\If you resist, you'll get it!\Oh no... she's in danger!\Wait! response:	So you're their leader?!
context: She's not Koharu!\How pretty... Bring her back.\Yes, sir!\Come with us!\If you resist, you'll get it!\Oh no... she's in danger!\Wait!\So you're their leader?! response:	Young Lord!
context: How pretty... Bring her back.\Yes, sir!\Come with us!\If you resist, you'll get it!\Oh no... she's in danger!\Wait!\So you're their leader?!\Young Lord! response:	F-forgive us!
context: Yes, sir!\Come with us!\If you resist, you'll get it!\Oh no... she's in danger!\Wait!\So you're their leader?!\Young Lord!\F-forgive us! response:	Young Lord... hang on!
context: Come with us!\If you resist, you'll get it!\Oh no... she's in danger!\Wait!\So you're their leader?!\Young Lord!\F-forgive us!\Young Lord... hang on! response:	Huh?! The Young Lord's face is changed!
context: If you resist, you'll get it!\Oh no... she's in danger!\Wait!\So you're their leader?!\Young Lord!\F-forgive us!\Young Lord... hang on!\Huh?! The Young Lord's face is changed! response:	What's with them?!
context: Oh no... she's in danger!\Wait!\So you're their leader?!\Young Lord!\F-forgive us!\Young Lord... hang on!\Huh?! The Young Lord's face is changed!\What's with them?! response:	Err... Um...
context: Wait!\So you're their leader?!\Young Lord!\F-forgive us!\Young Lord... hang on!\Huh?! The Young Lord's face is changed!\What's with them?!\Err... Um... response:	You're the one they were after?
context: So you're their leader?!\Young Lord!\F-forgive us!\Young Lord... hang on!\Huh?! The Young Lord's face is changed!\What's with them?!\Err... Um...\You're the one they were after? response:	Y-yes.
context: Young Lord!\F-forgive us!\Young Lord... hang on!\Huh?! The Young Lord's face is changed!\What's with them?!\Err... Um...\You're the one they were after?\Y-yes. response:	Sango?
context: F-forgive us!\Young Lord... hang on!\Huh?! The Young Lord's face is changed!\What's with them?!\Err... Um...\You're the one they were after?\Y-yes.\Sango? response:	What's the matter?
context: Young Lord... hang on!\Huh?! The Young Lord's face is changed!\What's with them?!\Err... Um...\You're the one they were after?\Y-yes.\Sango?\What's the matter? response:	Master Miroku!
context: Huh?! The Young Lord's face is changed!\What's with them?!\Err... Um...\You're the one they were after?\Y-yes.\Sango?\What's the matter?\Master Miroku! response:	It is you, Master Miroku!
context: What's with them?!\Err... Um...\You're the one they were after?\Y-yes.\Sango?\What's the matter?\Master Miroku!\It is you, Master Miroku! response:	Master Miroku!
context: Err... Um...\You're the one they were after?\Y-yes.\Sango?\What's the matter?\Master Miroku!\It is you, Master Miroku!\Master Miroku! response:	Master Miroku! How I've longed to see you!
context: You're the one they were after?\Y-yes.\Sango?\What's the matter?\Master Miroku!\It is you, Master Miroku!\Master Miroku!\Master Miroku! How I've longed to see you! response:	Huh?
context: Y-yes.\Sango?\What's the matter?\Master Miroku!\It is you, Master Miroku!\Master Miroku!\Master Miroku! How I've longed to see you!\Huh? response:	Have we met before?
context: Sango?\What's the matter?\Master Miroku!\It is you, Master Miroku!\Master Miroku!\Master Miroku! How I've longed to see you!\Huh?\Have we met before? response:	I'm Koharu!
context: What's the matter?\Master Miroku!\It is you, Master Miroku!\Master Miroku!\Master Miroku! How I've longed to see you!\Huh?\Have we met before?\I'm Koharu! response:	Koharu?
context: Master Miroku!\It is you, Master Miroku!\Master Miroku!\Master Miroku! How I've longed to see you!\Huh?\Have we met before?\I'm Koharu!\Koharu? response:	Oh... that girl!
context: It is you, Master Miroku!\Master Miroku!\Master Miroku! How I've longed to see you!\Huh?\Have we met before?\I'm Koharu!\Koharu?\Oh... that girl! response:	It's been three years, Master Miroku!
context: Master Miroku!\Master Miroku! How I've longed to see you!\Huh?\Have we met before?\I'm Koharu!\Koharu?\Oh... that girl!\It's been three years, Master Miroku! response:	Oh... you've changed so much!
context: Master Miroku! How I've longed to see you!\Huh?\Have we met before?\I'm Koharu!\Koharu?\Oh... that girl!\It's been three years, Master Miroku!\Oh... you've changed so much! response:	My goodness... how nice to see you!
context: Huh?\Have we met before?\I'm Koharu!\Koharu?\Oh... that girl!\It's been three years, Master Miroku!\Oh... you've changed so much!\My goodness... how nice to see you! response:	Is she Miroku's friend?
context: Have we met before?\I'm Koharu!\Koharu?\Oh... that girl!\It's been three years, Master Miroku!\Oh... you've changed so much!\My goodness... how nice to see you!\Is she Miroku's friend? response:	Seems closer than just a friend.
context: I'm Koharu!\Koharu?\Oh... that girl!\It's been three years, Master Miroku!\Oh... you've changed so much!\My goodness... how nice to see you!\Is she Miroku's friend?\Seems closer than just a friend. response:	I agree.
context: Koharu?\Oh... that girl!\It's been three years, Master Miroku!\Oh... you've changed so much!\My goodness... how nice to see you!\Is she Miroku's friend?\Seems closer than just a friend.\I agree. response:	I...lost my parents and siblings in the war.
context: Oh... that girl!\It's been three years, Master Miroku!\Oh... you've changed so much!\My goodness... how nice to see you!\Is she Miroku's friend?\Seems closer than just a friend.\I agree.\I...lost my parents and siblings in the war. response:	The Keeper of the Oil took me in, but worked me night and day.
context: It's been three years, Master Miroku!\Oh... you've changed so much!\My goodness... how nice to see you!\Is she Miroku's friend?\Seems closer than just a friend.\I agree.\I...lost my parents and siblings in the war.\The Keeper of the Oil took me in, but worked me night and day. response:	It was hard work...and I was hungry.
context: Oh... you've changed so much!\My goodness... how nice to see you!\Is she Miroku's friend?\Seems closer than just a friend.\I agree.\I...lost my parents and siblings in the war.\The Keeper of the Oil took me in, but worked me night and day.\It was hard work...and I was hungry. response:	I cried every single day.
context: My goodness... how nice to see you!\Is she Miroku's friend?\Seems closer than just a friend.\I agree.\I...lost my parents and siblings in the war.\The Keeper of the Oil took me in, but worked me night and day.\It was hard work...and I was hungry.\I cried every single day. response:	Then...
context: Is she Miroku's friend?\Seems closer than just a friend.\I agree.\I...lost my parents and siblings in the war.\The Keeper of the Oil took me in, but worked me night and day.\It was hard work...and I was hungry.\I cried every single day.\Then... response:	Here, go on and eat.
context: Seems closer than just a friend.\I agree.\I...lost my parents and siblings in the war.\The Keeper of the Oil took me in, but worked me night and day.\It was hard work...and I was hungry.\I cried every single day.\Then...\Here, go on and eat. response:	Only Miroku who was in the village to perform an exorcism was kind to me.
context: I agree.\I...lost my parents and siblings in the war.\The Keeper of the Oil took me in, but worked me night and day.\It was hard work...and I was hungry.\I cried every single day.\Then...\Here, go on and eat.\Only Miroku who was in the village to perform an exorcism was kind to me. response:	You're Koharu, right? How old are you?
context: I...lost my parents and siblings in the war.\The Keeper of the Oil took me in, but worked me night and day.\It was hard work...and I was hungry.\I cried every single day.\Then...\Here, go on and eat.\Only Miroku who was in the village to perform an exorcism was kind to me.\You're Koharu, right? How old are you? response:	Eleven!
context: The Keeper of the Oil took me in, but worked me night and day.\It was hard work...and I was hungry.\I cried every single day.\Then...\Here, go on and eat.\Only Miroku who was in the village to perform an exorcism was kind to me.\You're Koharu, right? How old are you?\Eleven! response:	I see.
context: It was hard work...and I was hungry.\I cried every single day.\Then...\Here, go on and eat.\Only Miroku who was in the village to perform an exorcism was kind to me.\You're Koharu, right? How old are you?\Eleven!\I see. response:	Listen, Koharu. Will you bear my child?
context: I cried every single day.\Then...\Here, go on and eat.\Only Miroku who was in the village to perform an exorcism was kind to me.\You're Koharu, right? How old are you?\Eleven!\I see.\Listen, Koharu. Will you bear my child? response:	W-why're you pulling away from me?
context: Then...\Here, go on and eat.\Only Miroku who was in the village to perform an exorcism was kind to me.\You're Koharu, right? How old are you?\Eleven!\I see.\Listen, Koharu. Will you bear my child?\W-why're you pulling away from me? response:	Miroku! How could you say such a thing to a child!
context: Here, go on and eat.\Only Miroku who was in the village to perform an exorcism was kind to me.\You're Koharu, right? How old are you?\Eleven!\I see.\Listen, Koharu. Will you bear my child?\W-why're you pulling away from me?\Miroku! How could you say such a thing to a child! response:	You animal!
context: Only Miroku who was in the village to perform an exorcism was kind to me.\You're Koharu, right? How old are you?\Eleven!\I see.\Listen, Koharu. Will you bear my child?\W-why're you pulling away from me?\Miroku! How could you say such a thing to a child!\You animal! response:	I was so happy!
context: You're Koharu, right? How old are you?\Eleven!\I see.\Listen, Koharu. Will you bear my child?\W-why're you pulling away from me?\Miroku! How could you say such a thing to a child!\You animal!\I was so happy! response:	Take responsibility!
context: Eleven!\I see.\Listen, Koharu. Will you bear my child?\W-why're you pulling away from me?\Miroku! How could you say such a thing to a child!\You animal!\I was so happy!\Take responsibility! response:	Yes...
context: I see.\Listen, Koharu. Will you bear my child?\W-why're you pulling away from me?\Miroku! How could you say such a thing to a child!\You animal!\I was so happy!\Take responsibility!\Yes... response:	But I didn't lay a hand on Koharu.
context: Listen, Koharu. Will you bear my child?\W-why're you pulling away from me?\Miroku! How could you say such a thing to a child!\You animal!\I was so happy!\Take responsibility!\Yes...\But I didn't lay a hand on Koharu. response:	I hope not!
context: W-why're you pulling away from me?\Miroku! How could you say such a thing to a child!\You animal!\I was so happy!\Take responsibility!\Yes...\But I didn't lay a hand on Koharu.\I hope not! response:	She was still a child.
context: Miroku! How could you say such a thing to a child!\You animal!\I was so happy!\Take responsibility!\Yes...\But I didn't lay a hand on Koharu.\I hope not!\She was still a child. response:	Back then, Master Miroku left the village right away.
context: You animal!\I was so happy!\Take responsibility!\Yes...\But I didn't lay a hand on Koharu.\I hope not!\She was still a child.\Back then, Master Miroku left the village right away. response:	I believed that he would come back for me.
context: I was so happy!\Take responsibility!\Yes...\But I didn't lay a hand on Koharu.\I hope not!\She was still a child.\Back then, Master Miroku left the village right away.\I believed that he would come back for me. response:	I trusted him.
context: Take responsibility!\Yes...\But I didn't lay a hand on Koharu.\I hope not!\She was still a child.\Back then, Master Miroku left the village right away.\I believed that he would come back for me.\I trusted him. response:	Recently though, the Young Lord of the Keeper of the Oil...
context: Yes...\But I didn't lay a hand on Koharu.\I hope not!\She was still a child.\Back then, Master Miroku left the village right away.\I believed that he would come back for me.\I trusted him.\Recently though, the Young Lord of the Keeper of the Oil... response:	started looking at me strangely.
context: But I didn't lay a hand on Koharu.\I hope not!\She was still a child.\Back then, Master Miroku left the village right away.\I believed that he would come back for me.\I trusted him.\Recently though, the Young Lord of the Keeper of the Oil...\started looking at me strangely. response:	Last night, he tried to force himself on me.
context: I hope not!\She was still a child.\Back then, Master Miroku left the village right away.\I believed that he would come back for me.\I trusted him.\Recently though, the Young Lord of the Keeper of the Oil...\started looking at me strangely.\Last night, he tried to force himself on me. response:	And you escaped?
context: She was still a child.\Back then, Master Miroku left the village right away.\I believed that he would come back for me.\I trusted him.\Recently though, the Young Lord of the Keeper of the Oil...\started looking at me strangely.\Last night, he tried to force himself on me.\And you escaped? response:	Yes! I beat him up with the firewood and...
context: Back then, Master Miroku left the village right away.\I believed that he would come back for me.\I trusted him.\Recently though, the Young Lord of the Keeper of the Oil...\started looking at me strangely.\Last night, he tried to force himself on me.\And you escaped?\Yes! I beat him up with the firewood and... response:	when he stopped moving...
context: I believed that he would come back for me.\I trusted him.\Recently though, the Young Lord of the Keeper of the Oil...\started looking at me strangely.\Last night, he tried to force himself on me.\And you escaped?\Yes! I beat him up with the firewood and...\when he stopped moving... response:	l-I see...
context: I trusted him.\Recently though, the Young Lord of the Keeper of the Oil...\started looking at me strangely.\Last night, he tried to force himself on me.\And you escaped?\Yes! I beat him up with the firewood and...\when he stopped moving...\l-I see... response:	Master Miroku, please take me!
context: Recently though, the Young Lord of the Keeper of the Oil...\started looking at me strangely.\Last night, he tried to force himself on me.\And you escaped?\Yes! I beat him up with the firewood and...\when he stopped moving...\l-I see...\Master Miroku, please take me! response:	Koharu!
context: started looking at me strangely.\Last night, he tried to force himself on me.\And you escaped?\Yes! I beat him up with the firewood and...\when he stopped moving...\l-I see...\Master Miroku, please take me!\Koharu! response:	I have nowhere to go!
context: Last night, he tried to force himself on me.\And you escaped?\Yes! I beat him up with the firewood and...\when he stopped moving...\l-I see...\Master Miroku, please take me!\Koharu!\I have nowhere to go! response:	Besides, I'm an adult now.
context: And you escaped?\Yes! I beat him up with the firewood and...\when he stopped moving...\l-I see...\Master Miroku, please take me!\Koharu!\I have nowhere to go!\Besides, I'm an adult now. response:	I can bear your child.
