context: The Kingdom of Fiore... response:	A neutral country of 17 million people.
context: The wizards belong to various guilds and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice? response:	Oh, yeah! It's hoarse from yelling.
context: There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling. response:	Oh, yeah! Until your heart can hear it...
context: And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it... response:	Oh, yeah! Oh, yeah!
context: A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah! response:	The moon and sun high-five.
context: Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five. response:	Are you sure you're not forgetting something?
context: Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something? response:	When you're not here to make me laugh,
context: I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh, response:	even what I'm looking for can't be found.
context: Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found. response:	Snowing, be honest with yourself and smile,
context: Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile, response:	because when two people lay close, time overlaps.
context: Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps. response:	Fairy, where are you going?
context: Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going? response:	I'll gather all the light, and shine down on your tomorrow!
context: The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow! response:	Don't say goodbye!
context: Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye! response:	Last time on Fairy Tail!
context: When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail! response:	Why the heck do I have to go with you?
context: even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Why the heck do I have to go with you? response:	Then don't come!
context: Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Why the heck do I have to go with you?\Then don't come! response:	I want you two to lend me your strength.
context: because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Why the heck do I have to go with you?\Then don't come!\I want you two to lend me your strength. response:	Eisenwald?
context: Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Why the heck do I have to go with you?\Then don't come!\I want you two to lend me your strength.\Eisenwald? response:	We're going to stop their evil plan!
context: I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\Why the heck do I have to go with you?\Then don't come!\I want you two to lend me your strength.\Eisenwald?\We're going to stop their evil plan! response:	Natsu!
context: Don't say goodbye!\Last time on Fairy Tail!\Why the heck do I have to go with you?\Then don't come!\I want you two to lend me your strength.\Eisenwald?\We're going to stop their evil plan!\Natsu! response:	The flute of curse, Lullaby!
context: Last time on Fairy Tail!\Why the heck do I have to go with you?\Then don't come!\I want you two to lend me your strength.\Eisenwald?\We're going to stop their evil plan!\Natsu!\The flute of curse, Lullaby! response:	Master is in trouble!
context: Why the heck do I have to go with you?\Then don't come!\I want you two to lend me your strength.\Eisenwald?\We're going to stop their evil plan!\Natsu!\The flute of curse, Lullaby!\Master is in trouble! response:	So this is the true form of Lullaby?
context: Then don't come!\I want you two to lend me your strength.\Eisenwald?\We're going to stop their evil plan!\Natsu!\The flute of curse, Lullaby!\Master is in trouble!\So this is the true form of Lullaby? response:	You went overboard!
context: I want you two to lend me your strength.\Eisenwald?\We're going to stop their evil plan!\Natsu!\The flute of curse, Lullaby!\Master is in trouble!\So this is the true form of Lullaby?\You went overboard! response:	This footprint... Yes, there's no mistake.
context: Eisenwald?\We're going to stop their evil plan!\Natsu!\The flute of curse, Lullaby!\Master is in trouble!\So this is the true form of Lullaby?\You went overboard!\This footprint... Yes, there's no mistake. response:	It's already been two days since they passed by here.
context: We're going to stop their evil plan!\Natsu!\The flute of curse, Lullaby!\Master is in trouble!\So this is the true form of Lullaby?\You went overboard!\This footprint... Yes, there's no mistake.\It's already been two days since they passed by here. response:	That's plenty of time to reach Magnolia from here.
context: Natsu!\The flute of curse, Lullaby!\Master is in trouble!\So this is the true form of Lullaby?\You went overboard!\This footprint... Yes, there's no mistake.\It's already been two days since they passed by here.\That's plenty of time to reach Magnolia from here. response:	I wonder if something happened to them?
context: The flute of curse, Lullaby!\Master is in trouble!\So this is the true form of Lullaby?\You went overboard!\This footprint... Yes, there's no mistake.\It's already been two days since they passed by here.\That's plenty of time to reach Magnolia from here.\I wonder if something happened to them? response:	Anyway, let's go back and give our report.
context: Master is in trouble!\So this is the true form of Lullaby?\You went overboard!\This footprint... Yes, there's no mistake.\It's already been two days since they passed by here.\That's plenty of time to reach Magnolia from here.\I wonder if something happened to them?\Anyway, let's go back and give our report. response:	We're not going after them?
context: So this is the true form of Lullaby?\You went overboard!\This footprint... Yes, there's no mistake.\It's already been two days since they passed by here.\That's plenty of time to reach Magnolia from here.\I wonder if something happened to them?\Anyway, let's go back and give our report.\We're not going after them? response:	This woman is Bisca Moulin.
context: You went overboard!\This footprint... Yes, there's no mistake.\It's already been two days since they passed by here.\That's plenty of time to reach Magnolia from here.\I wonder if something happened to them?\Anyway, let's go back and give our report.\We're not going after them?\This woman is Bisca Moulin. response:	This man is Alzack Connel.
context: This footprint... Yes, there's no mistake.\It's already been two days since they passed by here.\That's plenty of time to reach Magnolia from here.\I wonder if something happened to them?\Anyway, let's go back and give our report.\We're not going after them?\This woman is Bisca Moulin.\This man is Alzack Connel. response:	Both of them are Fairy Tail wizards.
context: It's already been two days since they passed by here.\That's plenty of time to reach Magnolia from here.\I wonder if something happened to them?\Anyway, let's go back and give our report.\We're not going after them?\This woman is Bisca Moulin.\This man is Alzack Connel.\Both of them are Fairy Tail wizards. response:	I see. This is a problem.
context: That's plenty of time to reach Magnolia from here.\I wonder if something happened to them?\Anyway, let's go back and give our report.\We're not going after them?\This woman is Bisca Moulin.\This man is Alzack Connel.\Both of them are Fairy Tail wizards.\I see. This is a problem. response:	And we've received a notice from the Council, too...
context: I wonder if something happened to them?\Anyway, let's go back and give our report.\We're not going after them?\This woman is Bisca Moulin.\This man is Alzack Connel.\Both of them are Fairy Tail wizards.\I see. This is a problem.\And we've received a notice from the Council, too... response:	Well, I was planning on going after them, but...
context: Anyway, let's go back and give our report.\We're not going after them?\This woman is Bisca Moulin.\This man is Alzack Connel.\Both of them are Fairy Tail wizards.\I see. This is a problem.\And we've received a notice from the Council, too...\Well, I was planning on going after them, but... response:	No, we couldn't.
context: We're not going after them?\This woman is Bisca Moulin.\This man is Alzack Connel.\Both of them are Fairy Tail wizards.\I see. This is a problem.\And we've received a notice from the Council, too...\Well, I was planning on going after them, but...\No, we couldn't. response:	That path went deep into Clover Canyon.
context: This woman is Bisca Moulin.\This man is Alzack Connel.\Both of them are Fairy Tail wizards.\I see. This is a problem.\And we've received a notice from the Council, too...\Well, I was planning on going after them, but...\No, we couldn't.\That path went deep into Clover Canyon. response:	Even experienced hunters from Hunter Guilds can't get out once they loose their bearings.
context: This man is Alzack Connel.\Both of them are Fairy Tail wizards.\I see. This is a problem.\And we've received a notice from the Council, too...\Well, I was planning on going after them, but...\No, we couldn't.\That path went deep into Clover Canyon.\Even experienced hunters from Hunter Guilds can't get out once they loose their bearings. response:	A great natural labyrinth, huh?
context: Both of them are Fairy Tail wizards.\I see. This is a problem.\And we've received a notice from the Council, too...\Well, I was planning on going after them, but...\No, we couldn't.\That path went deep into Clover Canyon.\Even experienced hunters from Hunter Guilds can't get out once they loose their bearings.\A great natural labyrinth, huh? response:	Why would they head there?
context: I see. This is a problem.\And we've received a notice from the Council, too...\Well, I was planning on going after them, but...\No, we couldn't.\That path went deep into Clover Canyon.\Even experienced hunters from Hunter Guilds can't get out once they loose their bearings.\A great natural labyrinth, huh?\Why would they head there? response:	They must have some reason.
context: And we've received a notice from the Council, too...\Well, I was planning on going after them, but...\No, we couldn't.\That path went deep into Clover Canyon.\Even experienced hunters from Hunter Guilds can't get out once they loose their bearings.\A great natural labyrinth, huh?\Why would they head there?\They must have some reason. response:	Well, Master is with them, so it shouldn't be a problem, but...
context: Well, I was planning on going after them, but...\No, we couldn't.\That path went deep into Clover Canyon.\Even experienced hunters from Hunter Guilds can't get out once they loose their bearings.\A great natural labyrinth, huh?\Why would they head there?\They must have some reason.\Well, Master is with them, so it shouldn't be a problem, but... response:	Natsu Eats a Village!
context: No, we couldn't.\That path went deep into Clover Canyon.\Even experienced hunters from Hunter Guilds can't get out once they loose their bearings.\A great natural labyrinth, huh?\Why would they head there?\They must have some reason.\Well, Master is with them, so it shouldn't be a problem, but...\Natsu Eats a Village! response:	Come on, Happy! You're lost again, aren't you?
context: That path went deep into Clover Canyon.\Even experienced hunters from Hunter Guilds can't get out once they loose their bearings.\A great natural labyrinth, huh?\Why would they head there?\They must have some reason.\Well, Master is with them, so it shouldn't be a problem, but...\Natsu Eats a Village!\Come on, Happy! You're lost again, aren't you? response:	We've been walking and walking, but we haven't gotten to Magnolia yet!
context: Even experienced hunters from Hunter Guilds can't get out once they loose their bearings.\A great natural labyrinth, huh?\Why would they head there?\They must have some reason.\Well, Master is with them, so it shouldn't be a problem, but...\Natsu Eats a Village!\Come on, Happy! You're lost again, aren't you?\We've been walking and walking, but we haven't gotten to Magnolia yet! response:	You sense-of-direction-less cat!
context: A great natural labyrinth, huh?\Why would they head there?\They must have some reason.\Well, Master is with them, so it shouldn't be a problem, but...\Natsu Eats a Village!\Come on, Happy! You're lost again, aren't you?\We've been walking and walking, but we haven't gotten to Magnolia yet!\You sense-of-direction-less cat! response:	This place is known as Web Valley, as it is filled with innumerable fissures from an ancient earthquake.
context: Why would they head there?\They must have some reason.\Well, Master is with them, so it shouldn't be a problem, but...\Natsu Eats a Village!\Come on, Happy! You're lost again, aren't you?\We've been walking and walking, but we haven't gotten to Magnolia yet!\You sense-of-direction-less cat!\This place is known as Web Valley, as it is filled with innumerable fissures from an ancient earthquake. response:	As was mentioned before, it is said a great number of souls have gotten lost here, never to return.
context: They must have some reason.\Well, Master is with them, so it shouldn't be a problem, but...\Natsu Eats a Village!\Come on, Happy! You're lost again, aren't you?\We've been walking and walking, but we haven't gotten to Magnolia yet!\You sense-of-direction-less cat!\This place is known as Web Valley, as it is filled with innumerable fissures from an ancient earthquake.\As was mentioned before, it is said a great number of souls have gotten lost here, never to return. response:	How rude! I wasn't lost before. This is the first time.
context: Well, Master is with them, so it shouldn't be a problem, but...\Natsu Eats a Village!\Come on, Happy! You're lost again, aren't you?\We've been walking and walking, but we haven't gotten to Magnolia yet!\You sense-of-direction-less cat!\This place is known as Web Valley, as it is filled with innumerable fissures from an ancient earthquake.\As was mentioned before, it is said a great number of souls have gotten lost here, never to return.\How rude! I wasn't lost before. This is the first time. response:	I don't care if it's your first time or your last; the fact is, we're lost!
context: Natsu Eats a Village!\Come on, Happy! You're lost again, aren't you?\We've been walking and walking, but we haven't gotten to Magnolia yet!\You sense-of-direction-less cat!\This place is known as Web Valley, as it is filled with innumerable fissures from an ancient earthquake.\As was mentioned before, it is said a great number of souls have gotten lost here, never to return.\How rude! I wasn't lost before. This is the first time.\I don't care if it's your first time or your last; the fact is, we're lost! response:	I'm starving...
context: Come on, Happy! You're lost again, aren't you?\We've been walking and walking, but we haven't gotten to Magnolia yet!\You sense-of-direction-less cat!\This place is known as Web Valley, as it is filled with innumerable fissures from an ancient earthquake.\As was mentioned before, it is said a great number of souls have gotten lost here, never to return.\How rude! I wasn't lost before. This is the first time.\I don't care if it's your first time or your last; the fact is, we're lost!\I'm starving... response:	Stop reminding me! It's only making me hungrier!
context: We've been walking and walking, but we haven't gotten to Magnolia yet!\You sense-of-direction-less cat!\This place is known as Web Valley, as it is filled with innumerable fissures from an ancient earthquake.\As was mentioned before, it is said a great number of souls have gotten lost here, never to return.\How rude! I wasn't lost before. This is the first time.\I don't care if it's your first time or your last; the fact is, we're lost!\I'm starving...\Stop reminding me! It's only making me hungrier! response:	Well I'm hungry and that's that!
context: You sense-of-direction-less cat!\This place is known as Web Valley, as it is filled with innumerable fissures from an ancient earthquake.\As was mentioned before, it is said a great number of souls have gotten lost here, never to return.\How rude! I wasn't lost before. This is the first time.\I don't care if it's your first time or your last; the fact is, we're lost!\I'm starving...\Stop reminding me! It's only making me hungrier!\Well I'm hungry and that's that! response:	Then stop going on about it already!
context: This place is known as Web Valley, as it is filled with innumerable fissures from an ancient earthquake.\As was mentioned before, it is said a great number of souls have gotten lost here, never to return.\How rude! I wasn't lost before. This is the first time.\I don't care if it's your first time or your last; the fact is, we're lost!\I'm starving...\Stop reminding me! It's only making me hungrier!\Well I'm hungry and that's that!\Then stop going on about it already! response:	Indeed...
context: As was mentioned before, it is said a great number of souls have gotten lost here, never to return.\How rude! I wasn't lost before. This is the first time.\I don't care if it's your first time or your last; the fact is, we're lost!\I'm starving...\Stop reminding me! It's only making me hungrier!\Well I'm hungry and that's that!\Then stop going on about it already!\Indeed... response:	I'm hungry!
context: How rude! I wasn't lost before. This is the first time.\I don't care if it's your first time or your last; the fact is, we're lost!\I'm starving...\Stop reminding me! It's only making me hungrier!\Well I'm hungry and that's that!\Then stop going on about it already!\Indeed...\I'm hungry! response:	Not you, too!
context: I don't care if it's your first time or your last; the fact is, we're lost!\I'm starving...\Stop reminding me! It's only making me hungrier!\Well I'm hungry and that's that!\Then stop going on about it already!\Indeed...\I'm hungry!\Not you, too! response:	Enough.
context: I'm starving...\Stop reminding me! It's only making me hungrier!\Well I'm hungry and that's that!\Then stop going on about it already!\Indeed...\I'm hungry!\Not you, too!\Enough. response:	It sounds like your stomach just went gu...
context: Stop reminding me! It's only making me hungrier!\Well I'm hungry and that's that!\Then stop going on about it already!\Indeed...\I'm hungry!\Not you, too!\Enough.\It sounds like your stomach just went gu... response:	It said gu...
context: Well I'm hungry and that's that!\Then stop going on about it already!\Indeed...\I'm hungry!\Not you, too!\Enough.\It sounds like your stomach just went gu...\It said gu... response:	It did not. You're hearing things.
context: Then stop going on about it already!\Indeed...\I'm hungry!\Not you, too!\Enough.\It sounds like your stomach just went gu...\It said gu...\It did not. You're hearing things. response:	Nice cover-up there.
context: Indeed...\I'm hungry!\Not you, too!\Enough.\It sounds like your stomach just went gu...\It said gu...\It did not. You're hearing things.\Nice cover-up there. response:	What's so exciting?
context: I'm hungry!\Not you, too!\Enough.\It sounds like your stomach just went gu...\It said gu...\It did not. You're hearing things.\Nice cover-up there.\What's so exciting? response:	Natsu, look at that!
context: Not you, too!\Enough.\It sounds like your stomach just went gu...\It said gu...\It did not. You're hearing things.\Nice cover-up there.\What's so exciting?\Natsu, look at that! response:	I can fly!
context: Enough.\It sounds like your stomach just went gu...\It said gu...\It did not. You're hearing things.\Nice cover-up there.\What's so exciting?\Natsu, look at that!\I can fly! response:	You can fly!
context: It sounds like your stomach just went gu...\It said gu...\It did not. You're hearing things.\Nice cover-up there.\What's so exciting?\Natsu, look at that!\I can fly!\You can fly! response:	Can you fly?
context: It said gu...\It did not. You're hearing things.\Nice cover-up there.\What's so exciting?\Natsu, look at that!\I can fly!\You can fly!\Can you fly? response:	It's the legendary delicacy, the winged fish!
context: It did not. You're hearing things.\Nice cover-up there.\What's so exciting?\Natsu, look at that!\I can fly!\You can fly!\Can you fly?\It's the legendary delicacy, the winged fish! response:	They're super tasty!
context: Nice cover-up there.\What's so exciting?\Natsu, look at that!\I can fly!\You can fly!\Can you fly?\It's the legendary delicacy, the winged fish!\They're super tasty! response:	Yum, yum, yum, yum, yum, yum!
context: What's so exciting?\Natsu, look at that!\I can fly!\You can fly!\Can you fly?\It's the legendary delicacy, the winged fish!\They're super tasty!\Yum, yum, yum, yum, yum, yum! response:	Legendary delicacy?
context: Natsu, look at that!\I can fly!\You can fly!\Can you fly?\It's the legendary delicacy, the winged fish!\They're super tasty!\Yum, yum, yum, yum, yum, yum!\Legendary delicacy? response:	Winged fish...
context: I can fly!\You can fly!\Can you fly?\It's the legendary delicacy, the winged fish!\They're super tasty!\Yum, yum, yum, yum, yum, yum!\Legendary delicacy?\Winged fish... response:	Looks good to me!
context: You can fly!\Can you fly?\It's the legendary delicacy, the winged fish!\They're super tasty!\Yum, yum, yum, yum, yum, yum!\Legendary delicacy?\Winged fish...\Looks good to me! response:	Good going, Happy! Well done!
context: Can you fly?\It's the legendary delicacy, the winged fish!\They're super tasty!\Yum, yum, yum, yum, yum, yum!\Legendary delicacy?\Winged fish...\Looks good to me!\Good going, Happy! Well done! response:	You are all way too hungry.
context: It's the legendary delicacy, the winged fish!\They're super tasty!\Yum, yum, yum, yum, yum, yum!\Legendary delicacy?\Winged fish...\Looks good to me!\Good going, Happy! Well done!\You are all way too hungry. response:	Your stomach agrees with us.
context: They're super tasty!\Yum, yum, yum, yum, yum, yum!\Legendary delicacy?\Winged fish...\Looks good to me!\Good going, Happy! Well done!\You are all way too hungry.\Your stomach agrees with us. response:	Yeah...
context: Yum, yum, yum, yum, yum, yum!\Legendary delicacy?\Winged fish...\Looks good to me!\Good going, Happy! Well done!\You are all way too hungry.\Your stomach agrees with us.\Yeah... response:	Okay, we're fishing!
context: Legendary delicacy?\Winged fish...\Looks good to me!\Good going, Happy! Well done!\You are all way too hungry.\Your stomach agrees with us.\Yeah...\Okay, we're fishing! response:	Damn... Just when you think you've hooked one, it's gone.
context: Winged fish...\Looks good to me!\Good going, Happy! Well done!\You are all way too hungry.\Your stomach agrees with us.\Yeah...\Okay, we're fishing!\Damn... Just when you think you've hooked one, it's gone. response:	I'm gonna do my best!
context: Looks good to me!\Good going, Happy! Well done!\You are all way too hungry.\Your stomach agrees with us.\Yeah...\Okay, we're fishing!\Damn... Just when you think you've hooked one, it's gone.\I'm gonna do my best! response:	They don't really look all that tasty to me, however...
context: Good going, Happy! Well done!\You are all way too hungry.\Your stomach agrees with us.\Yeah...\Okay, we're fishing!\Damn... Just when you think you've hooked one, it's gone.\I'm gonna do my best!\They don't really look all that tasty to me, however... response:	Shut up and fish.
context: You are all way too hungry.\Your stomach agrees with us.\Yeah...\Okay, we're fishing!\Damn... Just when you think you've hooked one, it's gone.\I'm gonna do my best!\They don't really look all that tasty to me, however...\Shut up and fish. response:	At this rate, it doesn't matter as long as they're edible.
context: Your stomach agrees with us.\Yeah...\Okay, we're fishing!\Damn... Just when you think you've hooked one, it's gone.\I'm gonna do my best!\They don't really look all that tasty to me, however...\Shut up and fish.\At this rate, it doesn't matter as long as they're edible. response:	You're that hungry?
context: Yeah...\Okay, we're fishing!\Damn... Just when you think you've hooked one, it's gone.\I'm gonna do my best!\They don't really look all that tasty to me, however...\Shut up and fish.\At this rate, it doesn't matter as long as they're edible.\You're that hungry? response:	I want to eat a winged fish! They look delicious!
context: Okay, we're fishing!\Damn... Just when you think you've hooked one, it's gone.\I'm gonna do my best!\They don't really look all that tasty to me, however...\Shut up and fish.\At this rate, it doesn't matter as long as they're edible.\You're that hungry?\I want to eat a winged fish! They look delicious! response:	They're a legendary delicacy!
context: Damn... Just when you think you've hooked one, it's gone.\I'm gonna do my best!\They don't really look all that tasty to me, however...\Shut up and fish.\At this rate, it doesn't matter as long as they're edible.\You're that hungry?\I want to eat a winged fish! They look delicious!\They're a legendary delicacy! response:	I gave up.
context: I'm gonna do my best!\They don't really look all that tasty to me, however...\Shut up and fish.\At this rate, it doesn't matter as long as they're edible.\You're that hungry?\I want to eat a winged fish! They look delicious!\They're a legendary delicacy!\I gave up. response:	So much for willpower!
context: They don't really look all that tasty to me, however...\Shut up and fish.\At this rate, it doesn't matter as long as they're edible.\You're that hungry?\I want to eat a winged fish! They look delicious!\They're a legendary delicacy!\I gave up.\So much for willpower! response:	But I couldn't catch even one...
context: Shut up and fish.\At this rate, it doesn't matter as long as they're edible.\You're that hungry?\I want to eat a winged fish! They look delicious!\They're a legendary delicacy!\I gave up.\So much for willpower!\But I couldn't catch even one... response:	You're hungry, right? Then keep trying.
context: At this rate, it doesn't matter as long as they're edible.\You're that hungry?\I want to eat a winged fish! They look delicious!\They're a legendary delicacy!\I gave up.\So much for willpower!\But I couldn't catch even one...\You're hungry, right? Then keep trying. response:	Don't give up,'kay?
context: You're that hungry?\I want to eat a winged fish! They look delicious!\They're a legendary delicacy!\I gave up.\So much for willpower!\But I couldn't catch even one...\You're hungry, right? Then keep trying.\Don't give up,'kay? response:	Lucy, you meanie!
context: I want to eat a winged fish! They look delicious!\They're a legendary delicacy!\I gave up.\So much for willpower!\But I couldn't catch even one...\You're hungry, right? Then keep trying.\Don't give up,'kay?\Lucy, you meanie! response:	But I was encouraging you!
context: They're a legendary delicacy!\I gave up.\So much for willpower!\But I couldn't catch even one...\You're hungry, right? Then keep trying.\Don't give up,'kay?\Lucy, you meanie!\But I was encouraging you! response:	That was pretty tough.
context: I gave up.\So much for willpower!\But I couldn't catch even one...\You're hungry, right? Then keep trying.\Don't give up,'kay?\Lucy, you meanie!\But I was encouraging you!\That was pretty tough. response:	In the end we only got one...
context: So much for willpower!\But I couldn't catch even one...\You're hungry, right? Then keep trying.\Don't give up,'kay?\Lucy, you meanie!\But I was encouraging you!\That was pretty tough.\In the end we only got one... response:	Happy, eat it.
context: But I couldn't catch even one...\You're hungry, right? Then keep trying.\Don't give up,'kay?\Lucy, you meanie!\But I was encouraging you!\That was pretty tough.\In the end we only got one...\Happy, eat it. response:	I can't just eat it by myself...
context: You're hungry, right? Then keep trying.\Don't give up,'kay?\Lucy, you meanie!\But I was encouraging you!\That was pretty tough.\In the end we only got one...\Happy, eat it.\I can't just eat it by myself... response:	If we split it up, it'll only make us hungrier!
context: Don't give up,'kay?\Lucy, you meanie!\But I was encouraging you!\That was pretty tough.\In the end we only got one...\Happy, eat it.\I can't just eat it by myself...\If we split it up, it'll only make us hungrier! response:	Don't hold back! Eat, eat!
context: Lucy, you meanie!\But I was encouraging you!\That was pretty tough.\In the end we only got one...\Happy, eat it.\I can't just eat it by myself...\If we split it up, it'll only make us hungrier!\Don't hold back! Eat, eat! response:	Right then! Thanks!
