context: King Joseph of Gallia's recent attack response:	came completely out of the blue!
context: I'm truly relieved that you made it back alive.\Now let us eat, drink, and be merry!\Let us enjoy these hours of peace.\This way, please.\That's it?\Not even a reward?\If anyone's getting a reward, it would be Saito.\After all, he's the one who saved Romalia. response:	Oh, come on.
context: Now let us eat, drink, and be merry!\Let us enjoy these hours of peace.\This way, please.\That's it?\Not even a reward?\If anyone's getting a reward, it would be Saito.\After all, he's the one who saved Romalia.\Oh, come on. response:	I'm serious.
context: Let us enjoy these hours of peace.\This way, please.\That's it?\Not even a reward?\If anyone's getting a reward, it would be Saito.\After all, he's the one who saved Romalia.\Oh, come on.\I'm serious. response:	Even an estate wouldn't be too much.
context: This way, please.\That's it?\Not even a reward?\If anyone's getting a reward, it would be Saito.\After all, he's the one who saved Romalia.\Oh, come on.\I'm serious.\Even an estate wouldn't be too much. response:	An estate...
context: That's it?\Not even a reward?\If anyone's getting a reward, it would be Saito.\After all, he's the one who saved Romalia.\Oh, come on.\I'm serious.\Even an estate wouldn't be too much.\An estate... response:	I can't buy you a real mansion.
context: Not even a reward?\If anyone's getting a reward, it would be Saito.\After all, he's the one who saved Romalia.\Oh, come on.\I'm serious.\Even an estate wouldn't be too much.\An estate...\I can't buy you a real mansion. response:	Maybe not now,
context: If anyone's getting a reward, it would be Saito.\After all, he's the one who saved Romalia.\Oh, come on.\I'm serious.\Even an estate wouldn't be too much.\An estate...\I can't buy you a real mansion.\Maybe not now, response:	but someday.
context: After all, he's the one who saved Romalia.\Oh, come on.\I'm serious.\Even an estate wouldn't be too much.\An estate...\I can't buy you a real mansion.\Maybe not now,\but someday. response:	The Queen's Reward
context: Oh, come on.\I'm serious.\Even an estate wouldn't be too much.\An estate...\I can't buy you a real mansion.\Maybe not now,\but someday.\The Queen's Reward response:	Sir Guiche, I'm so glad you're safe!
context: I'm serious.\Even an estate wouldn't be too much.\An estate...\I can't buy you a real mansion.\Maybe not now,\but someday.\The Queen's Reward\Sir Guiche, I'm so glad you're safe! response:	Are you hurt anywhere?
context: Even an estate wouldn't be too much.\An estate...\I can't buy you a real mansion.\Maybe not now,\but someday.\The Queen's Reward\Sir Guiche, I'm so glad you're safe!\Are you hurt anywhere? response:	Thank you, I'm fine.
context: An estate...\I can't buy you a real mansion.\Maybe not now,\but someday.\The Queen's Reward\Sir Guiche, I'm so glad you're safe!\Are you hurt anywhere?\Thank you, I'm fine. response:	I'm sure it was your prayers that delivered me home safely.
context: I can't buy you a real mansion.\Maybe not now,\but someday.\The Queen's Reward\Sir Guiche, I'm so glad you're safe!\Are you hurt anywhere?\Thank you, I'm fine.\I'm sure it was your prayers that delivered me home safely. response:	You're just going to let that go on?
context: Maybe not now,\but someday.\The Queen's Reward\Sir Guiche, I'm so glad you're safe!\Are you hurt anywhere?\Thank you, I'm fine.\I'm sure it was your prayers that delivered me home safely.\You're just going to let that go on? response:	I'm used to it.
context: but someday.\The Queen's Reward\Sir Guiche, I'm so glad you're safe!\Are you hurt anywhere?\Thank you, I'm fine.\I'm sure it was your prayers that delivered me home safely.\You're just going to let that go on?\I'm used to it. response:	You just have to look at it like some sort of disease.
context: The Queen's Reward\Sir Guiche, I'm so glad you're safe!\Are you hurt anywhere?\Thank you, I'm fine.\I'm sure it was your prayers that delivered me home safely.\You're just going to let that go on?\I'm used to it.\You just have to look at it like some sort of disease. response:	Well, it seems to have gotten worse.
context: Sir Guiche, I'm so glad you're safe!\Are you hurt anywhere?\Thank you, I'm fine.\I'm sure it was your prayers that delivered me home safely.\You're just going to let that go on?\I'm used to it.\You just have to look at it like some sort of disease.\Well, it seems to have gotten worse. response:	You've got some nerve!
context: Are you hurt anywhere?\Thank you, I'm fine.\I'm sure it was your prayers that delivered me home safely.\You're just going to let that go on?\I'm used to it.\You just have to look at it like some sort of disease.\Well, it seems to have gotten worse.\You've got some nerve! response:	M-Montmorency...
context: Thank you, I'm fine.\I'm sure it was your prayers that delivered me home safely.\You're just going to let that go on?\I'm used to it.\You just have to look at it like some sort of disease.\Well, it seems to have gotten worse.\You've got some nerve!\M-Montmorency... response:	How dare you kiss another girl in front of me?
context: I'm sure it was your prayers that delivered me home safely.\You're just going to let that go on?\I'm used to it.\You just have to look at it like some sort of disease.\Well, it seems to have gotten worse.\You've got some nerve!\M-Montmorency...\How dare you kiss another girl in front of me? response:	That's not what happened!
context: You're just going to let that go on?\I'm used to it.\You just have to look at it like some sort of disease.\Well, it seems to have gotten worse.\You've got some nerve!\M-Montmorency...\How dare you kiss another girl in front of me?\That's not what happened! response:	I had something on my face
context: I'm used to it.\You just have to look at it like some sort of disease.\Well, it seems to have gotten worse.\You've got some nerve!\M-Montmorency...\How dare you kiss another girl in front of me?\That's not what happened!\I had something on my face response:	and she was just helping me get it off...
context: You just have to look at it like some sort of disease.\Well, it seems to have gotten worse.\You've got some nerve!\M-Montmorency...\How dare you kiss another girl in front of me?\That's not what happened!\I had something on my face\and she was just helping me get it off... response:	That's the lamest excuse ever!
context: Well, it seems to have gotten worse.\You've got some nerve!\M-Montmorency...\How dare you kiss another girl in front of me?\That's not what happened!\I had something on my face\and she was just helping me get it off...\That's the lamest excuse ever! response:	This is it, I won't forgive you this time!
context: You've got some nerve!\M-Montmorency...\How dare you kiss another girl in front of me?\That's not what happened!\I had something on my face\and she was just helping me get it off...\That's the lamest excuse ever!\This is it, I won't forgive you this time! response:	Thanks for saving us in Romalia.
context: M-Montmorency...\How dare you kiss another girl in front of me?\That's not what happened!\I had something on my face\and she was just helping me get it off...\That's the lamest excuse ever!\This is it, I won't forgive you this time!\Thanks for saving us in Romalia. response:	It was nothing.
context: How dare you kiss another girl in front of me?\That's not what happened!\I had something on my face\and she was just helping me get it off...\That's the lamest excuse ever!\This is it, I won't forgive you this time!\Thanks for saving us in Romalia.\It was nothing. response:	Saito is very grateful, too.
context: That's not what happened!\I had something on my face\and she was just helping me get it off...\That's the lamest excuse ever!\This is it, I won't forgive you this time!\Thanks for saving us in Romalia.\It was nothing.\Saito is very grateful, too. response:	He is?
context: I had something on my face\and she was just helping me get it off...\That's the lamest excuse ever!\This is it, I won't forgive you this time!\Thanks for saving us in Romalia.\It was nothing.\Saito is very grateful, too.\He is? response:	I hope I'll find my familiar soon
context: and she was just helping me get it off...\That's the lamest excuse ever!\This is it, I won't forgive you this time!\Thanks for saving us in Romalia.\It was nothing.\Saito is very grateful, too.\He is?\I hope I'll find my familiar soon response:	and have a relationship like you.
context: That's the lamest excuse ever!\This is it, I won't forgive you this time!\Thanks for saving us in Romalia.\It was nothing.\Saito is very grateful, too.\He is?\I hope I'll find my familiar soon\and have a relationship like you. response:	Oh, but we fight all the time.
context: This is it, I won't forgive you this time!\Thanks for saving us in Romalia.\It was nothing.\Saito is very grateful, too.\He is?\I hope I'll find my familiar soon\and have a relationship like you.\Oh, but we fight all the time. response:	Excuse me...
context: Thanks for saving us in Romalia.\It was nothing.\Saito is very grateful, too.\He is?\I hope I'll find my familiar soon\and have a relationship like you.\Oh, but we fight all the time.\Excuse me... response:	Tiffania, may I ask you for a dance?
context: It was nothing.\Saito is very grateful, too.\He is?\I hope I'll find my familiar soon\and have a relationship like you.\Oh, but we fight all the time.\Excuse me...\Tiffania, may I ask you for a dance? response:	You want to dance with me?
context: Saito is very grateful, too.\He is?\I hope I'll find my familiar soon\and have a relationship like you.\Oh, but we fight all the time.\Excuse me...\Tiffania, may I ask you for a dance?\You want to dance with me? response:	I'll leave you two alone.
context: He is?\I hope I'll find my familiar soon\and have a relationship like you.\Oh, but we fight all the time.\Excuse me...\Tiffania, may I ask you for a dance?\You want to dance with me?\I'll leave you two alone. response:	L-Louise!
context: I hope I'll find my familiar soon\and have a relationship like you.\Oh, but we fight all the time.\Excuse me...\Tiffania, may I ask you for a dance?\You want to dance with me?\I'll leave you two alone.\L-Louise! response:	Good luck, Tiffa!
context: and have a relationship like you.\Oh, but we fight all the time.\Excuse me...\Tiffania, may I ask you for a dance?\You want to dance with me?\I'll leave you two alone.\L-Louise!\Good luck, Tiffa! response:	What am I going to do?
context: Oh, but we fight all the time.\Excuse me...\Tiffania, may I ask you for a dance?\You want to dance with me?\I'll leave you two alone.\L-Louise!\Good luck, Tiffa!\What am I going to do? response:	I can't dance!
context: Excuse me...\Tiffania, may I ask you for a dance?\You want to dance with me?\I'll leave you two alone.\L-Louise!\Good luck, Tiffa!\What am I going to do?\I can't dance! response:	Tiffania, please!
context: Tiffania, may I ask you for a dance?\You want to dance with me?\I'll leave you two alone.\L-Louise!\Good luck, Tiffa!\What am I going to do?\I can't dance!\Tiffania, please! response:	Well, you see...
context: You want to dance with me?\I'll leave you two alone.\L-Louise!\Good luck, Tiffa!\What am I going to do?\I can't dance!\Tiffania, please!\Well, you see... response:	It's sad when people don't know their places.
context: I'll leave you two alone.\L-Louise!\Good luck, Tiffa!\What am I going to do?\I can't dance!\Tiffania, please!\Well, you see...\It's sad when people don't know their places. response:	Have you seen your face recently?
context: L-Louise!\Good luck, Tiffa!\What am I going to do?\I can't dance!\Tiffania, please!\Well, you see...\It's sad when people don't know their places.\Have you seen your face recently? response:	Go wash your face and then come back!
context: Good luck, Tiffa!\What am I going to do?\I can't dance!\Tiffania, please!\Well, you see...\It's sad when people don't know their places.\Have you seen your face recently?\Go wash your face and then come back! response:	Tiffania, you deserve a lord
context: What am I going to do?\I can't dance!\Tiffania, please!\Well, you see...\It's sad when people don't know their places.\Have you seen your face recently?\Go wash your face and then come back!\Tiffania, you deserve a lord response:	with much higher standing than that scum.
context: I can't dance!\Tiffania, please!\Well, you see...\It's sad when people don't know their places.\Have you seen your face recently?\Go wash your face and then come back!\Tiffania, you deserve a lord\with much higher standing than that scum. response:	B-Beatrice!
context: Tiffania, please!\Well, you see...\It's sad when people don't know their places.\Have you seen your face recently?\Go wash your face and then come back!\Tiffania, you deserve a lord\with much higher standing than that scum.\B-Beatrice! response:	I swear on the honor of my family, Guldenhorf,
context: Well, you see...\It's sad when people don't know their places.\Have you seen your face recently?\Go wash your face and then come back!\Tiffania, you deserve a lord\with much higher standing than that scum.\B-Beatrice!\I swear on the honor of my family, Guldenhorf, response:	to find you someone much better.
context: It's sad when people don't know their places.\Have you seen your face recently?\Go wash your face and then come back!\Tiffania, you deserve a lord\with much higher standing than that scum.\B-Beatrice!\I swear on the honor of my family, Guldenhorf,\to find you someone much better. response:	U-Um, you really don't have to do that.
context: Have you seen your face recently?\Go wash your face and then come back!\Tiffania, you deserve a lord\with much higher standing than that scum.\B-Beatrice!\I swear on the honor of my family, Guldenhorf,\to find you someone much better.\U-Um, you really don't have to do that. response:	I was wondering where you were.
context: Go wash your face and then come back!\Tiffania, you deserve a lord\with much higher standing than that scum.\B-Beatrice!\I swear on the honor of my family, Guldenhorf,\to find you someone much better.\U-Um, you really don't have to do that.\I was wondering where you were. response:	You should try some of this food, Louise.
context: Tiffania, you deserve a lord\with much higher standing than that scum.\B-Beatrice!\I swear on the honor of my family, Guldenhorf,\to find you someone much better.\U-Um, you really don't have to do that.\I was wondering where you were.\You should try some of this food, Louise. response:	Wow, this all looks good!
context: with much higher standing than that scum.\B-Beatrice!\I swear on the honor of my family, Guldenhorf,\to find you someone much better.\U-Um, you really don't have to do that.\I was wondering where you were.\You should try some of this food, Louise.\Wow, this all looks good! response:	Hey, Saito.
context: B-Beatrice!\I swear on the honor of my family, Guldenhorf,\to find you someone much better.\U-Um, you really don't have to do that.\I was wondering where you were.\You should try some of this food, Louise.\Wow, this all looks good!\Hey, Saito. response:	These were really great, too.
context: I swear on the honor of my family, Guldenhorf,\to find you someone much better.\U-Um, you really don't have to do that.\I was wondering where you were.\You should try some of this food, Louise.\Wow, this all looks good!\Hey, Saito.\These were really great, too. response:	I know you're a big fan
context: to find you someone much better.\U-Um, you really don't have to do that.\I was wondering where you were.\You should try some of this food, Louise.\Wow, this all looks good!\Hey, Saito.\These were really great, too.\I know you're a big fan response:	of melons.
context: U-Um, you really don't have to do that.\I was wondering where you were.\You should try some of this food, Louise.\Wow, this all looks good!\Hey, Saito.\These were really great, too.\I know you're a big fan\of melons. response:	Melons?
context: I was wondering where you were.\You should try some of this food, Louise.\Wow, this all looks good!\Hey, Saito.\These were really great, too.\I know you're a big fan\of melons.\Melons? response:	I-I don't know what you're talking about, Malicorne!
context: You should try some of this food, Louise.\Wow, this all looks good!\Hey, Saito.\These were really great, too.\I know you're a big fan\of melons.\Melons?\I-I don't know what you're talking about, Malicorne! response:	Bye then, little lemon!
context: Wow, this all looks good!\Hey, Saito.\These were really great, too.\I know you're a big fan\of melons.\Melons?\I-I don't know what you're talking about, Malicorne!\Bye then, little lemon! response:	What was he saying about melons?
context: Hey, Saito.\These were really great, too.\I know you're a big fan\of melons.\Melons?\I-I don't know what you're talking about, Malicorne!\Bye then, little lemon!\What was he saying about melons? response:	It's nothing.
context: These were really great, too.\I know you're a big fan\of melons.\Melons?\I-I don't know what you're talking about, Malicorne!\Bye then, little lemon!\What was he saying about melons?\It's nothing. response:	Are you sure?
context: I know you're a big fan\of melons.\Melons?\I-I don't know what you're talking about, Malicorne!\Bye then, little lemon!\What was he saying about melons?\It's nothing.\Are you sure? response:	I'm sure!
context: of melons.\Melons?\I-I don't know what you're talking about, Malicorne!\Bye then, little lemon!\What was he saying about melons?\It's nothing.\Are you sure?\I'm sure! response:	This song...
context: Melons?\I-I don't know what you're talking about, Malicorne!\Bye then, little lemon!\What was he saying about melons?\It's nothing.\Are you sure?\I'm sure!\This song... response:	This was the first song we danced to.
context: I-I don't know what you're talking about, Malicorne!\Bye then, little lemon!\What was he saying about melons?\It's nothing.\Are you sure?\I'm sure!\This song...\This was the first song we danced to. response:	Your hair and your dress are the same as that night.
context: Bye then, little lemon!\What was he saying about melons?\It's nothing.\Are you sure?\I'm sure!\This song...\This was the first song we danced to.\Your hair and your dress are the same as that night. response:	Took you long enough to notice.
context: What was he saying about melons?\It's nothing.\Are you sure?\I'm sure!\This song...\This was the first song we danced to.\Your hair and your dress are the same as that night.\Took you long enough to notice. response:	You can be so dense sometimes.
context: It's nothing.\Are you sure?\I'm sure!\This song...\This was the first song we danced to.\Your hair and your dress are the same as that night.\Took you long enough to notice.\You can be so dense sometimes. response:	Sorry.
context: Are you sure?\I'm sure!\This song...\This was the first song we danced to.\Your hair and your dress are the same as that night.\Took you long enough to notice.\You can be so dense sometimes.\Sorry. response:	I'm happy we can dance like this again.
context: I'm sure!\This song...\This was the first song we danced to.\Your hair and your dress are the same as that night.\Took you long enough to notice.\You can be so dense sometimes.\Sorry.\I'm happy we can dance like this again. response:	Oh, don't be dramatic.
context: This song...\This was the first song we danced to.\Your hair and your dress are the same as that night.\Took you long enough to notice.\You can be so dense sometimes.\Sorry.\I'm happy we can dance like this again.\Oh, don't be dramatic. response:	I'm not being dramatic.
context: This was the first song we danced to.\Your hair and your dress are the same as that night.\Took you long enough to notice.\You can be so dense sometimes.\Sorry.\I'm happy we can dance like this again.\Oh, don't be dramatic.\I'm not being dramatic. response:	I felt like my heart would stop
context: Your hair and your dress are the same as that night.\Took you long enough to notice.\You can be so dense sometimes.\Sorry.\I'm happy we can dance like this again.\Oh, don't be dramatic.\I'm not being dramatic.\I felt like my heart would stop response:	when I heard that they took you.
context: Took you long enough to notice.\You can be so dense sometimes.\Sorry.\I'm happy we can dance like this again.\Oh, don't be dramatic.\I'm not being dramatic.\I felt like my heart would stop\when I heard that they took you. response:	I kept wondering what I'd do
context: You can be so dense sometimes.\Sorry.\I'm happy we can dance like this again.\Oh, don't be dramatic.\I'm not being dramatic.\I felt like my heart would stop\when I heard that they took you.\I kept wondering what I'd do response:	if anything happened to you.
context: Sorry.\I'm happy we can dance like this again.\Oh, don't be dramatic.\I'm not being dramatic.\I felt like my heart would stop\when I heard that they took you.\I kept wondering what I'd do\if anything happened to you. response:	Saito...
context: I'm happy we can dance like this again.\Oh, don't be dramatic.\I'm not being dramatic.\I felt like my heart would stop\when I heard that they took you.\I kept wondering what I'd do\if anything happened to you.\Saito... response:	That's when I truly understood
context: Oh, don't be dramatic.\I'm not being dramatic.\I felt like my heart would stop\when I heard that they took you.\I kept wondering what I'd do\if anything happened to you.\Saito...\That's when I truly understood response:	how important you are to me.
context: I'm not being dramatic.\I felt like my heart would stop\when I heard that they took you.\I kept wondering what I'd do\if anything happened to you.\Saito...\That's when I truly understood\how important you are to me. response:	Saito...
context: I felt like my heart would stop\when I heard that they took you.\I kept wondering what I'd do\if anything happened to you.\Saito...\That's when I truly understood\how important you are to me.\Saito... response:	I never want to leave your side again.
context: when I heard that they took you.\I kept wondering what I'd do\if anything happened to you.\Saito...\That's when I truly understood\how important you are to me.\Saito...\I never want to leave your side again. response:	I want to be with you always.
context: I kept wondering what I'd do\if anything happened to you.\Saito...\That's when I truly understood\how important you are to me.\Saito...\I never want to leave your side again.\I want to be with you always. response:	It doesn't have to be big.
context: if anything happened to you.\Saito...\That's when I truly understood\how important you are to me.\Saito...\I never want to leave your side again.\I want to be with you always.\It doesn't have to be big. response:	Let's buy a house together someday.
context: Saito...\That's when I truly understood\how important you are to me.\Saito...\I never want to leave your side again.\I want to be with you always.\It doesn't have to be big.\Let's buy a house together someday. response:	One for just you and me.
context: That's when I truly understood\how important you are to me.\Saito...\I never want to leave your side again.\I want to be with you always.\It doesn't have to be big.\Let's buy a house together someday.\One for just you and me. response:	You mean it?
context: how important you are to me.\Saito...\I never want to leave your side again.\I want to be with you always.\It doesn't have to be big.\Let's buy a house together someday.\One for just you and me.\You mean it? response:	Yes.
context: Saito...\I never want to leave your side again.\I want to be with you always.\It doesn't have to be big.\Let's buy a house together someday.\One for just you and me.\You mean it?\Yes. response:	Well, if you really insist, I suppose
context: I never want to leave your side again.\I want to be with you always.\It doesn't have to be big.\Let's buy a house together someday.\One for just you and me.\You mean it?\Yes.\Well, if you really insist, I suppose response:	I can go along with it.
context: I want to be with you always.\It doesn't have to be big.\Let's buy a house together someday.\One for just you and me.\You mean it?\Yes.\Well, if you really insist, I suppose\I can go along with it. response:	Of course I insist.
context: It doesn't have to be big.\Let's buy a house together someday.\One for just you and me.\You mean it?\Yes.\Well, if you really insist, I suppose\I can go along with it.\Of course I insist. response:	I want to be with you forever, too.
context: Let's buy a house together someday.\One for just you and me.\You mean it?\Yes.\Well, if you really insist, I suppose\I can go along with it.\Of course I insist.\I want to be with you forever, too. response:	Louise...
context: One for just you and me.\You mean it?\Yes.\Well, if you really insist, I suppose\I can go along with it.\Of course I insist.\I want to be with you forever, too.\Louise... response:	Saito...
context: You mean it?\Yes.\Well, if you really insist, I suppose\I can go along with it.\Of course I insist.\I want to be with you forever, too.\Louise...\Saito... response:	Sh-Shall we go?
context: Yes.\Well, if you really insist, I suppose\I can go along with it.\Of course I insist.\I want to be with you forever, too.\Louise...\Saito...\Sh-Shall we go? response:	Y-Yeah.
context: Well, if you really insist, I suppose\I can go along with it.\Of course I insist.\I want to be with you forever, too.\Louise...\Saito...\Sh-Shall we go?\Y-Yeah. response:	Louise...
context: I can go along with it.\Of course I insist.\I want to be with you forever, too.\Louise...\Saito...\Sh-Shall we go?\Y-Yeah.\Louise... response:	Now, hang on, you can't...
context: Of course I insist.\I want to be with you forever, too.\Louise...\Saito...\Sh-Shall we go?\Y-Yeah.\Louise...\Now, hang on, you can't... response:	Saito!
context: I want to be with you forever, too.\Louise...\Saito...\Sh-Shall we go?\Y-Yeah.\Louise...\Now, hang on, you can't...\Saito! response:	I'm never letting you go.
context: Louise...\Saito...\Sh-Shall we go?\Y-Yeah.\Louise...\Now, hang on, you can't...\Saito!\I'm never letting you go. response:	We're together forever now.
context: Saito...\Sh-Shall we go?\Y-Yeah.\Louise...\Now, hang on, you can't...\Saito!\I'm never letting you go.\We're together forever now. response:	Saito...
context: Sh-Shall we go?\Y-Yeah.\Louise...\Now, hang on, you can't...\Saito!\I'm never letting you go.\We're together forever now.\Saito... response:	Siesta!
context: Y-Yeah.\Louise...\Now, hang on, you can't...\Saito!\I'm never letting you go.\We're together forever now.\Saito...\Siesta! response:	You!
context: Louise...\Now, hang on, you can't...\Saito!\I'm never letting you go.\We're together forever now.\Saito...\Siesta!\You! response:	You were going to try to get him in his sleep again!
context: Now, hang on, you can't...\Saito!\I'm never letting you go.\We're together forever now.\Saito...\Siesta!\You!\You were going to try to get him in his sleep again! response:	You know me too well, Miss Valliere!
context: Saito!\I'm never letting you go.\We're together forever now.\Saito...\Siesta!\You!\You were going to try to get him in his sleep again!\You know me too well, Miss Valliere! response:	I warmed your bed for you.
context: I'm never letting you go.\We're together forever now.\Saito...\Siesta!\You!\You were going to try to get him in his sleep again!\You know me too well, Miss Valliere!\I warmed your bed for you. response:	But if you would like it to be warmer,
context: We're together forever now.\Saito...\Siesta!\You!\You were going to try to get him in his sleep again!\You know me too well, Miss Valliere!\I warmed your bed for you.\But if you would like it to be warmer, response:	I will warm you.
context: Saito...\Siesta!\You!\You were going to try to get him in his sleep again!\You know me too well, Miss Valliere!\I warmed your bed for you.\But if you would like it to be warmer,\I will warm you. response:	I'm fine, but thanks for your concern, Siesta.
context: Siesta!\You!\You were going to try to get him in his sleep again!\You know me too well, Miss Valliere!\I warmed your bed for you.\But if you would like it to be warmer,\I will warm you.\I'm fine, but thanks for your concern, Siesta. response:	Concern, my eye!
context: You!\You were going to try to get him in his sleep again!\You know me too well, Miss Valliere!\I warmed your bed for you.\But if you would like it to be warmer,\I will warm you.\I'm fine, but thanks for your concern, Siesta.\Concern, my eye! response:	You've got this totally perverted grin!
context: You were going to try to get him in his sleep again!\You know me too well, Miss Valliere!\I warmed your bed for you.\But if you would like it to be warmer,\I will warm you.\I'm fine, but thanks for your concern, Siesta.\Concern, my eye!\You've got this totally perverted grin! response:	I don't, I don't...
context: You know me too well, Miss Valliere!\I warmed your bed for you.\But if you would like it to be warmer,\I will warm you.\I'm fine, but thanks for your concern, Siesta.\Concern, my eye!\You've got this totally perverted grin!\I don't, I don't... response:	But, I mean, I am a guy, after all.
context: I warmed your bed for you.\But if you would like it to be warmer,\I will warm you.\I'm fine, but thanks for your concern, Siesta.\Concern, my eye!\You've got this totally perverted grin!\I don't, I don't...\But, I mean, I am a guy, after all. response:	Uh oh...
context: But if you would like it to be warmer,\I will warm you.\I'm fine, but thanks for your concern, Siesta.\Concern, my eye!\You've got this totally perverted grin!\I don't, I don't...\But, I mean, I am a guy, after all.\Uh oh... response:	Jeez. Why are all guys like that?
context: I will warm you.\I'm fine, but thanks for your concern, Siesta.\Concern, my eye!\You've got this totally perverted grin!\I don't, I don't...\But, I mean, I am a guy, after all.\Uh oh...\Jeez. Why are all guys like that? response:	It's so idiotic,
context: I'm fine, but thanks for your concern, Siesta.\Concern, my eye!\You've got this totally perverted grin!\I don't, I don't...\But, I mean, I am a guy, after all.\Uh oh...\Jeez. Why are all guys like that?\It's so idiotic, response:	the way they run to this girl and that girl...
context: Concern, my eye!\You've got this totally perverted grin!\I don't, I don't...\But, I mean, I am a guy, after all.\Uh oh...\Jeez. Why are all guys like that?\It's so idiotic,\the way they run to this girl and that girl... response:	What's so funny?
context: You've got this totally perverted grin!\I don't, I don't...\But, I mean, I am a guy, after all.\Uh oh...\Jeez. Why are all guys like that?\It's so idiotic,\the way they run to this girl and that girl...\What's so funny? response:	Nothing.
context: I don't, I don't...\But, I mean, I am a guy, after all.\Uh oh...\Jeez. Why are all guys like that?\It's so idiotic,\the way they run to this girl and that girl...\What's so funny?\Nothing. response:	I was just thinking that this is so peaceful.
