context: Together Forever!! response:	This is no good!
context: Hey? There's no need to call him.\Oh. He was right there.\Excuse me, father...\Uh, n-n-nice to meet you!\I'm, uh... Koizumi's... I mean... Ri-Ri-Risa's boyfriend, Otani.\What should I do? I haven't prepared anything...\Don't go to any trouble!\Height response:	Yes, I'm only just over 156 cm.
context: Oh. He was right there.\Excuse me, father...\Uh, n-n-nice to meet you!\I'm, uh... Koizumi's... I mean... Ri-Ri-Risa's boyfriend, Otani.\What should I do? I haven't prepared anything...\Don't go to any trouble!\Height\Yes, I'm only just over 156 cm. response:	I'm sorry. Forgive me.
context: Excuse me, father...\Uh, n-n-nice to meet you!\I'm, uh... Koizumi's... I mean... Ri-Ri-Risa's boyfriend, Otani.\What should I do? I haven't prepared anything...\Don't go to any trouble!\Height\Yes, I'm only just over 156 cm.\I'm sorry. Forgive me. response:	No...
context: Uh, n-n-nice to meet you!\I'm, uh... Koizumi's... I mean... Ri-Ri-Risa's boyfriend, Otani.\What should I do? I haven't prepared anything...\Don't go to any trouble!\Height\Yes, I'm only just over 156 cm.\I'm sorry. Forgive me.\No... response:	Are you really okay with someone like this?
context: I'm, uh... Koizumi's... I mean... Ri-Ri-Risa's boyfriend, Otani.\What should I do? I haven't prepared anything...\Don't go to any trouble!\Height\Yes, I'm only just over 156 cm.\I'm sorry. Forgive me.\No...\Are you really okay with someone like this? response:	Don't refer to me as this.
context: What should I do? I haven't prepared anything...\Don't go to any trouble!\Height\Yes, I'm only just over 156 cm.\I'm sorry. Forgive me.\No...\Are you really okay with someone like this?\Don't refer to me as this. response:	Um... Sorry to impose on you like this,
context: Don't go to any trouble!\Height\Yes, I'm only just over 156 cm.\I'm sorry. Forgive me.\No...\Are you really okay with someone like this?\Don't refer to me as this.\Um... Sorry to impose on you like this, response:	Stay over?
context: Height\Yes, I'm only just over 156 cm.\I'm sorry. Forgive me.\No...\Are you really okay with someone like this?\Don't refer to me as this.\Um... Sorry to impose on you like this,\Stay over? response:	Uh, let me explain...
context: Yes, I'm only just over 156 cm.\I'm sorry. Forgive me.\No...\Are you really okay with someone like this?\Don't refer to me as this.\Um... Sorry to impose on you like this,\Stay over?\Uh, let me explain... response:	I-It's not what you think!
context: I'm sorry. Forgive me.\No...\Are you really okay with someone like this?\Don't refer to me as this.\Um... Sorry to impose on you like this,\Stay over?\Uh, let me explain...\I-It's not what you think! response:	I don't have any ulterior motive!
context: No...\Are you really okay with someone like this?\Don't refer to me as this.\Um... Sorry to impose on you like this,\Stay over?\Uh, let me explain...\I-It's not what you think!\I don't have any ulterior motive! response:	The truth is, he has an exam tomorrow,
context: Are you really okay with someone like this?\Don't refer to me as this.\Um... Sorry to impose on you like this,\Stay over?\Uh, let me explain...\I-It's not what you think!\I don't have any ulterior motive!\The truth is, he has an exam tomorrow, response:	That's right!
context: Don't refer to me as this.\Um... Sorry to impose on you like this,\Stay over?\Uh, let me explain...\I-It's not what you think!\I don't have any ulterior motive!\The truth is, he has an exam tomorrow,\That's right! response:	So it isn't what you think. Honestly.
context: Um... Sorry to impose on you like this,\Stay over?\Uh, let me explain...\I-It's not what you think!\I don't have any ulterior motive!\The truth is, he has an exam tomorrow,\That's right!\So it isn't what you think. Honestly. response:	My, that is a problem.
context: Stay over?\Uh, let me explain...\I-It's not what you think!\I don't have any ulterior motive!\The truth is, he has an exam tomorrow,\That's right!\So it isn't what you think. Honestly.\My, that is a problem. response:	It's fine, but where will he sleep?
context: Uh, let me explain...\I-It's not what you think!\I don't have any ulterior motive!\The truth is, he has an exam tomorrow,\That's right!\So it isn't what you think. Honestly.\My, that is a problem.\It's fine, but where will he sleep? response:	Well, he could sleep in my room...
context: I-It's not what you think!\I don't have any ulterior motive!\The truth is, he has an exam tomorrow,\That's right!\So it isn't what you think. Honestly.\My, that is a problem.\It's fine, but where will he sleep?\Well, he could sleep in my room... response:	No! I mean, I'll sleep in a different room...
context: I don't have any ulterior motive!\The truth is, he has an exam tomorrow,\That's right!\So it isn't what you think. Honestly.\My, that is a problem.\It's fine, but where will he sleep?\Well, he could sleep in my room...\No! I mean, I'll sleep in a different room... response:	It's not what you think! I apologize!
context: The truth is, he has an exam tomorrow,\That's right!\So it isn't what you think. Honestly.\My, that is a problem.\It's fine, but where will he sleep?\Well, he could sleep in my room...\No! I mean, I'll sleep in a different room...\It's not what you think! I apologize! response:	Never mind!
context: That's right!\So it isn't what you think. Honestly.\My, that is a problem.\It's fine, but where will he sleep?\Well, he could sleep in my room...\No! I mean, I'll sleep in a different room...\It's not what you think! I apologize!\Never mind! response:	Here.
context: So it isn't what you think. Honestly.\My, that is a problem.\It's fine, but where will he sleep?\Well, he could sleep in my room...\No! I mean, I'll sleep in a different room...\It's not what you think! I apologize!\Never mind!\Here. response:	I'm sorry. Are you tired?
context: My, that is a problem.\It's fine, but where will he sleep?\Well, he could sleep in my room...\No! I mean, I'll sleep in a different room...\It's not what you think! I apologize!\Never mind!\Here.\I'm sorry. Are you tired? response:	No.
context: It's fine, but where will he sleep?\Well, he could sleep in my room...\No! I mean, I'll sleep in a different room...\It's not what you think! I apologize!\Never mind!\Here.\I'm sorry. Are you tired?\No. response:	Well, a bit.
context: Well, he could sleep in my room...\No! I mean, I'll sleep in a different room...\It's not what you think! I apologize!\Never mind!\Here.\I'm sorry. Are you tired?\No.\Well, a bit. response:	But I seem totally suspicious, don't I?!
context: No! I mean, I'll sleep in a different room...\It's not what you think! I apologize!\Never mind!\Here.\I'm sorry. Are you tired?\No.\Well, a bit.\But I seem totally suspicious, don't I?! response:	What am I doing, ending up like this the day before the exam?!
context: It's not what you think! I apologize!\Never mind!\Here.\I'm sorry. Are you tired?\No.\Well, a bit.\But I seem totally suspicious, don't I?!\What am I doing, ending up like this the day before the exam?! response:	Doing stuff like this... like this...
context: Never mind!\Here.\I'm sorry. Are you tired?\No.\Well, a bit.\But I seem totally suspicious, don't I?!\What am I doing, ending up like this the day before the exam?!\Doing stuff like this... like this... response:	There, there. Calm down.
context: Here.\I'm sorry. Are you tired?\No.\Well, a bit.\But I seem totally suspicious, don't I?!\What am I doing, ending up like this the day before the exam?!\Doing stuff like this... like this...\There, there. Calm down. response:	Sorry.
context: I'm sorry. Are you tired?\No.\Well, a bit.\But I seem totally suspicious, don't I?!\What am I doing, ending up like this the day before the exam?!\Doing stuff like this... like this...\There, there. Calm down.\Sorry. response:	I'll greet them properly next time.
context: No.\Well, a bit.\But I seem totally suspicious, don't I?!\What am I doing, ending up like this the day before the exam?!\Doing stuff like this... like this...\There, there. Calm down.\Sorry.\I'll greet them properly next time. response:	But at this rate,
context: Well, a bit.\But I seem totally suspicious, don't I?!\What am I doing, ending up like this the day before the exam?!\Doing stuff like this... like this...\There, there. Calm down.\Sorry.\I'll greet them properly next time.\But at this rate, response:	It's fine. I explained everything.
context: But I seem totally suspicious, don't I?!\What am I doing, ending up like this the day before the exam?!\Doing stuff like this... like this...\There, there. Calm down.\Sorry.\I'll greet them properly next time.\But at this rate,\It's fine. I explained everything. response:	No. That's not good enough for me.
context: What am I doing, ending up like this the day before the exam?!\Doing stuff like this... like this...\There, there. Calm down.\Sorry.\I'll greet them properly next time.\But at this rate,\It's fine. I explained everything.\No. That's not good enough for me. response:	You're serious about the strangest things, aren't you?
context: Doing stuff like this... like this...\There, there. Calm down.\Sorry.\I'll greet them properly next time.\But at this rate,\It's fine. I explained everything.\No. That's not good enough for me.\You're serious about the strangest things, aren't you? response:	I'm always serious.
context: There, there. Calm down.\Sorry.\I'll greet them properly next time.\But at this rate,\It's fine. I explained everything.\No. That's not good enough for me.\You're serious about the strangest things, aren't you?\I'm always serious. response:	I don't stand for half-heartedness.
context: Sorry.\I'll greet them properly next time.\But at this rate,\It's fine. I explained everything.\No. That's not good enough for me.\You're serious about the strangest things, aren't you?\I'm always serious.\I don't stand for half-heartedness. response:	Is that so?
context: I'll greet them properly next time.\But at this rate,\It's fine. I explained everything.\No. That's not good enough for me.\You're serious about the strangest things, aren't you?\I'm always serious.\I don't stand for half-heartedness.\Is that so? response:	But that aside, you should worry about your exam for now.
context: But at this rate,\It's fine. I explained everything.\No. That's not good enough for me.\You're serious about the strangest things, aren't you?\I'm always serious.\I don't stand for half-heartedness.\Is that so?\But that aside, you should worry about your exam for now. response:	You're right...
context: It's fine. I explained everything.\No. That's not good enough for me.\You're serious about the strangest things, aren't you?\I'm always serious.\I don't stand for half-heartedness.\Is that so?\But that aside, you should worry about your exam for now.\You're right... response:	You'll want to study all night, right?
context: No. That's not good enough for me.\You're serious about the strangest things, aren't you?\I'm always serious.\I don't stand for half-heartedness.\Is that so?\But that aside, you should worry about your exam for now.\You're right...\You'll want to study all night, right? response:	I'll go hang out in my brother's room.
context: You're serious about the strangest things, aren't you?\I'm always serious.\I don't stand for half-heartedness.\Is that so?\But that aside, you should worry about your exam for now.\You're right...\You'll want to study all night, right?\I'll go hang out in my brother's room. response:	But I don't mind...
context: I'm always serious.\I don't stand for half-heartedness.\Is that so?\But that aside, you should worry about your exam for now.\You're right...\You'll want to study all night, right?\I'll go hang out in my brother's room.\But I don't mind... response:	If I'm with you, I'll just end up talking to you.
context: I don't stand for half-heartedness.\Is that so?\But that aside, you should worry about your exam for now.\You're right...\You'll want to study all night, right?\I'll go hang out in my brother's room.\But I don't mind...\If I'm with you, I'll just end up talking to you. response:	I don't want to get in the way.
context: Is that so?\But that aside, you should worry about your exam for now.\You're right...\You'll want to study all night, right?\I'll go hang out in my brother's room.\But I don't mind...\If I'm with you, I'll just end up talking to you.\I don't want to get in the way. response:	Sorry.
context: But that aside, you should worry about your exam for now.\You're right...\You'll want to study all night, right?\I'll go hang out in my brother's room.\But I don't mind...\If I'm with you, I'll just end up talking to you.\I don't want to get in the way.\Sorry. response:	If there's an emergency, just call me.
context: You're right...\You'll want to study all night, right?\I'll go hang out in my brother's room.\But I don't mind...\If I'm with you, I'll just end up talking to you.\I don't want to get in the way.\Sorry.\If there's an emergency, just call me. response:	Right! Do your best.
context: You'll want to study all night, right?\I'll go hang out in my brother's room.\But I don't mind...\If I'm with you, I'll just end up talking to you.\I don't want to get in the way.\Sorry.\If there's an emergency, just call me.\Right! Do your best. response:	Okay. Let's do this.
context: I'll go hang out in my brother's room.\But I don't mind...\If I'm with you, I'll just end up talking to you.\I don't want to get in the way.\Sorry.\If there's an emergency, just call me.\Right! Do your best.\Okay. Let's do this. response:	Yeah.
context: But I don't mind...\If I'm with you, I'll just end up talking to you.\I don't want to get in the way.\Sorry.\If there's an emergency, just call me.\Right! Do your best.\Okay. Let's do this.\Yeah. response:	If it's Otani, he'll be fine.
context: If I'm with you, I'll just end up talking to you.\I don't want to get in the way.\Sorry.\If there's an emergency, just call me.\Right! Do your best.\Okay. Let's do this.\Yeah.\If it's Otani, he'll be fine. response:	Even if he was chased out of his home the day before his exam,
context: I don't want to get in the way.\Sorry.\If there's an emergency, just call me.\Right! Do your best.\Okay. Let's do this.\Yeah.\If it's Otani, he'll be fine.\Even if he was chased out of his home the day before his exam, response:	Do your best Otani
context: Sorry.\If there's an emergency, just call me.\Right! Do your best.\Okay. Let's do this.\Yeah.\If it's Otani, he'll be fine.\Even if he was chased out of his home the day before his exam,\Do your best Otani response:	Hello. Would you like something to eat?
context: If there's an emergency, just call me.\Right! Do your best.\Okay. Let's do this.\Yeah.\If it's Otani, he'll be fine.\Even if he was chased out of his home the day before his exam,\Do your best Otani\Hello. Would you like something to eat? response:	What should I do?
context: Right! Do your best.\Okay. Let's do this.\Yeah.\If it's Otani, he'll be fine.\Even if he was chased out of his home the day before his exam,\Do your best Otani\Hello. Would you like something to eat?\What should I do? response:	Should I wake him up?
context: Okay. Let's do this.\Yeah.\If it's Otani, he'll be fine.\Even if he was chased out of his home the day before his exam,\Do your best Otani\Hello. Would you like something to eat?\What should I do?\Should I wake him up? response:	But if he sleeps for a bit...
context: Yeah.\If it's Otani, he'll be fine.\Even if he was chased out of his home the day before his exam,\Do your best Otani\Hello. Would you like something to eat?\What should I do?\Should I wake him up?\But if he sleeps for a bit... response:	His eyelashes are pretty long...
context: If it's Otani, he'll be fine.\Even if he was chased out of his home the day before his exam,\Do your best Otani\Hello. Would you like something to eat?\What should I do?\Should I wake him up?\But if he sleeps for a bit...\His eyelashes are pretty long... response:	How cute!
context: Even if he was chased out of his home the day before his exam,\Do your best Otani\Hello. Would you like something to eat?\What should I do?\Should I wake him up?\But if he sleeps for a bit...\His eyelashes are pretty long...\How cute! response:	Do your best tomorrow, okay?
context: Do your best Otani\Hello. Would you like something to eat?\What should I do?\Should I wake him up?\But if he sleeps for a bit...\His eyelashes are pretty long...\How cute!\Do your best tomorrow, okay? response:	Otani!
context: Hello. Would you like something to eat?\What should I do?\Should I wake him up?\But if he sleeps for a bit...\His eyelashes are pretty long...\How cute!\Do your best tomorrow, okay?\Otani! response:	Otani! Wake up, Otani!
context: What should I do?\Should I wake him up?\But if he sleeps for a bit...\His eyelashes are pretty long...\How cute!\Do your best tomorrow, okay?\Otani!\Otani! Wake up, Otani! response:	What time is your exam?!
context: Should I wake him up?\But if he sleeps for a bit...\His eyelashes are pretty long...\How cute!\Do your best tomorrow, okay?\Otani!\Otani! Wake up, Otani!\What time is your exam?! response:	9:20 am...
context: But if he sleeps for a bit...\His eyelashes are pretty long...\How cute!\Do your best tomorrow, okay?\Otani!\Otani! Wake up, Otani!\What time is your exam?!\9:20 am... response:	But it's already past 8...
context: His eyelashes are pretty long...\How cute!\Do your best tomorrow, okay?\Otani!\Otani! Wake up, Otani!\What time is your exam?!\9:20 am...\But it's already past 8... response:	How long does it take to get there?!
context: How cute!\Do your best tomorrow, okay?\Otani!\Otani! Wake up, Otani!\What time is your exam?!\9:20 am...\But it's already past 8...\How long does it take to get there?! response:	If I take the train it takes about an hour. If I rush now I can still make it!
context: Do your best tomorrow, okay?\Otani!\Otani! Wake up, Otani!\What time is your exam?!\9:20 am...\But it's already past 8...\How long does it take to get there?!\If I take the train it takes about an hour. If I rush now I can still make it! response:	Your stuff! Your stuff!
context: Otani!\Otani! Wake up, Otani!\What time is your exam?!\9:20 am...\But it's already past 8...\How long does it take to get there?!\If I take the train it takes about an hour. If I rush now I can still make it!\Your stuff! Your stuff! response:	Why didn't you wake me up?!
context: Otani! Wake up, Otani!\What time is your exam?!\9:20 am...\But it's already past 8...\How long does it take to get there?!\If I take the train it takes about an hour. If I rush now I can still make it!\Your stuff! Your stuff!\Why didn't you wake me up?! response:	But...!
context: What time is your exam?!\9:20 am...\But it's already past 8...\How long does it take to get there?!\If I take the train it takes about an hour. If I rush now I can still make it!\Your stuff! Your stuff!\Why didn't you wake me up?!\But...! response:	Oh, never mind!
context: 9:20 am...\But it's already past 8...\How long does it take to get there?!\If I take the train it takes about an hour. If I rush now I can still make it!\Your stuff! Your stuff!\Why didn't you wake me up?!\But...!\Oh, never mind! response:	What the...?
context: But it's already past 8...\How long does it take to get there?!\If I take the train it takes about an hour. If I rush now I can still make it!\Your stuff! Your stuff!\Why didn't you wake me up?!\But...!\Oh, never mind!\What the...? response:	What is this?!
context: How long does it take to get there?!\If I take the train it takes about an hour. If I rush now I can still make it!\Your stuff! Your stuff!\Why didn't you wake me up?!\But...!\Oh, never mind!\What the...?\What is this?! response:	Snow? Why?
context: If I take the train it takes about an hour. If I rush now I can still make it!\Your stuff! Your stuff!\Why didn't you wake me up?!\But...!\Oh, never mind!\What the...?\What is this?!\Snow? Why? response:	On TV they said that the trains and buses aren't running.
context: Your stuff! Your stuff!\Why didn't you wake me up?!\But...!\Oh, never mind!\What the...?\What is this?!\Snow? Why?\On TV they said that the trains and buses aren't running. response:	Wh-What should you do, Otani?
context: Why didn't you wake me up?!\But...!\Oh, never mind!\What the...?\What is this?!\Snow? Why?\On TV they said that the trains and buses aren't running.\Wh-What should you do, Otani? response:	It's fine.
context: But...!\Oh, never mind!\What the...?\What is this?!\Snow? Why?\On TV they said that the trains and buses aren't running.\Wh-What should you do, Otani?\It's fine. response:	Huh? What are you saying?
context: Oh, never mind!\What the...?\What is this?!\Snow? Why?\On TV they said that the trains and buses aren't running.\Wh-What should you do, Otani?\It's fine.\Huh? What are you saying? response:	My life has been a mess since I was chased out of my house last night.
context: What the...?\What is this?!\Snow? Why?\On TV they said that the trains and buses aren't running.\Wh-What should you do, Otani?\It's fine.\Huh? What are you saying?\My life has been a mess since I was chased out of my house last night. response:	Snow, huh?
context: What is this?!\Snow? Why?\On TV they said that the trains and buses aren't running.\Wh-What should you do, Otani?\It's fine.\Huh? What are you saying?\My life has been a mess since I was chased out of my house last night.\Snow, huh? response:	That certainly was a surprise.
context: Snow? Why?\On TV they said that the trains and buses aren't running.\Wh-What should you do, Otani?\It's fine.\Huh? What are you saying?\My life has been a mess since I was chased out of my house last night.\Snow, huh?\That certainly was a surprise. response:	There's so much of it, too... That's how unlucky I am.
context: On TV they said that the trains and buses aren't running.\Wh-What should you do, Otani?\It's fine.\Huh? What are you saying?\My life has been a mess since I was chased out of my house last night.\Snow, huh?\That certainly was a surprise.\There's so much of it, too... That's how unlucky I am. response:	You idiot!
context: Wh-What should you do, Otani?\It's fine.\Huh? What are you saying?\My life has been a mess since I was chased out of my house last night.\Snow, huh?\That certainly was a surprise.\There's so much of it, too... That's how unlucky I am.\You idiot! response:	What are you!
context: It's fine.\Huh? What are you saying?\My life has been a mess since I was chased out of my house last night.\Snow, huh?\That certainly was a surprise.\There's so much of it, too... That's how unlucky I am.\You idiot!\What are you! response:	All of the other exam students are snowed out too!
context: Huh? What are you saying?\My life has been a mess since I was chased out of my house last night.\Snow, huh?\That certainly was a surprise.\There's so much of it, too... That's how unlucky I am.\You idiot!\What are you!\All of the other exam students are snowed out too! response:	It's not like it's just you!
context: My life has been a mess since I was chased out of my house last night.\Snow, huh?\That certainly was a surprise.\There's so much of it, too... That's how unlucky I am.\You idiot!\What are you!\All of the other exam students are snowed out too!\It's not like it's just you! response:	What are you talking about?
context: Snow, huh?\That certainly was a surprise.\There's so much of it, too... That's how unlucky I am.\You idiot!\What are you!\All of the other exam students are snowed out too!\It's not like it's just you!\What are you talking about? response:	Get up! Stand up, Otani!
context: That certainly was a surprise.\There's so much of it, too... That's how unlucky I am.\You idiot!\What are you!\All of the other exam students are snowed out too!\It's not like it's just you!\What are you talking about?\Get up! Stand up, Otani! response:	I am standing.
context: There's so much of it, too... That's how unlucky I am.\You idiot!\What are you!\All of the other exam students are snowed out too!\It's not like it's just you!\What are you talking about?\Get up! Stand up, Otani!\I am standing. response:	You can do this!
context: You idiot!\What are you!\All of the other exam students are snowed out too!\It's not like it's just you!\What are you talking about?\Get up! Stand up, Otani!\I am standing.\You can do this! response:	Koizumi...
context: What are you!\All of the other exam students are snowed out too!\It's not like it's just you!\What are you talking about?\Get up! Stand up, Otani!\I am standing.\You can do this!\Koizumi... response:	If you've got the time for this, then why not run there?
context: All of the other exam students are snowed out too!\It's not like it's just you!\What are you talking about?\Get up! Stand up, Otani!\I am standing.\You can do this!\Koizumi...\If you've got the time for this, then why not run there? response:	Takato!
context: It's not like it's just you!\What are you talking about?\Get up! Stand up, Otani!\I am standing.\You can do this!\Koizumi...\If you've got the time for this, then why not run there?\Takato! response:	Here.
context: What are you talking about?\Get up! Stand up, Otani!\I am standing.\You can do this!\Koizumi...\If you've got the time for this, then why not run there?\Takato!\Here. response:	Right.
context: Get up! Stand up, Otani!\I am standing.\You can do this!\Koizumi...\If you've got the time for this, then why not run there?\Takato!\Here.\Right. response:	No way!
context: I am standing.\You can do this!\Koizumi...\If you've got the time for this, then why not run there?\Takato!\Here.\Right.\No way! response:	But the trains aren't running...
context: You can do this!\Koizumi...\If you've got the time for this, then why not run there?\Takato!\Here.\Right.\No way!\But the trains aren't running... response:	Then take the subway!
context: Koizumi...\If you've got the time for this, then why not run there?\Takato!\Here.\Right.\No way!\But the trains aren't running...\Then take the subway! response:	This... This is too mu!
context: If you've got the time for this, then why not run there?\Takato!\Here.\Right.\No way!\But the trains aren't running...\Then take the subway!\This... This is too mu! response:	You're going too far!
context: Takato!\Here.\Right.\No way!\But the trains aren't running...\Then take the subway!\This... This is too mu!\You're going too far! response:	I'll apologize if you die.
context: Here.\Right.\No way!\But the trains aren't running...\Then take the subway!\This... This is too mu!\You're going too far!\I'll apologize if you die. response:	Don't jinx me!
context: Right.\No way!\But the trains aren't running...\Then take the subway!\This... This is too mu!\You're going too far!\I'll apologize if you die.\Don't jinx me! response:	But you've worked so hard, Otani.
context: No way!\But the trains aren't running...\Then take the subway!\This... This is too mu!\You're going too far!\I'll apologize if you die.\Don't jinx me!\But you've worked so hard, Otani. response:	I don't want to see it go to waste.
context: But the trains aren't running...\Then take the subway!\This... This is too mu!\You're going too far!\I'll apologize if you die.\Don't jinx me!\But you've worked so hard, Otani.\I don't want to see it go to waste. response:	It doesn't matter whether you pass or fail, as long as you do your best!
context: Then take the subway!\This... This is too mu!\You're going too far!\I'll apologize if you die.\Don't jinx me!\But you've worked so hard, Otani.\I don't want to see it go to waste.\It doesn't matter whether you pass or fail, as long as you do your best! response:	Don't waste all of your effort up until now!
context: This... This is too mu!\You're going too far!\I'll apologize if you die.\Don't jinx me!\But you've worked so hard, Otani.\I don't want to see it go to waste.\It doesn't matter whether you pass or fail, as long as you do your best!\Don't waste all of your effort up until now! response:	Koizumi...
context: You're going too far!\I'll apologize if you die.\Don't jinx me!\But you've worked so hard, Otani.\I don't want to see it go to waste.\It doesn't matter whether you pass or fail, as long as you do your best!\Don't waste all of your effort up until now!\Koizumi... response:	Hey! Don't ride tandem!
