context: Just like a sickness that continues to progress without any visible symptoms, response:	there was someone hiding in our town of Morioh,
context: Twelve yen?!\I was weak!\My 20,000 yen that I was saving up to buy those kewl brand-name shoes...\I can't even remember what I used the money on.\This is all that damn old man's fault!\Because he used my card to buy 130,000 yen worth of baby crap!\I made the old man pay me back the 130,000 later,\but then I felt like spending a little response:	here and there wouldn't hurt, and totally lost track of my spending.
context: I was weak!\My 20,000 yen that I was saving up to buy those kewl brand-name shoes...\I can't even remember what I used the money on.\This is all that damn old man's fault!\Because he used my card to buy 130,000 yen worth of baby crap!\I made the old man pay me back the 130,000 later,\but then I felt like spending a little\here and there wouldn't hurt, and totally lost track of my spending. response:	I wonder if I tucked away a thousand yen somewhere and just forgot about it.
context: My 20,000 yen that I was saving up to buy those kewl brand-name shoes...\I can't even remember what I used the money on.\This is all that damn old man's fault!\Because he used my card to buy 130,000 yen worth of baby crap!\I made the old man pay me back the 130,000 later,\but then I felt like spending a little\here and there wouldn't hurt, and totally lost track of my spending.\I wonder if I tucked away a thousand yen somewhere and just forgot about it. response:	A cockroach!
context: I can't even remember what I used the money on.\This is all that damn old man's fault!\Because he used my card to buy 130,000 yen worth of baby crap!\I made the old man pay me back the 130,000 later,\but then I felt like spending a little\here and there wouldn't hurt, and totally lost track of my spending.\I wonder if I tucked away a thousand yen somewhere and just forgot about it.\A cockroach! response:	I guess banks could have them, too.
context: This is all that damn old man's fault!\Because he used my card to buy 130,000 yen worth of baby crap!\I made the old man pay me back the 130,000 later,\but then I felt like spending a little\here and there wouldn't hurt, and totally lost track of my spending.\I wonder if I tucked away a thousand yen somewhere and just forgot about it.\A cockroach!\I guess banks could have them, too. response:	A S-Stand?
context: Because he used my card to buy 130,000 yen worth of baby crap!\I made the old man pay me back the 130,000 later,\but then I felt like spending a little\here and there wouldn't hurt, and totally lost track of my spending.\I wonder if I tucked away a thousand yen somewhere and just forgot about it.\A cockroach!\I guess banks could have them, too.\A S-Stand? response:	I found one yen.
context: I made the old man pay me back the 130,000 later,\but then I felt like spending a little\here and there wouldn't hurt, and totally lost track of my spending.\I wonder if I tucked away a thousand yen somewhere and just forgot about it.\A cockroach!\I guess banks could have them, too.\A S-Stand?\I found one yen. response:	Y-You bastard!
context: but then I felt like spending a little\here and there wouldn't hurt, and totally lost track of my spending.\I wonder if I tucked away a thousand yen somewhere and just forgot about it.\A cockroach!\I guess banks could have them, too.\A S-Stand?\I found one yen.\Y-You bastard! response:	I-It's a Stand!
context: here and there wouldn't hurt, and totally lost track of my spending.\I wonder if I tucked away a thousand yen somewhere and just forgot about it.\A cockroach!\I guess banks could have them, too.\A S-Stand?\I found one yen.\Y-You bastard!\I-It's a Stand! response:	A new Stand has appeared!
context: I wonder if I tucked away a thousand yen somewhere and just forgot about it.\A cockroach!\I guess banks could have them, too.\A S-Stand?\I found one yen.\Y-You bastard!\I-It's a Stand!\A new Stand has appeared! response:	Jojo's Bizarre Adventure
context: A cockroach!\I guess banks could have them, too.\A S-Stand?\I found one yen.\Y-You bastard!\I-It's a Stand!\A new Stand has appeared!\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: I guess banks could have them, too.\A S-Stand?\I found one yen.\Y-You bastard!\I-It's a Stand!\A new Stand has appeared!\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Jojo's Bizarre Adventure
context: A S-Stand?\I found one yen.\Y-You bastard!\I-It's a Stand!\A new Stand has appeared!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: I found one yen.\Y-You bastard!\I-It's a Stand!\A new Stand has appeared!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 18 Shigechi's Harvest, Part 1
context: Y-You bastard!\I-It's a Stand!\A new Stand has appeared!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 18 Shigechi's Harvest, Part 1 response:	Where the hell is it heading?
context: I-It's a Stand!\A new Stand has appeared!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 18 Shigechi's Harvest, Part 1\Where the hell is it heading? response:	There's another one!
context: A new Stand has appeared!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 18 Shigechi's Harvest, Part 1\Where the hell is it heading?\There's another one! response:	Damn it! Who the hell are you?!
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 18 Shigechi's Harvest, Part 1\Where the hell is it heading?\There's another one!\Damn it! Who the hell are you?! response:	I'll kill you!
context: Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 18 Shigechi's Harvest, Part 1\Where the hell is it heading?\There's another one!\Damn it! Who the hell are you?!\I'll kill you! response:	Okuyasu!
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 18 Shigechi's Harvest, Part 1\Where the hell is it heading?\There's another one!\Damn it! Who the hell are you?!\I'll kill you!\Okuyasu! response:	Oh, Josuke!
context: Diamond is Unbreakable\Episode 18 Shigechi's Harvest, Part 1\Where the hell is it heading?\There's another one!\Damn it! Who the hell are you?!\I'll kill you!\Okuyasu!\Oh, Josuke! response:	Look! It's an enemy Stand. I'm gonna kill it!
context: Episode 18 Shigechi's Harvest, Part 1\Where the hell is it heading?\There's another one!\Damn it! Who the hell are you?!\I'll kill you!\Okuyasu!\Oh, Josuke!\Look! It's an enemy Stand. I'm gonna kill it! response:	There're two of them!
context: Where the hell is it heading?\There's another one!\Damn it! Who the hell are you?!\I'll kill you!\Okuyasu!\Oh, Josuke!\Look! It's an enemy Stand. I'm gonna kill it!\There're two of them! response:	Yeah. There was one at the bank, so I followed it here.
context: There's another one!\Damn it! Who the hell are you?!\I'll kill you!\Okuyasu!\Oh, Josuke!\Look! It's an enemy Stand. I'm gonna kill it!\There're two of them!\Yeah. There was one at the bank, so I followed it here. response:	How did it attack you?
context: Damn it! Who the hell are you?!\I'll kill you!\Okuyasu!\Oh, Josuke!\Look! It's an enemy Stand. I'm gonna kill it!\There're two of them!\Yeah. There was one at the bank, so I followed it here.\How did it attack you? response:	Actually, it didn't attack me.
context: I'll kill you!\Okuyasu!\Oh, Josuke!\Look! It's an enemy Stand. I'm gonna kill it!\There're two of them!\Yeah. There was one at the bank, so I followed it here.\How did it attack you?\Actually, it didn't attack me. response:	I was buying Calpis Water,
context: Okuyasu!\Oh, Josuke!\Look! It's an enemy Stand. I'm gonna kill it!\There're two of them!\Yeah. There was one at the bank, so I followed it here.\How did it attack you?\Actually, it didn't attack me.\I was buying Calpis Water, response:	and it suddenly came out from under the vending machine.
context: Oh, Josuke!\Look! It's an enemy Stand. I'm gonna kill it!\There're two of them!\Yeah. There was one at the bank, so I followed it here.\How did it attack you?\Actually, it didn't attack me.\I was buying Calpis Water,\and it suddenly came out from under the vending machine. response:	What? It didn't attack you?
context: Look! It's an enemy Stand. I'm gonna kill it!\There're two of them!\Yeah. There was one at the bank, so I followed it here.\How did it attack you?\Actually, it didn't attack me.\I was buying Calpis Water,\and it suddenly came out from under the vending machine.\What? It didn't attack you? response:	But you just said you were going to kill it.
context: There're two of them!\Yeah. There was one at the bank, so I followed it here.\How did it attack you?\Actually, it didn't attack me.\I was buying Calpis Water,\and it suddenly came out from under the vending machine.\What? It didn't attack you?\But you just said you were going to kill it. response:	It scared the crap out of me,
context: Yeah. There was one at the bank, so I followed it here.\How did it attack you?\Actually, it didn't attack me.\I was buying Calpis Water,\and it suddenly came out from under the vending machine.\What? It didn't attack you?\But you just said you were going to kill it.\It scared the crap out of me, response:	and I spilled the Calpis Water all over my uniform.
context: How did it attack you?\Actually, it didn't attack me.\I was buying Calpis Water,\and it suddenly came out from under the vending machine.\What? It didn't attack you?\But you just said you were going to kill it.\It scared the crap out of me,\and I spilled the Calpis Water all over my uniform. response:	Damn it! Give me back my money!
context: Actually, it didn't attack me.\I was buying Calpis Water,\and it suddenly came out from under the vending machine.\What? It didn't attack you?\But you just said you were going to kill it.\It scared the crap out of me,\and I spilled the Calpis Water all over my uniform.\Damn it! Give me back my money! response:	Found it!
context: I was buying Calpis Water,\and it suddenly came out from under the vending machine.\What? It didn't attack you?\But you just said you were going to kill it.\It scared the crap out of me,\and I spilled the Calpis Water all over my uniform.\Damn it! Give me back my money!\Found it! response:	Hey, another one just joined in...
context: and it suddenly came out from under the vending machine.\What? It didn't attack you?\But you just said you were going to kill it.\It scared the crap out of me,\and I spilled the Calpis Water all over my uniform.\Damn it! Give me back my money!\Found it!\Hey, another one just joined in... response:	Found it!
context: What? It didn't attack you?\But you just said you were going to kill it.\It scared the crap out of me,\and I spilled the Calpis Water all over my uniform.\Damn it! Give me back my money!\Found it!\Hey, another one just joined in...\Found it! response:	Found it. Found it.
context: But you just said you were going to kill it.\It scared the crap out of me,\and I spilled the Calpis Water all over my uniform.\Damn it! Give me back my money!\Found it!\Hey, another one just joined in...\Found it!\Found it. Found it. response:	What the... What the hell are these guys?
context: It scared the crap out of me,\and I spilled the Calpis Water all over my uniform.\Damn it! Give me back my money!\Found it!\Hey, another one just joined in...\Found it!\Found it. Found it.\What the... What the hell are these guys? response:	There's a ton of them gathering up!
context: and I spilled the Calpis Water all over my uniform.\Damn it! Give me back my money!\Found it!\Hey, another one just joined in...\Found it!\Found it. Found it.\What the... What the hell are these guys?\There's a ton of them gathering up! response:	Okuyasu, they're just like your brother Keicho's Stand.
context: Damn it! Give me back my money!\Found it!\Hey, another one just joined in...\Found it!\Found it. Found it.\What the... What the hell are these guys?\There's a ton of them gathering up!\Okuyasu, they're just like your brother Keicho's Stand. response:	But...
context: Found it!\Hey, another one just joined in...\Found it!\Found it. Found it.\What the... What the hell are these guys?\There's a ton of them gathering up!\Okuyasu, they're just like your brother Keicho's Stand.\But... response:	Since they're ignoring us, they're a totally different kind of creepy.
context: Hey, another one just joined in...\Found it!\Found it. Found it.\What the... What the hell are these guys?\There's a ton of them gathering up!\Okuyasu, they're just like your brother Keicho's Stand.\But...\Since they're ignoring us, they're a totally different kind of creepy. response:	Yeah...
context: Found it!\Found it. Found it.\What the... What the hell are these guys?\There's a ton of them gathering up!\Okuyasu, they're just like your brother Keicho's Stand.\But...\Since they're ignoring us, they're a totally different kind of creepy.\Yeah... response:	Be careful! The user's probably nearby.
context: Found it. Found it.\What the... What the hell are these guys?\There's a ton of them gathering up!\Okuyasu, they're just like your brother Keicho's Stand.\But...\Since they're ignoring us, they're a totally different kind of creepy.\Yeah...\Be careful! The user's probably nearby. response:	Boom
context: What the... What the hell are these guys?\There's a ton of them gathering up!\Okuyasu, they're just like your brother Keicho's Stand.\But...\Since they're ignoring us, they're a totally different kind of creepy.\Yeah...\Be careful! The user's probably nearby.\Boom response:	It's...
context: There's a ton of them gathering up!\Okuyasu, they're just like your brother Keicho's Stand.\But...\Since they're ignoring us, they're a totally different kind of creepy.\Yeah...\Be careful! The user's probably nearby.\Boom\It's... response:	It's money!
context: Okuyasu, they're just like your brother Keicho's Stand.\But...\Since they're ignoring us, they're a totally different kind of creepy.\Yeah...\Be careful! The user's probably nearby.\Boom\It's...\It's money! response:	Come to think of it, it picked up a 1 yen coin
context: But...\Since they're ignoring us, they're a totally different kind of creepy.\Yeah...\Be careful! The user's probably nearby.\Boom\It's...\It's money!\Come to think of it, it picked up a 1 yen coin response:	underneath a machine at the bank.
context: Since they're ignoring us, they're a totally different kind of creepy.\Yeah...\Be careful! The user's probably nearby.\Boom\It's...\It's money!\Come to think of it, it picked up a 1 yen coin\underneath a machine at the bank. response:	They're only 1 yen and 10 yen coins, but they're all real!
context: Yeah...\Be careful! The user's probably nearby.\Boom\It's...\It's money!\Come to think of it, it picked up a 1 yen coin\underneath a machine at the bank.\They're only 1 yen and 10 yen coins, but they're all real! response:	Well done, you guys.
context: Be careful! The user's probably nearby.\Boom\It's...\It's money!\Come to think of it, it picked up a 1 yen coin\underneath a machine at the bank.\They're only 1 yen and 10 yen coins, but they're all real!\Well done, you guys. response:	Many a little makes a mickle.
context: Boom\It's...\It's money!\Come to think of it, it picked up a 1 yen coin\underneath a machine at the bank.\They're only 1 yen and 10 yen coins, but they're all real!\Well done, you guys.\Many a little makes a mickle. response:	I think that's about five thousand yen.
context: It's...\It's money!\Come to think of it, it picked up a 1 yen coin\underneath a machine at the bank.\They're only 1 yen and 10 yen coins, but they're all real!\Well done, you guys.\Many a little makes a mickle.\I think that's about five thousand yen. response:	As long as I have you guys, Harvest,
context: It's money!\Come to think of it, it picked up a 1 yen coin\underneath a machine at the bank.\They're only 1 yen and 10 yen coins, but they're all real!\Well done, you guys.\Many a little makes a mickle.\I think that's about five thousand yen.\As long as I have you guys, Harvest, response:	I'll never have to worry about money.
context: Come to think of it, it picked up a 1 yen coin\underneath a machine at the bank.\They're only 1 yen and 10 yen coins, but they're all real!\Well done, you guys.\Many a little makes a mickle.\I think that's about five thousand yen.\As long as I have you guys, Harvest,\I'll never have to worry about money. response:	Hey, that's the user?
context: underneath a machine at the bank.\They're only 1 yen and 10 yen coins, but they're all real!\Well done, you guys.\Many a little makes a mickle.\I think that's about five thousand yen.\As long as I have you guys, Harvest,\I'll never have to worry about money.\Hey, that's the user? response:	He's talking to his Stand...
context: They're only 1 yen and 10 yen coins, but they're all real!\Well done, you guys.\Many a little makes a mickle.\I think that's about five thousand yen.\As long as I have you guys, Harvest,\I'll never have to worry about money.\Hey, that's the user?\He's talking to his Stand... response:	Yeah... He seems to have become a Stand user because
context: Well done, you guys.\Many a little makes a mickle.\I think that's about five thousand yen.\As long as I have you guys, Harvest,\I'll never have to worry about money.\Hey, that's the user?\He's talking to his Stand...\Yeah... He seems to have become a Stand user because response:	of the bow and arrow, but it doesn't look like he's trying to attack us.
context: Many a little makes a mickle.\I think that's about five thousand yen.\As long as I have you guys, Harvest,\I'll never have to worry about money.\Hey, that's the user?\He's talking to his Stand...\Yeah... He seems to have become a Stand user because\of the bow and arrow, but it doesn't look like he's trying to attack us. response:	Grin!
context: I think that's about five thousand yen.\As long as I have you guys, Harvest,\I'll never have to worry about money.\Hey, that's the user?\He's talking to his Stand...\Yeah... He seems to have become a Stand user because\of the bow and arrow, but it doesn't look like he's trying to attack us.\Grin! response:	You guys...
context: As long as I have you guys, Harvest,\I'll never have to worry about money.\Hey, that's the user?\He's talking to his Stand...\Yeah... He seems to have become a Stand user because\of the bow and arrow, but it doesn't look like he's trying to attack us.\Grin!\You guys... response:	You can see my Harvest?
context: I'll never have to worry about money.\Hey, that's the user?\He's talking to his Stand...\Yeah... He seems to have become a Stand user because\of the bow and arrow, but it doesn't look like he's trying to attack us.\Grin!\You guys...\You can see my Harvest? response:	Hey, you can see them, right?!
context: Hey, that's the user?\He's talking to his Stand...\Yeah... He seems to have become a Stand user because\of the bow and arrow, but it doesn't look like he's trying to attack us.\Grin!\You guys...\You can see my Harvest?\Hey, you can see them, right?! response:	Yeah, it's called a Stand.
context: He's talking to his Stand...\Yeah... He seems to have become a Stand user because\of the bow and arrow, but it doesn't look like he's trying to attack us.\Grin!\You guys...\You can see my Harvest?\Hey, you can see them, right?!\Yeah, it's called a Stand. response:	I'm Josuke Higashikata.
context: Yeah... He seems to have become a Stand user because\of the bow and arrow, but it doesn't look like he's trying to attack us.\Grin!\You guys...\You can see my Harvest?\Hey, you can see them, right?!\Yeah, it's called a Stand.\I'm Josuke Higashikata. response:	This is Okuyasu Nijimura.
context: of the bow and arrow, but it doesn't look like he's trying to attack us.\Grin!\You guys...\You can see my Harvest?\Hey, you can see them, right?!\Yeah, it's called a Stand.\I'm Josuke Higashikata.\This is Okuyasu Nijimura. response:	Friends! I've never had any before!
context: Grin!\You guys...\You can see my Harvest?\Hey, you can see them, right?!\Yeah, it's called a Stand.\I'm Josuke Higashikata.\This is Okuyasu Nijimura.\Friends! I've never had any before! response:	My name is Shigekiyo Yangu.
context: You guys...\You can see my Harvest?\Hey, you can see them, right?!\Yeah, it's called a Stand.\I'm Josuke Higashikata.\This is Okuyasu Nijimura.\Friends! I've never had any before!\My name is Shigekiyo Yangu. response:	I'm a second-year at Budogaoka Middle School.
context: You can see my Harvest?\Hey, you can see them, right?!\Yeah, it's called a Stand.\I'm Josuke Higashikata.\This is Okuyasu Nijimura.\Friends! I've never had any before!\My name is Shigekiyo Yangu.\I'm a second-year at Budogaoka Middle School. response:	I weigh 110 kilograms,
context: Hey, you can see them, right?!\Yeah, it's called a Stand.\I'm Josuke Higashikata.\This is Okuyasu Nijimura.\Friends! I've never had any before!\My name is Shigekiyo Yangu.\I'm a second-year at Budogaoka Middle School.\I weigh 110 kilograms, response:	and my Papa and Mama call me Shigechi.
context: Yeah, it's called a Stand.\I'm Josuke Higashikata.\This is Okuyasu Nijimura.\Friends! I've never had any before!\My name is Shigekiyo Yangu.\I'm a second-year at Budogaoka Middle School.\I weigh 110 kilograms,\and my Papa and Mama call me Shigechi. response:	Shige-chan turned into Shigechi.
context: I'm Josuke Higashikata.\This is Okuyasu Nijimura.\Friends! I've never had any before!\My name is Shigekiyo Yangu.\I'm a second-year at Budogaoka Middle School.\I weigh 110 kilograms,\and my Papa and Mama call me Shigechi.\Shige-chan turned into Shigechi. response:	My turtle I have at home is named Gonta.
context: This is Okuyasu Nijimura.\Friends! I've never had any before!\My name is Shigekiyo Yangu.\I'm a second-year at Budogaoka Middle School.\I weigh 110 kilograms,\and my Papa and Mama call me Shigechi.\Shige-chan turned into Shigechi.\My turtle I have at home is named Gonta. response:	The other day, I was wondering if the 41 yen, 62 yen,
context: Friends! I've never had any before!\My name is Shigekiyo Yangu.\I'm a second-year at Budogaoka Middle School.\I weigh 110 kilograms,\and my Papa and Mama call me Shigechi.\Shige-chan turned into Shigechi.\My turtle I have at home is named Gonta.\The other day, I was wondering if the 41 yen, 62 yen, response:	and 150 yen stamps all tasted different,
context: My name is Shigekiyo Yangu.\I'm a second-year at Budogaoka Middle School.\I weigh 110 kilograms,\and my Papa and Mama call me Shigechi.\Shige-chan turned into Shigechi.\My turtle I have at home is named Gonta.\The other day, I was wondering if the 41 yen, 62 yen,\and 150 yen stamps all tasted different, response:	so I was licking them all, and Mama yelled at me.
context: I'm a second-year at Budogaoka Middle School.\I weigh 110 kilograms,\and my Papa and Mama call me Shigechi.\Shige-chan turned into Shigechi.\My turtle I have at home is named Gonta.\The other day, I was wondering if the 41 yen, 62 yen,\and 150 yen stamps all tasted different,\so I was licking them all, and Mama yelled at me. response:	This is a picture of my Mama, who yelled at me.
context: I weigh 110 kilograms,\and my Papa and Mama call me Shigechi.\Shige-chan turned into Shigechi.\My turtle I have at home is named Gonta.\The other day, I was wondering if the 41 yen, 62 yen,\and 150 yen stamps all tasted different,\so I was licking them all, and Mama yelled at me.\This is a picture of my Mama, who yelled at me. response:	A picture...
context: and my Papa and Mama call me Shigechi.\Shige-chan turned into Shigechi.\My turtle I have at home is named Gonta.\The other day, I was wondering if the 41 yen, 62 yen,\and 150 yen stamps all tasted different,\so I was licking them all, and Mama yelled at me.\This is a picture of my Mama, who yelled at me.\A picture... response:	Wow, your mom's actually kinda hot.
context: Shige-chan turned into Shigechi.\My turtle I have at home is named Gonta.\The other day, I was wondering if the 41 yen, 62 yen,\and 150 yen stamps all tasted different,\so I was licking them all, and Mama yelled at me.\This is a picture of my Mama, who yelled at me.\A picture...\Wow, your mom's actually kinda hot. response:	How strange.
context: My turtle I have at home is named Gonta.\The other day, I was wondering if the 41 yen, 62 yen,\and 150 yen stamps all tasted different,\so I was licking them all, and Mama yelled at me.\This is a picture of my Mama, who yelled at me.\A picture...\Wow, your mom's actually kinda hot.\How strange. response:	U-Um...
context: The other day, I was wondering if the 41 yen, 62 yen,\and 150 yen stamps all tasted different,\so I was licking them all, and Mama yelled at me.\This is a picture of my Mama, who yelled at me.\A picture...\Wow, your mom's actually kinda hot.\How strange.\U-Um... response:	So, you call these things Harvest?
context: and 150 yen stamps all tasted different,\so I was licking them all, and Mama yelled at me.\This is a picture of my Mama, who yelled at me.\A picture...\Wow, your mom's actually kinda hot.\How strange.\U-Um...\So, you call these things Harvest? response:	Did they really gather up all this?
context: so I was licking them all, and Mama yelled at me.\This is a picture of my Mama, who yelled at me.\A picture...\Wow, your mom's actually kinda hot.\How strange.\U-Um...\So, you call these things Harvest?\Did they really gather up all this? response:	Yup. From ditches and underneath vending machines and things...
context: This is a picture of my Mama, who yelled at me.\A picture...\Wow, your mom's actually kinda hot.\How strange.\U-Um...\So, you call these things Harvest?\Did they really gather up all this?\Yup. From ditches and underneath vending machines and things... response:	But I'm not a thief.
context: A picture...\Wow, your mom's actually kinda hot.\How strange.\U-Um...\So, you call these things Harvest?\Did they really gather up all this?\Yup. From ditches and underneath vending machines and things...\But I'm not a thief. response:	The officer at the police box said that
context: Wow, your mom's actually kinda hot.\How strange.\U-Um...\So, you call these things Harvest?\Did they really gather up all this?\Yup. From ditches and underneath vending machines and things...\But I'm not a thief.\The officer at the police box said that response:	I didn't have to turn in any change under a hundred yen.
context: How strange.\U-Um...\So, you call these things Harvest?\Did they really gather up all this?\Yup. From ditches and underneath vending machines and things...\But I'm not a thief.\The officer at the police box said that\I didn't have to turn in any change under a hundred yen. response:	I hate bad things!
context: U-Um...\So, you call these things Harvest?\Did they really gather up all this?\Yup. From ditches and underneath vending machines and things...\But I'm not a thief.\The officer at the police box said that\I didn't have to turn in any change under a hundred yen.\I hate bad things! response:	That's not a bad thing at all!
context: So, you call these things Harvest?\Did they really gather up all this?\Yup. From ditches and underneath vending machines and things...\But I'm not a thief.\The officer at the police box said that\I didn't have to turn in any change under a hundred yen.\I hate bad things!\That's not a bad thing at all! response:	Actually, I think you're doing something great for society.
context: Did they really gather up all this?\Yup. From ditches and underneath vending machines and things...\But I'm not a thief.\The officer at the police box said that\I didn't have to turn in any change under a hundred yen.\I hate bad things!\That's not a bad thing at all!\Actually, I think you're doing something great for society. response:	Though it's not much,
