context: Atri... response:	A warm room, delicious food, friends who cherished you...
context: She's awake.\She looks like she's still a little drunk.\Yes, she does.\I'll be finishing up work in the office, so sorry, but please look after her, Obi.\Well, I don't mind.\How are you feeling, Miss?\Huh?\Yes? response:	Excuse me. Chief herbalist, is Obi here?
context: She looks like she's still a little drunk.\Yes, she does.\I'll be finishing up work in the office, so sorry, but please look after her, Obi.\Well, I don't mind.\How are you feeling, Miss?\Huh?\Yes?\Excuse me. Chief herbalist, is Obi here? response:	He wasn't in the room?
context: Yes, she does.\I'll be finishing up work in the office, so sorry, but please look after her, Obi.\Well, I don't mind.\How are you feeling, Miss?\Huh?\Yes?\Excuse me. Chief herbalist, is Obi here?\He wasn't in the room? response:	I had him look after Shirayuki...
context: I'll be finishing up work in the office, so sorry, but please look after her, Obi.\Well, I don't mind.\How are you feeling, Miss?\Huh?\Yes?\Excuse me. Chief herbalist, is Obi here?\He wasn't in the room?\I had him look after Shirayuki... response:	Look after her? Did something happen?
context: Well, I don't mind.\How are you feeling, Miss?\Huh?\Yes?\Excuse me. Chief herbalist, is Obi here?\He wasn't in the room?\I had him look after Shirayuki...\Look after her? Did something happen? response:	Uh, no, just...
context: How are you feeling, Miss?\Huh?\Yes?\Excuse me. Chief herbalist, is Obi here?\He wasn't in the room?\I had him look after Shirayuki...\Look after her? Did something happen?\Uh, no, just... response:	She passed out after I had her drink some strong liquor as a joke...
context: Huh?\Yes?\Excuse me. Chief herbalist, is Obi here?\He wasn't in the room?\I had him look after Shirayuki...\Look after her? Did something happen?\Uh, no, just...\She passed out after I had her drink some strong liquor as a joke... response:	Shirayuki really couldn't hold her liquor...
context: Yes?\Excuse me. Chief herbalist, is Obi here?\He wasn't in the room?\I had him look after Shirayuki...\Look after her? Did something happen?\Uh, no, just...\She passed out after I had her drink some strong liquor as a joke...\Shirayuki really couldn't hold her liquor... response:	So, I'm having her rest until she sobers up.
context: Excuse me. Chief herbalist, is Obi here?\He wasn't in the room?\I had him look after Shirayuki...\Look after her? Did something happen?\Uh, no, just...\She passed out after I had her drink some strong liquor as a joke...\Shirayuki really couldn't hold her liquor...\So, I'm having her rest until she sobers up. response:	In the room?
context: He wasn't in the room?\I had him look after Shirayuki...\Look after her? Did something happen?\Uh, no, just...\She passed out after I had her drink some strong liquor as a joke...\Shirayuki really couldn't hold her liquor...\So, I'm having her rest until she sobers up.\In the room? response:	Hm?
context: I had him look after Shirayuki...\Look after her? Did something happen?\Uh, no, just...\She passed out after I had her drink some strong liquor as a joke...\Shirayuki really couldn't hold her liquor...\So, I'm having her rest until she sobers up.\In the room?\Hm? response:	Shirayuki was not there, either.
context: Look after her? Did something happen?\Uh, no, just...\She passed out after I had her drink some strong liquor as a joke...\Shirayuki really couldn't hold her liquor...\So, I'm having her rest until she sobers up.\In the room?\Hm?\Shirayuki was not there, either. response:	Huh?
context: Uh, no, just...\She passed out after I had her drink some strong liquor as a joke...\Shirayuki really couldn't hold her liquor...\So, I'm having her rest until she sobers up.\In the room?\Hm?\Shirayuki was not there, either.\Huh? response:	Instead, I found a note to Zen...
context: She passed out after I had her drink some strong liquor as a joke...\Shirayuki really couldn't hold her liquor...\So, I'm having her rest until she sobers up.\In the room?\Hm?\Shirayuki was not there, either.\Huh?\Instead, I found a note to Zen... response:	Hm... well... was Obi with her?
context: Shirayuki really couldn't hold her liquor...\So, I'm having her rest until she sobers up.\In the room?\Hm?\Shirayuki was not there, either.\Huh?\Instead, I found a note to Zen...\Hm... well... was Obi with her? response:	Of course.
context: So, I'm having her rest until she sobers up.\In the room?\Hm?\Shirayuki was not there, either.\Huh?\Instead, I found a note to Zen...\Hm... well... was Obi with her?\Of course. response:	Well if she's with someone authorized by the prince, then it should be fine.
context: In the room?\Hm?\Shirayuki was not there, either.\Huh?\Instead, I found a note to Zen...\Hm... well... was Obi with her?\Of course.\Well if she's with someone authorized by the prince, then it should be fine. response:	Hey! Are you sure you're all right walking around?
context: Hm?\Shirayuki was not there, either.\Huh?\Instead, I found a note to Zen...\Hm... well... was Obi with her?\Of course.\Well if she's with someone authorized by the prince, then it should be fine.\Hey! Are you sure you're all right walking around? response:	Huh? That girl is down there right now.
context: Shirayuki was not there, either.\Huh?\Instead, I found a note to Zen...\Hm... well... was Obi with her?\Of course.\Well if she's with someone authorized by the prince, then it should be fine.\Hey! Are you sure you're all right walking around?\Huh? That girl is down there right now. response:	Hm?
context: Huh?\Instead, I found a note to Zen...\Hm... well... was Obi with her?\Of course.\Well if she's with someone authorized by the prince, then it should be fine.\Hey! Are you sure you're all right walking around?\Huh? That girl is down there right now.\Hm? response:	You know, Prince Zen's fiancee...
context: Instead, I found a note to Zen...\Hm... well... was Obi with her?\Of course.\Well if she's with someone authorized by the prince, then it should be fine.\Hey! Are you sure you're all right walking around?\Huh? That girl is down there right now.\Hm?\You know, Prince Zen's fiancee... response:	Huh? Where?
context: Hm... well... was Obi with her?\Of course.\Well if she's with someone authorized by the prince, then it should be fine.\Hey! Are you sure you're all right walking around?\Huh? That girl is down there right now.\Hm?\You know, Prince Zen's fiancee...\Huh? Where? response:	So she's the one?
context: Of course.\Well if she's with someone authorized by the prince, then it should be fine.\Hey! Are you sure you're all right walking around?\Huh? That girl is down there right now.\Hm?\You know, Prince Zen's fiancee...\Huh? Where?\So she's the one? response:	Her red hair is so unusual.
context: Well if she's with someone authorized by the prince, then it should be fine.\Hey! Are you sure you're all right walking around?\Huh? That girl is down there right now.\Hm?\You know, Prince Zen's fiancee...\Huh? Where?\So she's the one?\Her red hair is so unusual. response:	Well, it's not like there's a need to hide...
context: Hey! Are you sure you're all right walking around?\Huh? That girl is down there right now.\Hm?\You know, Prince Zen's fiancee...\Huh? Where?\So she's the one?\Her red hair is so unusual.\Well, it's not like there's a need to hide... response:	Jackets, household medicines they were running out of...
context: Huh? That girl is down there right now.\Hm?\You know, Prince Zen's fiancee...\Huh? Where?\So she's the one?\Her red hair is so unusual.\Well, it's not like there's a need to hide...\Jackets, household medicines they were running out of... response:	No, wait...
context: Hm?\You know, Prince Zen's fiancee...\Huh? Where?\So she's the one?\Her red hair is so unusual.\Well, it's not like there's a need to hide...\Jackets, household medicines they were running out of...\No, wait... response:	I can't ride a horse...!
context: You know, Prince Zen's fiancee...\Huh? Where?\So she's the one?\Her red hair is so unusual.\Well, it's not like there's a need to hide...\Jackets, household medicines they were running out of...\No, wait...\I can't ride a horse...! response:	A horse?
context: Huh? Where?\So she's the one?\Her red hair is so unusual.\Well, it's not like there's a need to hide...\Jackets, household medicines they were running out of...\No, wait...\I can't ride a horse...!\A horse? response:	That's right. Mitsuhide let me ride with him before...
context: So she's the one?\Her red hair is so unusual.\Well, it's not like there's a need to hide...\Jackets, household medicines they were running out of...\No, wait...\I can't ride a horse...!\A horse?\That's right. Mitsuhide let me ride with him before... response:	Heh, if I had an older brother, I think he'd be like Mitsuhide...
context: Her red hair is so unusual.\Well, it's not like there's a need to hide...\Jackets, household medicines they were running out of...\No, wait...\I can't ride a horse...!\A horse?\That's right. Mitsuhide let me ride with him before...\Heh, if I had an older brother, I think he'd be like Mitsuhide... response:	-She sure is drunk... -Wait, what I need right now is a horse... A horse...!
context: Well, it's not like there's a need to hide...\Jackets, household medicines they were running out of...\No, wait...\I can't ride a horse...!\A horse?\That's right. Mitsuhide let me ride with him before...\Heh, if I had an older brother, I think he'd be like Mitsuhide...\-She sure is drunk... -Wait, what I need right now is a horse... A horse...! response:	-A horse? Why a horse? -A horse... A horse...
context: Jackets, household medicines they were running out of...\No, wait...\I can't ride a horse...!\A horse?\That's right. Mitsuhide let me ride with him before...\Heh, if I had an older brother, I think he'd be like Mitsuhide...\-She sure is drunk... -Wait, what I need right now is a horse... A horse...!\-A horse? Why a horse? -A horse... A horse... response:	Miss, are you thinking of going to Tanbarun or something?
context: No, wait...\I can't ride a horse...!\A horse?\That's right. Mitsuhide let me ride with him before...\Heh, if I had an older brother, I think he'd be like Mitsuhide...\-She sure is drunk... -Wait, what I need right now is a horse... A horse...!\-A horse? Why a horse? -A horse... A horse...\Miss, are you thinking of going to Tanbarun or something? response:	Oh, it's Lord Haruka!
context: I can't ride a horse...!\A horse?\That's right. Mitsuhide let me ride with him before...\Heh, if I had an older brother, I think he'd be like Mitsuhide...\-She sure is drunk... -Wait, what I need right now is a horse... A horse...!\-A horse? Why a horse? -A horse... A horse...\Miss, are you thinking of going to Tanbarun or something?\Oh, it's Lord Haruka! response:	Why aren't you looking?
context: A horse?\That's right. Mitsuhide let me ride with him before...\Heh, if I had an older brother, I think he'd be like Mitsuhide...\-She sure is drunk... -Wait, what I need right now is a horse... A horse...!\-A horse? Why a horse? -A horse... A horse...\Miss, are you thinking of going to Tanbarun or something?\Oh, it's Lord Haruka!\Why aren't you looking? response:	Like he'd be there so conveniently.
context: That's right. Mitsuhide let me ride with him before...\Heh, if I had an older brother, I think he'd be like Mitsuhide...\-She sure is drunk... -Wait, what I need right now is a horse... A horse...!\-A horse? Why a horse? -A horse... A horse...\Miss, are you thinking of going to Tanbarun or something?\Oh, it's Lord Haruka!\Why aren't you looking?\Like he'd be there so conveniently. response:	It's not like I can take my eyes off you, either.
context: Heh, if I had an older brother, I think he'd be like Mitsuhide...\-She sure is drunk... -Wait, what I need right now is a horse... A horse...!\-A horse? Why a horse? -A horse... A horse...\Miss, are you thinking of going to Tanbarun or something?\Oh, it's Lord Haruka!\Why aren't you looking?\Like he'd be there so conveniently.\It's not like I can take my eyes off you, either. response:	Were you guarding me today after all?
context: -She sure is drunk... -Wait, what I need right now is a horse... A horse...!\-A horse? Why a horse? -A horse... A horse...\Miss, are you thinking of going to Tanbarun or something?\Oh, it's Lord Haruka!\Why aren't you looking?\Like he'd be there so conveniently.\It's not like I can take my eyes off you, either.\Were you guarding me today after all? response:	Um, thanks.
context: -A horse? Why a horse? -A horse... A horse...\Miss, are you thinking of going to Tanbarun or something?\Oh, it's Lord Haruka!\Why aren't you looking?\Like he'd be there so conveniently.\It's not like I can take my eyes off you, either.\Were you guarding me today after all?\Um, thanks. response:	It would've been better if the master did it, though.
context: Miss, are you thinking of going to Tanbarun or something?\Oh, it's Lord Haruka!\Why aren't you looking?\Like he'd be there so conveniently.\It's not like I can take my eyes off you, either.\Were you guarding me today after all?\Um, thanks.\It would've been better if the master did it, though. response:	What? It wouldn't have been better?
context: Oh, it's Lord Haruka!\Why aren't you looking?\Like he'd be there so conveniently.\It's not like I can take my eyes off you, either.\Were you guarding me today after all?\Um, thanks.\It would've been better if the master did it, though.\What? It wouldn't have been better? response:	If I borrowed the prince for a day, then Lord Haruka really would be angry.
context: Why aren't you looking?\Like he'd be there so conveniently.\It's not like I can take my eyes off you, either.\Were you guarding me today after all?\Um, thanks.\It would've been better if the master did it, though.\What? It wouldn't have been better?\If I borrowed the prince for a day, then Lord Haruka really would be angry. response:	O-Oh, yeah, that's true...
context: Like he'd be there so conveniently.\It's not like I can take my eyes off you, either.\Were you guarding me today after all?\Um, thanks.\It would've been better if the master did it, though.\What? It wouldn't have been better?\If I borrowed the prince for a day, then Lord Haruka really would be angry.\O-Oh, yeah, that's true... response:	Miss.
context: It's not like I can take my eyes off you, either.\Were you guarding me today after all?\Um, thanks.\It would've been better if the master did it, though.\What? It wouldn't have been better?\If I borrowed the prince for a day, then Lord Haruka really would be angry.\O-Oh, yeah, that's true...\Miss. response:	Hm?
context: Were you guarding me today after all?\Um, thanks.\It would've been better if the master did it, though.\What? It wouldn't have been better?\If I borrowed the prince for a day, then Lord Haruka really would be angry.\O-Oh, yeah, that's true...\Miss.\Hm? response:	Damn, did he notice me?
context: Um, thanks.\It would've been better if the master did it, though.\What? It wouldn't have been better?\If I borrowed the prince for a day, then Lord Haruka really would be angry.\O-Oh, yeah, that's true...\Miss.\Hm?\Damn, did he notice me? response:	Oh well, I'll just finish today's report...
context: It would've been better if the master did it, though.\What? It wouldn't have been better?\If I borrowed the prince for a day, then Lord Haruka really would be angry.\O-Oh, yeah, that's true...\Miss.\Hm?\Damn, did he notice me?\Oh well, I'll just finish today's report... response:	Will you wait here for a sec?
context: What? It wouldn't have been better?\If I borrowed the prince for a day, then Lord Haruka really would be angry.\O-Oh, yeah, that's true...\Miss.\Hm?\Damn, did he notice me?\Oh well, I'll just finish today's report...\Will you wait here for a sec? response:	S-Sure...
context: If I borrowed the prince for a day, then Lord Haruka really would be angry.\O-Oh, yeah, that's true...\Miss.\Hm?\Damn, did he notice me?\Oh well, I'll just finish today's report...\Will you wait here for a sec?\S-Sure... response:	Wh-?!
context: O-Oh, yeah, that's true...\Miss.\Hm?\Damn, did he notice me?\Oh well, I'll just finish today's report...\Will you wait here for a sec?\S-Sure...\Wh-?! response:	Red. There was contact. The sun set with no wind blowing.
context: Miss.\Hm?\Damn, did he notice me?\Oh well, I'll just finish today's report...\Will you wait here for a sec?\S-Sure...\Wh-?!\Red. There was contact. The sun set with no wind blowing. response:	Red... That's Shirayuki.
context: Hm?\Damn, did he notice me?\Oh well, I'll just finish today's report...\Will you wait here for a sec?\S-Sure...\Wh-?!\Red. There was contact. The sun set with no wind blowing.\Red... That's Shirayuki. response:	Does there was contact mean she saw Prince Zen?
context: Damn, did he notice me?\Oh well, I'll just finish today's report...\Will you wait here for a sec?\S-Sure...\Wh-?!\Red. There was contact. The sun set with no wind blowing.\Red... That's Shirayuki.\Does there was contact mean she saw Prince Zen? response:	Looks like you didn't see anyone else observing her today, huh?
context: Oh well, I'll just finish today's report...\Will you wait here for a sec?\S-Sure...\Wh-?!\Red. There was contact. The sun set with no wind blowing.\Red... That's Shirayuki.\Does there was contact mean she saw Prince Zen?\Looks like you didn't see anyone else observing her today, huh? response:	Who hired you?
context: Will you wait here for a sec?\S-Sure...\Wh-?!\Red. There was contact. The sun set with no wind blowing.\Red... That's Shirayuki.\Does there was contact mean she saw Prince Zen?\Looks like you didn't see anyone else observing her today, huh?\Who hired you? response:	Wh-What are you talking about?
context: S-Sure...\Wh-?!\Red. There was contact. The sun set with no wind blowing.\Red... That's Shirayuki.\Does there was contact mean she saw Prince Zen?\Looks like you didn't see anyone else observing her today, huh?\Who hired you?\Wh-What are you talking about? response:	That tube was lying on the floor, so I was just throwing it away...
context: Wh-?!\Red. There was contact. The sun set with no wind blowing.\Red... That's Shirayuki.\Does there was contact mean she saw Prince Zen?\Looks like you didn't see anyone else observing her today, huh?\Who hired you?\Wh-What are you talking about?\That tube was lying on the floor, so I was just throwing it away... response:	Oh? Well, why don't we have the palace guard listen to the rest of your story?
context: Red. There was contact. The sun set with no wind blowing.\Red... That's Shirayuki.\Does there was contact mean she saw Prince Zen?\Looks like you didn't see anyone else observing her today, huh?\Who hired you?\Wh-What are you talking about?\That tube was lying on the floor, so I was just throwing it away...\Oh? Well, why don't we have the palace guard listen to the rest of your story? response:	Obi!
context: Red... That's Shirayuki.\Does there was contact mean she saw Prince Zen?\Looks like you didn't see anyone else observing her today, huh?\Who hired you?\Wh-What are you talking about?\That tube was lying on the floor, so I was just throwing it away...\Oh? Well, why don't we have the palace guard listen to the rest of your story?\Obi! response:	Then, please excuse me.
context: Does there was contact mean she saw Prince Zen?\Looks like you didn't see anyone else observing her today, huh?\Who hired you?\Wh-What are you talking about?\That tube was lying on the floor, so I was just throwing it away...\Oh? Well, why don't we have the palace guard listen to the rest of your story?\Obi!\Then, please excuse me. response:	That's a strange way to gather companions.
context: Looks like you didn't see anyone else observing her today, huh?\Who hired you?\Wh-What are you talking about?\That tube was lying on the floor, so I was just throwing it away...\Oh? Well, why don't we have the palace guard listen to the rest of your story?\Obi!\Then, please excuse me.\That's a strange way to gather companions. response:	It's taken a long time, but well, you are the ones who will have a hard time.
context: Who hired you?\Wh-What are you talking about?\That tube was lying on the floor, so I was just throwing it away...\Oh? Well, why don't we have the palace guard listen to the rest of your story?\Obi!\Then, please excuse me.\That's a strange way to gather companions.\It's taken a long time, but well, you are the ones who will have a hard time. response:	Yes, sir.
context: Wh-What are you talking about?\That tube was lying on the floor, so I was just throwing it away...\Oh? Well, why don't we have the palace guard listen to the rest of your story?\Obi!\Then, please excuse me.\That's a strange way to gather companions.\It's taken a long time, but well, you are the ones who will have a hard time.\Yes, sir. response:	A-Are you okay?
context: That tube was lying on the floor, so I was just throwing it away...\Oh? Well, why don't we have the palace guard listen to the rest of your story?\Obi!\Then, please excuse me.\That's a strange way to gather companions.\It's taken a long time, but well, you are the ones who will have a hard time.\Yes, sir.\A-Are you okay? response:	More okay than you, Miss.
context: Oh? Well, why don't we have the palace guard listen to the rest of your story?\Obi!\Then, please excuse me.\That's a strange way to gather companions.\It's taken a long time, but well, you are the ones who will have a hard time.\Yes, sir.\A-Are you okay?\More okay than you, Miss. response:	You heard from the master, right? That people would come investigate you in swarms?
context: Obi!\Then, please excuse me.\That's a strange way to gather companions.\It's taken a long time, but well, you are the ones who will have a hard time.\Yes, sir.\A-Are you okay?\More okay than you, Miss.\You heard from the master, right? That people would come investigate you in swarms? response:	It's not like they'll gain anything from doing that!
context: Then, please excuse me.\That's a strange way to gather companions.\It's taken a long time, but well, you are the ones who will have a hard time.\Yes, sir.\A-Are you okay?\More okay than you, Miss.\You heard from the master, right? That people would come investigate you in swarms?\It's not like they'll gain anything from doing that! response:	Well, I'm sure there are folks who can't give up that easily.
context: That's a strange way to gather companions.\It's taken a long time, but well, you are the ones who will have a hard time.\Yes, sir.\A-Are you okay?\More okay than you, Miss.\You heard from the master, right? That people would come investigate you in swarms?\It's not like they'll gain anything from doing that!\Well, I'm sure there are folks who can't give up that easily. response:	Miss, can I ask what you think of what the master is doing as a prince?
context: It's taken a long time, but well, you are the ones who will have a hard time.\Yes, sir.\A-Are you okay?\More okay than you, Miss.\You heard from the master, right? That people would come investigate you in swarms?\It's not like they'll gain anything from doing that!\Well, I'm sure there are folks who can't give up that easily.\Miss, can I ask what you think of what the master is doing as a prince? response:	I think... it's very much like Zen...
context: Yes, sir.\A-Are you okay?\More okay than you, Miss.\You heard from the master, right? That people would come investigate you in swarms?\It's not like they'll gain anything from doing that!\Well, I'm sure there are folks who can't give up that easily.\Miss, can I ask what you think of what the master is doing as a prince?\I think... it's very much like Zen... response:	Really? And that's good enough?
context: A-Are you okay?\More okay than you, Miss.\You heard from the master, right? That people would come investigate you in swarms?\It's not like they'll gain anything from doing that!\Well, I'm sure there are folks who can't give up that easily.\Miss, can I ask what you think of what the master is doing as a prince?\I think... it's very much like Zen...\Really? And that's good enough? response:	Indeed, it is.
context: More okay than you, Miss.\You heard from the master, right? That people would come investigate you in swarms?\It's not like they'll gain anything from doing that!\Well, I'm sure there are folks who can't give up that easily.\Miss, can I ask what you think of what the master is doing as a prince?\I think... it's very much like Zen...\Really? And that's good enough?\Indeed, it is. response:	He acted proud even when we had just met-
context: You heard from the master, right? That people would come investigate you in swarms?\It's not like they'll gain anything from doing that!\Well, I'm sure there are folks who can't give up that easily.\Miss, can I ask what you think of what the master is doing as a prince?\I think... it's very much like Zen...\Really? And that's good enough?\Indeed, it is.\He acted proud even when we had just met- response:	He loves his country-
context: It's not like they'll gain anything from doing that!\Well, I'm sure there are folks who can't give up that easily.\Miss, can I ask what you think of what the master is doing as a prince?\I think... it's very much like Zen...\Really? And that's good enough?\Indeed, it is.\He acted proud even when we had just met-\He loves his country- response:	He has Kiki and Mitsuhide-
context: Well, I'm sure there are folks who can't give up that easily.\Miss, can I ask what you think of what the master is doing as a prince?\I think... it's very much like Zen...\Really? And that's good enough?\Indeed, it is.\He acted proud even when we had just met-\He loves his country-\He has Kiki and Mitsuhide- response:	Zen's always been a prince, and there are people who act because of that, right?
context: Miss, can I ask what you think of what the master is doing as a prince?\I think... it's very much like Zen...\Really? And that's good enough?\Indeed, it is.\He acted proud even when we had just met-\He loves his country-\He has Kiki and Mitsuhide-\Zen's always been a prince, and there are people who act because of that, right? response:	When I gave you permission to leave the grounds by yourself,
context: I think... it's very much like Zen...\Really? And that's good enough?\Indeed, it is.\He acted proud even when we had just met-\He loves his country-\He has Kiki and Mitsuhide-\Zen's always been a prince, and there are people who act because of that, right?\When I gave you permission to leave the grounds by yourself, response:	I did think of the possibility that you wouldn't come back.
context: Really? And that's good enough?\Indeed, it is.\He acted proud even when we had just met-\He loves his country-\He has Kiki and Mitsuhide-\Zen's always been a prince, and there are people who act because of that, right?\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back. response:	Forgive me.
context: Indeed, it is.\He acted proud even when we had just met-\He loves his country-\He has Kiki and Mitsuhide-\Zen's always been a prince, and there are people who act because of that, right?\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me. response:	It's not just Miss Kiki and Mitsuhide.
context: He acted proud even when we had just met-\He loves his country-\He has Kiki and Mitsuhide-\Zen's always been a prince, and there are people who act because of that, right?\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\It's not just Miss Kiki and Mitsuhide. response:	I think you being here is also a part of who he is as a prince.
context: He loves his country-\He has Kiki and Mitsuhide-\Zen's always been a prince, and there are people who act because of that, right?\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\It's not just Miss Kiki and Mitsuhide.\I think you being here is also a part of who he is as a prince. response:	That prince... What good would come of me defeating him?
context: He has Kiki and Mitsuhide-\Zen's always been a prince, and there are people who act because of that, right?\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\It's not just Miss Kiki and Mitsuhide.\I think you being here is also a part of who he is as a prince.\That prince... What good would come of me defeating him? response:	H-Huh?
context: Zen's always been a prince, and there are people who act because of that, right?\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\It's not just Miss Kiki and Mitsuhide.\I think you being here is also a part of who he is as a prince.\That prince... What good would come of me defeating him?\H-Huh? response:	I can't laugh at that...
context: When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\It's not just Miss Kiki and Mitsuhide.\I think you being here is also a part of who he is as a prince.\That prince... What good would come of me defeating him?\H-Huh?\I can't laugh at that... response:	Miss?
context: I did think of the possibility that you wouldn't come back.\Forgive me.\It's not just Miss Kiki and Mitsuhide.\I think you being here is also a part of who he is as a prince.\That prince... What good would come of me defeating him?\H-Huh?\I can't laugh at that...\Miss? response:	Of all things, I just keep hearing about how Zen is made fun of because I'm with him.
context: Forgive me.\It's not just Miss Kiki and Mitsuhide.\I think you being here is also a part of who he is as a prince.\That prince... What good would come of me defeating him?\H-Huh?\I can't laugh at that...\Miss?\Of all things, I just keep hearing about how Zen is made fun of because I'm with him. response:	I'm adding to his worries-
context: It's not just Miss Kiki and Mitsuhide.\I think you being here is also a part of who he is as a prince.\That prince... What good would come of me defeating him?\H-Huh?\I can't laugh at that...\Miss?\Of all things, I just keep hearing about how Zen is made fun of because I'm with him.\I'm adding to his worries- response:	Miss!
