context: dou ka please can you keep my se cret? response:	mu ga mu chuu da that's all right
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	I fail as a maid...
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\I fail as a maid... response:	Sign: sigh
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\I fail as a maid...\Sign: sigh response:	Sweets Feast at Maid Latte
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\I fail as a maid...\Sign: sigh\Sweets Feast at Maid Latte response:	Sweets Feast at Maid Latte
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\I fail as a maid...\Sign: sigh\Sweets Feast at Maid Latte\Sweets Feast at Maid Latte response:	A few days later...
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\I fail as a maid...\Sign: sigh\Sweets Feast at Maid Latte\Sweets Feast at Maid Latte\A few days later... response:	Mr. Bisanki
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\I fail as a maid...\Sign: sigh\Sweets Feast at Maid Latte\Sweets Feast at Maid Latte\A few days later...\Mr. Bisanki response:	At Maid Latte's 2nd Floor!
context: 1. Personal dates with the customers are prohibited.\I fail as a maid...\Sign: sigh\Sweets Feast at Maid Latte\Sweets Feast at Maid Latte\A few days later...\Mr. Bisanki\At Maid Latte's 2nd Floor! response:	Full-Course Sweets Challenge
context: I fail as a maid...\Sign: sigh\Sweets Feast at Maid Latte\Sweets Feast at Maid Latte\A few days later...\Mr. Bisanki\At Maid Latte's 2nd Floor!\Full-Course Sweets Challenge response:	Erika For Life!
context: Sign: sigh\Sweets Feast at Maid Latte\Sweets Feast at Maid Latte\A few days later...\Mr. Bisanki\At Maid Latte's 2nd Floor!\Full-Course Sweets Challenge\Erika For Life! response:	Delicious!
context: Sweets Feast at Maid Latte\Sweets Feast at Maid Latte\A few days later...\Mr. Bisanki\At Maid Latte's 2nd Floor!\Full-Course Sweets Challenge\Erika For Life!\Delicious! response:	Book titles: Kitchen Notes
context: Sweets Feast at Maid Latte\A few days later...\Mr. Bisanki\At Maid Latte's 2nd Floor!\Full-Course Sweets Challenge\Erika For Life!\Delicious!\Book titles: Kitchen Notes response:	Finished the leftovers in one go
context: A few days later...\Mr. Bisanki\At Maid Latte's 2nd Floor!\Full-Course Sweets Challenge\Erika For Life!\Delicious!\Book titles: Kitchen Notes\Finished the leftovers in one go response:	Good luck, master!
context: Mr. Bisanki\At Maid Latte's 2nd Floor!\Full-Course Sweets Challenge\Erika For Life!\Delicious!\Book titles: Kitchen Notes\Finished the leftovers in one go\Good luck, master! response:	K.O.
context: At Maid Latte's 2nd Floor!\Full-Course Sweets Challenge\Erika For Life!\Delicious!\Book titles: Kitchen Notes\Finished the leftovers in one go\Good luck, master!\K.O. response:	Last bite
context: Full-Course Sweets Challenge\Erika For Life!\Delicious!\Book titles: Kitchen Notes\Finished the leftovers in one go\Good luck, master!\K.O.\Last bite response:	Exhausted...
context: Erika For Life!\Delicious!\Book titles: Kitchen Notes\Finished the leftovers in one go\Good luck, master!\K.O.\Last bite\Exhausted... response:	Handmade cookies by maids
context: Delicious!\Book titles: Kitchen Notes\Finished the leftovers in one go\Good luck, master!\K.O.\Last bite\Exhausted...\Handmade cookies by maids response:	A pair of special lunch set coupons
context: Book titles: Kitchen Notes\Finished the leftovers in one go\Good luck, master!\K.O.\Last bite\Exhausted...\Handmade cookies by maids\A pair of special lunch set coupons response:	A photo with the maid of your choice
context: Finished the leftovers in one go\Good luck, master!\K.O.\Last bite\Exhausted...\Handmade cookies by maids\A pair of special lunch set coupons\A photo with the maid of your choice response:	Maid Latte Choose 1 Satsuki Honoka Misaki(Misa) Gon Subaru Erika Sayu
context: Good luck, master!\K.O.\Last bite\Exhausted...\Handmade cookies by maids\A pair of special lunch set coupons\A photo with the maid of your choice\Maid Latte Choose 1 Satsuki Honoka Misaki(Misa) Gon Subaru Erika Sayu response:	Sign: Congrats!
context: K.O.\Last bite\Exhausted...\Handmade cookies by maids\A pair of special lunch set coupons\A photo with the maid of your choice\Maid Latte Choose 1 Satsuki Honoka Misaki(Misa) Gon Subaru Erika Sayu\Sign: Congrats! response:	Heave-ho
context: Last bite\Exhausted...\Handmade cookies by maids\A pair of special lunch set coupons\A photo with the maid of your choice\Maid Latte Choose 1 Satsuki Honoka Misaki(Misa) Gon Subaru Erika Sayu\Sign: Congrats!\Heave-ho response:	All-you-can-eat!
context: Exhausted...\Handmade cookies by maids\A pair of special lunch set coupons\A photo with the maid of your choice\Maid Latte Choose 1 Satsuki Honoka Misaki(Misa) Gon Subaru Erika Sayu\Sign: Congrats!\Heave-ho\All-you-can-eat! response:	All-you-can-eat!
context: Handmade cookies by maids\A pair of special lunch set coupons\A photo with the maid of your choice\Maid Latte Choose 1 Satsuki Honoka Misaki(Misa) Gon Subaru Erika Sayu\Sign: Congrats!\Heave-ho\All-you-can-eat!\All-you-can-eat! response:	All-you-can-eat!
context: A pair of special lunch set coupons\A photo with the maid of your choice\Maid Latte Choose 1 Satsuki Honoka Misaki(Misa) Gon Subaru Erika Sayu\Sign: Congrats!\Heave-ho\All-you-can-eat!\All-you-can-eat!\All-you-can-eat! response:	All-you-can-eat!
context: A photo with the maid of your choice\Maid Latte Choose 1 Satsuki Honoka Misaki(Misa) Gon Subaru Erika Sayu\Sign: Congrats!\Heave-ho\All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\All-you-can-eat! response:	Student Council Room
context: Maid Latte Choose 1 Satsuki Honoka Misaki(Misa) Gon Subaru Erika Sayu\Sign: Congrats!\Heave-ho\All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\Student Council Room response:	Student Council Room
context: Sign: Congrats!\Heave-ho\All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\Student Council Room\Student Council Room response:	Completely Denying!
context: Heave-ho\All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\Student Council Room\Student Council Room\Completely Denying! response:	Thinking...
context: All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\Student Council Room\Student Council Room\Completely Denying!\Thinking... response:	Today
context: All-you-can-eat!\All-you-can-eat!\All-you-can-eat!\Student Council Room\Student Council Room\Completely Denying!\Thinking...\Today response:	Maid Latte
context: All-you-can-eat!\All-you-can-eat!\Student Council Room\Student Council Room\Completely Denying!\Thinking...\Today\Maid Latte response:	Family
context: All-you-can-eat!\Student Council Room\Student Council Room\Completely Denying!\Thinking...\Today\Maid Latte\Family response:	Family
context: Student Council Room\Student Council Room\Completely Denying!\Thinking...\Today\Maid Latte\Family\Family response:	3 days before...
context: Student Council Room\Completely Denying!\Thinking...\Today\Maid Latte\Family\Family\3 days before... response:	Sign: Maid Latte
context: Completely Denying!\Thinking...\Today\Maid Latte\Family\Family\3 days before...\Sign: Maid Latte response:	So eat up everything
context: Thinking...\Today\Maid Latte\Family\Family\3 days before...\Sign: Maid Latte\So eat up everything response:	Something urgent came up
context: Today\Maid Latte\Family\Family\3 days before...\Sign: Maid Latte\So eat up everything\Something urgent came up response:	Nice to meet you
context: Maid Latte\Family\Family\3 days before...\Sign: Maid Latte\So eat up everything\Something urgent came up\Nice to meet you response:	Master
context: Family\Family\3 days before...\Sign: Maid Latte\So eat up everything\Something urgent came up\Nice to meet you\Master response:	I'm Misa
context: Family\3 days before...\Sign: Maid Latte\So eat up everything\Something urgent came up\Nice to meet you\Master\I'm Misa response:	I wonder what the special lunch set looks like
context: 3 days before...\Sign: Maid Latte\So eat up everything\Something urgent came up\Nice to meet you\Master\I'm Misa\I wonder what the special lunch set looks like response:	Wink
context: Sign: Maid Latte\So eat up everything\Something urgent came up\Nice to meet you\Master\I'm Misa\I wonder what the special lunch set looks like\Wink response:	Thanks for your work!
context: So eat up everything\Something urgent came up\Nice to meet you\Master\I'm Misa\I wonder what the special lunch set looks like\Wink\Thanks for your work! response:	Carbonated Drink
context: Something urgent came up\Nice to meet you\Master\I'm Misa\I wonder what the special lunch set looks like\Wink\Thanks for your work!\Carbonated Drink response:	Hoho, I see
context: Nice to meet you\Master\I'm Misa\I wonder what the special lunch set looks like\Wink\Thanks for your work!\Carbonated Drink\Hoho, I see response:	Sign: Sloth
context: Master\I'm Misa\I wonder what the special lunch set looks like\Wink\Thanks for your work!\Carbonated Drink\Hoho, I see\Sign: Sloth response:	Sign: Beautified version
context: I'm Misa\I wonder what the special lunch set looks like\Wink\Thanks for your work!\Carbonated Drink\Hoho, I see\Sign: Sloth\Sign: Beautified version response:	Fight on, Misaki...!
context: I wonder what the special lunch set looks like\Wink\Thanks for your work!\Carbonated Drink\Hoho, I see\Sign: Sloth\Sign: Beautified version\Fight on, Misaki...! response:	Dropped the conversation
context: Wink\Thanks for your work!\Carbonated Drink\Hoho, I see\Sign: Sloth\Sign: Beautified version\Fight on, Misaki...!\Dropped the conversation response:	Dropped the conversation
context: Thanks for your work!\Carbonated Drink\Hoho, I see\Sign: Sloth\Sign: Beautified version\Fight on, Misaki...!\Dropped the conversation\Dropped the conversation response:	Meanwhile
context: Carbonated Drink\Hoho, I see\Sign: Sloth\Sign: Beautified version\Fight on, Misaki...!\Dropped the conversation\Dropped the conversation\Meanwhile response:	I'm sure...!
context: Hoho, I see\Sign: Sloth\Sign: Beautified version\Fight on, Misaki...!\Dropped the conversation\Dropped the conversation\Meanwhile\I'm sure...! response:	The fearsome Black...
context: Sign: Sloth\Sign: Beautified version\Fight on, Misaki...!\Dropped the conversation\Dropped the conversation\Meanwhile\I'm sure...!\The fearsome Black... response:	Preview
context: Sign: Beautified version\Fight on, Misaki...!\Dropped the conversation\Dropped the conversation\Meanwhile\I'm sure...!\The fearsome Black...\Preview response:	Melting things away with Latte Magic
context: Fight on, Misaki...!\Dropped the conversation\Dropped the conversation\Meanwhile\I'm sure...!\The fearsome Black...\Preview\Melting things away with Latte Magic response:	Melting things away with Latte Magic
context: Dropped the conversation\Dropped the conversation\Meanwhile\I'm sure...!\The fearsome Black...\Preview\Melting things away with Latte Magic\Melting things away with Latte Magic response:	You accidentally promised a customer?
context: Dropped the conversation\Meanwhile\I'm sure...!\The fearsome Black...\Preview\Melting things away with Latte Magic\Melting things away with Latte Magic\You accidentally promised a customer? response:	Yeah... I was caught off guard.
context: Meanwhile\I'm sure...!\The fearsome Black...\Preview\Melting things away with Latte Magic\Melting things away with Latte Magic\You accidentally promised a customer?\Yeah... I was caught off guard. response:	He's a regular supporter of mine. I was busy serving, and...
context: I'm sure...!\The fearsome Black...\Preview\Melting things away with Latte Magic\Melting things away with Latte Magic\You accidentally promised a customer?\Yeah... I was caught off guard.\He's a regular supporter of mine. I was busy serving, and... response:	S-Seriously?!
context: The fearsome Black...\Preview\Melting things away with Latte Magic\Melting things away with Latte Magic\You accidentally promised a customer?\Yeah... I was caught off guard.\He's a regular supporter of mine. I was busy serving, and...\S-Seriously?! response:	What did you promise him?
context: Preview\Melting things away with Latte Magic\Melting things away with Latte Magic\You accidentally promised a customer?\Yeah... I was caught off guard.\He's a regular supporter of mine. I was busy serving, and...\S-Seriously?!\What did you promise him? response:	There will be an event this weekend, right?
context: Melting things away with Latte Magic\Melting things away with Latte Magic\You accidentally promised a customer?\Yeah... I was caught off guard.\He's a regular supporter of mine. I was busy serving, and...\S-Seriously?!\What did you promise him?\There will be an event this weekend, right? response:	Going out on a personal date is forbidden by Maid Latte's rules.
context: Melting things away with Latte Magic\You accidentally promised a customer?\Yeah... I was caught off guard.\He's a regular supporter of mine. I was busy serving, and...\S-Seriously?!\What did you promise him?\There will be an event this weekend, right?\Going out on a personal date is forbidden by Maid Latte's rules. response:	Damn, I've done it now...
context: You accidentally promised a customer?\Yeah... I was caught off guard.\He's a regular supporter of mine. I was busy serving, and...\S-Seriously?!\What did you promise him?\There will be an event this weekend, right?\Going out on a personal date is forbidden by Maid Latte's rules.\Damn, I've done it now... response:	Now I have to pay the price...
context: Yeah... I was caught off guard.\He's a regular supporter of mine. I was busy serving, and...\S-Seriously?!\What did you promise him?\There will be an event this weekend, right?\Going out on a personal date is forbidden by Maid Latte's rules.\Damn, I've done it now...\Now I have to pay the price... response:	It's no problem as long as that customer doesn't win, right?
context: He's a regular supporter of mine. I was busy serving, and...\S-Seriously?!\What did you promise him?\There will be an event this weekend, right?\Going out on a personal date is forbidden by Maid Latte's rules.\Damn, I've done it now...\Now I have to pay the price...\It's no problem as long as that customer doesn't win, right? response:	I'm rather confident in eating sweet foods.
context: S-Seriously?!\What did you promise him?\There will be an event this weekend, right?\Going out on a personal date is forbidden by Maid Latte's rules.\Damn, I've done it now...\Now I have to pay the price...\It's no problem as long as that customer doesn't win, right?\I'm rather confident in eating sweet foods. response:	B-But...
context: What did you promise him?\There will be an event this weekend, right?\Going out on a personal date is forbidden by Maid Latte's rules.\Damn, I've done it now...\Now I have to pay the price...\It's no problem as long as that customer doesn't win, right?\I'm rather confident in eating sweet foods.\B-But... response:	Just leave it to me!
context: There will be an event this weekend, right?\Going out on a personal date is forbidden by Maid Latte's rules.\Damn, I've done it now...\Now I have to pay the price...\It's no problem as long as that customer doesn't win, right?\I'm rather confident in eating sweet foods.\B-But...\Just leave it to me! response:	I'm going out.
context: Going out on a personal date is forbidden by Maid Latte's rules.\Damn, I've done it now...\Now I have to pay the price...\It's no problem as long as that customer doesn't win, right?\I'm rather confident in eating sweet foods.\B-But...\Just leave it to me!\I'm going out. response:	Does this disguise really work?
context: Damn, I've done it now...\Now I have to pay the price...\It's no problem as long as that customer doesn't win, right?\I'm rather confident in eating sweet foods.\B-But...\Just leave it to me!\I'm going out.\Does this disguise really work? response:	It's fine! I'll dress you up in Visual Kei style!
context: Now I have to pay the price...\It's no problem as long as that customer doesn't win, right?\I'm rather confident in eating sweet foods.\B-But...\Just leave it to me!\I'm going out.\Does this disguise really work?\It's fine! I'll dress you up in Visual Kei style! response:	Is that...
context: It's no problem as long as that customer doesn't win, right?\I'm rather confident in eating sweet foods.\B-But...\Just leave it to me!\I'm going out.\Does this disguise really work?\It's fine! I'll dress you up in Visual Kei style!\Is that... response:	Correct!
context: I'm rather confident in eating sweet foods.\B-But...\Just leave it to me!\I'm going out.\Does this disguise really work?\It's fine! I'll dress you up in Visual Kei style!\Is that...\Correct! response:	Why is the transfer student here?
context: B-But...\Just leave it to me!\I'm going out.\Does this disguise really work?\It's fine! I'll dress you up in Visual Kei style!\Is that...\Correct!\Why is the transfer student here? response:	I participated in a parfait feast in another cafe
