context: TS response:	-OP-
context: You're gobbling.\We're running a marathon in the third period.\I need to eat or I'll die.\I'll be going then. Clean up after you're done eating.\You're not my mother!\Thanks for the meal!\Co-op store\Was I late? response:	It's mine!
context: We're running a marathon in the third period.\I need to eat or I'll die.\I'll be going then. Clean up after you're done eating.\You're not my mother!\Thanks for the meal!\Co-op store\Was I late?\It's mine! response:	Eh, Suguro?!
context: I need to eat or I'll die.\I'll be going then. Clean up after you're done eating.\You're not my mother!\Thanks for the meal!\Co-op store\Was I late?\It's mine!\Eh, Suguro?! response:	Look, isn't that Okumura? Rare to see you around here.
context: I'll be going then. Clean up after you're done eating.\You're not my mother!\Thanks for the meal!\Co-op store\Was I late?\It's mine!\Eh, Suguro?!\Look, isn't that Okumura? Rare to see you around here. response:	Hey!
context: You're not my mother!\Thanks for the meal!\Co-op store\Was I late?\It's mine!\Eh, Suguro?!\Look, isn't that Okumura? Rare to see you around here.\Hey! response:	How long are you going to hold on to it?
context: Thanks for the meal!\Co-op store\Was I late?\It's mine!\Eh, Suguro?!\Look, isn't that Okumura? Rare to see you around here.\Hey!\How long are you going to hold on to it? response:	Let go already!
context: Co-op store\Was I late?\It's mine!\Eh, Suguro?!\Look, isn't that Okumura? Rare to see you around here.\Hey!\How long are you going to hold on to it?\Let go already! response:	This is my sandwich!
context: Was I late?\It's mine!\Eh, Suguro?!\Look, isn't that Okumura? Rare to see you around here.\Hey!\How long are you going to hold on to it?\Let go already!\This is my sandwich! response:	I grabbed it first!
context: It's mine!\Eh, Suguro?!\Look, isn't that Okumura? Rare to see you around here.\Hey!\How long are you going to hold on to it?\Let go already!\This is my sandwich!\I grabbed it first! response:	Come on, Bon...
context: Eh, Suguro?!\Look, isn't that Okumura? Rare to see you around here.\Hey!\How long are you going to hold on to it?\Let go already!\This is my sandwich!\I grabbed it first!\Come on, Bon... response:	You're not kids anymore...
context: Look, isn't that Okumura? Rare to see you around here.\Hey!\How long are you going to hold on to it?\Let go already!\This is my sandwich!\I grabbed it first!\Come on, Bon...\You're not kids anymore... response:	Listen, Konekomaru.
context: Hey!\How long are you going to hold on to it?\Let go already!\This is my sandwich!\I grabbed it first!\Come on, Bon...\You're not kids anymore...\Listen, Konekomaru. response:	Grudges about food can go on for seven generations!
context: How long are you going to hold on to it?\Let go already!\This is my sandwich!\I grabbed it first!\Come on, Bon...\You're not kids anymore...\Listen, Konekomaru.\Grudges about food can go on for seven generations! response:	To prevent that we must settle it here and now!
context: Let go already!\This is my sandwich!\I grabbed it first!\Come on, Bon...\You're not kids anymore...\Listen, Konekomaru.\Grudges about food can go on for seven generations!\To prevent that we must settle it here and now! response:	So you're called Konekomaru? That's one strange name.
context: This is my sandwich!\I grabbed it first!\Come on, Bon...\You're not kids anymore...\Listen, Konekomaru.\Grudges about food can go on for seven generations!\To prevent that we must settle it here and now!\So you're called Konekomaru? That's one strange name. response:	Hey, I'm talking to you!
context: I grabbed it first!\Come on, Bon...\You're not kids anymore...\Listen, Konekomaru.\Grudges about food can go on for seven generations!\To prevent that we must settle it here and now!\So you're called Konekomaru? That's one strange name.\Hey, I'm talking to you! response:	Was I late?
context: Come on, Bon...\You're not kids anymore...\Listen, Konekomaru.\Grudges about food can go on for seven generations!\To prevent that we must settle it here and now!\So you're called Konekomaru? That's one strange name.\Hey, I'm talking to you!\Was I late? response:	Okumura!
context: You're not kids anymore...\Listen, Konekomaru.\Grudges about food can go on for seven generations!\To prevent that we must settle it here and now!\So you're called Konekomaru? That's one strange name.\Hey, I'm talking to you!\Was I late?\Okumura! response:	And who are you?
context: Listen, Konekomaru.\Grudges about food can go on for seven generations!\To prevent that we must settle it here and now!\So you're called Konekomaru? That's one strange name.\Hey, I'm talking to you!\Was I late?\Okumura!\And who are you? response:	We're freshmen in the Special Advancement department, just like you!
context: Grudges about food can go on for seven generations!\To prevent that we must settle it here and now!\So you're called Konekomaru? That's one strange name.\Hey, I'm talking to you!\Was I late?\Okumura!\And who are you?\We're freshmen in the Special Advancement department, just like you! response:	I'm Hashino!
context: To prevent that we must settle it here and now!\So you're called Konekomaru? That's one strange name.\Hey, I'm talking to you!\Was I late?\Okumura!\And who are you?\We're freshmen in the Special Advancement department, just like you!\I'm Hashino! response:	I'm Nishiwaki!
context: So you're called Konekomaru? That's one strange name.\Hey, I'm talking to you!\Was I late?\Okumura!\And who are you?\We're freshmen in the Special Advancement department, just like you!\I'm Hashino!\I'm Nishiwaki! response:	I'm Oomoto!
context: Hey, I'm talking to you!\Was I late?\Okumura!\And who are you?\We're freshmen in the Special Advancement department, just like you!\I'm Hashino!\I'm Nishiwaki!\I'm Oomoto! response:	And how may I help you?
context: Was I late?\Okumura!\And who are you?\We're freshmen in the Special Advancement department, just like you!\I'm Hashino!\I'm Nishiwaki!\I'm Oomoto!\And how may I help you? response:	I thought the shop may sell out quick...
context: Okumura!\And who are you?\We're freshmen in the Special Advancement department, just like you!\I'm Hashino!\I'm Nishiwaki!\I'm Oomoto!\And how may I help you?\I thought the shop may sell out quick... response:	So I made you lunch...
context: And who are you?\We're freshmen in the Special Advancement department, just like you!\I'm Hashino!\I'm Nishiwaki!\I'm Oomoto!\And how may I help you?\I thought the shop may sell out quick...\So I made you lunch... response:	Please have some if you'd like.
context: We're freshmen in the Special Advancement department, just like you!\I'm Hashino!\I'm Nishiwaki!\I'm Oomoto!\And how may I help you?\I thought the shop may sell out quick...\So I made you lunch...\Please have some if you'd like. response:	Hey, I was here first!
context: I'm Hashino!\I'm Nishiwaki!\I'm Oomoto!\And how may I help you?\I thought the shop may sell out quick...\So I made you lunch...\Please have some if you'd like.\Hey, I was here first! response:	What are you saying?! It was me!
context: I'm Nishiwaki!\I'm Oomoto!\And how may I help you?\I thought the shop may sell out quick...\So I made you lunch...\Please have some if you'd like.\Hey, I was here first!\What are you saying?! It was me! response:	Umm...
context: I'm Oomoto!\And how may I help you?\I thought the shop may sell out quick...\So I made you lunch...\Please have some if you'd like.\Hey, I was here first!\What are you saying?! It was me!\Umm... response:	What's going on there?
context: And how may I help you?\I thought the shop may sell out quick...\So I made you lunch...\Please have some if you'd like.\Hey, I was here first!\What are you saying?! It was me!\Umm...\What's going on there? response:	Our young teacher is popular with girls.
context: I thought the shop may sell out quick...\So I made you lunch...\Please have some if you'd like.\Hey, I was here first!\What are you saying?! It was me!\Umm...\What's going on there?\Our young teacher is popular with girls. response:	They're so different even though they're brothers...
context: So I made you lunch...\Please have some if you'd like.\Hey, I was here first!\What are you saying?! It was me!\Umm...\What's going on there?\Our young teacher is popular with girls.\They're so different even though they're brothers... response:	What do you mean, Konekomaru?
context: Please have some if you'd like.\Hey, I was here first!\What are you saying?! It was me!\Umm...\What's going on there?\Our young teacher is popular with girls.\They're so different even though they're brothers...\What do you mean, Konekomaru? response:	Why are you getting so familiar?!
context: Hey, I was here first!\What are you saying?! It was me!\Umm...\What's going on there?\Our young teacher is popular with girls.\They're so different even though they're brothers...\What do you mean, Konekomaru?\Why are you getting so familiar?! response:	Rin...
context: What are you saying?! It was me!\Umm...\What's going on there?\Our young teacher is popular with girls.\They're so different even though they're brothers...\What do you mean, Konekomaru?\Why are you getting so familiar?!\Rin... response:	Sorry, I promised my brother to have lunch with him.
context: Umm...\What's going on there?\Our young teacher is popular with girls.\They're so different even though they're brothers...\What do you mean, Konekomaru?\Why are you getting so familiar?!\Rin...\Sorry, I promised my brother to have lunch with him. response:	Excuse me!
context: What's going on there?\Our young teacher is popular with girls.\They're so different even though they're brothers...\What do you mean, Konekomaru?\Why are you getting so familiar?!\Rin...\Sorry, I promised my brother to have lunch with him.\Excuse me! response:	Come!
context: Our young teacher is popular with girls.\They're so different even though they're brothers...\What do you mean, Konekomaru?\Why are you getting so familiar?!\Rin...\Sorry, I promised my brother to have lunch with him.\Excuse me!\Come! response:	Okumura! Please wait!
context: They're so different even though they're brothers...\What do you mean, Konekomaru?\Why are you getting so familiar?!\Rin...\Sorry, I promised my brother to have lunch with him.\Excuse me!\Come!\Okumura! Please wait! response:	What the hell...?
context: What do you mean, Konekomaru?\Why are you getting so familiar?!\Rin...\Sorry, I promised my brother to have lunch with him.\Excuse me!\Come!\Okumura! Please wait!\What the hell...? response:	You saved me, Rin.
context: Why are you getting so familiar?!\Rin...\Sorry, I promised my brother to have lunch with him.\Excuse me!\Come!\Okumura! Please wait!\What the hell...?\You saved me, Rin. response:	Didn't they make lunch for you?
context: Rin...\Sorry, I promised my brother to have lunch with him.\Excuse me!\Come!\Okumura! Please wait!\What the hell...?\You saved me, Rin.\Didn't they make lunch for you? response:	Why didn't you take it? Such a waste.
context: Sorry, I promised my brother to have lunch with him.\Excuse me!\Come!\Okumura! Please wait!\What the hell...?\You saved me, Rin.\Didn't they make lunch for you?\Why didn't you take it? Such a waste. response:	I couldn't eat all three and choosing just one could get really ugly.
context: Excuse me!\Come!\Okumura! Please wait!\What the hell...?\You saved me, Rin.\Didn't they make lunch for you?\Why didn't you take it? Such a waste.\I couldn't eat all three and choosing just one could get really ugly. response:	Wow, this looks so delicious!
context: Come!\Okumura! Please wait!\What the hell...?\You saved me, Rin.\Didn't they make lunch for you?\Why didn't you take it? Such a waste.\I couldn't eat all three and choosing just one could get really ugly.\Wow, this looks so delicious! response:	This is a school cafeteria and yet there's lobster and stuff!
context: Okumura! Please wait!\What the hell...?\You saved me, Rin.\Didn't they make lunch for you?\Why didn't you take it? Such a waste.\I couldn't eat all three and choosing just one could get really ugly.\Wow, this looks so delicious!\This is a school cafeteria and yet there's lobster and stuff! response:	Are you listening?
context: What the hell...?\You saved me, Rin.\Didn't they make lunch for you?\Why didn't you take it? Such a waste.\I couldn't eat all three and choosing just one could get really ugly.\Wow, this looks so delicious!\This is a school cafeteria and yet there's lobster and stuff!\Are you listening? response:	Amazing! French, Chinese, Italian... There's everything!
context: You saved me, Rin.\Didn't they make lunch for you?\Why didn't you take it? Such a waste.\I couldn't eat all three and choosing just one could get really ugly.\Wow, this looks so delicious!\This is a school cafeteria and yet there's lobster and stuff!\Are you listening?\Amazing! French, Chinese, Italian... There's everything! response:	It's because the True Cross Academy is mostly for rich kids.
context: Didn't they make lunch for you?\Why didn't you take it? Such a waste.\I couldn't eat all three and choosing just one could get really ugly.\Wow, this looks so delicious!\This is a school cafeteria and yet there's lobster and stuff!\Are you listening?\Amazing! French, Chinese, Italian... There's everything!\It's because the True Cross Academy is mostly for rich kids. response:	So I'm finally one of the celebs?!
context: Why didn't you take it? Such a waste.\I couldn't eat all three and choosing just one could get really ugly.\Wow, this looks so delicious!\This is a school cafeteria and yet there's lobster and stuff!\Are you listening?\Amazing! French, Chinese, Italian... There's everything!\It's because the True Cross Academy is mostly for rich kids.\So I'm finally one of the celebs?! response:	First we need to buy food tickets from that vending machine.
context: I couldn't eat all three and choosing just one could get really ugly.\Wow, this looks so delicious!\This is a school cafeteria and yet there's lobster and stuff!\Are you listening?\Amazing! French, Chinese, Italian... There's everything!\It's because the True Cross Academy is mostly for rich kids.\So I'm finally one of the celebs?!\First we need to buy food tickets from that vending machine. response:	What should I get?
context: Wow, this looks so delicious!\This is a school cafeteria and yet there's lobster and stuff!\Are you listening?\Amazing! French, Chinese, Italian... There's everything!\It's because the True Cross Academy is mostly for rich kids.\So I'm finally one of the celebs?!\First we need to buy food tickets from that vending machine.\What should I get? response:	What the hell?! That's one zero too much there!
context: This is a school cafeteria and yet there's lobster and stuff!\Are you listening?\Amazing! French, Chinese, Italian... There's everything!\It's because the True Cross Academy is mostly for rich kids.\So I'm finally one of the celebs?!\First we need to buy food tickets from that vending machine.\What should I get?\What the hell?! That's one zero too much there! response:	I told you, this is a school for rich kids.
context: Are you listening?\Amazing! French, Chinese, Italian... There's everything!\It's because the True Cross Academy is mostly for rich kids.\So I'm finally one of the celebs?!\First we need to buy food tickets from that vending machine.\What should I get?\What the hell?! That's one zero too much there!\I told you, this is a school for rich kids. response:	Damn it! Screw the celebs!
context: Amazing! French, Chinese, Italian... There's everything!\It's because the True Cross Academy is mostly for rich kids.\So I'm finally one of the celebs?!\First we need to buy food tickets from that vending machine.\What should I get?\What the hell?! That's one zero too much there!\I told you, this is a school for rich kids.\Damn it! Screw the celebs! response:	Calm down, Rin!
context: It's because the True Cross Academy is mostly for rich kids.\So I'm finally one of the celebs?!\First we need to buy food tickets from that vending machine.\What should I get?\What the hell?! That's one zero too much there!\I told you, this is a school for rich kids.\Damn it! Screw the celebs!\Calm down, Rin! response:	I'll treat you to the cheapest, 1800 yen A lunch meal!
context: So I'm finally one of the celebs?!\First we need to buy food tickets from that vending machine.\What should I get?\What the hell?! That's one zero too much there!\I told you, this is a school for rich kids.\Damn it! Screw the celebs!\Calm down, Rin!\I'll treat you to the cheapest, 1800 yen A lunch meal! response:	Lower the prices of the cafeteria?
context: First we need to buy food tickets from that vending machine.\What should I get?\What the hell?! That's one zero too much there!\I told you, this is a school for rich kids.\Damn it! Screw the celebs!\Calm down, Rin!\I'll treat you to the cheapest, 1800 yen A lunch meal!\Lower the prices of the cafeteria? response:	That's not possible.
context: What should I get?\What the hell?! That's one zero too much there!\I told you, this is a school for rich kids.\Damn it! Screw the celebs!\Calm down, Rin!\I'll treat you to the cheapest, 1800 yen A lunch meal!\Lower the prices of the cafeteria?\That's not possible. response:	To provide first class meals, we buy first class ingredients and hire first class chefs.
context: What the hell?! That's one zero too much there!\I told you, this is a school for rich kids.\Damn it! Screw the celebs!\Calm down, Rin!\I'll treat you to the cheapest, 1800 yen A lunch meal!\Lower the prices of the cafeteria?\That's not possible.\To provide first class meals, we buy first class ingredients and hire first class chefs. response:	Why does the cafeteria have to be first class?!
context: I told you, this is a school for rich kids.\Damn it! Screw the celebs!\Calm down, Rin!\I'll treat you to the cheapest, 1800 yen A lunch meal!\Lower the prices of the cafeteria?\That's not possible.\To provide first class meals, we buy first class ingredients and hire first class chefs.\Why does the cafeteria have to be first class?! response:	Food is culture.
context: Damn it! Screw the celebs!\Calm down, Rin!\I'll treat you to the cheapest, 1800 yen A lunch meal!\Lower the prices of the cafeteria?\That's not possible.\To provide first class meals, we buy first class ingredients and hire first class chefs.\Why does the cafeteria have to be first class?!\Food is culture. response:	Experiencing first class makes your lives fuller.
context: Calm down, Rin!\I'll treat you to the cheapest, 1800 yen A lunch meal!\Lower the prices of the cafeteria?\That's not possible.\To provide first class meals, we buy first class ingredients and hire first class chefs.\Why does the cafeteria have to be first class?!\Food is culture.\Experiencing first class makes your lives fuller. response:	Oh.
context: I'll treat you to the cheapest, 1800 yen A lunch meal!\Lower the prices of the cafeteria?\That's not possible.\To provide first class meals, we buy first class ingredients and hire first class chefs.\Why does the cafeteria have to be first class?!\Food is culture.\Experiencing first class makes your lives fuller.\Oh. response:	Says he and then eats instant ramen...
context: Lower the prices of the cafeteria?\That's not possible.\To provide first class meals, we buy first class ingredients and hire first class chefs.\Why does the cafeteria have to be first class?!\Food is culture.\Experiencing first class makes your lives fuller.\Oh.\Says he and then eats instant ramen... response:	Then at least give me money for living expenses!
context: That's not possible.\To provide first class meals, we buy first class ingredients and hire first class chefs.\Why does the cafeteria have to be first class?!\Food is culture.\Experiencing first class makes your lives fuller.\Oh.\Says he and then eats instant ramen...\Then at least give me money for living expenses! response:	How could I totally forget about that?
context: To provide first class meals, we buy first class ingredients and hire first class chefs.\Why does the cafeteria have to be first class?!\Food is culture.\Experiencing first class makes your lives fuller.\Oh.\Says he and then eats instant ramen...\Then at least give me money for living expenses!\How could I totally forget about that? response:	Even Satan's son has needs.
context: Why does the cafeteria have to be first class?!\Food is culture.\Experiencing first class makes your lives fuller.\Oh.\Says he and then eats instant ramen...\Then at least give me money for living expenses!\How could I totally forget about that?\Even Satan's son has needs. response:	Wow, a 2000 yen bill!
context: Food is culture.\Experiencing first class makes your lives fuller.\Oh.\Says he and then eats instant ramen...\Then at least give me money for living expenses!\How could I totally forget about that?\Even Satan's son has needs.\Wow, a 2000 yen bill! response:	The mysterious bill, thought to exist only in urban legends!
context: Experiencing first class makes your lives fuller.\Oh.\Says he and then eats instant ramen...\Then at least give me money for living expenses!\How could I totally forget about that?\Even Satan's son has needs.\Wow, a 2000 yen bill!\The mysterious bill, thought to exist only in urban legends! response:	With this I could buy ten sandwiches!
context: Oh.\Says he and then eats instant ramen...\Then at least give me money for living expenses!\How could I totally forget about that?\Even Satan's son has needs.\Wow, a 2000 yen bill!\The mysterious bill, thought to exist only in urban legends!\With this I could buy ten sandwiches! response:	Is it fine if I pay that every month on the 10th?
context: Says he and then eats instant ramen...\Then at least give me money for living expenses!\How could I totally forget about that?\Even Satan's son has needs.\Wow, a 2000 yen bill!\The mysterious bill, thought to exist only in urban legends!\With this I could buy ten sandwiches!\Is it fine if I pay that every month on the 10th? response:	Every month? You mean this is for one month?!
context: Then at least give me money for living expenses!\How could I totally forget about that?\Even Satan's son has needs.\Wow, a 2000 yen bill!\The mysterious bill, thought to exist only in urban legends!\With this I could buy ten sandwiches!\Is it fine if I pay that every month on the 10th?\Every month? You mean this is for one month?! response:	Indeed.
context: How could I totally forget about that?\Even Satan's son has needs.\Wow, a 2000 yen bill!\The mysterious bill, thought to exist only in urban legends!\With this I could buy ten sandwiches!\Is it fine if I pay that every month on the 10th?\Every month? You mean this is for one month?!\Indeed. response:	And I'm supposed to live off that, you dolt?!
context: Even Satan's son has needs.\Wow, a 2000 yen bill!\The mysterious bill, thought to exist only in urban legends!\With this I could buy ten sandwiches!\Is it fine if I pay that every month on the 10th?\Every month? You mean this is for one month?!\Indeed.\And I'm supposed to live off that, you dolt?! response:	Oh? You are dissatisfied? Then how about a 100 yen bill?
context: Wow, a 2000 yen bill!\The mysterious bill, thought to exist only in urban legends!\With this I could buy ten sandwiches!\Is it fine if I pay that every month on the 10th?\Every month? You mean this is for one month?!\Indeed.\And I'm supposed to live off that, you dolt?!\Oh? You are dissatisfied? Then how about a 100 yen bill? response:	By the way, recently I've been somewhat obsessed with Taisuke Itagaki.
context: The mysterious bill, thought to exist only in urban legends!\With this I could buy ten sandwiches!\Is it fine if I pay that every month on the 10th?\Every month? You mean this is for one month?!\Indeed.\And I'm supposed to live off that, you dolt?!\Oh? You are dissatisfied? Then how about a 100 yen bill?\By the way, recently I've been somewhat obsessed with Taisuke Itagaki. response:	I don't give a damn about your obsession!
context: With this I could buy ten sandwiches!\Is it fine if I pay that every month on the 10th?\Every month? You mean this is for one month?!\Indeed.\And I'm supposed to live off that, you dolt?!\Oh? You are dissatisfied? Then how about a 100 yen bill?\By the way, recently I've been somewhat obsessed with Taisuke Itagaki.\I don't give a damn about your obsession! response:	Calm down, Rin!
context: Is it fine if I pay that every month on the 10th?\Every month? You mean this is for one month?!\Indeed.\And I'm supposed to live off that, you dolt?!\Oh? You are dissatisfied? Then how about a 100 yen bill?\By the way, recently I've been somewhat obsessed with Taisuke Itagaki.\I don't give a damn about your obsession!\Calm down, Rin! response:	The house -
context: Every month? You mean this is for one month?!\Indeed.\And I'm supposed to live off that, you dolt?!\Oh? You are dissatisfied? Then how about a 100 yen bill?\By the way, recently I've been somewhat obsessed with Taisuke Itagaki.\I don't give a damn about your obsession!\Calm down, Rin!\The house - response:	Father said it often... Man does not live by bread alone.
context: Indeed.\And I'm supposed to live off that, you dolt?!\Oh? You are dissatisfied? Then how about a 100 yen bill?\By the way, recently I've been somewhat obsessed with Taisuke Itagaki.\I don't give a damn about your obsession!\Calm down, Rin!\The house -\Father said it often... Man does not live by bread alone. response:	Sermons won't fill my stomach.
context: And I'm supposed to live off that, you dolt?!\Oh? You are dissatisfied? Then how about a 100 yen bill?\By the way, recently I've been somewhat obsessed with Taisuke Itagaki.\I don't give a damn about your obsession!\Calm down, Rin!\The house -\Father said it often... Man does not live by bread alone.\Sermons won't fill my stomach. response:	Are you fine with it? Can you be satisfied with 2000 yen a month?
context: Oh? You are dissatisfied? Then how about a 100 yen bill?\By the way, recently I've been somewhat obsessed with Taisuke Itagaki.\I don't give a damn about your obsession!\Calm down, Rin!\The house -\Father said it often... Man does not live by bread alone.\Sermons won't fill my stomach.\Are you fine with it? Can you be satisfied with 2000 yen a month? response:	I work as a teacher and I get my Exorcist salary as well.
context: By the way, recently I've been somewhat obsessed with Taisuke Itagaki.\I don't give a damn about your obsession!\Calm down, Rin!\The house -\Father said it often... Man does not live by bread alone.\Sermons won't fill my stomach.\Are you fine with it? Can you be satisfied with 2000 yen a month?\I work as a teacher and I get my Exorcist salary as well. response:	You traitor!
context: I don't give a damn about your obsession!\Calm down, Rin!\The house -\Father said it often... Man does not live by bread alone.\Sermons won't fill my stomach.\Are you fine with it? Can you be satisfied with 2000 yen a month?\I work as a teacher and I get my Exorcist salary as well.\You traitor! response:	Wait... There's a way to keep you from starving to death.
context: Calm down, Rin!\The house -\Father said it often... Man does not live by bread alone.\Sermons won't fill my stomach.\Are you fine with it? Can you be satisfied with 2000 yen a month?\I work as a teacher and I get my Exorcist salary as well.\You traitor!\Wait... There's a way to keep you from starving to death. response:	Supermarket Nico-Nico-Hall Open 24/7 True Cross Shop
context: The house -\Father said it often... Man does not live by bread alone.\Sermons won't fill my stomach.\Are you fine with it? Can you be satisfied with 2000 yen a month?\I work as a teacher and I get my Exorcist salary as well.\You traitor!\Wait... There's a way to keep you from starving to death.\Supermarket Nico-Nico-Hall Open 24/7 True Cross Shop response:	Cook for myself?
context: Father said it often... Man does not live by bread alone.\Sermons won't fill my stomach.\Are you fine with it? Can you be satisfied with 2000 yen a month?\I work as a teacher and I get my Exorcist salary as well.\You traitor!\Wait... There's a way to keep you from starving to death.\Supermarket Nico-Nico-Hall Open 24/7 True Cross Shop\Cook for myself? response:	I'll pay for the ingredients.
context: Sermons won't fill my stomach.\Are you fine with it? Can you be satisfied with 2000 yen a month?\I work as a teacher and I get my Exorcist salary as well.\You traitor!\Wait... There's a way to keep you from starving to death.\Supermarket Nico-Nico-Hall Open 24/7 True Cross Shop\Cook for myself?\I'll pay for the ingredients. response:	You can make lunch for the both of us.
context: Are you fine with it? Can you be satisfied with 2000 yen a month?\I work as a teacher and I get my Exorcist salary as well.\You traitor!\Wait... There's a way to keep you from starving to death.\Supermarket Nico-Nico-Hall Open 24/7 True Cross Shop\Cook for myself?\I'll pay for the ingredients.\You can make lunch for the both of us. response:	That way I'll save some money and you won't have trouble with lunch, either.
context: I work as a teacher and I get my Exorcist salary as well.\You traitor!\Wait... There's a way to keep you from starving to death.\Supermarket Nico-Nico-Hall Open 24/7 True Cross Shop\Cook for myself?\I'll pay for the ingredients.\You can make lunch for the both of us.\That way I'll save some money and you won't have trouble with lunch, either. response:	After all, cooking is one of the few things you're good at.
context: You traitor!\Wait... There's a way to keep you from starving to death.\Supermarket Nico-Nico-Hall Open 24/7 True Cross Shop\Cook for myself?\I'll pay for the ingredients.\You can make lunch for the both of us.\That way I'll save some money and you won't have trouble with lunch, either.\After all, cooking is one of the few things you're good at. response:	Not to mention guys who can cook are popular.
context: Wait... There's a way to keep you from starving to death.\Supermarket Nico-Nico-Hall Open 24/7 True Cross Shop\Cook for myself?\I'll pay for the ingredients.\You can make lunch for the both of us.\That way I'll save some money and you won't have trouble with lunch, either.\After all, cooking is one of the few things you're good at.\Not to mention guys who can cook are popular. response:	Are you serious? Finally my time has come!
context: Supermarket Nico-Nico-Hall Open 24/7 True Cross Shop\Cook for myself?\I'll pay for the ingredients.\You can make lunch for the both of us.\That way I'll save some money and you won't have trouble with lunch, either.\After all, cooking is one of the few things you're good at.\Not to mention guys who can cook are popular.\Are you serious? Finally my time has come! response:	If Rin cooks for us he'll wake up in time, and if girls offer me lunch like today,
context: Cook for myself?\I'll pay for the ingredients.\You can make lunch for the both of us.\That way I'll save some money and you won't have trouble with lunch, either.\After all, cooking is one of the few things you're good at.\Not to mention guys who can cook are popular.\Are you serious? Finally my time has come!\If Rin cooks for us he'll wake up in time, and if girls offer me lunch like today, response:	I can escape by saying that I brought my own lunch without sounding strange.
context: I'll pay for the ingredients.\You can make lunch for the both of us.\That way I'll save some money and you won't have trouble with lunch, either.\After all, cooking is one of the few things you're good at.\Not to mention guys who can cook are popular.\Are you serious? Finally my time has come!\If Rin cooks for us he'll wake up in time, and if girls offer me lunch like today,\I can escape by saying that I brought my own lunch without sounding strange. response:	This plan is like taking down two birds with one stone! Or rather, four birds!
context: You can make lunch for the both of us.\That way I'll save some money and you won't have trouble with lunch, either.\After all, cooking is one of the few things you're good at.\Not to mention guys who can cook are popular.\Are you serious? Finally my time has come!\If Rin cooks for us he'll wake up in time, and if girls offer me lunch like today,\I can escape by saying that I brought my own lunch without sounding strange.\This plan is like taking down two birds with one stone! Or rather, four birds! response:	But where can I cook? Was there a kitchen in the room?
