context: That's mean, Kacchan. response:	Can't you see he's crying?
context: Show us something flashy, Tree-Man!\Pre-emptive...\Canyon Cannon!\Huh?\Here it is, here it is, here it is, here it is.\Today is the day of my debut!\My name is Mt. Lady.\A pleasure to make your ass-quaintance. response:	Here it is, here it is, here it is, here it is.
context: Pre-emptive...\Canyon Cannon!\Huh?\Here it is, here it is, here it is, here it is.\Today is the day of my debut!\My name is Mt. Lady.\A pleasure to make your ass-quaintance.\Here it is, here it is, here it is, here it is. response:	Sh-She's getting the credit...
context: Canyon Cannon!\Huh?\Here it is, here it is, here it is, here it is.\Today is the day of my debut!\My name is Mt. Lady.\A pleasure to make your ass-quaintance.\Here it is, here it is, here it is, here it is.\Sh-She's getting the credit... response:	Along with the superpowers came an explosive increase in crime.
context: Huh?\Here it is, here it is, here it is, here it is.\Today is the day of my debut!\My name is Mt. Lady.\A pleasure to make your ass-quaintance.\Here it is, here it is, here it is, here it is.\Sh-She's getting the credit...\Along with the superpowers came an explosive increase in crime. response:	As the country was stuck in the slow progress of drastic law reforms,
context: Here it is, here it is, here it is, here it is.\Today is the day of my debut!\My name is Mt. Lady.\A pleasure to make your ass-quaintance.\Here it is, here it is, here it is, here it is.\Sh-She's getting the credit...\Along with the superpowers came an explosive increase in crime.\As the country was stuck in the slow progress of drastic law reforms, response:	courageous people started performing heroic acts from out of comic books.
context: Today is the day of my debut!\My name is Mt. Lady.\A pleasure to make your ass-quaintance.\Here it is, here it is, here it is, here it is.\Sh-She's getting the credit...\Along with the superpowers came an explosive increase in crime.\As the country was stuck in the slow progress of drastic law reforms,\courageous people started performing heroic acts from out of comic books. response:	Guarding against superpowers and defending against evil.
context: My name is Mt. Lady.\A pleasure to make your ass-quaintance.\Here it is, here it is, here it is, here it is.\Sh-She's getting the credit...\Along with the superpowers came an explosive increase in crime.\As the country was stuck in the slow progress of drastic law reforms,\courageous people started performing heroic acts from out of comic books.\Guarding against superpowers and defending against evil. response:	Heroes were soon accepted by the public,
context: A pleasure to make your ass-quaintance.\Here it is, here it is, here it is, here it is.\Sh-She's getting the credit...\Along with the superpowers came an explosive increase in crime.\As the country was stuck in the slow progress of drastic law reforms,\courageous people started performing heroic acts from out of comic books.\Guarding against superpowers and defending against evil.\Heroes were soon accepted by the public, response:	and it was established as an official position.
context: Here it is, here it is, here it is, here it is.\Sh-She's getting the credit...\Along with the superpowers came an explosive increase in crime.\As the country was stuck in the slow progress of drastic law reforms,\courageous people started performing heroic acts from out of comic books.\Guarding against superpowers and defending against evil.\Heroes were soon accepted by the public,\and it was established as an official position. response:	Based on their performance, they are paid by the government...
context: Sh-She's getting the credit...\Along with the superpowers came an explosive increase in crime.\As the country was stuck in the slow progress of drastic law reforms,\courageous people started performing heroic acts from out of comic books.\Guarding against superpowers and defending against evil.\Heroes were soon accepted by the public,\and it was established as an official position.\Based on their performance, they are paid by the government... response:	Gigantification, huh?
context: Along with the superpowers came an explosive increase in crime.\As the country was stuck in the slow progress of drastic law reforms,\courageous people started performing heroic acts from out of comic books.\Guarding against superpowers and defending against evil.\Heroes were soon accepted by the public,\and it was established as an official position.\Based on their performance, they are paid by the government...\Gigantification, huh? response:	She looks like she'll be popular, and it's an amazing Quirk,
context: As the country was stuck in the slow progress of drastic law reforms,\courageous people started performing heroic acts from out of comic books.\Guarding against superpowers and defending against evil.\Heroes were soon accepted by the public,\and it was established as an official position.\Based on their performance, they are paid by the government...\Gigantification, huh?\She looks like she'll be popular, and it's an amazing Quirk, response:	but thinking about the damage to the city that'll go hand in hand with that,
context: courageous people started performing heroic acts from out of comic books.\Guarding against superpowers and defending against evil.\Heroes were soon accepted by the public,\and it was established as an official position.\Based on their performance, they are paid by the government...\Gigantification, huh?\She looks like she'll be popular, and it's an amazing Quirk,\but thinking about the damage to the city that'll go hand in hand with that, response:	its use might be limited?
context: Guarding against superpowers and defending against evil.\Heroes were soon accepted by the public,\and it was established as an official position.\Based on their performance, they are paid by the government...\Gigantification, huh?\She looks like she'll be popular, and it's an amazing Quirk,\but thinking about the damage to the city that'll go hand in hand with that,\its use might be limited? response:	No, but whether or not she can control the size...
context: Heroes were soon accepted by the public,\and it was established as an official position.\Based on their performance, they are paid by the government...\Gigantification, huh?\She looks like she'll be popular, and it's an amazing Quirk,\but thinking about the damage to the city that'll go hand in hand with that,\its use might be limited?\No, but whether or not she can control the size... response:	Hey wait, you're taking notes? You wanna be a hero?
context: and it was established as an official position.\Based on their performance, they are paid by the government...\Gigantification, huh?\She looks like she'll be popular, and it's an amazing Quirk,\but thinking about the damage to the city that'll go hand in hand with that,\its use might be limited?\No, but whether or not she can control the size...\Hey wait, you're taking notes? You wanna be a hero? response:	That's great! You can do it!
context: Based on their performance, they are paid by the government...\Gigantification, huh?\She looks like she'll be popular, and it's an amazing Quirk,\but thinking about the damage to the city that'll go hand in hand with that,\its use might be limited?\No, but whether or not she can control the size...\Hey wait, you're taking notes? You wanna be a hero?\That's great! You can do it! response:	Yes! I'll do my best!
context: Gigantification, huh?\She looks like she'll be popular, and it's an amazing Quirk,\but thinking about the damage to the city that'll go hand in hand with that,\its use might be limited?\No, but whether or not she can control the size...\Hey wait, you're taking notes? You wanna be a hero?\That's great! You can do it!\Yes! I'll do my best! response:	Since you're all third years, it's time for you to think seriously about your future.
context: She looks like she'll be popular, and it's an amazing Quirk,\but thinking about the damage to the city that'll go hand in hand with that,\its use might be limited?\No, but whether or not she can control the size...\Hey wait, you're taking notes? You wanna be a hero?\That's great! You can do it!\Yes! I'll do my best!\Since you're all third years, it's time for you to think seriously about your future. response:	I'll pass out handouts for your future plans now, but...
context: but thinking about the damage to the city that'll go hand in hand with that,\its use might be limited?\No, but whether or not she can control the size...\Hey wait, you're taking notes? You wanna be a hero?\That's great! You can do it!\Yes! I'll do my best!\Since you're all third years, it's time for you to think seriously about your future.\I'll pass out handouts for your future plans now, but... response:	Yes!
context: its use might be limited?\No, but whether or not she can control the size...\Hey wait, you're taking notes? You wanna be a hero?\That's great! You can do it!\Yes! I'll do my best!\Since you're all third years, it's time for you to think seriously about your future.\I'll pass out handouts for your future plans now, but...\Yes! response:	Yes, yes, you all have wonderful Quirks!
context: No, but whether or not she can control the size...\Hey wait, you're taking notes? You wanna be a hero?\That's great! You can do it!\Yes! I'll do my best!\Since you're all third years, it's time for you to think seriously about your future.\I'll pass out handouts for your future plans now, but...\Yes!\Yes, yes, you all have wonderful Quirks! response:	But using your powers at school is against the rules!
context: Hey wait, you're taking notes? You wanna be a hero?\That's great! You can do it!\Yes! I'll do my best!\Since you're all third years, it's time for you to think seriously about your future.\I'll pass out handouts for your future plans now, but...\Yes!\Yes, yes, you all have wonderful Quirks!\But using your powers at school is against the rules! response:	Teach!
context: That's great! You can do it!\Yes! I'll do my best!\Since you're all third years, it's time for you to think seriously about your future.\I'll pass out handouts for your future plans now, but...\Yes!\Yes, yes, you all have wonderful Quirks!\But using your powers at school is against the rules!\Teach! response:	Don't lump us all in the same group.
context: Yes! I'll do my best!\Since you're all third years, it's time for you to think seriously about your future.\I'll pass out handouts for your future plans now, but...\Yes!\Yes, yes, you all have wonderful Quirks!\But using your powers at school is against the rules!\Teach!\Don't lump us all in the same group. response:	I'm not gonna be stuck at the bottom with the rest of these rejects!
context: Since you're all third years, it's time for you to think seriously about your future.\I'll pass out handouts for your future plans now, but...\Yes!\Yes, yes, you all have wonderful Quirks!\But using your powers at school is against the rules!\Teach!\Don't lump us all in the same group.\I'm not gonna be stuck at the bottom with the rest of these rejects! response:	That was uncalled for, Katsuki!
context: I'll pass out handouts for your future plans now, but...\Yes!\Yes, yes, you all have wonderful Quirks!\But using your powers at school is against the rules!\Teach!\Don't lump us all in the same group.\I'm not gonna be stuck at the bottom with the rest of these rejects!\That was uncalled for, Katsuki! response:	Yeah, yeah!
context: Yes!\Yes, yes, you all have wonderful Quirks!\But using your powers at school is against the rules!\Teach!\Don't lump us all in the same group.\I'm not gonna be stuck at the bottom with the rest of these rejects!\That was uncalled for, Katsuki!\Yeah, yeah! response:	You all should shut up like the extras you are!
context: Yes, yes, you all have wonderful Quirks!\But using your powers at school is against the rules!\Teach!\Don't lump us all in the same group.\I'm not gonna be stuck at the bottom with the rest of these rejects!\That was uncalled for, Katsuki!\Yeah, yeah!\You all should shut up like the extras you are! response:	Oh, if I remember correctly, you want to go to U.A. High, right, Bakugou?
context: But using your powers at school is against the rules!\Teach!\Don't lump us all in the same group.\I'm not gonna be stuck at the bottom with the rest of these rejects!\That was uncalled for, Katsuki!\Yeah, yeah!\You all should shut up like the extras you are!\Oh, if I remember correctly, you want to go to U.A. High, right, Bakugou? response:	It was in the top 0.2 this year, you know!
context: Teach!\Don't lump us all in the same group.\I'm not gonna be stuck at the bottom with the rest of these rejects!\That was uncalled for, Katsuki!\Yeah, yeah!\You all should shut up like the extras you are!\Oh, if I remember correctly, you want to go to U.A. High, right, Bakugou?\It was in the top 0.2 this year, you know! response:	Their acceptance rate's always really low, too!
context: Don't lump us all in the same group.\I'm not gonna be stuck at the bottom with the rest of these rejects!\That was uncalled for, Katsuki!\Yeah, yeah!\You all should shut up like the extras you are!\Oh, if I remember correctly, you want to go to U.A. High, right, Bakugou?\It was in the top 0.2 this year, you know!\Their acceptance rate's always really low, too! response:	That's exactly why you guys are just extras!
context: I'm not gonna be stuck at the bottom with the rest of these rejects!\That was uncalled for, Katsuki!\Yeah, yeah!\You all should shut up like the extras you are!\Oh, if I remember correctly, you want to go to U.A. High, right, Bakugou?\It was in the top 0.2 this year, you know!\Their acceptance rate's always really low, too!\That's exactly why you guys are just extras! response:	I aced the mock test!
context: That was uncalled for, Katsuki!\Yeah, yeah!\You all should shut up like the extras you are!\Oh, if I remember correctly, you want to go to U.A. High, right, Bakugou?\It was in the top 0.2 this year, you know!\Their acceptance rate's always really low, too!\That's exactly why you guys are just extras!\I aced the mock test! response:	I'm the only one at this school who could possibly get into U.A.
context: Yeah, yeah!\You all should shut up like the extras you are!\Oh, if I remember correctly, you want to go to U.A. High, right, Bakugou?\It was in the top 0.2 this year, you know!\Their acceptance rate's always really low, too!\That's exactly why you guys are just extras!\I aced the mock test!\I'm the only one at this school who could possibly get into U.A. response:	I'll definitely surpass All Might and become the top hero!
context: You all should shut up like the extras you are!\Oh, if I remember correctly, you want to go to U.A. High, right, Bakugou?\It was in the top 0.2 this year, you know!\Their acceptance rate's always really low, too!\That's exactly why you guys are just extras!\I aced the mock test!\I'm the only one at this school who could possibly get into U.A.\I'll definitely surpass All Might and become the top hero! response:	My name'll be inscribed on the list of top earners!
context: Oh, if I remember correctly, you want to go to U.A. High, right, Bakugou?\It was in the top 0.2 this year, you know!\Their acceptance rate's always really low, too!\That's exactly why you guys are just extras!\I aced the mock test!\I'm the only one at this school who could possibly get into U.A.\I'll definitely surpass All Might and become the top hero!\My name'll be inscribed on the list of top earners! response:	Oh yeah, Midoriya wanted to go to U.A., too, right?
context: It was in the top 0.2 this year, you know!\Their acceptance rate's always really low, too!\That's exactly why you guys are just extras!\I aced the mock test!\I'm the only one at this school who could possibly get into U.A.\I'll definitely surpass All Might and become the top hero!\My name'll be inscribed on the list of top earners!\Oh yeah, Midoriya wanted to go to U.A., too, right? response:	Huh? Midoriya? No way!
context: Their acceptance rate's always really low, too!\That's exactly why you guys are just extras!\I aced the mock test!\I'm the only one at this school who could possibly get into U.A.\I'll definitely surpass All Might and become the top hero!\My name'll be inscribed on the list of top earners!\Oh yeah, Midoriya wanted to go to U.A., too, right?\Huh? Midoriya? No way! response:	You can't get into the hero course just by studying!
context: That's exactly why you guys are just extras!\I aced the mock test!\I'm the only one at this school who could possibly get into U.A.\I'll definitely surpass All Might and become the top hero!\My name'll be inscribed on the list of top earners!\Oh yeah, Midoriya wanted to go to U.A., too, right?\Huh? Midoriya? No way!\You can't get into the hero course just by studying! response:	Th-They got rid of that rule!
context: I aced the mock test!\I'm the only one at this school who could possibly get into U.A.\I'll definitely surpass All Might and become the top hero!\My name'll be inscribed on the list of top earners!\Oh yeah, Midoriya wanted to go to U.A., too, right?\Huh? Midoriya? No way!\You can't get into the hero course just by studying!\Th-They got rid of that rule! response:	There's just no precedent...
context: I'm the only one at this school who could possibly get into U.A.\I'll definitely surpass All Might and become the top hero!\My name'll be inscribed on the list of top earners!\Oh yeah, Midoriya wanted to go to U.A., too, right?\Huh? Midoriya? No way!\You can't get into the hero course just by studying!\Th-They got rid of that rule!\There's just no precedent... response:	Hey, Deku!
context: I'll definitely surpass All Might and become the top hero!\My name'll be inscribed on the list of top earners!\Oh yeah, Midoriya wanted to go to U.A., too, right?\Huh? Midoriya? No way!\You can't get into the hero course just by studying!\Th-They got rid of that rule!\There's just no precedent...\Hey, Deku! response:	You're below the rejects! You're Quirkless!
context: My name'll be inscribed on the list of top earners!\Oh yeah, Midoriya wanted to go to U.A., too, right?\Huh? Midoriya? No way!\You can't get into the hero course just by studying!\Th-They got rid of that rule!\There's just no precedent...\Hey, Deku!\You're below the rejects! You're Quirkless! response:	How can you even stand in the same ring as me?
context: Oh yeah, Midoriya wanted to go to U.A., too, right?\Huh? Midoriya? No way!\You can't get into the hero course just by studying!\Th-They got rid of that rule!\There's just no precedent...\Hey, Deku!\You're below the rejects! You're Quirkless!\How can you even stand in the same ring as me? response:	No, wait, Kacchan!
context: Huh? Midoriya? No way!\You can't get into the hero course just by studying!\Th-They got rid of that rule!\There's just no precedent...\Hey, Deku!\You're below the rejects! You're Quirkless!\How can you even stand in the same ring as me?\No, wait, Kacchan! response:	It's not like I'm trying to compete with you or anything!
context: You can't get into the hero course just by studying!\Th-They got rid of that rule!\There's just no precedent...\Hey, Deku!\You're below the rejects! You're Quirkless!\How can you even stand in the same ring as me?\No, wait, Kacchan!\It's not like I'm trying to compete with you or anything! response:	Believe me!
context: Th-They got rid of that rule!\There's just no precedent...\Hey, Deku!\You're below the rejects! You're Quirkless!\How can you even stand in the same ring as me?\No, wait, Kacchan!\It's not like I'm trying to compete with you or anything!\Believe me! response:	It's just that it's been my goal ever since I was little.
context: There's just no precedent...\Hey, Deku!\You're below the rejects! You're Quirkless!\How can you even stand in the same ring as me?\No, wait, Kacchan!\It's not like I'm trying to compete with you or anything!\Believe me!\It's just that it's been my goal ever since I was little. response:	And well...
context: Hey, Deku!\You're below the rejects! You're Quirkless!\How can you even stand in the same ring as me?\No, wait, Kacchan!\It's not like I'm trying to compete with you or anything!\Believe me!\It's just that it's been my goal ever since I was little.\And well... response:	Whaddaya mean, unless you try?!
context: You're below the rejects! You're Quirkless!\How can you even stand in the same ring as me?\No, wait, Kacchan!\It's not like I'm trying to compete with you or anything!\Believe me!\It's just that it's been my goal ever since I was little.\And well...\Whaddaya mean, unless you try?! response:	Are you taking the test for fun?!
context: How can you even stand in the same ring as me?\No, wait, Kacchan!\It's not like I'm trying to compete with you or anything!\Believe me!\It's just that it's been my goal ever since I was little.\And well...\Whaddaya mean, unless you try?!\Are you taking the test for fun?! response:	What the hell can you do?
context: No, wait, Kacchan!\It's not like I'm trying to compete with you or anything!\Believe me!\It's just that it's been my goal ever since I was little.\And well...\Whaddaya mean, unless you try?!\Are you taking the test for fun?!\What the hell can you do? response:	You're Quirkless!
context: It's not like I'm trying to compete with you or anything!\Believe me!\It's just that it's been my goal ever since I was little.\And well...\Whaddaya mean, unless you try?!\Are you taking the test for fun?!\What the hell can you do?\You're Quirkless! response:	Thief!
context: Believe me!\It's just that it's been my goal ever since I was little.\And well...\Whaddaya mean, unless you try?!\Are you taking the test for fun?!\What the hell can you do?\You're Quirkless!\Thief! response:	Someone!
context: It's just that it's been my goal ever since I was little.\And well...\Whaddaya mean, unless you try?!\Are you taking the test for fun?!\What the hell can you do?\You're Quirkless!\Thief!\Someone! response:	Catch me if you can!
context: And well...\Whaddaya mean, unless you try?!\Are you taking the test for fun?!\What the hell can you do?\You're Quirkless!\Thief!\Someone!\Catch me if you can! response:	Huh? There's no hero around.
context: Whaddaya mean, unless you try?!\Are you taking the test for fun?!\What the hell can you do?\You're Quirkless!\Thief!\Someone!\Catch me if you can!\Huh? There's no hero around. response:	Normally someone would come right away.
context: Are you taking the test for fun?!\What the hell can you do?\You're Quirkless!\Thief!\Someone!\Catch me if you can!\Huh? There's no hero around.\Normally someone would come right away. response:	This guy's taking advantage of the chaos from this morning.
context: What the hell can you do?\You're Quirkless!\Thief!\Someone!\Catch me if you can!\Huh? There's no hero around.\Normally someone would come right away.\This guy's taking advantage of the chaos from this morning. response:	There are tons of people around who don't know what to do with their Quirks.
context: You're Quirkless!\Thief!\Someone!\Catch me if you can!\Huh? There's no hero around.\Normally someone would come right away.\This guy's taking advantage of the chaos from this morning.\There are tons of people around who don't know what to do with their Quirks. response:	There's no end to them.
context: Thief!\Someone!\Catch me if you can!\Huh? There's no hero around.\Normally someone would come right away.\This guy's taking advantage of the chaos from this morning.\There are tons of people around who don't know what to do with their Quirks.\There's no end to them. response:	There is an end.
