context: Wind Selection? response:	Yeah. I got it in a dungeon,
context: Skills Skills Skills Skills Skills\hhhhhhhhhhhhnew! new!\You gained two new skills!\You're right.\I can feel power flowing through me.\Run Like the Wind!\Wind Slash!\That was great. Looks like you'll get the hang of them in no time. response:	Yeah. Thanks so much, Noir!
context: hhhhhhhhhhhhnew! new!\You gained two new skills!\You're right.\I can feel power flowing through me.\Run Like the Wind!\Wind Slash!\That was great. Looks like you'll get the hang of them in no time.\Yeah. Thanks so much, Noir! response:	What's the matter? You seem a bit down.
context: You gained two new skills!\You're right.\I can feel power flowing through me.\Run Like the Wind!\Wind Slash!\That was great. Looks like you'll get the hang of them in no time.\Yeah. Thanks so much, Noir!\What's the matter? You seem a bit down. response:	N-No, it's not that.
context: You're right.\I can feel power flowing through me.\Run Like the Wind!\Wind Slash!\That was great. Looks like you'll get the hang of them in no time.\Yeah. Thanks so much, Noir!\What's the matter? You seem a bit down.\N-No, it's not that. response:	Anyway, would you like to go to a party with me this weekend?
context: I can feel power flowing through me.\Run Like the Wind!\Wind Slash!\That was great. Looks like you'll get the hang of them in no time.\Yeah. Thanks so much, Noir!\What's the matter? You seem a bit down.\N-No, it's not that.\Anyway, would you like to go to a party with me this weekend? response:	Isn't that just for nobles?
context: Run Like the Wind!\Wind Slash!\That was great. Looks like you'll get the hang of them in no time.\Yeah. Thanks so much, Noir!\What's the matter? You seem a bit down.\N-No, it's not that.\Anyway, would you like to go to a party with me this weekend?\Isn't that just for nobles? response:	Yeah, I have to dance...
context: Wind Slash!\That was great. Looks like you'll get the hang of them in no time.\Yeah. Thanks so much, Noir!\What's the matter? You seem a bit down.\N-No, it's not that.\Anyway, would you like to go to a party with me this weekend?\Isn't that just for nobles?\Yeah, I have to dance... response:	and I want to dance with you.
context: That was great. Looks like you'll get the hang of them in no time.\Yeah. Thanks so much, Noir!\What's the matter? You seem a bit down.\N-No, it's not that.\Anyway, would you like to go to a party with me this weekend?\Isn't that just for nobles?\Yeah, I have to dance...\and I want to dance with you. response:	Do you not want to?
context: Yeah. Thanks so much, Noir!\What's the matter? You seem a bit down.\N-No, it's not that.\Anyway, would you like to go to a party with me this weekend?\Isn't that just for nobles?\Yeah, I have to dance...\and I want to dance with you.\Do you not want to? response:	I wouldn't say that...
context: What's the matter? You seem a bit down.\N-No, it's not that.\Anyway, would you like to go to a party with me this weekend?\Isn't that just for nobles?\Yeah, I have to dance...\and I want to dance with you.\Do you not want to?\I wouldn't say that... response:	So you're fine with me dancing with other boys...
context: N-No, it's not that.\Anyway, would you like to go to a party with me this weekend?\Isn't that just for nobles?\Yeah, I have to dance...\and I want to dance with you.\Do you not want to?\I wouldn't say that...\So you're fine with me dancing with other boys... response:	W-Wait!
context: Anyway, would you like to go to a party with me this weekend?\Isn't that just for nobles?\Yeah, I have to dance...\and I want to dance with you.\Do you not want to?\I wouldn't say that...\So you're fine with me dancing with other boys...\W-Wait! response:	I'll go! I'll go to this party.
context: Isn't that just for nobles?\Yeah, I have to dance...\and I want to dance with you.\Do you not want to?\I wouldn't say that...\So you're fine with me dancing with other boys...\W-Wait!\I'll go! I'll go to this party. response:	That's good.
context: Yeah, I have to dance...\and I want to dance with you.\Do you not want to?\I wouldn't say that...\So you're fine with me dancing with other boys...\W-Wait!\I'll go! I'll go to this party.\That's good. response:	But you know...
context: and I want to dance with you.\Do you not want to?\I wouldn't say that...\So you're fine with me dancing with other boys...\W-Wait!\I'll go! I'll go to this party.\That's good.\But you know... response:	You probably wouldn't notice if someone took me from you.
context: Do you not want to?\I wouldn't say that...\So you're fine with me dancing with other boys...\W-Wait!\I'll go! I'll go to this party.\That's good.\But you know...\You probably wouldn't notice if someone took me from you. response:	Huh?
context: I wouldn't say that...\So you're fine with me dancing with other boys...\W-Wait!\I'll go! I'll go to this party.\That's good.\But you know...\You probably wouldn't notice if someone took me from you.\Huh? response:	If someone kidnapped me and did questionable things to me...
context: So you're fine with me dancing with other boys...\W-Wait!\I'll go! I'll go to this party.\That's good.\But you know...\You probably wouldn't notice if someone took me from you.\Huh?\If someone kidnapped me and did questionable things to me... response:	You'd probably think I was dirty and hate me.
context: W-Wait!\I'll go! I'll go to this party.\That's good.\But you know...\You probably wouldn't notice if someone took me from you.\Huh?\If someone kidnapped me and did questionable things to me...\You'd probably think I was dirty and hate me. response:	Emma...
context: I'll go! I'll go to this party.\That's good.\But you know...\You probably wouldn't notice if someone took me from you.\Huh?\If someone kidnapped me and did questionable things to me...\You'd probably think I was dirty and hate me.\Emma... response:	Noir... You doofus.
context: That's good.\But you know...\You probably wouldn't notice if someone took me from you.\Huh?\If someone kidnapped me and did questionable things to me...\You'd probably think I was dirty and hate me.\Emma...\Noir... You doofus. response:	I'm home.
context: But you know...\You probably wouldn't notice if someone took me from you.\Huh?\If someone kidnapped me and did questionable things to me...\You'd probably think I was dirty and hate me.\Emma...\Noir... You doofus.\I'm home. response:	Wh-What the heck is going on?
context: You probably wouldn't notice if someone took me from you.\Huh?\If someone kidnapped me and did questionable things to me...\You'd probably think I was dirty and hate me.\Emma...\Noir... You doofus.\I'm home.\Wh-What the heck is going on? response:	We can't seem to find an open shop to use as our rare items shop.
context: Huh?\If someone kidnapped me and did questionable things to me...\You'd probably think I was dirty and hate me.\Emma...\Noir... You doofus.\I'm home.\Wh-What the heck is going on?\We can't seem to find an open shop to use as our rare items shop. response:	They keep saying they won't rent or sell any space
context: If someone kidnapped me and did questionable things to me...\You'd probably think I was dirty and hate me.\Emma...\Noir... You doofus.\I'm home.\Wh-What the heck is going on?\We can't seem to find an open shop to use as our rare items shop.\They keep saying they won't rent or sell any space response:	to people who aren't proper nobles!
context: You'd probably think I was dirty and hate me.\Emma...\Noir... You doofus.\I'm home.\Wh-What the heck is going on?\We can't seem to find an open shop to use as our rare items shop.\They keep saying they won't rent or sell any space\to people who aren't proper nobles! response:	Are they saying I'm not a proper noble?!
context: Emma...\Noir... You doofus.\I'm home.\Wh-What the heck is going on?\We can't seem to find an open shop to use as our rare items shop.\They keep saying they won't rent or sell any space\to people who aren't proper nobles!\Are they saying I'm not a proper noble?! response:	In the plan to open a rare items shop...
context: Noir... You doofus.\I'm home.\Wh-What the heck is going on?\We can't seem to find an open shop to use as our rare items shop.\They keep saying they won't rent or sell any space\to people who aren't proper nobles!\Are they saying I'm not a proper noble?!\In the plan to open a rare items shop... response:	My father's in charge of finding a location.
context: I'm home.\Wh-What the heck is going on?\We can't seem to find an open shop to use as our rare items shop.\They keep saying they won't rent or sell any space\to people who aren't proper nobles!\Are they saying I'm not a proper noble?!\In the plan to open a rare items shop...\My father's in charge of finding a location. response:	My job is to bring back items we can sell from the dungeon...
context: Wh-What the heck is going on?\We can't seem to find an open shop to use as our rare items shop.\They keep saying they won't rent or sell any space\to people who aren't proper nobles!\Are they saying I'm not a proper noble?!\In the plan to open a rare items shop...\My father's in charge of finding a location.\My job is to bring back items we can sell from the dungeon... response:	But the Stardia family is a baronet family, so we're always ridiculed.
context: We can't seem to find an open shop to use as our rare items shop.\They keep saying they won't rent or sell any space\to people who aren't proper nobles!\Are they saying I'm not a proper noble?!\In the plan to open a rare items shop...\My father's in charge of finding a location.\My job is to bring back items we can sell from the dungeon...\But the Stardia family is a baronet family, so we're always ridiculed. response:	Baronet
context: They keep saying they won't rent or sell any space\to people who aren't proper nobles!\Are they saying I'm not a proper noble?!\In the plan to open a rare items shop...\My father's in charge of finding a location.\My job is to bring back items we can sell from the dungeon...\But the Stardia family is a baronet family, so we're always ridiculed.\Baronet response:	Viscount
context: to people who aren't proper nobles!\Are they saying I'm not a proper noble?!\In the plan to open a rare items shop...\My father's in charge of finding a location.\My job is to bring back items we can sell from the dungeon...\But the Stardia family is a baronet family, so we're always ridiculed.\Baronet\Viscount response:	Baron
context: Are they saying I'm not a proper noble?!\In the plan to open a rare items shop...\My father's in charge of finding a location.\My job is to bring back items we can sell from the dungeon...\But the Stardia family is a baronet family, so we're always ridiculed.\Baronet\Viscount\Baron response:	Earl
context: In the plan to open a rare items shop...\My father's in charge of finding a location.\My job is to bring back items we can sell from the dungeon...\But the Stardia family is a baronet family, so we're always ridiculed.\Baronet\Viscount\Baron\Earl response:	Marquess
context: My father's in charge of finding a location.\My job is to bring back items we can sell from the dungeon...\But the Stardia family is a baronet family, so we're always ridiculed.\Baronet\Viscount\Baron\Earl\Marquess response:	Duke
context: My job is to bring back items we can sell from the dungeon...\But the Stardia family is a baronet family, so we're always ridiculed.\Baronet\Viscount\Baron\Earl\Marquess\Duke response:	That's also why I was hesitant to go to the party with Emma.
context: But the Stardia family is a baronet family, so we're always ridiculed.\Baronet\Viscount\Baron\Earl\Marquess\Duke\That's also why I was hesitant to go to the party with Emma. response:	We don't need to be in any hurry, Father.
context: Baronet\Viscount\Baron\Earl\Marquess\Duke\That's also why I was hesitant to go to the party with Emma.\We don't need to be in any hurry, Father. response:	I had no faith in you to begin with.
context: Viscount\Baron\Earl\Marquess\Duke\That's also why I was hesitant to go to the party with Emma.\We don't need to be in any hurry, Father.\I had no faith in you to begin with. response:	Do you really have to say that?!
context: Baron\Earl\Marquess\Duke\That's also why I was hesitant to go to the party with Emma.\We don't need to be in any hurry, Father.\I had no faith in you to begin with.\Do you really have to say that?! response:	A-Anyway...
context: Earl\Marquess\Duke\That's also why I was hesitant to go to the party with Emma.\We don't need to be in any hurry, Father.\I had no faith in you to begin with.\Do you really have to say that?!\A-Anyway... response:	Father, do you have any clothes suitable for a party?
context: Marquess\Duke\That's also why I was hesitant to go to the party with Emma.\We don't need to be in any hurry, Father.\I had no faith in you to begin with.\Do you really have to say that?!\A-Anyway...\Father, do you have any clothes suitable for a party? response:	A party? Why?
context: Duke\That's also why I was hesitant to go to the party with Emma.\We don't need to be in any hurry, Father.\I had no faith in you to begin with.\Do you really have to say that?!\A-Anyway...\Father, do you have any clothes suitable for a party?\A party? Why? response:	Emma's going to attend one, and I'm going with her.
context: That's also why I was hesitant to go to the party with Emma.\We don't need to be in any hurry, Father.\I had no faith in you to begin with.\Do you really have to say that?!\A-Anyway...\Father, do you have any clothes suitable for a party?\A party? Why?\Emma's going to attend one, and I'm going with her. response:	I see. In that case...
context: We don't need to be in any hurry, Father.\I had no faith in you to begin with.\Do you really have to say that?!\A-Anyway...\Father, do you have any clothes suitable for a party?\A party? Why?\Emma's going to attend one, and I'm going with her.\I see. In that case... response:	Ta-da! The best suit I have!
context: I had no faith in you to begin with.\Do you really have to say that?!\A-Anyway...\Father, do you have any clothes suitable for a party?\A party? Why?\Emma's going to attend one, and I'm going with her.\I see. In that case...\Ta-da! The best suit I have! response:	The size seems fine...
context: Do you really have to say that?!\A-Anyway...\Father, do you have any clothes suitable for a party?\A party? Why?\Emma's going to attend one, and I'm going with her.\I see. In that case...\Ta-da! The best suit I have!\The size seems fine... response:	But it seems dirty and has a funny smell.
context: A-Anyway...\Father, do you have any clothes suitable for a party?\A party? Why?\Emma's going to attend one, and I'm going with her.\I see. In that case...\Ta-da! The best suit I have!\The size seems fine...\But it seems dirty and has a funny smell. response:	Well, I spilled some alcohol on it and just left it like that for years.
context: Father, do you have any clothes suitable for a party?\A party? Why?\Emma's going to attend one, and I'm going with her.\I see. In that case...\Ta-da! The best suit I have!\The size seems fine...\But it seems dirty and has a funny smell.\Well, I spilled some alcohol on it and just left it like that for years. response:	I'll just buy a new one.
context: A party? Why?\Emma's going to attend one, and I'm going with her.\I see. In that case...\Ta-da! The best suit I have!\The size seems fine...\But it seems dirty and has a funny smell.\Well, I spilled some alcohol on it and just left it like that for years.\I'll just buy a new one. response:	The Day of the Party
context: Emma's going to attend one, and I'm going with her.\I see. In that case...\Ta-da! The best suit I have!\The size seems fine...\But it seems dirty and has a funny smell.\Well, I spilled some alcohol on it and just left it like that for years.\I'll just buy a new one.\The Day of the Party response:	I look forward to tonight.
context: I see. In that case...\Ta-da! The best suit I have!\The size seems fine...\But it seems dirty and has a funny smell.\Well, I spilled some alcohol on it and just left it like that for years.\I'll just buy a new one.\The Day of the Party\I look forward to tonight. response:	Good evening.
context: Ta-da! The best suit I have!\The size seems fine...\But it seems dirty and has a funny smell.\Well, I spilled some alcohol on it and just left it like that for years.\I'll just buy a new one.\The Day of the Party\I look forward to tonight.\Good evening. response:	It's been so long, Noir.
context: The size seems fine...\But it seems dirty and has a funny smell.\Well, I spilled some alcohol on it and just left it like that for years.\I'll just buy a new one.\The Day of the Party\I look forward to tonight.\Good evening.\It's been so long, Noir. response:	Lord Ladan and Lady Romy, I'm glad to see you're both well!
context: But it seems dirty and has a funny smell.\Well, I spilled some alcohol on it and just left it like that for years.\I'll just buy a new one.\The Day of the Party\I look forward to tonight.\Good evening.\It's been so long, Noir.\Lord Ladan and Lady Romy, I'm glad to see you're both well! response:	Look how much you've grown.
context: Well, I spilled some alcohol on it and just left it like that for years.\I'll just buy a new one.\The Day of the Party\I look forward to tonight.\Good evening.\It's been so long, Noir.\Lord Ladan and Lady Romy, I'm glad to see you're both well!\Look how much you've grown. response:	I remember the little boy wetting his pants like it was just yesterday.
context: I'll just buy a new one.\The Day of the Party\I look forward to tonight.\Good evening.\It's been so long, Noir.\Lord Ladan and Lady Romy, I'm glad to see you're both well!\Look how much you've grown.\I remember the little boy wetting his pants like it was just yesterday. response:	P-Please forget about that.
context: The Day of the Party\I look forward to tonight.\Good evening.\It's been so long, Noir.\Lord Ladan and Lady Romy, I'm glad to see you're both well!\Look how much you've grown.\I remember the little boy wetting his pants like it was just yesterday.\P-Please forget about that. response:	Anyway, where's Emma?
context: I look forward to tonight.\Good evening.\It's been so long, Noir.\Lord Ladan and Lady Romy, I'm glad to see you're both well!\Look how much you've grown.\I remember the little boy wetting his pants like it was just yesterday.\P-Please forget about that.\Anyway, where's Emma? response:	She's getting dressed. Girls have a lot to do.
context: Good evening.\It's been so long, Noir.\Lord Ladan and Lady Romy, I'm glad to see you're both well!\Look how much you've grown.\I remember the little boy wetting his pants like it was just yesterday.\P-Please forget about that.\Anyway, where's Emma?\She's getting dressed. Girls have a lot to do. response:	R-Right...
context: It's been so long, Noir.\Lord Ladan and Lady Romy, I'm glad to see you're both well!\Look how much you've grown.\I remember the little boy wetting his pants like it was just yesterday.\P-Please forget about that.\Anyway, where's Emma?\She's getting dressed. Girls have a lot to do.\R-Right... response:	By the way... Did Emma tell you about today?
context: Lord Ladan and Lady Romy, I'm glad to see you're both well!\Look how much you've grown.\I remember the little boy wetting his pants like it was just yesterday.\P-Please forget about that.\Anyway, where's Emma?\She's getting dressed. Girls have a lot to do.\R-Right...\By the way... Did Emma tell you about today? response:	Huh? You mean dancing with her?
context: Look how much you've grown.\I remember the little boy wetting his pants like it was just yesterday.\P-Please forget about that.\Anyway, where's Emma?\She's getting dressed. Girls have a lot to do.\R-Right...\By the way... Did Emma tell you about today?\Huh? You mean dancing with her? response:	Ah, so she hasn't told you...
context: I remember the little boy wetting his pants like it was just yesterday.\P-Please forget about that.\Anyway, where's Emma?\She's getting dressed. Girls have a lot to do.\R-Right...\By the way... Did Emma tell you about today?\Huh? You mean dancing with her?\Ah, so she hasn't told you... response:	Sorry to keep you waiting, Noir.
context: P-Please forget about that.\Anyway, where's Emma?\She's getting dressed. Girls have a lot to do.\R-Right...\By the way... Did Emma tell you about today?\Huh? You mean dancing with her?\Ah, so she hasn't told you...\Sorry to keep you waiting, Noir. response:	Do I look weird?
context: Anyway, where's Emma?\She's getting dressed. Girls have a lot to do.\R-Right...\By the way... Did Emma tell you about today?\Huh? You mean dancing with her?\Ah, so she hasn't told you...\Sorry to keep you waiting, Noir.\Do I look weird? response:	Y-You don't look weird at all!
context: She's getting dressed. Girls have a lot to do.\R-Right...\By the way... Did Emma tell you about today?\Huh? You mean dancing with her?\Ah, so she hasn't told you...\Sorry to keep you waiting, Noir.\Do I look weird?\Y-You don't look weird at all! response:	I'm glad.
context: R-Right...\By the way... Did Emma tell you about today?\Huh? You mean dancing with her?\Ah, so she hasn't told you...\Sorry to keep you waiting, Noir.\Do I look weird?\Y-You don't look weird at all!\I'm glad. response:	There is something that I must tell you.
context: By the way... Did Emma tell you about today?\Huh? You mean dancing with her?\Ah, so she hasn't told you...\Sorry to keep you waiting, Noir.\Do I look weird?\Y-You don't look weird at all!\I'm glad.\There is something that I must tell you. response:	A few days ago, I received a proclamation.
context: Huh? You mean dancing with her?\Ah, so she hasn't told you...\Sorry to keep you waiting, Noir.\Do I look weird?\Y-You don't look weird at all!\I'm glad.\There is something that I must tell you.\A few days ago, I received a proclamation. response:	The sender was none other than... the Phantom Thief Phantom.
context: Ah, so she hasn't told you...\Sorry to keep you waiting, Noir.\Do I look weird?\Y-You don't look weird at all!\I'm glad.\There is something that I must tell you.\A few days ago, I received a proclamation.\The sender was none other than... the Phantom Thief Phantom. response:	The Phantom Thief? Here?
context: Sorry to keep you waiting, Noir.\Do I look weird?\Y-You don't look weird at all!\I'm glad.\There is something that I must tell you.\A few days ago, I received a proclamation.\The sender was none other than... the Phantom Thief Phantom.\The Phantom Thief? Here? response:	Not you, too, Earl Bourne.
context: Do I look weird?\Y-You don't look weird at all!\I'm glad.\There is something that I must tell you.\A few days ago, I received a proclamation.\The sender was none other than... the Phantom Thief Phantom.\The Phantom Thief? Here?\Not you, too, Earl Bourne. response:	Phantom's the one everyone's been talking about lately.
context: Y-You don't look weird at all!\I'm glad.\There is something that I must tell you.\A few days ago, I received a proclamation.\The sender was none other than... the Phantom Thief Phantom.\The Phantom Thief? Here?\Not you, too, Earl Bourne.\Phantom's the one everyone's been talking about lately. response:	But have no fear.
context: I'm glad.\There is something that I must tell you.\A few days ago, I received a proclamation.\The sender was none other than... the Phantom Thief Phantom.\The Phantom Thief? Here?\Not you, too, Earl Bourne.\Phantom's the one everyone's been talking about lately.\But have no fear. response:	It appears the thief wishes to steal my Mermaid's Tear, but that will not happen.
context: There is something that I must tell you.\A few days ago, I received a proclamation.\The sender was none other than... the Phantom Thief Phantom.\The Phantom Thief? Here?\Not you, too, Earl Bourne.\Phantom's the one everyone's been talking about lately.\But have no fear.\It appears the thief wishes to steal my Mermaid's Tear, but that will not happen. response:	Adventurers from this kingdom's greatest guild, Lahmu, are guarding it!
context: A few days ago, I received a proclamation.\The sender was none other than... the Phantom Thief Phantom.\The Phantom Thief? Here?\Not you, too, Earl Bourne.\Phantom's the one everyone's been talking about lately.\But have no fear.\It appears the thief wishes to steal my Mermaid's Tear, but that will not happen.\Adventurers from this kingdom's greatest guild, Lahmu, are guarding it! response:	So they're from Lahmu...
context: The sender was none other than... the Phantom Thief Phantom.\The Phantom Thief? Here?\Not you, too, Earl Bourne.\Phantom's the one everyone's been talking about lately.\But have no fear.\It appears the thief wishes to steal my Mermaid's Tear, but that will not happen.\Adventurers from this kingdom's greatest guild, Lahmu, are guarding it!\So they're from Lahmu... response:	Is that pretty lady a martial artist?
context: The Phantom Thief? Here?\Not you, too, Earl Bourne.\Phantom's the one everyone's been talking about lately.\But have no fear.\It appears the thief wishes to steal my Mermaid's Tear, but that will not happen.\Adventurers from this kingdom's greatest guild, Lahmu, are guarding it!\So they're from Lahmu...\Is that pretty lady a martial artist? response:	Leila Overlock Lv. 148
context: Not you, too, Earl Bourne.\Phantom's the one everyone's been talking about lately.\But have no fear.\It appears the thief wishes to steal my Mermaid's Tear, but that will not happen.\Adventurers from this kingdom's greatest guild, Lahmu, are guarding it!\So they're from Lahmu...\Is that pretty lady a martial artist?\Leila Overlock Lv. 148 response:	Age Skills Skills Skills
context: Phantom's the one everyone's been talking about lately.\But have no fear.\It appears the thief wishes to steal my Mermaid's Tear, but that will not happen.\Adventurers from this kingdom's greatest guild, Lahmu, are guarding it!\So they're from Lahmu...\Is that pretty lady a martial artist?\Leila Overlock Lv. 148\Age Skills Skills Skills response:	Wh-Whoa, she's strong!
context: But have no fear.\It appears the thief wishes to steal my Mermaid's Tear, but that will not happen.\Adventurers from this kingdom's greatest guild, Lahmu, are guarding it!\So they're from Lahmu...\Is that pretty lady a martial artist?\Leila Overlock Lv. 148\Age Skills Skills Skills\Wh-Whoa, she's strong! response:	She's my age, and her level's that high?
context: It appears the thief wishes to steal my Mermaid's Tear, but that will not happen.\Adventurers from this kingdom's greatest guild, Lahmu, are guarding it!\So they're from Lahmu...\Is that pretty lady a martial artist?\Leila Overlock Lv. 148\Age Skills Skills Skills\Wh-Whoa, she's strong!\She's my age, and her level's that high? response:	The Mermaid's Tear has already been secured.
context: Adventurers from this kingdom's greatest guild, Lahmu, are guarding it!\So they're from Lahmu...\Is that pretty lady a martial artist?\Leila Overlock Lv. 148\Age Skills Skills Skills\Wh-Whoa, she's strong!\She's my age, and her level's that high?\The Mermaid's Tear has already been secured. response:	Phantom will never find the jewel!
context: So they're from Lahmu...\Is that pretty lady a martial artist?\Leila Overlock Lv. 148\Age Skills Skills Skills\Wh-Whoa, she's strong!\She's my age, and her level's that high?\The Mermaid's Tear has already been secured.\Phantom will never find the jewel! response:	Then we're safe.
context: Is that pretty lady a martial artist?\Leila Overlock Lv. 148\Age Skills Skills Skills\Wh-Whoa, she's strong!\She's my age, and her level's that high?\The Mermaid's Tear has already been secured.\Phantom will never find the jewel!\Then we're safe. response:	Thank goodness.
context: Leila Overlock Lv. 148\Age Skills Skills Skills\Wh-Whoa, she's strong!\She's my age, and her level's that high?\The Mermaid's Tear has already been secured.\Phantom will never find the jewel!\Then we're safe.\Thank goodness. response:	Now, everyone,
context: Age Skills Skills Skills\Wh-Whoa, she's strong!\She's my age, and her level's that high?\The Mermaid's Tear has already been secured.\Phantom will never find the jewel!\Then we're safe.\Thank goodness.\Now, everyone, response:	enjoy tonight's gala in peace, with no fear of this petty thief!
context: Wh-Whoa, she's strong!\She's my age, and her level's that high?\The Mermaid's Tear has already been secured.\Phantom will never find the jewel!\Then we're safe.\Thank goodness.\Now, everyone,\enjoy tonight's gala in peace, with no fear of this petty thief! response:	Emma?
context: She's my age, and her level's that high?\The Mermaid's Tear has already been secured.\Phantom will never find the jewel!\Then we're safe.\Thank goodness.\Now, everyone,\enjoy tonight's gala in peace, with no fear of this petty thief!\Emma? response:	Did Phantom threaten you?
context: The Mermaid's Tear has already been secured.\Phantom will never find the jewel!\Then we're safe.\Thank goodness.\Now, everyone,\enjoy tonight's gala in peace, with no fear of this petty thief!\Emma?\Did Phantom threaten you? response:	N-No. I don't know anything about them. There's nothing to worry about.
context: Phantom will never find the jewel!\Then we're safe.\Thank goodness.\Now, everyone,\enjoy tonight's gala in peace, with no fear of this petty thief!\Emma?\Did Phantom threaten you?\N-No. I don't know anything about them. There's nothing to worry about. response:	Come on. It's almost time to dance.
context: Then we're safe.\Thank goodness.\Now, everyone,\enjoy tonight's gala in peace, with no fear of this petty thief!\Emma?\Did Phantom threaten you?\N-No. I don't know anything about them. There's nothing to worry about.\Come on. It's almost time to dance. response:	Sure...
context: Thank goodness.\Now, everyone,\enjoy tonight's gala in peace, with no fear of this petty thief!\Emma?\Did Phantom threaten you?\N-No. I don't know anything about them. There's nothing to worry about.\Come on. It's almost time to dance.\Sure... response:	The dancers perform in order of their ranks.
context: Now, everyone,\enjoy tonight's gala in peace, with no fear of this petty thief!\Emma?\Did Phantom threaten you?\N-No. I don't know anything about them. There's nothing to worry about.\Come on. It's almost time to dance.\Sure...\The dancers perform in order of their ranks. response:	Apparently, Emma and I are going last.
context: enjoy tonight's gala in peace, with no fear of this petty thief!\Emma?\Did Phantom threaten you?\N-No. I don't know anything about them. There's nothing to worry about.\Come on. It's almost time to dance.\Sure...\The dancers perform in order of their ranks.\Apparently, Emma and I are going last. response:	Oh, Miss Emma!
context: Emma?\Did Phantom threaten you?\N-No. I don't know anything about them. There's nothing to worry about.\Come on. It's almost time to dance.\Sure...\The dancers perform in order of their ranks.\Apparently, Emma and I are going last.\Oh, Miss Emma! response:	It's me! Mike from the House of Kentall.
context: Did Phantom threaten you?\N-No. I don't know anything about them. There's nothing to worry about.\Come on. It's almost time to dance.\Sure...\The dancers perform in order of their ranks.\Apparently, Emma and I are going last.\Oh, Miss Emma!\It's me! Mike from the House of Kentall. response:	You've become even more beautiful!
context: N-No. I don't know anything about them. There's nothing to worry about.\Come on. It's almost time to dance.\Sure...\The dancers perform in order of their ranks.\Apparently, Emma and I are going last.\Oh, Miss Emma!\It's me! Mike from the House of Kentall.\You've become even more beautiful! response:	You're as dashing as ever, Lord Mike. You have a way with words, as usual.
context: Come on. It's almost time to dance.\Sure...\The dancers perform in order of their ranks.\Apparently, Emma and I are going last.\Oh, Miss Emma!\It's me! Mike from the House of Kentall.\You've become even more beautiful!\You're as dashing as ever, Lord Mike. You have a way with words, as usual. response:	Emma is used to dealing with nobles.
context: Sure...\The dancers perform in order of their ranks.\Apparently, Emma and I are going last.\Oh, Miss Emma!\It's me! Mike from the House of Kentall.\You've become even more beautiful!\You're as dashing as ever, Lord Mike. You have a way with words, as usual.\Emma is used to dealing with nobles. response:	To be honest, she seems a bit distant.
context: The dancers perform in order of their ranks.\Apparently, Emma and I are going last.\Oh, Miss Emma!\It's me! Mike from the House of Kentall.\You've become even more beautiful!\You're as dashing as ever, Lord Mike. You have a way with words, as usual.\Emma is used to dealing with nobles.\To be honest, she seems a bit distant. response:	Miss Emma... would you reconsider my request to court you?
context: Apparently, Emma and I are going last.\Oh, Miss Emma!\It's me! Mike from the House of Kentall.\You've become even more beautiful!\You're as dashing as ever, Lord Mike. You have a way with words, as usual.\Emma is used to dealing with nobles.\To be honest, she seems a bit distant.\Miss Emma... would you reconsider my request to court you? response:	My answer won't change.
context: Oh, Miss Emma!\It's me! Mike from the House of Kentall.\You've become even more beautiful!\You're as dashing as ever, Lord Mike. You have a way with words, as usual.\Emma is used to dealing with nobles.\To be honest, she seems a bit distant.\Miss Emma... would you reconsider my request to court you?\My answer won't change. response:	Does someone already have your heart?
