context: Work! Work! response:	Let's see...
context: You just disqualified yourself!\Gray-sama is going to dance flirtatiously behind Juvia's back...?\If it means being able to dance with Gray-sama, Juvia will strip, too!\I was once known as the Dancing Demon,\so if you want to learn social dancing, leave it to me.\Erza!\Requip!\All right, Natsu! Let's go! response:	Nah, I'll pass.
context: Gray-sama is going to dance flirtatiously behind Juvia's back...?\If it means being able to dance with Gray-sama, Juvia will strip, too!\I was once known as the Dancing Demon,\so if you want to learn social dancing, leave it to me.\Erza!\Requip!\All right, Natsu! Let's go!\Nah, I'll pass. response:	No excuses! Dancing is all about...
context: If it means being able to dance with Gray-sama, Juvia will strip, too!\I was once known as the Dancing Demon,\so if you want to learn social dancing, leave it to me.\Erza!\Requip!\All right, Natsu! Let's go!\Nah, I'll pass.\No excuses! Dancing is all about... response:	I'm gonna throw up!
context: I was once known as the Dancing Demon,\so if you want to learn social dancing, leave it to me.\Erza!\Requip!\All right, Natsu! Let's go!\Nah, I'll pass.\No excuses! Dancing is all about...\I'm gonna throw up! response:	Anybody who dances with Erza always gets sick to their stomach.
context: so if you want to learn social dancing, leave it to me.\Erza!\Requip!\All right, Natsu! Let's go!\Nah, I'll pass.\No excuses! Dancing is all about...\I'm gonna throw up!\Anybody who dances with Erza always gets sick to their stomach. response:	You can see why she was called the Dancing Demon.
context: Erza!\Requip!\All right, Natsu! Let's go!\Nah, I'll pass.\No excuses! Dancing is all about...\I'm gonna throw up!\Anybody who dances with Erza always gets sick to their stomach.\You can see why she was called the Dancing Demon. response:	I guess I'll have to be the one who teaches Natsu how to dance.
context: Requip!\All right, Natsu! Let's go!\Nah, I'll pass.\No excuses! Dancing is all about...\I'm gonna throw up!\Anybody who dances with Erza always gets sick to their stomach.\You can see why she was called the Dancing Demon.\I guess I'll have to be the one who teaches Natsu how to dance. response:	No, I'm gonna take a little break...
context: All right, Natsu! Let's go!\Nah, I'll pass.\No excuses! Dancing is all about...\I'm gonna throw up!\Anybody who dances with Erza always gets sick to their stomach.\You can see why she was called the Dancing Demon.\I guess I'll have to be the one who teaches Natsu how to dance.\No, I'm gonna take a little break... response:	That's it, Natsu! Let your shoulders relax!
context: Nah, I'll pass.\No excuses! Dancing is all about...\I'm gonna throw up!\Anybody who dances with Erza always gets sick to their stomach.\You can see why she was called the Dancing Demon.\I guess I'll have to be the one who teaches Natsu how to dance.\No, I'm gonna take a little break...\That's it, Natsu! Let your shoulders relax! response:	I can't take any more!
context: No excuses! Dancing is all about...\I'm gonna throw up!\Anybody who dances with Erza always gets sick to their stomach.\You can see why she was called the Dancing Demon.\I guess I'll have to be the one who teaches Natsu how to dance.\No, I'm gonna take a little break...\That's it, Natsu! Let your shoulders relax!\I can't take any more! response:	How can an adult be that delicate?! And you call yourself a Man?!
context: I'm gonna throw up!\Anybody who dances with Erza always gets sick to their stomach.\You can see why she was called the Dancing Demon.\I guess I'll have to be the one who teaches Natsu how to dance.\No, I'm gonna take a little break...\That's it, Natsu! Let your shoulders relax!\I can't take any more!\How can an adult be that delicate?! And you call yourself a Man?! response:	Elfman, you're up next!
context: Anybody who dances with Erza always gets sick to their stomach.\You can see why she was called the Dancing Demon.\I guess I'll have to be the one who teaches Natsu how to dance.\No, I'm gonna take a little break...\That's it, Natsu! Let your shoulders relax!\I can't take any more!\How can an adult be that delicate?! And you call yourself a Man?!\Elfman, you're up next! response:	A Man... gets sick!
context: You can see why she was called the Dancing Demon.\I guess I'll have to be the one who teaches Natsu how to dance.\No, I'm gonna take a little break...\That's it, Natsu! Let your shoulders relax!\I can't take any more!\How can an adult be that delicate?! And you call yourself a Man?!\Elfman, you're up next!\A Man... gets sick! response:	Is this social dancing? It's lovely!
context: I guess I'll have to be the one who teaches Natsu how to dance.\No, I'm gonna take a little break...\That's it, Natsu! Let your shoulders relax!\I can't take any more!\How can an adult be that delicate?! And you call yourself a Man?!\Elfman, you're up next!\A Man... gets sick!\Is this social dancing? It's lovely! response:	Shall we dance?
context: No, I'm gonna take a little break...\That's it, Natsu! Let your shoulders relax!\I can't take any more!\How can an adult be that delicate?! And you call yourself a Man?!\Elfman, you're up next!\A Man... gets sick!\Is this social dancing? It's lovely!\Shall we dance? response:	I'd love to.
context: That's it, Natsu! Let your shoulders relax!\I can't take any more!\How can an adult be that delicate?! And you call yourself a Man?!\Elfman, you're up next!\A Man... gets sick!\Is this social dancing? It's lovely!\Shall we dance?\I'd love to. response:	Huh! Wendy's great at dancing!
context: I can't take any more!\How can an adult be that delicate?! And you call yourself a Man?!\Elfman, you're up next!\A Man... gets sick!\Is this social dancing? It's lovely!\Shall we dance?\I'd love to.\Huh! Wendy's great at dancing! response:	But why is she dancing with Warren?
context: How can an adult be that delicate?! And you call yourself a Man?!\Elfman, you're up next!\A Man... gets sick!\Is this social dancing? It's lovely!\Shall we dance?\I'd love to.\Huh! Wendy's great at dancing!\But why is she dancing with Warren? response:	Shall we dance?
context: Elfman, you're up next!\A Man... gets sick!\Is this social dancing? It's lovely!\Shall we dance?\I'd love to.\Huh! Wendy's great at dancing!\But why is she dancing with Warren?\Shall we dance? response:	If you insist...
context: A Man... gets sick!\Is this social dancing? It's lovely!\Shall we dance?\I'd love to.\Huh! Wendy's great at dancing!\But why is she dancing with Warren?\Shall we dance?\If you insist... response:	Let's you and me try dancing, too!
context: Is this social dancing? It's lovely!\Shall we dance?\I'd love to.\Huh! Wendy's great at dancing!\But why is she dancing with Warren?\Shall we dance?\If you insist...\Let's you and me try dancing, too! response:	Sure! It looks like fun!
context: Shall we dance?\I'd love to.\Huh! Wendy's great at dancing!\But why is she dancing with Warren?\Shall we dance?\If you insist...\Let's you and me try dancing, too!\Sure! It looks like fun! response:	Would you give me the honor of a dance, young lady?
context: I'd love to.\Huh! Wendy's great at dancing!\But why is she dancing with Warren?\Shall we dance?\If you insist...\Let's you and me try dancing, too!\Sure! It looks like fun!\Would you give me the honor of a dance, young lady? response:	Of course.
context: Huh! Wendy's great at dancing!\But why is she dancing with Warren?\Shall we dance?\If you insist...\Let's you and me try dancing, too!\Sure! It looks like fun!\Would you give me the honor of a dance, young lady?\Of course. response:	Yesss!
context: But why is she dancing with Warren?\Shall we dance?\If you insist...\Let's you and me try dancing, too!\Sure! It looks like fun!\Would you give me the honor of a dance, young lady?\Of course.\Yesss! response:	Bastard! Taking advantage of this chaos is playin' dirty!
context: Shall we dance?\If you insist...\Let's you and me try dancing, too!\Sure! It looks like fun!\Would you give me the honor of a dance, young lady?\Of course.\Yesss!\Bastard! Taking advantage of this chaos is playin' dirty! response:	Shut up and get outta the way!
context: If you insist...\Let's you and me try dancing, too!\Sure! It looks like fun!\Would you give me the honor of a dance, young lady?\Of course.\Yesss!\Bastard! Taking advantage of this chaos is playin' dirty!\Shut up and get outta the way! response:	Dad...
context: Let's you and me try dancing, too!\Sure! It looks like fun!\Would you give me the honor of a dance, young lady?\Of course.\Yesss!\Bastard! Taking advantage of this chaos is playin' dirty!\Shut up and get outta the way!\Dad... response:	Hey!
context: Sure! It looks like fun!\Would you give me the honor of a dance, young lady?\Of course.\Yesss!\Bastard! Taking advantage of this chaos is playin' dirty!\Shut up and get outta the way!\Dad...\Hey! response:	W-What?!
context: Would you give me the honor of a dance, young lady?\Of course.\Yesss!\Bastard! Taking advantage of this chaos is playin' dirty!\Shut up and get outta the way!\Dad...\Hey!\W-What?! response:	Just so you know, I ain't gonna dance!
context: Of course.\Yesss!\Bastard! Taking advantage of this chaos is playin' dirty!\Shut up and get outta the way!\Dad...\Hey!\W-What?!\Just so you know, I ain't gonna dance! response:	Well, nobody's asking you to!
context: Yesss!\Bastard! Taking advantage of this chaos is playin' dirty!\Shut up and get outta the way!\Dad...\Hey!\W-What?!\Just so you know, I ain't gonna dance!\Well, nobody's asking you to! response:	Levy, dance with me!
context: Bastard! Taking advantage of this chaos is playin' dirty!\Shut up and get outta the way!\Dad...\Hey!\W-What?!\Just so you know, I ain't gonna dance!\Well, nobody's asking you to!\Levy, dance with me! response:	What the hell?! I said it first!
context: Shut up and get outta the way!\Dad...\Hey!\W-What?!\Just so you know, I ain't gonna dance!\Well, nobody's asking you to!\Levy, dance with me!\What the hell?! I said it first! response:	I was first!
context: Dad...\Hey!\W-What?!\Just so you know, I ain't gonna dance!\Well, nobody's asking you to!\Levy, dance with me!\What the hell?! I said it first!\I was first! response:	It was me!
context: Hey!\W-What?!\Just so you know, I ain't gonna dance!\Well, nobody's asking you to!\Levy, dance with me!\What the hell?! I said it first!\I was first!\It was me! response:	No, me!
context: W-What?!\Just so you know, I ain't gonna dance!\Well, nobody's asking you to!\Levy, dance with me!\What the hell?! I said it first!\I was first!\It was me!\No, me! response:	I guess I have no choice if you're gonna be like that about it...
context: Just so you know, I ain't gonna dance!\Well, nobody's asking you to!\Levy, dance with me!\What the hell?! I said it first!\I was first!\It was me!\No, me!\I guess I have no choice if you're gonna be like that about it... response:	But, I didn't say anything...
context: Well, nobody's asking you to!\Levy, dance with me!\What the hell?! I said it first!\I was first!\It was me!\No, me!\I guess I have no choice if you're gonna be like that about it...\But, I didn't say anything... response:	What the hell is that?!
context: Levy, dance with me!\What the hell?! I said it first!\I was first!\It was me!\No, me!\I guess I have no choice if you're gonna be like that about it...\But, I didn't say anything...\What the hell is that?! response:	When it comes to dance, I'm the master!
context: What the hell?! I said it first!\I was first!\It was me!\No, me!\I guess I have no choice if you're gonna be like that about it...\But, I didn't say anything...\What the hell is that?!\When it comes to dance, I'm the master! response:	Visitar, your dances are something else entirely!
context: I was first!\It was me!\No, me!\I guess I have no choice if you're gonna be like that about it...\But, I didn't say anything...\What the hell is that?!\When it comes to dance, I'm the master!\Visitar, your dances are something else entirely! response:	To be frank, you're just in the way here!
context: It was me!\No, me!\I guess I have no choice if you're gonna be like that about it...\But, I didn't say anything...\What the hell is that?!\When it comes to dance, I'm the master!\Visitar, your dances are something else entirely!\To be frank, you're just in the way here! response:	This has become a big fuss right under my nose...
context: No, me!\I guess I have no choice if you're gonna be like that about it...\But, I didn't say anything...\What the hell is that?!\When it comes to dance, I'm the master!\Visitar, your dances are something else entirely!\To be frank, you're just in the way here!\This has become a big fuss right under my nose... response:	But... somewhere along the line, I lost my partner!
context: I guess I have no choice if you're gonna be like that about it...\But, I didn't say anything...\What the hell is that?!\When it comes to dance, I'm the master!\Visitar, your dances are something else entirely!\To be frank, you're just in the way here!\This has become a big fuss right under my nose...\But... somewhere along the line, I lost my partner! response:	You called?
context: But, I didn't say anything...\What the hell is that?!\When it comes to dance, I'm the master!\Visitar, your dances are something else entirely!\To be frank, you're just in the way here!\This has become a big fuss right under my nose...\But... somewhere along the line, I lost my partner!\You called? response:	No, I sure didn't!
context: What the hell is that?!\When it comes to dance, I'm the master!\Visitar, your dances are something else entirely!\To be frank, you're just in the way here!\This has become a big fuss right under my nose...\But... somewhere along the line, I lost my partner!\You called?\No, I sure didn't! response:	Huh... You're really good at dancing.
context: When it comes to dance, I'm the master!\Visitar, your dances are something else entirely!\To be frank, you're just in the way here!\This has become a big fuss right under my nose...\But... somewhere along the line, I lost my partner!\You called?\No, I sure didn't!\Huh... You're really good at dancing. response:	As a member of the Heartfilia family,
context: Visitar, your dances are something else entirely!\To be frank, you're just in the way here!\This has become a big fuss right under my nose...\But... somewhere along the line, I lost my partner!\You called?\No, I sure didn't!\Huh... You're really good at dancing.\As a member of the Heartfilia family, response:	you need to be raised as a proper lady, Lucy-sama. Thus...
context: To be frank, you're just in the way here!\This has become a big fuss right under my nose...\But... somewhere along the line, I lost my partner!\You called?\No, I sure didn't!\Huh... You're really good at dancing.\As a member of the Heartfilia family,\you need to be raised as a proper lady, Lucy-sama. Thus... response:	Yeah, yeah. But I think this is a little overkill...
context: This has become a big fuss right under my nose...\But... somewhere along the line, I lost my partner!\You called?\No, I sure didn't!\Huh... You're really good at dancing.\As a member of the Heartfilia family,\you need to be raised as a proper lady, Lucy-sama. Thus...\Yeah, yeah. But I think this is a little overkill... response:	That matters not. Let's take it from the top once more.
context: But... somewhere along the line, I lost my partner!\You called?\No, I sure didn't!\Huh... You're really good at dancing.\As a member of the Heartfilia family,\you need to be raised as a proper lady, Lucy-sama. Thus...\Yeah, yeah. But I think this is a little overkill...\That matters not. Let's take it from the top once more. response:	And this is Balsamico Palace, home of the client.
context: You called?\No, I sure didn't!\Huh... You're really good at dancing.\As a member of the Heartfilia family,\you need to be raised as a proper lady, Lucy-sama. Thus...\Yeah, yeah. But I think this is a little overkill...\That matters not. Let's take it from the top once more.\And this is Balsamico Palace, home of the client. response:	We made it!
context: No, I sure didn't!\Huh... You're really good at dancing.\As a member of the Heartfilia family,\you need to be raised as a proper lady, Lucy-sama. Thus...\Yeah, yeah. But I think this is a little overkill...\That matters not. Let's take it from the top once more.\And this is Balsamico Palace, home of the client.\We made it! response:	So the magical ball's gonna be held in this palace, huh?
context: Huh... You're really good at dancing.\As a member of the Heartfilia family,\you need to be raised as a proper lady, Lucy-sama. Thus...\Yeah, yeah. But I think this is a little overkill...\That matters not. Let's take it from the top once more.\And this is Balsamico Palace, home of the client.\We made it!\So the magical ball's gonna be held in this palace, huh? response:	It was farther away than I thought.
context: As a member of the Heartfilia family,\you need to be raised as a proper lady, Lucy-sama. Thus...\Yeah, yeah. But I think this is a little overkill...\That matters not. Let's take it from the top once more.\And this is Balsamico Palace, home of the client.\We made it!\So the magical ball's gonna be held in this palace, huh?\It was farther away than I thought. response:	That can't be helped. We're doing it for the dance!
context: you need to be raised as a proper lady, Lucy-sama. Thus...\Yeah, yeah. But I think this is a little overkill...\That matters not. Let's take it from the top once more.\And this is Balsamico Palace, home of the client.\We made it!\So the magical ball's gonna be held in this palace, huh?\It was farther away than I thought.\That can't be helped. We're doing it for the dance! response:	You shouldn't have tagged along if you're only doing it to dance!
context: Yeah, yeah. But I think this is a little overkill...\That matters not. Let's take it from the top once more.\And this is Balsamico Palace, home of the client.\We made it!\So the magical ball's gonna be held in this palace, huh?\It was farther away than I thought.\That can't be helped. We're doing it for the dance!\You shouldn't have tagged along if you're only doing it to dance! response:	May I ask who you people are?
context: That matters not. Let's take it from the top once more.\And this is Balsamico Palace, home of the client.\We made it!\So the magical ball's gonna be held in this palace, huh?\It was farther away than I thought.\That can't be helped. We're doing it for the dance!\You shouldn't have tagged along if you're only doing it to dance!\May I ask who you people are? response:	She's a real dish!
context: And this is Balsamico Palace, home of the client.\We made it!\So the magical ball's gonna be held in this palace, huh?\It was farther away than I thought.\That can't be helped. We're doing it for the dance!\You shouldn't have tagged along if you're only doing it to dance!\May I ask who you people are?\She's a real dish! response:	There's no need to mentally shout that!
context: We made it!\So the magical ball's gonna be held in this palace, huh?\It was farther away than I thought.\That can't be helped. We're doing it for the dance!\You shouldn't have tagged along if you're only doing it to dance!\May I ask who you people are?\She's a real dish!\There's no need to mentally shout that! response:	Who are you?
context: So the magical ball's gonna be held in this palace, huh?\It was farther away than I thought.\That can't be helped. We're doing it for the dance!\You shouldn't have tagged along if you're only doing it to dance!\May I ask who you people are?\She's a real dish!\There's no need to mentally shout that!\Who are you? response:	I'm Aceto, daughter of Balsamico, lord of this palace.
context: It was farther away than I thought.\That can't be helped. We're doing it for the dance!\You shouldn't have tagged along if you're only doing it to dance!\May I ask who you people are?\She's a real dish!\There's no need to mentally shout that!\Who are you?\I'm Aceto, daughter of Balsamico, lord of this palace. response:	That's a name you'd probably bite your tongue saying!
