context: What happened...? response:	Pu-Re-Mi-A-Mu...
context: Good t'see ya...\Thanks for helping me move in.\Take yer time lookin'!\There's just about everything here.\Cheap candy... They never let me eat any as a kid, since it was bad for me.\With Naru coming over to play, I should have some on hand.\Naru likes Kanro hard candy and Choco-Bats.\Is she psychic!? response:	Squid on a Stick
context: Thanks for helping me move in.\Take yer time lookin'!\There's just about everything here.\Cheap candy... They never let me eat any as a kid, since it was bad for me.\With Naru coming over to play, I should have some on hand.\Naru likes Kanro hard candy and Choco-Bats.\Is she psychic!?\Squid on a Stick response:	Maybe I'll buy some in bulk...
context: Take yer time lookin'!\There's just about everything here.\Cheap candy... They never let me eat any as a kid, since it was bad for me.\With Naru coming over to play, I should have some on hand.\Naru likes Kanro hard candy and Choco-Bats.\Is she psychic!?\Squid on a Stick\Maybe I'll buy some in bulk... response:	Good, then other kids gonna come...
context: There's just about everything here.\Cheap candy... They never let me eat any as a kid, since it was bad for me.\With Naru coming over to play, I should have some on hand.\Naru likes Kanro hard candy and Choco-Bats.\Is she psychic!?\Squid on a Stick\Maybe I'll buy some in bulk...\Good, then other kids gonna come... response:	What's this thing?
context: Cheap candy... They never let me eat any as a kid, since it was bad for me.\With Naru coming over to play, I should have some on hand.\Naru likes Kanro hard candy and Choco-Bats.\Is she psychic!?\Squid on a Stick\Maybe I'll buy some in bulk...\Good, then other kids gonna come...\What's this thing? response:	It's cheap, so a peek wouldn't hurt.
context: With Naru coming over to play, I should have some on hand.\Naru likes Kanro hard candy and Choco-Bats.\Is she psychic!?\Squid on a Stick\Maybe I'll buy some in bulk...\Good, then other kids gonna come...\What's this thing?\It's cheap, so a peek wouldn't hurt. response:	Oh, crap!
context: Naru likes Kanro hard candy and Choco-Bats.\Is she psychic!?\Squid on a Stick\Maybe I'll buy some in bulk...\Good, then other kids gonna come...\What's this thing?\It's cheap, so a peek wouldn't hurt.\Oh, crap! response:	What are these?
context: Is she psychic!?\Squid on a Stick\Maybe I'll buy some in bulk...\Good, then other kids gonna come...\What's this thing?\It's cheap, so a peek wouldn't hurt.\Oh, crap!\What are these? response:	Needles?!
context: Squid on a Stick\Maybe I'll buy some in bulk...\Good, then other kids gonna come...\What's this thing?\It's cheap, so a peek wouldn't hurt.\Oh, crap!\What are these?\Needles?! response:	Augh! Sorry, I'll pick them up!
context: Maybe I'll buy some in bulk...\Good, then other kids gonna come...\What's this thing?\It's cheap, so a peek wouldn't hurt.\Oh, crap!\What are these?\Needles?!\Augh! Sorry, I'll pick them up! response:	That's all of them.
context: Good, then other kids gonna come...\What's this thing?\It's cheap, so a peek wouldn't hurt.\Oh, crap!\What are these?\Needles?!\Augh! Sorry, I'll pick them up!\That's all of them. response:	I'll pay for it.
context: What's this thing?\It's cheap, so a peek wouldn't hurt.\Oh, crap!\What are these?\Needles?!\Augh! Sorry, I'll pick them up!\That's all of them.\I'll pay for it. response:	Oh, no no.
context: It's cheap, so a peek wouldn't hurt.\Oh, crap!\What are these?\Needles?!\Augh! Sorry, I'll pick them up!\That's all of them.\I'll pay for it.\Oh, no no. response:	You done swept the floor for me.
context: Oh, crap!\What are these?\Needles?!\Augh! Sorry, I'll pick them up!\That's all of them.\I'll pay for it.\Oh, no no.\You done swept the floor for me. response:	Can't bend over lately on account of back pain.
context: What are these?\Needles?!\Augh! Sorry, I'll pick them up!\That's all of them.\I'll pay for it.\Oh, no no.\You done swept the floor for me.\Can't bend over lately on account of back pain. response:	That was mighty helpful.
context: Needles?!\Augh! Sorry, I'll pick them up!\That's all of them.\I'll pay for it.\Oh, no no.\You done swept the floor for me.\Can't bend over lately on account of back pain.\That was mighty helpful. response:	Isn't it because you're carrying that poodle?
context: Augh! Sorry, I'll pick them up!\That's all of them.\I'll pay for it.\Oh, no no.\You done swept the floor for me.\Can't bend over lately on account of back pain.\That was mighty helpful.\Isn't it because you're carrying that poodle? response:	No, I can't say that.
context: That's all of them.\I'll pay for it.\Oh, no no.\You done swept the floor for me.\Can't bend over lately on account of back pain.\That was mighty helpful.\Isn't it because you're carrying that poodle?\No, I can't say that. response:	'Scuze me.
context: I'll pay for it.\Oh, no no.\You done swept the floor for me.\Can't bend over lately on account of back pain.\That was mighty helpful.\Isn't it because you're carrying that poodle?\No, I can't say that.\'Scuze me. response:	Oh, hello.
context: Oh, no no.\You done swept the floor for me.\Can't bend over lately on account of back pain.\That was mighty helpful.\Isn't it because you're carrying that poodle?\No, I can't say that.\'Scuze me.\Oh, hello. response:	Mighty hot out there!
context: You done swept the floor for me.\Can't bend over lately on account of back pain.\That was mighty helpful.\Isn't it because you're carrying that poodle?\No, I can't say that.\'Scuze me.\Oh, hello.\Mighty hot out there! response:	Good t'see ya!
context: Can't bend over lately on account of back pain.\That was mighty helpful.\Isn't it because you're carrying that poodle?\No, I can't say that.\'Scuze me.\Oh, hello.\Mighty hot out there!\Good t'see ya! response:	Bad back a'mite bettah?
context: That was mighty helpful.\Isn't it because you're carrying that poodle?\No, I can't say that.\'Scuze me.\Oh, hello.\Mighty hot out there!\Good t'see ya!\Bad back a'mite bettah? response:	Translation: Is your back doing well?
context: Isn't it because you're carrying that poodle?\No, I can't say that.\'Scuze me.\Oh, hello.\Mighty hot out there!\Good t'see ya!\Bad back a'mite bettah?\Translation: Is your back doing well? response:	Wha' you a'heah foah?
context: No, I can't say that.\'Scuze me.\Oh, hello.\Mighty hot out there!\Good t'see ya!\Bad back a'mite bettah?\Translation: Is your back doing well?\Wha' you a'heah foah? response:	Translation: What did you come to buy?
context: 'Scuze me.\Oh, hello.\Mighty hot out there!\Good t'see ya!\Bad back a'mite bettah?\Translation: Is your back doing well?\Wha' you a'heah foah?\Translation: What did you come to buy? response:	Translation: Do you have any thread( ito )?
context: Oh, hello.\Mighty hot out there!\Good t'see ya!\Bad back a'mite bettah?\Translation: Is your back doing well?\Wha' you a'heah foah?\Translation: What did you come to buy?\Translation: Do you have any thread( ito )? response:	Translation: Yes, it hurts( ita ).
context: Mighty hot out there!\Good t'see ya!\Bad back a'mite bettah?\Translation: Is your back doing well?\Wha' you a'heah foah?\Translation: What did you come to buy?\Translation: Do you have any thread( ito )?\Translation: Yes, it hurts( ita ). response:	Translation: Do you have any thread?
context: Good t'see ya!\Bad back a'mite bettah?\Translation: Is your back doing well?\Wha' you a'heah foah?\Translation: What did you come to buy?\Translation: Do you have any thread( ito )?\Translation: Yes, it hurts( ita ).\Translation: Do you have any thread? response:	Translation: Yes, it hurts.
context: Bad back a'mite bettah?\Translation: Is your back doing well?\Wha' you a'heah foah?\Translation: What did you come to buy?\Translation: Do you have any thread( ito )?\Translation: Yes, it hurts( ita ).\Translation: Do you have any thread?\Translation: Yes, it hurts. response:	Translation: Doesn't it hurt?
context: Translation: Is your back doing well?\Wha' you a'heah foah?\Translation: What did you come to buy?\Translation: Do you have any thread( ito )?\Translation: Yes, it hurts( ita ).\Translation: Do you have any thread?\Translation: Yes, it hurts.\Translation: Doesn't it hurt? response:	Translation: Yes, it hurts.
context: Wha' you a'heah foah?\Translation: What did you come to buy?\Translation: Do you have any thread( ito )?\Translation: Yes, it hurts( ita ).\Translation: Do you have any thread?\Translation: Yes, it hurts.\Translation: Doesn't it hurt?\Translation: Yes, it hurts. response:	Uh, by ito you mean this, right?
context: Translation: What did you come to buy?\Translation: Do you have any thread( ito )?\Translation: Yes, it hurts( ita ).\Translation: Do you have any thread?\Translation: Yes, it hurts.\Translation: Doesn't it hurt?\Translation: Yes, it hurts.\Uh, by ito you mean this, right? response:	Yeah! Thassit! Thassit!
context: Translation: Do you have any thread( ito )?\Translation: Yes, it hurts( ita ).\Translation: Do you have any thread?\Translation: Yes, it hurts.\Translation: Doesn't it hurt?\Translation: Yes, it hurts.\Uh, by ito you mean this, right?\Yeah! Thassit! Thassit! response:	I was askin' for those.
context: Translation: Yes, it hurts( ita ).\Translation: Do you have any thread?\Translation: Yes, it hurts.\Translation: Doesn't it hurt?\Translation: Yes, it hurts.\Uh, by ito you mean this, right?\Yeah! Thassit! Thassit!\I was askin' for those. response:	But she kept sayin' itaka , itaka !
context: Translation: Do you have any thread?\Translation: Yes, it hurts.\Translation: Doesn't it hurt?\Translation: Yes, it hurts.\Uh, by ito you mean this, right?\Yeah! Thassit! Thassit!\I was askin' for those.\But she kept sayin' itaka , itaka ! response:	Ol' biddy heah got right bad eah'swell.
context: Translation: Yes, it hurts.\Translation: Doesn't it hurt?\Translation: Yes, it hurts.\Uh, by ito you mean this, right?\Yeah! Thassit! Thassit!\I was askin' for those.\But she kept sayin' itaka , itaka !\Ol' biddy heah got right bad eah'swell. response:	Translation: The old hag has bad ears too.
context: Translation: Doesn't it hurt?\Translation: Yes, it hurts.\Uh, by ito you mean this, right?\Yeah! Thassit! Thassit!\I was askin' for those.\But she kept sayin' itaka , itaka !\Ol' biddy heah got right bad eah'swell.\Translation: The old hag has bad ears too. response:	I don't know what you're saying.
context: Translation: Yes, it hurts.\Uh, by ito you mean this, right?\Yeah! Thassit! Thassit!\I was askin' for those.\But she kept sayin' itaka , itaka !\Ol' biddy heah got right bad eah'swell.\Translation: The old hag has bad ears too.\I don't know what you're saying. response:	Why're you gettin' so angry?!
context: Uh, by ito you mean this, right?\Yeah! Thassit! Thassit!\I was askin' for those.\But she kept sayin' itaka , itaka !\Ol' biddy heah got right bad eah'swell.\Translation: The old hag has bad ears too.\I don't know what you're saying.\Why're you gettin' so angry?! response:	Oh, right, ink.
context: Yeah! Thassit! Thassit!\I was askin' for those.\But she kept sayin' itaka , itaka !\Ol' biddy heah got right bad eah'swell.\Translation: The old hag has bad ears too.\I don't know what you're saying.\Why're you gettin' so angry?!\Oh, right, ink. response:	Many-Many Ink Drops
context: I was askin' for those.\But she kept sayin' itaka , itaka !\Ol' biddy heah got right bad eah'swell.\Translation: The old hag has bad ears too.\I don't know what you're saying.\Why're you gettin' so angry?!\Oh, right, ink.\Many-Many Ink Drops response:	I'm sorry. You ended up letting me take it.
context: But she kept sayin' itaka , itaka !\Ol' biddy heah got right bad eah'swell.\Translation: The old hag has bad ears too.\I don't know what you're saying.\Why're you gettin' so angry?!\Oh, right, ink.\Many-Many Ink Drops\I'm sorry. You ended up letting me take it. response:	It's okay.
context: Ol' biddy heah got right bad eah'swell.\Translation: The old hag has bad ears too.\I don't know what you're saying.\Why're you gettin' so angry?!\Oh, right, ink.\Many-Many Ink Drops\I'm sorry. You ended up letting me take it.\It's okay. response:	I can always grind an ink stick.
context: Translation: The old hag has bad ears too.\I don't know what you're saying.\Why're you gettin' so angry?!\Oh, right, ink.\Many-Many Ink Drops\I'm sorry. You ended up letting me take it.\It's okay.\I can always grind an ink stick. response:	This does help, I have a deadline soon.
context: I don't know what you're saying.\Why're you gettin' so angry?!\Oh, right, ink.\Many-Many Ink Drops\I'm sorry. You ended up letting me take it.\It's okay.\I can always grind an ink stick.\This does help, I have a deadline soon. response:	That's right, I remember about you drawing manga.
context: Why're you gettin' so angry?!\Oh, right, ink.\Many-Many Ink Drops\I'm sorry. You ended up letting me take it.\It's okay.\I can always grind an ink stick.\This does help, I have a deadline soon.\That's right, I remember about you drawing manga. response:	Oh, no!! My work is nothing that great.
context: Oh, right, ink.\Many-Many Ink Drops\I'm sorry. You ended up letting me take it.\It's okay.\I can always grind an ink stick.\This does help, I have a deadline soon.\That's right, I remember about you drawing manga.\Oh, no!! My work is nothing that great. response:	It's nothing to be ashamed of.
context: Many-Many Ink Drops\I'm sorry. You ended up letting me take it.\It's okay.\I can always grind an ink stick.\This does help, I have a deadline soon.\That's right, I remember about you drawing manga.\Oh, no!! My work is nothing that great.\It's nothing to be ashamed of. response:	We both know about the fun of drawing and writing.
context: I'm sorry. You ended up letting me take it.\It's okay.\I can always grind an ink stick.\This does help, I have a deadline soon.\That's right, I remember about you drawing manga.\Oh, no!! My work is nothing that great.\It's nothing to be ashamed of.\We both know about the fun of drawing and writing. response:	Let's be friends.
context: It's okay.\I can always grind an ink stick.\This does help, I have a deadline soon.\That's right, I remember about you drawing manga.\Oh, no!! My work is nothing that great.\It's nothing to be ashamed of.\We both know about the fun of drawing and writing.\Let's be friends. response:	Um!
context: I can always grind an ink stick.\This does help, I have a deadline soon.\That's right, I remember about you drawing manga.\Oh, no!! My work is nothing that great.\It's nothing to be ashamed of.\We both know about the fun of drawing and writing.\Let's be friends.\Um! response:	Would you... please read my manga?
context: This does help, I have a deadline soon.\That's right, I remember about you drawing manga.\Oh, no!! My work is nothing that great.\It's nothing to be ashamed of.\We both know about the fun of drawing and writing.\Let's be friends.\Um!\Would you... please read my manga? response:	I plan to submit it to a boys' magazine,
context: That's right, I remember about you drawing manga.\Oh, no!! My work is nothing that great.\It's nothing to be ashamed of.\We both know about the fun of drawing and writing.\Let's be friends.\Um!\Would you... please read my manga?\I plan to submit it to a boys' magazine, response:	but I would like to hear someone's frank opinion first.
context: Oh, no!! My work is nothing that great.\It's nothing to be ashamed of.\We both know about the fun of drawing and writing.\Let's be friends.\Um!\Would you... please read my manga?\I plan to submit it to a boys' magazine,\but I would like to hear someone's frank opinion first. response:	I'm no expert on manga, so I couldn't give you any pointers.
context: It's nothing to be ashamed of.\We both know about the fun of drawing and writing.\Let's be friends.\Um!\Would you... please read my manga?\I plan to submit it to a boys' magazine,\but I would like to hear someone's frank opinion first.\I'm no expert on manga, so I couldn't give you any pointers. response:	I don't mind!
context: We both know about the fun of drawing and writing.\Let's be friends.\Um!\Would you... please read my manga?\I plan to submit it to a boys' magazine,\but I would like to hear someone's frank opinion first.\I'm no expert on manga, so I couldn't give you any pointers.\I don't mind! response:	I asked because it's you.
context: Let's be friends.\Um!\Would you... please read my manga?\I plan to submit it to a boys' magazine,\but I would like to hear someone's frank opinion first.\I'm no expert on manga, so I couldn't give you any pointers.\I don't mind!\I asked because it's you. response:	I want someone who knows the fun of drawing and writing to read it!
context: Um!\Would you... please read my manga?\I plan to submit it to a boys' magazine,\but I would like to hear someone's frank opinion first.\I'm no expert on manga, so I couldn't give you any pointers.\I don't mind!\I asked because it's you.\I want someone who knows the fun of drawing and writing to read it! response:	Okay, if you insist.
context: Would you... please read my manga?\I plan to submit it to a boys' magazine,\but I would like to hear someone's frank opinion first.\I'm no expert on manga, so I couldn't give you any pointers.\I don't mind!\I asked because it's you.\I want someone who knows the fun of drawing and writing to read it!\Okay, if you insist. response:	Isn't that a striking introduction?
context: I plan to submit it to a boys' magazine,\but I would like to hear someone's frank opinion first.\I'm no expert on manga, so I couldn't give you any pointers.\I don't mind!\I asked because it's you.\I want someone who knows the fun of drawing and writing to read it!\Okay, if you insist.\Isn't that a striking introduction? response:	Is this for a horror magazine?
context: but I would like to hear someone's frank opinion first.\I'm no expert on manga, so I couldn't give you any pointers.\I don't mind!\I asked because it's you.\I want someone who knows the fun of drawing and writing to read it!\Okay, if you insist.\Isn't that a striking introduction?\Is this for a horror magazine? response:	No, a boys' magazine!
context: I'm no expert on manga, so I couldn't give you any pointers.\I don't mind!\I asked because it's you.\I want someone who knows the fun of drawing and writing to read it!\Okay, if you insist.\Isn't that a striking introduction?\Is this for a horror magazine?\No, a boys' magazine! response:	Is there something odd about it?
context: I don't mind!\I asked because it's you.\I want someone who knows the fun of drawing and writing to read it!\Okay, if you insist.\Isn't that a striking introduction?\Is this for a horror magazine?\No, a boys' magazine!\Is there something odd about it? response:	Not exactly...
context: I asked because it's you.\I want someone who knows the fun of drawing and writing to read it!\Okay, if you insist.\Isn't that a striking introduction?\Is this for a horror magazine?\No, a boys' magazine!\Is there something odd about it?\Not exactly... response:	Splort
context: I want someone who knows the fun of drawing and writing to read it!\Okay, if you insist.\Isn't that a striking introduction?\Is this for a horror magazine?\No, a boys' magazine!\Is there something odd about it?\Not exactly...\Splort response:	Shouldn't it have more of the usual boys' magazine stuff?
context: Okay, if you insist.\Isn't that a striking introduction?\Is this for a horror magazine?\No, a boys' magazine!\Is there something odd about it?\Not exactly...\Splort\Shouldn't it have more of the usual boys' magazine stuff? response:	The one whose name is written bursts apart?
