context: Do you think I'll let you score any more points? response:	Here I come!
context: Any guys who join now will receive special services from the seniors.\How about you, do you want to join the Swimming club?\Let's take a look, Moka-san.\I had experience with soccer... no, I have gone to swimming school before.\If it's swimming, perhaps I can show Moka-san my good side.\Tsukune, you're so cool!\And...\Does it look good on me? response:	Of course.
context: How about you, do you want to join the Swimming club?\Let's take a look, Moka-san.\I had experience with soccer... no, I have gone to swimming school before.\If it's swimming, perhaps I can show Moka-san my good side.\Tsukune, you're so cool!\And...\Does it look good on me?\Of course. response:	Tsukune?
context: Let's take a look, Moka-san.\I had experience with soccer... no, I have gone to swimming school before.\If it's swimming, perhaps I can show Moka-san my good side.\Tsukune, you're so cool!\And...\Does it look good on me?\Of course.\Tsukune? response:	Anyway, let's go take a look first.
context: I had experience with soccer... no, I have gone to swimming school before.\If it's swimming, perhaps I can show Moka-san my good side.\Tsukune, you're so cool!\And...\Does it look good on me?\Of course.\Tsukune?\Anyway, let's go take a look first. response:	But I... with water...
context: If it's swimming, perhaps I can show Moka-san my good side.\Tsukune, you're so cool!\And...\Does it look good on me?\Of course.\Tsukune?\Anyway, let's go take a look first.\But I... with water... response:	Looks like she's not interested, how about you come over and take a look?
context: Tsukune, you're so cool!\And...\Does it look good on me?\Of course.\Tsukune?\Anyway, let's go take a look first.\But I... with water...\Looks like she's not interested, how about you come over and take a look? response:	I will take good care of you.
context: And...\Does it look good on me?\Of course.\Tsukune?\Anyway, let's go take a look first.\But I... with water...\Looks like she's not interested, how about you come over and take a look?\I will take good care of you. response:	In many ways...
context: Does it look good on me?\Of course.\Tsukune?\Anyway, let's go take a look first.\But I... with water...\Looks like she's not interested, how about you come over and take a look?\I will take good care of you.\In many ways... response:	I'm going too!
context: Of course.\Tsukune?\Anyway, let's go take a look first.\But I... with water...\Looks like she's not interested, how about you come over and take a look?\I will take good care of you.\In many ways...\I'm going too! response:	What beautiful legs...
context: Tsukune?\Anyway, let's go take a look first.\But I... with water...\Looks like she's not interested, how about you come over and take a look?\I will take good care of you.\In many ways...\I'm going too!\What beautiful legs... response:	Idiot, what's the use of getting excited over legs? Look at the breasts, the breasts!
context: Anyway, let's go take a look first.\But I... with water...\Looks like she's not interested, how about you come over and take a look?\I will take good care of you.\In many ways...\I'm going too!\What beautiful legs...\Idiot, what's the use of getting excited over legs? Look at the breasts, the breasts! response:	I wonder if Moka-san... Doesn't know how to swim.
context: But I... with water...\Looks like she's not interested, how about you come over and take a look?\I will take good care of you.\In many ways...\I'm going too!\What beautiful legs...\Idiot, what's the use of getting excited over legs? Look at the breasts, the breasts!\I wonder if Moka-san... Doesn't know how to swim. response:	Don't give up, be patient.
context: Looks like she's not interested, how about you come over and take a look?\I will take good care of you.\In many ways...\I'm going too!\What beautiful legs...\Idiot, what's the use of getting excited over legs? Look at the breasts, the breasts!\I wonder if Moka-san... Doesn't know how to swim.\Don't give up, be patient. response:	Something good will come soon.
context: I will take good care of you.\In many ways...\I'm going too!\What beautiful legs...\Idiot, what's the use of getting excited over legs? Look at the breasts, the breasts!\I wonder if Moka-san... Doesn't know how to swim.\Don't give up, be patient.\Something good will come soon. response:	Moka-san's swimsuit.
context: In many ways...\I'm going too!\What beautiful legs...\Idiot, what's the use of getting excited over legs? Look at the breasts, the breasts!\I wonder if Moka-san... Doesn't know how to swim.\Don't give up, be patient.\Something good will come soon.\Moka-san's swimsuit. response:	Geez, what's Tsukune thinking, being all flirty?
context: I'm going too!\What beautiful legs...\Idiot, what's the use of getting excited over legs? Look at the breasts, the breasts!\I wonder if Moka-san... Doesn't know how to swim.\Don't give up, be patient.\Something good will come soon.\Moka-san's swimsuit.\Geez, what's Tsukune thinking, being all flirty? response:	You move your arms like this.
context: What beautiful legs...\Idiot, what's the use of getting excited over legs? Look at the breasts, the breasts!\I wonder if Moka-san... Doesn't know how to swim.\Don't give up, be patient.\Something good will come soon.\Moka-san's swimsuit.\Geez, what's Tsukune thinking, being all flirty?\You move your arms like this. response:	Erm... Senpai...
context: Idiot, what's the use of getting excited over legs? Look at the breasts, the breasts!\I wonder if Moka-san... Doesn't know how to swim.\Don't give up, be patient.\Something good will come soon.\Moka-san's swimsuit.\Geez, what's Tsukune thinking, being all flirty?\You move your arms like this.\Erm... Senpai... response:	What's it, Tsukune-kun?
context: I wonder if Moka-san... Doesn't know how to swim.\Don't give up, be patient.\Something good will come soon.\Moka-san's swimsuit.\Geez, what's Tsukune thinking, being all flirty?\You move your arms like this.\Erm... Senpai...\What's it, Tsukune-kun? response:	Don't you think you are a little too close?
context: Don't give up, be patient.\Something good will come soon.\Moka-san's swimsuit.\Geez, what's Tsukune thinking, being all flirty?\You move your arms like this.\Erm... Senpai...\What's it, Tsukune-kun?\Don't you think you are a little too close? response:	My... You don't like me?
context: Something good will come soon.\Moka-san's swimsuit.\Geez, what's Tsukune thinking, being all flirty?\You move your arms like this.\Erm... Senpai...\What's it, Tsukune-kun?\Don't you think you are a little too close?\My... You don't like me? response:	Tsukune-kun, you're cute.
context: Moka-san's swimsuit.\Geez, what's Tsukune thinking, being all flirty?\You move your arms like this.\Erm... Senpai...\What's it, Tsukune-kun?\Don't you think you are a little too close?\My... You don't like me?\Tsukune-kun, you're cute. response:	Come Tsukune-kun, move your arm once more.
context: Geez, what's Tsukune thinking, being all flirty?\You move your arms like this.\Erm... Senpai...\What's it, Tsukune-kun?\Don't you think you are a little too close?\My... You don't like me?\Tsukune-kun, you're cute.\Come Tsukune-kun, move your arm once more. response:	S-Soft...
context: You move your arms like this.\Erm... Senpai...\What's it, Tsukune-kun?\Don't you think you are a little too close?\My... You don't like me?\Tsukune-kun, you're cute.\Come Tsukune-kun, move your arm once more.\S-Soft... response:	Enough of this!
context: Erm... Senpai...\What's it, Tsukune-kun?\Don't you think you are a little too close?\My... You don't like me?\Tsukune-kun, you're cute.\Come Tsukune-kun, move your arm once more.\S-Soft...\Enough of this! response:	Moka-san?
context: What's it, Tsukune-kun?\Don't you think you are a little too close?\My... You don't like me?\Tsukune-kun, you're cute.\Come Tsukune-kun, move your arm once more.\S-Soft...\Enough of this!\Moka-san? response:	You joined the swimming club just to get close to the girls, right?!
context: Don't you think you are a little too close?\My... You don't like me?\Tsukune-kun, you're cute.\Come Tsukune-kun, move your arm once more.\S-Soft...\Enough of this!\Moka-san?\You joined the swimming club just to get close to the girls, right?! response:	No, it's a misunderstanding.
context: My... You don't like me?\Tsukune-kun, you're cute.\Come Tsukune-kun, move your arm once more.\S-Soft...\Enough of this!\Moka-san?\You joined the swimming club just to get close to the girls, right?!\No, it's a misunderstanding. response:	What's to misunderstand? I can't stand this anymore!
context: Tsukune-kun, you're cute.\Come Tsukune-kun, move your arm once more.\S-Soft...\Enough of this!\Moka-san?\You joined the swimming club just to get close to the girls, right?!\No, it's a misunderstanding.\What's to misunderstand? I can't stand this anymore! response:	I'm leaving first!
context: Come Tsukune-kun, move your arm once more.\S-Soft...\Enough of this!\Moka-san?\You joined the swimming club just to get close to the girls, right?!\No, it's a misunderstanding.\What's to misunderstand? I can't stand this anymore!\I'm leaving first! response:	Let me explain, Moka-san!
context: S-Soft...\Enough of this!\Moka-san?\You joined the swimming club just to get close to the girls, right?!\No, it's a misunderstanding.\What's to misunderstand? I can't stand this anymore!\I'm leaving first!\Let me explain, Moka-san! response:	I won't!
context: Enough of this!\Moka-san?\You joined the swimming club just to get close to the girls, right?!\No, it's a misunderstanding.\What's to misunderstand? I can't stand this anymore!\I'm leaving first!\Let me explain, Moka-san!\I won't! response:	Moka-san!
context: Moka-san?\You joined the swimming club just to get close to the girls, right?!\No, it's a misunderstanding.\What's to misunderstand? I can't stand this anymore!\I'm leaving first!\Let me explain, Moka-san!\I won't!\Moka-san! response:	It's like a children's fight, how boring.
context: You joined the swimming club just to get close to the girls, right?!\No, it's a misunderstanding.\What's to misunderstand? I can't stand this anymore!\I'm leaving first!\Let me explain, Moka-san!\I won't!\Moka-san!\It's like a children's fight, how boring. response:	What men and women need to do is merely snatch and grab.
context: No, it's a misunderstanding.\What's to misunderstand? I can't stand this anymore!\I'm leaving first!\Let me explain, Moka-san!\I won't!\Moka-san!\It's like a children's fight, how boring.\What men and women need to do is merely snatch and grab. response:	Do you understand the meaning of that?
context: What's to misunderstand? I can't stand this anymore!\I'm leaving first!\Let me explain, Moka-san!\I won't!\Moka-san!\It's like a children's fight, how boring.\What men and women need to do is merely snatch and grab.\Do you understand the meaning of that? response:	This is the Swimming club, if you don't want to swim then leave.
context: I'm leaving first!\Let me explain, Moka-san!\I won't!\Moka-san!\It's like a children's fight, how boring.\What men and women need to do is merely snatch and grab.\Do you understand the meaning of that?\This is the Swimming club, if you don't want to swim then leave. response:	You are so bothersome.
context: Let me explain, Moka-san!\I won't!\Moka-san!\It's like a children's fight, how boring.\What men and women need to do is merely snatch and grab.\Do you understand the meaning of that?\This is the Swimming club, if you don't want to swim then leave.\You are so bothersome. response:	Water...
context: I won't!\Moka-san!\It's like a children's fight, how boring.\What men and women need to do is merely snatch and grab.\Do you understand the meaning of that?\This is the Swimming club, if you don't want to swim then leave.\You are so bothersome.\Water... response:	Wait up, Moka-san! Moka-san!
context: Moka-san!\It's like a children's fight, how boring.\What men and women need to do is merely snatch and grab.\Do you understand the meaning of that?\This is the Swimming club, if you don't want to swim then leave.\You are so bothersome.\Water...\Wait up, Moka-san! Moka-san! response:	Tsukune, I've come to the swimming club!
context: It's like a children's fight, how boring.\What men and women need to do is merely snatch and grab.\Do you understand the meaning of that?\This is the Swimming club, if you don't want to swim then leave.\You are so bothersome.\Water...\Wait up, Moka-san! Moka-san!\Tsukune, I've come to the swimming club! response:	What the-
context: What men and women need to do is merely snatch and grab.\Do you understand the meaning of that?\This is the Swimming club, if you don't want to swim then leave.\You are so bothersome.\Water...\Wait up, Moka-san! Moka-san!\Tsukune, I've come to the swimming club!\What the- response:	I came too!
context: Do you understand the meaning of that?\This is the Swimming club, if you don't want to swim then leave.\You are so bothersome.\Water...\Wait up, Moka-san! Moka-san!\Tsukune, I've come to the swimming club!\What the-\I came too! response:	It's the hot chicks!
context: This is the Swimming club, if you don't want to swim then leave.\You are so bothersome.\Water...\Wait up, Moka-san! Moka-san!\Tsukune, I've come to the swimming club!\What the-\I came too!\It's the hot chicks! response:	How is it possible? Idiot, I'm happy.
context: You are so bothersome.\Water...\Wait up, Moka-san! Moka-san!\Tsukune, I've come to the swimming club!\What the-\I came too!\It's the hot chicks!\How is it possible? Idiot, I'm happy. response:	It's voluptuous...
context: Water...\Wait up, Moka-san! Moka-san!\Tsukune, I've come to the swimming club!\What the-\I came too!\It's the hot chicks!\How is it possible? Idiot, I'm happy.\It's voluptuous... response:	How warming.
context: Wait up, Moka-san! Moka-san!\Tsukune, I've come to the swimming club!\What the-\I came too!\It's the hot chicks!\How is it possible? Idiot, I'm happy.\It's voluptuous...\How warming. response:	Tsu-ku-ne, teach me how to swim.
context: Tsukune, I've come to the swimming club!\What the-\I came too!\It's the hot chicks!\How is it possible? Idiot, I'm happy.\It's voluptuous...\How warming.\Tsu-ku-ne, teach me how to swim. response:	Umm, Kurumu-chan, your breasts are...
context: What the-\I came too!\It's the hot chicks!\How is it possible? Idiot, I'm happy.\It's voluptuous...\How warming.\Tsu-ku-ne, teach me how to swim.\Umm, Kurumu-chan, your breasts are... response:	Oh my, my breast are hurting.
context: I came too!\It's the hot chicks!\How is it possible? Idiot, I'm happy.\It's voluptuous...\How warming.\Tsu-ku-ne, teach me how to swim.\Umm, Kurumu-chan, your breasts are...\Oh my, my breast are hurting. response:	This is my chance! I must make Tsukune mine today.
context: It's the hot chicks!\How is it possible? Idiot, I'm happy.\It's voluptuous...\How warming.\Tsu-ku-ne, teach me how to swim.\Umm, Kurumu-chan, your breasts are...\Oh my, my breast are hurting.\This is my chance! I must make Tsukune mine today. response:	Is this swimsuit a little too small?
context: How is it possible? Idiot, I'm happy.\It's voluptuous...\How warming.\Tsu-ku-ne, teach me how to swim.\Umm, Kurumu-chan, your breasts are...\Oh my, my breast are hurting.\This is my chance! I must make Tsukune mine today.\Is this swimsuit a little too small? response:	Tsukune-san, please teach me how to swim too!
context: It's voluptuous...\How warming.\Tsu-ku-ne, teach me how to swim.\Umm, Kurumu-chan, your breasts are...\Oh my, my breast are hurting.\This is my chance! I must make Tsukune mine today.\Is this swimsuit a little too small?\Tsukune-san, please teach me how to swim too! response:	I won't let Kurumu-san get her way.
context: How warming.\Tsu-ku-ne, teach me how to swim.\Umm, Kurumu-chan, your breasts are...\Oh my, my breast are hurting.\This is my chance! I must make Tsukune mine today.\Is this swimsuit a little too small?\Tsukune-san, please teach me how to swim too!\I won't let Kurumu-san get her way. response:	What are you doing? Tsukune is mine!
context: Tsu-ku-ne, teach me how to swim.\Umm, Kurumu-chan, your breasts are...\Oh my, my breast are hurting.\This is my chance! I must make Tsukune mine today.\Is this swimsuit a little too small?\Tsukune-san, please teach me how to swim too!\I won't let Kurumu-san get her way.\What are you doing? Tsukune is mine! response:	How is that possible?
context: Umm, Kurumu-chan, your breasts are...\Oh my, my breast are hurting.\This is my chance! I must make Tsukune mine today.\Is this swimsuit a little too small?\Tsukune-san, please teach me how to swim too!\I won't let Kurumu-san get her way.\What are you doing? Tsukune is mine!\How is that possible? response:	Give it up, flat-chested girl.
context: Oh my, my breast are hurting.\This is my chance! I must make Tsukune mine today.\Is this swimsuit a little too small?\Tsukune-san, please teach me how to swim too!\I won't let Kurumu-san get her way.\What are you doing? Tsukune is mine!\How is that possible?\Give it up, flat-chested girl. response:	It's not like bigger is better.
context: This is my chance! I must make Tsukune mine today.\Is this swimsuit a little too small?\Tsukune-san, please teach me how to swim too!\I won't let Kurumu-san get her way.\What are you doing? Tsukune is mine!\How is that possible?\Give it up, flat-chested girl.\It's not like bigger is better. response:	It's really too big...
context: Is this swimsuit a little too small?\Tsukune-san, please teach me how to swim too!\I won't let Kurumu-san get her way.\What are you doing? Tsukune is mine!\How is that possible?\Give it up, flat-chested girl.\It's not like bigger is better.\It's really too big... response:	When I was your age, they were already about this size.
context: Tsukune-san, please teach me how to swim too!\I won't let Kurumu-san get her way.\What are you doing? Tsukune is mine!\How is that possible?\Give it up, flat-chested girl.\It's not like bigger is better.\It's really too big...\When I was your age, they were already about this size. response:	I heard that big breasts sag earlier.
context: I won't let Kurumu-san get her way.\What are you doing? Tsukune is mine!\How is that possible?\Give it up, flat-chested girl.\It's not like bigger is better.\It's really too big...\When I was your age, they were already about this size.\I heard that big breasts sag earlier. response:	You're saying that my breasts will sag...
context: What are you doing? Tsukune is mine!\How is that possible?\Give it up, flat-chested girl.\It's not like bigger is better.\It's really too big...\When I was your age, they were already about this size.\I heard that big breasts sag earlier.\You're saying that my breasts will sag... response:	You little brat.
context: How is that possible?\Give it up, flat-chested girl.\It's not like bigger is better.\It's really too big...\When I was your age, they were already about this size.\I heard that big breasts sag earlier.\You're saying that my breasts will sag...\You little brat. response:	What are you doing, you milk cow!
context: Give it up, flat-chested girl.\It's not like bigger is better.\It's really too big...\When I was your age, they were already about this size.\I heard that big breasts sag earlier.\You're saying that my breasts will sag...\You little brat.\What are you doing, you milk cow! response:	Now, now...
context: It's not like bigger is better.\It's really too big...\When I was your age, they were already about this size.\I heard that big breasts sag earlier.\You're saying that my breasts will sag...\You little brat.\What are you doing, you milk cow!\Now, now... response:	Shut up, Tsukune!
context: It's really too big...\When I was your age, they were already about this size.\I heard that big breasts sag earlier.\You're saying that my breasts will sag...\You little brat.\What are you doing, you milk cow!\Now, now...\Shut up, Tsukune! response:	You don't even wear a bra yet!
context: When I was your age, they were already about this size.\I heard that big breasts sag earlier.\You're saying that my breasts will sag...\You little brat.\What are you doing, you milk cow!\Now, now...\Shut up, Tsukune!\You don't even wear a bra yet! response:	That doesn't matter!
