context: At that moment, the wind had suddenly blown. response:	Among the scattering cherry blossom petals in full bloom,
context: Don't forget about it.\Is that it?\Don't let your guard down.\I have a feeling that someone may try to steal it ba-\You okay?\Shut up.\Allergic to pollen?\During times like this, I'm happy that I'm a cat. response:	I hear cats are allergic to pollen, too.
context: Is that it?\Don't let your guard down.\I have a feeling that someone may try to steal it ba-\You okay?\Shut up.\Allergic to pollen?\During times like this, I'm happy that I'm a cat.\I hear cats are allergic to pollen, too. response:	Really?
context: Don't let your guard down.\I have a feeling that someone may try to steal it ba-\You okay?\Shut up.\Allergic to pollen?\During times like this, I'm happy that I'm a cat.\I hear cats are allergic to pollen, too.\Really? response:	Don't worry, Mao.
context: I have a feeling that someone may try to steal it ba-\You okay?\Shut up.\Allergic to pollen?\During times like this, I'm happy that I'm a cat.\I hear cats are allergic to pollen, too.\Really?\Don't worry, Mao. response:	Pollen won't affect us.
context: You okay?\Shut up.\Allergic to pollen?\During times like this, I'm happy that I'm a cat.\I hear cats are allergic to pollen, too.\Really?\Don't worry, Mao.\Pollen won't affect us. response:	What?
context: Shut up.\Allergic to pollen?\During times like this, I'm happy that I'm a cat.\I hear cats are allergic to pollen, too.\Really?\Don't worry, Mao.\Pollen won't affect us.\What? response:	Contractors don't see dreams and aren't allergic to pollen.
context: Allergic to pollen?\During times like this, I'm happy that I'm a cat.\I hear cats are allergic to pollen, too.\Really?\Don't worry, Mao.\Pollen won't affect us.\What?\Contractors don't see dreams and aren't allergic to pollen. response:	That's the first time I heard that.
context: During times like this, I'm happy that I'm a cat.\I hear cats are allergic to pollen, too.\Really?\Don't worry, Mao.\Pollen won't affect us.\What?\Contractors don't see dreams and aren't allergic to pollen.\That's the first time I heard that. response:	In the end, contractors are monsters.
context: I hear cats are allergic to pollen, too.\Really?\Don't worry, Mao.\Pollen won't affect us.\What?\Contractors don't see dreams and aren't allergic to pollen.\That's the first time I heard that.\In the end, contractors are monsters. response:	There's nothing strange no matter what it may be.
context: Really?\Don't worry, Mao.\Pollen won't affect us.\What?\Contractors don't see dreams and aren't allergic to pollen.\That's the first time I heard that.\In the end, contractors are monsters.\There's nothing strange no matter what it may be. response:	Is it true?
context: Don't worry, Mao.\Pollen won't affect us.\What?\Contractors don't see dreams and aren't allergic to pollen.\That's the first time I heard that.\In the end, contractors are monsters.\There's nothing strange no matter what it may be.\Is it true? response:	Oh yeah, where's Yin?
context: Pollen won't affect us.\What?\Contractors don't see dreams and aren't allergic to pollen.\That's the first time I heard that.\In the end, contractors are monsters.\There's nothing strange no matter what it may be.\Is it true?\Oh yeah, where's Yin? response:	That pink girl must've have come again.
context: What?\Contractors don't see dreams and aren't allergic to pollen.\That's the first time I heard that.\In the end, contractors are monsters.\There's nothing strange no matter what it may be.\Is it true?\Oh yeah, where's Yin?\That pink girl must've have come again. response:	Pink girl?
context: Contractors don't see dreams and aren't allergic to pollen.\That's the first time I heard that.\In the end, contractors are monsters.\There's nothing strange no matter what it may be.\Is it true?\Oh yeah, where's Yin?\That pink girl must've have come again.\Pink girl? response:	From the first time they met when Yin ran away, she's been going there ever since.
context: That's the first time I heard that.\In the end, contractors are monsters.\There's nothing strange no matter what it may be.\Is it true?\Oh yeah, where's Yin?\That pink girl must've have come again.\Pink girl?\From the first time they met when Yin ran away, she's been going there ever since. response:	Here.
context: In the end, contractors are monsters.\There's nothing strange no matter what it may be.\Is it true?\Oh yeah, where's Yin?\That pink girl must've have come again.\Pink girl?\From the first time they met when Yin ran away, she's been going there ever since.\Here. response:	Wasn't it great?
context: There's nothing strange no matter what it may be.\Is it true?\Oh yeah, where's Yin?\That pink girl must've have come again.\Pink girl?\From the first time they met when Yin ran away, she's been going there ever since.\Here.\Wasn't it great? response:	Yeah.
context: Is it true?\Oh yeah, where's Yin?\That pink girl must've have come again.\Pink girl?\From the first time they met when Yin ran away, she's been going there ever since.\Here.\Wasn't it great?\Yeah. response:	I'll tell you about an interesting doujin story next time, okay?
context: Oh yeah, where's Yin?\That pink girl must've have come again.\Pink girl?\From the first time they met when Yin ran away, she's been going there ever since.\Here.\Wasn't it great?\Yeah.\I'll tell you about an interesting doujin story next time, okay? response:	It's even more risque!
context: That pink girl must've have come again.\Pink girl?\From the first time they met when Yin ran away, she's been going there ever since.\Here.\Wasn't it great?\Yeah.\I'll tell you about an interesting doujin story next time, okay?\It's even more risque! response:	What's it called? Moe moe?
context: Pink girl?\From the first time they met when Yin ran away, she's been going there ever since.\Here.\Wasn't it great?\Yeah.\I'll tell you about an interesting doujin story next time, okay?\It's even more risque!\What's it called? Moe moe? response:	It seems that she's become involved with a dangerous world now.
context: From the first time they met when Yin ran away, she's been going there ever since.\Here.\Wasn't it great?\Yeah.\I'll tell you about an interesting doujin story next time, okay?\It's even more risque!\What's it called? Moe moe?\It seems that she's become involved with a dangerous world now. response:	Tell her to cut her ties.
context: Here.\Wasn't it great?\Yeah.\I'll tell you about an interesting doujin story next time, okay?\It's even more risque!\What's it called? Moe moe?\It seems that she's become involved with a dangerous world now.\Tell her to cut her ties. response:	It'll be problematic if she lets out information to a normal person.
context: Wasn't it great?\Yeah.\I'll tell you about an interesting doujin story next time, okay?\It's even more risque!\What's it called? Moe moe?\It seems that she's become involved with a dangerous world now.\Tell her to cut her ties.\It'll be problematic if she lets out information to a normal person. response:	Here you go, Matsumoto.
context: Yeah.\I'll tell you about an interesting doujin story next time, okay?\It's even more risque!\What's it called? Moe moe?\It seems that she's become involved with a dangerous world now.\Tell her to cut her ties.\It'll be problematic if she lets out information to a normal person.\Here you go, Matsumoto. response:	Ah, thank you.
context: I'll tell you about an interesting doujin story next time, okay?\It's even more risque!\What's it called? Moe moe?\It seems that she's become involved with a dangerous world now.\Tell her to cut her ties.\It'll be problematic if she lets out information to a normal person.\Here you go, Matsumoto.\Ah, thank you. response:	Saitou seems a bit gloomy.
context: It's even more risque!\What's it called? Moe moe?\It seems that she's become involved with a dangerous world now.\Tell her to cut her ties.\It'll be problematic if she lets out information to a normal person.\Here you go, Matsumoto.\Ah, thank you.\Saitou seems a bit gloomy. response:	It's because the chief couldn't make it.
context: What's it called? Moe moe?\It seems that she's become involved with a dangerous world now.\Tell her to cut her ties.\It'll be problematic if she lets out information to a normal person.\Here you go, Matsumoto.\Ah, thank you.\Saitou seems a bit gloomy.\It's because the chief couldn't make it. response:	He's probably dreaming of being alone with her after watching the flowers if things go well.
context: It seems that she's become involved with a dangerous world now.\Tell her to cut her ties.\It'll be problematic if she lets out information to a normal person.\Here you go, Matsumoto.\Ah, thank you.\Saitou seems a bit gloomy.\It's because the chief couldn't make it.\He's probably dreaming of being alone with her after watching the flowers if things go well. response:	He should just tell her.
context: Tell her to cut her ties.\It'll be problematic if she lets out information to a normal person.\Here you go, Matsumoto.\Ah, thank you.\Saitou seems a bit gloomy.\It's because the chief couldn't make it.\He's probably dreaming of being alone with her after watching the flowers if things go well.\He should just tell her. response:	The chief is pretty dense about things like that.
context: It'll be problematic if she lets out information to a normal person.\Here you go, Matsumoto.\Ah, thank you.\Saitou seems a bit gloomy.\It's because the chief couldn't make it.\He's probably dreaming of being alone with her after watching the flowers if things go well.\He should just tell her.\The chief is pretty dense about things like that. response:	Well, he has to think about their positions, too.
context: Here you go, Matsumoto.\Ah, thank you.\Saitou seems a bit gloomy.\It's because the chief couldn't make it.\He's probably dreaming of being alone with her after watching the flowers if things go well.\He should just tell her.\The chief is pretty dense about things like that.\Well, he has to think about their positions, too. response:	It doesn't seem like spring will be coming for him.
context: Ah, thank you.\Saitou seems a bit gloomy.\It's because the chief couldn't make it.\He's probably dreaming of being alone with her after watching the flowers if things go well.\He should just tell her.\The chief is pretty dense about things like that.\Well, he has to think about their positions, too.\It doesn't seem like spring will be coming for him. response:	But there are also people like you who bow down to their colleagues.
context: Saitou seems a bit gloomy.\It's because the chief couldn't make it.\He's probably dreaming of being alone with her after watching the flowers if things go well.\He should just tell her.\The chief is pretty dense about things like that.\Well, he has to think about their positions, too.\It doesn't seem like spring will be coming for him.\But there are also people like you who bow down to their colleagues. response:	W-What silly things are you saying, Matsumoto?!
context: It's because the chief couldn't make it.\He's probably dreaming of being alone with her after watching the flowers if things go well.\He should just tell her.\The chief is pretty dense about things like that.\Well, he has to think about their positions, too.\It doesn't seem like spring will be coming for him.\But there are also people like you who bow down to their colleagues.\W-What silly things are you saying, Matsumoto?! response:	H-Here, another one.
context: He's probably dreaming of being alone with her after watching the flowers if things go well.\He should just tell her.\The chief is pretty dense about things like that.\Well, he has to think about their positions, too.\It doesn't seem like spring will be coming for him.\But there are also people like you who bow down to their colleagues.\W-What silly things are you saying, Matsumoto?!\H-Here, another one. response:	I've had enough.
context: He should just tell her.\The chief is pretty dense about things like that.\Well, he has to think about their positions, too.\It doesn't seem like spring will be coming for him.\But there are also people like you who bow down to their colleagues.\W-What silly things are you saying, Matsumoto?!\H-Here, another one.\I've had enough. response:	Be careful, Ootsuka, he just might be the one who's thinking about what'll happen if things go well.
context: The chief is pretty dense about things like that.\Well, he has to think about their positions, too.\It doesn't seem like spring will be coming for him.\But there are also people like you who bow down to their colleagues.\W-What silly things are you saying, Matsumoto?!\H-Here, another one.\I've had enough.\Be careful, Ootsuka, he just might be the one who's thinking about what'll happen if things go well. response:	I'll be all right, I don't really like young people.
context: Well, he has to think about their positions, too.\It doesn't seem like spring will be coming for him.\But there are also people like you who bow down to their colleagues.\W-What silly things are you saying, Matsumoto?!\H-Here, another one.\I've had enough.\Be careful, Ootsuka, he just might be the one who's thinking about what'll happen if things go well.\I'll be all right, I don't really like young people. response:	A refined person like you, Matsumoto, is more...
context: It doesn't seem like spring will be coming for him.\But there are also people like you who bow down to their colleagues.\W-What silly things are you saying, Matsumoto?!\H-Here, another one.\I've had enough.\Be careful, Ootsuka, he just might be the one who's thinking about what'll happen if things go well.\I'll be all right, I don't really like young people.\A refined person like you, Matsumoto, is more... response:	Just kidding.
context: But there are also people like you who bow down to their colleagues.\W-What silly things are you saying, Matsumoto?!\H-Here, another one.\I've had enough.\Be careful, Ootsuka, he just might be the one who's thinking about what'll happen if things go well.\I'll be all right, I don't really like young people.\A refined person like you, Matsumoto, is more...\Just kidding. response:	To be truthful...
context: W-What silly things are you saying, Matsumoto?!\H-Here, another one.\I've had enough.\Be careful, Ootsuka, he just might be the one who's thinking about what'll happen if things go well.\I'll be all right, I don't really like young people.\A refined person like you, Matsumoto, is more...\Just kidding.\To be truthful... response:	I wasn't really interested in real men...
context: H-Here, another one.\I've had enough.\Be careful, Ootsuka, he just might be the one who's thinking about what'll happen if things go well.\I'll be all right, I don't really like young people.\A refined person like you, Matsumoto, is more...\Just kidding.\To be truthful...\I wasn't really interested in real men... response:	Until that time.
context: I've had enough.\Be careful, Ootsuka, he just might be the one who's thinking about what'll happen if things go well.\I'll be all right, I don't really like young people.\A refined person like you, Matsumoto, is more...\Just kidding.\To be truthful...\I wasn't really interested in real men...\Until that time. response:	Like I said!
context: Be careful, Ootsuka, he just might be the one who's thinking about what'll happen if things go well.\I'll be all right, I don't really like young people.\A refined person like you, Matsumoto, is more...\Just kidding.\To be truthful...\I wasn't really interested in real men...\Until that time.\Like I said! response:	You've got to be more forward!
context: I'll be all right, I don't really like young people.\A refined person like you, Matsumoto, is more...\Just kidding.\To be truthful...\I wasn't really interested in real men...\Until that time.\Like I said!\You've got to be more forward! response:	Kouno just disappeared somewhere after some office lady seduced him!
context: A refined person like you, Matsumoto, is more...\Just kidding.\To be truthful...\I wasn't really interested in real men...\Until that time.\Like I said!\You've got to be more forward!\Kouno just disappeared somewhere after some office lady seduced him! response:	Geez, she's a bad drunk.
context: Just kidding.\To be truthful...\I wasn't really interested in real men...\Until that time.\Like I said!\You've got to be more forward!\Kouno just disappeared somewhere after some office lady seduced him!\Geez, she's a bad drunk. response:	If you like her, you should tell her clearly!
context: To be truthful...\I wasn't really interested in real men...\Until that time.\Like I said!\You've got to be more forward!\Kouno just disappeared somewhere after some office lady seduced him!\Geez, she's a bad drunk.\If you like her, you should tell her clearly! response:	Geez, you just don't understand a woman's heart!
context: I wasn't really interested in real men...\Until that time.\Like I said!\You've got to be more forward!\Kouno just disappeared somewhere after some office lady seduced him!\Geez, she's a bad drunk.\If you like her, you should tell her clearly!\Geez, you just don't understand a woman's heart! response:	You should research and read some novels!
context: Until that time.\Like I said!\You've got to be more forward!\Kouno just disappeared somewhere after some office lady seduced him!\Geez, she's a bad drunk.\If you like her, you should tell her clearly!\Geez, you just don't understand a woman's heart!\You should research and read some novels! response:	Novels? Those things?
context: Like I said!\You've got to be more forward!\Kouno just disappeared somewhere after some office lady seduced him!\Geez, she's a bad drunk.\If you like her, you should tell her clearly!\Geez, you just don't understand a woman's heart!\You should research and read some novels!\Novels? Those things? response:	What do you mean, those things?
context: You've got to be more forward!\Kouno just disappeared somewhere after some office lady seduced him!\Geez, she's a bad drunk.\If you like her, you should tell her clearly!\Geez, you just don't understand a woman's heart!\You should research and read some novels!\Novels? Those things?\What do you mean, those things? response:	You'll understand when you write stories, too!
context: Kouno just disappeared somewhere after some office lady seduced him!\Geez, she's a bad drunk.\If you like her, you should tell her clearly!\Geez, you just don't understand a woman's heart!\You should research and read some novels!\Novels? Those things?\What do you mean, those things?\You'll understand when you write stories, too! response:	Like how delicate people's hearts are!
context: Geez, she's a bad drunk.\If you like her, you should tell her clearly!\Geez, you just don't understand a woman's heart!\You should research and read some novels!\Novels? Those things?\What do you mean, those things?\You'll understand when you write stories, too!\Like how delicate people's hearts are! response:	Oh? You write some?
context: If you like her, you should tell her clearly!\Geez, you just don't understand a woman's heart!\You should research and read some novels!\Novels? Those things?\What do you mean, those things?\You'll understand when you write stories, too!\Like how delicate people's hearts are!\Oh? You write some? response:	Ah, oh no, Matsumoto, you're making me embarrassed.
context: Geez, you just don't understand a woman's heart!\You should research and read some novels!\Novels? Those things?\What do you mean, those things?\You'll understand when you write stories, too!\Like how delicate people's hearts are!\Oh? You write some?\Ah, oh no, Matsumoto, you're making me embarrassed. response:	If you search for MayuMayu on the computer, you can read my stories right away!
context: You should research and read some novels!\Novels? Those things?\What do you mean, those things?\You'll understand when you write stories, too!\Like how delicate people's hearts are!\Oh? You write some?\Ah, oh no, Matsumoto, you're making me embarrassed.\If you search for MayuMayu on the computer, you can read my stories right away! response:	Eh, are you interested?
context: Novels? Those things?\What do you mean, those things?\You'll understand when you write stories, too!\Like how delicate people's hearts are!\Oh? You write some?\Ah, oh no, Matsumoto, you're making me embarrassed.\If you search for MayuMayu on the computer, you can read my stories right away!\Eh, are you interested? response:	I may not look like it, but I was once a young man who was into literature.
context: What do you mean, those things?\You'll understand when you write stories, too!\Like how delicate people's hearts are!\Oh? You write some?\Ah, oh no, Matsumoto, you're making me embarrassed.\If you search for MayuMayu on the computer, you can read my stories right away!\Eh, are you interested?\I may not look like it, but I was once a young man who was into literature. response:	I've read quite a bit, like works from Kamizaki and Kajii.
context: You'll understand when you write stories, too!\Like how delicate people's hearts are!\Oh? You write some?\Ah, oh no, Matsumoto, you're making me embarrassed.\If you search for MayuMayu on the computer, you can read my stories right away!\Eh, are you interested?\I may not look like it, but I was once a young man who was into literature.\I've read quite a bit, like works from Kamizaki and Kajii. response:	Wow, you really are refined, Matsumoto!
context: Like how delicate people's hearts are!\Oh? You write some?\Ah, oh no, Matsumoto, you're making me embarrassed.\If you search for MayuMayu on the computer, you can read my stories right away!\Eh, are you interested?\I may not look like it, but I was once a young man who was into literature.\I've read quite a bit, like works from Kamizaki and Kajii.\Wow, you really are refined, Matsumoto! response:	Ah, I guess...
context: Oh? You write some?\Ah, oh no, Matsumoto, you're making me embarrassed.\If you search for MayuMayu on the computer, you can read my stories right away!\Eh, are you interested?\I may not look like it, but I was once a young man who was into literature.\I've read quite a bit, like works from Kamizaki and Kajii.\Wow, you really are refined, Matsumoto!\Ah, I guess... response:	Beneath the cherry blossom tree lies a buried corpse.
context: Ah, oh no, Matsumoto, you're making me embarrassed.\If you search for MayuMayu on the computer, you can read my stories right away!\Eh, are you interested?\I may not look like it, but I was once a young man who was into literature.\I've read quite a bit, like works from Kamizaki and Kajii.\Wow, you really are refined, Matsumoto!\Ah, I guess...\Beneath the cherry blossom tree lies a buried corpse. response:	Or some mystery like that.
