context: Oh, we're finally back! response:	Hey! Don't touch me in weird places!
context: A wonderful vacation...\What wonderful vacation?!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place response:	Even if you trip and become depressed
context: What wonderful vacation?!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed response:	I will always hold you tight with a squeeze
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze response:	The story where we met that day stays hot with a sweet kiss
context: You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss response:	See, you can cast magic, and the wishes will surely come true
context: The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true response:	A history of the couple's romance that starts from the first kiss
context: That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	Tabitha's Secret
context: I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tabitha's Secret response:	How to put it...
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tabitha's Secret\How to put it... response:	Serene?
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tabitha's Secret\How to put it...\Serene? response:	Hey, Tabitha.
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tabitha's Secret\How to put it...\Serene?\Hey, Tabitha. response:	We're taking the effort to go see your folks,
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tabitha's Secret\How to put it...\Serene?\Hey, Tabitha.\We're taking the effort to go see your folks, response:	so why can't you look a bit happier about it?
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tabitha's Secret\How to put it...\Serene?\Hey, Tabitha.\We're taking the effort to go see your folks,\so why can't you look a bit happier about it? response:	I didn't know you were studying abroad like me.
context: You, the one who cast magic on this destiny, suddenly appeared\Tabitha's Secret\How to put it...\Serene?\Hey, Tabitha.\We're taking the effort to go see your folks,\so why can't you look a bit happier about it?\I didn't know you were studying abroad like me. response:	Why did you decide to study in another country?
context: Tabitha's Secret\How to put it...\Serene?\Hey, Tabitha.\We're taking the effort to go see your folks,\so why can't you look a bit happier about it?\I didn't know you were studying abroad like me.\Why did you decide to study in another country? response:	In my case, it was something more like doing away with their troubles.
context: How to put it...\Serene?\Hey, Tabitha.\We're taking the effort to go see your folks,\so why can't you look a bit happier about it?\I didn't know you were studying abroad like me.\Why did you decide to study in another country?\In my case, it was something more like doing away with their troubles. response:	I caused all sorts of trouble,
context: Serene?\Hey, Tabitha.\We're taking the effort to go see your folks,\so why can't you look a bit happier about it?\I didn't know you were studying abroad like me.\Why did you decide to study in another country?\In my case, it was something more like doing away with their troubles.\I caused all sorts of trouble, response:	and I was forced to quit my previous school.
context: Hey, Tabitha.\We're taking the effort to go see your folks,\so why can't you look a bit happier about it?\I didn't know you were studying abroad like me.\Why did you decide to study in another country?\In my case, it was something more like doing away with their troubles.\I caused all sorts of trouble,\and I was forced to quit my previous school. response:	They started saying that their daughter
context: We're taking the effort to go see your folks,\so why can't you look a bit happier about it?\I didn't know you were studying abroad like me.\Why did you decide to study in another country?\In my case, it was something more like doing away with their troubles.\I caused all sorts of trouble,\and I was forced to quit my previous school.\They started saying that their daughter response:	loitering around wasn't good for their image,
context: so why can't you look a bit happier about it?\I didn't know you were studying abroad like me.\Why did you decide to study in another country?\In my case, it was something more like doing away with their troubles.\I caused all sorts of trouble,\and I was forced to quit my previous school.\They started saying that their daughter\loitering around wasn't good for their image, response:	so they tried to force me into a marriage.
context: I didn't know you were studying abroad like me.\Why did you decide to study in another country?\In my case, it was something more like doing away with their troubles.\I caused all sorts of trouble,\and I was forced to quit my previous school.\They started saying that their daughter\loitering around wasn't good for their image,\so they tried to force me into a marriage. response:	To an old man, no less. An old man!
context: Why did you decide to study in another country?\In my case, it was something more like doing away with their troubles.\I caused all sorts of trouble,\and I was forced to quit my previous school.\They started saying that their daughter\loitering around wasn't good for their image,\so they tried to force me into a marriage.\To an old man, no less. An old man! response:	I mean, you have got to be kidding!
context: In my case, it was something more like doing away with their troubles.\I caused all sorts of trouble,\and I was forced to quit my previous school.\They started saying that their daughter\loitering around wasn't good for their image,\so they tried to force me into a marriage.\To an old man, no less. An old man!\I mean, you have got to be kidding! response:	Hm? What is it?
context: I caused all sorts of trouble,\and I was forced to quit my previous school.\They started saying that their daughter\loitering around wasn't good for their image,\so they tried to force me into a marriage.\To an old man, no less. An old man!\I mean, you have got to be kidding!\Hm? What is it? response:	Lake Lagdorian up ahead is overflowing.
context: and I was forced to quit my previous school.\They started saying that their daughter\loitering around wasn't good for their image,\so they tried to force me into a marriage.\To an old man, no less. An old man!\I mean, you have got to be kidding!\Hm? What is it?\Lake Lagdorian up ahead is overflowing. response:	Use the detour up on the high road, please.
context: They started saying that their daughter\loitering around wasn't good for their image,\so they tried to force me into a marriage.\To an old man, no less. An old man!\I mean, you have got to be kidding!\Hm? What is it?\Lake Lagdorian up ahead is overflowing.\Use the detour up on the high road, please. response:	See you.
context: loitering around wasn't good for their image,\so they tried to force me into a marriage.\To an old man, no less. An old man!\I mean, you have got to be kidding!\Hm? What is it?\Lake Lagdorian up ahead is overflowing.\Use the detour up on the high road, please.\See you. response:	Was there heavy rain or something?
context: so they tried to force me into a marriage.\To an old man, no less. An old man!\I mean, you have got to be kidding!\Hm? What is it?\Lake Lagdorian up ahead is overflowing.\Use the detour up on the high road, please.\See you.\Was there heavy rain or something? response:	And we're so close to Galia, too.
context: To an old man, no less. An old man!\I mean, you have got to be kidding!\Hm? What is it?\Lake Lagdorian up ahead is overflowing.\Use the detour up on the high road, please.\See you.\Was there heavy rain or something?\And we're so close to Galia, too. response:	When you're done with the laundry, clean my room!
context: I mean, you have got to be kidding!\Hm? What is it?\Lake Lagdorian up ahead is overflowing.\Use the detour up on the high road, please.\See you.\Was there heavy rain or something?\And we're so close to Galia, too.\When you're done with the laundry, clean my room! response:	If you aren't quick about it, you're not getting fed!
context: Hm? What is it?\Lake Lagdorian up ahead is overflowing.\Use the detour up on the high road, please.\See you.\Was there heavy rain or something?\And we're so close to Galia, too.\When you're done with the laundry, clean my room!\If you aren't quick about it, you're not getting fed! response:	Yeah, yeah...
context: Lake Lagdorian up ahead is overflowing.\Use the detour up on the high road, please.\See you.\Was there heavy rain or something?\And we're so close to Galia, too.\When you're done with the laundry, clean my room!\If you aren't quick about it, you're not getting fed!\Yeah, yeah... response:	He's always wooing anyone and everyone, with no standards!
context: Use the detour up on the high road, please.\See you.\Was there heavy rain or something?\And we're so close to Galia, too.\When you're done with the laundry, clean my room!\If you aren't quick about it, you're not getting fed!\Yeah, yeah...\He's always wooing anyone and everyone, with no standards! response:	Why should I be getting upset about such a thing?
context: See you.\Was there heavy rain or something?\And we're so close to Galia, too.\When you're done with the laundry, clean my room!\If you aren't quick about it, you're not getting fed!\Yeah, yeah...\He's always wooing anyone and everyone, with no standards!\Why should I be getting upset about such a thing? response:	Oh, geez, it irritates me!
context: Was there heavy rain or something?\And we're so close to Galia, too.\When you're done with the laundry, clean my room!\If you aren't quick about it, you're not getting fed!\Yeah, yeah...\He's always wooing anyone and everyone, with no standards!\Why should I be getting upset about such a thing?\Oh, geez, it irritates me! response:	Louise yelling, unreasonable amounts of labor...
context: And we're so close to Galia, too.\When you're done with the laundry, clean my room!\If you aren't quick about it, you're not getting fed!\Yeah, yeah...\He's always wooing anyone and everyone, with no standards!\Why should I be getting upset about such a thing?\Oh, geez, it irritates me!\Louise yelling, unreasonable amounts of labor... response:	Oh, but for some reason, all of this really puts me at ease.
context: When you're done with the laundry, clean my room!\If you aren't quick about it, you're not getting fed!\Yeah, yeah...\He's always wooing anyone and everyone, with no standards!\Why should I be getting upset about such a thing?\Oh, geez, it irritates me!\Louise yelling, unreasonable amounts of labor...\Oh, but for some reason, all of this really puts me at ease. response:	What are you saying? It's all a misunderstanding.
context: If you aren't quick about it, you're not getting fed!\Yeah, yeah...\He's always wooing anyone and everyone, with no standards!\Why should I be getting upset about such a thing?\Oh, geez, it irritates me!\Louise yelling, unreasonable amounts of labor...\Oh, but for some reason, all of this really puts me at ease.\What are you saying? It's all a misunderstanding. response:	I've heard that line too many times!
context: Yeah, yeah...\He's always wooing anyone and everyone, with no standards!\Why should I be getting upset about such a thing?\Oh, geez, it irritates me!\Louise yelling, unreasonable amounts of labor...\Oh, but for some reason, all of this really puts me at ease.\What are you saying? It's all a misunderstanding.\I've heard that line too many times! response:	Do you understand, Guiche?
context: He's always wooing anyone and everyone, with no standards!\Why should I be getting upset about such a thing?\Oh, geez, it irritates me!\Louise yelling, unreasonable amounts of labor...\Oh, but for some reason, all of this really puts me at ease.\What are you saying? It's all a misunderstanding.\I've heard that line too many times!\Do you understand, Guiche? response:	I don't really feel anything at all for you.
context: Why should I be getting upset about such a thing?\Oh, geez, it irritates me!\Louise yelling, unreasonable amounts of labor...\Oh, but for some reason, all of this really puts me at ease.\What are you saying? It's all a misunderstanding.\I've heard that line too many times!\Do you understand, Guiche?\I don't really feel anything at all for you. response:	I'm only taking the time to see you because you were begging so much.
context: Oh, geez, it irritates me!\Louise yelling, unreasonable amounts of labor...\Oh, but for some reason, all of this really puts me at ease.\What are you saying? It's all a misunderstanding.\I've heard that line too many times!\Do you understand, Guiche?\I don't really feel anything at all for you.\I'm only taking the time to see you because you were begging so much. response:	Montmorency...
context: Louise yelling, unreasonable amounts of labor...\Oh, but for some reason, all of this really puts me at ease.\What are you saying? It's all a misunderstanding.\I've heard that line too many times!\Do you understand, Guiche?\I don't really feel anything at all for you.\I'm only taking the time to see you because you were begging so much.\Montmorency... response:	In any case, calm down and hear what I have to say.
context: Oh, but for some reason, all of this really puts me at ease.\What are you saying? It's all a misunderstanding.\I've heard that line too many times!\Do you understand, Guiche?\I don't really feel anything at all for you.\I'm only taking the time to see you because you were begging so much.\Montmorency...\In any case, calm down and hear what I have to say. response:	Just you watch... if that's the case...
context: What are you saying? It's all a misunderstanding.\I've heard that line too many times!\Do you understand, Guiche?\I don't really feel anything at all for you.\I'm only taking the time to see you because you were begging so much.\Montmorency...\In any case, calm down and hear what I have to say.\Just you watch... if that's the case... response:	Didn't Louise go home for the holidays?
context: I've heard that line too many times!\Do you understand, Guiche?\I don't really feel anything at all for you.\I'm only taking the time to see you because you were begging so much.\Montmorency...\In any case, calm down and hear what I have to say.\Just you watch... if that's the case...\Didn't Louise go home for the holidays? response:	She's here.
context: Do you understand, Guiche?\I don't really feel anything at all for you.\I'm only taking the time to see you because you were begging so much.\Montmorency...\In any case, calm down and hear what I have to say.\Just you watch... if that's the case...\Didn't Louise go home for the holidays?\She's here. response:	Please, wait!
context: I don't really feel anything at all for you.\I'm only taking the time to see you because you were begging so much.\Montmorency...\In any case, calm down and hear what I have to say.\Just you watch... if that's the case...\Didn't Louise go home for the holidays?\She's here.\Please, wait! response:	Don't follow me!
context: I'm only taking the time to see you because you were begging so much.\Montmorency...\In any case, calm down and hear what I have to say.\Just you watch... if that's the case...\Didn't Louise go home for the holidays?\She's here.\Please, wait!\Don't follow me! response:	Wait!
context: Montmorency...\In any case, calm down and hear what I have to say.\Just you watch... if that's the case...\Didn't Louise go home for the holidays?\She's here.\Please, wait!\Don't follow me!\Wait! response:	Montmorency!
context: In any case, calm down and hear what I have to say.\Just you watch... if that's the case...\Didn't Louise go home for the holidays?\She's here.\Please, wait!\Don't follow me!\Wait!\Montmorency! response:	Listen to what I have to say, Montmorency!
context: Just you watch... if that's the case...\Didn't Louise go home for the holidays?\She's here.\Please, wait!\Don't follow me!\Wait!\Montmorency!\Listen to what I have to say, Montmorency! response:	Wait for me, Montmorency!
context: Didn't Louise go home for the holidays?\She's here.\Please, wait!\Don't follow me!\Wait!\Montmorency!\Listen to what I have to say, Montmorency!\Wait for me, Montmorency! response:	They don't change at all, either.
context: She's here.\Please, wait!\Don't follow me!\Wait!\Montmorency!\Listen to what I have to say, Montmorency!\Wait for me, Montmorency!\They don't change at all, either. response:	I got it!
context: Please, wait!\Don't follow me!\Wait!\Montmorency!\Listen to what I have to say, Montmorency!\Wait for me, Montmorency!\They don't change at all, either.\I got it! response:	I had put it here with plans of throwing it out.
context: Don't follow me!\Wait!\Montmorency!\Listen to what I have to say, Montmorency!\Wait for me, Montmorency!\They don't change at all, either.\I got it!\I had put it here with plans of throwing it out. response:	Then can I have it?
context: Wait!\Montmorency!\Listen to what I have to say, Montmorency!\Wait for me, Montmorency!\They don't change at all, either.\I got it!\I had put it here with plans of throwing it out.\Then can I have it? response:	Yeah, take it without hesitation, Our Sword!
context: Montmorency!\Listen to what I have to say, Montmorency!\Wait for me, Montmorency!\They don't change at all, either.\I got it!\I had put it here with plans of throwing it out.\Then can I have it?\Yeah, take it without hesitation, Our Sword! response:	Can't you do something about that nickname
context: Listen to what I have to say, Montmorency!\Wait for me, Montmorency!\They don't change at all, either.\I got it!\I had put it here with plans of throwing it out.\Then can I have it?\Yeah, take it without hesitation, Our Sword!\Can't you do something about that nickname response:	and these spectacular gestures?
context: Wait for me, Montmorency!\They don't change at all, either.\I got it!\I had put it here with plans of throwing it out.\Then can I have it?\Yeah, take it without hesitation, Our Sword!\Can't you do something about that nickname\and these spectacular gestures? response:	Heave! Heave! And...
context: They don't change at all, either.\I got it!\I had put it here with plans of throwing it out.\Then can I have it?\Yeah, take it without hesitation, Our Sword!\Can't you do something about that nickname\and these spectacular gestures?\Heave! Heave! And... response:	I guess this should be a good place.
context: I got it!\I had put it here with plans of throwing it out.\Then can I have it?\Yeah, take it without hesitation, Our Sword!\Can't you do something about that nickname\and these spectacular gestures?\Heave! Heave! And...\I guess this should be a good place. response:	If you had a noble help you,
context: I had put it here with plans of throwing it out.\Then can I have it?\Yeah, take it without hesitation, Our Sword!\Can't you do something about that nickname\and these spectacular gestures?\Heave! Heave! And...\I guess this should be a good place.\If you had a noble help you, response:	you could have brought it here in no time with magic.
context: Then can I have it?\Yeah, take it without hesitation, Our Sword!\Can't you do something about that nickname\and these spectacular gestures?\Heave! Heave! And...\I guess this should be a good place.\If you had a noble help you,\you could have brought it here in no time with magic. response:	It's all right. This is something personal.
context: Yeah, take it without hesitation, Our Sword!\Can't you do something about that nickname\and these spectacular gestures?\Heave! Heave! And...\I guess this should be a good place.\If you had a noble help you,\you could have brought it here in no time with magic.\It's all right. This is something personal. response:	What are you going to do with such a giant pot?
context: Can't you do something about that nickname\and these spectacular gestures?\Heave! Heave! And...\I guess this should be a good place.\If you had a noble help you,\you could have brought it here in no time with magic.\It's all right. This is something personal.\What are you going to do with such a giant pot? response:	Just wait till night.
context: and these spectacular gestures?\Heave! Heave! And...\I guess this should be a good place.\If you had a noble help you,\you could have brought it here in no time with magic.\It's all right. This is something personal.\What are you going to do with such a giant pot?\Just wait till night. response:	He's right, we couldn't have gotten across down there.
context: Heave! Heave! And...\I guess this should be a good place.\If you had a noble help you,\you could have brought it here in no time with magic.\It's all right. This is something personal.\What are you going to do with such a giant pot?\Just wait till night.\He's right, we couldn't have gotten across down there. response:	There are houses sunken underwater, too.
context: I guess this should be a good place.\If you had a noble help you,\you could have brought it here in no time with magic.\It's all right. This is something personal.\What are you going to do with such a giant pot?\Just wait till night.\He's right, we couldn't have gotten across down there.\There are houses sunken underwater, too. response:	How much further is your house, Tabitha?
context: If you had a noble help you,\you could have brought it here in no time with magic.\It's all right. This is something personal.\What are you going to do with such a giant pot?\Just wait till night.\He's right, we couldn't have gotten across down there.\There are houses sunken underwater, too.\How much further is your house, Tabitha? response:	Almost there.
context: you could have brought it here in no time with magic.\It's all right. This is something personal.\What are you going to do with such a giant pot?\Just wait till night.\He's right, we couldn't have gotten across down there.\There are houses sunken underwater, too.\How much further is your house, Tabitha?\Almost there. response:	That was...
context: It's all right. This is something personal.\What are you going to do with such a giant pot?\Just wait till night.\He's right, we couldn't have gotten across down there.\There are houses sunken underwater, too.\How much further is your house, Tabitha?\Almost there.\That was... response:	Just as I thought!
context: What are you going to do with such a giant pot?\Just wait till night.\He's right, we couldn't have gotten across down there.\There are houses sunken underwater, too.\How much further is your house, Tabitha?\Almost there.\That was...\Just as I thought! response:	That emblem... It's the one for the Galia royal family.
context: Just wait till night.\He's right, we couldn't have gotten across down there.\There are houses sunken underwater, too.\How much further is your house, Tabitha?\Almost there.\That was...\Just as I thought!\That emblem... It's the one for the Galia royal family. response:	Tabitha, are you actually
context: He's right, we couldn't have gotten across down there.\There are houses sunken underwater, too.\How much further is your house, Tabitha?\Almost there.\That was...\Just as I thought!\That emblem... It's the one for the Galia royal family.\Tabitha, are you actually response:	from the royal family of Galia?
context: There are houses sunken underwater, too.\How much further is your house, Tabitha?\Almost there.\That was...\Just as I thought!\That emblem... It's the one for the Galia royal family.\Tabitha, are you actually\from the royal family of Galia? response:	Just as I thought!
context: How much further is your house, Tabitha?\Almost there.\That was...\Just as I thought!\That emblem... It's the one for the Galia royal family.\Tabitha, are you actually\from the royal family of Galia?\Just as I thought! response:	Lady Charlotte.
context: Almost there.\That was...\Just as I thought!\That emblem... It's the one for the Galia royal family.\Tabitha, are you actually\from the royal family of Galia?\Just as I thought!\Lady Charlotte. response:	First, I'd like to say hello to your father.
context: That was...\Just as I thought!\That emblem... It's the one for the Galia royal family.\Tabitha, are you actually\from the royal family of Galia?\Just as I thought!\Lady Charlotte.\First, I'd like to say hello to your father. response:	Wait here.
context: Just as I thought!\That emblem... It's the one for the Galia royal family.\Tabitha, are you actually\from the royal family of Galia?\Just as I thought!\Lady Charlotte.\First, I'd like to say hello to your father.\Wait here. response:	Sure.
context: That emblem... It's the one for the Galia royal family.\Tabitha, are you actually\from the royal family of Galia?\Just as I thought!\Lady Charlotte.\First, I'd like to say hello to your father.\Wait here.\Sure. response:	Excuse me.
context: Tabitha, are you actually\from the royal family of Galia?\Just as I thought!\Lady Charlotte.\First, I'd like to say hello to your father.\Wait here.\Sure.\Excuse me. response:	My name is Peruculan, and I am the butler for the Orleans family.
context: from the royal family of Galia?\Just as I thought!\Lady Charlotte.\First, I'd like to say hello to your father.\Wait here.\Sure.\Excuse me.\My name is Peruculan, and I am the butler for the Orleans family. response:	I am a member of the von Zerbst family from Germania.
context: Just as I thought!\Lady Charlotte.\First, I'd like to say hello to your father.\Wait here.\Sure.\Excuse me.\My name is Peruculan, and I am the butler for the Orleans family.\I am a member of the von Zerbst family from Germania. response:	I hope to be under your good care.
context: Lady Charlotte.\First, I'd like to say hello to your father.\Wait here.\Sure.\Excuse me.\My name is Peruculan, and I am the butler for the Orleans family.\I am a member of the von Zerbst family from Germania.\I hope to be under your good care. response:	I had not imagined that Mistress Charlotte
context: First, I'd like to say hello to your father.\Wait here.\Sure.\Excuse me.\My name is Peruculan, and I am the butler for the Orleans family.\I am a member of the von Zerbst family from Germania.\I hope to be under your good care.\I had not imagined that Mistress Charlotte response:	would bring a friend back with her.
context: Wait here.\Sure.\Excuse me.\My name is Peruculan, and I am the butler for the Orleans family.\I am a member of the von Zerbst family from Germania.\I hope to be under your good care.\I had not imagined that Mistress Charlotte\would bring a friend back with her. response:	So Charlotte is that girl's real name?
context: Sure.\Excuse me.\My name is Peruculan, and I am the butler for the Orleans family.\I am a member of the von Zerbst family from Germania.\I hope to be under your good care.\I had not imagined that Mistress Charlotte\would bring a friend back with her.\So Charlotte is that girl's real name? response:	Who is it?
context: Excuse me.\My name is Peruculan, and I am the butler for the Orleans family.\I am a member of the von Zerbst family from Germania.\I hope to be under your good care.\I had not imagined that Mistress Charlotte\would bring a friend back with her.\So Charlotte is that girl's real name?\Who is it? response:	I have just returned, Mother.
context: My name is Peruculan, and I am the butler for the Orleans family.\I am a member of the von Zerbst family from Germania.\I hope to be under your good care.\I had not imagined that Mistress Charlotte\would bring a friend back with her.\So Charlotte is that girl's real name?\Who is it?\I have just returned, Mother. response:	Stand back! How impolite!
context: I am a member of the von Zerbst family from Germania.\I hope to be under your good care.\I had not imagined that Mistress Charlotte\would bring a friend back with her.\So Charlotte is that girl's real name?\Who is it?\I have just returned, Mother.\Stand back! How impolite! response:	Our mistress calls herself Tabitha?
context: I hope to be under your good care.\I had not imagined that Mistress Charlotte\would bring a friend back with her.\So Charlotte is that girl's real name?\Who is it?\I have just returned, Mother.\Stand back! How impolite!\Our mistress calls herself Tabitha? response:	Why did she come studying abroad, using a fake name?
