context: Abe no Seimei? response:	Yes. A powerful onmyoji from the Heian period.
context: Hey, Arata! Arata!\No, Seimei!\Seimei!\You are Seimei!\I know it! Your blood smells the same as him!\No, I\Oh, he's up.\Good morning. response:	Good... morning...
context: No, Seimei!\Seimei!\You are Seimei!\I know it! Your blood smells the same as him!\No, I\Oh, he's up.\Good morning.\Good... morning... response:	You collapsed at the Citizen's Plaza.
context: Seimei!\You are Seimei!\I know it! Your blood smells the same as him!\No, I\Oh, he's up.\Good morning.\Good... morning...\You collapsed at the Citizen's Plaza. response:	Well, I guess it's understandable.
context: You are Seimei!\I know it! Your blood smells the same as him!\No, I\Oh, he's up.\Good morning.\Good... morning...\You collapsed at the Citizen's Plaza.\Well, I guess it's understandable. response:	Sounds like you had a busy night.
context: I know it! Your blood smells the same as him!\No, I\Oh, he's up.\Good morning.\Good... morning...\You collapsed at the Citizen's Plaza.\Well, I guess it's understandable.\Sounds like you had a busy night. response:	Hi there.
context: No, I\Oh, he's up.\Good morning.\Good... morning...\You collapsed at the Citizen's Plaza.\Well, I guess it's understandable.\Sounds like you had a busy night.\Hi there. response:	I'm Senda, head of the Shinjuku Ward Nocturnal Community Relations Division.
context: Oh, he's up.\Good morning.\Good... morning...\You collapsed at the Citizen's Plaza.\Well, I guess it's understandable.\Sounds like you had a busy night.\Hi there.\I'm Senda, head of the Shinjuku Ward Nocturnal Community Relations Division. response:	This is our boss.
context: Good morning.\Good... morning...\You collapsed at the Citizen's Plaza.\Well, I guess it's understandable.\Sounds like you had a busy night.\Hi there.\I'm Senda, head of the Shinjuku Ward Nocturnal Community Relations Division.\This is our boss. response:	Nice to meet you!
context: Good... morning...\You collapsed at the Citizen's Plaza.\Well, I guess it's understandable.\Sounds like you had a busy night.\Hi there.\I'm Senda, head of the Shinjuku Ward Nocturnal Community Relations Division.\This is our boss.\Nice to meet you! response:	I was planning on making introductions tomorrow, but...
context: You collapsed at the Citizen's Plaza.\Well, I guess it's understandable.\Sounds like you had a busy night.\Hi there.\I'm Senda, head of the Shinjuku Ward Nocturnal Community Relations Division.\This is our boss.\Nice to meet you!\I was planning on making introductions tomorrow, but... response:	Miyako Arata-kun.
context: Well, I guess it's understandable.\Sounds like you had a busy night.\Hi there.\I'm Senda, head of the Shinjuku Ward Nocturnal Community Relations Division.\This is our boss.\Nice to meet you!\I was planning on making introductions tomorrow, but...\Miyako Arata-kun. response:	You've got Ears of Sand, I've heard?
context: Sounds like you had a busy night.\Hi there.\I'm Senda, head of the Shinjuku Ward Nocturnal Community Relations Division.\This is our boss.\Nice to meet you!\I was planning on making introductions tomorrow, but...\Miyako Arata-kun.\You've got Ears of Sand, I've heard? response:	In other words,
context: Hi there.\I'm Senda, head of the Shinjuku Ward Nocturnal Community Relations Division.\This is our boss.\Nice to meet you!\I was planning on making introductions tomorrow, but...\Miyako Arata-kun.\You've got Ears of Sand, I've heard?\In other words, response:	Storage 1
context: I'm Senda, head of the Shinjuku Ward Nocturnal Community Relations Division.\This is our boss.\Nice to meet you!\I was planning on making introductions tomorrow, but...\Miyako Arata-kun.\You've got Ears of Sand, I've heard?\In other words,\Storage 1 response:	Nocturnal Community Relations Division
context: This is our boss.\Nice to meet you!\I was planning on making introductions tomorrow, but...\Miyako Arata-kun.\You've got Ears of Sand, I've heard?\In other words,\Storage 1\Nocturnal Community Relations Division response:	when you've never heard a language before, but can still understand it somehow,
context: Nice to meet you!\I was planning on making introductions tomorrow, but...\Miyako Arata-kun.\You've got Ears of Sand, I've heard?\In other words,\Storage 1\Nocturnal Community Relations Division\when you've never heard a language before, but can still understand it somehow, response:	Ears of Sand
context: I was planning on making introductions tomorrow, but...\Miyako Arata-kun.\You've got Ears of Sand, I've heard?\In other words,\Storage 1\Nocturnal Community Relations Division\when you've never heard a language before, but can still understand it somehow,\Ears of Sand response:	that's called Ears of Sand!
context: Miyako Arata-kun.\You've got Ears of Sand, I've heard?\In other words,\Storage 1\Nocturnal Community Relations Division\when you've never heard a language before, but can still understand it somehow,\Ears of Sand\that's called Ears of Sand! response:	Have you ever had it happen when you were talking to a foreigner or something?
context: You've got Ears of Sand, I've heard?\In other words,\Storage 1\Nocturnal Community Relations Division\when you've never heard a language before, but can still understand it somehow,\Ears of Sand\that's called Ears of Sand!\Have you ever had it happen when you were talking to a foreigner or something? response:	No...
context: In other words,\Storage 1\Nocturnal Community Relations Division\when you've never heard a language before, but can still understand it somehow,\Ears of Sand\that's called Ears of Sand!\Have you ever had it happen when you were talking to a foreigner or something?\No... response:	So it doesn't work on human language, huh?
context: Storage 1\Nocturnal Community Relations Division\when you've never heard a language before, but can still understand it somehow,\Ears of Sand\that's called Ears of Sand!\Have you ever had it happen when you were talking to a foreigner or something?\No...\So it doesn't work on human language, huh? response:	You understand what the Anothers say, huh?
context: Nocturnal Community Relations Division\when you've never heard a language before, but can still understand it somehow,\Ears of Sand\that's called Ears of Sand!\Have you ever had it happen when you were talking to a foreigner or something?\No...\So it doesn't work on human language, huh?\You understand what the Anothers say, huh? response:	That's an amazing new kid we've got.
context: when you've never heard a language before, but can still understand it somehow,\Ears of Sand\that's called Ears of Sand!\Have you ever had it happen when you were talking to a foreigner or something?\No...\So it doesn't work on human language, huh?\You understand what the Anothers say, huh?\That's an amazing new kid we've got. response:	Yeah.
context: Ears of Sand\that's called Ears of Sand!\Have you ever had it happen when you were talking to a foreigner or something?\No...\So it doesn't work on human language, huh?\You understand what the Anothers say, huh?\That's an amazing new kid we've got.\Yeah. response:	Um, how have you dealt with the Anothers when you couldn't understand them?
context: that's called Ears of Sand!\Have you ever had it happen when you were talking to a foreigner or something?\No...\So it doesn't work on human language, huh?\You understand what the Anothers say, huh?\That's an amazing new kid we've got.\Yeah.\Um, how have you dealt with the Anothers when you couldn't understand them? response:	We've used facial pallor, mannerisms, and circumstantial evidence.
context: Have you ever had it happen when you were talking to a foreigner or something?\No...\So it doesn't work on human language, huh?\You understand what the Anothers say, huh?\That's an amazing new kid we've got.\Yeah.\Um, how have you dealt with the Anothers when you couldn't understand them?\We've used facial pallor, mannerisms, and circumstantial evidence. response:	Like trying to figure out what a cat or dog's thinking.
context: No...\So it doesn't work on human language, huh?\You understand what the Anothers say, huh?\That's an amazing new kid we've got.\Yeah.\Um, how have you dealt with the Anothers when you couldn't understand them?\We've used facial pallor, mannerisms, and circumstantial evidence.\Like trying to figure out what a cat or dog's thinking. response:	I've never heard of anyone in our line of work
context: So it doesn't work on human language, huh?\You understand what the Anothers say, huh?\That's an amazing new kid we've got.\Yeah.\Um, how have you dealt with the Anothers when you couldn't understand them?\We've used facial pallor, mannerisms, and circumstantial evidence.\Like trying to figure out what a cat or dog's thinking.\I've never heard of anyone in our line of work response:	in other wards or anywhere in Japan who could talk to the Anothers.
context: You understand what the Anothers say, huh?\That's an amazing new kid we've got.\Yeah.\Um, how have you dealt with the Anothers when you couldn't understand them?\We've used facial pallor, mannerisms, and circumstantial evidence.\Like trying to figure out what a cat or dog's thinking.\I've never heard of anyone in our line of work\in other wards or anywhere in Japan who could talk to the Anothers. response:	Not in the past, either.
context: That's an amazing new kid we've got.\Yeah.\Um, how have you dealt with the Anothers when you couldn't understand them?\We've used facial pallor, mannerisms, and circumstantial evidence.\Like trying to figure out what a cat or dog's thinking.\I've never heard of anyone in our line of work\in other wards or anywhere in Japan who could talk to the Anothers.\Not in the past, either. response:	Maybe it has something to do with them calling you Abe no Seimei?
context: Yeah.\Um, how have you dealt with the Anothers when you couldn't understand them?\We've used facial pallor, mannerisms, and circumstantial evidence.\Like trying to figure out what a cat or dog's thinking.\I've never heard of anyone in our line of work\in other wards or anywhere in Japan who could talk to the Anothers.\Not in the past, either.\Maybe it has something to do with them calling you Abe no Seimei? response:	Wonder what that means.
context: Um, how have you dealt with the Anothers when you couldn't understand them?\We've used facial pallor, mannerisms, and circumstantial evidence.\Like trying to figure out what a cat or dog's thinking.\I've never heard of anyone in our line of work\in other wards or anywhere in Japan who could talk to the Anothers.\Not in the past, either.\Maybe it has something to do with them calling you Abe no Seimei?\Wonder what that means. response:	My late grandfather once told me...
context: We've used facial pallor, mannerisms, and circumstantial evidence.\Like trying to figure out what a cat or dog's thinking.\I've never heard of anyone in our line of work\in other wards or anywhere in Japan who could talk to the Anothers.\Not in the past, either.\Maybe it has something to do with them calling you Abe no Seimei?\Wonder what that means.\My late grandfather once told me... response:	Our family, the Miyako clan, bear his bloodline.
context: Like trying to figure out what a cat or dog's thinking.\I've never heard of anyone in our line of work\in other wards or anywhere in Japan who could talk to the Anothers.\Not in the past, either.\Maybe it has something to do with them calling you Abe no Seimei?\Wonder what that means.\My late grandfather once told me...\Our family, the Miyako clan, bear his bloodline. response:	Nobody believed him.
context: I've never heard of anyone in our line of work\in other wards or anywhere in Japan who could talk to the Anothers.\Not in the past, either.\Maybe it has something to do with them calling you Abe no Seimei?\Wonder what that means.\My late grandfather once told me...\Our family, the Miyako clan, bear his bloodline.\Nobody believed him. response:	Well, you can go for today.
context: in other wards or anywhere in Japan who could talk to the Anothers.\Not in the past, either.\Maybe it has something to do with them calling you Abe no Seimei?\Wonder what that means.\My late grandfather once told me...\Our family, the Miyako clan, bear his bloodline.\Nobody believed him.\Well, you can go for today. response:	Your shift's over.
context: Not in the past, either.\Maybe it has something to do with them calling you Abe no Seimei?\Wonder what that means.\My late grandfather once told me...\Our family, the Miyako clan, bear his bloodline.\Nobody believed him.\Well, you can go for today.\Your shift's over. response:	Goodnight.
context: Maybe it has something to do with them calling you Abe no Seimei?\Wonder what that means.\My late grandfather once told me...\Our family, the Miyako clan, bear his bloodline.\Nobody believed him.\Well, you can go for today.\Your shift's over.\Goodnight. response:	What a weird night.
context: Wonder what that means.\My late grandfather once told me...\Our family, the Miyako clan, bear his bloodline.\Nobody believed him.\Well, you can go for today.\Your shift's over.\Goodnight.\What a weird night. response:	Yeah, what's with that new kid?
context: My late grandfather once told me...\Our family, the Miyako clan, bear his bloodline.\Nobody believed him.\Well, you can go for today.\Your shift's over.\Goodnight.\What a weird night.\Yeah, what's with that new kid? response:	Abe no Seimei, huh?
context: Our family, the Miyako clan, bear his bloodline.\Nobody believed him.\Well, you can go for today.\Your shift's over.\Goodnight.\What a weird night.\Yeah, what's with that new kid?\Abe no Seimei, huh? response:	I thought the exam would get rid of anybody
context: Nobody believed him.\Well, you can go for today.\Your shift's over.\Goodnight.\What a weird night.\Yeah, what's with that new kid?\Abe no Seimei, huh?\I thought the exam would get rid of anybody response:	who had relationships or experience like that.
context: Well, you can go for today.\Your shift's over.\Goodnight.\What a weird night.\Yeah, what's with that new kid?\Abe no Seimei, huh?\I thought the exam would get rid of anybody\who had relationships or experience like that. response:	Miyako
context: Your shift's over.\Goodnight.\What a weird night.\Yeah, what's with that new kid?\Abe no Seimei, huh?\I thought the exam would get rid of anybody\who had relationships or experience like that.\Miyako response:	So?
context: Goodnight.\What a weird night.\Yeah, what's with that new kid?\Abe no Seimei, huh?\I thought the exam would get rid of anybody\who had relationships or experience like that.\Miyako\So? response:	You've come to investigate?
context: What a weird night.\Yeah, what's with that new kid?\Abe no Seimei, huh?\I thought the exam would get rid of anybody\who had relationships or experience like that.\Miyako\So?\You've come to investigate? response:	Yes. Here's a present.
context: Yeah, what's with that new kid?\Abe no Seimei, huh?\I thought the exam would get rid of anybody\who had relationships or experience like that.\Miyako\So?\You've come to investigate?\Yes. Here's a present. response:	April 6th Shinjuku Ward, Kagurazaka
context: Abe no Seimei, huh?\I thought the exam would get rid of anybody\who had relationships or experience like that.\Miyako\So?\You've come to investigate?\Yes. Here's a present.\April 6th Shinjuku Ward, Kagurazaka response:	If we know your connection to Abe no Seimei,
context: I thought the exam would get rid of anybody\who had relationships or experience like that.\Miyako\So?\You've come to investigate?\Yes. Here's a present.\April 6th Shinjuku Ward, Kagurazaka\If we know your connection to Abe no Seimei, response:	it'll provide evidence as to whether the Ears of Sand are real.
context: who had relationships or experience like that.\Miyako\So?\You've come to investigate?\Yes. Here's a present.\April 6th Shinjuku Ward, Kagurazaka\If we know your connection to Abe no Seimei,\it'll provide evidence as to whether the Ears of Sand are real. response:	According to Senda-san, anyway.
context: Miyako\So?\You've come to investigate?\Yes. Here's a present.\April 6th Shinjuku Ward, Kagurazaka\If we know your connection to Abe no Seimei,\it'll provide evidence as to whether the Ears of Sand are real.\According to Senda-san, anyway. response:	Evidence?
context: So?\You've come to investigate?\Yes. Here's a present.\April 6th Shinjuku Ward, Kagurazaka\If we know your connection to Abe no Seimei,\it'll provide evidence as to whether the Ears of Sand are real.\According to Senda-san, anyway.\Evidence? response:	Huh? Arata, you have guests?
context: You've come to investigate?\Yes. Here's a present.\April 6th Shinjuku Ward, Kagurazaka\If we know your connection to Abe no Seimei,\it'll provide evidence as to whether the Ears of Sand are real.\According to Senda-san, anyway.\Evidence?\Huh? Arata, you have guests? response:	Oh, Izumi.
context: Yes. Here's a present.\April 6th Shinjuku Ward, Kagurazaka\If we know your connection to Abe no Seimei,\it'll provide evidence as to whether the Ears of Sand are real.\According to Senda-san, anyway.\Evidence?\Huh? Arata, you have guests?\Oh, Izumi. response:	Co-workers?
context: April 6th Shinjuku Ward, Kagurazaka\If we know your connection to Abe no Seimei,\it'll provide evidence as to whether the Ears of Sand are real.\According to Senda-san, anyway.\Evidence?\Huh? Arata, you have guests?\Oh, Izumi.\Co-workers? response:	Thank you for taking care of Arata.
context: If we know your connection to Abe no Seimei,\it'll provide evidence as to whether the Ears of Sand are real.\According to Senda-san, anyway.\Evidence?\Huh? Arata, you have guests?\Oh, Izumi.\Co-workers?\Thank you for taking care of Arata. response:	I'm Matsuno Izumi.
context: it'll provide evidence as to whether the Ears of Sand are real.\According to Senda-san, anyway.\Evidence?\Huh? Arata, you have guests?\Oh, Izumi.\Co-workers?\Thank you for taking care of Arata.\I'm Matsuno Izumi. response:	Her parents run that restaurant over there.
context: According to Senda-san, anyway.\Evidence?\Huh? Arata, you have guests?\Oh, Izumi.\Co-workers?\Thank you for taking care of Arata.\I'm Matsuno Izumi.\Her parents run that restaurant over there. response:	This is Sakaki-senpai from work.
context: Evidence?\Huh? Arata, you have guests?\Oh, Izumi.\Co-workers?\Thank you for taking care of Arata.\I'm Matsuno Izumi.\Her parents run that restaurant over there.\This is Sakaki-senpai from work. response:	And I'm Seo, his senpai. Seo's in katakana.
context: Huh? Arata, you have guests?\Oh, Izumi.\Co-workers?\Thank you for taking care of Arata.\I'm Matsuno Izumi.\Her parents run that restaurant over there.\This is Sakaki-senpai from work.\And I'm Seo, his senpai. Seo's in katakana. response:	Nice to meet you.
context: Oh, Izumi.\Co-workers?\Thank you for taking care of Arata.\I'm Matsuno Izumi.\Her parents run that restaurant over there.\This is Sakaki-senpai from work.\And I'm Seo, his senpai. Seo's in katakana.\Nice to meet you. response:	Seo-san's the senpai?
context: Co-workers?\Thank you for taking care of Arata.\I'm Matsuno Izumi.\Her parents run that restaurant over there.\This is Sakaki-senpai from work.\And I'm Seo, his senpai. Seo's in katakana.\Nice to meet you.\Seo-san's the senpai? response:	That's right.
context: Thank you for taking care of Arata.\I'm Matsuno Izumi.\Her parents run that restaurant over there.\This is Sakaki-senpai from work.\And I'm Seo, his senpai. Seo's in katakana.\Nice to meet you.\Seo-san's the senpai?\That's right. response:	Seo got his job the same time Section Chief Senda did.
context: I'm Matsuno Izumi.\Her parents run that restaurant over there.\This is Sakaki-senpai from work.\And I'm Seo, his senpai. Seo's in katakana.\Nice to meet you.\Seo-san's the senpai?\That's right.\Seo got his job the same time Section Chief Senda did. response:	Huh?! He did?!
context: Her parents run that restaurant over there.\This is Sakaki-senpai from work.\And I'm Seo, his senpai. Seo's in katakana.\Nice to meet you.\Seo-san's the senpai?\That's right.\Seo got his job the same time Section Chief Senda did.\Huh?! He did?! response:	Surprised, aren't you?
context: This is Sakaki-senpai from work.\And I'm Seo, his senpai. Seo's in katakana.\Nice to meet you.\Seo-san's the senpai?\That's right.\Seo got his job the same time Section Chief Senda did.\Huh?! He did?!\Surprised, aren't you? response:	Well, anybody would be surprised the first time they heard it.
context: And I'm Seo, his senpai. Seo's in katakana.\Nice to meet you.\Seo-san's the senpai?\That's right.\Seo got his job the same time Section Chief Senda did.\Huh?! He did?!\Surprised, aren't you?\Well, anybody would be surprised the first time they heard it. response:	Circular Notice
context: Nice to meet you.\Seo-san's the senpai?\That's right.\Seo got his job the same time Section Chief Senda did.\Huh?! He did?!\Surprised, aren't you?\Well, anybody would be surprised the first time they heard it.\Circular Notice response:	Hey, you work as a government worker on the night shift, right?
context: Seo-san's the senpai?\That's right.\Seo got his job the same time Section Chief Senda did.\Huh?! He did?!\Surprised, aren't you?\Well, anybody would be surprised the first time they heard it.\Circular Notice\Hey, you work as a government worker on the night shift, right? response:	Yeah, why?
context: That's right.\Seo got his job the same time Section Chief Senda did.\Huh?! He did?!\Surprised, aren't you?\Well, anybody would be surprised the first time they heard it.\Circular Notice\Hey, you work as a government worker on the night shift, right?\Yeah, why? response:	Is it something weird?
context: Seo got his job the same time Section Chief Senda did.\Huh?! He did?!\Surprised, aren't you?\Well, anybody would be surprised the first time they heard it.\Circular Notice\Hey, you work as a government worker on the night shift, right?\Yeah, why?\Is it something weird? response:	All my grandfather's things are in here.
context: Huh?! He did?!\Surprised, aren't you?\Well, anybody would be surprised the first time they heard it.\Circular Notice\Hey, you work as a government worker on the night shift, right?\Yeah, why?\Is it something weird?\All my grandfather's things are in here. response:	I haven't opened it in a long time.
context: Surprised, aren't you?\Well, anybody would be surprised the first time they heard it.\Circular Notice\Hey, you work as a government worker on the night shift, right?\Yeah, why?\Is it something weird?\All my grandfather's things are in here.\I haven't opened it in a long time. response:	When my grandparents were alive I used to play in here a lot.
context: Well, anybody would be surprised the first time they heard it.\Circular Notice\Hey, you work as a government worker on the night shift, right?\Yeah, why?\Is it something weird?\All my grandfather's things are in here.\I haven't opened it in a long time.\When my grandparents were alive I used to play in here a lot. response:	When they died and my family moved in, I stopped.
context: Circular Notice\Hey, you work as a government worker on the night shift, right?\Yeah, why?\Is it something weird?\All my grandfather's things are in here.\I haven't opened it in a long time.\When my grandparents were alive I used to play in here a lot.\When they died and my family moved in, I stopped. response:	Wow!
context: Hey, you work as a government worker on the night shift, right?\Yeah, why?\Is it something weird?\All my grandfather's things are in here.\I haven't opened it in a long time.\When my grandparents were alive I used to play in here a lot.\When they died and my family moved in, I stopped.\Wow! response:	My parents said you can take what you want.
context: Yeah, why?\Is it something weird?\All my grandfather's things are in here.\I haven't opened it in a long time.\When my grandparents were alive I used to play in here a lot.\When they died and my family moved in, I stopped.\Wow!\My parents said you can take what you want. response:	That's nice of them.
context: Is it something weird?\All my grandfather's things are in here.\I haven't opened it in a long time.\When my grandparents were alive I used to play in here a lot.\When they died and my family moved in, I stopped.\Wow!\My parents said you can take what you want.\That's nice of them. response:	Okay, I'll go check upstairs.
context: All my grandfather's things are in here.\I haven't opened it in a long time.\When my grandparents were alive I used to play in here a lot.\When they died and my family moved in, I stopped.\Wow!\My parents said you can take what you want.\That's nice of them.\Okay, I'll go check upstairs. response:	I guess we should carry out the papers, at least.
context: I haven't opened it in a long time.\When my grandparents were alive I used to play in here a lot.\When they died and my family moved in, I stopped.\Wow!\My parents said you can take what you want.\That's nice of them.\Okay, I'll go check upstairs.\I guess we should carry out the papers, at least. response:	Sure.
context: When my grandparents were alive I used to play in here a lot.\When they died and my family moved in, I stopped.\Wow!\My parents said you can take what you want.\That's nice of them.\Okay, I'll go check upstairs.\I guess we should carry out the papers, at least.\Sure. response:	What? A cat?
context: When they died and my family moved in, I stopped.\Wow!\My parents said you can take what you want.\That's nice of them.\Okay, I'll go check upstairs.\I guess we should carry out the papers, at least.\Sure.\What? A cat? response:	I-It stood up?!
context: Wow!\My parents said you can take what you want.\That's nice of them.\Okay, I'll go check upstairs.\I guess we should carry out the papers, at least.\Sure.\What? A cat?\I-It stood up?! response:	Arata!
context: My parents said you can take what you want.\That's nice of them.\Okay, I'll go check upstairs.\I guess we should carry out the papers, at least.\Sure.\What? A cat?\I-It stood up?!\Arata! response:	Arata! Arata!
context: That's nice of them.\Okay, I'll go check upstairs.\I guess we should carry out the papers, at least.\Sure.\What? A cat?\I-It stood up?!\Arata!\Arata! Arata! response:	Arata! Arata! Arata!
context: Okay, I'll go check upstairs.\I guess we should carry out the papers, at least.\Sure.\What? A cat?\I-It stood up?!\Arata!\Arata! Arata!\Arata! Arata! Arata! response:	What's up?
context: I guess we should carry out the papers, at least.\Sure.\What? A cat?\I-It stood up?!\Arata!\Arata! Arata!\Arata! Arata! Arata!\What's up? response:	There's an Another down here that really likes Miyako.
context: Sure.\What? A cat?\I-It stood up?!\Arata!\Arata! Arata!\Arata! Arata! Arata!\What's up?\There's an Another down here that really likes Miyako. response:	Two tails...
context: What? A cat?\I-It stood up?!\Arata!\Arata! Arata!\Arata! Arata! Arata!\What's up?\There's an Another down here that really likes Miyako.\Two tails... response:	A nekomata.
context: I-It stood up?!\Arata!\Arata! Arata!\Arata! Arata! Arata!\What's up?\There's an Another down here that really likes Miyako.\Two tails...\A nekomata. response:	How do you know my name?
context: Arata!\Arata! Arata!\Arata! Arata! Arata!\What's up?\There's an Another down here that really likes Miyako.\Two tails...\A nekomata.\How do you know my name? response:	We always used to play together!
context: Arata! Arata!\Arata! Arata! Arata!\What's up?\There's an Another down here that really likes Miyako.\Two tails...\A nekomata.\How do you know my name?\We always used to play together! response:	A white cat with blue eyes...
context: Arata! Arata! Arata!\What's up?\There's an Another down here that really likes Miyako.\Two tails...\A nekomata.\How do you know my name?\We always used to play together!\A white cat with blue eyes... response:	Yuki?
context: What's up?\There's an Another down here that really likes Miyako.\Two tails...\A nekomata.\How do you know my name?\We always used to play together!\A white cat with blue eyes...\Yuki? response:	That's right!
context: There's an Another down here that really likes Miyako.\Two tails...\A nekomata.\How do you know my name?\We always used to play together!\A white cat with blue eyes...\Yuki?\That's right! response:	I'm so happy to see you again, Arata!
context: Two tails...\A nekomata.\How do you know my name?\We always used to play together!\A white cat with blue eyes...\Yuki?\That's right!\I'm so happy to see you again, Arata! response:	Hey, help me up here.
context: A nekomata.\How do you know my name?\We always used to play together!\A white cat with blue eyes...\Yuki?\That's right!\I'm so happy to see you again, Arata!\Hey, help me up here. response:	Wait, that's a huge nekomata!
context: How do you know my name?\We always used to play together!\A white cat with blue eyes...\Yuki?\That's right!\I'm so happy to see you again, Arata!\Hey, help me up here.\Wait, that's a huge nekomata! response:	You okay, Miyako?
context: We always used to play together!\A white cat with blue eyes...\Yuki?\That's right!\I'm so happy to see you again, Arata!\Hey, help me up here.\Wait, that's a huge nekomata!\You okay, Miyako? response:	Yeah.
context: A white cat with blue eyes...\Yuki?\That's right!\I'm so happy to see you again, Arata!\Hey, help me up here.\Wait, that's a huge nekomata!\You okay, Miyako?\Yeah. response:	Arata, what are you doing?
context: Yuki?\That's right!\I'm so happy to see you again, Arata!\Hey, help me up here.\Wait, that's a huge nekomata!\You okay, Miyako?\Yeah.\Arata, what are you doing? response:	Taking some of the old books and stuff in here out and reading them.
context: That's right!\I'm so happy to see you again, Arata!\Hey, help me up here.\Wait, that's a huge nekomata!\You okay, Miyako?\Yeah.\Arata, what are you doing?\Taking some of the old books and stuff in here out and reading them. response:	You can't do that!
context: I'm so happy to see you again, Arata!\Hey, help me up here.\Wait, that's a huge nekomata!\You okay, Miyako?\Yeah.\Arata, what are you doing?\Taking some of the old books and stuff in here out and reading them.\You can't do that! response:	Your ancestor told me to protect what's in the storehouse.
context: Hey, help me up here.\Wait, that's a huge nekomata!\You okay, Miyako?\Yeah.\Arata, what are you doing?\Taking some of the old books and stuff in here out and reading them.\You can't do that!\Your ancestor told me to protect what's in the storehouse. response:	Ancestors?
context: Wait, that's a huge nekomata!\You okay, Miyako?\Yeah.\Arata, what are you doing?\Taking some of the old books and stuff in here out and reading them.\You can't do that!\Your ancestor told me to protect what's in the storehouse.\Ancestors? response:	Your grandpa's grandpa's grandpa... a long way back.
context: You okay, Miyako?\Yeah.\Arata, what are you doing?\Taking some of the old books and stuff in here out and reading them.\You can't do that!\Your ancestor told me to protect what's in the storehouse.\Ancestors?\Your grandpa's grandpa's grandpa... a long way back. response:	My former owner.
context: Yeah.\Arata, what are you doing?\Taking some of the old books and stuff in here out and reading them.\You can't do that!\Your ancestor told me to protect what's in the storehouse.\Ancestors?\Your grandpa's grandpa's grandpa... a long way back.\My former owner. response:	You've been here that long, Yuki?
context: Arata, what are you doing?\Taking some of the old books and stuff in here out and reading them.\You can't do that!\Your ancestor told me to protect what's in the storehouse.\Ancestors?\Your grandpa's grandpa's grandpa... a long way back.\My former owner.\You've been here that long, Yuki? response:	Yup.
context: Taking some of the old books and stuff in here out and reading them.\You can't do that!\Your ancestor told me to protect what's in the storehouse.\Ancestors?\Your grandpa's grandpa's grandpa... a long way back.\My former owner.\You've been here that long, Yuki?\Yup. response:	In the last century or so, you're the only one who's been able to see me.
context: You can't do that!\Your ancestor told me to protect what's in the storehouse.\Ancestors?\Your grandpa's grandpa's grandpa... a long way back.\My former owner.\You've been here that long, Yuki?\Yup.\In the last century or so, you're the only one who's been able to see me. response:	I see...
context: Your ancestor told me to protect what's in the storehouse.\Ancestors?\Your grandpa's grandpa's grandpa... a long way back.\My former owner.\You've been here that long, Yuki?\Yup.\In the last century or so, you're the only one who's been able to see me.\I see... response:	Yuki's been here... all alone... protecting the storehouse.
