context: Yum! response:	Delicious! So juicy...
context: Direct strike to the enemy vanguard's center.\My lord, the main attack force can now advance.\Hill Giant, Lv. 72 Hill Giant, Lv. 80 Rank/ Raid 1 Rank/ Raid 1\Reinforcements. Two hill giants.\Healers should flank both sides.\Start by annihilating the smaller side groups.\Main force, continue to advance.\He is... response:	enjoying the fight.
context: My lord, the main attack force can now advance.\Hill Giant, Lv. 72 Hill Giant, Lv. 80 Rank/ Raid 1 Rank/ Raid 1\Reinforcements. Two hill giants.\Healers should flank both sides.\Start by annihilating the smaller side groups.\Main force, continue to advance.\He is...\enjoying the fight. response:	But...
context: Hill Giant, Lv. 72 Hill Giant, Lv. 80 Rank/ Raid 1 Rank/ Raid 1\Reinforcements. Two hill giants.\Healers should flank both sides.\Start by annihilating the smaller side groups.\Main force, continue to advance.\He is...\enjoying the fight.\But... response:	Why does he seem so sad? So lonely?
context: Reinforcements. Two hill giants.\Healers should flank both sides.\Start by annihilating the smaller side groups.\Main force, continue to advance.\He is...\enjoying the fight.\But...\Why does he seem so sad? So lonely? response:	Chasing After Them
context: Healers should flank both sides.\Start by annihilating the smaller side groups.\Main force, continue to advance.\He is...\enjoying the fight.\But...\Why does he seem so sad? So lonely?\Chasing After Them response:	Chasing After Them.
context: Start by annihilating the smaller side groups.\Main force, continue to advance.\He is...\enjoying the fight.\But...\Why does he seem so sad? So lonely?\Chasing After Them\Chasing After Them. response:	Midraunt Equestrian Park Japan Server League of Freedom Cities, Eastal/ Funabashi Area No Monsters No PVP Skill Use Permitted Entry Restrictions/ None Events/ The Goblin King's Return
context: Main force, continue to advance.\He is...\enjoying the fight.\But...\Why does he seem so sad? So lonely?\Chasing After Them\Chasing After Them.\Midraunt Equestrian Park Japan Server League of Freedom Cities, Eastal/ Funabashi Area No Monsters No PVP Skill Use Permitted Entry Restrictions/ None Events/ The Goblin King's Return response:	Come in.
context: He is...\enjoying the fight.\But...\Why does he seem so sad? So lonely?\Chasing After Them\Chasing After Them.\Midraunt Equestrian Park Japan Server League of Freedom Cities, Eastal/ Funabashi Area No Monsters No PVP Skill Use Permitted Entry Restrictions/ None Events/ The Goblin King's Return\Come in. response:	Resupply team 5, depart.
context: enjoying the fight.\But...\Why does he seem so sad? So lonely?\Chasing After Them\Chasing After Them.\Midraunt Equestrian Park Japan Server League of Freedom Cities, Eastal/ Funabashi Area No Monsters No PVP Skill Use Permitted Entry Restrictions/ None Events/ The Goblin King's Return\Come in.\Resupply team 5, depart. response:	Continue to advance.
context: But...\Why does he seem so sad? So lonely?\Chasing After Them\Chasing After Them.\Midraunt Equestrian Park Japan Server League of Freedom Cities, Eastal/ Funabashi Area No Monsters No PVP Skill Use Permitted Entry Restrictions/ None Events/ The Goblin King's Return\Come in.\Resupply team 5, depart.\Continue to advance. response:	Roger. Departing.
context: Why does he seem so sad? So lonely?\Chasing After Them\Chasing After Them.\Midraunt Equestrian Park Japan Server League of Freedom Cities, Eastal/ Funabashi Area No Monsters No PVP Skill Use Permitted Entry Restrictions/ None Events/ The Goblin King's Return\Come in.\Resupply team 5, depart.\Continue to advance.\Roger. Departing. response:	Come in.
context: Chasing After Them\Chasing After Them.\Midraunt Equestrian Park Japan Server League of Freedom Cities, Eastal/ Funabashi Area No Monsters No PVP Skill Use Permitted Entry Restrictions/ None Events/ The Goblin King's Return\Come in.\Resupply team 5, depart.\Continue to advance.\Roger. Departing.\Come in. response:	Maintain position until further orders.
context: Chasing After Them.\Midraunt Equestrian Park Japan Server League of Freedom Cities, Eastal/ Funabashi Area No Monsters No PVP Skill Use Permitted Entry Restrictions/ None Events/ The Goblin King's Return\Come in.\Resupply team 5, depart.\Continue to advance.\Roger. Departing.\Come in.\Maintain position until further orders. response:	Come in.
context: Midraunt Equestrian Park Japan Server League of Freedom Cities, Eastal/ Funabashi Area No Monsters No PVP Skill Use Permitted Entry Restrictions/ None Events/ The Goblin King's Return\Come in.\Resupply team 5, depart.\Continue to advance.\Roger. Departing.\Come in.\Maintain position until further orders.\Come in. response:	This is Narashino.
context: Come in.\Resupply team 5, depart.\Continue to advance.\Roger. Departing.\Come in.\Maintain position until further orders.\Come in.\This is Narashino. response:	As planned, we've rendezvoused.
context: Resupply team 5, depart.\Continue to advance.\Roger. Departing.\Come in.\Maintain position until further orders.\Come in.\This is Narashino.\As planned, we've rendezvoused. response:	Understood. Location confirmed.
context: Continue to advance.\Roger. Departing.\Come in.\Maintain position until further orders.\Come in.\This is Narashino.\As planned, we've rendezvoused.\Understood. Location confirmed. response:	The Ocypete has met up with the second Akihabara group.
context: Roger. Departing.\Come in.\Maintain position until further orders.\Come in.\This is Narashino.\As planned, we've rendezvoused.\Understood. Location confirmed.\The Ocypete has met up with the second Akihabara group. response:	Roger.
context: Come in.\Maintain position until further orders.\Come in.\This is Narashino.\As planned, we've rendezvoused.\Understood. Location confirmed.\The Ocypete has met up with the second Akihabara group.\Roger. response:	Come in.
context: Maintain position until further orders.\Come in.\This is Narashino.\As planned, we've rendezvoused.\Understood. Location confirmed.\The Ocypete has met up with the second Akihabara group.\Roger.\Come in. response:	Please confirm location.
context: Come in.\This is Narashino.\As planned, we've rendezvoused.\Understood. Location confirmed.\The Ocypete has met up with the second Akihabara group.\Roger.\Come in.\Please confirm location. response:	Once they complete some maintenance, they'll set out for Choushi.
context: This is Narashino.\As planned, we've rendezvoused.\Understood. Location confirmed.\The Ocypete has met up with the second Akihabara group.\Roger.\Come in.\Please confirm location.\Once they complete some maintenance, they'll set out for Choushi. response:	Understood.
context: As planned, we've rendezvoused.\Understood. Location confirmed.\The Ocypete has met up with the second Akihabara group.\Roger.\Come in.\Please confirm location.\Once they complete some maintenance, they'll set out for Choushi.\Understood. response:	Seems the telepathy communication network is working.
context: Understood. Location confirmed.\The Ocypete has met up with the second Akihabara group.\Roger.\Come in.\Please confirm location.\Once they complete some maintenance, they'll set out for Choushi.\Understood.\Seems the telepathy communication network is working. response:	Each squad has a leader, and squads can communicate with one another.
context: The Ocypete has met up with the second Akihabara group.\Roger.\Come in.\Please confirm location.\Once they complete some maintenance, they'll set out for Choushi.\Understood.\Seems the telepathy communication network is working.\Each squad has a leader, and squads can communicate with one another. response:	And they have a contact at headquarters with whom they can speak, as well.
context: Roger.\Come in.\Please confirm location.\Once they complete some maintenance, they'll set out for Choushi.\Understood.\Seems the telepathy communication network is working.\Each squad has a leader, and squads can communicate with one another.\And they have a contact at headquarters with whom they can speak, as well. response:	This supports smooth communication among squads.
context: Come in.\Please confirm location.\Once they complete some maintenance, they'll set out for Choushi.\Understood.\Seems the telepathy communication network is working.\Each squad has a leader, and squads can communicate with one another.\And they have a contact at headquarters with whom they can speak, as well.\This supports smooth communication among squads. response:	Crusty and his force are kicking butt, too.
context: Please confirm location.\Once they complete some maintenance, they'll set out for Choushi.\Understood.\Seems the telepathy communication network is working.\Each squad has a leader, and squads can communicate with one another.\And they have a contact at headquarters with whom they can speak, as well.\This supports smooth communication among squads.\Crusty and his force are kicking butt, too. response:	Looks like it's going well, right?
context: Once they complete some maintenance, they'll set out for Choushi.\Understood.\Seems the telepathy communication network is working.\Each squad has a leader, and squads can communicate with one another.\And they have a contact at headquarters with whom they can speak, as well.\This supports smooth communication among squads.\Crusty and his force are kicking butt, too.\Looks like it's going well, right? response:	Choushi is the problem.
context: Understood.\Seems the telepathy communication network is working.\Each squad has a leader, and squads can communicate with one another.\And they have a contact at headquarters with whom they can speak, as well.\This supports smooth communication among squads.\Crusty and his force are kicking butt, too.\Looks like it's going well, right?\Choushi is the problem. response:	What's the issue?
context: Seems the telepathy communication network is working.\Each squad has a leader, and squads can communicate with one another.\And they have a contact at headquarters with whom they can speak, as well.\This supports smooth communication among squads.\Crusty and his force are kicking butt, too.\Looks like it's going well, right?\Choushi is the problem.\What's the issue? response:	Victory isn't going to be overly hard.
context: Each squad has a leader, and squads can communicate with one another.\And they have a contact at headquarters with whom they can speak, as well.\This supports smooth communication among squads.\Crusty and his force are kicking butt, too.\Looks like it's going well, right?\Choushi is the problem.\What's the issue?\Victory isn't going to be overly hard. response:	But after the battle ends,
context: And they have a contact at headquarters with whom they can speak, as well.\This supports smooth communication among squads.\Crusty and his force are kicking butt, too.\Looks like it's going well, right?\Choushi is the problem.\What's the issue?\Victory isn't going to be overly hard.\But after the battle ends, response:	the goblins will flee in all directions.
context: This supports smooth communication among squads.\Crusty and his force are kicking butt, too.\Looks like it's going well, right?\Choushi is the problem.\What's the issue?\Victory isn't going to be overly hard.\But after the battle ends,\the goblins will flee in all directions. response:	They might attack the People of the Land's villages.
context: Crusty and his force are kicking butt, too.\Looks like it's going well, right?\Choushi is the problem.\What's the issue?\Victory isn't going to be overly hard.\But after the battle ends,\the goblins will flee in all directions.\They might attack the People of the Land's villages. response:	To prevent this, we've been surrounding the goblins as we attack,
context: Looks like it's going well, right?\Choushi is the problem.\What's the issue?\Victory isn't going to be overly hard.\But after the battle ends,\the goblins will flee in all directions.\They might attack the People of the Land's villages.\To prevent this, we've been surrounding the goblins as we attack, response:	leading them to a single point.
context: Choushi is the problem.\What's the issue?\Victory isn't going to be overly hard.\But after the battle ends,\the goblins will flee in all directions.\They might attack the People of the Land's villages.\To prevent this, we've been surrounding the goblins as we attack,\leading them to a single point. response:	But we must also protect the town of Choushi...
context: What's the issue?\Victory isn't going to be overly hard.\But after the battle ends,\the goblins will flee in all directions.\They might attack the People of the Land's villages.\To prevent this, we've been surrounding the goblins as we attack,\leading them to a single point.\But we must also protect the town of Choushi... response:	Or our encirclement will be broken.
context: Victory isn't going to be overly hard.\But after the battle ends,\the goblins will flee in all directions.\They might attack the People of the Land's villages.\To prevent this, we've been surrounding the goblins as we attack,\leading them to a single point.\But we must also protect the town of Choushi...\Or our encirclement will be broken. response:	The town of Choushi is the most critical point in this plan.
context: But after the battle ends,\the goblins will flee in all directions.\They might attack the People of the Land's villages.\To prevent this, we've been surrounding the goblins as we attack,\leading them to a single point.\But we must also protect the town of Choushi...\Or our encirclement will be broken.\The town of Choushi is the most critical point in this plan. response:	I get it...
context: the goblins will flee in all directions.\They might attack the People of the Land's villages.\To prevent this, we've been surrounding the goblins as we attack,\leading them to a single point.\But we must also protect the town of Choushi...\Or our encirclement will be broken.\The town of Choushi is the most critical point in this plan.\I get it... response:	My lord...
context: They might attack the People of the Land's villages.\To prevent this, we've been surrounding the goblins as we attack,\leading them to a single point.\But we must also protect the town of Choushi...\Or our encirclement will be broken.\The town of Choushi is the most critical point in this plan.\I get it...\My lord... response:	You aren't going to the battle?
context: To prevent this, we've been surrounding the goblins as we attack,\leading them to a single point.\But we must also protect the town of Choushi...\Or our encirclement will be broken.\The town of Choushi is the most critical point in this plan.\I get it...\My lord...\You aren't going to the battle? response:	I want to go...
context: leading them to a single point.\But we must also protect the town of Choushi...\Or our encirclement will be broken.\The town of Choushi is the most critical point in this plan.\I get it...\My lord...\You aren't going to the battle?\I want to go... response:	But until all platoons have deployed, I can't move.
context: But we must also protect the town of Choushi...\Or our encirclement will be broken.\The town of Choushi is the most critical point in this plan.\I get it...\My lord...\You aren't going to the battle?\I want to go...\But until all platoons have deployed, I can't move. response:	I see...
context: Or our encirclement will be broken.\The town of Choushi is the most critical point in this plan.\I get it...\My lord...\You aren't going to the battle?\I want to go...\But until all platoons have deployed, I can't move.\I see... response:	Are you really all right?
context: The town of Choushi is the most critical point in this plan.\I get it...\My lord...\You aren't going to the battle?\I want to go...\But until all platoons have deployed, I can't move.\I see...\Are you really all right? response:	With what?
context: I get it...\My lord...\You aren't going to the battle?\I want to go...\But until all platoons have deployed, I can't move.\I see...\Are you really all right?\With what? response:	With what?
context: My lord...\You aren't going to the battle?\I want to go...\But until all platoons have deployed, I can't move.\I see...\Are you really all right?\With what?\With what? response:	Of course, I, Rundel Haus Code, am in perfect shape!
context: You aren't going to the battle?\I want to go...\But until all platoons have deployed, I can't move.\I see...\Are you really all right?\With what?\With what?\Of course, I, Rundel Haus Code, am in perfect shape! response:	I feel like no one in the world can stop me.
context: I want to go...\But until all platoons have deployed, I can't move.\I see...\Are you really all right?\With what?\With what?\Of course, I, Rundel Haus Code, am in perfect shape!\I feel like no one in the world can stop me. response:	Good, all clear!
context: But until all platoons have deployed, I can't move.\I see...\Are you really all right?\With what?\With what?\Of course, I, Rundel Haus Code, am in perfect shape!\I feel like no one in the world can stop me.\Good, all clear! response:	I hope it will stay that way.
context: I see...\Are you really all right?\With what?\With what?\Of course, I, Rundel Haus Code, am in perfect shape!\I feel like no one in the world can stop me.\Good, all clear!\I hope it will stay that way. response:	Don't worry.
context: Are you really all right?\With what?\With what?\Of course, I, Rundel Haus Code, am in perfect shape!\I feel like no one in the world can stop me.\Good, all clear!\I hope it will stay that way.\Don't worry. response:	If we all work together, the goblins are nothing.
context: With what?\With what?\Of course, I, Rundel Haus Code, am in perfect shape!\I feel like no one in the world can stop me.\Good, all clear!\I hope it will stay that way.\Don't worry.\If we all work together, the goblins are nothing. response:	What's wrong?
context: With what?\Of course, I, Rundel Haus Code, am in perfect shape!\I feel like no one in the world can stop me.\Good, all clear!\I hope it will stay that way.\Don't worry.\If we all work together, the goblins are nothing.\What's wrong? response:	What is that?
context: Of course, I, Rundel Haus Code, am in perfect shape!\I feel like no one in the world can stop me.\Good, all clear!\I hope it will stay that way.\Don't worry.\If we all work together, the goblins are nothing.\What's wrong?\What is that? response:	That's more than a few hundred.
context: I feel like no one in the world can stop me.\Good, all clear!\I hope it will stay that way.\Don't worry.\If we all work together, the goblins are nothing.\What's wrong?\What is that?\That's more than a few hundred. response:	A thousand, I'd imagine.
context: Good, all clear!\I hope it will stay that way.\Don't worry.\If we all work together, the goblins are nothing.\What's wrong?\What is that?\That's more than a few hundred.\A thousand, I'd imagine. response:	If that many rush into the town together...
context: I hope it will stay that way.\Don't worry.\If we all work together, the goblins are nothing.\What's wrong?\What is that?\That's more than a few hundred.\A thousand, I'd imagine.\If that many rush into the town together... response:	I can't let the kids do anything reckless again.
context: Don't worry.\If we all work together, the goblins are nothing.\What's wrong?\What is that?\That's more than a few hundred.\A thousand, I'd imagine.\If that many rush into the town together...\I can't let the kids do anything reckless again. response:	But...
context: If we all work together, the goblins are nothing.\What's wrong?\What is that?\That's more than a few hundred.\A thousand, I'd imagine.\If that many rush into the town together...\I can't let the kids do anything reckless again.\But... response:	Marielle!
context: What's wrong?\What is that?\That's more than a few hundred.\A thousand, I'd imagine.\If that many rush into the town together...\I can't let the kids do anything reckless again.\But...\Marielle! response:	Let's hit them first!
context: What is that?\That's more than a few hundred.\A thousand, I'd imagine.\If that many rush into the town together...\I can't let the kids do anything reckless again.\But...\Marielle!\Let's hit them first! response:	Yes, let's destroy them before they can reach the town!
context: That's more than a few hundred.\A thousand, I'd imagine.\If that many rush into the town together...\I can't let the kids do anything reckless again.\But...\Marielle!\Let's hit them first!\Yes, let's destroy them before they can reach the town! response:	Nyanta, let us go!
context: A thousand, I'd imagine.\If that many rush into the town together...\I can't let the kids do anything reckless again.\But...\Marielle!\Let's hit them first!\Yes, let's destroy them before they can reach the town!\Nyanta, let us go! response:	Meow.
context: If that many rush into the town together...\I can't let the kids do anything reckless again.\But...\Marielle!\Let's hit them first!\Yes, let's destroy them before they can reach the town!\Nyanta, let us go!\Meow. response:	Marie!
context: I can't let the kids do anything reckless again.\But...\Marielle!\Let's hit them first!\Yes, let's destroy them before they can reach the town!\Nyanta, let us go!\Meow.\Marie! response:	Give us the order to fire everyone up!
context: But...\Marielle!\Let's hit them first!\Yes, let's destroy them before they can reach the town!\Nyanta, let us go!\Meow.\Marie!\Give us the order to fire everyone up! response:	Everyone, thank you for all you've done.
context: Marielle!\Let's hit them first!\Yes, let's destroy them before they can reach the town!\Nyanta, let us go!\Meow.\Marie!\Give us the order to fire everyone up!\Everyone, thank you for all you've done. response:	Help us out just a bit more... Just one more fight.
context: Let's hit them first!\Yes, let's destroy them before they can reach the town!\Nyanta, let us go!\Meow.\Marie!\Give us the order to fire everyone up!\Everyone, thank you for all you've done.\Help us out just a bit more... Just one more fight. response:	I believe in all of you!
context: Yes, let's destroy them before they can reach the town!\Nyanta, let us go!\Meow.\Marie!\Give us the order to fire everyone up!\Everyone, thank you for all you've done.\Help us out just a bit more... Just one more fight.\I believe in all of you! response:	Let's go!
context: Nyanta, let us go!\Meow.\Marie!\Give us the order to fire everyone up!\Everyone, thank you for all you've done.\Help us out just a bit more... Just one more fight.\I believe in all of you!\Let's go! response:	Forward!
context: Meow.\Marie!\Give us the order to fire everyone up!\Everyone, thank you for all you've done.\Help us out just a bit more... Just one more fight.\I believe in all of you!\Let's go!\Forward! response:	Everyone, let's split into teams, to be ready for a second wave.
context: Marie!\Give us the order to fire everyone up!\Everyone, thank you for all you've done.\Help us out just a bit more... Just one more fight.\I believe in all of you!\Let's go!\Forward!\Everyone, let's split into teams, to be ready for a second wave. response:	Tohya, our party will focus on support.
context: Give us the order to fire everyone up!\Everyone, thank you for all you've done.\Help us out just a bit more... Just one more fight.\I believe in all of you!\Let's go!\Forward!\Everyone, let's split into teams, to be ready for a second wave.\Tohya, our party will focus on support. response:	Okay, got it!
context: Everyone, thank you for all you've done.\Help us out just a bit more... Just one more fight.\I believe in all of you!\Let's go!\Forward!\Everyone, let's split into teams, to be ready for a second wave.\Tohya, our party will focus on support.\Okay, got it! response:	Leave it to me!
context: Help us out just a bit more... Just one more fight.\I believe in all of you!\Let's go!\Forward!\Everyone, let's split into teams, to be ready for a second wave.\Tohya, our party will focus on support.\Okay, got it!\Leave it to me! response:	Shiroe!
context: I believe in all of you!\Let's go!\Forward!\Everyone, let's split into teams, to be ready for a second wave.\Tohya, our party will focus on support.\Okay, got it!\Leave it to me!\Shiroe! response:	The camp group, in Choushi, has just made contact with the sahuagin.
context: Let's go!\Forward!\Everyone, let's split into teams, to be ready for a second wave.\Tohya, our party will focus on support.\Okay, got it!\Leave it to me!\Shiroe!\The camp group, in Choushi, has just made contact with the sahuagin. response:	There are sixty adventurers and at least a thousand sahuagin.
context: Forward!\Everyone, let's split into teams, to be ready for a second wave.\Tohya, our party will focus on support.\Okay, got it!\Leave it to me!\Shiroe!\The camp group, in Choushi, has just made contact with the sahuagin.\There are sixty adventurers and at least a thousand sahuagin. response:	They're overwhelmed!
context: Everyone, let's split into teams, to be ready for a second wave.\Tohya, our party will focus on support.\Okay, got it!\Leave it to me!\Shiroe!\The camp group, in Choushi, has just made contact with the sahuagin.\There are sixty adventurers and at least a thousand sahuagin.\They're overwhelmed! response:	Tell the Ocypete to hurry!
context: Tohya, our party will focus on support.\Okay, got it!\Leave it to me!\Shiroe!\The camp group, in Choushi, has just made contact with the sahuagin.\There are sixty adventurers and at least a thousand sahuagin.\They're overwhelmed!\Tell the Ocypete to hurry! response:	135 km Remaining to Meinion Coast (Half Gaia distance)
context: Okay, got it!\Leave it to me!\Shiroe!\The camp group, in Choushi, has just made contact with the sahuagin.\There are sixty adventurers and at least a thousand sahuagin.\They're overwhelmed!\Tell the Ocypete to hurry!\135 km Remaining to Meinion Coast (Half Gaia distance) response:	Wait.
context: Leave it to me!\Shiroe!\The camp group, in Choushi, has just made contact with the sahuagin.\There are sixty adventurers and at least a thousand sahuagin.\They're overwhelmed!\Tell the Ocypete to hurry!\135 km Remaining to Meinion Coast (Half Gaia distance)\Wait. response:	Right now, our job is to recover our MP.
context: Shiroe!\The camp group, in Choushi, has just made contact with the sahuagin.\There are sixty adventurers and at least a thousand sahuagin.\They're overwhelmed!\Tell the Ocypete to hurry!\135 km Remaining to Meinion Coast (Half Gaia distance)\Wait.\Right now, our job is to recover our MP. response:	Naotsugu, here.
context: The camp group, in Choushi, has just made contact with the sahuagin.\There are sixty adventurers and at least a thousand sahuagin.\They're overwhelmed!\Tell the Ocypete to hurry!\135 km Remaining to Meinion Coast (Half Gaia distance)\Wait.\Right now, our job is to recover our MP.\Naotsugu, here. response:	Thanks.
context: There are sixty adventurers and at least a thousand sahuagin.\They're overwhelmed!\Tell the Ocypete to hurry!\135 km Remaining to Meinion Coast (Half Gaia distance)\Wait.\Right now, our job is to recover our MP.\Naotsugu, here.\Thanks. response:	Whirlwind Slash!
context: They're overwhelmed!\Tell the Ocypete to hurry!\135 km Remaining to Meinion Coast (Half Gaia distance)\Wait.\Right now, our job is to recover our MP.\Naotsugu, here.\Thanks.\Whirlwind Slash! response:	Tohya has grown stronger.
context: Tell the Ocypete to hurry!\135 km Remaining to Meinion Coast (Half Gaia distance)\Wait.\Right now, our job is to recover our MP.\Naotsugu, here.\Thanks.\Whirlwind Slash!\Tohya has grown stronger. response:	Yeah. He still has a ways to go...
context: 135 km Remaining to Meinion Coast (Half Gaia distance)\Wait.\Right now, our job is to recover our MP.\Naotsugu, here.\Thanks.\Whirlwind Slash!\Tohya has grown stronger.\Yeah. He still has a ways to go... response:	But he'll get stronger.
context: Wait.\Right now, our job is to recover our MP.\Naotsugu, here.\Thanks.\Whirlwind Slash!\Tohya has grown stronger.\Yeah. He still has a ways to go...\But he'll get stronger. response:	Same goes for Serara.
context: Right now, our job is to recover our MP.\Naotsugu, here.\Thanks.\Whirlwind Slash!\Tohya has grown stronger.\Yeah. He still has a ways to go...\But he'll get stronger.\Same goes for Serara. response:	She used to only think about healing...
context: Naotsugu, here.\Thanks.\Whirlwind Slash!\Tohya has grown stronger.\Yeah. He still has a ways to go...\But he'll get stronger.\Same goes for Serara.\She used to only think about healing... response:	Please, Wolfy!
context: Thanks.\Whirlwind Slash!\Tohya has grown stronger.\Yeah. He still has a ways to go...\But he'll get stronger.\Same goes for Serara.\She used to only think about healing...\Please, Wolfy! response:	But now she's using offensive techniques, and remembering to summon her companion.
context: Whirlwind Slash!\Tohya has grown stronger.\Yeah. He still has a ways to go...\But he'll get stronger.\Same goes for Serara.\She used to only think about healing...\Please, Wolfy!\But now she's using offensive techniques, and remembering to summon her companion. response:	Also, the bard girl and the sorcerer boy...
context: Tohya has grown stronger.\Yeah. He still has a ways to go...\But he'll get stronger.\Same goes for Serara.\She used to only think about healing...\Please, Wolfy!\But now she's using offensive techniques, and remembering to summon her companion.\Also, the bard girl and the sorcerer boy... response:	Dance of Pavane!
context: Yeah. He still has a ways to go...\But he'll get stronger.\Same goes for Serara.\She used to only think about healing...\Please, Wolfy!\But now she's using offensive techniques, and remembering to summon her companion.\Also, the bard girl and the sorcerer boy...\Dance of Pavane! response:	They back each other up as if they can understand each other's thoughts.
