context: Is that all you have? response:	As I thought, you were a fake.
context: I'll keep pursuing a happy future, where no one will be hurt.\And at the end of everything, this is where he ended up.\A man once told me,\What you believe in, what you believed in... It's all hypocrisy.\But in spite of that,\the man who said those words stayed true to that same hypocrisy to the end.\Which means that I can do it.\Even if it's borrowed, even if it's fake, I don't care. response:	I'm okay with that.
context: And at the end of everything, this is where he ended up.\A man once told me,\What you believe in, what you believed in... It's all hypocrisy.\But in spite of that,\the man who said those words stayed true to that same hypocrisy to the end.\Which means that I can do it.\Even if it's borrowed, even if it's fake, I don't care.\I'm okay with that. response:	Emiya Shirou can keep this dream going!
context: A man once told me,\What you believe in, what you believed in... It's all hypocrisy.\But in spite of that,\the man who said those words stayed true to that same hypocrisy to the end.\Which means that I can do it.\Even if it's borrowed, even if it's fake, I don't care.\I'm okay with that.\Emiya Shirou can keep this dream going! response:	Even if he doesn't find a single thing he was searching for!
context: What you believe in, what you believed in... It's all hypocrisy.\But in spite of that,\the man who said those words stayed true to that same hypocrisy to the end.\Which means that I can do it.\Even if it's borrowed, even if it's fake, I don't care.\I'm okay with that.\Emiya Shirou can keep this dream going!\Even if he doesn't find a single thing he was searching for! response:	Come on...
context: But in spite of that,\the man who said those words stayed true to that same hypocrisy to the end.\Which means that I can do it.\Even if it's borrowed, even if it's fake, I don't care.\I'm okay with that.\Emiya Shirou can keep this dream going!\Even if he doesn't find a single thing he was searching for!\Come on... response:	That's all there was to it?
context: the man who said those words stayed true to that same hypocrisy to the end.\Which means that I can do it.\Even if it's borrowed, even if it's fake, I don't care.\I'm okay with that.\Emiya Shirou can keep this dream going!\Even if he doesn't find a single thing he was searching for!\Come on...\That's all there was to it? response:	I was reluctant to use it, but I imagine you felt the blast of wind from Ea.
context: Which means that I can do it.\Even if it's borrowed, even if it's fake, I don't care.\I'm okay with that.\Emiya Shirou can keep this dream going!\Even if he doesn't find a single thing he was searching for!\Come on...\That's all there was to it?\I was reluctant to use it, but I imagine you felt the blast of wind from Ea. response:	If you have all those weapons,
context: Even if it's borrowed, even if it's fake, I don't care.\I'm okay with that.\Emiya Shirou can keep this dream going!\Even if he doesn't find a single thing he was searching for!\Come on...\That's all there was to it?\I was reluctant to use it, but I imagine you felt the blast of wind from Ea.\If you have all those weapons, response:	why would you be reluctant to use just one?
context: I'm okay with that.\Emiya Shirou can keep this dream going!\Even if he doesn't find a single thing he was searching for!\Come on...\That's all there was to it?\I was reluctant to use it, but I imagine you felt the blast of wind from Ea.\If you have all those weapons,\why would you be reluctant to use just one? response:	Only the supreme ruler may wield that blade.
context: Emiya Shirou can keep this dream going!\Even if he doesn't find a single thing he was searching for!\Come on...\That's all there was to it?\I was reluctant to use it, but I imagine you felt the blast of wind from Ea.\If you have all those weapons,\why would you be reluctant to use just one?\Only the supreme ruler may wield that blade. response:	You haven't the right to so much as look upon it.
context: Even if he doesn't find a single thing he was searching for!\Come on...\That's all there was to it?\I was reluctant to use it, but I imagine you felt the blast of wind from Ea.\If you have all those weapons,\why would you be reluctant to use just one?\Only the supreme ruler may wield that blade.\You haven't the right to so much as look upon it. response:	Saber...
context: Come on...\That's all there was to it?\I was reluctant to use it, but I imagine you felt the blast of wind from Ea.\If you have all those weapons,\why would you be reluctant to use just one?\Only the supreme ruler may wield that blade.\You haven't the right to so much as look upon it.\Saber... response:	Are you unharmed, Shirou?
context: That's all there was to it?\I was reluctant to use it, but I imagine you felt the blast of wind from Ea.\If you have all those weapons,\why would you be reluctant to use just one?\Only the supreme ruler may wield that blade.\You haven't the right to so much as look upon it.\Saber...\Are you unharmed, Shirou? response:	I shall take over from here.
context: I was reluctant to use it, but I imagine you felt the blast of wind from Ea.\If you have all those weapons,\why would you be reluctant to use just one?\Only the supreme ruler may wield that blade.\You haven't the right to so much as look upon it.\Saber...\Are you unharmed, Shirou?\I shall take over from here. response:	No, you go help Tohsaka.
context: If you have all those weapons,\why would you be reluctant to use just one?\Only the supreme ruler may wield that blade.\You haven't the right to so much as look upon it.\Saber...\Are you unharmed, Shirou?\I shall take over from here.\No, you go help Tohsaka. response:	I can handle Gilgamesh by myself.
context: why would you be reluctant to use just one?\Only the supreme ruler may wield that blade.\You haven't the right to so much as look upon it.\Saber...\Are you unharmed, Shirou?\I shall take over from here.\No, you go help Tohsaka.\I can handle Gilgamesh by myself. response:	What are you saying, Shirou?
context: Only the supreme ruler may wield that blade.\You haven't the right to so much as look upon it.\Saber...\Are you unharmed, Shirou?\I shall take over from here.\No, you go help Tohsaka.\I can handle Gilgamesh by myself.\What are you saying, Shirou? response:	A mage is no match for a Servant.
context: You haven't the right to so much as look upon it.\Saber...\Are you unharmed, Shirou?\I shall take over from here.\No, you go help Tohsaka.\I can handle Gilgamesh by myself.\What are you saying, Shirou?\A mage is no match for a Servant. response:	Yeah, but he and I are exceptions to the rules.
context: Saber...\Are you unharmed, Shirou?\I shall take over from here.\No, you go help Tohsaka.\I can handle Gilgamesh by myself.\What are you saying, Shirou?\A mage is no match for a Servant.\Yeah, but he and I are exceptions to the rules. response:	Trust me.
context: Are you unharmed, Shirou?\I shall take over from here.\No, you go help Tohsaka.\I can handle Gilgamesh by myself.\What are you saying, Shirou?\A mage is no match for a Servant.\Yeah, but he and I are exceptions to the rules.\Trust me. response:	I know I can beat this guy!
context: I shall take over from here.\No, you go help Tohsaka.\I can handle Gilgamesh by myself.\What are you saying, Shirou?\A mage is no match for a Servant.\Yeah, but he and I are exceptions to the rules.\Trust me.\I know I can beat this guy! response:	Good luck.
context: No, you go help Tohsaka.\I can handle Gilgamesh by myself.\What are you saying, Shirou?\A mage is no match for a Servant.\Yeah, but he and I are exceptions to the rules.\Trust me.\I know I can beat this guy!\Good luck. response:	I shall keep Rin safe.
context: I can handle Gilgamesh by myself.\What are you saying, Shirou?\A mage is no match for a Servant.\Yeah, but he and I are exceptions to the rules.\Trust me.\I know I can beat this guy!\Good luck.\I shall keep Rin safe. response:	Saber...
context: What are you saying, Shirou?\A mage is no match for a Servant.\Yeah, but he and I are exceptions to the rules.\Trust me.\I know I can beat this guy!\Good luck.\I shall keep Rin safe.\Saber... response:	I wasn't able to save you.
context: A mage is no match for a Servant.\Yeah, but he and I are exceptions to the rules.\Trust me.\I know I can beat this guy!\Good luck.\I shall keep Rin safe.\Saber...\I wasn't able to save you. response:	I think this Grail isn't what you were hoping for.
context: Yeah, but he and I are exceptions to the rules.\Trust me.\I know I can beat this guy!\Good luck.\I shall keep Rin safe.\Saber...\I wasn't able to save you.\I think this Grail isn't what you were hoping for. response:	So take a good look.
context: Trust me.\I know I can beat this guy!\Good luck.\I shall keep Rin safe.\Saber...\I wasn't able to save you.\I think this Grail isn't what you were hoping for.\So take a good look. response:	To make sure that you get it right next time.
context: I know I can beat this guy!\Good luck.\I shall keep Rin safe.\Saber...\I wasn't able to save you.\I think this Grail isn't what you were hoping for.\So take a good look.\To make sure that you get it right next time. response:	Shirou?
context: Good luck.\I shall keep Rin safe.\Saber...\I wasn't able to save you.\I think this Grail isn't what you were hoping for.\So take a good look.\To make sure that you get it right next time.\Shirou? response:	Sorry, it's hard to explain.
context: I shall keep Rin safe.\Saber...\I wasn't able to save you.\I think this Grail isn't what you were hoping for.\So take a good look.\To make sure that you get it right next time.\Shirou?\Sorry, it's hard to explain. response:	I guess I was never cut out to be your Master.
context: Saber...\I wasn't able to save you.\I think this Grail isn't what you were hoping for.\So take a good look.\To make sure that you get it right next time.\Shirou?\Sorry, it's hard to explain.\I guess I was never cut out to be your Master. response:	So...
context: I wasn't able to save you.\I think this Grail isn't what you were hoping for.\So take a good look.\To make sure that you get it right next time.\Shirou?\Sorry, it's hard to explain.\I guess I was never cut out to be your Master.\So... response:	That is untrue.
context: I think this Grail isn't what you were hoping for.\So take a good look.\To make sure that you get it right next time.\Shirou?\Sorry, it's hard to explain.\I guess I was never cut out to be your Master.\So...\That is untrue. response:	You are my Master, Shirou.
context: So take a good look.\To make sure that you get it right next time.\Shirou?\Sorry, it's hard to explain.\I guess I was never cut out to be your Master.\So...\That is untrue.\You are my Master, Shirou. response:	I shall go fulfill my duty as a Servant.
context: To make sure that you get it right next time.\Shirou?\Sorry, it's hard to explain.\I guess I was never cut out to be your Master.\So...\That is untrue.\You are my Master, Shirou.\I shall go fulfill my duty as a Servant. response:	Let us continue our discussion afterward.
context: Shirou?\Sorry, it's hard to explain.\I guess I was never cut out to be your Master.\So...\That is untrue.\You are my Master, Shirou.\I shall go fulfill my duty as a Servant.\Let us continue our discussion afterward. response:	Are you mad, boy?
context: Sorry, it's hard to explain.\I guess I was never cut out to be your Master.\So...\That is untrue.\You are my Master, Shirou.\I shall go fulfill my duty as a Servant.\Let us continue our discussion afterward.\Are you mad, boy? response:	You choose to sacrifice yourself, rather than use Saber?
context: I guess I was never cut out to be your Master.\So...\That is untrue.\You are my Master, Shirou.\I shall go fulfill my duty as a Servant.\Let us continue our discussion afterward.\Are you mad, boy?\You choose to sacrifice yourself, rather than use Saber? response:	You fool.
context: So...\That is untrue.\You are my Master, Shirou.\I shall go fulfill my duty as a Servant.\Let us continue our discussion afterward.\Are you mad, boy?\You choose to sacrifice yourself, rather than use Saber?\You fool. response:	The act of self-sacrifice is naught but a lie.
context: That is untrue.\You are my Master, Shirou.\I shall go fulfill my duty as a Servant.\Let us continue our discussion afterward.\Are you mad, boy?\You choose to sacrifice yourself, rather than use Saber?\You fool.\The act of self-sacrifice is naught but a lie. response:	Being unable to see that, even now,
context: You are my Master, Shirou.\I shall go fulfill my duty as a Servant.\Let us continue our discussion afterward.\Are you mad, boy?\You choose to sacrifice yourself, rather than use Saber?\You fool.\The act of self-sacrifice is naught but a lie.\Being unable to see that, even now, response:	marks you as an inveterate hypocrite.
context: I shall go fulfill my duty as a Servant.\Let us continue our discussion afterward.\Are you mad, boy?\You choose to sacrifice yourself, rather than use Saber?\You fool.\The act of self-sacrifice is naught but a lie.\Being unable to see that, even now,\marks you as an inveterate hypocrite. response:	A fraud and a hypocrite, huh?
context: Let us continue our discussion afterward.\Are you mad, boy?\You choose to sacrifice yourself, rather than use Saber?\You fool.\The act of self-sacrifice is naught but a lie.\Being unable to see that, even now,\marks you as an inveterate hypocrite.\A fraud and a hypocrite, huh? response:	It's probably because I am a fake.
context: Are you mad, boy?\You choose to sacrifice yourself, rather than use Saber?\You fool.\The act of self-sacrifice is naught but a lie.\Being unable to see that, even now,\marks you as an inveterate hypocrite.\A fraud and a hypocrite, huh?\It's probably because I am a fake. response:	But I was mistaken all along.
context: You choose to sacrifice yourself, rather than use Saber?\You fool.\The act of self-sacrifice is naught but a lie.\Being unable to see that, even now,\marks you as an inveterate hypocrite.\A fraud and a hypocrite, huh?\It's probably because I am a fake.\But I was mistaken all along. response:	My sword-making doesn't actually create them.
context: You fool.\The act of self-sacrifice is naught but a lie.\Being unable to see that, even now,\marks you as an inveterate hypocrite.\A fraud and a hypocrite, huh?\It's probably because I am a fake.\But I was mistaken all along.\My sword-making doesn't actually create them. response:	There's only one thing that I can do.
context: The act of self-sacrifice is naught but a lie.\Being unable to see that, even now,\marks you as an inveterate hypocrite.\A fraud and a hypocrite, huh?\It's probably because I am a fake.\But I was mistaken all along.\My sword-making doesn't actually create them.\There's only one thing that I can do. response:	And that's to give form to what's in my mind.
context: Being unable to see that, even now,\marks you as an inveterate hypocrite.\A fraud and a hypocrite, huh?\It's probably because I am a fake.\But I was mistaken all along.\My sword-making doesn't actually create them.\There's only one thing that I can do.\And that's to give form to what's in my mind. response:	My body is made of swords!
context: marks you as an inveterate hypocrite.\A fraud and a hypocrite, huh?\It's probably because I am a fake.\But I was mistaken all along.\My sword-making doesn't actually create them.\There's only one thing that I can do.\And that's to give form to what's in my mind.\My body is made of swords! response:	My blood is steel, my heart is glass.
context: A fraud and a hypocrite, huh?\It's probably because I am a fake.\But I was mistaken all along.\My sword-making doesn't actually create them.\There's only one thing that I can do.\And that's to give form to what's in my mind.\My body is made of swords!\My blood is steel, my heart is glass. response:	I have emerged unvanquished from many battles.
context: It's probably because I am a fake.\But I was mistaken all along.\My sword-making doesn't actually create them.\There's only one thing that I can do.\And that's to give form to what's in my mind.\My body is made of swords!\My blood is steel, my heart is glass.\I have emerged unvanquished from many battles. response:	Never have I been put to flight,
context: But I was mistaken all along.\My sword-making doesn't actually create them.\There's only one thing that I can do.\And that's to give form to what's in my mind.\My body is made of swords!\My blood is steel, my heart is glass.\I have emerged unvanquished from many battles.\Never have I been put to flight, response:	but neither have I stood victorious.
context: My sword-making doesn't actually create them.\There's only one thing that I can do.\And that's to give form to what's in my mind.\My body is made of swords!\My blood is steel, my heart is glass.\I have emerged unvanquished from many battles.\Never have I been put to flight,\but neither have I stood victorious. response:	Its bearer stands here alone,
context: There's only one thing that I can do.\And that's to give form to what's in my mind.\My body is made of swords!\My blood is steel, my heart is glass.\I have emerged unvanquished from many battles.\Never have I been put to flight,\but neither have I stood victorious.\Its bearer stands here alone, response:	forging steel atop a hill of blades.
context: And that's to give form to what's in my mind.\My body is made of swords!\My blood is steel, my heart is glass.\I have emerged unvanquished from many battles.\Never have I been put to flight,\but neither have I stood victorious.\Its bearer stands here alone,\forging steel atop a hill of blades. response:	For that reason, my life has never needed meaning.
context: My body is made of swords!\My blood is steel, my heart is glass.\I have emerged unvanquished from many battles.\Never have I been put to flight,\but neither have I stood victorious.\Its bearer stands here alone,\forging steel atop a hill of blades.\For that reason, my life has never needed meaning. response:	My body has been made of infinite swords!
context: My blood is steel, my heart is glass.\I have emerged unvanquished from many battles.\Never have I been put to flight,\but neither have I stood victorious.\Its bearer stands here alone,\forging steel atop a hill of blades.\For that reason, my life has never needed meaning.\My body has been made of infinite swords! response:	That's right, I don't create swords.
context: I have emerged unvanquished from many battles.\Never have I been put to flight,\but neither have I stood victorious.\Its bearer stands here alone,\forging steel atop a hill of blades.\For that reason, my life has never needed meaning.\My body has been made of infinite swords!\That's right, I don't create swords. response:	I create a world that contains an infinite number of swords.
context: Never have I been put to flight,\but neither have I stood victorious.\Its bearer stands here alone,\forging steel atop a hill of blades.\For that reason, my life has never needed meaning.\My body has been made of infinite swords!\That's right, I don't create swords.\I create a world that contains an infinite number of swords. response:	That is the only magic allowed to Emiya Shirou.
context: but neither have I stood victorious.\Its bearer stands here alone,\forging steel atop a hill of blades.\For that reason, my life has never needed meaning.\My body has been made of infinite swords!\That's right, I don't create swords.\I create a world that contains an infinite number of swords.\That is the only magic allowed to Emiya Shirou. response:	A Reality Marble, eh?
context: Its bearer stands here alone,\forging steel atop a hill of blades.\For that reason, my life has never needed meaning.\My body has been made of infinite swords!\That's right, I don't create swords.\I create a world that contains an infinite number of swords.\That is the only magic allowed to Emiya Shirou.\A Reality Marble, eh? response:	What of it?
context: forging steel atop a hill of blades.\For that reason, my life has never needed meaning.\My body has been made of infinite swords!\That's right, I don't create swords.\I create a world that contains an infinite number of swords.\That is the only magic allowed to Emiya Shirou.\A Reality Marble, eh?\What of it? response:	What can you do with this wretched mental landscape?
context: For that reason, my life has never needed meaning.\My body has been made of infinite swords!\That's right, I don't create swords.\I create a world that contains an infinite number of swords.\That is the only magic allowed to Emiya Shirou.\A Reality Marble, eh?\What of it?\What can you do with this wretched mental landscape? response:	Don't be so surprised.
context: My body has been made of infinite swords!\That's right, I don't create swords.\I create a world that contains an infinite number of swords.\That is the only magic allowed to Emiya Shirou.\A Reality Marble, eh?\What of it?\What can you do with this wretched mental landscape?\Don't be so surprised. response:	Everything here is a fake.
context: That's right, I don't create swords.\I create a world that contains an infinite number of swords.\That is the only magic allowed to Emiya Shirou.\A Reality Marble, eh?\What of it?\What can you do with this wretched mental landscape?\Don't be so surprised.\Everything here is a fake. response:	However, there's nothing that says a fake can't rival the real thing.
context: I create a world that contains an infinite number of swords.\That is the only magic allowed to Emiya Shirou.\A Reality Marble, eh?\What of it?\What can you do with this wretched mental landscape?\Don't be so surprised.\Everything here is a fake.\However, there's nothing that says a fake can't rival the real thing. response:	If you say you're the genuine article,
context: That is the only magic allowed to Emiya Shirou.\A Reality Marble, eh?\What of it?\What can you do with this wretched mental landscape?\Don't be so surprised.\Everything here is a fake.\However, there's nothing that says a fake can't rival the real thing.\If you say you're the genuine article, response:	then I'll just surpass everything about you and take you down.
context: A Reality Marble, eh?\What of it?\What can you do with this wretched mental landscape?\Don't be so surprised.\Everything here is a fake.\However, there's nothing that says a fake can't rival the real thing.\If you say you're the genuine article,\then I'll just surpass everything about you and take you down. response:	Let's do this, King of Heroes.
context: What of it?\What can you do with this wretched mental landscape?\Don't be so surprised.\Everything here is a fake.\However, there's nothing that says a fake can't rival the real thing.\If you say you're the genuine article,\then I'll just surpass everything about you and take you down.\Let's do this, King of Heroes. response:	Do you have enough weapons stored up?
context: What can you do with this wretched mental landscape?\Don't be so surprised.\Everything here is a fake.\However, there's nothing that says a fake can't rival the real thing.\If you say you're the genuine article,\then I'll just surpass everything about you and take you down.\Let's do this, King of Heroes.\Do you have enough weapons stored up? response:	You think too highly of yourself, mongrel.
