context: All right! response:	We're done for... This is the end...
context: It's all your guys' fault. Do you even get that?\What do you mean?\You guys are primitive.\Burning...\Go, B-B-B-B-B-Bird!\What?!\Oh, my! MESSY's way too sensitive!\Yeah, isn't it awesome? response:	MESSY seems to like changing its shape.
context: What do you mean?\You guys are primitive.\Burning...\Go, B-B-B-B-B-Bird!\What?!\Oh, my! MESSY's way too sensitive!\Yeah, isn't it awesome?\MESSY seems to like changing its shape. response:	Oh, MESSY's acting weird today.
context: You guys are primitive.\Burning...\Go, B-B-B-B-B-Bird!\What?!\Oh, my! MESSY's way too sensitive!\Yeah, isn't it awesome?\MESSY seems to like changing its shape.\Oh, MESSY's acting weird today. response:	C'mon, Utsutsu. Try it, too.
context: Burning...\Go, B-B-B-B-B-Bird!\What?!\Oh, my! MESSY's way too sensitive!\Yeah, isn't it awesome?\MESSY seems to like changing its shape.\Oh, MESSY's acting weird today.\C'mon, Utsutsu. Try it, too. response:	I'm dreamy...
context: Go, B-B-B-B-B-Bird!\What?!\Oh, my! MESSY's way too sensitive!\Yeah, isn't it awesome?\MESSY seems to like changing its shape.\Oh, MESSY's acting weird today.\C'mon, Utsutsu. Try it, too.\I'm dreamy... response:	Man, we've got way too much free time.
context: What?!\Oh, my! MESSY's way too sensitive!\Yeah, isn't it awesome?\MESSY seems to like changing its shape.\Oh, MESSY's acting weird today.\C'mon, Utsutsu. Try it, too.\I'm dreamy...\Man, we've got way too much free time. response:	We've been beating MESS-chan up all this time,
context: Oh, my! MESSY's way too sensitive!\Yeah, isn't it awesome?\MESSY seems to like changing its shape.\Oh, MESSY's acting weird today.\C'mon, Utsutsu. Try it, too.\I'm dreamy...\Man, we've got way too much free time.\We've been beating MESS-chan up all this time, response:	but we're way too friendly with this MESS-chan!
context: Yeah, isn't it awesome?\MESSY seems to like changing its shape.\Oh, MESSY's acting weird today.\C'mon, Utsutsu. Try it, too.\I'm dreamy...\Man, we've got way too much free time.\We've been beating MESS-chan up all this time,\but we're way too friendly with this MESS-chan! response:	Oh, Jou-chan.
context: MESSY seems to like changing its shape.\Oh, MESSY's acting weird today.\C'mon, Utsutsu. Try it, too.\I'm dreamy...\Man, we've got way too much free time.\We've been beating MESS-chan up all this time,\but we're way too friendly with this MESS-chan!\Oh, Jou-chan. response:	You're looking way too scary!
context: Oh, MESSY's acting weird today.\C'mon, Utsutsu. Try it, too.\I'm dreamy...\Man, we've got way too much free time.\We've been beating MESS-chan up all this time,\but we're way too friendly with this MESS-chan!\Oh, Jou-chan.\You're looking way too scary! response:	A strange alien?
context: C'mon, Utsutsu. Try it, too.\I'm dreamy...\Man, we've got way too much free time.\We've been beating MESS-chan up all this time,\but we're way too friendly with this MESS-chan!\Oh, Jou-chan.\You're looking way too scary!\A strange alien? response:	Yeah.
context: I'm dreamy...\Man, we've got way too much free time.\We've been beating MESS-chan up all this time,\but we're way too friendly with this MESS-chan!\Oh, Jou-chan.\You're looking way too scary!\A strange alien?\Yeah. response:	My powers didn't have any effect.
context: Man, we've got way too much free time.\We've been beating MESS-chan up all this time,\but we're way too friendly with this MESS-chan!\Oh, Jou-chan.\You're looking way too scary!\A strange alien?\Yeah.\My powers didn't have any effect. response:	It's a violent one, too.
context: We've been beating MESS-chan up all this time,\but we're way too friendly with this MESS-chan!\Oh, Jou-chan.\You're looking way too scary!\A strange alien?\Yeah.\My powers didn't have any effect.\It's a violent one, too. response:	It camouflaged itself as a random passerby and stabbed a lot of people.
context: but we're way too friendly with this MESS-chan!\Oh, Jou-chan.\You're looking way too scary!\A strange alien?\Yeah.\My powers didn't have any effect.\It's a violent one, too.\It camouflaged itself as a random passerby and stabbed a lot of people. response:	Could it also be...
context: Oh, Jou-chan.\You're looking way too scary!\A strange alien?\Yeah.\My powers didn't have any effect.\It's a violent one, too.\It camouflaged itself as a random passerby and stabbed a lot of people.\Could it also be... response:	Multiple Assaults in Tachikawa Area Suspects All Deny Involvement Suspects Claim Bodies Suddenly Appeared in Front of Them
context: You're looking way too scary!\A strange alien?\Yeah.\My powers didn't have any effect.\It's a violent one, too.\It camouflaged itself as a random passerby and stabbed a lot of people.\Could it also be...\Multiple Assaults in Tachikawa Area Suspects All Deny Involvement Suspects Claim Bodies Suddenly Appeared in Front of Them response:	I wouldn't be surprised.
context: A strange alien?\Yeah.\My powers didn't have any effect.\It's a violent one, too.\It camouflaged itself as a random passerby and stabbed a lot of people.\Could it also be...\Multiple Assaults in Tachikawa Area Suspects All Deny Involvement Suspects Claim Bodies Suddenly Appeared in Front of Them\I wouldn't be surprised. response:	It said,
context: Yeah.\My powers didn't have any effect.\It's a violent one, too.\It camouflaged itself as a random passerby and stabbed a lot of people.\Could it also be...\Multiple Assaults in Tachikawa Area Suspects All Deny Involvement Suspects Claim Bodies Suddenly Appeared in Front of Them\I wouldn't be surprised.\It said, response:	No one will be spared.
context: My powers didn't have any effect.\It's a violent one, too.\It camouflaged itself as a random passerby and stabbed a lot of people.\Could it also be...\Multiple Assaults in Tachikawa Area Suspects All Deny Involvement Suspects Claim Bodies Suddenly Appeared in Front of Them\I wouldn't be surprised.\It said,\No one will be spared. response:	Everyone will go up in a big, red blaze.
context: It's a violent one, too.\It camouflaged itself as a random passerby and stabbed a lot of people.\Could it also be...\Multiple Assaults in Tachikawa Area Suspects All Deny Involvement Suspects Claim Bodies Suddenly Appeared in Front of Them\I wouldn't be surprised.\It said,\No one will be spared.\Everyone will go up in a big, red blaze. response:	and You're all to blame.
context: It camouflaged itself as a random passerby and stabbed a lot of people.\Could it also be...\Multiple Assaults in Tachikawa Area Suspects All Deny Involvement Suspects Claim Bodies Suddenly Appeared in Front of Them\I wouldn't be surprised.\It said,\No one will be spared.\Everyone will go up in a big, red blaze.\and You're all to blame. response:	So yeah.
context: Could it also be...\Multiple Assaults in Tachikawa Area Suspects All Deny Involvement Suspects Claim Bodies Suddenly Appeared in Front of Them\I wouldn't be surprised.\It said,\No one will be spared.\Everyone will go up in a big, red blaze.\and You're all to blame.\So yeah. response:	What does this all mean?
context: Multiple Assaults in Tachikawa Area Suspects All Deny Involvement Suspects Claim Bodies Suddenly Appeared in Front of Them\I wouldn't be surprised.\It said,\No one will be spared.\Everyone will go up in a big, red blaze.\and You're all to blame.\So yeah.\What does this all mean? response:	It was pretty tough.
context: I wouldn't be surprised.\It said,\No one will be spared.\Everyone will go up in a big, red blaze.\and You're all to blame.\So yeah.\What does this all mean?\It was pretty tough. response:	You fought against it, Jou-san?
context: It said,\No one will be spared.\Everyone will go up in a big, red blaze.\and You're all to blame.\So yeah.\What does this all mean?\It was pretty tough.\You fought against it, Jou-san? response:	Yeah. I didn't manage to finish it off today,
context: No one will be spared.\Everyone will go up in a big, red blaze.\and You're all to blame.\So yeah.\What does this all mean?\It was pretty tough.\You fought against it, Jou-san?\Yeah. I didn't manage to finish it off today, response:	but I will, for sure, next time.
context: Everyone will go up in a big, red blaze.\and You're all to blame.\So yeah.\What does this all mean?\It was pretty tough.\You fought against it, Jou-san?\Yeah. I didn't manage to finish it off today,\but I will, for sure, next time. response:	Still, something bothers me.
context: and You're all to blame.\So yeah.\What does this all mean?\It was pretty tough.\You fought against it, Jou-san?\Yeah. I didn't manage to finish it off today,\but I will, for sure, next time.\Still, something bothers me. response:	Remember what JJ said a while back?
context: So yeah.\What does this all mean?\It was pretty tough.\You fought against it, Jou-san?\Yeah. I didn't manage to finish it off today,\but I will, for sure, next time.\Still, something bothers me.\Remember what JJ said a while back? response:	He said, A bird with sundered wings has wandered in.
context: What does this all mean?\It was pretty tough.\You fought against it, Jou-san?\Yeah. I didn't manage to finish it off today,\but I will, for sure, next time.\Still, something bothers me.\Remember what JJ said a while back?\He said, A bird with sundered wings has wandered in. response:	Yes.
context: It was pretty tough.\You fought against it, Jou-san?\Yeah. I didn't manage to finish it off today,\but I will, for sure, next time.\Still, something bothers me.\Remember what JJ said a while back?\He said, A bird with sundered wings has wandered in.\Yes. response:	I've been wondering what he meant.
context: You fought against it, Jou-san?\Yeah. I didn't manage to finish it off today,\but I will, for sure, next time.\Still, something bothers me.\Remember what JJ said a while back?\He said, A bird with sundered wings has wandered in.\Yes.\I've been wondering what he meant. response:	It had a NOTE.
context: Yeah. I didn't manage to finish it off today,\but I will, for sure, next time.\Still, something bothers me.\Remember what JJ said a while back?\He said, A bird with sundered wings has wandered in.\Yes.\I've been wondering what he meant.\It had a NOTE. response:	A NOTE like this?
context: but I will, for sure, next time.\Still, something bothers me.\Remember what JJ said a while back?\He said, A bird with sundered wings has wandered in.\Yes.\I've been wondering what he meant.\It had a NOTE.\A NOTE like this? response:	Yeah...
context: Still, something bothers me.\Remember what JJ said a while back?\He said, A bird with sundered wings has wandered in.\Yes.\I've been wondering what he meant.\It had a NOTE.\A NOTE like this?\Yeah... response:	You mean, it might be a Gatchaman like us?
context: Remember what JJ said a while back?\He said, A bird with sundered wings has wandered in.\Yes.\I've been wondering what he meant.\It had a NOTE.\A NOTE like this?\Yeah...\You mean, it might be a Gatchaman like us? response:	I wonder.
context: He said, A bird with sundered wings has wandered in.\Yes.\I've been wondering what he meant.\It had a NOTE.\A NOTE like this?\Yeah...\You mean, it might be a Gatchaman like us?\I wonder. response:	Are there more Gatchaman than just us?
context: Yes.\I've been wondering what he meant.\It had a NOTE.\A NOTE like this?\Yeah...\You mean, it might be a Gatchaman like us?\I wonder.\Are there more Gatchaman than just us? response:	OD, Paiman, you know something, don't you?
context: I've been wondering what he meant.\It had a NOTE.\A NOTE like this?\Yeah...\You mean, it might be a Gatchaman like us?\I wonder.\Are there more Gatchaman than just us?\OD, Paiman, you know something, don't you? response:	It was really tall.
context: It had a NOTE.\A NOTE like this?\Yeah...\You mean, it might be a Gatchaman like us?\I wonder.\Are there more Gatchaman than just us?\OD, Paiman, you know something, don't you?\It was really tall. response:	Long, tangled hair and a diamond-shaped tail.
context: A NOTE like this?\Yeah...\You mean, it might be a Gatchaman like us?\I wonder.\Are there more Gatchaman than just us?\OD, Paiman, you know something, don't you?\It was really tall.\Long, tangled hair and a diamond-shaped tail. response:	Who is it?
context: Yeah...\You mean, it might be a Gatchaman like us?\I wonder.\Are there more Gatchaman than just us?\OD, Paiman, you know something, don't you?\It was really tall.\Long, tangled hair and a diamond-shaped tail.\Who is it? response:	Pai-Pai? D-san?
context: You mean, it might be a Gatchaman like us?\I wonder.\Are there more Gatchaman than just us?\OD, Paiman, you know something, don't you?\It was really tall.\Long, tangled hair and a diamond-shaped tail.\Who is it?\Pai-Pai? D-san? response:	You're acting weird.
context: I wonder.\Are there more Gatchaman than just us?\OD, Paiman, you know something, don't you?\It was really tall.\Long, tangled hair and a diamond-shaped tail.\Who is it?\Pai-Pai? D-san?\You're acting weird. response:	The crazed bird has appeared once more,
context: Are there more Gatchaman than just us?\OD, Paiman, you know something, don't you?\It was really tall.\Long, tangled hair and a diamond-shaped tail.\Who is it?\Pai-Pai? D-san?\You're acting weird.\The crazed bird has appeared once more, response:	scattering the innocent with iron.
context: OD, Paiman, you know something, don't you?\It was really tall.\Long, tangled hair and a diamond-shaped tail.\Who is it?\Pai-Pai? D-san?\You're acting weird.\The crazed bird has appeared once more,\scattering the innocent with iron. response:	Hands off this one, guys!
context: It was really tall.\Long, tangled hair and a diamond-shaped tail.\Who is it?\Pai-Pai? D-san?\You're acting weird.\The crazed bird has appeared once more,\scattering the innocent with iron.\Hands off this one, guys! response:	How can you say that?
context: Long, tangled hair and a diamond-shaped tail.\Who is it?\Pai-Pai? D-san?\You're acting weird.\The crazed bird has appeared once more,\scattering the innocent with iron.\Hands off this one, guys!\How can you say that? response:	There's already been several deaths!
context: Who is it?\Pai-Pai? D-san?\You're acting weird.\The crazed bird has appeared once more,\scattering the innocent with iron.\Hands off this one, guys!\How can you say that?\There's already been several deaths! response:	We don't know for certain that an alien is behind them!
