context: I was wrong. response:	These pieces of shit in this castle are a blight!
context: You... You really did... take over the castle.\Oh, here you are, Olmi-Boobs.\I don't even have the energy to argue anymore.\If you give in, it will be the end of the battle.\Moving on...\Hey. Who is this?\It's a huge portrait.\He is the Father of Orte, response:	the founder of the Orte Empire.
context: Oh, here you are, Olmi-Boobs.\I don't even have the energy to argue anymore.\If you give in, it will be the end of the battle.\Moving on...\Hey. Who is this?\It's a huge portrait.\He is the Father of Orte,\the founder of the Orte Empire. response:	I heard that about sixty years ago, he appeared out of nowhere.
context: I don't even have the energy to argue anymore.\If you give in, it will be the end of the battle.\Moving on...\Hey. Who is this?\It's a huge portrait.\He is the Father of Orte,\the founder of the Orte Empire.\I heard that about sixty years ago, he appeared out of nowhere. response:	We have yet to find out whether he
context: If you give in, it will be the end of the battle.\Moving on...\Hey. Who is this?\It's a huge portrait.\He is the Father of Orte,\the founder of the Orte Empire.\I heard that about sixty years ago, he appeared out of nowhere.\We have yet to find out whether he response:	belonged to the Drifters or the Ends.
context: Moving on...\Hey. Who is this?\It's a huge portrait.\He is the Father of Orte,\the founder of the Orte Empire.\I heard that about sixty years ago, he appeared out of nowhere.\We have yet to find out whether he\belonged to the Drifters or the Ends. response:	One day, he showed up at the bar and
context: Hey. Who is this?\It's a huge portrait.\He is the Father of Orte,\the founder of the Orte Empire.\I heard that about sixty years ago, he appeared out of nowhere.\We have yet to find out whether he\belonged to the Drifters or the Ends.\One day, he showed up at the bar and response:	instigated people to rise against government.
context: It's a huge portrait.\He is the Father of Orte,\the founder of the Orte Empire.\I heard that about sixty years ago, he appeared out of nowhere.\We have yet to find out whether he\belonged to the Drifters or the Ends.\One day, he showed up at the bar and\instigated people to rise against government. response:	With his compelling speeches and ability
context: He is the Father of Orte,\the founder of the Orte Empire.\I heard that about sixty years ago, he appeared out of nowhere.\We have yet to find out whether he\belonged to the Drifters or the Ends.\One day, he showed up at the bar and\instigated people to rise against government.\With his compelling speeches and ability response:	to capture the hearts and minds of the people,
context: the founder of the Orte Empire.\I heard that about sixty years ago, he appeared out of nowhere.\We have yet to find out whether he\belonged to the Drifters or the Ends.\One day, he showed up at the bar and\instigated people to rise against government.\With his compelling speeches and ability\to capture the hearts and minds of the people, response:	he initiated the rebellion and marched on the capital.
context: I heard that about sixty years ago, he appeared out of nowhere.\We have yet to find out whether he\belonged to the Drifters or the Ends.\One day, he showed up at the bar and\instigated people to rise against government.\With his compelling speeches and ability\to capture the hearts and minds of the people,\he initiated the rebellion and marched on the capital. response:	According to the record left
context: We have yet to find out whether he\belonged to the Drifters or the Ends.\One day, he showed up at the bar and\instigated people to rise against government.\With his compelling speeches and ability\to capture the hearts and minds of the people,\he initiated the rebellion and marched on the capital.\According to the record left response:	at that time, he acted as if he were an expert demagogue.
context: belonged to the Drifters or the Ends.\One day, he showed up at the bar and\instigated people to rise against government.\With his compelling speeches and ability\to capture the hearts and minds of the people,\he initiated the rebellion and marched on the capital.\According to the record left\at that time, he acted as if he were an expert demagogue. response:	Then, after he founded Orte, he suddenly committed suicide.
context: One day, he showed up at the bar and\instigated people to rise against government.\With his compelling speeches and ability\to capture the hearts and minds of the people,\he initiated the rebellion and marched on the capital.\According to the record left\at that time, he acted as if he were an expert demagogue.\Then, after he founded Orte, he suddenly committed suicide. response:	The reason behind his suicide remains unknown.
context: instigated people to rise against government.\With his compelling speeches and ability\to capture the hearts and minds of the people,\he initiated the rebellion and marched on the capital.\According to the record left\at that time, he acted as if he were an expert demagogue.\Then, after he founded Orte, he suddenly committed suicide.\The reason behind his suicide remains unknown. response:	If he was a Drifter...
context: With his compelling speeches and ability\to capture the hearts and minds of the people,\he initiated the rebellion and marched on the capital.\According to the record left\at that time, he acted as if he were an expert demagogue.\Then, after he founded Orte, he suddenly committed suicide.\The reason behind his suicide remains unknown.\If he was a Drifter... response:	Don't know.
context: to capture the hearts and minds of the people,\he initiated the rebellion and marched on the capital.\According to the record left\at that time, he acted as if he were an expert demagogue.\Then, after he founded Orte, he suddenly committed suicide.\The reason behind his suicide remains unknown.\If he was a Drifter...\Don't know. response:	What the hell is with that mustache?! Is he messing with me?!
context: he initiated the rebellion and marched on the capital.\According to the record left\at that time, he acted as if he were an expert demagogue.\Then, after he founded Orte, he suddenly committed suicide.\The reason behind his suicide remains unknown.\If he was a Drifter...\Don't know.\What the hell is with that mustache?! Is he messing with me?! response:	Nobunaga, sir!
context: According to the record left\at that time, he acted as if he were an expert demagogue.\Then, after he founded Orte, he suddenly committed suicide.\The reason behind his suicide remains unknown.\If he was a Drifter...\Don't know.\What the hell is with that mustache?! Is he messing with me?!\Nobunaga, sir! response:	What's wrong?
context: at that time, he acted as if he were an expert demagogue.\Then, after he founded Orte, he suddenly committed suicide.\The reason behind his suicide remains unknown.\If he was a Drifter...\Don't know.\What the hell is with that mustache?! Is he messing with me?!\Nobunaga, sir!\What's wrong? response:	Toyo dragged the soldiers to the courtyard.
context: Then, after he founded Orte, he suddenly committed suicide.\The reason behind his suicide remains unknown.\If he was a Drifter...\Don't know.\What the hell is with that mustache?! Is he messing with me?!\Nobunaga, sir!\What's wrong?\Toyo dragged the soldiers to the courtyard. response:	He said something about carving them up and tearing them out by the roots.
context: The reason behind his suicide remains unknown.\If he was a Drifter...\Don't know.\What the hell is with that mustache?! Is he messing with me?!\Nobunaga, sir!\What's wrong?\Toyo dragged the soldiers to the courtyard.\He said something about carving them up and tearing them out by the roots. response:	Wh-What... the hell?!
context: If he was a Drifter...\Don't know.\What the hell is with that mustache?! Is he messing with me?!\Nobunaga, sir!\What's wrong?\Toyo dragged the soldiers to the courtyard.\He said something about carving them up and tearing them out by the roots.\Wh-What... the hell?! response:	Damn it! Toyo...
context: Don't know.\What the hell is with that mustache?! Is he messing with me?!\Nobunaga, sir!\What's wrong?\Toyo dragged the soldiers to the courtyard.\He said something about carving them up and tearing them out by the roots.\Wh-What... the hell?!\Damn it! Toyo... response:	How righteous are you?
context: What the hell is with that mustache?! Is he messing with me?!\Nobunaga, sir!\What's wrong?\Toyo dragged the soldiers to the courtyard.\He said something about carving them up and tearing them out by the roots.\Wh-What... the hell?!\Damn it! Toyo...\How righteous are you? response:	Sir, what does he mean by tearing them out by the roots?
context: Nobunaga, sir!\What's wrong?\Toyo dragged the soldiers to the courtyard.\He said something about carving them up and tearing them out by the roots.\Wh-What... the hell?!\Damn it! Toyo...\How righteous are you?\Sir, what does he mean by tearing them out by the roots? response:	He means to slaughter them all.
context: What's wrong?\Toyo dragged the soldiers to the courtyard.\He said something about carving them up and tearing them out by the roots.\Wh-What... the hell?!\Damn it! Toyo...\How righteous are you?\Sir, what does he mean by tearing them out by the roots?\He means to slaughter them all. response:	Eh?!
context: Toyo dragged the soldiers to the courtyard.\He said something about carving them up and tearing them out by the roots.\Wh-What... the hell?!\Damn it! Toyo...\How righteous are you?\Sir, what does he mean by tearing them out by the roots?\He means to slaughter them all.\Eh?! response:	From looking at the male Elves, you should
context: He said something about carving them up and tearing them out by the roots.\Wh-What... the hell?!\Damn it! Toyo...\How righteous are you?\Sir, what does he mean by tearing them out by the roots?\He means to slaughter them all.\Eh?!\From looking at the male Elves, you should response:	be able to tell their females are also good-looking.
context: Wh-What... the hell?!\Damn it! Toyo...\How righteous are you?\Sir, what does he mean by tearing them out by the roots?\He means to slaughter them all.\Eh?!\From looking at the male Elves, you should\be able to tell their females are also good-looking. response:	They've been kidnapping those women regularly.
context: Damn it! Toyo...\How righteous are you?\Sir, what does he mean by tearing them out by the roots?\He means to slaughter them all.\Eh?!\From looking at the male Elves, you should\be able to tell their females are also good-looking.\They've been kidnapping those women regularly. response:	It would've been an easy guess those soldiers would rape them.
context: How righteous are you?\Sir, what does he mean by tearing them out by the roots?\He means to slaughter them all.\Eh?!\From looking at the male Elves, you should\be able to tell their females are also good-looking.\They've been kidnapping those women regularly.\It would've been an easy guess those soldiers would rape them. response:	You should've known better even before we took down this castle.
context: Sir, what does he mean by tearing them out by the roots?\He means to slaughter them all.\Eh?!\From looking at the male Elves, you should\be able to tell their females are also good-looking.\They've been kidnapping those women regularly.\It would've been an easy guess those soldiers would rape them.\You should've known better even before we took down this castle. response:	You should not carve them up or tear them out by the roots.
context: He means to slaughter them all.\Eh?!\From looking at the male Elves, you should\be able to tell their females are also good-looking.\They've been kidnapping those women regularly.\It would've been an easy guess those soldiers would rape them.\You should've known better even before we took down this castle.\You should not carve them up or tear them out by the roots. response:	That sort of thing is my job in the first place!
context: Eh?!\From looking at the male Elves, you should\be able to tell their females are also good-looking.\They've been kidnapping those women regularly.\It would've been an easy guess those soldiers would rape them.\You should've known better even before we took down this castle.\You should not carve them up or tear them out by the roots.\That sort of thing is my job in the first place! response:	You should just be yourself, being all honest and straightforward.
context: From looking at the male Elves, you should\be able to tell their females are also good-looking.\They've been kidnapping those women regularly.\It would've been an easy guess those soldiers would rape them.\You should've known better even before we took down this castle.\You should not carve them up or tear them out by the roots.\That sort of thing is my job in the first place!\You should just be yourself, being all honest and straightforward. response:	Leave the twisted and warped jobs to the Demon King of the Sixth Heaven.
context: be able to tell their females are also good-looking.\They've been kidnapping those women regularly.\It would've been an easy guess those soldiers would rape them.\You should've known better even before we took down this castle.\You should not carve them up or tear them out by the roots.\That sort of thing is my job in the first place!\You should just be yourself, being all honest and straightforward.\Leave the twisted and warped jobs to the Demon King of the Sixth Heaven. response:	It's my forte.
context: They've been kidnapping those women regularly.\It would've been an easy guess those soldiers would rape them.\You should've known better even before we took down this castle.\You should not carve them up or tear them out by the roots.\That sort of thing is my job in the first place!\You should just be yourself, being all honest and straightforward.\Leave the twisted and warped jobs to the Demon King of the Sixth Heaven.\It's my forte. response:	H-Help...
context: It would've been an easy guess those soldiers would rape them.\You should've known better even before we took down this castle.\You should not carve them up or tear them out by the roots.\That sort of thing is my job in the first place!\You should just be yourself, being all honest and straightforward.\Leave the twisted and warped jobs to the Demon King of the Sixth Heaven.\It's my forte.\H-Help... response:	Please, anything but my life.
context: You should've known better even before we took down this castle.\You should not carve them up or tear them out by the roots.\That sort of thing is my job in the first place!\You should just be yourself, being all honest and straightforward.\Leave the twisted and warped jobs to the Demon King of the Sixth Heaven.\It's my forte.\H-Help...\Please, anything but my life. response:	Are you all right?
context: You should not carve them up or tear them out by the roots.\That sort of thing is my job in the first place!\You should just be yourself, being all honest and straightforward.\Leave the twisted and warped jobs to the Demon King of the Sixth Heaven.\It's my forte.\H-Help...\Please, anything but my life.\Are you all right? response:	Do you know what will happen to you all?!
context: That sort of thing is my job in the first place!\You should just be yourself, being all honest and straightforward.\Leave the twisted and warped jobs to the Demon King of the Sixth Heaven.\It's my forte.\H-Help...\Please, anything but my life.\Are you all right?\Do you know what will happen to you all?! response:	If our government ever finds out about this, you'll be all slaughtered!
context: You should just be yourself, being all honest and straightforward.\Leave the twisted and warped jobs to the Demon King of the Sixth Heaven.\It's my forte.\H-Help...\Please, anything but my life.\Are you all right?\Do you know what will happen to you all?!\If our government ever finds out about this, you'll be all slaughtered! response:	Toyohisa!
context: Leave the twisted and warped jobs to the Demon King of the Sixth Heaven.\It's my forte.\H-Help...\Please, anything but my life.\Are you all right?\Do you know what will happen to you all?!\If our government ever finds out about this, you'll be all slaughtered!\Toyohisa! response:	Please let me shoot them!
context: It's my forte.\H-Help...\Please, anything but my life.\Are you all right?\Do you know what will happen to you all?!\If our government ever finds out about this, you'll be all slaughtered!\Toyohisa!\Please let me shoot them! response:	Now!
context: H-Help...\Please, anything but my life.\Are you all right?\Do you know what will happen to you all?!\If our government ever finds out about this, you'll be all slaughtered!\Toyohisa!\Please let me shoot them!\Now! response:	Let me kill them!
context: Please, anything but my life.\Are you all right?\Do you know what will happen to you all?!\If our government ever finds out about this, you'll be all slaughtered!\Toyohisa!\Please let me shoot them!\Now!\Let me kill them! response:	Toyohisa!
context: Are you all right?\Do you know what will happen to you all?!\If our government ever finds out about this, you'll be all slaughtered!\Toyohisa!\Please let me shoot them!\Now!\Let me kill them!\Toyohisa! response:	Now!
context: Do you know what will happen to you all?!\If our government ever finds out about this, you'll be all slaughtered!\Toyohisa!\Please let me shoot them!\Now!\Let me kill them!\Toyohisa!\Now! response:	Ki-
context: If our government ever finds out about this, you'll be all slaughtered!\Toyohisa!\Please let me shoot them!\Now!\Let me kill them!\Toyohisa!\Now!\Ki- response:	Kill them.
context: Toyohisa!\Please let me shoot them!\Now!\Let me kill them!\Toyohisa!\Now!\Ki-\Kill them. response:	Kill them all.
context: Please let me shoot them!\Now!\Let me kill them!\Toyohisa!\Now!\Ki-\Kill them.\Kill them all. response:	You've been abusing these women all this time.
context: Now!\Let me kill them!\Toyohisa!\Now!\Ki-\Kill them.\Kill them all.\You've been abusing these women all this time. response:	You would be making a big mistake if you think you can leave here alive
context: Let me kill them!\Toyohisa!\Now!\Ki-\Kill them.\Kill them all.\You've been abusing these women all this time.\You would be making a big mistake if you think you can leave here alive response:	by just laying down your arms!
context: Toyohisa!\Now!\Ki-\Kill them.\Kill them all.\You've been abusing these women all this time.\You would be making a big mistake if you think you can leave here alive\by just laying down your arms! response:	You were determined to exterminate them.
context: Now!\Ki-\Kill them.\Kill them all.\You've been abusing these women all this time.\You would be making a big mistake if you think you can leave here alive\by just laying down your arms!\You were determined to exterminate them. response:	Therefore, it would be logical that it's your turn to be exterminated.
context: Ki-\Kill them.\Kill them all.\You've been abusing these women all this time.\You would be making a big mistake if you think you can leave here alive\by just laying down your arms!\You were determined to exterminate them.\Therefore, it would be logical that it's your turn to be exterminated. response:	Die. Die and reincarnate into black powder.
context: Kill them.\Kill them all.\You've been abusing these women all this time.\You would be making a big mistake if you think you can leave here alive\by just laying down your arms!\You were determined to exterminate them.\Therefore, it would be logical that it's your turn to be exterminated.\Die. Die and reincarnate into black powder. response:	Take aim!
context: Kill them all.\You've been abusing these women all this time.\You would be making a big mistake if you think you can leave here alive\by just laying down your arms!\You were determined to exterminate them.\Therefore, it would be logical that it's your turn to be exterminated.\Die. Die and reincarnate into black powder.\Take aim! response:	St-Stop. Please stop!
context: You've been abusing these women all this time.\You would be making a big mistake if you think you can leave here alive\by just laying down your arms!\You were determined to exterminate them.\Therefore, it would be logical that it's your turn to be exterminated.\Die. Die and reincarnate into black powder.\Take aim!\St-Stop. Please stop! response:	Shut the hell up! You've been abusing us all this time.
context: You would be making a big mistake if you think you can leave here alive\by just laying down your arms!\You were determined to exterminate them.\Therefore, it would be logical that it's your turn to be exterminated.\Die. Die and reincarnate into black powder.\Take aim!\St-Stop. Please stop!\Shut the hell up! You've been abusing us all this time. response:	Now that it's your turn, you're seriously begging us for your lives?!
context: by just laying down your arms!\You were determined to exterminate them.\Therefore, it would be logical that it's your turn to be exterminated.\Die. Die and reincarnate into black powder.\Take aim!\St-Stop. Please stop!\Shut the hell up! You've been abusing us all this time.\Now that it's your turn, you're seriously begging us for your lives?! response:	I-I've just transferred here.
context: You were determined to exterminate them.\Therefore, it would be logical that it's your turn to be exterminated.\Die. Die and reincarnate into black powder.\Take aim!\St-Stop. Please stop!\Shut the hell up! You've been abusing us all this time.\Now that it's your turn, you're seriously begging us for your lives?!\I-I've just transferred here. response:	I-I haven't done anything.
context: Therefore, it would be logical that it's your turn to be exterminated.\Die. Die and reincarnate into black powder.\Take aim!\St-Stop. Please stop!\Shut the hell up! You've been abusing us all this time.\Now that it's your turn, you're seriously begging us for your lives?!\I-I've just transferred here.\I-I haven't done anything. response:	St-Sto... Stop...
context: Die. Die and reincarnate into black powder.\Take aim!\St-Stop. Please stop!\Shut the hell up! You've been abusing us all this time.\Now that it's your turn, you're seriously begging us for your lives?!\I-I've just transferred here.\I-I haven't done anything.\St-Sto... Stop... response:	Release!
context: Take aim!\St-Stop. Please stop!\Shut the hell up! You've been abusing us all this time.\Now that it's your turn, you're seriously begging us for your lives?!\I-I've just transferred here.\I-I haven't done anything.\St-Sto... Stop...\Release! response:	You're awake already, huh?
context: St-Stop. Please stop!\Shut the hell up! You've been abusing us all this time.\Now that it's your turn, you're seriously begging us for your lives?!\I-I've just transferred here.\I-I haven't done anything.\St-Sto... Stop...\Release!\You're awake already, huh? response:	I thought I hit you pretty hard.
context: Shut the hell up! You've been abusing us all this time.\Now that it's your turn, you're seriously begging us for your lives?!\I-I've just transferred here.\I-I haven't done anything.\St-Sto... Stop...\Release!\You're awake already, huh?\I thought I hit you pretty hard. response:	You Satsuma boys are very tough.
context: Now that it's your turn, you're seriously begging us for your lives?!\I-I've just transferred here.\I-I haven't done anything.\St-Sto... Stop...\Release!\You're awake already, huh?\I thought I hit you pretty hard.\You Satsuma boys are very tough. response:	I took care of those soldiers.
context: I-I've just transferred here.\I-I haven't done anything.\St-Sto... Stop...\Release!\You're awake already, huh?\I thought I hit you pretty hard.\You Satsuma boys are very tough.\I took care of those soldiers. response:	It's a nice sight, isn't it?
context: I-I haven't done anything.\St-Sto... Stop...\Release!\You're awake already, huh?\I thought I hit you pretty hard.\You Satsuma boys are very tough.\I took care of those soldiers.\It's a nice sight, isn't it? response:	You kids are too young to take command of this.
context: St-Sto... Stop...\Release!\You're awake already, huh?\I thought I hit you pretty hard.\You Satsuma boys are very tough.\I took care of those soldiers.\It's a nice sight, isn't it?\You kids are too young to take command of this. response:	Leave this to me. Don't be reserved.
context: Release!\You're awake already, huh?\I thought I hit you pretty hard.\You Satsuma boys are very tough.\I took care of those soldiers.\It's a nice sight, isn't it?\You kids are too young to take command of this.\Leave this to me. Don't be reserved. response:	My hands have been dirty for a long time.
context: You're awake already, huh?\I thought I hit you pretty hard.\You Satsuma boys are very tough.\I took care of those soldiers.\It's a nice sight, isn't it?\You kids are too young to take command of this.\Leave this to me. Don't be reserved.\My hands have been dirty for a long time. response:	Isenagashima, Enryaku-ji on Mt. Hiei...
context: I thought I hit you pretty hard.\You Satsuma boys are very tough.\I took care of those soldiers.\It's a nice sight, isn't it?\You kids are too young to take command of this.\Leave this to me. Don't be reserved.\My hands have been dirty for a long time.\Isenagashima, Enryaku-ji on Mt. Hiei... response:	Countless...
context: You Satsuma boys are very tough.\I took care of those soldiers.\It's a nice sight, isn't it?\You kids are too young to take command of this.\Leave this to me. Don't be reserved.\My hands have been dirty for a long time.\Isenagashima, Enryaku-ji on Mt. Hiei...\Countless... response:	Wh...?!
context: I took care of those soldiers.\It's a nice sight, isn't it?\You kids are too young to take command of this.\Leave this to me. Don't be reserved.\My hands have been dirty for a long time.\Isenagashima, Enryaku-ji on Mt. Hiei...\Countless...\Wh...?! response:	Who gives a damn how many?!
context: It's a nice sight, isn't it?\You kids are too young to take command of this.\Leave this to me. Don't be reserved.\My hands have been dirty for a long time.\Isenagashima, Enryaku-ji on Mt. Hiei...\Countless...\Wh...?!\Who gives a damn how many?! response:	I don't give a damn about any of that! That's not my concern!
context: You kids are too young to take command of this.\Leave this to me. Don't be reserved.\My hands have been dirty for a long time.\Isenagashima, Enryaku-ji on Mt. Hiei...\Countless...\Wh...?!\Who gives a damn how many?!\I don't give a damn about any of that! That's not my concern! response:	We're back. What's going on? Are you two fighting? Scary.
context: Leave this to me. Don't be reserved.\My hands have been dirty for a long time.\Isenagashima, Enryaku-ji on Mt. Hiei...\Countless...\Wh...?!\Who gives a damn how many?!\I don't give a damn about any of that! That's not my concern!\We're back. What's going on? Are you two fighting? Scary. response:	We are not fighting.
context: My hands have been dirty for a long time.\Isenagashima, Enryaku-ji on Mt. Hiei...\Countless...\Wh...?!\Who gives a damn how many?!\I don't give a damn about any of that! That's not my concern!\We're back. What's going on? Are you two fighting? Scary.\We are not fighting. response:	Umm... nope.
context: Isenagashima, Enryaku-ji on Mt. Hiei...\Countless...\Wh...?!\Who gives a damn how many?!\I don't give a damn about any of that! That's not my concern!\We're back. What's going on? Are you two fighting? Scary.\We are not fighting.\Umm... nope. response:	Oh, no? If you say so...
context: Countless...\Wh...?!\Who gives a damn how many?!\I don't give a damn about any of that! That's not my concern!\We're back. What's going on? Are you two fighting? Scary.\We are not fighting.\Umm... nope.\Oh, no? If you say so... response:	It's been a long time since someone punched me and yelled at me...
context: Wh...?!\Who gives a damn how many?!\I don't give a damn about any of that! That's not my concern!\We're back. What's going on? Are you two fighting? Scary.\We are not fighting.\Umm... nope.\Oh, no? If you say so...\It's been a long time since someone punched me and yelled at me... response:	Not since my father did. I miss that...
context: Who gives a damn how many?!\I don't give a damn about any of that! That's not my concern!\We're back. What's going on? Are you two fighting? Scary.\We are not fighting.\Umm... nope.\Oh, no? If you say so...\It's been a long time since someone punched me and yelled at me...\Not since my father did. I miss that... response:	Ahh, there was also my tutor, Hirate... He rebuked me, too.
context: I don't give a damn about any of that! That's not my concern!\We're back. What's going on? Are you two fighting? Scary.\We are not fighting.\Umm... nope.\Oh, no? If you say so...\It's been a long time since someone punched me and yelled at me...\Not since my father did. I miss that...\Ahh, there was also my tutor, Hirate... He rebuked me, too. response:	Before I knew it, I was older than my father.
context: We're back. What's going on? Are you two fighting? Scary.\We are not fighting.\Umm... nope.\Oh, no? If you say so...\It's been a long time since someone punched me and yelled at me...\Not since my father did. I miss that...\Ahh, there was also my tutor, Hirate... He rebuked me, too.\Before I knew it, I was older than my father. response:	There's one left.
context: We are not fighting.\Umm... nope.\Oh, no? If you say so...\It's been a long time since someone punched me and yelled at me...\Not since my father did. I miss that...\Ahh, there was also my tutor, Hirate... He rebuked me, too.\Before I knew it, I was older than my father.\There's one left. response:	I didn't do anything... Nothing.
context: Umm... nope.\Oh, no? If you say so...\It's been a long time since someone punched me and yelled at me...\Not since my father did. I miss that...\Ahh, there was also my tutor, Hirate... He rebuked me, too.\Before I knew it, I was older than my father.\There's one left.\I didn't do anything... Nothing. response:	I have never... slept with a woman before.
context: Oh, no? If you say so...\It's been a long time since someone punched me and yelled at me...\Not since my father did. I miss that...\Ahh, there was also my tutor, Hirate... He rebuked me, too.\Before I knew it, I was older than my father.\There's one left.\I didn't do anything... Nothing.\I have never... slept with a woman before. response:	He kept insisting he hadn't done anything.
context: It's been a long time since someone punched me and yelled at me...\Not since my father did. I miss that...\Ahh, there was also my tutor, Hirate... He rebuked me, too.\Before I knew it, I was older than my father.\There's one left.\I didn't do anything... Nothing.\I have never... slept with a woman before.\He kept insisting he hadn't done anything. response:	If we killed him, we would be one of them.
context: Not since my father did. I miss that...\Ahh, there was also my tutor, Hirate... He rebuked me, too.\Before I knew it, I was older than my father.\There's one left.\I didn't do anything... Nothing.\I have never... slept with a woman before.\He kept insisting he hadn't done anything.\If we killed him, we would be one of them. response:	Yeah, you're right.
context: Ahh, there was also my tutor, Hirate... He rebuked me, too.\Before I knew it, I was older than my father.\There's one left.\I didn't do anything... Nothing.\I have never... slept with a woman before.\He kept insisting he hadn't done anything.\If we killed him, we would be one of them.\Yeah, you're right. response:	He is pathetic.
context: Before I knew it, I was older than my father.\There's one left.\I didn't do anything... Nothing.\I have never... slept with a woman before.\He kept insisting he hadn't done anything.\If we killed him, we would be one of them.\Yeah, you're right.\He is pathetic. response:	Olmi-Boobs! Let him play with your boobs.
context: There's one left.\I didn't do anything... Nothing.\I have never... slept with a woman before.\He kept insisting he hadn't done anything.\If we killed him, we would be one of them.\Yeah, you're right.\He is pathetic.\Olmi-Boobs! Let him play with your boobs. response:	Go get shot!
context: I didn't do anything... Nothing.\I have never... slept with a woman before.\He kept insisting he hadn't done anything.\If we killed him, we would be one of them.\Yeah, you're right.\He is pathetic.\Olmi-Boobs! Let him play with your boobs.\Go get shot! response:	I will cut their heads off and pay my respects.
context: I have never... slept with a woman before.\He kept insisting he hadn't done anything.\If we killed him, we would be one of them.\Yeah, you're right.\He is pathetic.\Olmi-Boobs! Let him play with your boobs.\Go get shot!\I will cut their heads off and pay my respects. response:	No matter how much we hated them, they all became souls after death.
context: He kept insisting he hadn't done anything.\If we killed him, we would be one of them.\Yeah, you're right.\He is pathetic.\Olmi-Boobs! Let him play with your boobs.\Go get shot!\I will cut their heads off and pay my respects.\No matter how much we hated them, they all became souls after death. response:	We'll use their bodies for black powder.
context: If we killed him, we would be one of them.\Yeah, you're right.\He is pathetic.\Olmi-Boobs! Let him play with your boobs.\Go get shot!\I will cut their heads off and pay my respects.\No matter how much we hated them, they all became souls after death.\We'll use their bodies for black powder. response:	The rumor about the Drifters spread
context: Yeah, you're right.\He is pathetic.\Olmi-Boobs! Let him play with your boobs.\Go get shot!\I will cut their heads off and pay my respects.\No matter how much we hated them, they all became souls after death.\We'll use their bodies for black powder.\The rumor about the Drifters spread response:	throughout the surrounding villages in no time.
context: He is pathetic.\Olmi-Boobs! Let him play with your boobs.\Go get shot!\I will cut their heads off and pay my respects.\No matter how much we hated them, they all became souls after death.\We'll use their bodies for black powder.\The rumor about the Drifters spread\throughout the surrounding villages in no time. response:	Drifters Rescue Elven Village and Attack Occupying Magistrate.
context: Olmi-Boobs! Let him play with your boobs.\Go get shot!\I will cut their heads off and pay my respects.\No matter how much we hated them, they all became souls after death.\We'll use their bodies for black powder.\The rumor about the Drifters spread\throughout the surrounding villages in no time.\Drifters Rescue Elven Village and Attack Occupying Magistrate. response:	Then, after the female Elves confined at the lord's castle
