context: 5 Days Until the Prefectural Tournament!! response:	Amazing, Haruka-senpai!
context: Are you okay?\Were you having a nightmare?\Everyone, I printed out the pictures from our training camp.\Lemme see!\Yes, yes.\You took a whole bunch.\Everybody's having fun.\Look at this! response:	Haru-chan has a funny look on his face!
context: Were you having a nightmare?\Everyone, I printed out the pictures from our training camp.\Lemme see!\Yes, yes.\You took a whole bunch.\Everybody's having fun.\Look at this!\Haru-chan has a funny look on his face! response:	And he's actually looking at the camera for once.
context: Everyone, I printed out the pictures from our training camp.\Lemme see!\Yes, yes.\You took a whole bunch.\Everybody's having fun.\Look at this!\Haru-chan has a funny look on his face!\And he's actually looking at the camera for once. response:	What is with this picture?! It's not beautiful at all!
context: Lemme see!\Yes, yes.\You took a whole bunch.\Everybody's having fun.\Look at this!\Haru-chan has a funny look on his face!\And he's actually looking at the camera for once.\What is with this picture?! It's not beautiful at all! response:	Um, preserving the moment?
context: Yes, yes.\You took a whole bunch.\Everybody's having fun.\Look at this!\Haru-chan has a funny look on his face!\And he's actually looking at the camera for once.\What is with this picture?! It's not beautiful at all!\Um, preserving the moment? response:	Anyway, look here.
context: You took a whole bunch.\Everybody's having fun.\Look at this!\Haru-chan has a funny look on his face!\And he's actually looking at the camera for once.\What is with this picture?! It's not beautiful at all!\Um, preserving the moment?\Anyway, look here. response:	There's something behind Mako-chan!
context: Everybody's having fun.\Look at this!\Haru-chan has a funny look on his face!\And he's actually looking at the camera for once.\What is with this picture?! It's not beautiful at all!\Um, preserving the moment?\Anyway, look here.\There's something behind Mako-chan! response:	Oh, that's Miss Amakata wearing a hyaluronic acid pack.
context: Look at this!\Haru-chan has a funny look on his face!\And he's actually looking at the camera for once.\What is with this picture?! It's not beautiful at all!\Um, preserving the moment?\Anyway, look here.\There's something behind Mako-chan!\Oh, that's Miss Amakata wearing a hyaluronic acid pack. response:	Hyalu what?
context: Haru-chan has a funny look on his face!\And he's actually looking at the camera for once.\What is with this picture?! It's not beautiful at all!\Um, preserving the moment?\Anyway, look here.\There's something behind Mako-chan!\Oh, that's Miss Amakata wearing a hyaluronic acid pack.\Hyalu what? response:	Hyaluronic acid.
context: And he's actually looking at the camera for once.\What is with this picture?! It's not beautiful at all!\Um, preserving the moment?\Anyway, look here.\There's something behind Mako-chan!\Oh, that's Miss Amakata wearing a hyaluronic acid pack.\Hyalu what?\Hyaluronic acid. response:	Don't scare me, Nagisa!
context: What is with this picture?! It's not beautiful at all!\Um, preserving the moment?\Anyway, look here.\There's something behind Mako-chan!\Oh, that's Miss Amakata wearing a hyaluronic acid pack.\Hyalu what?\Hyaluronic acid.\Don't scare me, Nagisa! response:	Sorry about that.
context: Um, preserving the moment?\Anyway, look here.\There's something behind Mako-chan!\Oh, that's Miss Amakata wearing a hyaluronic acid pack.\Hyalu what?\Hyaluronic acid.\Don't scare me, Nagisa!\Sorry about that. response:	Can you guys keep it down?
context: Anyway, look here.\There's something behind Mako-chan!\Oh, that's Miss Amakata wearing a hyaluronic acid pack.\Hyalu what?\Hyaluronic acid.\Don't scare me, Nagisa!\Sorry about that.\Can you guys keep it down? response:	Is this Samezuka's swim team?
context: There's something behind Mako-chan!\Oh, that's Miss Amakata wearing a hyaluronic acid pack.\Hyalu what?\Hyaluronic acid.\Don't scare me, Nagisa!\Sorry about that.\Can you guys keep it down?\Is this Samezuka's swim team? response:	When did you take this, Gou-chan?
context: Oh, that's Miss Amakata wearing a hyaluronic acid pack.\Hyalu what?\Hyaluronic acid.\Don't scare me, Nagisa!\Sorry about that.\Can you guys keep it down?\Is this Samezuka's swim team?\When did you take this, Gou-chan? response:	I did some scouting on the second day.
context: Hyalu what?\Hyaluronic acid.\Don't scare me, Nagisa!\Sorry about that.\Can you guys keep it down?\Is this Samezuka's swim team?\When did you take this, Gou-chan?\I did some scouting on the second day. response:	Wow, that's our capable manager.
context: Hyaluronic acid.\Don't scare me, Nagisa!\Sorry about that.\Can you guys keep it down?\Is this Samezuka's swim team?\When did you take this, Gou-chan?\I did some scouting on the second day.\Wow, that's our capable manager. response:	Did you use sex appeal agai
context: Don't scare me, Nagisa!\Sorry about that.\Can you guys keep it down?\Is this Samezuka's swim team?\When did you take this, Gou-chan?\I did some scouting on the second day.\Wow, that's our capable manager.\Did you use sex appeal agai response:	No sex appeal involved!
context: Sorry about that.\Can you guys keep it down?\Is this Samezuka's swim team?\When did you take this, Gou-chan?\I did some scouting on the second day.\Wow, that's our capable manager.\Did you use sex appeal agai\No sex appeal involved! response:	And I got plenty of data in addition to the pictures.
context: Can you guys keep it down?\Is this Samezuka's swim team?\When did you take this, Gou-chan?\I did some scouting on the second day.\Wow, that's our capable manager.\Did you use sex appeal agai\No sex appeal involved!\And I got plenty of data in addition to the pictures. response:	These are the swimmers who
context: Is this Samezuka's swim team?\When did you take this, Gou-chan?\I did some scouting on the second day.\Wow, that's our capable manager.\Did you use sex appeal agai\No sex appeal involved!\And I got plenty of data in addition to the pictures.\These are the swimmers who response:	will be in the 100 m and 200 m breast with Nagisa-kun.
context: When did you take this, Gou-chan?\I did some scouting on the second day.\Wow, that's our capable manager.\Did you use sex appeal agai\No sex appeal involved!\And I got plenty of data in addition to the pictures.\These are the swimmers who\will be in the 100 m and 200 m breast with Nagisa-kun. response:	These are the swimmers in backstroke with Makoto-senpai.
context: I did some scouting on the second day.\Wow, that's our capable manager.\Did you use sex appeal agai\No sex appeal involved!\And I got plenty of data in addition to the pictures.\These are the swimmers who\will be in the 100 m and 200 m breast with Nagisa-kun.\These are the swimmers in backstroke with Makoto-senpai. response:	This is who will do butterfly with Rei-kun.
context: Wow, that's our capable manager.\Did you use sex appeal agai\No sex appeal involved!\And I got plenty of data in addition to the pictures.\These are the swimmers who\will be in the 100 m and 200 m breast with Nagisa-kun.\These are the swimmers in backstroke with Makoto-senpai.\This is who will do butterfly with Rei-kun. response:	I'll have their individual swimming styles and other information
context: Did you use sex appeal agai\No sex appeal involved!\And I got plenty of data in addition to the pictures.\These are the swimmers who\will be in the 100 m and 200 m breast with Nagisa-kun.\These are the swimmers in backstroke with Makoto-senpai.\This is who will do butterfly with Rei-kun.\I'll have their individual swimming styles and other information response:	recorded in this secret data book by tournament time.
context: No sex appeal involved!\And I got plenty of data in addition to the pictures.\These are the swimmers who\will be in the 100 m and 200 m breast with Nagisa-kun.\These are the swimmers in backstroke with Makoto-senpai.\This is who will do butterfly with Rei-kun.\I'll have their individual swimming styles and other information\recorded in this secret data book by tournament time. response:	Oh, and my brother is in...
context: And I got plenty of data in addition to the pictures.\These are the swimmers who\will be in the 100 m and 200 m breast with Nagisa-kun.\These are the swimmers in backstroke with Makoto-senpai.\This is who will do butterfly with Rei-kun.\I'll have their individual swimming styles and other information\recorded in this secret data book by tournament time.\Oh, and my brother is in... response:	The 100 m free.
context: These are the swimmers who\will be in the 100 m and 200 m breast with Nagisa-kun.\These are the swimmers in backstroke with Makoto-senpai.\This is who will do butterfly with Rei-kun.\I'll have their individual swimming styles and other information\recorded in this secret data book by tournament time.\Oh, and my brother is in...\The 100 m free. response:	Yes.
context: will be in the 100 m and 200 m breast with Nagisa-kun.\These are the swimmers in backstroke with Makoto-senpai.\This is who will do butterfly with Rei-kun.\I'll have their individual swimming styles and other information\recorded in this secret data book by tournament time.\Oh, and my brother is in...\The 100 m free.\Yes. response:	He didn't enter any other events,
context: These are the swimmers in backstroke with Makoto-senpai.\This is who will do butterfly with Rei-kun.\I'll have their individual swimming styles and other information\recorded in this secret data book by tournament time.\Oh, and my brother is in...\The 100 m free.\Yes.\He didn't enter any other events, response:	just so he could focus on his race with you.
context: This is who will do butterfly with Rei-kun.\I'll have their individual swimming styles and other information\recorded in this secret data book by tournament time.\Oh, and my brother is in...\The 100 m free.\Yes.\He didn't enter any other events,\just so he could focus on his race with you. response:	Haru-chan says he doesn't care about
context: I'll have their individual swimming styles and other information\recorded in this secret data book by tournament time.\Oh, and my brother is in...\The 100 m free.\Yes.\He didn't enter any other events,\just so he could focus on his race with you.\Haru-chan says he doesn't care about response:	his times or winning races,
context: recorded in this secret data book by tournament time.\Oh, and my brother is in...\The 100 m free.\Yes.\He didn't enter any other events,\just so he could focus on his race with you.\Haru-chan says he doesn't care about\his times or winning races, response:	but he's motivated when he's racing Rin-chan.
context: Oh, and my brother is in...\The 100 m free.\Yes.\He didn't enter any other events,\just so he could focus on his race with you.\Haru-chan says he doesn't care about\his times or winning races,\but he's motivated when he's racing Rin-chan. response:	Matsuoka-senpai.
context: The 100 m free.\Yes.\He didn't enter any other events,\just so he could focus on his race with you.\Haru-chan says he doesn't care about\his times or winning races,\but he's motivated when he's racing Rin-chan.\Matsuoka-senpai. response:	Why are you only entered in the 100 m free for prefecturals?
context: Yes.\He didn't enter any other events,\just so he could focus on his race with you.\Haru-chan says he doesn't care about\his times or winning races,\but he's motivated when he's racing Rin-chan.\Matsuoka-senpai.\Why are you only entered in the 100 m free for prefecturals? response:	Your best event is the butterfly, and you've posted great times in it.
context: He didn't enter any other events,\just so he could focus on his race with you.\Haru-chan says he doesn't care about\his times or winning races,\but he's motivated when he's racing Rin-chan.\Matsuoka-senpai.\Why are you only entered in the 100 m free for prefecturals?\Your best event is the butterfly, and you've posted great times in it. response:	You just focus on your own event.
context: just so he could focus on his race with you.\Haru-chan says he doesn't care about\his times or winning races,\but he's motivated when he's racing Rin-chan.\Matsuoka-senpai.\Why are you only entered in the 100 m free for prefecturals?\Your best event is the butterfly, and you've posted great times in it.\You just focus on your own event. response:	You swim the individual medley, right?
context: Haru-chan says he doesn't care about\his times or winning races,\but he's motivated when he's racing Rin-chan.\Matsuoka-senpai.\Why are you only entered in the 100 m free for prefecturals?\Your best event is the butterfly, and you've posted great times in it.\You just focus on your own event.\You swim the individual medley, right? response:	I entered the 400 m free!
context: his times or winning races,\but he's motivated when he's racing Rin-chan.\Matsuoka-senpai.\Why are you only entered in the 100 m free for prefecturals?\Your best event is the butterfly, and you've posted great times in it.\You just focus on your own event.\You swim the individual medley, right?\I entered the 400 m free! response:	I wanted to enter the 100 m,
context: but he's motivated when he's racing Rin-chan.\Matsuoka-senpai.\Why are you only entered in the 100 m free for prefecturals?\Your best event is the butterfly, and you've posted great times in it.\You just focus on your own event.\You swim the individual medley, right?\I entered the 400 m free!\I wanted to enter the 100 m, response:	but our school has a lot of swimmers who are faster than me.
context: Matsuoka-senpai.\Why are you only entered in the 100 m free for prefecturals?\Your best event is the butterfly, and you've posted great times in it.\You just focus on your own event.\You swim the individual medley, right?\I entered the 400 m free!\I wanted to enter the 100 m,\but our school has a lot of swimmers who are faster than me. response:	But you're good enough to
context: Why are you only entered in the 100 m free for prefecturals?\Your best event is the butterfly, and you've posted great times in it.\You just focus on your own event.\You swim the individual medley, right?\I entered the 400 m free!\I wanted to enter the 100 m,\but our school has a lot of swimmers who are faster than me.\But you're good enough to response:	participate in free or butterfly or any event you want!
context: Your best event is the butterfly, and you've posted great times in it.\You just focus on your own event.\You swim the individual medley, right?\I entered the 400 m free!\I wanted to enter the 100 m,\but our school has a lot of swimmers who are faster than me.\But you're good enough to\participate in free or butterfly or any event you want! response:	So why?!
context: You just focus on your own event.\You swim the individual medley, right?\I entered the 400 m free!\I wanted to enter the 100 m,\but our school has a lot of swimmers who are faster than me.\But you're good enough to\participate in free or butterfly or any event you want!\So why?! response:	Is it because of Nanase-san?
context: You swim the individual medley, right?\I entered the 400 m free!\I wanted to enter the 100 m,\but our school has a lot of swimmers who are faster than me.\But you're good enough to\participate in free or butterfly or any event you want!\So why?!\Is it because of Nanase-san? response:	Hey, what's wrong?
context: I entered the 400 m free!\I wanted to enter the 100 m,\but our school has a lot of swimmers who are faster than me.\But you're good enough to\participate in free or butterfly or any event you want!\So why?!\Is it because of Nanase-san?\Hey, what's wrong? response:	Captain, I just...
context: I wanted to enter the 100 m,\but our school has a lot of swimmers who are faster than me.\But you're good enough to\participate in free or butterfly or any event you want!\So why?!\Is it because of Nanase-san?\Hey, what's wrong?\Captain, I just... response:	Nothing's wrong.
context: but our school has a lot of swimmers who are faster than me.\But you're good enough to\participate in free or butterfly or any event you want!\So why?!\Is it because of Nanase-san?\Hey, what's wrong?\Captain, I just...\Nothing's wrong. response:	Why didn't you say anything to Matsuoka-senpai?
context: But you're good enough to\participate in free or butterfly or any event you want!\So why?!\Is it because of Nanase-san?\Hey, what's wrong?\Captain, I just...\Nothing's wrong.\Why didn't you say anything to Matsuoka-senpai? response:	Why are you so upset?
context: participate in free or butterfly or any event you want!\So why?!\Is it because of Nanase-san?\Hey, what's wrong?\Captain, I just...\Nothing's wrong.\Why didn't you say anything to Matsuoka-senpai?\Why are you so upset? response:	Well, I'm sure he has his reasons.
context: So why?!\Is it because of Nanase-san?\Hey, what's wrong?\Captain, I just...\Nothing's wrong.\Why didn't you say anything to Matsuoka-senpai?\Why are you so upset?\Well, I'm sure he has his reasons. response:	Rin-chan isn't swimming butterfly or the relay?
context: Is it because of Nanase-san?\Hey, what's wrong?\Captain, I just...\Nothing's wrong.\Why didn't you say anything to Matsuoka-senpai?\Why are you so upset?\Well, I'm sure he has his reasons.\Rin-chan isn't swimming butterfly or the relay? response:	Is it because Haru-chan isn't in those?
context: Hey, what's wrong?\Captain, I just...\Nothing's wrong.\Why didn't you say anything to Matsuoka-senpai?\Why are you so upset?\Well, I'm sure he has his reasons.\Rin-chan isn't swimming butterfly or the relay?\Is it because Haru-chan isn't in those? response:	Why does it matter if Haruka-senpai is in an event?
context: Captain, I just...\Nothing's wrong.\Why didn't you say anything to Matsuoka-senpai?\Why are you so upset?\Well, I'm sure he has his reasons.\Rin-chan isn't swimming butterfly or the relay?\Is it because Haru-chan isn't in those?\Why does it matter if Haruka-senpai is in an event? response:	That's just how they are.
context: Nothing's wrong.\Why didn't you say anything to Matsuoka-senpai?\Why are you so upset?\Well, I'm sure he has his reasons.\Rin-chan isn't swimming butterfly or the relay?\Is it because Haru-chan isn't in those?\Why does it matter if Haruka-senpai is in an event?\That's just how they are. response:	What's that supposed to mean?
context: Why didn't you say anything to Matsuoka-senpai?\Why are you so upset?\Well, I'm sure he has his reasons.\Rin-chan isn't swimming butterfly or the relay?\Is it because Haru-chan isn't in those?\Why does it matter if Haruka-senpai is in an event?\That's just how they are.\What's that supposed to mean? response:	Now, now.
context: Why are you so upset?\Well, I'm sure he has his reasons.\Rin-chan isn't swimming butterfly or the relay?\Is it because Haru-chan isn't in those?\Why does it matter if Haruka-senpai is in an event?\That's just how they are.\What's that supposed to mean?\Now, now. response:	We decided to stick with individual events too,
context: Well, I'm sure he has his reasons.\Rin-chan isn't swimming butterfly or the relay?\Is it because Haru-chan isn't in those?\Why does it matter if Haruka-senpai is in an event?\That's just how they are.\What's that supposed to mean?\Now, now.\We decided to stick with individual events too, response:	so we could focus on our strengths.
context: Rin-chan isn't swimming butterfly or the relay?\Is it because Haru-chan isn't in those?\Why does it matter if Haruka-senpai is in an event?\That's just how they are.\What's that supposed to mean?\Now, now.\We decided to stick with individual events too,\so we could focus on our strengths. response:	I wanted to swim in a relay.
context: Is it because Haru-chan isn't in those?\Why does it matter if Haruka-senpai is in an event?\That's just how they are.\What's that supposed to mean?\Now, now.\We decided to stick with individual events too,\so we could focus on our strengths.\I wanted to swim in a relay. response:	You want to be in a relay, Rei-chan?!
context: Why does it matter if Haruka-senpai is in an event?\That's just how they are.\What's that supposed to mean?\Now, now.\We decided to stick with individual events too,\so we could focus on our strengths.\I wanted to swim in a relay.\You want to be in a relay, Rei-chan?! response:	Yes, I rented a video of the Olympics.
context: That's just how they are.\What's that supposed to mean?\Now, now.\We decided to stick with individual events too,\so we could focus on our strengths.\I wanted to swim in a relay.\You want to be in a relay, Rei-chan?!\Yes, I rented a video of the Olympics. response:	It was beautiful to watch four athletes
context: What's that supposed to mean?\Now, now.\We decided to stick with individual events too,\so we could focus on our strengths.\I wanted to swim in a relay.\You want to be in a relay, Rei-chan?!\Yes, I rented a video of the Olympics.\It was beautiful to watch four athletes response:	swimming different styles in succession to complete a race together.
context: Now, now.\We decided to stick with individual events too,\so we could focus on our strengths.\I wanted to swim in a relay.\You want to be in a relay, Rei-chan?!\Yes, I rented a video of the Olympics.\It was beautiful to watch four athletes\swimming different styles in succession to complete a race together. response:	I was especially impressed by how beautiful
context: We decided to stick with individual events too,\so we could focus on our strengths.\I wanted to swim in a relay.\You want to be in a relay, Rei-chan?!\Yes, I rented a video of the Olympics.\It was beautiful to watch four athletes\swimming different styles in succession to complete a race together.\I was especially impressed by how beautiful response:	the butterfly form was when touching the wall.
context: so we could focus on our strengths.\I wanted to swim in a relay.\You want to be in a relay, Rei-chan?!\Yes, I rented a video of the Olympics.\It was beautiful to watch four athletes\swimming different styles in succession to complete a race together.\I was especially impressed by how beautiful\the butterfly form was when touching the wall. response:	Personally, I think it's very important that your finish be beautiful,
context: I wanted to swim in a relay.\You want to be in a relay, Rei-chan?!\Yes, I rented a video of the Olympics.\It was beautiful to watch four athletes\swimming different styles in succession to complete a race together.\I was especially impressed by how beautiful\the butterfly form was when touching the wall.\Personally, I think it's very important that your finish be beautiful, response:	and this shows that athletes around the world feel the same way
context: You want to be in a relay, Rei-chan?!\Yes, I rented a video of the Olympics.\It was beautiful to watch four athletes\swimming different styles in succession to complete a race together.\I was especially impressed by how beautiful\the butterfly form was when touching the wall.\Personally, I think it's very important that your finish be beautiful,\and this shows that athletes around the world feel the same way response:	Huh?
context: Yes, I rented a video of the Olympics.\It was beautiful to watch four athletes\swimming different styles in succession to complete a race together.\I was especially impressed by how beautiful\the butterfly form was when touching the wall.\Personally, I think it's very important that your finish be beautiful,\and this shows that athletes around the world feel the same way\Huh? response:	What is this, Haruka-senpai?
context: It was beautiful to watch four athletes\swimming different styles in succession to complete a race together.\I was especially impressed by how beautiful\the butterfly form was when touching the wall.\Personally, I think it's very important that your finish be beautiful,\and this shows that athletes around the world feel the same way\Huh?\What is this, Haruka-senpai? response:	Half luck?
context: swimming different styles in succession to complete a race together.\I was especially impressed by how beautiful\the butterfly form was when touching the wall.\Personally, I think it's very important that your finish be beautiful,\and this shows that athletes around the world feel the same way\Huh?\What is this, Haruka-senpai?\Half luck? response:	Huh? What's going on?
context: I was especially impressed by how beautiful\the butterfly form was when touching the wall.\Personally, I think it's very important that your finish be beautiful,\and this shows that athletes around the world feel the same way\Huh?\What is this, Haruka-senpai?\Half luck?\Huh? What's going on? response:	Half luck? Never seen that before.
context: the butterfly form was when touching the wall.\Personally, I think it's very important that your finish be beautiful,\and this shows that athletes around the world feel the same way\Huh?\What is this, Haruka-senpai?\Half luck?\Huh? What's going on?\Half luck? Never seen that before. response:	Does that mean half your luck is good?
context: Personally, I think it's very important that your finish be beautiful,\and this shows that athletes around the world feel the same way\Huh?\What is this, Haruka-senpai?\Half luck?\Huh? What's going on?\Half luck? Never seen that before.\Does that mean half your luck is good? response:	What's the other half?
context: and this shows that athletes around the world feel the same way\Huh?\What is this, Haruka-senpai?\Half luck?\Huh? What's going on?\Half luck? Never seen that before.\Does that mean half your luck is good?\What's the other half? response:	Nice!
context: Huh?\What is this, Haruka-senpai?\Half luck?\Huh? What's going on?\Half luck? Never seen that before.\Does that mean half your luck is good?\What's the other half?\Nice! response:	That doesn't seem to make sense?
context: What is this, Haruka-senpai?\Half luck?\Huh? What's going on?\Half luck? Never seen that before.\Does that mean half your luck is good?\What's the other half?\Nice!\That doesn't seem to make sense? response:	What? I think it does.
