context: It's so cool now. response:	Yeah, the maple trees on the mountain are a lot prettier too.
context: I'll bring along some XXX stuff then.\Why?\Don't bother with him, Natsume.\I'll bring snacks.\I'll bring drinks, then.\You take care of the sandwiches, Natsume.\Sorry, I can't make lunches on my days off.\What are you talking about? response:	Try asking Touko-san.
context: Why?\Don't bother with him, Natsume.\I'll bring snacks.\I'll bring drinks, then.\You take care of the sandwiches, Natsume.\Sorry, I can't make lunches on my days off.\What are you talking about?\Try asking Touko-san. response:	I'm sure she'll be happy.
context: Don't bother with him, Natsume.\I'll bring snacks.\I'll bring drinks, then.\You take care of the sandwiches, Natsume.\Sorry, I can't make lunches on my days off.\What are you talking about?\Try asking Touko-san.\I'm sure she'll be happy. response:	And I'll be happy too!
context: I'll bring snacks.\I'll bring drinks, then.\You take care of the sandwiches, Natsume.\Sorry, I can't make lunches on my days off.\What are you talking about?\Try asking Touko-san.\I'm sure she'll be happy.\And I'll be happy too! response:	Touko's sandwiches!
context: I'll bring drinks, then.\You take care of the sandwiches, Natsume.\Sorry, I can't make lunches on my days off.\What are you talking about?\Try asking Touko-san.\I'm sure she'll be happy.\And I'll be happy too!\Touko's sandwiches! response:	You think so?
context: You take care of the sandwiches, Natsume.\Sorry, I can't make lunches on my days off.\What are you talking about?\Try asking Touko-san.\I'm sure she'll be happy.\And I'll be happy too!\Touko's sandwiches!\You think so? response:	Later, Natsume.
context: Sorry, I can't make lunches on my days off.\What are you talking about?\Try asking Touko-san.\I'm sure she'll be happy.\And I'll be happy too!\Touko's sandwiches!\You think so?\Later, Natsume. response:	Yeah, see you later.
context: What are you talking about?\Try asking Touko-san.\I'm sure she'll be happy.\And I'll be happy too!\Touko's sandwiches!\You think so?\Later, Natsume.\Yeah, see you later. response:	A Youkai...
context: Try asking Touko-san.\I'm sure she'll be happy.\And I'll be happy too!\Touko's sandwiches!\You think so?\Later, Natsume.\Yeah, see you later.\A Youkai... response:	is eating another Youkai!
context: I'm sure she'll be happy.\And I'll be happy too!\Touko's sandwiches!\You think so?\Later, Natsume.\Yeah, see you later.\A Youkai...\is eating another Youkai! response:	I smell a human.
context: And I'll be happy too!\Touko's sandwiches!\You think so?\Later, Natsume.\Yeah, see you later.\A Youkai...\is eating another Youkai!\I smell a human. response:	You saw me, didn't you?
context: Touko's sandwiches!\You think so?\Later, Natsume.\Yeah, see you later.\A Youkai...\is eating another Youkai!\I smell a human.\You saw me, didn't you? response:	I'll eat you.
context: You think so?\Later, Natsume.\Yeah, see you later.\A Youkai...\is eating another Youkai!\I smell a human.\You saw me, didn't you?\I'll eat you. response:	I'll eat you!
context: Later, Natsume.\Yeah, see you later.\A Youkai...\is eating another Youkai!\I smell a human.\You saw me, didn't you?\I'll eat you.\I'll eat you! response:	Let go!
context: Yeah, see you later.\A Youkai...\is eating another Youkai!\I smell a human.\You saw me, didn't you?\I'll eat you.\I'll eat you!\Let go! response:	Running is futile!
context: A Youkai...\is eating another Youkai!\I smell a human.\You saw me, didn't you?\I'll eat you.\I'll eat you!\Let go!\Running is futile! response:	I'll eat you, boy!
context: is eating another Youkai!\I smell a human.\You saw me, didn't you?\I'll eat you.\I'll eat you!\Let go!\Running is futile!\I'll eat you, boy! response:	I'm coming to eat you!
context: I smell a human.\You saw me, didn't you?\I'll eat you.\I'll eat you!\Let go!\Running is futile!\I'll eat you, boy!\I'm coming to eat you! response:	I'm back.
context: You saw me, didn't you?\I'll eat you.\I'll eat you!\Let go!\Running is futile!\I'll eat you, boy!\I'm coming to eat you!\I'm back. response:	What's wrong? You look pale.
context: I'll eat you.\I'll eat you!\Let go!\Running is futile!\I'll eat you, boy!\I'm coming to eat you!\I'm back.\What's wrong? You look pale. response:	Really? It's nothing.
context: I'll eat you!\Let go!\Running is futile!\I'll eat you, boy!\I'm coming to eat you!\I'm back.\What's wrong? You look pale.\Really? It's nothing. response:	Oh no! It'll burn!
context: Let go!\Running is futile!\I'll eat you, boy!\I'm coming to eat you!\I'm back.\What's wrong? You look pale.\Really? It's nothing.\Oh no! It'll burn! response:	You're back, Natsume?
context: Running is futile!\I'll eat you, boy!\I'm coming to eat you!\I'm back.\What's wrong? You look pale.\Really? It's nothing.\Oh no! It'll burn!\You're back, Natsume? response:	Nyanko-sensei.
context: I'll eat you, boy!\I'm coming to eat you!\I'm back.\What's wrong? You look pale.\Really? It's nothing.\Oh no! It'll burn!\You're back, Natsume?\Nyanko-sensei. response:	What a nice smell.
context: I'm coming to eat you!\I'm back.\What's wrong? You look pale.\Really? It's nothing.\Oh no! It'll burn!\You're back, Natsume?\Nyanko-sensei.\What a nice smell. response:	We're having fried squid tonight.
context: I'm back.\What's wrong? You look pale.\Really? It's nothing.\Oh no! It'll burn!\You're back, Natsume?\Nyanko-sensei.\What a nice smell.\We're having fried squid tonight. response:	How's the squid?
context: What's wrong? You look pale.\Really? It's nothing.\Oh no! It'll burn!\You're back, Natsume?\Nyanko-sensei.\What a nice smell.\We're having fried squid tonight.\How's the squid? response:	Cats can't eat squid.
context: Really? It's nothing.\Oh no! It'll burn!\You're back, Natsume?\Nyanko-sensei.\What a nice smell.\We're having fried squid tonight.\How's the squid?\Cats can't eat squid. response:	I told you, I'm not a cat!
context: Oh no! It'll burn!\You're back, Natsume?\Nyanko-sensei.\What a nice smell.\We're having fried squid tonight.\How's the squid?\Cats can't eat squid.\I told you, I'm not a cat! response:	What's with that mark, Natsume?
context: You're back, Natsume?\Nyanko-sensei.\What a nice smell.\We're having fried squid tonight.\How's the squid?\Cats can't eat squid.\I told you, I'm not a cat!\What's with that mark, Natsume? response:	S-Sensei!
context: Nyanko-sensei.\What a nice smell.\We're having fried squid tonight.\How's the squid?\Cats can't eat squid.\I told you, I'm not a cat!\What's with that mark, Natsume?\S-Sensei! response:	Y-You...
context: What a nice smell.\We're having fried squid tonight.\How's the squid?\Cats can't eat squid.\I told you, I'm not a cat!\What's with that mark, Natsume?\S-Sensei!\Y-You... response:	You got a curse on your arm, didn't you?
context: We're having fried squid tonight.\How's the squid?\Cats can't eat squid.\I told you, I'm not a cat!\What's with that mark, Natsume?\S-Sensei!\Y-You...\You got a curse on your arm, didn't you? response:	Curse?
context: How's the squid?\Cats can't eat squid.\I told you, I'm not a cat!\What's with that mark, Natsume?\S-Sensei!\Y-You...\You got a curse on your arm, didn't you?\Curse? response:	It's nothing to laugh about, you idiot!
context: Cats can't eat squid.\I told you, I'm not a cat!\What's with that mark, Natsume?\S-Sensei!\Y-You...\You got a curse on your arm, didn't you?\Curse?\It's nothing to laugh about, you idiot! response:	How dare he lay his hands on my prey? It's positively inexcusable!
context: I told you, I'm not a cat!\What's with that mark, Natsume?\S-Sensei!\Y-You...\You got a curse on your arm, didn't you?\Curse?\It's nothing to laugh about, you idiot!\How dare he lay his hands on my prey? It's positively inexcusable! response:	And he's going to eat you?
context: What's with that mark, Natsume?\S-Sensei!\Y-You...\You got a curse on your arm, didn't you?\Curse?\It's nothing to laugh about, you idiot!\How dare he lay his hands on my prey? It's positively inexcusable!\And he's going to eat you? response:	Normally, I'd be grateful,
context: S-Sensei!\Y-You...\You got a curse on your arm, didn't you?\Curse?\It's nothing to laugh about, you idiot!\How dare he lay his hands on my prey? It's positively inexcusable!\And he's going to eat you?\Normally, I'd be grateful, response:	but I simply can't allow him to get you before I do.
context: Y-You...\You got a curse on your arm, didn't you?\Curse?\It's nothing to laugh about, you idiot!\How dare he lay his hands on my prey? It's positively inexcusable!\And he's going to eat you?\Normally, I'd be grateful,\but I simply can't allow him to get you before I do. response:	Hey...
context: You got a curse on your arm, didn't you?\Curse?\It's nothing to laugh about, you idiot!\How dare he lay his hands on my prey? It's positively inexcusable!\And he's going to eat you?\Normally, I'd be grateful,\but I simply can't allow him to get you before I do.\Hey... response:	All right,
context: Curse?\It's nothing to laugh about, you idiot!\How dare he lay his hands on my prey? It's positively inexcusable!\And he's going to eat you?\Normally, I'd be grateful,\but I simply can't allow him to get you before I do.\Hey...\All right, response:	let's call someone else to be your bodyguard in my place.
context: It's nothing to laugh about, you idiot!\How dare he lay his hands on my prey? It's positively inexcusable!\And he's going to eat you?\Normally, I'd be grateful,\but I simply can't allow him to get you before I do.\Hey...\All right,\let's call someone else to be your bodyguard in my place. response:	Call them?
context: How dare he lay his hands on my prey? It's positively inexcusable!\And he's going to eat you?\Normally, I'd be grateful,\but I simply can't allow him to get you before I do.\Hey...\All right,\let's call someone else to be your bodyguard in my place.\Call them? response:	We'll use the Book of Friends.
context: And he's going to eat you?\Normally, I'd be grateful,\but I simply can't allow him to get you before I do.\Hey...\All right,\let's call someone else to be your bodyguard in my place.\Call them?\We'll use the Book of Friends. response:	The Book of Friends?
context: Normally, I'd be grateful,\but I simply can't allow him to get you before I do.\Hey...\All right,\let's call someone else to be your bodyguard in my place.\Call them?\We'll use the Book of Friends.\The Book of Friends? response:	We can do that?
context: but I simply can't allow him to get you before I do.\Hey...\All right,\let's call someone else to be your bodyguard in my place.\Call them?\We'll use the Book of Friends.\The Book of Friends?\We can do that? response:	Reiko boasted about it before.
context: Hey...\All right,\let's call someone else to be your bodyguard in my place.\Call them?\We'll use the Book of Friends.\The Book of Friends?\We can do that?\Reiko boasted about it before. response:	Like this?
context: All right,\let's call someone else to be your bodyguard in my place.\Call them?\We'll use the Book of Friends.\The Book of Friends?\We can do that?\Reiko boasted about it before.\Like this? response:	That's good. Next, put that white cloth on and then stand right in the middle of the characters.
context: let's call someone else to be your bodyguard in my place.\Call them?\We'll use the Book of Friends.\The Book of Friends?\We can do that?\Reiko boasted about it before.\Like this?\That's good. Next, put that white cloth on and then stand right in the middle of the characters. response:	It's to substitute a white robe.
context: Call them?\We'll use the Book of Friends.\The Book of Friends?\We can do that?\Reiko boasted about it before.\Like this?\That's good. Next, put that white cloth on and then stand right in the middle of the characters.\It's to substitute a white robe. response:	You can't call them unless you know their name and how they look,
context: We'll use the Book of Friends.\The Book of Friends?\We can do that?\Reiko boasted about it before.\Like this?\That's good. Next, put that white cloth on and then stand right in the middle of the characters.\It's to substitute a white robe.\You can't call them unless you know their name and how they look, response:	so let's try to call Misuzu from before.
context: The Book of Friends?\We can do that?\Reiko boasted about it before.\Like this?\That's good. Next, put that white cloth on and then stand right in the middle of the characters.\It's to substitute a white robe.\You can't call them unless you know their name and how they look,\so let's try to call Misuzu from before. response:	Natsume, place the Book of Friends and the mirror beside each other and then drop some blood on it.
context: We can do that?\Reiko boasted about it before.\Like this?\That's good. Next, put that white cloth on and then stand right in the middle of the characters.\It's to substitute a white robe.\You can't call them unless you know their name and how they look,\so let's try to call Misuzu from before.\Natsume, place the Book of Friends and the mirror beside each other and then drop some blood on it. response:	Blood?
context: Reiko boasted about it before.\Like this?\That's good. Next, put that white cloth on and then stand right in the middle of the characters.\It's to substitute a white robe.\You can't call them unless you know their name and how they look,\so let's try to call Misuzu from before.\Natsume, place the Book of Friends and the mirror beside each other and then drop some blood on it.\Blood? response:	Normally, they'd want a fingernail.
context: Like this?\That's good. Next, put that white cloth on and then stand right in the middle of the characters.\It's to substitute a white robe.\You can't call them unless you know their name and how they look,\so let's try to call Misuzu from before.\Natsume, place the Book of Friends and the mirror beside each other and then drop some blood on it.\Blood?\Normally, they'd want a fingernail. response:	Don't think you can deal with Ayakashi without some compensation.
context: That's good. Next, put that white cloth on and then stand right in the middle of the characters.\It's to substitute a white robe.\You can't call them unless you know their name and how they look,\so let's try to call Misuzu from before.\Natsume, place the Book of Friends and the mirror beside each other and then drop some blood on it.\Blood?\Normally, they'd want a fingernail.\Don't think you can deal with Ayakashi without some compensation. response:	Let's do it, Natsume.
context: It's to substitute a white robe.\You can't call them unless you know their name and how they look,\so let's try to call Misuzu from before.\Natsume, place the Book of Friends and the mirror beside each other and then drop some blood on it.\Blood?\Normally, they'd want a fingernail.\Don't think you can deal with Ayakashi without some compensation.\Let's do it, Natsume. response:	Okay.
context: You can't call them unless you know their name and how they look,\so let's try to call Misuzu from before.\Natsume, place the Book of Friends and the mirror beside each other and then drop some blood on it.\Blood?\Normally, they'd want a fingernail.\Don't think you can deal with Ayakashi without some compensation.\Let's do it, Natsume.\Okay. response:	One who would protect me,
context: so let's try to call Misuzu from before.\Natsume, place the Book of Friends and the mirror beside each other and then drop some blood on it.\Blood?\Normally, they'd want a fingernail.\Don't think you can deal with Ayakashi without some compensation.\Let's do it, Natsume.\Okay.\One who would protect me, response:	come forth to me.
context: Natsume, place the Book of Friends and the mirror beside each other and then drop some blood on it.\Blood?\Normally, they'd want a fingernail.\Don't think you can deal with Ayakashi without some compensation.\Let's do it, Natsume.\Okay.\One who would protect me,\come forth to me. response:	Your name is...
context: Blood?\Normally, they'd want a fingernail.\Don't think you can deal with Ayakashi without some compensation.\Let's do it, Natsume.\Okay.\One who would protect me,\come forth to me.\Your name is... response:	Misuzu.
context: Normally, they'd want a fingernail.\Don't think you can deal with Ayakashi without some compensation.\Let's do it, Natsume.\Okay.\One who would protect me,\come forth to me.\Your name is...\Misuzu. response:	It has been a while, Natsume-dono.
context: Don't think you can deal with Ayakashi without some compensation.\Let's do it, Natsume.\Okay.\One who would protect me,\come forth to me.\Your name is...\Misuzu.\It has been a while, Natsume-dono. response:	I'm sorry I couldn't return your name last time, Misuzu.
context: Let's do it, Natsume.\Okay.\One who would protect me,\come forth to me.\Your name is...\Misuzu.\It has been a while, Natsume-dono.\I'm sorry I couldn't return your name last time, Misuzu. response:	I need your power.
context: Okay.\One who would protect me,\come forth to me.\Your name is...\Misuzu.\It has been a while, Natsume-dono.\I'm sorry I couldn't return your name last time, Misuzu.\I need your power. response:	Please help me for a while.
context: One who would protect me,\come forth to me.\Your name is...\Misuzu.\It has been a while, Natsume-dono.\I'm sorry I couldn't return your name last time, Misuzu.\I need your power.\Please help me for a while. response:	Very well.
context: come forth to me.\Your name is...\Misuzu.\It has been a while, Natsume-dono.\I'm sorry I couldn't return your name last time, Misuzu.\I need your power.\Please help me for a while.\Very well. response:	It's about this.
context: Your name is...\Misuzu.\It has been a while, Natsume-dono.\I'm sorry I couldn't return your name last time, Misuzu.\I need your power.\Please help me for a while.\Very well.\It's about this. response:	It spread out more than before.
context: Misuzu.\It has been a while, Natsume-dono.\I'm sorry I couldn't return your name last time, Misuzu.\I need your power.\Please help me for a while.\Very well.\It's about this.\It spread out more than before. response:	Oh? A curse mark.
context: It has been a while, Natsume-dono.\I'm sorry I couldn't return your name last time, Misuzu.\I need your power.\Please help me for a while.\Very well.\It's about this.\It spread out more than before.\Oh? A curse mark. response:	This is not good.
context: I'm sorry I couldn't return your name last time, Misuzu.\I need your power.\Please help me for a while.\Very well.\It's about this.\It spread out more than before.\Oh? A curse mark.\This is not good. response:	I am not familiar with curses, though.
context: I need your power.\Please help me for a while.\Very well.\It's about this.\It spread out more than before.\Oh? A curse mark.\This is not good.\I am not familiar with curses, though. response:	I will send for someone else.
context: Please help me for a while.\Very well.\It's about this.\It spread out more than before.\Oh? A curse mark.\This is not good.\I am not familiar with curses, though.\I will send for someone else. response:	That'd be a huge help.
context: Very well.\It's about this.\It spread out more than before.\Oh? A curse mark.\This is not good.\I am not familiar with curses, though.\I will send for someone else.\That'd be a huge help. response:	However, Natsume-dono, you should not show any weaknesses to Ayakashi.
context: It's about this.\It spread out more than before.\Oh? A curse mark.\This is not good.\I am not familiar with curses, though.\I will send for someone else.\That'd be a huge help.\However, Natsume-dono, you should not show any weaknesses to Ayakashi. response:	Ayakashi attack people through their weaknesses and shadows.
context: It spread out more than before.\Oh? A curse mark.\This is not good.\I am not familiar with curses, though.\I will send for someone else.\That'd be a huge help.\However, Natsume-dono, you should not show any weaknesses to Ayakashi.\Ayakashi attack people through their weaknesses and shadows. response:	Loneliness can serve as compensation for Ayakashi.
context: Oh? A curse mark.\This is not good.\I am not familiar with curses, though.\I will send for someone else.\That'd be a huge help.\However, Natsume-dono, you should not show any weaknesses to Ayakashi.\Ayakashi attack people through their weaknesses and shadows.\Loneliness can serve as compensation for Ayakashi. response:	You're being quite rude to your master, Misuzu.
context: This is not good.\I am not familiar with curses, though.\I will send for someone else.\That'd be a huge help.\However, Natsume-dono, you should not show any weaknesses to Ayakashi.\Ayakashi attack people through their weaknesses and shadows.\Loneliness can serve as compensation for Ayakashi.\You're being quite rude to your master, Misuzu. response:	Don't get too ahead of yourself.
context: I am not familiar with curses, though.\I will send for someone else.\That'd be a huge help.\However, Natsume-dono, you should not show any weaknesses to Ayakashi.\Ayakashi attack people through their weaknesses and shadows.\Loneliness can serve as compensation for Ayakashi.\You're being quite rude to your master, Misuzu.\Don't get too ahead of yourself. response:	And this coming from you, Madara?
context: I will send for someone else.\That'd be a huge help.\However, Natsume-dono, you should not show any weaknesses to Ayakashi.\Ayakashi attack people through their weaknesses and shadows.\Loneliness can serve as compensation for Ayakashi.\You're being quite rude to your master, Misuzu.\Don't get too ahead of yourself.\And this coming from you, Madara? response:	I can't believe you can call yourself his bodyguard when he has some mark now.
context: That'd be a huge help.\However, Natsume-dono, you should not show any weaknesses to Ayakashi.\Ayakashi attack people through their weaknesses and shadows.\Loneliness can serve as compensation for Ayakashi.\You're being quite rude to your master, Misuzu.\Don't get too ahead of yourself.\And this coming from you, Madara?\I can't believe you can call yourself his bodyguard when he has some mark now. response:	What?!
context: However, Natsume-dono, you should not show any weaknesses to Ayakashi.\Ayakashi attack people through their weaknesses and shadows.\Loneliness can serve as compensation for Ayakashi.\You're being quite rude to your master, Misuzu.\Don't get too ahead of yourself.\And this coming from you, Madara?\I can't believe you can call yourself his bodyguard when he has some mark now.\What?! response:	Natsume-dono, please forget that cat doll and call upon me anytime.
context: Ayakashi attack people through their weaknesses and shadows.\Loneliness can serve as compensation for Ayakashi.\You're being quite rude to your master, Misuzu.\Don't get too ahead of yourself.\And this coming from you, Madara?\I can't believe you can call yourself his bodyguard when he has some mark now.\What?!\Natsume-dono, please forget that cat doll and call upon me anytime. response:	I will protect you.
context: Loneliness can serve as compensation for Ayakashi.\You're being quite rude to your master, Misuzu.\Don't get too ahead of yourself.\And this coming from you, Madara?\I can't believe you can call yourself his bodyguard when he has some mark now.\What?!\Natsume-dono, please forget that cat doll and call upon me anytime.\I will protect you. response:	Hey! Who's a cat doll?!
context: You're being quite rude to your master, Misuzu.\Don't get too ahead of yourself.\And this coming from you, Madara?\I can't believe you can call yourself his bodyguard when he has some mark now.\What?!\Natsume-dono, please forget that cat doll and call upon me anytime.\I will protect you.\Hey! Who's a cat doll?! response:	Damned rocking horse!
context: Don't get too ahead of yourself.\And this coming from you, Madara?\I can't believe you can call yourself his bodyguard when he has some mark now.\What?!\Natsume-dono, please forget that cat doll and call upon me anytime.\I will protect you.\Hey! Who's a cat doll?!\Damned rocking horse! response:	Well then, I shall call for Hinoe.
context: And this coming from you, Madara?\I can't believe you can call yourself his bodyguard when he has some mark now.\What?!\Natsume-dono, please forget that cat doll and call upon me anytime.\I will protect you.\Hey! Who's a cat doll?!\Damned rocking horse!\Well then, I shall call for Hinoe. response:	Hey!
context: I can't believe you can call yourself his bodyguard when he has some mark now.\What?!\Natsume-dono, please forget that cat doll and call upon me anytime.\I will protect you.\Hey! Who's a cat doll?!\Damned rocking horse!\Well then, I shall call for Hinoe.\Hey! response:	Hey, what? Did he say Hinoe?
context: What?!\Natsume-dono, please forget that cat doll and call upon me anytime.\I will protect you.\Hey! Who's a cat doll?!\Damned rocking horse!\Well then, I shall call for Hinoe.\Hey!\Hey, what? Did he say Hinoe? response:	You know her?
context: Natsume-dono, please forget that cat doll and call upon me anytime.\I will protect you.\Hey! Who's a cat doll?!\Damned rocking horse!\Well then, I shall call for Hinoe.\Hey!\Hey, what? Did he say Hinoe?\You know her? response:	Ah, she's...
context: I will protect you.\Hey! Who's a cat doll?!\Damned rocking horse!\Well then, I shall call for Hinoe.\Hey!\Hey, what? Did he say Hinoe?\You know her?\Ah, she's... response:	Reiko! Reiko!
context: Hey! Who's a cat doll?!\Damned rocking horse!\Well then, I shall call for Hinoe.\Hey!\Hey, what? Did he say Hinoe?\You know her?\Ah, she's...\Reiko! Reiko! response:	She's...
context: Damned rocking horse!\Well then, I shall call for Hinoe.\Hey!\Hey, what? Did he say Hinoe?\You know her?\Ah, she's...\Reiko! Reiko!\She's... response:	You've finally called for me...
context: Well then, I shall call for Hinoe.\Hey!\Hey, what? Did he say Hinoe?\You know her?\Ah, she's...\Reiko! Reiko!\She's...\You've finally called for me... response:	My lovely Reiko!
context: Hey!\Hey, what? Did he say Hinoe?\You know her?\Ah, she's...\Reiko! Reiko!\She's...\You've finally called for me...\My lovely Reiko! response:	Oh, those scornful eyes,
context: Hey, what? Did he say Hinoe?\You know her?\Ah, she's...\Reiko! Reiko!\She's...\You've finally called for me...\My lovely Reiko!\Oh, those scornful eyes, response:	those thin lips...
context: You know her?\Ah, she's...\Reiko! Reiko!\She's...\You've finally called for me...\My lovely Reiko!\Oh, those scornful eyes,\those thin lips... response:	What's with your hair?
context: Ah, she's...\Reiko! Reiko!\She's...\You've finally called for me...\My lovely Reiko!\Oh, those scornful eyes,\those thin lips...\What's with your hair? response:	Did those humans bully you again?
context: Reiko! Reiko!\She's...\You've finally called for me...\My lovely Reiko!\Oh, those scornful eyes,\those thin lips...\What's with your hair?\Did those humans bully you again? response:	Damn those rotten humans!
context: She's...\You've finally called for me...\My lovely Reiko!\Oh, those scornful eyes,\those thin lips...\What's with your hair?\Did those humans bully you again?\Damn those rotten humans! response:	Shall I curse to death all the ones who touched you?
context: You've finally called for me...\My lovely Reiko!\Oh, those scornful eyes,\those thin lips...\What's with your hair?\Did those humans bully you again?\Damn those rotten humans!\Shall I curse to death all the ones who touched you? response:	You have no breasts.
context: My lovely Reiko!\Oh, those scornful eyes,\those thin lips...\What's with your hair?\Did those humans bully you again?\Damn those rotten humans!\Shall I curse to death all the ones who touched you?\You have no breasts. response:	Wh-What?
context: Oh, those scornful eyes,\those thin lips...\What's with your hair?\Did those humans bully you again?\Damn those rotten humans!\Shall I curse to death all the ones who touched you?\You have no breasts.\Wh-What? response:	A man?!
context: those thin lips...\What's with your hair?\Did those humans bully you again?\Damn those rotten humans!\Shall I curse to death all the ones who touched you?\You have no breasts.\Wh-What?\A man?! response:	She's a big Reiko lover.
context: What's with your hair?\Did those humans bully you again?\Damn those rotten humans!\Shall I curse to death all the ones who touched you?\You have no breasts.\Wh-What?\A man?!\She's a big Reiko lover. response:	How disgusting.
context: Did those humans bully you again?\Damn those rotten humans!\Shall I curse to death all the ones who touched you?\You have no breasts.\Wh-What?\A man?!\She's a big Reiko lover.\How disgusting. response:	And she hates men.
context: Damn those rotten humans!\Shall I curse to death all the ones who touched you?\You have no breasts.\Wh-What?\A man?!\She's a big Reiko lover.\How disgusting.\And she hates men. response:	That voice...
context: Shall I curse to death all the ones who touched you?\You have no breasts.\Wh-What?\A man?!\She's a big Reiko lover.\How disgusting.\And she hates men.\That voice... response:	Madara?
context: You have no breasts.\Wh-What?\A man?!\She's a big Reiko lover.\How disgusting.\And she hates men.\That voice...\Madara? response:	How'd you know?
context: Wh-What?\A man?!\She's a big Reiko lover.\How disgusting.\And she hates men.\That voice...\Madara?\How'd you know? response:	What's with that small, furry form?
context: A man?!\She's a big Reiko lover.\How disgusting.\And she hates men.\That voice...\Madara?\How'd you know?\What's with that small, furry form? response:	Did you want Reiko to like you that much?
context: She's a big Reiko lover.\How disgusting.\And she hates men.\That voice...\Madara?\How'd you know?\What's with that small, furry form?\Did you want Reiko to like you that much? response:	Calm down, Hinoe!
context: How disgusting.\And she hates men.\That voice...\Madara?\How'd you know?\What's with that small, furry form?\Did you want Reiko to like you that much?\Calm down, Hinoe! response:	Natsume's getting scared.
context: And she hates men.\That voice...\Madara?\How'd you know?\What's with that small, furry form?\Did you want Reiko to like you that much?\Calm down, Hinoe!\Natsume's getting scared. response:	So,
context: That voice...\Madara?\How'd you know?\What's with that small, furry form?\Did you want Reiko to like you that much?\Calm down, Hinoe!\Natsume's getting scared.\So, response:	who's this fake Reiko?
context: Madara?\How'd you know?\What's with that small, furry form?\Did you want Reiko to like you that much?\Calm down, Hinoe!\Natsume's getting scared.\So,\who's this fake Reiko? response:	I'm her grandson, Takashi.
context: How'd you know?\What's with that small, furry form?\Did you want Reiko to like you that much?\Calm down, Hinoe!\Natsume's getting scared.\So,\who's this fake Reiko?\I'm her grandson, Takashi. response:	Grandson? What about Reiko?
context: What's with that small, furry form?\Did you want Reiko to like you that much?\Calm down, Hinoe!\Natsume's getting scared.\So,\who's this fake Reiko?\I'm her grandson, Takashi.\Grandson? What about Reiko? response:	She died a long time ago.
context: Did you want Reiko to like you that much?\Calm down, Hinoe!\Natsume's getting scared.\So,\who's this fake Reiko?\I'm her grandson, Takashi.\Grandson? What about Reiko?\She died a long time ago. response:	I see...
context: Calm down, Hinoe!\Natsume's getting scared.\So,\who's this fake Reiko?\I'm her grandson, Takashi.\Grandson? What about Reiko?\She died a long time ago.\I see... response:	What a short life...
context: Natsume's getting scared.\So,\who's this fake Reiko?\I'm her grandson, Takashi.\Grandson? What about Reiko?\She died a long time ago.\I see...\What a short life... response:	That's why I hate getting attached to people.
context: So,\who's this fake Reiko?\I'm her grandson, Takashi.\Grandson? What about Reiko?\She died a long time ago.\I see...\What a short life...\That's why I hate getting attached to people. response:	Don't get closer to me, you damned man!
context: who's this fake Reiko?\I'm her grandson, Takashi.\Grandson? What about Reiko?\She died a long time ago.\I see...\What a short life...\That's why I hate getting attached to people.\Don't get closer to me, you damned man! response:	Please use it.
context: I'm her grandson, Takashi.\Grandson? What about Reiko?\She died a long time ago.\I see...\What a short life...\That's why I hate getting attached to people.\Don't get closer to me, you damned man!\Please use it. response:	You're crying for Reiko-san, right?
