context: I want to go back to that time again. response:	I want to become small again.
context: Here you go.\The sea breeze feels so nice.\It's been already three weeks since I started living with Minami-kun.\My feelings for Minami-kun has been growing rapidly.\Don't worry. If we are busted,\I will take responsibility and protect you.\Protect me? What do you mean by that?\What the word means. response:	Hey, Minami-kun.
context: The sea breeze feels so nice.\It's been already three weeks since I started living with Minami-kun.\My feelings for Minami-kun has been growing rapidly.\Don't worry. If we are busted,\I will take responsibility and protect you.\Protect me? What do you mean by that?\What the word means.\Hey, Minami-kun. response:	What do you actually think of me? I want to know.
context: It's been already three weeks since I started living with Minami-kun.\My feelings for Minami-kun has been growing rapidly.\Don't worry. If we are busted,\I will take responsibility and protect you.\Protect me? What do you mean by that?\What the word means.\Hey, Minami-kun.\What do you actually think of me? I want to know. response:	Minami-kun.
context: My feelings for Minami-kun has been growing rapidly.\Don't worry. If we are busted,\I will take responsibility and protect you.\Protect me? What do you mean by that?\What the word means.\Hey, Minami-kun.\What do you actually think of me? I want to know.\Minami-kun. response:	Hmm? What is it?
context: Don't worry. If we are busted,\I will take responsibility and protect you.\Protect me? What do you mean by that?\What the word means.\Hey, Minami-kun.\What do you actually think of me? I want to know.\Minami-kun.\Hmm? What is it? response:	Nothing.
context: I will take responsibility and protect you.\Protect me? What do you mean by that?\What the word means.\Hey, Minami-kun.\What do you actually think of me? I want to know.\Minami-kun.\Hmm? What is it?\Nothing. response:	My Little Lover - Minami Kun No Koibito
context: Protect me? What do you mean by that?\What the word means.\Hey, Minami-kun.\What do you actually think of me? I want to know.\Minami-kun.\Hmm? What is it?\Nothing.\My Little Lover - Minami Kun No Koibito response:	N I am not good at talking in similitudesN
context: What the word means.\Hey, Minami-kun.\What do you actually think of me? I want to know.\Minami-kun.\Hmm? What is it?\Nothing.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN response:	N But, I will tell you an amazing story N
context: Hey, Minami-kun.\What do you actually think of me? I want to know.\Minami-kun.\Hmm? What is it?\Nothing.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N response:	N that will fit in a pocket N
context: What do you actually think of me? I want to know.\Minami-kun.\Hmm? What is it?\Nothing.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N response:	N God played a trick N
context: Minami-kun.\Hmm? What is it?\Nothing.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N response:	N And a dramatic time began N
context: Hmm? What is it?\Nothing.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N response:	N The shape of happiness you and I imagined N
context: Nothing.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N response:	N doesn't have a name N
context: My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N response:	N it's okay N
context: N I am not good at talking in similitudesN\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N response:	N I will write words that won't be erased like a magic N
context: N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N response:	N and turn the page N
context: N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N response:	N It is like a sequel to the fairy tale N
context: N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N response:	N We can smile forever N
context: N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N response:	N To a place over the rainbow N
context: N The shape of happiness you and I imagined N\N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N response:	N a story with a happy ending N
context: N doesn't have a name N\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N a story with a happy ending N response:	I'm home.
context: N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N a story with a happy ending N\I'm home. response:	Grandma.
context: N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N a story with a happy ending N\I'm home.\Grandma. response:	Grandma!
context: N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N a story with a happy ending N\I'm home.\Grandma.\Grandma! response:	Grandma!?
context: N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N a story with a happy ending N\I'm home.\Grandma.\Grandma!\Grandma!? response:	Grandma!
context: N We can smile forever N\N To a place over the rainbow N\N a story with a happy ending N\I'm home.\Grandma.\Grandma!\Grandma!?\Grandma! response:	Grandma!?
context: N To a place over the rainbow N\N a story with a happy ending N\I'm home.\Grandma.\Grandma!\Grandma!?\Grandma!\Grandma!? response:	Grandma!?
context: N a story with a happy ending N\I'm home.\Grandma.\Grandma!\Grandma!?\Grandma!\Grandma!?\Grandma!? response:	I wonder if Grandma would be okay.
context: I'm home.\Grandma.\Grandma!\Grandma!?\Grandma!\Grandma!?\Grandma!?\I wonder if Grandma would be okay. response:	Shunichi!
context: Grandma.\Grandma!\Grandma!?\Grandma!\Grandma!?\Grandma!?\I wonder if Grandma would be okay.\Shunichi! response:	How is Grandma?
context: Grandma!\Grandma!?\Grandma!\Grandma!?\Grandma!?\I wonder if Grandma would be okay.\Shunichi!\How is Grandma? response:	She is okay for today.
context: Grandma!?\Grandma!\Grandma!?\Grandma!?\I wonder if Grandma would be okay.\Shunichi!\How is Grandma?\She is okay for today. response:	But, she needs to get examined thoroughly.
context: Grandma!\Grandma!?\Grandma!?\I wonder if Grandma would be okay.\Shunichi!\How is Grandma?\She is okay for today.\But, she needs to get examined thoroughly. response:	So, she is staying here for tests.
context: Grandma!?\Grandma!?\I wonder if Grandma would be okay.\Shunichi!\How is Grandma?\She is okay for today.\But, she needs to get examined thoroughly.\So, she is staying here for tests. response:	Shunichi, can you turn in this paper at the office?
context: Grandma!?\I wonder if Grandma would be okay.\Shunichi!\How is Grandma?\She is okay for today.\But, she needs to get examined thoroughly.\So, she is staying here for tests.\Shunichi, can you turn in this paper at the office? response:	Okay.
context: I wonder if Grandma would be okay.\Shunichi!\How is Grandma?\She is okay for today.\But, she needs to get examined thoroughly.\So, she is staying here for tests.\Shunichi, can you turn in this paper at the office?\Okay. response:	Oh, I am sorry. I have to...
context: Shunichi!\How is Grandma?\She is okay for today.\But, she needs to get examined thoroughly.\So, she is staying here for tests.\Shunichi, can you turn in this paper at the office?\Okay.\Oh, I am sorry. I have to... response:	Oh, okay.
context: How is Grandma?\She is okay for today.\But, she needs to get examined thoroughly.\So, she is staying here for tests.\Shunichi, can you turn in this paper at the office?\Okay.\Oh, I am sorry. I have to...\Oh, okay. response:	- Wait here a sec. - Sure.
context: She is okay for today.\But, she needs to get examined thoroughly.\So, she is staying here for tests.\Shunichi, can you turn in this paper at the office?\Okay.\Oh, I am sorry. I have to...\Oh, okay.\- Wait here a sec. - Sure. response:	What is it?
context: But, she needs to get examined thoroughly.\So, she is staying here for tests.\Shunichi, can you turn in this paper at the office?\Okay.\Oh, I am sorry. I have to...\Oh, okay.\- Wait here a sec. - Sure.\What is it? response:	Eh? Oh.
context: So, she is staying here for tests.\Shunichi, can you turn in this paper at the office?\Okay.\Oh, I am sorry. I have to...\Oh, okay.\- Wait here a sec. - Sure.\What is it?\Eh? Oh. response:	Ouch! Ouch, ouch...
context: Shunichi, can you turn in this paper at the office?\Okay.\Oh, I am sorry. I have to...\Oh, okay.\- Wait here a sec. - Sure.\What is it?\Eh? Oh.\Ouch! Ouch, ouch... response:	I found a goodie!
context: Okay.\Oh, I am sorry. I have to...\Oh, okay.\- Wait here a sec. - Sure.\What is it?\Eh? Oh.\Ouch! Ouch, ouch...\I found a goodie! response:	Oh? You are Onee-chan's (big sister)...
context: Oh, I am sorry. I have to...\Oh, okay.\- Wait here a sec. - Sure.\What is it?\Eh? Oh.\Ouch! Ouch, ouch...\I found a goodie!\Oh? You are Onee-chan's (big sister)... response:	Chiyomi?
context: Oh, okay.\- Wait here a sec. - Sure.\What is it?\Eh? Oh.\Ouch! Ouch, ouch...\I found a goodie!\Oh? You are Onee-chan's (big sister)...\Chiyomi? response:	Chiyomi?
context: - Wait here a sec. - Sure.\What is it?\Eh? Oh.\Ouch! Ouch, ouch...\I found a goodie!\Oh? You are Onee-chan's (big sister)...\Chiyomi?\Chiyomi? response:	I see.
context: What is it?\Eh? Oh.\Ouch! Ouch, ouch...\I found a goodie!\Oh? You are Onee-chan's (big sister)...\Chiyomi?\Chiyomi?\I see. response:	Even you don't know where Horikiri-shi is.
context: Eh? Oh.\Ouch! Ouch, ouch...\I found a goodie!\Oh? You are Onee-chan's (big sister)...\Chiyomi?\Chiyomi?\I see.\Even you don't know where Horikiri-shi is. response:	That's right.
context: Ouch! Ouch, ouch...\I found a goodie!\Oh? You are Onee-chan's (big sister)...\Chiyomi?\Chiyomi?\I see.\Even you don't know where Horikiri-shi is.\That's right. response:	Ah! Ouch.
context: I found a goodie!\Oh? You are Onee-chan's (big sister)...\Chiyomi?\Chiyomi?\I see.\Even you don't know where Horikiri-shi is.\That's right.\Ah! Ouch. response:	You can't run away from me, Fairy-san.
context: Oh? You are Onee-chan's (big sister)...\Chiyomi?\Chiyomi?\I see.\Even you don't know where Horikiri-shi is.\That's right.\Ah! Ouch.\You can't run away from me, Fairy-san. response:	Fairy?
context: Chiyomi?\Chiyomi?\I see.\Even you don't know where Horikiri-shi is.\That's right.\Ah! Ouch.\You can't run away from me, Fairy-san.\Fairy? response:	Well, this might not have anything to with Chobiko, (Chobiko = A Small Child)
context: Chiyomi?\I see.\Even you don't know where Horikiri-shi is.\That's right.\Ah! Ouch.\You can't run away from me, Fairy-san.\Fairy?\Well, this might not have anything to with Chobiko, (Chobiko = A Small Child) response:	but I saw a tiny person, too.
context: I see.\Even you don't know where Horikiri-shi is.\That's right.\Ah! Ouch.\You can't run away from me, Fairy-san.\Fairy?\Well, this might not have anything to with Chobiko, (Chobiko = A Small Child)\but I saw a tiny person, too. response:	What?
context: Even you don't know where Horikiri-shi is.\That's right.\Ah! Ouch.\You can't run away from me, Fairy-san.\Fairy?\Well, this might not have anything to with Chobiko, (Chobiko = A Small Child)\but I saw a tiny person, too.\What? response:	I saw one at our neighbor's window last night.
context: That's right.\Ah! Ouch.\You can't run away from me, Fairy-san.\Fairy?\Well, this might not have anything to with Chobiko, (Chobiko = A Small Child)\but I saw a tiny person, too.\What?\I saw one at our neighbor's window last night. response:	Your neighbor... Could it be Minami's?
context: Ah! Ouch.\You can't run away from me, Fairy-san.\Fairy?\Well, this might not have anything to with Chobiko, (Chobiko = A Small Child)\but I saw a tiny person, too.\What?\I saw one at our neighbor's window last night.\Your neighbor... Could it be Minami's? response:	Yes.
context: You can't run away from me, Fairy-san.\Fairy?\Well, this might not have anything to with Chobiko, (Chobiko = A Small Child)\but I saw a tiny person, too.\What?\I saw one at our neighbor's window last night.\Your neighbor... Could it be Minami's?\Yes. response:	Ah, but... you wouldn't believe me, right?
context: Fairy?\Well, this might not have anything to with Chobiko, (Chobiko = A Small Child)\but I saw a tiny person, too.\What?\I saw one at our neighbor's window last night.\Your neighbor... Could it be Minami's?\Yes.\Ah, but... you wouldn't believe me, right? response:	- I guess it was just an illusion... - No, it is possible.
context: Well, this might not have anything to with Chobiko, (Chobiko = A Small Child)\but I saw a tiny person, too.\What?\I saw one at our neighbor's window last night.\Your neighbor... Could it be Minami's?\Yes.\Ah, but... you wouldn't believe me, right?\- I guess it was just an illusion... - No, it is possible. response:	Eh? Do you believe me?
context: but I saw a tiny person, too.\What?\I saw one at our neighbor's window last night.\Your neighbor... Could it be Minami's?\Yes.\Ah, but... you wouldn't believe me, right?\- I guess it was just an illusion... - No, it is possible.\Eh? Do you believe me? response:	That was probably... a figurine.
context: What?\I saw one at our neighbor's window last night.\Your neighbor... Could it be Minami's?\Yes.\Ah, but... you wouldn't believe me, right?\- I guess it was just an illusion... - No, it is possible.\Eh? Do you believe me?\That was probably... a figurine. response:	A figurine?
context: I saw one at our neighbor's window last night.\Your neighbor... Could it be Minami's?\Yes.\Ah, but... you wouldn't believe me, right?\- I guess it was just an illusion... - No, it is possible.\Eh? Do you believe me?\That was probably... a figurine.\A figurine? response:	Minami... he made such an elaborate figurine...
context: Your neighbor... Could it be Minami's?\Yes.\Ah, but... you wouldn't believe me, right?\- I guess it was just an illusion... - No, it is possible.\Eh? Do you believe me?\That was probably... a figurine.\A figurine?\Minami... he made such an elaborate figurine... response:	Is that your mom?
context: Yes.\Ah, but... you wouldn't believe me, right?\- I guess it was just an illusion... - No, it is possible.\Eh? Do you believe me?\That was probably... a figurine.\A figurine?\Minami... he made such an elaborate figurine...\Is that your mom? response:	She looks like a sweet mom.
context: Ah, but... you wouldn't believe me, right?\- I guess it was just an illusion... - No, it is possible.\Eh? Do you believe me?\That was probably... a figurine.\A figurine?\Minami... he made such an elaborate figurine...\Is that your mom?\She looks like a sweet mom. response:	Mom doen't like Miyu. (Miyu is her name.)
context: - I guess it was just an illusion... - No, it is possible.\Eh? Do you believe me?\That was probably... a figurine.\A figurine?\Minami... he made such an elaborate figurine...\Is that your mom?\She looks like a sweet mom.\Mom doen't like Miyu. (Miyu is her name.) response:	Eh?
context: Eh? Do you believe me?\That was probably... a figurine.\A figurine?\Minami... he made such an elaborate figurine...\Is that your mom?\She looks like a sweet mom.\Mom doen't like Miyu. (Miyu is her name.)\Eh? response:	Mama!
context: That was probably... a figurine.\A figurine?\Minami... he made such an elaborate figurine...\Is that your mom?\She looks like a sweet mom.\Mom doen't like Miyu. (Miyu is her name.)\Eh?\Mama! response:	Miyu, you told Dr. Koide that you didn't want to have a surgery, didn't you?
context: A figurine?\Minami... he made such an elaborate figurine...\Is that your mom?\She looks like a sweet mom.\Mom doen't like Miyu. (Miyu is her name.)\Eh?\Mama!\Miyu, you told Dr. Koide that you didn't want to have a surgery, didn't you? response:	Do you know how much people are worried about you?
context: Minami... he made such an elaborate figurine...\Is that your mom?\She looks like a sweet mom.\Mom doen't like Miyu. (Miyu is her name.)\Eh?\Mama!\Miyu, you told Dr. Koide that you didn't want to have a surgery, didn't you?\Do you know how much people are worried about you? response:	Don't cause me any more trouble.
context: Is that your mom?\She looks like a sweet mom.\Mom doen't like Miyu. (Miyu is her name.)\Eh?\Mama!\Miyu, you told Dr. Koide that you didn't want to have a surgery, didn't you?\Do you know how much people are worried about you?\Don't cause me any more trouble. response:	If you keep saying you won't have one,
context: She looks like a sweet mom.\Mom doen't like Miyu. (Miyu is her name.)\Eh?\Mama!\Miyu, you told Dr. Koide that you didn't want to have a surgery, didn't you?\Do you know how much people are worried about you?\Don't cause me any more trouble.\If you keep saying you won't have one, response:	you won't get better.
context: Mom doen't like Miyu. (Miyu is her name.)\Eh?\Mama!\Miyu, you told Dr. Koide that you didn't want to have a surgery, didn't you?\Do you know how much people are worried about you?\Don't cause me any more trouble.\If you keep saying you won't have one,\you won't get better. response:	She is here.
context: Eh?\Mama!\Miyu, you told Dr. Koide that you didn't want to have a surgery, didn't you?\Do you know how much people are worried about you?\Don't cause me any more trouble.\If you keep saying you won't have one,\you won't get better.\She is here. response:	Minami-kun!
context: Mama!\Miyu, you told Dr. Koide that you didn't want to have a surgery, didn't you?\Do you know how much people are worried about you?\Don't cause me any more trouble.\If you keep saying you won't have one,\you won't get better.\She is here.\Minami-kun! response:	Hello.
context: Miyu, you told Dr. Koide that you didn't want to have a surgery, didn't you?\Do you know how much people are worried about you?\Don't cause me any more trouble.\If you keep saying you won't have one,\you won't get better.\She is here.\Minami-kun!\Hello. response:	This is my mother.
context: Do you know how much people are worried about you?\Don't cause me any more trouble.\If you keep saying you won't have one,\you won't get better.\She is here.\Minami-kun!\Hello.\This is my mother. response:	Minami-kun, I am here.
context: Don't cause me any more trouble.\If you keep saying you won't have one,\you won't get better.\She is here.\Minami-kun!\Hello.\This is my mother.\Minami-kun, I am here. response:	Miyu-chan, would you be nice to our Granny?
context: If you keep saying you won't have one,\you won't get better.\She is here.\Minami-kun!\Hello.\This is my mother.\Minami-kun, I am here.\Miyu-chan, would you be nice to our Granny? response:	Minami-kun, please see me.
context: you won't get better.\She is here.\Minami-kun!\Hello.\This is my mother.\Minami-kun, I am here.\Miyu-chan, would you be nice to our Granny?\Minami-kun, please see me. response:	Miyu, do you want to eat something?... I see.
context: She is here.\Minami-kun!\Hello.\This is my mother.\Minami-kun, I am here.\Miyu-chan, would you be nice to our Granny?\Minami-kun, please see me.\Miyu, do you want to eat something?... I see. response:	I have some more work to do, so I will go for now.
context: Minami-kun!\Hello.\This is my mother.\Minami-kun, I am here.\Miyu-chan, would you be nice to our Granny?\Minami-kun, please see me.\Miyu, do you want to eat something?... I see.\I have some more work to do, so I will go for now. response:	If you keep sulking like this, you won't get better.
context: Hello.\This is my mother.\Minami-kun, I am here.\Miyu-chan, would you be nice to our Granny?\Minami-kun, please see me.\Miyu, do you want to eat something?... I see.\I have some more work to do, so I will go for now.\If you keep sulking like this, you won't get better. response:	Well then, excuse me.
context: This is my mother.\Minami-kun, I am here.\Miyu-chan, would you be nice to our Granny?\Minami-kun, please see me.\Miyu, do you want to eat something?... I see.\I have some more work to do, so I will go for now.\If you keep sulking like this, you won't get better.\Well then, excuse me. response:	Have a good day.
context: Minami-kun, I am here.\Miyu-chan, would you be nice to our Granny?\Minami-kun, please see me.\Miyu, do you want to eat something?... I see.\I have some more work to do, so I will go for now.\If you keep sulking like this, you won't get better.\Well then, excuse me.\Have a good day. response:	Emi-chan.
context: Miyu-chan, would you be nice to our Granny?\Minami-kun, please see me.\Miyu, do you want to eat something?... I see.\I have some more work to do, so I will go for now.\If you keep sulking like this, you won't get better.\Well then, excuse me.\Have a good day.\Emi-chan. response:	-Grandma? -Mom, are you awake?
context: Minami-kun, please see me.\Miyu, do you want to eat something?... I see.\I have some more work to do, so I will go for now.\If you keep sulking like this, you won't get better.\Well then, excuse me.\Have a good day.\Emi-chan.\-Grandma? -Mom, are you awake? response:	-Yes. Where am I? -You are in the hospital.
context: Miyu, do you want to eat something?... I see.\I have some more work to do, so I will go for now.\If you keep sulking like this, you won't get better.\Well then, excuse me.\Have a good day.\Emi-chan.\-Grandma? -Mom, are you awake?\-Yes. Where am I? -You are in the hospital. response:	Mom, you collapsed in the living room.
context: I have some more work to do, so I will go for now.\If you keep sulking like this, you won't get better.\Well then, excuse me.\Have a good day.\Emi-chan.\-Grandma? -Mom, are you awake?\-Yes. Where am I? -You are in the hospital.\Mom, you collapsed in the living room. response:	Yeah that's right. And Noboru saved me, right?
context: If you keep sulking like this, you won't get better.\Well then, excuse me.\Have a good day.\Emi-chan.\-Grandma? -Mom, are you awake?\-Yes. Where am I? -You are in the hospital.\Mom, you collapsed in the living room.\Yeah that's right. And Noboru saved me, right? response:	Mom, from today, you are staying at the hospital for tests.
context: Well then, excuse me.\Have a good day.\Emi-chan.\-Grandma? -Mom, are you awake?\-Yes. Where am I? -You are in the hospital.\Mom, you collapsed in the living room.\Yeah that's right. And Noboru saved me, right?\Mom, from today, you are staying at the hospital for tests. response:	I see. I'm sorry to cause you trouble.
context: Have a good day.\Emi-chan.\-Grandma? -Mom, are you awake?\-Yes. Where am I? -You are in the hospital.\Mom, you collapsed in the living room.\Yeah that's right. And Noboru saved me, right?\Mom, from today, you are staying at the hospital for tests.\I see. I'm sorry to cause you trouble. response:	It's no problem. You should take it easy since you are here.
context: Emi-chan.\-Grandma? -Mom, are you awake?\-Yes. Where am I? -You are in the hospital.\Mom, you collapsed in the living room.\Yeah that's right. And Noboru saved me, right?\Mom, from today, you are staying at the hospital for tests.\I see. I'm sorry to cause you trouble.\It's no problem. You should take it easy since you are here. response:	My neighbor is so cute.
context: -Grandma? -Mom, are you awake?\-Yes. Where am I? -You are in the hospital.\Mom, you collapsed in the living room.\Yeah that's right. And Noboru saved me, right?\Mom, from today, you are staying at the hospital for tests.\I see. I'm sorry to cause you trouble.\It's no problem. You should take it easy since you are here.\My neighbor is so cute. response:	Nice to meet you.
context: -Yes. Where am I? -You are in the hospital.\Mom, you collapsed in the living room.\Yeah that's right. And Noboru saved me, right?\Mom, from today, you are staying at the hospital for tests.\I see. I'm sorry to cause you trouble.\It's no problem. You should take it easy since you are here.\My neighbor is so cute.\Nice to meet you. response:	I think I will have fun staying here.
context: Mom, you collapsed in the living room.\Yeah that's right. And Noboru saved me, right?\Mom, from today, you are staying at the hospital for tests.\I see. I'm sorry to cause you trouble.\It's no problem. You should take it easy since you are here.\My neighbor is so cute.\Nice to meet you.\I think I will have fun staying here. response:	- I'm on the night shift today, so find something to eat for dinner. - Okay.
context: Yeah that's right. And Noboru saved me, right?\Mom, from today, you are staying at the hospital for tests.\I see. I'm sorry to cause you trouble.\It's no problem. You should take it easy since you are here.\My neighbor is so cute.\Nice to meet you.\I think I will have fun staying here.\- I'm on the night shift today, so find something to eat for dinner. - Okay. response:	- Okay Mom. I'm going back to work. - Alright.
context: Mom, from today, you are staying at the hospital for tests.\I see. I'm sorry to cause you trouble.\It's no problem. You should take it easy since you are here.\My neighbor is so cute.\Nice to meet you.\I think I will have fun staying here.\- I'm on the night shift today, so find something to eat for dinner. - Okay.\- Okay Mom. I'm going back to work. - Alright. response:	Well, I will be going too since I left something.
