context: I'm thinking of quitting the rental girlfriend job. response:	Ruka-chan
context: That girl's hella cute.\That's her boyfriend?\More like chimpanzee.\I'm so glad I got to see you!\We saw each other, like, two days ago.\That's true.\It's only been two days, and yet, why does this make me so happy?\Ta-da! What do you think? response:	L-Looking good.
context: That's her boyfriend?\More like chimpanzee.\I'm so glad I got to see you!\We saw each other, like, two days ago.\That's true.\It's only been two days, and yet, why does this make me so happy?\Ta-da! What do you think?\L-Looking good. response:	Yay! Lavender's in this spring, y'know.
context: More like chimpanzee.\I'm so glad I got to see you!\We saw each other, like, two days ago.\That's true.\It's only been two days, and yet, why does this make me so happy?\Ta-da! What do you think?\L-Looking good.\Yay! Lavender's in this spring, y'know. response:	Now that you mention it, Mizuhara had a lavender scarf, too.
context: I'm so glad I got to see you!\We saw each other, like, two days ago.\That's true.\It's only been two days, and yet, why does this make me so happy?\Ta-da! What do you think?\L-Looking good.\Yay! Lavender's in this spring, y'know.\Now that you mention it, Mizuhara had a lavender scarf, too. response:	Gah! S-Sorry!
context: We saw each other, like, two days ago.\That's true.\It's only been two days, and yet, why does this make me so happy?\Ta-da! What do you think?\L-Looking good.\Yay! Lavender's in this spring, y'know.\Now that you mention it, Mizuhara had a lavender scarf, too.\Gah! S-Sorry! response:	It's fine. I know you still like her.
context: That's true.\It's only been two days, and yet, why does this make me so happy?\Ta-da! What do you think?\L-Looking good.\Yay! Lavender's in this spring, y'know.\Now that you mention it, Mizuhara had a lavender scarf, too.\Gah! S-Sorry!\It's fine. I know you still like her. response:	I've realized now that just forcing my love on you isn't gonna cut it.
context: It's only been two days, and yet, why does this make me so happy?\Ta-da! What do you think?\L-Looking good.\Yay! Lavender's in this spring, y'know.\Now that you mention it, Mizuhara had a lavender scarf, too.\Gah! S-Sorry!\It's fine. I know you still like her.\I've realized now that just forcing my love on you isn't gonna cut it. response:	'Cause I want you to fall in love with me for real.
context: Ta-da! What do you think?\L-Looking good.\Yay! Lavender's in this spring, y'know.\Now that you mention it, Mizuhara had a lavender scarf, too.\Gah! S-Sorry!\It's fine. I know you still like her.\I've realized now that just forcing my love on you isn't gonna cut it.\'Cause I want you to fall in love with me for real. response:	Ruka-chan...
context: L-Looking good.\Yay! Lavender's in this spring, y'know.\Now that you mention it, Mizuhara had a lavender scarf, too.\Gah! S-Sorry!\It's fine. I know you still like her.\I've realized now that just forcing my love on you isn't gonna cut it.\'Cause I want you to fall in love with me for real.\Ruka-chan... response:	She's a good girl.
context: Yay! Lavender's in this spring, y'know.\Now that you mention it, Mizuhara had a lavender scarf, too.\Gah! S-Sorry!\It's fine. I know you still like her.\I've realized now that just forcing my love on you isn't gonna cut it.\'Cause I want you to fall in love with me for real.\Ruka-chan...\She's a good girl. response:	Cheerful, determined, and passionate.
context: Now that you mention it, Mizuhara had a lavender scarf, too.\Gah! S-Sorry!\It's fine. I know you still like her.\I've realized now that just forcing my love on you isn't gonna cut it.\'Cause I want you to fall in love with me for real.\Ruka-chan...\She's a good girl.\Cheerful, determined, and passionate. response:	Sure, she may be a bit possessive,
context: Gah! S-Sorry!\It's fine. I know you still like her.\I've realized now that just forcing my love on you isn't gonna cut it.\'Cause I want you to fall in love with me for real.\Ruka-chan...\She's a good girl.\Cheerful, determined, and passionate.\Sure, she may be a bit possessive, response:	but that's something that should make any boyfriend happy.
context: It's fine. I know you still like her.\I've realized now that just forcing my love on you isn't gonna cut it.\'Cause I want you to fall in love with me for real.\Ruka-chan...\She's a good girl.\Cheerful, determined, and passionate.\Sure, she may be a bit possessive,\but that's something that should make any boyfriend happy. response:	How is she not good enough?
context: I've realized now that just forcing my love on you isn't gonna cut it.\'Cause I want you to fall in love with me for real.\Ruka-chan...\She's a good girl.\Cheerful, determined, and passionate.\Sure, she may be a bit possessive,\but that's something that should make any boyfriend happy.\How is she not good enough? response:	Karaoke Village
context: 'Cause I want you to fall in love with me for real.\Ruka-chan...\She's a good girl.\Cheerful, determined, and passionate.\Sure, she may be a bit possessive,\but that's something that should make any boyfriend happy.\How is she not good enough?\Karaoke Village response:	Uh... Sorry, but I have to refuse.
context: Ruka-chan...\She's a good girl.\Cheerful, determined, and passionate.\Sure, she may be a bit possessive,\but that's something that should make any boyfriend happy.\How is she not good enough?\Karaoke Village\Uh... Sorry, but I have to refuse. response:	Gah! I knew it'd be a no!
context: She's a good girl.\Cheerful, determined, and passionate.\Sure, she may be a bit possessive,\but that's something that should make any boyfriend happy.\How is she not good enough?\Karaoke Village\Uh... Sorry, but I have to refuse.\Gah! I knew it'd be a no! response:	You must have a boyfriend, right?
context: Cheerful, determined, and passionate.\Sure, she may be a bit possessive,\but that's something that should make any boyfriend happy.\How is she not good enough?\Karaoke Village\Uh... Sorry, but I have to refuse.\Gah! I knew it'd be a no!\You must have a boyfriend, right? response:	Do I have a boyfriend?
context: Sure, she may be a bit possessive,\but that's something that should make any boyfriend happy.\How is she not good enough?\Karaoke Village\Uh... Sorry, but I have to refuse.\Gah! I knew it'd be a no!\You must have a boyfriend, right?\Do I have a boyfriend? response:	Look at what you're making her say!
context: but that's something that should make any boyfriend happy.\How is she not good enough?\Karaoke Village\Uh... Sorry, but I have to refuse.\Gah! I knew it'd be a no!\You must have a boyfriend, right?\Do I have a boyfriend?\Look at what you're making her say! response:	I'll be your girlfriend until the time comes.
context: How is she not good enough?\Karaoke Village\Uh... Sorry, but I have to refuse.\Gah! I knew it'd be a no!\You must have a boyfriend, right?\Do I have a boyfriend?\Look at what you're making her say!\I'll be your girlfriend until the time comes. response:	I can't keep using Mizuhara as a crutch!
context: Karaoke Village\Uh... Sorry, but I have to refuse.\Gah! I knew it'd be a no!\You must have a boyfriend, right?\Do I have a boyfriend?\Look at what you're making her say!\I'll be your girlfriend until the time comes.\I can't keep using Mizuhara as a crutch! response:	I've gotta at least manage my own love life!
context: Uh... Sorry, but I have to refuse.\Gah! I knew it'd be a no!\You must have a boyfriend, right?\Do I have a boyfriend?\Look at what you're making her say!\I'll be your girlfriend until the time comes.\I can't keep using Mizuhara as a crutch!\I've gotta at least manage my own love life! response:	Bear with me, Ruka-chan!
context: Gah! I knew it'd be a no!\You must have a boyfriend, right?\Do I have a boyfriend?\Look at what you're making her say!\I'll be your girlfriend until the time comes.\I can't keep using Mizuhara as a crutch!\I've gotta at least manage my own love life!\Bear with me, Ruka-chan! response:	There's something I need to say.
context: You must have a boyfriend, right?\Do I have a boyfriend?\Look at what you're making her say!\I'll be your girlfriend until the time comes.\I can't keep using Mizuhara as a crutch!\I've gotta at least manage my own love life!\Bear with me, Ruka-chan!\There's something I need to say. response:	Kazuya-kun?
context: Do I have a boyfriend?\Look at what you're making her say!\I'll be your girlfriend until the time comes.\I can't keep using Mizuhara as a crutch!\I've gotta at least manage my own love life!\Bear with me, Ruka-chan!\There's something I need to say.\Kazuya-kun? response:	We agreed on a trial period, and now...
context: Look at what you're making her say!\I'll be your girlfriend until the time comes.\I can't keep using Mizuhara as a crutch!\I've gotta at least manage my own love life!\Bear with me, Ruka-chan!\There's something I need to say.\Kazuya-kun?\We agreed on a trial period, and now... response:	I want to make it official!
context: I'll be your girlfriend until the time comes.\I can't keep using Mizuhara as a crutch!\I've gotta at least manage my own love life!\Bear with me, Ruka-chan!\There's something I need to say.\Kazuya-kun?\We agreed on a trial period, and now...\I want to make it official! response:	Let's get this out of the way.
context: I can't keep using Mizuhara as a crutch!\I've gotta at least manage my own love life!\Bear with me, Ruka-chan!\There's something I need to say.\Kazuya-kun?\We agreed on a trial period, and now...\I want to make it official!\Let's get this out of the way. response:	I can't accept that.
context: I've gotta at least manage my own love life!\Bear with me, Ruka-chan!\There's something I need to say.\Kazuya-kun?\We agreed on a trial period, and now...\I want to make it official!\Let's get this out of the way.\I can't accept that. response:	Just take it.
context: Bear with me, Ruka-chan!\There's something I need to say.\Kazuya-kun?\We agreed on a trial period, and now...\I want to make it official!\Let's get this out of the way.\I can't accept that.\Just take it. response:	Come on! This won't be an enjoyable date with cash just lying on the table!
context: There's something I need to say.\Kazuya-kun?\We agreed on a trial period, and now...\I want to make it official!\Let's get this out of the way.\I can't accept that.\Just take it.\Come on! This won't be an enjoyable date with cash just lying on the table! response:	Put it away. Here.
context: Kazuya-kun?\We agreed on a trial period, and now...\I want to make it official!\Let's get this out of the way.\I can't accept that.\Just take it.\Come on! This won't be an enjoyable date with cash just lying on the table!\Put it away. Here. response:	How long have you known about my job?
context: We agreed on a trial period, and now...\I want to make it official!\Let's get this out of the way.\I can't accept that.\Just take it.\Come on! This won't be an enjoyable date with cash just lying on the table!\Put it away. Here.\How long have you known about my job? response:	For a week or two, I guess?
context: I want to make it official!\Let's get this out of the way.\I can't accept that.\Just take it.\Come on! This won't be an enjoyable date with cash just lying on the table!\Put it away. Here.\How long have you known about my job?\For a week or two, I guess? response:	I happened to look up rental girlfriends and found out.
context: Let's get this out of the way.\I can't accept that.\Just take it.\Come on! This won't be an enjoyable date with cash just lying on the table!\Put it away. Here.\How long have you known about my job?\For a week or two, I guess?\I happened to look up rental girlfriends and found out. response:	You're super popular, huh?
context: I can't accept that.\Just take it.\Come on! This won't be an enjoyable date with cash just lying on the table!\Put it away. Here.\How long have you known about my job?\For a week or two, I guess?\I happened to look up rental girlfriends and found out.\You're super popular, huh? response:	Rookie Batch
context: Just take it.\Come on! This won't be an enjoyable date with cash just lying on the table!\Put it away. Here.\How long have you known about my job?\For a week or two, I guess?\I happened to look up rental girlfriends and found out.\You're super popular, huh?\Rookie Batch response:	This Month Last Month Two Months Ago
context: Come on! This won't be an enjoyable date with cash just lying on the table!\Put it away. Here.\How long have you known about my job?\For a week or two, I guess?\I happened to look up rental girlfriends and found out.\You're super popular, huh?\Rookie Batch\This Month Last Month Two Months Ago response:	It says here that you're number one among the rookies.
context: Put it away. Here.\How long have you known about my job?\For a week or two, I guess?\I happened to look up rental girlfriends and found out.\You're super popular, huh?\Rookie Batch\This Month Last Month Two Months Ago\It says here that you're number one among the rookies. response:	Rookie Batch
context: How long have you known about my job?\For a week or two, I guess?\I happened to look up rental girlfriends and found out.\You're super popular, huh?\Rookie Batch\This Month Last Month Two Months Ago\It says here that you're number one among the rookies.\Rookie Batch response:	This Month Last Month Two Months Ago
context: For a week or two, I guess?\I happened to look up rental girlfriends and found out.\You're super popular, huh?\Rookie Batch\This Month Last Month Two Months Ago\It says here that you're number one among the rookies.\Rookie Batch\This Month Last Month Two Months Ago response:	What do you usually sing at karaoke?
context: I happened to look up rental girlfriends and found out.\You're super popular, huh?\Rookie Batch\This Month Last Month Two Months Ago\It says here that you're number one among the rookies.\Rookie Batch\This Month Last Month Two Months Ago\What do you usually sing at karaoke? response:	It depends on the client.
context: You're super popular, huh?\Rookie Batch\This Month Last Month Two Months Ago\It says here that you're number one among the rookies.\Rookie Batch\This Month Last Month Two Months Ago\What do you usually sing at karaoke?\It depends on the client. response:	It'd be pointless to sing a song they don't know.
context: Rookie Batch\This Month Last Month Two Months Ago\It says here that you're number one among the rookies.\Rookie Batch\This Month Last Month Two Months Ago\What do you usually sing at karaoke?\It depends on the client.\It'd be pointless to sing a song they don't know. response:	Wow, you're versatile, huh? Then...
context: This Month Last Month Two Months Ago\It says here that you're number one among the rookies.\Rookie Batch\This Month Last Month Two Months Ago\What do you usually sing at karaoke?\It depends on the client.\It'd be pointless to sing a song they don't know.\Wow, you're versatile, huh? Then... response:	How about when you're with someone around your age?
context: It says here that you're number one among the rookies.\Rookie Batch\This Month Last Month Two Months Ago\What do you usually sing at karaoke?\It depends on the client.\It'd be pointless to sing a song they don't know.\Wow, you're versatile, huh? Then...\How about when you're with someone around your age? response:	You know, like Kazu-kun.
context: Rookie Batch\This Month Last Month Two Months Ago\What do you usually sing at karaoke?\It depends on the client.\It'd be pointless to sing a song they don't know.\Wow, you're versatile, huh? Then...\How about when you're with someone around your age?\You know, like Kazu-kun. response:	I've never been to karaoke with Kazuya-san.
context: This Month Last Month Two Months Ago\What do you usually sing at karaoke?\It depends on the client.\It'd be pointless to sing a song they don't know.\Wow, you're versatile, huh? Then...\How about when you're with someone around your age?\You know, like Kazu-kun.\I've never been to karaoke with Kazuya-san. response:	But if I did, I would probably go with the peggies or halca.
context: What do you usually sing at karaoke?\It depends on the client.\It'd be pointless to sing a song they don't know.\Wow, you're versatile, huh? Then...\How about when you're with someone around your age?\You know, like Kazu-kun.\I've never been to karaoke with Kazuya-san.\But if I did, I would probably go with the peggies or halca. response:	the peggies are great! I love them, too!
context: It depends on the client.\It'd be pointless to sing a song they don't know.\Wow, you're versatile, huh? Then...\How about when you're with someone around your age?\You know, like Kazu-kun.\I've never been to karaoke with Kazuya-san.\But if I did, I would probably go with the peggies or halca.\the peggies are great! I love them, too! response:	Sing one for me.
context: It'd be pointless to sing a song they don't know.\Wow, you're versatile, huh? Then...\How about when you're with someone around your age?\You know, like Kazu-kun.\I've never been to karaoke with Kazuya-san.\But if I did, I would probably go with the peggies or halca.\the peggies are great! I love them, too!\Sing one for me. response:	Centimeter queued
context: Wow, you're versatile, huh? Then...\How about when you're with someone around your age?\You know, like Kazu-kun.\I've never been to karaoke with Kazuya-san.\But if I did, I would probably go with the peggies or halca.\the peggies are great! I love them, too!\Sing one for me.\Centimeter queued response:	Would you mind telling me why you booked this date?
context: How about when you're with someone around your age?\You know, like Kazu-kun.\I've never been to karaoke with Kazuya-san.\But if I did, I would probably go with the peggies or halca.\the peggies are great! I love them, too!\Sing one for me.\Centimeter queued\Would you mind telling me why you booked this date? response:	I can't imagine this is just about karaoke.
context: You know, like Kazu-kun.\I've never been to karaoke with Kazuya-san.\But if I did, I would probably go with the peggies or halca.\the peggies are great! I love them, too!\Sing one for me.\Centimeter queued\Would you mind telling me why you booked this date?\I can't imagine this is just about karaoke. response:	Sing. For. Me.
context: I've never been to karaoke with Kazuya-san.\But if I did, I would probably go with the peggies or halca.\the peggies are great! I love them, too!\Sing one for me.\Centimeter queued\Would you mind telling me why you booked this date?\I can't imagine this is just about karaoke.\Sing. For. Me. response:	What the hell?
context: But if I did, I would probably go with the peggies or halca.\the peggies are great! I love them, too!\Sing one for me.\Centimeter queued\Would you mind telling me why you booked this date?\I can't imagine this is just about karaoke.\Sing. For. Me.\What the hell? response:	Why are Mami-chan and Mizuhara together?
context: the peggies are great! I love them, too!\Sing one for me.\Centimeter queued\Would you mind telling me why you booked this date?\I can't imagine this is just about karaoke.\Sing. For. Me.\What the hell?\Why are Mami-chan and Mizuhara together? response:	They don't have each other's contact info. Did they run into each other?
context: Sing one for me.\Centimeter queued\Would you mind telling me why you booked this date?\I can't imagine this is just about karaoke.\Sing. For. Me.\What the hell?\Why are Mami-chan and Mizuhara together?\They don't have each other's contact info. Did they run into each other? response:	And even if they did, would they randomly decide to go to karaoke?
context: Centimeter queued\Would you mind telling me why you booked this date?\I can't imagine this is just about karaoke.\Sing. For. Me.\What the hell?\Why are Mami-chan and Mizuhara together?\They don't have each other's contact info. Did they run into each other?\And even if they did, would they randomly decide to go to karaoke? response:	She must've realized something was off last time.
context: Would you mind telling me why you booked this date?\I can't imagine this is just about karaoke.\Sing. For. Me.\What the hell?\Why are Mami-chan and Mizuhara together?\They don't have each other's contact info. Did they run into each other?\And even if they did, would they randomly decide to go to karaoke?\She must've realized something was off last time. response:	Wait... Did she rent her?
context: I can't imagine this is just about karaoke.\Sing. For. Me.\What the hell?\Why are Mami-chan and Mizuhara together?\They don't have each other's contact info. Did they run into each other?\And even if they did, would they randomly decide to go to karaoke?\She must've realized something was off last time.\Wait... Did she rent her? response:	Does she know Mizuhara's a rental girlfriend?!
context: Sing. For. Me.\What the hell?\Why are Mami-chan and Mizuhara together?\They don't have each other's contact info. Did they run into each other?\And even if they did, would they randomly decide to go to karaoke?\She must've realized something was off last time.\Wait... Did she rent her?\Does she know Mizuhara's a rental girlfriend?! response:	Kazuya-kun?
context: What the hell?\Why are Mami-chan and Mizuhara together?\They don't have each other's contact info. Did they run into each other?\And even if they did, would they randomly decide to go to karaoke?\She must've realized something was off last time.\Wait... Did she rent her?\Does she know Mizuhara's a rental girlfriend?!\Kazuya-kun? response:	What are you doing?
context: Why are Mami-chan and Mizuhara together?\They don't have each other's contact info. Did they run into each other?\And even if they did, would they randomly decide to go to karaoke?\She must've realized something was off last time.\Wait... Did she rent her?\Does she know Mizuhara's a rental girlfriend?!\Kazuya-kun?\What are you doing? response:	Is something up with this room?
context: They don't have each other's contact info. Did they run into each other?\And even if they did, would they randomly decide to go to karaoke?\She must've realized something was off last time.\Wait... Did she rent her?\Does she know Mizuhara's a rental girlfriend?!\Kazuya-kun?\What are you doing?\Is something up with this room? response:	N-No, nothing!
context: And even if they did, would they randomly decide to go to karaoke?\She must've realized something was off last time.\Wait... Did she rent her?\Does she know Mizuhara's a rental girlfriend?!\Kazuya-kun?\What are you doing?\Is something up with this room?\N-No, nothing! response:	Let's get back to work before the manager shows up!
context: She must've realized something was off last time.\Wait... Did she rent her?\Does she know Mizuhara's a rental girlfriend?!\Kazuya-kun?\What are you doing?\Is something up with this room?\N-No, nothing!\Let's get back to work before the manager shows up! response:	Wow! You're a really good singer!
context: Wait... Did she rent her?\Does she know Mizuhara's a rental girlfriend?!\Kazuya-kun?\What are you doing?\Is something up with this room?\N-No, nothing!\Let's get back to work before the manager shows up!\Wow! You're a really good singer! response:	And Kazu-kun's never heard you sing? He's totally missing out!
context: Does she know Mizuhara's a rental girlfriend?!\Kazuya-kun?\What are you doing?\Is something up with this room?\N-No, nothing!\Let's get back to work before the manager shows up!\Wow! You're a really good singer!\And Kazu-kun's never heard you sing? He's totally missing out! response:	Where do you go with him?
context: Kazuya-kun?\What are you doing?\Is something up with this room?\N-No, nothing!\Let's get back to work before the manager shows up!\Wow! You're a really good singer!\And Kazu-kun's never heard you sing? He's totally missing out!\Where do you go with him? response:	I'm afraid I can't discuss that.
context: What are you doing?\Is something up with this room?\N-No, nothing!\Let's get back to work before the manager shows up!\Wow! You're a really good singer!\And Kazu-kun's never heard you sing? He's totally missing out!\Where do you go with him?\I'm afraid I can't discuss that. response:	Ah, protecting your client's confidentiality? How cool.
context: Is something up with this room?\N-No, nothing!\Let's get back to work before the manager shows up!\Wow! You're a really good singer!\And Kazu-kun's never heard you sing? He's totally missing out!\Where do you go with him?\I'm afraid I can't discuss that.\Ah, protecting your client's confidentiality? How cool. response:	Yeah, no.
context: N-No, nothing!\Let's get back to work before the manager shows up!\Wow! You're a really good singer!\And Kazu-kun's never heard you sing? He's totally missing out!\Where do you go with him?\I'm afraid I can't discuss that.\Ah, protecting your client's confidentiality? How cool.\Yeah, no. response:	I can't focus on anything right now.
context: Let's get back to work before the manager shows up!\Wow! You're a really good singer!\And Kazu-kun's never heard you sing? He's totally missing out!\Where do you go with him?\I'm afraid I can't discuss that.\Ah, protecting your client's confidentiality? How cool.\Yeah, no.\I can't focus on anything right now. response:	What are they talking about in there? My brain's about to explode!
context: Wow! You're a really good singer!\And Kazu-kun's never heard you sing? He's totally missing out!\Where do you go with him?\I'm afraid I can't discuss that.\Ah, protecting your client's confidentiality? How cool.\Yeah, no.\I can't focus on anything right now.\What are they talking about in there? My brain's about to explode! response:	I have to return your money.
context: And Kazu-kun's never heard you sing? He's totally missing out!\Where do you go with him?\I'm afraid I can't discuss that.\Ah, protecting your client's confidentiality? How cool.\Yeah, no.\I can't focus on anything right now.\What are they talking about in there? My brain's about to explode!\I have to return your money. response:	Money? So I was right!
context: Where do you go with him?\I'm afraid I can't discuss that.\Ah, protecting your client's confidentiality? How cool.\Yeah, no.\I can't focus on anything right now.\What are they talking about in there? My brain's about to explode!\I have to return your money.\Money? So I was right! response:	I don't think I'm doing my job as a girlfriend right now.
context: I'm afraid I can't discuss that.\Ah, protecting your client's confidentiality? How cool.\Yeah, no.\I can't focus on anything right now.\What are they talking about in there? My brain's about to explode!\I have to return your money.\Money? So I was right!\I don't think I'm doing my job as a girlfriend right now. response:	I don't deserve to be paid for this.
context: Ah, protecting your client's confidentiality? How cool.\Yeah, no.\I can't focus on anything right now.\What are they talking about in there? My brain's about to explode!\I have to return your money.\Money? So I was right!\I don't think I'm doing my job as a girlfriend right now.\I don't deserve to be paid for this. response:	What are you talking about?
context: Yeah, no.\I can't focus on anything right now.\What are they talking about in there? My brain's about to explode!\I have to return your money.\Money? So I was right!\I don't think I'm doing my job as a girlfriend right now.\I don't deserve to be paid for this.\What are you talking about? response:	You're doing fine. You're plenty cute as you are.
context: I can't focus on anything right now.\What are they talking about in there? My brain's about to explode!\I have to return your money.\Money? So I was right!\I don't think I'm doing my job as a girlfriend right now.\I don't deserve to be paid for this.\What are you talking about?\You're doing fine. You're plenty cute as you are. response:	Besides, I wanted to meet the real you, anyway.
context: What are they talking about in there? My brain's about to explode!\I have to return your money.\Money? So I was right!\I don't think I'm doing my job as a girlfriend right now.\I don't deserve to be paid for this.\What are you talking about?\You're doing fine. You're plenty cute as you are.\Besides, I wanted to meet the real you, anyway. response:	Brilliant.
context: I have to return your money.\Money? So I was right!\I don't think I'm doing my job as a girlfriend right now.\I don't deserve to be paid for this.\What are you talking about?\You're doing fine. You're plenty cute as you are.\Besides, I wanted to meet the real you, anyway.\Brilliant. response:	You've played the role of Kazu-kun's girlfriend perfectly for a whole year.
context: Money? So I was right!\I don't think I'm doing my job as a girlfriend right now.\I don't deserve to be paid for this.\What are you talking about?\You're doing fine. You're plenty cute as you are.\Besides, I wanted to meet the real you, anyway.\Brilliant.\You've played the role of Kazu-kun's girlfriend perfectly for a whole year. response:	You totally had me.
context: I don't think I'm doing my job as a girlfriend right now.\I don't deserve to be paid for this.\What are you talking about?\You're doing fine. You're plenty cute as you are.\Besides, I wanted to meet the real you, anyway.\Brilliant.\You've played the role of Kazu-kun's girlfriend perfectly for a whole year.\You totally had me. response:	That's so impressive. Just consider that your prize money.
context: I don't deserve to be paid for this.\What are you talking about?\You're doing fine. You're plenty cute as you are.\Besides, I wanted to meet the real you, anyway.\Brilliant.\You've played the role of Kazu-kun's girlfriend perfectly for a whole year.\You totally had me.\That's so impressive. Just consider that your prize money. response:	Sorry about the unpleasant surprise today.
context: What are you talking about?\You're doing fine. You're plenty cute as you are.\Besides, I wanted to meet the real you, anyway.\Brilliant.\You've played the role of Kazu-kun's girlfriend perfectly for a whole year.\You totally had me.\That's so impressive. Just consider that your prize money.\Sorry about the unpleasant surprise today. response:	But now I know what a rental girlfriend is all about.
context: You're doing fine. You're plenty cute as you are.\Besides, I wanted to meet the real you, anyway.\Brilliant.\You've played the role of Kazu-kun's girlfriend perfectly for a whole year.\You totally had me.\That's so impressive. Just consider that your prize money.\Sorry about the unpleasant surprise today.\But now I know what a rental girlfriend is all about. response:	And I have zero intention of criticizing your line of work.
context: Besides, I wanted to meet the real you, anyway.\Brilliant.\You've played the role of Kazu-kun's girlfriend perfectly for a whole year.\You totally had me.\That's so impressive. Just consider that your prize money.\Sorry about the unpleasant surprise today.\But now I know what a rental girlfriend is all about.\And I have zero intention of criticizing your line of work. response:	But let me just say one thing.
context: Brilliant.\You've played the role of Kazu-kun's girlfriend perfectly for a whole year.\You totally had me.\That's so impressive. Just consider that your prize money.\Sorry about the unpleasant surprise today.\But now I know what a rental girlfriend is all about.\And I have zero intention of criticizing your line of work.\But let me just say one thing. response:	Mizuhara Chizuru
context: You've played the role of Kazu-kun's girlfriend perfectly for a whole year.\You totally had me.\That's so impressive. Just consider that your prize money.\Sorry about the unpleasant surprise today.\But now I know what a rental girlfriend is all about.\And I have zero intention of criticizing your line of work.\But let me just say one thing.\Mizuhara Chizuru response:	A pure and refined high-class girlfriend
context: You totally had me.\That's so impressive. Just consider that your prize money.\Sorry about the unpleasant surprise today.\But now I know what a rental girlfriend is all about.\And I have zero intention of criticizing your line of work.\But let me just say one thing.\Mizuhara Chizuru\A pure and refined high-class girlfriend response:	Drop this fake couple business right now.
context: That's so impressive. Just consider that your prize money.\Sorry about the unpleasant surprise today.\But now I know what a rental girlfriend is all about.\And I have zero intention of criticizing your line of work.\But let me just say one thing.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Drop this fake couple business right now. response:	I mean, the people at college seriously believe it's real.
context: Sorry about the unpleasant surprise today.\But now I know what a rental girlfriend is all about.\And I have zero intention of criticizing your line of work.\But let me just say one thing.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Drop this fake couple business right now.\I mean, the people at college seriously believe it's real. response:	I can't watch it go on.
