context: GDF Base on the Front Lines Undina Air Space response:	<The primitive beings! Hunt them down to the last one!>
context: Hurry up on your report.\And what are you drawing?\The theme is Love and Justice.\I didn't ask.\What'll happen? I mean, if Undina falls?\Wouldn't that be pretty bad?\Do you think the enemy really looks like aliens?\Dunno. They haven't been able to confirm even that much. response:	We probably won't be sent hunting for a good while yet.
context: And what are you drawing?\The theme is Love and Justice.\I didn't ask.\What'll happen? I mean, if Undina falls?\Wouldn't that be pretty bad?\Do you think the enemy really looks like aliens?\Dunno. They haven't been able to confirm even that much.\We probably won't be sent hunting for a good while yet. response:	I wonder if my love will bear fruit first...?
context: The theme is Love and Justice.\I didn't ask.\What'll happen? I mean, if Undina falls?\Wouldn't that be pretty bad?\Do you think the enemy really looks like aliens?\Dunno. They haven't been able to confirm even that much.\We probably won't be sent hunting for a good while yet.\I wonder if my love will bear fruit first...? response:	Isn't your bosom the only thing growing?
context: I didn't ask.\What'll happen? I mean, if Undina falls?\Wouldn't that be pretty bad?\Do you think the enemy really looks like aliens?\Dunno. They haven't been able to confirm even that much.\We probably won't be sent hunting for a good while yet.\I wonder if my love will bear fruit first...?\Isn't your bosom the only thing growing? response:	That's not true. I'm sure it'll work out...
context: What'll happen? I mean, if Undina falls?\Wouldn't that be pretty bad?\Do you think the enemy really looks like aliens?\Dunno. They haven't been able to confirm even that much.\We probably won't be sent hunting for a good while yet.\I wonder if my love will bear fruit first...?\Isn't your bosom the only thing growing?\That's not true. I'm sure it'll work out... response:	When'll that be?! Is it soon or a long ways off?
context: Wouldn't that be pretty bad?\Do you think the enemy really looks like aliens?\Dunno. They haven't been able to confirm even that much.\We probably won't be sent hunting for a good while yet.\I wonder if my love will bear fruit first...?\Isn't your bosom the only thing growing?\That's not true. I'm sure it'll work out...\When'll that be?! Is it soon or a long ways off? response:	Well, I can't say...
context: Do you think the enemy really looks like aliens?\Dunno. They haven't been able to confirm even that much.\We probably won't be sent hunting for a good while yet.\I wonder if my love will bear fruit first...?\Isn't your bosom the only thing growing?\That's not true. I'm sure it'll work out...\When'll that be?! Is it soon or a long ways off?\Well, I can't say... response:	A lame attempt to comfort her will have the opposite effect.
context: Dunno. They haven't been able to confirm even that much.\We probably won't be sent hunting for a good while yet.\I wonder if my love will bear fruit first...?\Isn't your bosom the only thing growing?\That's not true. I'm sure it'll work out...\When'll that be?! Is it soon or a long ways off?\Well, I can't say...\A lame attempt to comfort her will have the opposite effect. response:	Seriously.
context: We probably won't be sent hunting for a good while yet.\I wonder if my love will bear fruit first...?\Isn't your bosom the only thing growing?\That's not true. I'm sure it'll work out...\When'll that be?! Is it soon or a long ways off?\Well, I can't say...\A lame attempt to comfort her will have the opposite effect.\Seriously. response:	You totally don't get how a girl's heart works.
context: I wonder if my love will bear fruit first...?\Isn't your bosom the only thing growing?\That's not true. I'm sure it'll work out...\When'll that be?! Is it soon or a long ways off?\Well, I can't say...\A lame attempt to comfort her will have the opposite effect.\Seriously.\You totally don't get how a girl's heart works. response:	Instructor Suzukaze, Commander Simon would like to see you.
context: Isn't your bosom the only thing growing?\That's not true. I'm sure it'll work out...\When'll that be?! Is it soon or a long ways off?\Well, I can't say...\A lame attempt to comfort her will have the opposite effect.\Seriously.\You totally don't get how a girl's heart works.\Instructor Suzukaze, Commander Simon would like to see you. response:	I let myself in.
context: That's not true. I'm sure it'll work out...\When'll that be?! Is it soon or a long ways off?\Well, I can't say...\A lame attempt to comfort her will have the opposite effect.\Seriously.\You totally don't get how a girl's heart works.\Instructor Suzukaze, Commander Simon would like to see you.\I let myself in. response:	Did you call for me?
context: When'll that be?! Is it soon or a long ways off?\Well, I can't say...\A lame attempt to comfort her will have the opposite effect.\Seriously.\You totally don't get how a girl's heart works.\Instructor Suzukaze, Commander Simon would like to see you.\I let myself in.\Did you call for me? response:	We have received a sortie request from GDF.
context: Well, I can't say...\A lame attempt to comfort her will have the opposite effect.\Seriously.\You totally don't get how a girl's heart works.\Instructor Suzukaze, Commander Simon would like to see you.\I let myself in.\Did you call for me?\We have received a sortie request from GDF. response:	Is that...?
context: A lame attempt to comfort her will have the opposite effect.\Seriously.\You totally don't get how a girl's heart works.\Instructor Suzukaze, Commander Simon would like to see you.\I let myself in.\Did you call for me?\We have received a sortie request from GDF.\Is that...? response:	We are participating in the Undina Evacuation Plan.
context: Seriously.\You totally don't get how a girl's heart works.\Instructor Suzukaze, Commander Simon would like to see you.\I let myself in.\Did you call for me?\We have received a sortie request from GDF.\Is that...?\We are participating in the Undina Evacuation Plan. response:	Evacuation?!
context: You totally don't get how a girl's heart works.\Instructor Suzukaze, Commander Simon would like to see you.\I let myself in.\Did you call for me?\We have received a sortie request from GDF.\Is that...?\We are participating in the Undina Evacuation Plan.\Evacuation?! response:	Gather Team Rabbits together and have them prepare to leave immediately.
context: Instructor Suzukaze, Commander Simon would like to see you.\I let myself in.\Did you call for me?\We have received a sortie request from GDF.\Is that...?\We are participating in the Undina Evacuation Plan.\Evacuation?!\Gather Team Rabbits together and have them prepare to leave immediately. response:	They aren't ready for this yet!
context: I let myself in.\Did you call for me?\We have received a sortie request from GDF.\Is that...?\We are participating in the Undina Evacuation Plan.\Evacuation?!\Gather Team Rabbits together and have them prepare to leave immediately.\They aren't ready for this yet! response:	Hurry.
context: Did you call for me?\We have received a sortie request from GDF.\Is that...?\We are participating in the Undina Evacuation Plan.\Evacuation?!\Gather Team Rabbits together and have them prepare to leave immediately.\They aren't ready for this yet!\Hurry. response:	Yes, sir...
context: We have received a sortie request from GDF.\Is that...?\We are participating in the Undina Evacuation Plan.\Evacuation?!\Gather Team Rabbits together and have them prepare to leave immediately.\They aren't ready for this yet!\Hurry.\Yes, sir... response:	Team Rabbits, report to Gate 0131 ASAP.
context: Is that...?\We are participating in the Undina Evacuation Plan.\Evacuation?!\Gather Team Rabbits together and have them prepare to leave immediately.\They aren't ready for this yet!\Hurry.\Yes, sir...\Team Rabbits, report to Gate 0131 ASAP. response:	Gate 0131? Doesn't that gate lead to outer space?
context: We are participating in the Undina Evacuation Plan.\Evacuation?!\Gather Team Rabbits together and have them prepare to leave immediately.\They aren't ready for this yet!\Hurry.\Yes, sir...\Team Rabbits, report to Gate 0131 ASAP.\Gate 0131? Doesn't that gate lead to outer space? response:	Why? Are they gonna exile us?
context: Evacuation?!\Gather Team Rabbits together and have them prepare to leave immediately.\They aren't ready for this yet!\Hurry.\Yes, sir...\Team Rabbits, report to Gate 0131 ASAP.\Gate 0131? Doesn't that gate lead to outer space?\Why? Are they gonna exile us? response:	They wouldn't!
context: Gather Team Rabbits together and have them prepare to leave immediately.\They aren't ready for this yet!\Hurry.\Yes, sir...\Team Rabbits, report to Gate 0131 ASAP.\Gate 0131? Doesn't that gate lead to outer space?\Why? Are they gonna exile us?\They wouldn't! response:	Special training?
context: They aren't ready for this yet!\Hurry.\Yes, sir...\Team Rabbits, report to Gate 0131 ASAP.\Gate 0131? Doesn't that gate lead to outer space?\Why? Are they gonna exile us?\They wouldn't!\Special training? response:	And here I was in the groove...
