context: Master! Master! response:	Something's approaching.
context: It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary... response:	Reg, are you able to stretch your arm up there?
context: Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there? response:	Maybe with both arms, or...
context: What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or... response:	Let's give it a try.
context: Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try. response:	Seems I managed to re-
context: I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re- response:	Reg, what's wrong?
context: So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong? response:	Something has...
context: A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has... response:	grabbed...
context: They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed... response:	my arms.
context: Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed...\my arms. response:	So she's still alive... that brat.
context: Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed...\my arms.\So she's still alive... that brat. response:	True secrets do not lie concealed in the darkness of night or in clever traps,
context: Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed...\my arms.\So she's still alive... that brat.\True secrets do not lie concealed in the darkness of night or in clever traps, response:	but rather are hidden deep within people.
context: Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed...\my arms.\So she's still alive... that brat.\True secrets do not lie concealed in the darkness of night or in clever traps,\but rather are hidden deep within people. response:	By spending many moons in such an isolated place,
context: Reg, what's wrong?\Something has...\grabbed...\my arms.\So she's still alive... that brat.\True secrets do not lie concealed in the darkness of night or in clever traps,\but rather are hidden deep within people.\By spending many moons in such an isolated place, response:	their purity is refined,
context: Something has...\grabbed...\my arms.\So she's still alive... that brat.\True secrets do not lie concealed in the darkness of night or in clever traps,\but rather are hidden deep within people.\By spending many moons in such an isolated place,\their purity is refined, response:	and they gradually transform into strange enigmas...
context: grabbed...\my arms.\So she's still alive... that brat.\True secrets do not lie concealed in the darkness of night or in clever traps,\but rather are hidden deep within people.\By spending many moons in such an isolated place,\their purity is refined,\and they gradually transform into strange enigmas... response:	Riko, you alright?
context: my arms.\So she's still alive... that brat.\True secrets do not lie concealed in the darkness of night or in clever traps,\but rather are hidden deep within people.\By spending many moons in such an isolated place,\their purity is refined,\and they gradually transform into strange enigmas...\Riko, you alright? response:	Oh, my... Well done enduring the ascent.
context: So she's still alive... that brat.\True secrets do not lie concealed in the darkness of night or in clever traps,\but rather are hidden deep within people.\By spending many moons in such an isolated place,\their purity is refined,\and they gradually transform into strange enigmas...\Riko, you alright?\Oh, my... Well done enduring the ascent. response:	Although the strain is somewhat lightened around here,
context: True secrets do not lie concealed in the darkness of night or in clever traps,\but rather are hidden deep within people.\By spending many moons in such an isolated place,\their purity is refined,\and they gradually transform into strange enigmas...\Riko, you alright?\Oh, my... Well done enduring the ascent.\Although the strain is somewhat lightened around here, response:	I suspect that was still hard on children such as yourselves.
context: but rather are hidden deep within people.\By spending many moons in such an isolated place,\their purity is refined,\and they gradually transform into strange enigmas...\Riko, you alright?\Oh, my... Well done enduring the ascent.\Although the strain is somewhat lightened around here,\I suspect that was still hard on children such as yourselves. response:	U-uh, I'm...
context: By spending many moons in such an isolated place,\their purity is refined,\and they gradually transform into strange enigmas...\Riko, you alright?\Oh, my... Well done enduring the ascent.\Although the strain is somewhat lightened around here,\I suspect that was still hard on children such as yourselves.\U-uh, I'm... response:	My name's Riko.
context: their purity is refined,\and they gradually transform into strange enigmas...\Riko, you alright?\Oh, my... Well done enduring the ascent.\Although the strain is somewhat lightened around here,\I suspect that was still hard on children such as yourselves.\U-uh, I'm...\My name's Riko. response:	Riko!
context: and they gradually transform into strange enigmas...\Riko, you alright?\Oh, my... Well done enduring the ascent.\Although the strain is somewhat lightened around here,\I suspect that was still hard on children such as yourselves.\U-uh, I'm...\My name's Riko.\Riko! response:	I know! You're Lyza's kid, right?
context: Riko, you alright?\Oh, my... Well done enduring the ascent.\Although the strain is somewhat lightened around here,\I suspect that was still hard on children such as yourselves.\U-uh, I'm...\My name's Riko.\Riko!\I know! You're Lyza's kid, right? response:	How filthy...
context: Oh, my... Well done enduring the ascent.\Although the strain is somewhat lightened around here,\I suspect that was still hard on children such as yourselves.\U-uh, I'm...\My name's Riko.\Riko!\I know! You're Lyza's kid, right?\How filthy... response:	Oh, I see the boy is doing fine.
context: Although the strain is somewhat lightened around here,\I suspect that was still hard on children such as yourselves.\U-uh, I'm...\My name's Riko.\Riko!\I know! You're Lyza's kid, right?\How filthy...\Oh, I see the boy is doing fine. response:	Now that I've seen her up close... She's towering...
context: I suspect that was still hard on children such as yourselves.\U-uh, I'm...\My name's Riko.\Riko!\I know! You're Lyza's kid, right?\How filthy...\Oh, I see the boy is doing fine.\Now that I've seen her up close... She's towering... response:	I bet she's over two meters tall...
context: U-uh, I'm...\My name's Riko.\Riko!\I know! You're Lyza's kid, right?\How filthy...\Oh, I see the boy is doing fine.\Now that I've seen her up close... She's towering...\I bet she's over two meters tall... response:	Her hair...
context: My name's Riko.\Riko!\I know! You're Lyza's kid, right?\How filthy...\Oh, I see the boy is doing fine.\Now that I've seen her up close... She's towering...\I bet she's over two meters tall...\Her hair... response:	How does she smooth it down to get it to look like that?
context: Riko!\I know! You're Lyza's kid, right?\How filthy...\Oh, I see the boy is doing fine.\Now that I've seen her up close... She's towering...\I bet she's over two meters tall...\Her hair...\How does she smooth it down to get it to look like that? response:	On top of that...
context: I know! You're Lyza's kid, right?\How filthy...\Oh, I see the boy is doing fine.\Now that I've seen her up close... She's towering...\I bet she's over two meters tall...\Her hair...\How does she smooth it down to get it to look like that?\On top of that... response:	there's that white whistle.
context: How filthy...\Oh, I see the boy is doing fine.\Now that I've seen her up close... She's towering...\I bet she's over two meters tall...\Her hair...\How does she smooth it down to get it to look like that?\On top of that...\there's that white whistle. response:	This woman must be the White Whistle...
context: Oh, I see the boy is doing fine.\Now that I've seen her up close... She's towering...\I bet she's over two meters tall...\Her hair...\How does she smooth it down to get it to look like that?\On top of that...\there's that white whistle.\This woman must be the White Whistle... response:	Ozen the Immovable!
context: Now that I've seen her up close... She's towering...\I bet she's over two meters tall...\Her hair...\How does she smooth it down to get it to look like that?\On top of that...\there's that white whistle.\This woman must be the White Whistle...\Ozen the Immovable! response:	Daremo ga sakaraezu ni mogutteiku
context: I bet she's over two meters tall...\Her hair...\How does she smooth it down to get it to look like that?\On top of that...\there's that white whistle.\This woman must be the White Whistle...\Ozen the Immovable!\Daremo ga sakaraezu ni mogutteiku response:	Sono me o tomoshibi yori kagayakasete
context: Her hair...\How does she smooth it down to get it to look like that?\On top of that...\there's that white whistle.\This woman must be the White Whistle...\Ozen the Immovable!\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete response:	Mezasu saki wa fukaku
context: How does she smooth it down to get it to look like that?\On top of that...\there's that white whistle.\This woman must be the White Whistle...\Ozen the Immovable!\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku response:	Massugu ni mayoikomu
context: On top of that...\there's that white whistle.\This woman must be the White Whistle...\Ozen the Immovable!\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu response:	Kuchiaketa naraku no wana
context: there's that white whistle.\This woman must be the White Whistle...\Ozen the Immovable!\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana response:	Shinjitsu no ato o oikakeyou
context: This woman must be the White Whistle...\Ozen the Immovable!\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou response:	Ima kotae ga mitsukaru nara zenbu nakushitemo ii
context: Ozen the Immovable!\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii response:	Sono koe o hanasanai youni kodama ga mada hibiiteru
context: Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru response:	Rashinban wa zutto
context: Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto response:	Yami o sashita mama
context: Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama response:	Nigeba no nai
context: Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai response:	Hou e
context: Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e response:	Sore ga noroi demo
context: Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo response:	Kodou wa honmono
context: Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono response:	Nidoto akogare wa tomaranai
context: Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai response:	This whistle... to think that I'd actually see it again...
context: Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\This whistle... to think that I'd actually see it again... response:	Um... you must be Ozen... right?!
context: Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\This whistle... to think that I'd actually see it again...\Um... you must be Ozen... right?! response:	I heard you're the one who found that whistle.
context: Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\This whistle... to think that I'd actually see it again...\Um... you must be Ozen... right?!\I heard you're the one who found that whistle. response:	That's right. I'm Ozen.
context: Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\This whistle... to think that I'd actually see it again...\Um... you must be Ozen... right?!\I heard you're the one who found that whistle.\That's right. I'm Ozen. response:	W-well...
context: Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\This whistle... to think that I'd actually see it again...\Um... you must be Ozen... right?!\I heard you're the one who found that whistle.\That's right. I'm Ozen.\W-well... response:	Thank you for saving me!
context: Kodou wa honmono\Nidoto akogare wa tomaranai\This whistle... to think that I'd actually see it again...\Um... you must be Ozen... right?!\I heard you're the one who found that whistle.\That's right. I'm Ozen.\W-well...\Thank you for saving me! response:	I heard about it from Leader!
context: Nidoto akogare wa tomaranai\This whistle... to think that I'd actually see it again...\Um... you must be Ozen... right?!\I heard you're the one who found that whistle.\That's right. I'm Ozen.\W-well...\Thank you for saving me!\I heard about it from Leader! response:	He said when I was born in the Abyss, I was placed in a Curse-Repelling Vessel,
context: This whistle... to think that I'd actually see it again...\Um... you must be Ozen... right?!\I heard you're the one who found that whistle.\That's right. I'm Ozen.\W-well...\Thank you for saving me!\I heard about it from Leader!\He said when I was born in the Abyss, I was placed in a Curse-Repelling Vessel, response:	and then, together with my mother, you carried me to the surface!
context: Um... you must be Ozen... right?!\I heard you're the one who found that whistle.\That's right. I'm Ozen.\W-well...\Thank you for saving me!\I heard about it from Leader!\He said when I was born in the Abyss, I was placed in a Curse-Repelling Vessel,\and then, together with my mother, you carried me to the surface! response:	Ah, you know...
context: I heard you're the one who found that whistle.\That's right. I'm Ozen.\W-well...\Thank you for saving me!\I heard about it from Leader!\He said when I was born in the Abyss, I was placed in a Curse-Repelling Vessel,\and then, together with my mother, you carried me to the surface!\Ah, you know... response:	that thing was heavy,
context: That's right. I'm Ozen.\W-well...\Thank you for saving me!\I heard about it from Leader!\He said when I was born in the Abyss, I was placed in a Curse-Repelling Vessel,\and then, together with my mother, you carried me to the surface!\Ah, you know...\that thing was heavy, response:	and along the way I thought about just abandoning you many times.
context: W-well...\Thank you for saving me!\I heard about it from Leader!\He said when I was born in the Abyss, I was placed in a Curse-Repelling Vessel,\and then, together with my mother, you carried me to the surface!\Ah, you know...\that thing was heavy,\and along the way I thought about just abandoning you many times. response:	This really takes me back...
context: Thank you for saving me!\I heard about it from Leader!\He said when I was born in the Abyss, I was placed in a Curse-Repelling Vessel,\and then, together with my mother, you carried me to the surface!\Ah, you know...\that thing was heavy,\and along the way I thought about just abandoning you many times.\This really takes me back... response:	We even had to leave behind that precious Bell.
context: I heard about it from Leader!\He said when I was born in the Abyss, I was placed in a Curse-Repelling Vessel,\and then, together with my mother, you carried me to the surface!\Ah, you know...\that thing was heavy,\and along the way I thought about just abandoning you many times.\This really takes me back...\We even had to leave behind that precious Bell. response:	If only I had left you there, that kid would've come with me.
context: He said when I was born in the Abyss, I was placed in a Curse-Repelling Vessel,\and then, together with my mother, you carried me to the surface!\Ah, you know...\that thing was heavy,\and along the way I thought about just abandoning you many times.\This really takes me back...\We even had to leave behind that precious Bell.\If only I had left you there, that kid would've come with me. response:	Such a pity I did what I did.
context: and then, together with my mother, you carried me to the surface!\Ah, you know...\that thing was heavy,\and along the way I thought about just abandoning you many times.\This really takes me back...\We even had to leave behind that precious Bell.\If only I had left you there, that kid would've come with me.\Such a pity I did what I did. response:	Master...
context: Ah, you know...\that thing was heavy,\and along the way I thought about just abandoning you many times.\This really takes me back...\We even had to leave behind that precious Bell.\If only I had left you there, that kid would've come with me.\Such a pity I did what I did.\Master... response:	You're a Red Whistle, right?
context: that thing was heavy,\and along the way I thought about just abandoning you many times.\This really takes me back...\We even had to leave behind that precious Bell.\If only I had left you there, that kid would've come with me.\Such a pity I did what I did.\Master...\You're a Red Whistle, right? response:	You should know it's not allowed... coming to a place like this.
context: and along the way I thought about just abandoning you many times.\This really takes me back...\We even had to leave behind that precious Bell.\If only I had left you there, that kid would've come with me.\Such a pity I did what I did.\Master...\You're a Red Whistle, right?\You should know it's not allowed... coming to a place like this. response:	was summoned by my mother!
context: This really takes me back...\We even had to leave behind that precious Bell.\If only I had left you there, that kid would've come with me.\Such a pity I did what I did.\Master...\You're a Red Whistle, right?\You should know it's not allowed... coming to a place like this.\was summoned by my mother! response:	So that's why Reg and I are going to the bottom of the netherworld!
context: We even had to leave behind that precious Bell.\If only I had left you there, that kid would've come with me.\Such a pity I did what I did.\Master...\You're a Red Whistle, right?\You should know it's not allowed... coming to a place like this.\was summoned by my mother!\So that's why Reg and I are going to the bottom of the netherworld! response:	So, uh, as soon as I ask some things about my mother, we'll be gone before you know it...
context: If only I had left you there, that kid would've come with me.\Such a pity I did what I did.\Master...\You're a Red Whistle, right?\You should know it's not allowed... coming to a place like this.\was summoned by my mother!\So that's why Reg and I are going to the bottom of the netherworld!\So, uh, as soon as I ask some things about my mother, we'll be gone before you know it... response:	So, please...
context: Such a pity I did what I did.\Master...\You're a Red Whistle, right?\You should know it's not allowed... coming to a place like this.\was summoned by my mother!\So that's why Reg and I are going to the bottom of the netherworld!\So, uh, as soon as I ask some things about my mother, we'll be gone before you know it...\So, please... response:	Oh, I see.
context: Master...\You're a Red Whistle, right?\You should know it's not allowed... coming to a place like this.\was summoned by my mother!\So that's why Reg and I are going to the bottom of the netherworld!\So, uh, as soon as I ask some things about my mother, we'll be gone before you know it...\So, please...\Oh, I see. response:	So that's it.
context: You're a Red Whistle, right?\You should know it's not allowed... coming to a place like this.\was summoned by my mother!\So that's why Reg and I are going to the bottom of the netherworld!\So, uh, as soon as I ask some things about my mother, we'll be gone before you know it...\So, please...\Oh, I see.\So that's it. response:	Yes...
context: You should know it's not allowed... coming to a place like this.\was summoned by my mother!\So that's why Reg and I are going to the bottom of the netherworld!\So, uh, as soon as I ask some things about my mother, we'll be gone before you know it...\So, please...\Oh, I see.\So that's it.\Yes... response:	And you deduce that makes it okay for you to come here?
context: was summoned by my mother!\So that's why Reg and I are going to the bottom of the netherworld!\So, uh, as soon as I ask some things about my mother, we'll be gone before you know it...\So, please...\Oh, I see.\So that's it.\Yes...\And you deduce that makes it okay for you to come here? response:	I-I'm sorry.
context: So that's why Reg and I are going to the bottom of the netherworld!\So, uh, as soon as I ask some things about my mother, we'll be gone before you know it...\So, please...\Oh, I see.\So that's it.\Yes...\And you deduce that makes it okay for you to come here?\I-I'm sorry. response:	That said, I'm quite interested in how a Red Whistle even managed to make it down here.
context: So, uh, as soon as I ask some things about my mother, we'll be gone before you know it...\So, please...\Oh, I see.\So that's it.\Yes...\And you deduce that makes it okay for you to come here?\I-I'm sorry.\That said, I'm quite interested in how a Red Whistle even managed to make it down here. response:	Marulk.
context: So, please...\Oh, I see.\So that's it.\Yes...\And you deduce that makes it okay for you to come here?\I-I'm sorry.\That said, I'm quite interested in how a Red Whistle even managed to make it down here.\Marulk. response:	Yes, Master.
context: Oh, I see.\So that's it.\Yes...\And you deduce that makes it okay for you to come here?\I-I'm sorry.\That said, I'm quite interested in how a Red Whistle even managed to make it down here.\Marulk.\Yes, Master. response:	Listen to what these kids have to say.
context: So that's it.\Yes...\And you deduce that makes it okay for you to come here?\I-I'm sorry.\That said, I'm quite interested in how a Red Whistle even managed to make it down here.\Marulk.\Yes, Master.\Listen to what these kids have to say. response:	You want ME to do that?
context: Yes...\And you deduce that makes it okay for you to come here?\I-I'm sorry.\That said, I'm quite interested in how a Red Whistle even managed to make it down here.\Marulk.\Yes, Master.\Listen to what these kids have to say.\You want ME to do that? response:	Should be easier for children to talk to a fellow child.
context: And you deduce that makes it okay for you to come here?\I-I'm sorry.\That said, I'm quite interested in how a Red Whistle even managed to make it down here.\Marulk.\Yes, Master.\Listen to what these kids have to say.\You want ME to do that?\Should be easier for children to talk to a fellow child. response:	Uh, ah...
context: I-I'm sorry.\That said, I'm quite interested in how a Red Whistle even managed to make it down here.\Marulk.\Yes, Master.\Listen to what these kids have to say.\You want ME to do that?\Should be easier for children to talk to a fellow child.\Uh, ah... response:	I still have some things to attend to, you see.
context: That said, I'm quite interested in how a Red Whistle even managed to make it down here.\Marulk.\Yes, Master.\Listen to what these kids have to say.\You want ME to do that?\Should be easier for children to talk to a fellow child.\Uh, ah...\I still have some things to attend to, you see. response:	I'll hear you out tomorrow.
context: Marulk.\Yes, Master.\Listen to what these kids have to say.\You want ME to do that?\Should be easier for children to talk to a fellow child.\Uh, ah...\I still have some things to attend to, you see.\I'll hear you out tomorrow. response:	Well, both of you, here you are...
context: Yes, Master.\Listen to what these kids have to say.\You want ME to do that?\Should be easier for children to talk to a fellow child.\Uh, ah...\I still have some things to attend to, you see.\I'll hear you out tomorrow.\Well, both of you, here you are... response:	Ah, blue whistles!
context: Listen to what these kids have to say.\You want ME to do that?\Should be easier for children to talk to a fellow child.\Uh, ah...\I still have some things to attend to, you see.\I'll hear you out tomorrow.\Well, both of you, here you are...\Ah, blue whistles! response:	Just while you're here.
context: You want ME to do that?\Should be easier for children to talk to a fellow child.\Uh, ah...\I still have some things to attend to, you see.\I'll hear you out tomorrow.\Well, both of you, here you are...\Ah, blue whistles!\Just while you're here. response:	It would be a pain to keep having to explain to other cave raiders why a couple of Red Whistles are here.
context: Should be easier for children to talk to a fellow child.\Uh, ah...\I still have some things to attend to, you see.\I'll hear you out tomorrow.\Well, both of you, here you are...\Ah, blue whistles!\Just while you're here.\It would be a pain to keep having to explain to other cave raiders why a couple of Red Whistles are here. response:	As a bit of insurance, I'll be holding onto this.
context: Uh, ah...\I still have some things to attend to, you see.\I'll hear you out tomorrow.\Well, both of you, here you are...\Ah, blue whistles!\Just while you're here.\It would be a pain to keep having to explain to other cave raiders why a couple of Red Whistles are here.\As a bit of insurance, I'll be holding onto this. response:	I'll exchange it for those blue whistles when you leave.
context: I still have some things to attend to, you see.\I'll hear you out tomorrow.\Well, both of you, here you are...\Ah, blue whistles!\Just while you're here.\It would be a pain to keep having to explain to other cave raiders why a couple of Red Whistles are here.\As a bit of insurance, I'll be holding onto this.\I'll exchange it for those blue whistles when you leave. response:	Please stay the night here.
context: I'll hear you out tomorrow.\Well, both of you, here you are...\Ah, blue whistles!\Just while you're here.\It would be a pain to keep having to explain to other cave raiders why a couple of Red Whistles are here.\As a bit of insurance, I'll be holding onto this.\I'll exchange it for those blue whistles when you leave.\Please stay the night here. response:	And make sure to really give your bodies a good scrub...
context: Well, both of you, here you are...\Ah, blue whistles!\Just while you're here.\It would be a pain to keep having to explain to other cave raiders why a couple of Red Whistles are here.\As a bit of insurance, I'll be holding onto this.\I'll exchange it for those blue whistles when you leave.\Please stay the night here.\And make sure to really give your bodies a good scrub... response:	I can't stand how bad you reek of vomit.
context: Ah, blue whistles!\Just while you're here.\It would be a pain to keep having to explain to other cave raiders why a couple of Red Whistles are here.\As a bit of insurance, I'll be holding onto this.\I'll exchange it for those blue whistles when you leave.\Please stay the night here.\And make sure to really give your bodies a good scrub...\I can't stand how bad you reek of vomit. response:	First of all, I'll show you around a bit.
context: Just while you're here.\It would be a pain to keep having to explain to other cave raiders why a couple of Red Whistles are here.\As a bit of insurance, I'll be holding onto this.\I'll exchange it for those blue whistles when you leave.\Please stay the night here.\And make sure to really give your bodies a good scrub...\I can't stand how bad you reek of vomit.\First of all, I'll show you around a bit. response:	This Seeker Camp has been built within the hollows of a tree called a Great Porta.
context: It would be a pain to keep having to explain to other cave raiders why a couple of Red Whistles are here.\As a bit of insurance, I'll be holding onto this.\I'll exchange it for those blue whistles when you leave.\Please stay the night here.\And make sure to really give your bodies a good scrub...\I can't stand how bad you reek of vomit.\First of all, I'll show you around a bit.\This Seeker Camp has been built within the hollows of a tree called a Great Porta. response:	Even now, construction to expand the interior frame is still progressing little by little.
context: As a bit of insurance, I'll be holding onto this.\I'll exchange it for those blue whistles when you leave.\Please stay the night here.\And make sure to really give your bodies a good scrub...\I can't stand how bad you reek of vomit.\First of all, I'll show you around a bit.\This Seeker Camp has been built within the hollows of a tree called a Great Porta.\Even now, construction to expand the interior frame is still progressing little by little. response:	I hear the roots of this Great Porta extend outside the Abyss...
context: I'll exchange it for those blue whistles when you leave.\Please stay the night here.\And make sure to really give your bodies a good scrub...\I can't stand how bad you reek of vomit.\First of all, I'll show you around a bit.\This Seeker Camp has been built within the hollows of a tree called a Great Porta.\Even now, construction to expand the interior frame is still progressing little by little.\I hear the roots of this Great Porta extend outside the Abyss... response:	stretching all the way to the seafloor.
context: Please stay the night here.\And make sure to really give your bodies a good scrub...\I can't stand how bad you reek of vomit.\First of all, I'll show you around a bit.\This Seeker Camp has been built within the hollows of a tree called a Great Porta.\Even now, construction to expand the interior frame is still progressing little by little.\I hear the roots of this Great Porta extend outside the Abyss...\stretching all the way to the seafloor. response:	Has anyone actually verified that?
