context: Move! response:	Jackasses!
context: His feet stink!\Saber isn't the only guild people should keep an eye on!\Kagura had an awesome match too, didn't she?\Yukino-kun aside, we've got Sting-kun and a mess of other strong dudes!\You better not underestimate Mermaid!\Come on, both of you, calm down...\This segment is supposed to be used to tell everyone about the tournament!\Fro thinks so, too! response:	Ahem. Let's get back on track-kabo.
context: Saber isn't the only guild people should keep an eye on!\Kagura had an awesome match too, didn't she?\Yukino-kun aside, we've got Sting-kun and a mess of other strong dudes!\You better not underestimate Mermaid!\Come on, both of you, calm down...\This segment is supposed to be used to tell everyone about the tournament!\Fro thinks so, too!\Ahem. Let's get back on track-kabo. response:	You can see for yourself the results of the second day.
context: Kagura had an awesome match too, didn't she?\Yukino-kun aside, we've got Sting-kun and a mess of other strong dudes!\You better not underestimate Mermaid!\Come on, both of you, calm down...\This segment is supposed to be used to tell everyone about the tournament!\Fro thinks so, too!\Ahem. Let's get back on track-kabo.\You can see for yourself the results of the second day. response:	Quatro Cerberus's name has changed, huh?
context: Yukino-kun aside, we've got Sting-kun and a mess of other strong dudes!\You better not underestimate Mermaid!\Come on, both of you, calm down...\This segment is supposed to be used to tell everyone about the tournament!\Fro thinks so, too!\Ahem. Let's get back on track-kabo.\You can see for yourself the results of the second day.\Quatro Cerberus's name has changed, huh? response:	Quatro Puppy!
context: You better not underestimate Mermaid!\Come on, both of you, calm down...\This segment is supposed to be used to tell everyone about the tournament!\Fro thinks so, too!\Ahem. Let's get back on track-kabo.\You can see for yourself the results of the second day.\Quatro Cerberus's name has changed, huh?\Quatro Puppy! response:	Mermaid Heel has risen to 4th place!
context: Come on, both of you, calm down...\This segment is supposed to be used to tell everyone about the tournament!\Fro thinks so, too!\Ahem. Let's get back on track-kabo.\You can see for yourself the results of the second day.\Quatro Cerberus's name has changed, huh?\Quatro Puppy!\Mermaid Heel has risen to 4th place! response:	As always, the Fairy Tail teams are battling it out for last place!
context: This segment is supposed to be used to tell everyone about the tournament!\Fro thinks so, too!\Ahem. Let's get back on track-kabo.\You can see for yourself the results of the second day.\Quatro Cerberus's name has changed, huh?\Quatro Puppy!\Mermaid Heel has risen to 4th place!\As always, the Fairy Tail teams are battling it out for last place! response:	However! Nobody knows what could happen to shake up the standings!
context: Fro thinks so, too!\Ahem. Let's get back on track-kabo.\You can see for yourself the results of the second day.\Quatro Cerberus's name has changed, huh?\Quatro Puppy!\Mermaid Heel has risen to 4th place!\As always, the Fairy Tail teams are battling it out for last place!\However! Nobody knows what could happen to shake up the standings! response:	That's the essence of the Grand Magic Games-kabo!
context: Ahem. Let's get back on track-kabo.\You can see for yourself the results of the second day.\Quatro Cerberus's name has changed, huh?\Quatro Puppy!\Mermaid Heel has risen to 4th place!\As always, the Fairy Tail teams are battling it out for last place!\However! Nobody knows what could happen to shake up the standings!\That's the essence of the Grand Magic Games-kabo! response:	Fro thinks so, too!
context: You can see for yourself the results of the second day.\Quatro Cerberus's name has changed, huh?\Quatro Puppy!\Mermaid Heel has risen to 4th place!\As always, the Fairy Tail teams are battling it out for last place!\However! Nobody knows what could happen to shake up the standings!\That's the essence of the Grand Magic Games-kabo!\Fro thinks so, too! response:	And so, everyone, stay tuned for the third day of the tournament!
context: Quatro Cerberus's name has changed, huh?\Quatro Puppy!\Mermaid Heel has risen to 4th place!\As always, the Fairy Tail teams are battling it out for last place!\However! Nobody knows what could happen to shake up the standings!\That's the essence of the Grand Magic Games-kabo!\Fro thinks so, too!\And so, everyone, stay tuned for the third day of the tournament! response:	You better not underestimate the Grand Magic Games!
context: Quatro Puppy!\Mermaid Heel has risen to 4th place!\As always, the Fairy Tail teams are battling it out for last place!\However! Nobody knows what could happen to shake up the standings!\That's the essence of the Grand Magic Games-kabo!\Fro thinks so, too!\And so, everyone, stay tuned for the third day of the tournament!\You better not underestimate the Grand Magic Games! response:	Grudges Are Wrapped in the Silence of the Night!
context: Mermaid Heel has risen to 4th place!\As always, the Fairy Tail teams are battling it out for last place!\However! Nobody knows what could happen to shake up the standings!\That's the essence of the Grand Magic Games-kabo!\Fro thinks so, too!\And so, everyone, stay tuned for the third day of the tournament!\You better not underestimate the Grand Magic Games!\Grudges Are Wrapped in the Silence of the Night! response:	Throw away everything.
context: As always, the Fairy Tail teams are battling it out for last place!\However! Nobody knows what could happen to shake up the standings!\That's the essence of the Grand Magic Games-kabo!\Fro thinks so, too!\And so, everyone, stay tuned for the third day of the tournament!\You better not underestimate the Grand Magic Games!\Grudges Are Wrapped in the Silence of the Night!\Throw away everything. response:	Yes. I will do exactly as you say.
context: However! Nobody knows what could happen to shake up the standings!\That's the essence of the Grand Magic Games-kabo!\Fro thinks so, too!\And so, everyone, stay tuned for the third day of the tournament!\You better not underestimate the Grand Magic Games!\Grudges Are Wrapped in the Silence of the Night!\Throw away everything.\Yes. I will do exactly as you say. response:	Yukino...
context: That's the essence of the Grand Magic Games-kabo!\Fro thinks so, too!\And so, everyone, stay tuned for the third day of the tournament!\You better not underestimate the Grand Magic Games!\Grudges Are Wrapped in the Silence of the Night!\Throw away everything.\Yes. I will do exactly as you say.\Yukino... response:	Please be quiet, Frosch.
context: Fro thinks so, too!\And so, everyone, stay tuned for the third day of the tournament!\You better not underestimate the Grand Magic Games!\Grudges Are Wrapped in the Silence of the Night!\Throw away everything.\Yes. I will do exactly as you say.\Yukino...\Please be quiet, Frosch. response:	Erase your guild emblem.
context: And so, everyone, stay tuned for the third day of the tournament!\You better not underestimate the Grand Magic Games!\Grudges Are Wrapped in the Silence of the Night!\Throw away everything.\Yes. I will do exactly as you say.\Yukino...\Please be quiet, Frosch.\Erase your guild emblem. response:	Yes, sir.
context: You better not underestimate the Grand Magic Games!\Grudges Are Wrapped in the Silence of the Night!\Throw away everything.\Yes. I will do exactly as you say.\Yukino...\Please be quiet, Frosch.\Erase your guild emblem.\Yes, sir. response:	I wasn't here long, but thank you for everything.
context: Grudges Are Wrapped in the Silence of the Night!\Throw away everything.\Yes. I will do exactly as you say.\Yukino...\Please be quiet, Frosch.\Erase your guild emblem.\Yes, sir.\I wasn't here long, but thank you for everything. response:	Get out of my sight, trash.
context: Throw away everything.\Yes. I will do exactly as you say.\Yukino...\Please be quiet, Frosch.\Erase your guild emblem.\Yes, sir.\I wasn't here long, but thank you for everything.\Get out of my sight, trash. response:	Our master sure does go to extremes, y'know?
context: Yes. I will do exactly as you say.\Yukino...\Please be quiet, Frosch.\Erase your guild emblem.\Yes, sir.\I wasn't here long, but thank you for everything.\Get out of my sight, trash.\Our master sure does go to extremes, y'know? response:	It couldn't be helped. This is why we're the strongest guild.
context: Yukino...\Please be quiet, Frosch.\Erase your guild emblem.\Yes, sir.\I wasn't here long, but thank you for everything.\Get out of my sight, trash.\Our master sure does go to extremes, y'know?\It couldn't be helped. This is why we're the strongest guild. response:	Fro is sad...
context: Please be quiet, Frosch.\Erase your guild emblem.\Yes, sir.\I wasn't here long, but thank you for everything.\Get out of my sight, trash.\Our master sure does go to extremes, y'know?\It couldn't be helped. This is why we're the strongest guild.\Fro is sad... response:	Is this what a guild is?
context: Erase your guild emblem.\Yes, sir.\I wasn't here long, but thank you for everything.\Get out of my sight, trash.\Our master sure does go to extremes, y'know?\It couldn't be helped. This is why we're the strongest guild.\Fro is sad...\Is this what a guild is? response:	Yukino was a comrade.
context: Yes, sir.\I wasn't here long, but thank you for everything.\Get out of my sight, trash.\Our master sure does go to extremes, y'know?\It couldn't be helped. This is why we're the strongest guild.\Fro is sad...\Is this what a guild is?\Yukino was a comrade. response:	She's gone'cause she's weak.
context: I wasn't here long, but thank you for everything.\Get out of my sight, trash.\Our master sure does go to extremes, y'know?\It couldn't be helped. This is why we're the strongest guild.\Fro is sad...\Is this what a guild is?\Yukino was a comrade.\She's gone'cause she's weak. response:	The strongest guild didn't need her, right?
context: Get out of my sight, trash.\Our master sure does go to extremes, y'know?\It couldn't be helped. This is why we're the strongest guild.\Fro is sad...\Is this what a guild is?\Yukino was a comrade.\She's gone'cause she's weak.\The strongest guild didn't need her, right? response:	Come to think of it, I hear the lady is replacing Yukino-san.
context: Our master sure does go to extremes, y'know?\It couldn't be helped. This is why we're the strongest guild.\Fro is sad...\Is this what a guild is?\Yukino was a comrade.\She's gone'cause she's weak.\The strongest guild didn't need her, right?\Come to think of it, I hear the lady is replacing Yukino-san. response:	Oh! Now that's what I call the strongest five members!
context: It couldn't be helped. This is why we're the strongest guild.\Fro is sad...\Is this what a guild is?\Yukino was a comrade.\She's gone'cause she's weak.\The strongest guild didn't need her, right?\Come to think of it, I hear the lady is replacing Yukino-san.\Oh! Now that's what I call the strongest five members! response:	Rogue...
context: Fro is sad...\Is this what a guild is?\Yukino was a comrade.\She's gone'cause she's weak.\The strongest guild didn't need her, right?\Come to think of it, I hear the lady is replacing Yukino-san.\Oh! Now that's what I call the strongest five members!\Rogue... response:	Fro is weak. Is Fro gonna disappear too?
context: Is this what a guild is?\Yukino was a comrade.\She's gone'cause she's weak.\The strongest guild didn't need her, right?\Come to think of it, I hear the lady is replacing Yukino-san.\Oh! Now that's what I call the strongest five members!\Rogue...\Fro is weak. Is Fro gonna disappear too? response:	You're not going to disappear, Frosch.
context: Yukino was a comrade.\She's gone'cause she's weak.\The strongest guild didn't need her, right?\Come to think of it, I hear the lady is replacing Yukino-san.\Oh! Now that's what I call the strongest five members!\Rogue...\Fro is weak. Is Fro gonna disappear too?\You're not going to disappear, Frosch. response:	Because I'm with you.
context: She's gone'cause she's weak.\The strongest guild didn't need her, right?\Come to think of it, I hear the lady is replacing Yukino-san.\Oh! Now that's what I call the strongest five members!\Rogue...\Fro is weak. Is Fro gonna disappear too?\You're not going to disappear, Frosch.\Because I'm with you. response:	Right! Fro's not gonna disappear!
context: The strongest guild didn't need her, right?\Come to think of it, I hear the lady is replacing Yukino-san.\Oh! Now that's what I call the strongest five members!\Rogue...\Fro is weak. Is Fro gonna disappear too?\You're not going to disappear, Frosch.\Because I'm with you.\Right! Fro's not gonna disappear! response:	Man, what a meal!
context: Come to think of it, I hear the lady is replacing Yukino-san.\Oh! Now that's what I call the strongest five members!\Rogue...\Fro is weak. Is Fro gonna disappear too?\You're not going to disappear, Frosch.\Because I'm with you.\Right! Fro's not gonna disappear!\Man, what a meal! response:	You eat too much.
context: Oh! Now that's what I call the strongest five members!\Rogue...\Fro is weak. Is Fro gonna disappear too?\You're not going to disappear, Frosch.\Because I'm with you.\Right! Fro's not gonna disappear!\Man, what a meal!\You eat too much. response:	I'm stuffed, too.
context: Rogue...\Fro is weak. Is Fro gonna disappear too?\You're not going to disappear, Frosch.\Because I'm with you.\Right! Fro's not gonna disappear!\Man, what a meal!\You eat too much.\I'm stuffed, too. response:	Is the inn around here?
context: Fro is weak. Is Fro gonna disappear too?\You're not going to disappear, Frosch.\Because I'm with you.\Right! Fro's not gonna disappear!\Man, what a meal!\You eat too much.\I'm stuffed, too.\Is the inn around here? response:	Yep! We're almost there.
context: You're not going to disappear, Frosch.\Because I'm with you.\Right! Fro's not gonna disappear!\Man, what a meal!\You eat too much.\I'm stuffed, too.\Is the inn around here?\Yep! We're almost there. response:	Is everyone staying in the same room?
context: Because I'm with you.\Right! Fro's not gonna disappear!\Man, what a meal!\You eat too much.\I'm stuffed, too.\Is the inn around here?\Yep! We're almost there.\Is everyone staying in the same room? response:	Yeah, and it sucks!
context: Right! Fro's not gonna disappear!\Man, what a meal!\You eat too much.\I'm stuffed, too.\Is the inn around here?\Yep! We're almost there.\Is everyone staying in the same room?\Yeah, and it sucks! response:	Natsu snores, Gray strips first chance he gets, Erza crawls into my bed...
context: Man, what a meal!\You eat too much.\I'm stuffed, too.\Is the inn around here?\Yep! We're almost there.\Is everyone staying in the same room?\Yeah, and it sucks!\Natsu snores, Gray strips first chance he gets, Erza crawls into my bed... response:	That reminds me, where are Gray and Erza?
context: You eat too much.\I'm stuffed, too.\Is the inn around here?\Yep! We're almost there.\Is everyone staying in the same room?\Yeah, and it sucks!\Natsu snores, Gray strips first chance he gets, Erza crawls into my bed...\That reminds me, where are Gray and Erza? response:	Poor Gray...
context: I'm stuffed, too.\Is the inn around here?\Yep! We're almost there.\Is everyone staying in the same room?\Yeah, and it sucks!\Natsu snores, Gray strips first chance he gets, Erza crawls into my bed...\That reminds me, where are Gray and Erza?\Poor Gray... response:	It looks like he got caught by a party-crashing Lyon.
context: Is the inn around here?\Yep! We're almost there.\Is everyone staying in the same room?\Yeah, and it sucks!\Natsu snores, Gray strips first chance he gets, Erza crawls into my bed...\That reminds me, where are Gray and Erza?\Poor Gray...\It looks like he got caught by a party-crashing Lyon. response:	Tonight, let's finally make everything crystal clear!
context: Yep! We're almost there.\Is everyone staying in the same room?\Yeah, and it sucks!\Natsu snores, Gray strips first chance he gets, Erza crawls into my bed...\That reminds me, where are Gray and Erza?\Poor Gray...\It looks like he got caught by a party-crashing Lyon.\Tonight, let's finally make everything crystal clear! response:	Juvia wants to make everything clear, too!
context: Is everyone staying in the same room?\Yeah, and it sucks!\Natsu snores, Gray strips first chance he gets, Erza crawls into my bed...\That reminds me, where are Gray and Erza?\Poor Gray...\It looks like he got caught by a party-crashing Lyon.\Tonight, let's finally make everything crystal clear!\Juvia wants to make everything clear, too! response:	What about Erza?
context: Yeah, and it sucks!\Natsu snores, Gray strips first chance he gets, Erza crawls into my bed...\That reminds me, where are Gray and Erza?\Poor Gray...\It looks like he got caught by a party-crashing Lyon.\Tonight, let's finally make everything crystal clear!\Juvia wants to make everything clear, too!\What about Erza? response:	Come to think of it, I haven't seen her.
context: Natsu snores, Gray strips first chance he gets, Erza crawls into my bed...\That reminds me, where are Gray and Erza?\Poor Gray...\It looks like he got caught by a party-crashing Lyon.\Tonight, let's finally make everything crystal clear!\Juvia wants to make everything clear, too!\What about Erza?\Come to think of it, I haven't seen her. response:	Maybe she's smooch-smooch-smoochin'!
context: That reminds me, where are Gray and Erza?\Poor Gray...\It looks like he got caught by a party-crashing Lyon.\Tonight, let's finally make everything crystal clear!\Juvia wants to make everything clear, too!\What about Erza?\Come to think of it, I haven't seen her.\Maybe she's smooch-smooch-smoochin'! response:	She did say she wanted to spend a little time alone.
context: Poor Gray...\It looks like he got caught by a party-crashing Lyon.\Tonight, let's finally make everything crystal clear!\Juvia wants to make everything clear, too!\What about Erza?\Come to think of it, I haven't seen her.\Maybe she's smooch-smooch-smoochin'!\She did say she wanted to spend a little time alone. response:	I doubt she's alone!
context: It looks like he got caught by a party-crashing Lyon.\Tonight, let's finally make everything crystal clear!\Juvia wants to make everything clear, too!\What about Erza?\Come to think of it, I haven't seen her.\Maybe she's smooch-smooch-smoochin'!\She did say she wanted to spend a little time alone.\I doubt she's alone! response:	Somebody's in front of the inn.
context: Tonight, let's finally make everything crystal clear!\Juvia wants to make everything clear, too!\What about Erza?\Come to think of it, I haven't seen her.\Maybe she's smooch-smooch-smoochin'!\She did say she wanted to spend a little time alone.\I doubt she's alone!\Somebody's in front of the inn. response:	You're right. Who is it?
context: Juvia wants to make everything clear, too!\What about Erza?\Come to think of it, I haven't seen her.\Maybe she's smooch-smooch-smoochin'!\She did say she wanted to spend a little time alone.\I doubt she's alone!\Somebody's in front of the inn.\You're right. Who is it? response:	You guys have good eyes...
context: What about Erza?\Come to think of it, I haven't seen her.\Maybe she's smooch-smooch-smoochin'!\She did say she wanted to spend a little time alone.\I doubt she's alone!\Somebody's in front of the inn.\You're right. Who is it?\You guys have good eyes... response:	You're...
context: Come to think of it, I haven't seen her.\Maybe she's smooch-smooch-smoochin'!\She did say she wanted to spend a little time alone.\I doubt she's alone!\Somebody's in front of the inn.\You're right. Who is it?\You guys have good eyes...\You're... response:	I found you at last!
context: Maybe she's smooch-smooch-smoochin'!\She did say she wanted to spend a little time alone.\I doubt she's alone!\Somebody's in front of the inn.\You're right. Who is it?\You guys have good eyes...\You're...\I found you at last! response:	Who are you?!
context: She did say she wanted to spend a little time alone.\I doubt she's alone!\Somebody's in front of the inn.\You're right. Who is it?\You guys have good eyes...\You're...\I found you at last!\Who are you?! response:	Feelin' spiffy?!
context: I doubt she's alone!\Somebody's in front of the inn.\You're right. Who is it?\You guys have good eyes...\You're...\I found you at last!\Who are you?!\Feelin' spiffy?! response:	Er-chan, long time no see!
context: Somebody's in front of the inn.\You're right. Who is it?\You guys have good eyes...\You're...\I found you at last!\Who are you?!\Feelin' spiffy?!\Er-chan, long time no see! response:	Millianna!
context: You're right. Who is it?\You guys have good eyes...\You're...\I found you at last!\Who are you?!\Feelin' spiffy?!\Er-chan, long time no see!\Millianna! response:	I missed you!
context: You guys have good eyes...\You're...\I found you at last!\Who are you?!\Feelin' spiffy?!\Er-chan, long time no see!\Millianna!\I missed you! response:	Millianna!
context: You're...\I found you at last!\Who are you?!\Feelin' spiffy?!\Er-chan, long time no see!\Millianna!\I missed you!\Millianna! response:	Actually, I thought I'd surprise you by revealing my identity when we won the tournament,
context: I found you at last!\Who are you?!\Feelin' spiffy?!\Er-chan, long time no see!\Millianna!\I missed you!\Millianna!\Actually, I thought I'd surprise you by revealing my identity when we won the tournament, response:	but I just couldn't wait that long to see you, Er-chan!
context: Who are you?!\Feelin' spiffy?!\Er-chan, long time no see!\Millianna!\I missed you!\Millianna!\Actually, I thought I'd surprise you by revealing my identity when we won the tournament,\but I just couldn't wait that long to see you, Er-chan! response:	Good grief...
context: Feelin' spiffy?!\Er-chan, long time no see!\Millianna!\I missed you!\Millianna!\Actually, I thought I'd surprise you by revealing my identity when we won the tournament,\but I just couldn't wait that long to see you, Er-chan!\Good grief... response:	Anyway, that Kagura on your team is some kind of strong...
context: Er-chan, long time no see!\Millianna!\I missed you!\Millianna!\Actually, I thought I'd surprise you by revealing my identity when we won the tournament,\but I just couldn't wait that long to see you, Er-chan!\Good grief...\Anyway, that Kagura on your team is some kind of strong... response:	You can say that again.
context: Millianna!\I missed you!\Millianna!\Actually, I thought I'd surprise you by revealing my identity when we won the tournament,\but I just couldn't wait that long to see you, Er-chan!\Good grief...\Anyway, that Kagura on your team is some kind of strong...\You can say that again. response:	In fact, when she gets serious, she may be even stronger than you, Er-chan.
