context: Okay! response:	My lord, do you want some jam?
context: A mission?\Food safety inspections.\Food safety inspections?\Student of the Mage\Student of the Mage.\Scale Festival\This spicy sauce is delicious!\Now, what do I eat next? response:	You just want to eat.
context: Food safety inspections.\Food safety inspections?\Student of the Mage\Student of the Mage.\Scale Festival\This spicy sauce is delicious!\Now, what do I eat next?\You just want to eat. response:	That's what you call a safety inspection?
context: Food safety inspections?\Student of the Mage\Student of the Mage.\Scale Festival\This spicy sauce is delicious!\Now, what do I eat next?\You just want to eat.\That's what you call a safety inspection? response:	No, you see...
context: Student of the Mage\Student of the Mage.\Scale Festival\This spicy sauce is delicious!\Now, what do I eat next?\You just want to eat.\That's what you call a safety inspection?\No, you see... response:	Okay, at least tell me the recipe!
context: Student of the Mage.\Scale Festival\This spicy sauce is delicious!\Now, what do I eat next?\You just want to eat.\That's what you call a safety inspection?\No, you see...\Okay, at least tell me the recipe! response:	Julius Ripsky/ Person of the Land
context: Scale Festival\This spicy sauce is delicious!\Now, what do I eat next?\You just want to eat.\That's what you call a safety inspection?\No, you see...\Okay, at least tell me the recipe!\Julius Ripsky/ Person of the Land response:	Marriage Shiyo/ Adventurer
context: This spicy sauce is delicious!\Now, what do I eat next?\You just want to eat.\That's what you call a safety inspection?\No, you see...\Okay, at least tell me the recipe!\Julius Ripsky/ Person of the Land\Marriage Shiyo/ Adventurer response:	Then I'll pay for it!
context: Now, what do I eat next?\You just want to eat.\That's what you call a safety inspection?\No, you see...\Okay, at least tell me the recipe!\Julius Ripsky/ Person of the Land\Marriage Shiyo/ Adventurer\Then I'll pay for it! response:	You want to steal my unique flavor?
context: You just want to eat.\That's what you call a safety inspection?\No, you see...\Okay, at least tell me the recipe!\Julius Ripsky/ Person of the Land\Marriage Shiyo/ Adventurer\Then I'll pay for it!\You want to steal my unique flavor? response:	I won't tell you anything.
context: That's what you call a safety inspection?\No, you see...\Okay, at least tell me the recipe!\Julius Ripsky/ Person of the Land\Marriage Shiyo/ Adventurer\Then I'll pay for it!\You want to steal my unique flavor?\I won't tell you anything. response:	Now, now, you two.
context: No, you see...\Okay, at least tell me the recipe!\Julius Ripsky/ Person of the Land\Marriage Shiyo/ Adventurer\Then I'll pay for it!\You want to steal my unique flavor?\I won't tell you anything.\Now, now, you two. response:	They say a festival always has fights,
context: Okay, at least tell me the recipe!\Julius Ripsky/ Person of the Land\Marriage Shiyo/ Adventurer\Then I'll pay for it!\You want to steal my unique flavor?\I won't tell you anything.\Now, now, you two.\They say a festival always has fights, response:	but let's settle this peacefully.
context: Julius Ripsky/ Person of the Land\Marriage Shiyo/ Adventurer\Then I'll pay for it!\You want to steal my unique flavor?\I won't tell you anything.\Now, now, you two.\They say a festival always has fights,\but let's settle this peacefully. response:	A hamburger feast after a good deed!
context: Marriage Shiyo/ Adventurer\Then I'll pay for it!\You want to steal my unique flavor?\I won't tell you anything.\Now, now, you two.\They say a festival always has fights,\but let's settle this peacefully.\A hamburger feast after a good deed! response:	Learn some moderation.
context: Then I'll pay for it!\You want to steal my unique flavor?\I won't tell you anything.\Now, now, you two.\They say a festival always has fights,\but let's settle this peacefully.\A hamburger feast after a good deed!\Learn some moderation. response:	You're in a good mood this morning, shrimp.
context: You want to steal my unique flavor?\I won't tell you anything.\Now, now, you two.\They say a festival always has fights,\but let's settle this peacefully.\A hamburger feast after a good deed!\Learn some moderation.\You're in a good mood this morning, shrimp. response:	You're imagining it.
context: I won't tell you anything.\Now, now, you two.\They say a festival always has fights,\but let's settle this peacefully.\A hamburger feast after a good deed!\Learn some moderation.\You're in a good mood this morning, shrimp.\You're imagining it. response:	And don't call me shrimp.
context: Now, now, you two.\They say a festival always has fights,\but let's settle this peacefully.\A hamburger feast after a good deed!\Learn some moderation.\You're in a good mood this morning, shrimp.\You're imagining it.\And don't call me shrimp. response:	Did something good happen with Shiro?
context: They say a festival always has fights,\but let's settle this peacefully.\A hamburger feast after a good deed!\Learn some moderation.\You're in a good mood this morning, shrimp.\You're imagining it.\And don't call me shrimp.\Did something good happen with Shiro? response:	D-Don't be stupid!
context: but let's settle this peacefully.\A hamburger feast after a good deed!\Learn some moderation.\You're in a good mood this morning, shrimp.\You're imagining it.\And don't call me shrimp.\Did something good happen with Shiro?\D-Don't be stupid! response:	I'll cut you!
context: A hamburger feast after a good deed!\Learn some moderation.\You're in a good mood this morning, shrimp.\You're imagining it.\And don't call me shrimp.\Did something good happen with Shiro?\D-Don't be stupid!\I'll cut you! response:	Now, now...
context: Learn some moderation.\You're in a good mood this morning, shrimp.\You're imagining it.\And don't call me shrimp.\Did something good happen with Shiro?\D-Don't be stupid!\I'll cut you!\Now, now... response:	Here's yours.
context: You're in a good mood this morning, shrimp.\You're imagining it.\And don't call me shrimp.\Did something good happen with Shiro?\D-Don't be stupid!\I'll cut you!\Now, now...\Here's yours. response:	This goes way beyond oversized, but...
context: You're imagining it.\And don't call me shrimp.\Did something good happen with Shiro?\D-Don't be stupid!\I'll cut you!\Now, now...\Here's yours.\This goes way beyond oversized, but... response:	Mustard and avocado and tomatoes...
context: And don't call me shrimp.\Did something good happen with Shiro?\D-Don't be stupid!\I'll cut you!\Now, now...\Here's yours.\This goes way beyond oversized, but...\Mustard and avocado and tomatoes... response:	Oh, it's Shiro!
context: Did something good happen with Shiro?\D-Don't be stupid!\I'll cut you!\Now, now...\Here's yours.\This goes way beyond oversized, but...\Mustard and avocado and tomatoes...\Oh, it's Shiro! response:	Just kidding!
context: D-Don't be stupid!\I'll cut you!\Now, now...\Here's yours.\This goes way beyond oversized, but...\Mustard and avocado and tomatoes...\Oh, it's Shiro!\Just kidding! response:	Nice reaction!
context: I'll cut you!\Now, now...\Here's yours.\This goes way beyond oversized, but...\Mustard and avocado and tomatoes...\Oh, it's Shiro!\Just kidding!\Nice reaction! response:	Why, you...
context: Now, now...\Here's yours.\This goes way beyond oversized, but...\Mustard and avocado and tomatoes...\Oh, it's Shiro!\Just kidding!\Nice reaction!\Why, you... response:	Prepare to die!
context: Here's yours.\This goes way beyond oversized, but...\Mustard and avocado and tomatoes...\Oh, it's Shiro!\Just kidding!\Nice reaction!\Why, you...\Prepare to die! response:	Oh, right.
context: This goes way beyond oversized, but...\Mustard and avocado and tomatoes...\Oh, it's Shiro!\Just kidding!\Nice reaction!\Why, you...\Prepare to die!\Oh, right. response:	Here.
context: Mustard and avocado and tomatoes...\Oh, it's Shiro!\Just kidding!\Nice reaction!\Why, you...\Prepare to die!\Oh, right.\Here. response:	What is this?
context: Oh, it's Shiro!\Just kidding!\Nice reaction!\Why, you...\Prepare to die!\Oh, right.\Here.\What is this? response:	A stamp card.
context: Just kidding!\Nice reaction!\Why, you...\Prepare to die!\Oh, right.\Here.\What is this?\A stamp card. response:	Each stand you visit will give you one stamp.
context: Nice reaction!\Why, you...\Prepare to die!\Oh, right.\Here.\What is this?\A stamp card.\Each stand you visit will give you one stamp. response:	By the way,
context: Why, you...\Prepare to die!\Oh, right.\Here.\What is this?\A stamp card.\Each stand you visit will give you one stamp.\By the way, response:	I only have one more to go.
context: Prepare to die!\Oh, right.\Here.\What is this?\A stamp card.\Each stand you visit will give you one stamp.\By the way,\I only have one more to go. response:	What?
context: Oh, right.\Here.\What is this?\A stamp card.\Each stand you visit will give you one stamp.\By the way,\I only have one more to go.\What? response:	Stamp Rally
context: Here.\What is this?\A stamp card.\Each stand you visit will give you one stamp.\By the way,\I only have one more to go.\What?\Stamp Rally response:	Get all the stamps, and win a wonderful prize?
context: What is this?\A stamp card.\Each stand you visit will give you one stamp.\By the way,\I only have one more to go.\What?\Stamp Rally\Get all the stamps, and win a wonderful prize? response:	I wonder what the prize is.
context: A stamp card.\Each stand you visit will give you one stamp.\By the way,\I only have one more to go.\What?\Stamp Rally\Get all the stamps, and win a wonderful prize?\I wonder what the prize is. response:	Maybe it's a pair of pure white...
context: Each stand you visit will give you one stamp.\By the way,\I only have one more to go.\What?\Stamp Rally\Get all the stamps, and win a wonderful prize?\I wonder what the prize is.\Maybe it's a pair of pure white... response:	Pure white?
context: By the way,\I only have one more to go.\What?\Stamp Rally\Get all the stamps, and win a wonderful prize?\I wonder what the prize is.\Maybe it's a pair of pure white...\Pure white? response:	Lacy pant
context: I only have one more to go.\What?\Stamp Rally\Get all the stamps, and win a wonderful prize?\I wonder what the prize is.\Maybe it's a pair of pure white...\Pure white?\Lacy pant response:	Y-You didn't have to hit me so hard, you
context: What?\Stamp Rally\Get all the stamps, and win a wonderful prize?\I wonder what the prize is.\Maybe it's a pair of pure white...\Pure white?\Lacy pant\Y-You didn't have to hit me so hard, you response:	Huh? She's gone!
context: Stamp Rally\Get all the stamps, and win a wonderful prize?\I wonder what the prize is.\Maybe it's a pair of pure white...\Pure white?\Lacy pant\Y-You didn't have to hit me so hard, you\Huh? She's gone! response:	Damn you, Stupid-tsugu!
context: Get all the stamps, and win a wonderful prize?\I wonder what the prize is.\Maybe it's a pair of pure white...\Pure white?\Lacy pant\Y-You didn't have to hit me so hard, you\Huh? She's gone!\Damn you, Stupid-tsugu! response:	Okay, Minori... I'm off to go help Crescent Moon.
context: I wonder what the prize is.\Maybe it's a pair of pure white...\Pure white?\Lacy pant\Y-You didn't have to hit me so hard, you\Huh? She's gone!\Damn you, Stupid-tsugu!\Okay, Minori... I'm off to go help Crescent Moon. response:	See you later, Tohya!
context: Maybe it's a pair of pure white...\Pure white?\Lacy pant\Y-You didn't have to hit me so hard, you\Huh? She's gone!\Damn you, Stupid-tsugu!\Okay, Minori... I'm off to go help Crescent Moon.\See you later, Tohya! response:	An assassin with Japanese accessories would look great!
context: Pure white?\Lacy pant\Y-You didn't have to hit me so hard, you\Huh? She's gone!\Damn you, Stupid-tsugu!\Okay, Minori... I'm off to go help Crescent Moon.\See you later, Tohya!\An assassin with Japanese accessories would look great! response:	For Display
context: Lacy pant\Y-You didn't have to hit me so hard, you\Huh? She's gone!\Damn you, Stupid-tsugu!\Okay, Minori... I'm off to go help Crescent Moon.\See you later, Tohya!\An assassin with Japanese accessories would look great!\For Display response:	An invitation?
context: Y-You didn't have to hit me so hard, you\Huh? She's gone!\Damn you, Stupid-tsugu!\Okay, Minori... I'm off to go help Crescent Moon.\See you later, Tohya!\An assassin with Japanese accessories would look great!\For Display\An invitation? response:	Yes, for the Twilight Banquet with Princess Lenessia...
context: Huh? She's gone!\Damn you, Stupid-tsugu!\Okay, Minori... I'm off to go help Crescent Moon.\See you later, Tohya!\An assassin with Japanese accessories would look great!\For Display\An invitation?\Yes, for the Twilight Banquet with Princess Lenessia... response:	You want to go see Karashin, then.
context: Damn you, Stupid-tsugu!\Okay, Minori... I'm off to go help Crescent Moon.\See you later, Tohya!\An assassin with Japanese accessories would look great!\For Display\An invitation?\Yes, for the Twilight Banquet with Princess Lenessia...\You want to go see Karashin, then. response:	All right.
context: Okay, Minori... I'm off to go help Crescent Moon.\See you later, Tohya!\An assassin with Japanese accessories would look great!\For Display\An invitation?\Yes, for the Twilight Banquet with Princess Lenessia...\You want to go see Karashin, then.\All right. response:	Thank you.
context: See you later, Tohya!\An assassin with Japanese accessories would look great!\For Display\An invitation?\Yes, for the Twilight Banquet with Princess Lenessia...\You want to go see Karashin, then.\All right.\Thank you. response:	No problem.
context: An assassin with Japanese accessories would look great!\For Display\An invitation?\Yes, for the Twilight Banquet with Princess Lenessia...\You want to go see Karashin, then.\All right.\Thank you.\No problem. response:	By the way, why are you inside those boxes?
context: For Display\An invitation?\Yes, for the Twilight Banquet with Princess Lenessia...\You want to go see Karashin, then.\All right.\Thank you.\No problem.\By the way, why are you inside those boxes? response:	Well... It's good for the skin.
context: An invitation?\Yes, for the Twilight Banquet with Princess Lenessia...\You want to go see Karashin, then.\All right.\Thank you.\No problem.\By the way, why are you inside those boxes?\Well... It's good for the skin. response:	Oh, Minori!
context: Yes, for the Twilight Banquet with Princess Lenessia...\You want to go see Karashin, then.\All right.\Thank you.\No problem.\By the way, why are you inside those boxes?\Well... It's good for the skin.\Oh, Minori! response:	Hello, there.
context: You want to go see Karashin, then.\All right.\Thank you.\No problem.\By the way, why are you inside those boxes?\Well... It's good for the skin.\Oh, Minori!\Hello, there. response:	Have you seen Marielle?
context: All right.\Thank you.\No problem.\By the way, why are you inside those boxes?\Well... It's good for the skin.\Oh, Minori!\Hello, there.\Have you seen Marielle? response:	This whole thing was her idea, and now she's gone...
context: Thank you.\No problem.\By the way, why are you inside those boxes?\Well... It's good for the skin.\Oh, Minori!\Hello, there.\Have you seen Marielle?\This whole thing was her idea, and now she's gone... response:	For Display
context: No problem.\By the way, why are you inside those boxes?\Well... It's good for the skin.\Oh, Minori!\Hello, there.\Have you seen Marielle?\This whole thing was her idea, and now she's gone...\For Display response:	No, I'm sorry.
context: By the way, why are you inside those boxes?\Well... It's good for the skin.\Oh, Minori!\Hello, there.\Have you seen Marielle?\This whole thing was her idea, and now she's gone...\For Display\No, I'm sorry. response:	My lord.
context: Well... It's good for the skin.\Oh, Minori!\Hello, there.\Have you seen Marielle?\This whole thing was her idea, and now she's gone...\For Display\No, I'm sorry.\My lord. response:	Naotsugu just wanted to eat, after all.
context: Oh, Minori!\Hello, there.\Have you seen Marielle?\This whole thing was her idea, and now she's gone...\For Display\No, I'm sorry.\My lord.\Naotsugu just wanted to eat, after all. response:	I'm sure.
context: Hello, there.\Have you seen Marielle?\This whole thing was her idea, and now she's gone...\For Display\No, I'm sorry.\My lord.\Naotsugu just wanted to eat, after all.\I'm sure. response:	With that iron stomach of his, he'd never even know if something were poisoned.
context: Have you seen Marielle?\This whole thing was her idea, and now she's gone...\For Display\No, I'm sorry.\My lord.\Naotsugu just wanted to eat, after all.\I'm sure.\With that iron stomach of his, he'd never even know if something were poisoned. response:	You're right.
context: This whole thing was her idea, and now she's gone...\For Display\No, I'm sorry.\My lord.\Naotsugu just wanted to eat, after all.\I'm sure.\With that iron stomach of his, he'd never even know if something were poisoned.\You're right. response:	Hmm. I don't understand at all.
context: For Display\No, I'm sorry.\My lord.\Naotsugu just wanted to eat, after all.\I'm sure.\With that iron stomach of his, he'd never even know if something were poisoned.\You're right.\Hmm. I don't understand at all. response:	Um...
context: No, I'm sorry.\My lord.\Naotsugu just wanted to eat, after all.\I'm sure.\With that iron stomach of his, he'd never even know if something were poisoned.\You're right.\Hmm. I don't understand at all.\Um... response:	You're in the way.
context: My lord.\Naotsugu just wanted to eat, after all.\I'm sure.\With that iron stomach of his, he'd never even know if something were poisoned.\You're right.\Hmm. I don't understand at all.\Um...\You're in the way. response:	Oh, right.
context: Naotsugu just wanted to eat, after all.\I'm sure.\With that iron stomach of his, he'd never even know if something were poisoned.\You're right.\Hmm. I don't understand at all.\Um...\You're in the way.\Oh, right. response:	Henrietta wanted me to send you over.
context: I'm sure.\With that iron stomach of his, he'd never even know if something were poisoned.\You're right.\Hmm. I don't understand at all.\Um...\You're in the way.\Oh, right.\Henrietta wanted me to send you over. response:	Think you could go see what she needs?
context: With that iron stomach of his, he'd never even know if something were poisoned.\You're right.\Hmm. I don't understand at all.\Um...\You're in the way.\Oh, right.\Henrietta wanted me to send you over.\Think you could go see what she needs? response:	Understood.
context: You're right.\Hmm. I don't understand at all.\Um...\You're in the way.\Oh, right.\Henrietta wanted me to send you over.\Think you could go see what she needs?\Understood. response:	My lord!
context: Hmm. I don't understand at all.\Um...\You're in the way.\Oh, right.\Henrietta wanted me to send you over.\Think you could go see what she needs?\Understood.\My lord! response:	What is this?
context: Um...\You're in the way.\Oh, right.\Henrietta wanted me to send you over.\Think you could go see what she needs?\Understood.\My lord!\What is this? response:	Your wonderful prize.
context: You're in the way.\Oh, right.\Henrietta wanted me to send you over.\Think you could go see what she needs?\Understood.\My lord!\What is this?\Your wonderful prize. response:	All right! That's all of them!
context: Oh, right.\Henrietta wanted me to send you over.\Think you could go see what she needs?\Understood.\My lord!\What is this?\Your wonderful prize.\All right! That's all of them! response:	The wonderful prize is mine!
context: Henrietta wanted me to send you over.\Think you could go see what she needs?\Understood.\My lord!\What is this?\Your wonderful prize.\All right! That's all of them!\The wonderful prize is mine! response:	Huh? Only one stamp?
context: Think you could go see what she needs?\Understood.\My lord!\What is this?\Your wonderful prize.\All right! That's all of them!\The wonderful prize is mine!\Huh? Only one stamp? response:	It couldn't be...
context: Understood.\My lord!\What is this?\Your wonderful prize.\All right! That's all of them!\The wonderful prize is mine!\Huh? Only one stamp?\It couldn't be... response:	Did she switch them out?
context: My lord!\What is this?\Your wonderful prize.\All right! That's all of them!\The wonderful prize is mine!\Huh? Only one stamp?\It couldn't be...\Did she switch them out? response:	Curse you, shrimp!
context: What is this?\Your wonderful prize.\All right! That's all of them!\The wonderful prize is mine!\Huh? Only one stamp?\It couldn't be...\Did she switch them out?\Curse you, shrimp! response:	Actually, I guess I can just go eat more!
context: Your wonderful prize.\All right! That's all of them!\The wonderful prize is mine!\Huh? Only one stamp?\It couldn't be...\Did she switch them out?\Curse you, shrimp!\Actually, I guess I can just go eat more! response:	Gonna try to eat until I drop!
context: All right! That's all of them!\The wonderful prize is mine!\Huh? Only one stamp?\It couldn't be...\Did she switch them out?\Curse you, shrimp!\Actually, I guess I can just go eat more!\Gonna try to eat until I drop! response:	Crafting Guild Council Office Knock First!!
context: The wonderful prize is mine!\Huh? Only one stamp?\It couldn't be...\Did she switch them out?\Curse you, shrimp!\Actually, I guess I can just go eat more!\Gonna try to eat until I drop!\Crafting Guild Council Office Knock First!! response:	That can come later.
context: Huh? Only one stamp?\It couldn't be...\Did she switch them out?\Curse you, shrimp!\Actually, I guess I can just go eat more!\Gonna try to eat until I drop!\Crafting Guild Council Office Knock First!!\That can come later. response:	Can you send some people over here at once?
context: It couldn't be...\Did she switch them out?\Curse you, shrimp!\Actually, I guess I can just go eat more!\Gonna try to eat until I drop!\Crafting Guild Council Office Knock First!!\That can come later.\Can you send some people over here at once? response:	What? You're all booked, too?
context: Did she switch them out?\Curse you, shrimp!\Actually, I guess I can just go eat more!\Gonna try to eat until I drop!\Crafting Guild Council Office Knock First!!\That can come later.\Can you send some people over here at once?\What? You're all booked, too? response:	Man, what a problem...
context: Curse you, shrimp!\Actually, I guess I can just go eat more!\Gonna try to eat until I drop!\Crafting Guild Council Office Knock First!!\That can come later.\Can you send some people over here at once?\What? You're all booked, too?\Man, what a problem... response:	I can't talk to him now...
context: Actually, I guess I can just go eat more!\Gonna try to eat until I drop!\Crafting Guild Council Office Knock First!!\That can come later.\Can you send some people over here at once?\What? You're all booked, too?\Man, what a problem...\I can't talk to him now... response:	Karashin!
context: Gonna try to eat until I drop!\Crafting Guild Council Office Knock First!!\That can come later.\Can you send some people over here at once?\What? You're all booked, too?\Man, what a problem...\I can't talk to him now...\Karashin! response:	I brought the reports on the south block sales figur
context: Crafting Guild Council Office Knock First!!\That can come later.\Can you send some people over here at once?\What? You're all booked, too?\Man, what a problem...\I can't talk to him now...\Karashin!\I brought the reports on the south block sales figur response:	I'm sorry.
context: That can come later.\Can you send some people over here at once?\What? You're all booked, too?\Man, what a problem...\I can't talk to him now...\Karashin!\I brought the reports on the south block sales figur\I'm sorry. response:	Oh, you're the girl from Shiroe's...
context: Can you send some people over here at once?\What? You're all booked, too?\Man, what a problem...\I can't talk to him now...\Karashin!\I brought the reports on the south block sales figur\I'm sorry.\Oh, you're the girl from Shiroe's... response:	Yes, I'm Minori.
context: What? You're all booked, too?\Man, what a problem...\I can't talk to him now...\Karashin!\I brought the reports on the south block sales figur\I'm sorry.\Oh, you're the girl from Shiroe's...\Yes, I'm Minori. response:	Um... Do you want me to help?
context: Man, what a problem...\I can't talk to him now...\Karashin!\I brought the reports on the south block sales figur\I'm sorry.\Oh, you're the girl from Shiroe's...\Yes, I'm Minori.\Um... Do you want me to help? response:	Did the cake buffet yesterday go well?
context: I can't talk to him now...\Karashin!\I brought the reports on the south block sales figur\I'm sorry.\Oh, you're the girl from Shiroe's...\Yes, I'm Minori.\Um... Do you want me to help?\Did the cake buffet yesterday go well? response:	What do you mean?
context: Karashin!\I brought the reports on the south block sales figur\I'm sorry.\Oh, you're the girl from Shiroe's...\Yes, I'm Minori.\Um... Do you want me to help?\Did the cake buffet yesterday go well?\What do you mean? response:	Minori's trying to restore Shiroe's reputation.
context: I brought the reports on the south block sales figur\I'm sorry.\Oh, you're the girl from Shiroe's...\Yes, I'm Minori.\Um... Do you want me to help?\Did the cake buffet yesterday go well?\What do you mean?\Minori's trying to restore Shiroe's reputation. response:	She's working hard.
context: I'm sorry.\Oh, you're the girl from Shiroe's...\Yes, I'm Minori.\Um... Do you want me to help?\Did the cake buffet yesterday go well?\What do you mean?\Minori's trying to restore Shiroe's reputation.\She's working hard. response:	His reputation, huh?
context: Oh, you're the girl from Shiroe's...\Yes, I'm Minori.\Um... Do you want me to help?\Did the cake buffet yesterday go well?\What do you mean?\Minori's trying to restore Shiroe's reputation.\She's working hard.\His reputation, huh? response:	He should really step out and show his stuff a little more.
context: Yes, I'm Minori.\Um... Do you want me to help?\Did the cake buffet yesterday go well?\What do you mean?\Minori's trying to restore Shiroe's reputation.\She's working hard.\His reputation, huh?\He should really step out and show his stuff a little more. response:	He always just leaves all that to Crusty.
context: Um... Do you want me to help?\Did the cake buffet yesterday go well?\What do you mean?\Minori's trying to restore Shiroe's reputation.\She's working hard.\His reputation, huh?\He should really step out and show his stuff a little more.\He always just leaves all that to Crusty. response:	Yes.
context: Did the cake buffet yesterday go well?\What do you mean?\Minori's trying to restore Shiroe's reputation.\She's working hard.\His reputation, huh?\He should really step out and show his stuff a little more.\He always just leaves all that to Crusty.\Yes. response:	People are good at some things, and bad at others.
context: What do you mean?\Minori's trying to restore Shiroe's reputation.\She's working hard.\His reputation, huh?\He should really step out and show his stuff a little more.\He always just leaves all that to Crusty.\Yes.\People are good at some things, and bad at others. response:	I'll simply have to show my stuff in his stead!
context: Minori's trying to restore Shiroe's reputation.\She's working hard.\His reputation, huh?\He should really step out and show his stuff a little more.\He always just leaves all that to Crusty.\Yes.\People are good at some things, and bad at others.\I'll simply have to show my stuff in his stead! response:	That's nonsense!
context: She's working hard.\His reputation, huh?\He should really step out and show his stuff a little more.\He always just leaves all that to Crusty.\Yes.\People are good at some things, and bad at others.\I'll simply have to show my stuff in his stead!\That's nonsense! response:	It's your fault for using a beat-up carriage!
context: His reputation, huh?\He should really step out and show his stuff a little more.\He always just leaves all that to Crusty.\Yes.\People are good at some things, and bad at others.\I'll simply have to show my stuff in his stead!\That's nonsense!\It's your fault for using a beat-up carriage! response:	What?
context: He should really step out and show his stuff a little more.\He always just leaves all that to Crusty.\Yes.\People are good at some things, and bad at others.\I'll simply have to show my stuff in his stead!\That's nonsense!\It's your fault for using a beat-up carriage!\What? response:	Just get out of the way!
context: He always just leaves all that to Crusty.\Yes.\People are good at some things, and bad at others.\I'll simply have to show my stuff in his stead!\That's nonsense!\It's your fault for using a beat-up carriage!\What?\Just get out of the way! response:	There's a line forming behind you!
